[00:00:00.289 --> 00:00:01.350]  I had two choices.
[00:02:37.879 --> 00:02:43.784]  And so then they run these constant headlines, HBO specials and shows attacking me and saying, oh, he's still attacking us.
[00:02:44.284 --> 00:02:48.468]  I never attack these people, never sent people to their houses, never did anything they said, they never put evidence in.
[00:02:49.789 --> 00:02:58.156]  This is being managed by the DNC, by these think tanks who've now bragged about it, by the head of the FBI in Connecticut, the head of the council.
[00:02:59.176 --> 00:03:13.421]   And so all this goes on, all this happens, all this unfolds, and then Judge Lopez is known as a very reasonable, fair judge here in Texas, federal judge.
[00:03:14.061 --> 00:03:29.205]  And so he gives them two years to investigate me at my own expense of the company, outside accounting firms, all this, as these lawyer groups make allegations that we've stolen hundreds of millions of dollars, and I've got all this stuff, and none of it was true.
[00:03:29.225 --> 00:03:33.106]  And so I'm like, hey, come in all the investigators, everything, search everything, none of this is true.
[00:03:33.126 --> 00:03:35.027]  And they found everything I said was true, okay?
[00:03:35.811 --> 00:03:47.439]  And so, then in mediations and things, they wanted to control what I could say, they wanted to control what I could do, they wanted to put a board in over the company and get more money than we ever made.
[00:03:48.019 --> 00:03:50.881]  I wasn't going to sit there and shackle our listeners to do that.
[00:03:50.901 --> 00:03:57.966]  So a couple months ago, I said, fine, I'll go ahead and declare, you know, not a Chapter 11 for myself.
[00:03:58.638 --> 00:04:01.802]  But a chapter 7 that totally liquidates everything I got.
[00:04:01.822 --> 00:04:04.365]  That already basically liquidated everything anyways in chapter 11.
[00:04:04.705 --> 00:04:06.507]  Just to show my skirts and show the truth.
[00:04:06.908 --> 00:04:09.371]  These people thinking, well they... Because I didn't know.
[00:04:09.611 --> 00:04:12.034]  Did they really just want to destroy us like they said in the courthouse steps?
[00:04:12.555 --> 00:04:14.357]  Was it really all just political or was it about money?
[00:04:15.285 --> 00:04:22.090]  If this was about money and they would be reasonable, I could just move on and move on to bigger issues that aren't my issue.
[00:04:22.130 --> 00:04:23.311]  They've attached themselves to me.
[00:04:23.371 --> 00:04:24.472]  I was never attached to them.
[00:04:24.973 --> 00:04:32.799]  They've attached themselves to the Alex Jones franchise, not me to them, or any regular listener over a decade or 11 years since Shaney Gagapin knows that.
[00:04:34.560 --> 00:04:45.783]   And so the judge got really fed up a few months ago and he said, you've got one more mediation, and if you don't settle with Mr. Jones, then I'm going to kick it Back to him and give him the company back.
[00:04:46.303 --> 00:04:48.424]  And that doesn't mean they don't now come after us in state courts.
[00:04:49.004 --> 00:04:52.985]  But the point is, is that now that's given us some time.
[00:04:53.485 --> 00:05:00.388]  Now I've got a federal trustee over my personal chapter 7, who is reportedly very respected, that was just brought in by the court today.
[00:05:00.768 --> 00:05:01.548]  We agreed to.
[00:05:02.008 --> 00:05:09.871]  This could actually come in and look at the reality and figure out maybe we can settle with these people now that reality has dawned on them.
[00:05:11.091 --> 00:05:14.653]  But regardless, I could only fight the big crisis that was in front of me.
[00:05:14.713 --> 00:05:19.055]  And so now I'm going to go ahead and give you the big crisis that was in front of me.
[00:05:19.535 --> 00:05:29.501]  Two Fridays ago, it was about this time of day, it was about 3 or 4 o'clock, I heard security people talking about something coming up tonight.
[00:05:29.541 --> 00:05:30.221]  I said, what's going on?
[00:05:30.261 --> 00:05:31.462]  Well, more security's coming in.
[00:05:31.962 --> 00:05:44.282]   I instantly, I'd already seen some of the weird stuff by the CRO, the Chief Restructuring Officer appointed by the court, Patrick McGill, I made some calls and my lawyers go, yeah, it just came in.
[00:05:44.302 --> 00:05:46.623]  He's locking the doors at nine o'clock tonight.
[00:05:47.804 --> 00:05:51.487]  And so I call the security head, which is a private company I've used for years before.
[00:05:51.507 --> 00:05:53.388]  I said, what's going on?
[00:05:54.389 --> 00:05:56.691]  He goes, oh, we're just closing to the court hearing on Monday.
[00:05:56.711 --> 00:05:57.571]  This is two weeks ago.
[00:05:58.312 --> 00:05:59.092]  And I make more calls.
[00:05:59.112 --> 00:06:00.994]  It's actually two weeks up until this hearing today.
[00:06:01.614 --> 00:06:04.516]  And I check and Judge Lopez said it's fine.
[00:06:06.838 --> 00:06:09.720]  He would let it operate until the 14th, this meeting today.
[00:06:10.845 --> 00:06:16.467]  And so why were we told that the company had to shut down without a court order?
[00:06:17.127 --> 00:06:22.848]  Also, under an LLC-type corporation I have, I'm the sole managing member, not the CRO.
[00:06:23.008 --> 00:06:23.568]  I'm the boss.
[00:06:23.608 --> 00:06:25.829]  If he disagrees with what I say, he's got to go to the court.
[00:06:26.309 --> 00:06:28.730]  But he was operating as if that wasn't the case.
[00:06:28.790 --> 00:06:34.892]  And now we've learned, over a month ago, without telling me or telling anybody, he stopped ordering more product.
[00:06:35.372 --> 00:06:40.153]  So as we sell product, we don't order more product, we won't have the money to pay for things, and we'll shut down.
[00:06:40.916 --> 00:06:46.245]  The judge was very concerned about learning that I was never consulted about any of this.
[00:06:46.285 --> 00:06:52.695]  So Patrick McGill, really going back over a month ago, began turning off InfoWars without us knowing.
[00:06:53.428 --> 00:07:20.259]   and began taking myself and other key crew members off administrative controls even of the websites and and things like that and things were being shut down they'd say oh it's an accident but you know we'll fix it but so it was like flipping switches flipping switches and so out a day in court Pat McGill had been telling my financial advisor And people on the court.
[00:07:20.760 --> 00:07:21.380]  What about the court?
[00:07:21.841 --> 00:07:23.822]  Oh, I'm not going to be there after Friday.
[00:07:23.842 --> 00:07:28.626]  I just want a conversion of free speech to Chapter 7.
[00:07:29.206 --> 00:07:31.008]  And I want Alex Jones removed.
[00:07:31.168 --> 00:07:33.129]  He doesn't make money for the company.
[00:07:34.770 --> 00:07:35.791]  We don't want Alex Jones.
[00:07:35.831 --> 00:07:40.483]   And I started learning And he'd been calling around other talk show hosts asking if they would come in.
[00:07:40.823 --> 00:07:41.884]  I just learned this two days ago.
[00:07:42.244 --> 00:07:42.944]  Hadn't talked about it yet.
[00:07:42.964 --> 00:07:46.867]  So this was literally, lock the doors, kick me out, bring in another talk show host.
[00:07:47.647 --> 00:07:50.509]  Kind of what happened at Project Veritas, basically, but a little bit different.
[00:07:51.129 --> 00:07:59.094]  And so, the judge saw this, and then the other side created the Connecticut Democrats, Senator Buenaventura's outfit.
[00:08:00.075 --> 00:08:05.378]  They created transcripts and tried to enter into evidence that weren't complete.
[00:08:06.152 --> 00:08:08.874]  And the judge said, I'm not going to take these if they're not complete this morning.
[00:08:09.335 --> 00:08:12.957]  So in hours, it turns out they had the full transcripts from a real transcript company.
[00:08:13.218 --> 00:08:18.742]  They just had their people, it looks like, the lawyers pull out the quotes they wanted, you know, in a Word document.
[00:08:19.302 --> 00:08:21.984]  They go, oh, actually, we have the big actual certified transcripts.
[00:08:23.045 --> 00:08:27.209]  The judge said, I'm taking a two-hour break, an hour and a half break.
[00:08:27.529 --> 00:08:32.613]  Again, I'm going to go read all of this from the shows I did two weeks ago.
[00:08:33.373 --> 00:08:35.255]  So he goes and reads this and comes out.
[00:08:36.247 --> 00:08:40.309]  And it's like, whoa, because he didn't know they tried to take over the company outside his order.
[00:08:40.589 --> 00:08:42.650]  He didn't know I said that he was doing a good job.
[00:08:42.670 --> 00:08:47.293]  He didn't know that they were basically turning the operation off.
[00:08:47.433 --> 00:08:57.478]  And so he said to McGill, said, well, the trustees that were part of the court wanted you to stay on and transfer this stuff and do all this stuff.
[00:08:58.018 --> 00:09:00.119]  He goes, I want you to do one more thing.
[00:09:00.951 --> 00:09:05.414]  And the bank accounts back over to Free Speech Systems right now and you're done!
[00:09:05.474 --> 00:09:06.054]  Thank you very much.
[00:09:06.094 --> 00:09:08.735]  So it was a pretty serious repudiation.
[00:09:09.076 --> 00:09:11.077]  It's not about being convictive about the McGill guy.
[00:09:11.517 --> 00:09:14.098]  People hear me on air going, hey, they're trying to close the doors tonight.
[00:09:14.138 --> 00:09:15.539]  That sounds wild and crazy.
[00:09:15.559 --> 00:09:16.440]  It's not a court order.
[00:09:16.580 --> 00:09:16.880]  It is.
[00:09:17.420 --> 00:09:19.642]  And then you learn he started not ordering products in the future.
[00:09:19.702 --> 00:09:20.322]  That's crazy.
[00:09:20.382 --> 00:09:20.802]  Why would you?
[00:09:21.322 --> 00:09:22.303]  All these things were done.
[00:09:22.363 --> 00:09:26.084]   Why would he approach And Drew didn't want any trouble.
[00:09:26.104 --> 00:09:27.265]  We were trying to hire him as a reporter.
[00:09:27.805 --> 00:09:30.787]  Why would they approach Drew Hernandez and say, well, Alex Jones may be gone soon.
[00:09:31.307 --> 00:09:32.068]  We want you to host.
[00:09:32.088 --> 00:09:40.834]  Well, that's because they knew Chase Geyser and Owen Schroer and Harrison Smith would not, you know, take over my show if I was removed.
[00:09:41.374 --> 00:09:44.677]  So the bottom line is he tried to remove me today.
[00:09:45.689 --> 00:09:49.211]  I'm telling my lawyers yesterday, he was leaving today, would not be part of it.
[00:09:49.231 --> 00:09:54.914]  He tried to stay on in a liquidation of company assets.
[00:09:55.555 --> 00:09:57.316]  This is just absolutely wild.
[00:09:57.336 --> 00:10:00.277]  It's just, it's just, it's just crazy.
[00:10:00.778 --> 00:10:04.780]  And then also they kept getting up on the floors from Connecticut.
[00:10:05.413 --> 00:10:10.518]  They kept getting up over and over again and saying, he's on air attacking the families right now!
[00:10:10.838 --> 00:10:14.062]  The judge goes, hey, I don't know if that's true or not, but that's the First Amendment.
[00:10:14.082 --> 00:10:16.384]  Plus, I've not been talking about the families.
[00:10:16.424 --> 00:10:29.237]  I've always made it a trillion percent clear that they're being used and manipulated by the deep state that's on record that admits they organized this, the PR firms, the New York Times, the FBI.
[00:10:30.242 --> 00:10:33.203]  I'm a CIA and that's all the news was testified to in court.
[00:10:33.263 --> 00:10:35.563]  In the Connecticut case, the FBI head gets up and bits.
[00:10:35.583 --> 00:10:36.303]  He cooked it all up.
[00:10:37.023 --> 00:10:37.984]  They're proud of themselves.
[00:10:38.024 --> 00:10:39.324]  They've had extreme arrogance.
[00:10:39.864 --> 00:10:42.245]  And so literally, by the grace of God, it's not me.
[00:10:42.605 --> 00:10:44.325]  I snipped this out two Fridays ago.
[00:10:45.225 --> 00:10:48.406]  I stood there with the private security that didn't know what to do, explaining them a law.
[00:10:48.886 --> 00:10:49.626]  I backed that down.
[00:10:49.686 --> 00:10:50.566]  My crew stood with me.
[00:10:50.586 --> 00:10:51.466]  The listeners stood with me.
[00:10:51.987 --> 00:10:53.807]  But people heard all this and so what?
[00:10:56.224 --> 00:10:57.664]  People are like, what's actually happening?
[00:10:57.985 --> 00:10:59.045]  And then the next week they admit it.
[00:10:59.085 --> 00:11:00.525]  Okay, we wanted to shut down InfoWars.
[00:11:00.985 --> 00:11:02.846]  And so everything I've said has been on the record.
[00:11:02.866 --> 00:11:03.826]  It's complex.
[00:11:03.866 --> 00:11:04.846]  It's a long story.
[00:11:05.167 --> 00:11:07.167]  But that's where we're at.
[00:11:07.707 --> 00:11:08.748]  That's what's unfolding.
[00:11:09.668 --> 00:11:13.449]  And so this is the two bad outcomes.
[00:11:13.469 --> 00:11:15.930]  This is the one that's way better than the other.
[00:11:16.770 --> 00:11:18.430]  So it's another, you know, lease on life.
[00:11:18.911 --> 00:11:20.291]  More time to understand what's happening.
[00:11:20.391 --> 00:11:21.951]  More time to find out what we're going to do.
[00:11:22.752 --> 00:11:23.952]  But it was just wild.
[00:11:24.679 --> 00:11:37.444]  To see him get up there and say, we don't need Alex Jones, and we want him basically removed out of the company, and we want to have a new talk show host.
[00:11:38.325 --> 00:11:41.286]  And the judge asked him, he said, well, have you talked to the InfoWars crew?
[00:11:41.306 --> 00:11:42.687]  Are they going to stay when we remove Jones?
[00:11:43.807 --> 00:11:46.688]  And the judge wanted to say, plus, this is under law, Jones's company.
[00:11:47.369 --> 00:11:51.030]  You cannot do that through your operation.
[00:11:51.290 --> 00:11:52.491]  You're only to report back to the court.
[00:11:53.456 --> 00:12:13.193]   So I was so nice to these guys when they came in almost two years ago and just a team player that he really took advantage and the biggest thing I learned the last few months is He would go around to the employees and say, Alex Jones deserves to be in jail for his political views.
[00:12:13.753 --> 00:12:16.536]  Alex Jones is going to kill people saying, you know, don't take the shots.
[00:12:17.056 --> 00:12:19.338]  Alex, this type of programming should not be on the air.
[00:12:19.819 --> 00:12:21.320]  He said it to a whole bunch of the crew.
[00:12:21.340 --> 00:12:23.922]  They didn't want to stir up trouble because he's saying, I'm the boss.
[00:12:24.503 --> 00:12:26.965]  And then they finally all told me about what he said, what he did.
[00:12:27.505 --> 00:12:31.569]  And then even our security head, he's a great guy, said, yeah, he's been doing that for the whole time he's been here.
[00:12:32.089 --> 00:12:33.490]  I'm like, well, that's really nice to know now.
[00:12:33.810 --> 00:12:35.332]  So the guy is a leftist.
[00:12:36.351 --> 00:12:38.352]  Whether acting with the other side, probably not.
[00:12:38.372 --> 00:12:39.212]  He's probably acting on his own.
[00:12:39.232 --> 00:12:39.633]  That's what they do.
[00:12:39.653 --> 00:12:40.773]  It's Trump derangement syndrome.
[00:12:41.253 --> 00:12:41.934]  Get all this.
[00:12:42.274 --> 00:12:45.595]  So that's why I had two choices.
[00:12:45.835 --> 00:12:46.836]  They were going for Chapter 7.
[00:12:47.596 --> 00:12:49.117]  I would have been removed today.
[00:12:49.357 --> 00:12:50.398]  I'd be locked out of the building.
[00:12:50.578 --> 00:12:51.818]  That was even set it on the stand.
[00:12:52.098 --> 00:12:53.119]  I mean, remove Alex Jones.
[00:12:53.639 --> 00:13:00.164]  So I had that, or I could slam it back into state court and then have a battle there that at least buys us some time.
[00:13:00.245 --> 00:13:02.066]  So I'm not giving up, I'm fighting.
[00:13:02.546 --> 00:13:06.509]  If I had an option to stop fighting and have freedom and be back to free speech, I'd take that option.
[00:13:06.770 --> 00:13:15.917]  But I can fight with a guy in there that's out to get me, who just removes me immediately, I'm no longer in the building, or I can buy time to continue.
[00:13:15.997 --> 00:13:20.761]  And so, that's the reality, that's what happens, that's the boil down, that's where we are, Owen Stroyer.
[00:13:22.042 --> 00:13:33.845]  Well, so everybody is going to want to know, and I guess as best as you can, try to let the audience know, how much time do you think we've bought with this decision?
[00:13:34.065 --> 00:13:37.066]  What do you have, if any, expectations for the Texas court?
[00:13:41.107 --> 00:13:50.647]   Look, we're out of the oven in the frying pan, and in the case of the federal judges, In the case of Travis County, it's famously partisan, whatever.
[00:13:51.027 --> 00:13:52.228]  Point is, that all takes time.
[00:13:52.568 --> 00:13:53.408]  That takes process.
[00:13:53.568 --> 00:14:00.871]  I had a guy in there filing, pick me out of my own company, you know, the law says he can't, and then take it over.
[00:14:00.891 --> 00:14:06.913]  And then he was talking about getting rid of most of the crew and stuff to the judge, even though it's a profitable company.
[00:14:08.073 --> 00:14:13.835]  So the only option I had was to, you know, to roll the dice, tell the judge the truth.
[00:14:14.676 --> 00:14:20.956]   And I don't think the judge He was 100% gonna rule for us until he came back from lunch.
[00:14:22.957 --> 00:14:28.739]  And when he came back from lunch, he's a very smart guy, top of his class.
[00:14:30.159 --> 00:14:31.780]  He just kept saying, who's CRO?
[00:14:31.800 --> 00:14:35.541]  You've done such a great job, now get your stuff and get out.
[00:14:35.581 --> 00:14:39.362]  And he was like, you just transfer those bank accounts over right now.
[00:14:39.542 --> 00:14:42.163]  Because I'm sure the judge is reading this horrified.
[00:14:42.972 --> 00:14:53.917]  You know, that outside of law, locked the doors, kicked me out, and he just heard McGill before lunch, before the break, say, I want Jones gone, and I'm gonna stay on, and I'm gonna run this thing.
[00:14:53.997 --> 00:14:56.898]  I mean, it's just like, total power grab.
[00:14:56.918 --> 00:14:59.839]  So, I don't care about this Pat McGill guy.
[00:14:59.899 --> 00:15:01.700]  I'm out here saying all this to attack him.
[00:15:02.100 --> 00:15:07.382]  This is the historical record of what happened and what went on.
[00:15:07.563 --> 00:15:10.764]  So, would it be InfoWars is shut down today?
[00:15:12.448 --> 00:15:17.168]   I mean, let me ask you, Ellen, he literally said to the court, "Oh, I'm going to go to the other house.
[00:15:17.168 --> 00:15:18.168]  We're shutting down Alex Jones."
[00:15:18.168 --> 00:15:22.688]   Can you imagine how pissed the listeners would be if they turned it on and like, "Well, Alex is gone.
[00:15:22.688 --> 00:15:23.688]  He was fired, but we run this now."
[00:15:23.688 --> 00:15:27.808]   Everyone would turn against us, even if they had a brain that was like, "Nope, we're not selling you the products.
[00:15:27.808 --> 00:15:28.808]  The funding operation, it'd be over."
[00:15:28.808 --> 00:15:33.868]   It's not just that you're loyal and if they fired me, I'm guessing you're going to leave, probably.
[00:15:33.868 --> 00:15:34.868]  I'm guessing.
[00:15:34.868 --> 00:15:36.868]   But you also know- You don't have to guess, Alex.
[00:15:36.868 --> 00:15:38.608]  You know I'm loyal like a hound dog.
[00:15:38.608 --> 00:15:40.608]  Well, absolutely.
[00:15:40.632 --> 00:15:42.012]  And plus, it's not that you're loyal to me.
[00:15:42.032 --> 00:15:44.673]  I mean, you're not with this leftist, is what I'm saying.
[00:15:45.933 --> 00:15:54.615]  Well, and I think that this is maybe where we take this conversation now, because there's so many eyes on us, there's so many eyes on you, because this is the important thing.
[00:15:54.655 --> 00:16:03.677]  Look, the fate of InfoWars, the fate of Alex Jones, has kind of already been sealed when we decided to take this battle on, when you decided to take this battle on decades ago.
[00:16:04.297 --> 00:16:08.418]  But in the videos you shot earlier, this is the most important point for people to understand.
[00:16:09.338 --> 00:16:11.881]  These are true tyrants we're dealing with.
[00:16:12.101 --> 00:16:13.282]  This is true tyranny.
[00:16:13.322 --> 00:16:15.204]  This is the attack on free speech.
[00:16:15.525 --> 00:16:16.866]  And so it's always InfoWars.
[00:16:17.126 --> 00:16:18.668]  It's always Alex Jones that's the test case.
[00:16:18.948 --> 00:16:22.472]  And so look, it was censorship of Alex and InfoWars, then it was everybody else.
[00:16:22.972 --> 00:16:25.635]  It was the imprisonment of Owen Schroer, now it's everybody else.
[00:16:25.835 --> 00:16:27.897]  Now it's the lawfare against Alex Jones and InfoWars.
[00:16:28.057 --> 00:16:29.339]  Now it's Trump and everybody else.
[00:16:29.779 --> 00:16:30.160]  I mean, so...
[00:16:30.740 --> 00:16:35.382]  You know, this is a major moment, I think, for people to realize the seriousness of this.
[00:16:35.442 --> 00:16:39.183]  Folks, we are dealing with true tyranny.
[00:16:39.223 --> 00:16:42.664]  We are dealing with true authoritarians right now.
[00:16:42.824 --> 00:16:43.244]  Absolutely.
[00:16:45.505 --> 00:16:46.165]  Absolutely.
[00:16:46.205 --> 00:16:47.686]  I mean, this is war.
[00:16:48.066 --> 00:16:51.567]  And look, best I can tell, everything I told you earlier is on record.
[00:16:51.687 --> 00:16:53.848]  We have videos, court filings, it's documented.
[00:16:54.884 --> 00:16:58.007]  This is speculation, but it's the best I've got.
[00:16:58.027 --> 00:17:09.598]  It's the only thing I saw out of the, uh, Akron final trustee, who just ran, you know, about a court, and I... Oh, and I kind of broke up there.
[00:17:09.618 --> 00:17:10.099]  Am I still there?
[00:17:10.419 --> 00:17:10.940]  Yeah, you're still there.
[00:17:10.960 --> 00:17:12.561]  You were just getting into the new trustee.
[00:17:14.966 --> 00:17:16.027]  We've got you Alex, go ahead.
[00:17:16.067 --> 00:17:18.729]  The new trustee is good, as far as we can tell.
[00:17:19.070 --> 00:17:19.810]  It's high grade.
[00:17:21.812 --> 00:17:23.233]  The ones that came in are big liberals.
[00:17:25.275 --> 00:17:27.617]  The CRO is a big liberal.
[00:17:27.877 --> 00:17:35.104]  And they were basically, as we can tell, conferring and working with the committee, the court, aloud on the Connecticut plans.
[00:17:35.565 --> 00:17:44.525]   to sit there and read all my bills and look over my shoulder and ask what was this $400 bill for dinner you know when i took out people for a business meeting i mean literally they've enjoyed
[00:17:44.525 --> 00:17:56.605]   all this i don't care the the the harassment means nothing to me they tried to come after your cat alex but but but these guys in the court today said we want mr jones shut down
[00:17:56.778 --> 00:17:58.599]  We want Alex Jones off air.
[00:17:58.619 --> 00:18:02.401]  That's the best thing for the creditors, even though that means all the money gets turned off.
[00:18:02.921 --> 00:18:04.722]  So yeah, I mean, it was just absolute crazy.
[00:18:04.742 --> 00:18:12.767]  The best I can tell is McGill, this little group he works with, they normally do like low-level Italian food restaurant, mom and pop goes bankrupt, they do that.
[00:18:12.787 --> 00:18:14.068]  These are small fry people.
[00:18:14.768 --> 00:18:21.552]  Because I did a chapter five at first, this is, you know, a very quick, fast bankruptcy, got converted into something else later.
[00:18:23.895 --> 00:18:29.737]  But basically, these were liberals, old liberals, who literally thought they had, like, Satan on their hands.
[00:18:30.297 --> 00:18:37.839]  And so in that process, I mean, hell, the subject of 5 Trumps T openly said, I don't like what he's saying on air.
[00:18:37.859 --> 00:18:38.579]  I want him off the air.
[00:18:38.919 --> 00:18:43.120]  And the judge looked at both of those women and said, I'm not here to take people off the air.
[00:18:43.140 --> 00:18:43.881]  It's the First Amendment.
[00:18:43.901 --> 00:18:45.861]  That has no bearing on this.
[00:18:46.301 --> 00:18:48.702]  She's a Trump-appointed judge, but that's just an American thing.
[00:18:49.398 --> 00:18:54.439]  So, and then again, they also tried to pretend like I was hacking a family.
[00:18:54.999 --> 00:18:56.920]  I always said the families are just being used.
[00:18:57.360 --> 00:18:59.400]  I'm talking about the Deep State, the globalists, what they're doing.
[00:18:59.520 --> 00:19:01.020]  I didn't kill the kids at Sandy Hook.
[00:19:01.421 --> 00:19:02.281]  Adam Lanza did.
[00:19:02.641 --> 00:19:03.841]  And I barely ever talked about it.
[00:19:03.881 --> 00:19:06.782]  So, they were in front of the judge saying he's saying terrible things about the families.
[00:19:06.822 --> 00:19:09.362]  He's saying all the stuff he said before, which I never said.
[00:19:09.662 --> 00:19:11.323]  And it's all, again, a misrepresentation.
[00:19:11.703 --> 00:19:17.604]  And the judge went and railed because they were dumb enough to put into evidence the transcripts of my shows about this.
[00:19:18.286 --> 00:19:19.388]  And he got the download.
[00:19:20.209 --> 00:19:22.371]  Because everything I said about the court was real.
[00:19:22.652 --> 00:19:24.193]  Everything he knew I said was accurate.
[00:19:24.494 --> 00:19:31.242]  And I'm telling you, that's what took us over the edge, was they thought, oh, he'll go show the judge transcripts of Alex Jones' show.
[00:19:31.723 --> 00:19:34.987]  And then what do you think happened when he actually read them, Howard?
[00:19:36.257 --> 00:19:44.709]  Well, and it's just so incredible because that is one instance where they misrepresent what you say, what you represent, and who you are.
[00:19:44.870 --> 00:19:48.395]  I mean, that's the case for almost all of these situations.
[00:19:51.263 --> 00:19:52.704]  Yeah, well, the judge did a good job.
[00:19:52.744 --> 00:19:53.524]  He was very torn.
[00:19:53.985 --> 00:19:55.126]  And Chris Lopez.
[00:19:55.666 --> 00:19:56.987]  And so that's basically where we are.
[00:19:57.067 --> 00:20:02.630]  Oh, there was also huge misrepresentations that, oh, we caught another secret scam.
[00:20:03.791 --> 00:20:06.072]  We caught a secret advertising scam.
[00:20:06.833 --> 00:20:08.934]  Alex has Dr. Jones naturals.
[00:20:09.335 --> 00:20:11.696]  And it's like literal advertising.
[00:20:11.736 --> 00:20:12.757]  We've had it for years.
[00:20:13.897 --> 00:20:16.181]   It's Advertise on the show.
[00:20:16.241 --> 00:20:18.142]  It pays advertising and free speech systems.
[00:20:18.622 --> 00:20:21.023]  And then they said, oh, Jones wants InfoWars to shut down.
[00:20:21.103 --> 00:20:22.163]  Jones says, don't give money to it.
[00:20:22.484 --> 00:20:23.904]  No, we've had record sales.
[00:20:23.984 --> 00:20:27.126]  I said, this will be your last chance to get products at InfoWars.
[00:20:27.978 --> 00:20:32.882]  So yeah, now you will definitely get your products if you order in the next few months.
[00:20:32.902 --> 00:20:34.784]  We just probably got three, four months of runway.
[00:20:34.804 --> 00:20:38.907]  Hopefully, God keeps giving us like the widow's mite or runway here.
[00:20:39.468 --> 00:20:40.929]  So hopefully, that happens.
[00:20:41.309 --> 00:20:42.050]  Hopefully, that's the case.
[00:20:42.070 --> 00:20:46.354]  But I was like, hey, if you're going to get your InfoWars orders in, you better do it soon.
[00:20:46.774 --> 00:20:48.055]  We may get shut down this Friday.
[00:20:48.435 --> 00:20:51.258]  And Pat McGill was in there saying, kick me out, get rid of me Friday.
[00:20:52.058 --> 00:20:58.702]  So, you know, we just dodged a bullet, praise Jesus, and now you can order at InfoWars.com, you'll get it for sure.
[00:20:59.682 --> 00:21:02.444]  That funds the operation, so that's exactly what I said.
[00:21:02.504 --> 00:21:10.588]  I said, there's a chance the judge will keep us open, so keep ordering, even though there's a small chance of things shutting down on Friday, and your order came in Friday, you might not get it.
[00:21:10.928 --> 00:21:16.071]  Well, now, you know, people bet on us again, so we have money to continue on, but just enough to barely operate.
[00:21:16.091 --> 00:21:17.712]  So I want to thank everybody for their support.
