[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[00:13:17.199 --> 00:13:20.581]  And I got mad at folks, called them into a meeting, and I said, here's the damn federal law.
[00:13:21.638 --> 00:13:22.779]  And of course it came out it was right.
[00:13:24.039 --> 00:13:26.181]  So I know how to read a law.
[00:13:26.481 --> 00:13:27.461]  I know how to do stuff.
[00:13:27.481 --> 00:13:28.522]  So I start calling the lawyers.
[00:13:28.582 --> 00:13:33.785]  I said, listen, you got to have an order by a court to close the doors and fire people.
[00:13:34.846 --> 00:13:41.129]  You can't, and by the way, McGill's like, well, I'm just going to get rid of the talk show host and cut the feed off and end the show.
[00:13:41.589 --> 00:13:43.250]  But just two weeks, like flatten the curve.
[00:13:44.091 --> 00:13:44.951]  First, it was a few days ago.
[00:13:44.991 --> 00:13:45.692]  It was actually two weeks.
[00:13:48.234 --> 00:13:55.236]  But I'm going to keep the security and all of his people that are in the few people that are in the administrative end, so he can continue to run things.
[00:13:55.296 --> 00:14:07.660]  I said, oh wait, how are, to his lawyers, how are you going to say the people you want to stay on, but the talk show host, that are the essential thing for this operation and for this, quote, estate for the creditors, how are you going to do that?
[00:14:07.740 --> 00:14:08.540]  I mean, they know what to say.
[00:14:08.620 --> 00:14:11.841]  So then I explained to him today, again, I said, go check the law.
[00:14:12.958 --> 00:14:15.160]  You can't do that without a court order.
[00:14:15.681 --> 00:14:19.824]  And if Judge Lopez on Monday says, shut this down, then I'll abide by it, and that's the way it is.
[00:14:19.844 --> 00:14:21.466]  I think it's a stupid move, but I think it's going to happen.
[00:14:22.567 --> 00:14:26.931]  I think Pat McGill's going to get removed on Monday, the emergency hearing in Houston.
[00:14:27.091 --> 00:14:30.334]  But whatever happens, I'm not worried about it, because I'm not going to sit here and take this.
[00:14:30.374 --> 00:14:31.855]  It's not because I want to fight with people.
[00:14:32.436 --> 00:14:35.339]  It's because I'm not bending over and taking a bunch of bullshit.
[00:14:36.099 --> 00:14:36.260]  So,
[00:14:37.489 --> 00:14:47.035]  The reason he panicked, McGill panicked, watching the live show and ran around and said, get him off the air, turn him off right now, throw him out of the building.
[00:14:48.276 --> 00:14:50.257]  And finally people talked to lawyers and said, we can't do that.
[00:14:50.957 --> 00:14:55.240]  It's because he heard me say, I've got other information.
[00:14:56.300 --> 00:14:58.742]  So I'm gonna explain it real slow for you, Pat.
[00:15:00.472 --> 00:15:02.093]  I'll be on Tucker Carlson in three days if I want to.
[00:15:02.653 --> 00:15:03.593]  I'll be on Joe Rogan if I want to.
[00:15:04.094 --> 00:15:05.494]  I can put this out a thousand places.
[00:15:05.594 --> 00:15:06.134]  You're a fool.
[00:15:06.334 --> 00:15:09.396]  The Internet's meant to take a nuclear strike to keep information going.
[00:15:10.096 --> 00:15:13.077]  So this building, I'm sentimental about it.
[00:15:13.778 --> 00:15:14.618]  I care about the crew.
[00:15:14.658 --> 00:15:15.498]  We've got a great team.
[00:15:15.638 --> 00:15:16.479]  I don't want that to happen.
[00:15:17.479 --> 00:15:22.321]  But you have to understand that you've crossed the Rubicon here, buddy boy.
[00:15:23.742 --> 00:15:26.243]  And so now you're in a real world situation.
[00:15:27.182 --> 00:15:29.945]  So this is all about, oh, you're gonna creep around in the background.
[00:15:29.985 --> 00:15:31.007]  You're gonna do all this stuff.
[00:15:31.067 --> 00:15:31.507]  No, you're not!
[00:15:31.527 --> 00:15:34.271]  Where's my phone?
[00:15:35.612 --> 00:15:38.294]  I'll pull up the other stuff right now, okay?
[00:15:38.814 --> 00:15:40.155]  That ain't a threat.
[00:15:40.215 --> 00:15:44.678]  I'm telling you that you're the one starting a fight with me.
[00:15:44.918 --> 00:15:52.363]  You're the one with your screwball leftist friends that thinks I'm here as a fucking goddamn doormat.
[00:15:52.923 --> 00:15:54.124]  Get it straight, son.
[00:15:55.165 --> 00:15:56.186]  I'm not a doormat.
[00:15:56.486 --> 00:16:00.969]  You think you're smarter than me, you think you're better than me, you think you know more than me, you're full of shit.
[00:16:01.609 --> 00:16:03.971]  He went around two weeks ago when he was here, he's here like every two weeks,
[00:16:05.003 --> 00:16:13.652]  Sitting on his ass getting $50,000 a month and he went around to the crew members and told them that I deserve to be in jail, that I'm killing people because I'm not promoting the vaccine.
[00:16:13.812 --> 00:16:14.613]  Hey, dumbass!
[00:16:15.454 --> 00:16:17.036]  4% of people are taking the new shot.
[00:16:17.276 --> 00:16:18.317]  There's lawsuits everywhere.
[00:16:18.457 --> 00:16:19.498]  They admit it's killing people.
[00:16:22.341 --> 00:16:22.762]  I'm right!
[00:16:23.062 --> 00:16:23.583]  You're wrong!
[00:16:25.046 --> 00:16:26.907]  But even if I was wrong, this is my company.
[00:16:27.167 --> 00:16:28.188]  I have a right to say it.
[00:16:28.768 --> 00:16:31.029]  And you think going around to my crew undermines me?
[00:16:31.250 --> 00:16:33.351]  Or maybe you wanted to piss me off and have me go off half-cocked?
[00:16:33.631 --> 00:16:34.071]  Well, guess what?
[00:16:34.091 --> 00:16:34.972]  I ain't going off half-cocked.
[00:16:35.732 --> 00:16:39.955]  So, I don't, at the end of the day, care about my life, or anything, or my treasure.
[00:16:40.255 --> 00:16:41.315]  I care about my sacred honor.
[00:16:41.636 --> 00:16:46.618]  I will pledge my life, my treasure, on my sacred honor, because you just dealt with 1776, the real McCoy.
[00:16:46.638 --> 00:16:46.738]  Okay?
[00:16:46.779 --> 00:16:46.819]  So...
[00:16:50.236 --> 00:16:54.982]  Keep trying to cupcake this around the sides and keep trying to run around like a chicken with your head cut off.
[00:16:55.303 --> 00:16:57.986]  You got Godzilla coming out of the ocean in Tokyo, okay?
[00:16:58.567 --> 00:17:05.155]  I will not sit here and be pushed around and lied about and screwed over anymore.
[00:17:06.136 --> 00:17:06.577]  Comprende?
[00:17:07.654 --> 00:17:09.455]  So that's how this works.
[00:17:09.836 --> 00:17:11.016]  That's how this goes down.
[00:17:11.036 --> 00:17:21.524]  I don't expect anything except making sure you get exposed no matter what happens to me, because my integrity is absolutely 110% paramount.
[00:17:23.245 --> 00:17:24.626]  So that's where this is.
[00:17:24.846 --> 00:17:30.150]  And I'm sitting here with the crap you pulled and the things you did that I told my lawyers about.
[00:17:31.843 --> 00:17:38.344]  I'm like, he came in my office and he said, listen Alex, for three months, we're friends, why don't you just keep money as side bills, I don't care.
[00:17:39.004 --> 00:17:42.105]  I'm like, hey, I'm gonna go to the bathroom real quick, cause I, you know, I'm not sitting there like, recording.
[00:17:42.165 --> 00:17:43.805]  I come back, oh, oh, tell me that again, yeah.
[00:17:44.425 --> 00:17:45.805]  You're, it's over.
[00:17:45.825 --> 00:17:47.846]  Okay, it's over.
[00:17:48.246 --> 00:17:51.787]  Game over, game over, game over.
[00:17:52.227 --> 00:17:53.927]  I think by the end of this show, we'll just play it for you.
[00:17:54.827 --> 00:17:57.608]  So, keep playing your fucking games with me.
[00:17:57.628 --> 00:17:58.648]  Okay?
[00:17:59.048 --> 00:17:59.648]  Game's over.
[00:18:00.848 --> 00:18:01.568]  Games are over!
[00:18:02.129 --> 00:18:03.089]  You want the real Alex Jones?
[00:18:03.109 --> 00:18:03.669]  You got one right now.
[00:18:03.829 --> 00:18:12.172]  Because I was focused on the New World Order, on George Soros, on King Charles, on Tedros, on Bill Gates, on big enemies of the people.
[00:18:12.613 --> 00:18:18.355]  My job wasn't sitting here, running around while I'm getting stabbed in the side by a Lilliputian, worrying about what's happening to me.
[00:18:19.015 --> 00:18:26.238]  But now, at the end of this operation, I will not sit here and comply with lies.
[00:18:27.631 --> 00:18:29.032]  So, that's where we are.
[00:18:29.152 --> 00:18:30.893]  And I know Owen and others wanted to come on.
[00:18:30.933 --> 00:18:31.653]  I'm glad they're here.
[00:18:31.693 --> 00:18:33.754]  Harrison and Chase Geyser.
[00:18:34.635 --> 00:18:35.235]  Harrison Smith.
[00:18:35.795 --> 00:18:37.056]  We're not here to attack anybody.
[00:18:37.416 --> 00:18:38.317]  I've been under attack.
[00:18:39.497 --> 00:18:40.338]  I've been gaslit.
[00:18:41.058 --> 00:18:43.780]  I've had secret federal filings filed on me that I'm committing crimes.
[00:18:44.060 --> 00:18:45.040]  Referred to the Justice Department.
[00:18:45.601 --> 00:18:46.441]  Which of course wasn't true.
[00:18:46.461 --> 00:18:47.902]  We'd already filed it in federal court months before.
[00:18:47.922 --> 00:18:49.063]  They didn't even check this shit.
[00:18:49.083 --> 00:18:55.746]  If you're gonna fucking frame somebody and fucking lie about it in the goddamn federal court, for the fucking know it's already filed in the goddamn court!
[00:18:56.006 --> 00:18:56.587]  You bastard!
[00:18:57.489 --> 00:18:58.230]  So fuck you!
[00:18:58.790 --> 00:19:00.811]  And fuck anybody else that tries to go on your shit!
[00:19:01.172 --> 00:19:02.412]  You want fucking war?
[00:19:02.713 --> 00:19:03.873]  You fucking got it!
[00:19:04.154 --> 00:19:07.356]  I told you one more fucking lie and I was gonna do this, alright?
[00:19:08.317 --> 00:19:09.778]  I tried to sustain this place.
[00:19:09.938 --> 00:19:11.539]  I didn't believe America was as corrupt as this.
[00:19:11.919 --> 00:19:14.421]  I didn't believe we were this fucked and we are this fucked.
[00:19:14.861 --> 00:19:18.364]  This country is administratively got a bunch of scum in charge of it.
[00:19:18.884 --> 00:19:22.847]  That's why it's going down the tubes and America and the whole world sees it.
[00:19:23.507 --> 00:19:28.992]  So you misjudge who I am, and in a year, millions misjudge who I am, and you have no idea!
[00:19:30.373 --> 00:19:31.074]  No idea!
[00:19:31.594 --> 00:19:36.638]  So go ahead, try to jerk off some operation to shut the doors here and do that, and prove everything I said.
[00:19:36.959 --> 00:19:38.060]  It doesn't matter!
[00:19:38.900 --> 00:19:41.142]  And I don't sit there and make threats, I make promises.
[00:19:43.104 --> 00:19:44.825]  I haven't had time yet to dig it out of my phone.
[00:19:46.086 --> 00:19:46.567]  But I will.
[00:19:47.908 --> 00:19:51.051]  And, you will at the end of the day know,
[00:19:52.145 --> 00:19:57.309]  That Alex Jones, the American Patriot, defeated your evil ass!
[00:19:58.290 --> 00:19:58.950]  You guys want to comment?
[00:19:59.991 --> 00:20:15.102]  Well, I'll just say I had to come up here because I've put a lot of my blood, sweat, and tears into InfoWars, and I think we all knew that the Obi-Wan Kenobi fate would probably be the reality of the situation here.
[00:20:16.860 --> 00:20:18.101]  We can't go silently.
[00:20:18.462 --> 00:20:19.763]  You know, we can't go silently.
[00:20:19.823 --> 00:20:26.910]  We can't not celebrate all the victories that we've had and it's... That's my biggest frustration is I thought this was coming probably soon.
[00:20:26.930 --> 00:20:27.971]  I've told people I'm not playing games.
[00:20:28.252 --> 00:20:29.293]  I wanted to celebrate everybody.
[00:20:30.319 --> 00:20:30.719]  Sorry, go ahead.
[00:20:31.059 --> 00:20:32.480]  Well, that's that's the entire purpose.
[00:20:32.500 --> 00:20:34.621]  I mean, you brought up one instance, the vaccine.
[00:20:34.721 --> 00:20:36.282]  Maybe it's one of our biggest victories.
[00:20:36.783 --> 00:20:39.244]  I have people telling me all the time they call into my show.
[00:20:39.324 --> 00:20:41.325]  Thank you for warning us about the vaccines.
[00:20:41.365 --> 00:20:42.666]  Thank you for showing the studies.
[00:20:43.006 --> 00:20:46.208]  Thank you for showing the internal emails that got when nobody else was.
[00:20:46.468 --> 00:20:48.429]  And then they were getting totally hammered for it.
[00:20:48.769 --> 00:20:51.613]  They tell their family members, they tell their friends, it might have saved their lives.
[00:20:51.694 --> 00:20:53.476]  They know people that had a bad side effect.
[00:20:53.797 --> 00:20:55.559]  So, you know, that's kind of a big victory.
[00:20:55.579 --> 00:20:57.362]  And, of course, there's different levels of this.
[00:20:57.422 --> 00:21:04.333]  The eugenicists that want to wipe out the population, they just want to be a management class on this planet that they view as a life raft.
[00:21:05.073 --> 00:21:08.815]  The kind of the scum at the bottom level, they just hate your guts.
[00:21:08.855 --> 00:21:17.139]  They just hate your guts and I guess that they think they're going to be part of this management class when it all comes down, but they're going to take the vaccines too.
[00:21:17.159 --> 00:21:21.321]  They're not going to give you a special vaccine that's not going to be deadly for you.
[00:21:21.481 --> 00:21:23.042]  Not for the general public, they do give it to themselves.
[00:21:23.382 --> 00:21:24.984]  They're not going to let you have steak dinners.
[00:21:25.004 --> 00:21:27.606]  They're not going to let you drive around in a gas-powered vehicle.
[00:21:27.646 --> 00:21:30.548]  You're going to be in a pod and be a bug man just like everybody else.
[00:21:31.429 --> 00:21:35.673]  So there's that aspect of why I felt it was imperative to come in here.
[00:21:35.693 --> 00:21:38.335]  I think that when we talk about the larger political issues,
[00:21:39.016 --> 00:21:41.460]  You know, it's crazy.
[00:21:41.480 --> 00:21:46.246]  It really is crazy that InfoWars is the test case for everything.
[00:21:46.406 --> 00:21:49.370]  I mean, it's censorship, it's lawfare, imprisonment.
[00:21:49.411 --> 00:21:49.871]  I mean, what?
[00:21:49.951 --> 00:21:50.752]  Death is next?
[00:21:51.273 --> 00:21:54.558]  So, when I look at what Trump is going through... Yeah, you are in solitary confinement for two months.
[00:21:54.958 --> 00:21:57.281]  Did that make you bow or did that make you get way more hardcore?
[00:21:57.301 --> 00:21:58.202]  You came out even stronger.
[00:21:58.582 --> 00:21:59.483]  I came out stronger.
[00:21:59.563 --> 00:22:03.608]  I came out more focused and I got, I mean, the love and support.
[00:22:03.648 --> 00:22:09.535]  I mean, imagine the love and support that InfoWars crew is going to have should this be the final day.
[00:22:10.115 --> 00:22:12.356]  But you look at now what Trump is going through.
[00:22:12.376 --> 00:22:14.956]  You look at now at other news organizations, what they're going through.
[00:22:15.216 --> 00:22:17.537]  The censorship, the lawfare, the imprisonment.
[00:22:17.917 --> 00:22:20.337]  This is the plan for everybody.
[00:22:20.417 --> 00:22:23.678]  This is how totalitarian regimes form.
[00:22:24.718 --> 00:22:33.780]  And so if you can't see what's going on now, whether it's InfoWars or whether it's Trump or somebody else you know that just got arrested, either you don't want to know,
[00:22:34.900 --> 00:22:39.641]  Uh, either you're just mentally ill, in a way, or completely just brainwashed.
[00:22:39.841 --> 00:22:41.121]  I mean, it couldn't be more obvious.
[00:22:41.141 --> 00:22:42.762]  I mean, I just feel really good telling the truth.
[00:22:42.922 --> 00:22:44.162]  What an epic time to be alive.
[00:22:44.182 --> 00:22:51.403]  I mean, you get a chance to fight for freedom, you get a chance to make history, you get a chance to take humanity, the whole planet, to freedom and prosperity.
[00:22:51.423 --> 00:22:52.624]  I totally agree with you on this.
[00:22:52.764 --> 00:22:58.585]  I've told so many people, quietly, off the record, the top people, they're like, well, we want you on right away when this happens, I'm so sorry.
[00:22:58.605 --> 00:22:59.685]  I'm like, no, it's okay, it's an attack.
[00:23:01.295 --> 00:23:02.136]  They can't believe it.
