[00:00:16.070 --> 00:00:20.175]  Infowars, the most banned network in the world.
[00:06:36.770 --> 00:06:45.172]  First, we have Blinky coming out and saying, affirmatively, assuredly, almost as a guarantee, that Ukraine will become a member of NATO.
[00:06:46.292 --> 00:06:46.432]  And
[00:06:47.978 --> 00:07:03.404]  For those of you who don't understand what this means is that all 32 or 33 nations involved, I think it would be 33 at that point, involved in NATO would be eligible legally, lawfully, on paper, to go to war with Russia.
[00:07:04.385 --> 00:07:06.966]  It would mean a hot war, World War III.
[00:07:08.306 --> 00:07:14.809]  We've got all this happening in conjunction with the conflicts between Israel and Gaza and the potential annexation of Taiwan.
[00:07:16.084 --> 00:07:21.946]  All that in the context of these mysterious earthquakes that have occurred in Taiwan and then in the Northeast here in the United States.
[00:07:23.307 --> 00:07:33.231]  All that in the context of reports coming out that the internet could be crashing at any time until 2025 because of solar weather, solar activity.
[00:07:34.331 --> 00:07:40.434]  The stage is being set, folks, for anything to happen and the Deep State is trying to
[00:07:41.593 --> 00:07:52.579]  Instill insurance policies in the psychology of the masses to guarantee that they can control the narrative and the psychological response of the people worldwide when everything seems to fall apart.
[00:07:54.480 --> 00:08:07.868]  And these stories that we hear of engines falling off of planes, doors flying off of planes, landing gear failing for planes, are a metaphor, a symbol of the entropy of our nation, our culture, our civilization itself.
[00:08:10.700 --> 00:08:11.880]  Yes, it's a fluke thing.
[00:08:12.201 --> 00:08:15.602]  Yes, these things happen every once in a while, but they don't happen all the time.
[00:08:15.882 --> 00:08:18.623]  You don't have emergency landings seemingly every other week.
[00:08:18.663 --> 00:08:19.523]  That's not normal.
[00:08:19.823 --> 00:08:23.104]  You don't have ships being hacked and crashing into bridges.
[00:08:23.724 --> 00:08:26.005]  Another one, a report somewhere in the stack on the desk.
[00:08:26.385 --> 00:08:30.147]  Happening this week, not a bridge crash, but a ship losing control.
[00:08:31.387 --> 00:08:35.128]  All of these pieces, it's just too much for coincidence.
[00:08:35.608 --> 00:08:39.870]  And like I said, I understand these things happen from time to time, but isn't it bizarre to you?
[00:08:41.186 --> 00:08:50.390]  That we're having massive cyber attacks, failures of direct deposits to major Fortune 500 companies, to their employees, from banks that are being hacked.
[00:08:51.451 --> 00:08:53.031]  We're having F-35s disappear.
[00:08:53.351 --> 00:09:02.596]  As soon as a spy balloon is caught over the United States and shot down, then we have massive oil leaks on Hawaii from the Space Force.
[00:09:02.956 --> 00:09:05.397]  All those oil leaks, of course, last February occurred.
[00:09:06.923 --> 00:09:12.665]  Within 24 hours, there's still mysterious lasers being sighted from a Chinese satellite right over the facility.
[00:09:13.265 --> 00:09:17.187]  And then within six months of that, we have massive fires on the entire island.
[00:09:17.867 --> 00:09:27.971]  Then we have train derailments in East Palestine, resulting in massive exposure to the local community, to all sorts of insane chemicals, not to mention what happened to the water supply.
[00:09:28.491 --> 00:09:30.812]  Much worse than simply turning the frogs gay.
[00:09:32.438 --> 00:09:35.160]  And then 60,000 pounds of ammonium nitrate disappearing.
[00:09:35.240 --> 00:09:37.202]  Oh, it must have just fallen out of the train.
[00:09:38.042 --> 00:09:47.109]  And that, all in the context of the over 10 million people that have invaded the United States, sponsored by the Biden administration, since it came into power on January 20th of 2021.
[00:09:50.370 --> 00:10:02.741]  And if you don't think that these things are part of some coordinated conspiracy against the American people, against the world for that matter, then you should think again and look more closely because, like I said, I understand that there is such a thing as an accident.
[00:10:02.801 --> 00:10:13.530]  I understand that there is such a thing as a bad administration or weak leadership and mistakes and incompetence, but it is to such an extent that I cannot fathom there isn't some sort of conspiracy behind this.
[00:10:13.631 --> 00:10:17.414]  I don't know anybody so incompetent that they would be able to make so many mistakes
[00:10:17.614 --> 00:10:18.335]  We're good to go.
[00:10:43.334 --> 00:10:47.320]  One world government cannot be achieved without one world war.
[00:10:47.340 --> 00:10:52.047]  And every time we've had a world war in the history of our species...
[00:10:53.422 --> 00:10:57.126]  The only ones of record that we're able to determine all happened within the last 100 years.
[00:10:57.146 --> 00:11:02.471]  I'm not suggesting that, but it seems likely at this point that maybe this isn't our first rodeo.
[00:11:02.952 --> 00:11:13.343]  Maybe this has happened 10, 15, 20 times over the last hundreds of thousands or millions of years, and the result is just that everything we ever thought we knew gets erased from the planet and we have to start over.
[00:11:15.043 --> 00:11:19.266]  The more I look into it, in Egypt, it seems likely to me that the Egyptians didn't build the pyramids.
[00:11:19.507 --> 00:11:22.229]  It seems likely to me that the Egyptians found the pyramids.
[00:11:22.769 --> 00:11:28.674]  That they existed before the Younger Dryas catastrophes on the planet 10,000 B.C.
[00:11:31.624 --> 00:11:38.187]  And I really hope that that theory, that conspiracy, as fascinating as it is, isn't true.
[00:11:38.787 --> 00:11:49.672]  I really hope that this is our first rodeo because then that would mean that it's not our fate to repeat our past mistakes and erase our history and our species.
[00:11:50.912 --> 00:11:53.814]  I don't know if you've ever heard of the book, The Canticle of Leibowitz.
[00:11:53.834 --> 00:11:56.655]  It's either called The Canticle of Leibowitz or The Canticle for Leibowitz.
[00:11:57.395 --> 00:11:59.056]  But it's a famous science fiction novel.
[00:12:00.336 --> 00:12:02.177]  Basically it takes place at this monastery.
[00:12:02.217 --> 00:12:09.802]  There's this monk and they're looking at these old documents that are apparently specs for some electronic and circuit theory stuff.
[00:12:09.822 --> 00:12:10.563]  They don't know what it means.
[00:12:10.803 --> 00:12:12.084]  They're just copying these specs.
[00:12:12.324 --> 00:12:13.004]  They don't know what it means.
[00:12:13.064 --> 00:12:19.989]  And you find out that civilization has erased itself a number of times and does so on a cyclical basis.
[00:12:21.448 --> 00:12:29.880]  And if we don't wake up to it, if we don't realize that humanity is capable of its own self-destruction, then what are we supposed to do to prevent it?
[00:12:30.340 --> 00:12:32.663]  How can you solve a problem that you don't know exists?
[00:12:32.703 --> 00:12:36.268]  They say, for alcoholics, the first step to getting better is admitting that you have a problem.
[00:12:37.335 --> 00:12:47.366]  Well, maybe for those with genocidal tendencies, maybe for our species, which is inclined to eradicate itself so much, the first step for us to prevent this to happen again is to admit that we have a problem.
[00:12:47.586 --> 00:12:54.314]  We have a problem that is the tendency to eradicate entire peoples no matter what, and the tendency for political systems to
[00:12:54.734 --> 00:13:09.302]  Manifest that don't represent the interests of their own people, that sell the interests of their own people out to an international or global community, and that inevitably causes tremendous war and injustice, death, genocide, and hopefully not this time a mass extinction event.
[00:13:09.322 --> 00:13:10.763]  We're gonna run clip.
[00:13:12.026 --> 00:13:12.667]  One here in a second.
[00:13:12.687 --> 00:13:13.688]  I've seen this report on my desk.
[00:13:14.028 --> 00:13:14.849]  Death to America!
[00:13:14.929 --> 00:13:19.893]  Michigan protesters hold pro-Palestine rally, condemn Israel and the U.S.
[00:13:19.933 --> 00:13:28.520]  Michigan protesters were heard chanting death to America during a rally marking International Al-Quds Day in support of Palestine.
[00:13:28.560 --> 00:13:33.785]  Now, before we run the clip, I just want to say, if anybody wants to shout death to America, fine.
[00:13:33.865 --> 00:13:34.585]  Freedom of speech.
[00:13:35.246 --> 00:13:37.928]  But why is it that these people
[00:13:38.849 --> 00:13:42.493]  ...have found their way inside the borders of the United States of America.
[00:13:42.533 --> 00:13:47.878]  Why is it that this sentiment, this culture, this philosophy, these people are inside the United States?
[00:13:47.898 --> 00:13:53.924]  When I hear Iranians shout death to America, or Iraqis, or Afghanis, or terrorists in the Middle East, then I understand.
[00:13:53.964 --> 00:13:55.305]  Yeah, they hate us because of all of our...
[00:13:56.346 --> 00:14:02.070]  Crimes against humanity that have been committed in the region ever since we abandoned the gold standard and have been enforcing the petrodollar.
[00:14:02.110 --> 00:14:02.731]  I understand.
[00:14:03.031 --> 00:14:03.331]  Fine.
[00:14:03.671 --> 00:14:08.075]  But why is it that we open the door for those who hate us most to come into our country?
[00:14:08.115 --> 00:14:08.675]  Let's see the clip.
[00:14:11.317 --> 00:14:20.584]  We've been asked in the past, why are our protests on the International Day of Quds, why are they so anti-America?
[00:14:21.164 --> 00:14:24.927]  Why don't we just focus more on Israel and not talk so much about America?
[00:14:28.473 --> 00:14:33.617]  Gaza has shown the entire world why these protests are so anti-America.
[00:14:34.298 --> 00:14:40.342]  Because it's the United States government that provides the funds for all of the atrocities that we just heard about.
[00:14:40.823 --> 00:14:53.293]  And this is why Imam Khomeini, who declared the International Day of Quds, this is why he would say to pour all of your chants and all of your shouts upon the head of America.
[00:15:00.834 --> 00:15:02.395]  With American-made trucks in the background.
[00:15:02.435 --> 00:15:10.341]  Malcolm X said, and I quote, we live in one of the rottenest countries that has ever existed on this earth.
[00:15:10.521 --> 00:15:14.784]  It's not Genocide Joe that has to go, it's the entire system that has to go.
[00:15:15.244 --> 00:15:26.493]  Any system that would allow such atrocities and such devilry to happen and would support it, such a system does not deserve to exist on God's earth.
[00:15:27.213 --> 00:15:37.358]  And so when these fools ask us if Israel has the right to exist, the chant, death to Israel, has become the most logical chant shouted across the world today.
[00:15:37.378 --> 00:15:50.265]  Imam Khomeini recognized that Israel is an evil settler-colonialist project?
[00:15:51.428 --> 00:15:55.689]  He realized it is a cancer, and he established this day.
[00:15:56.009 --> 00:16:00.251]  Israel before this, brothers and sisters, was a sacred cow.
[00:16:01.331 --> 00:16:03.131]  Nobody could criticize Israel.
[00:16:03.512 --> 00:16:05.952]  Everybody was terrified of being anti-Semitic.
[00:16:06.292 --> 00:16:08.593]  Everybody was afraid of them.
[00:16:08.973 --> 00:16:13.854]  But now, the people of conscience very openly will criticize Israel.
[00:16:14.155 --> 00:16:16.215]  They recognize Israel for what it is.
[00:16:16.735 --> 00:16:18.576]  Israel is ISIS.
[00:16:19.236 --> 00:16:21.418]  Israel are, they are Nazis!
[00:16:21.658 --> 00:16:22.800]  They are fascists!
[00:16:23.040 --> 00:16:23.901]  They are racists!
[00:16:23.941 --> 00:16:25.762]  The people of the world now know this!
[00:16:26.123 --> 00:16:27.044]  Palestine will be free!
[00:16:29.906 --> 00:16:38.875]  Well that's all happening in the United States of America and look!
[00:16:43.652 --> 00:16:46.836]  I'm not somebody who advocates for the actions of Israel.
[00:16:46.856 --> 00:16:49.919]  I don't think that genocide is acceptable under any circumstances.
[00:16:50.940 --> 00:16:53.803]  I think they are killing innocent people indiscriminately in Gaza.
[00:16:54.244 --> 00:17:05.155]  I also don't think that a two-state solution is going to work because I think the people on the Gaza Strip are so screwed up that it's not going to happen and there's no way that these two people are ever going to live at peace next to one another after all the terrible things that they've done to each other.
[00:17:06.047 --> 00:17:07.028]  No one is innocent here.
[00:17:07.328 --> 00:17:15.695]  We think of things in this country, in our culture, as good versus evil, because that's the nature of the influence of Judeo-Christian values and stories on our mind.
[00:17:16.116 --> 00:17:26.885]  It's the nature of the influence of Hollywood on our minds, with every famous piece of literature that's American literature or American cinema always reinforcing the notion that every conflict is simply good versus evil.
[00:17:27.185 --> 00:17:45.171]  And that good always wins, and I believe that ultimately there is one conflict, that is good versus evil, and I believe that ultimately good will prevail over evil, but all of the miniature conflicts that occur in the scheme of that narrative, the great story of mankind, many of them are simply evil versus evil.
[00:17:45.691 --> 00:17:51.013]  Whether it's Ukraine versus Russia, or whether it's Israel versus Gaza,
[00:17:52.088 --> 00:17:54.751]  It's very possible for two different evil entities to hate each other.
[00:17:54.771 --> 00:18:02.318]  I mean, just look simply at the fact that the vast majority of gun violence in the United States occurs black-on-black crime.
[00:18:03.059 --> 00:18:04.180]  Gang-on-gang violence.
[00:18:06.022 --> 00:18:07.784]  It's criminals versus criminals.
[00:18:08.605 --> 00:18:11.247]  It's not some good guy being gunned down by some bad guy.
[00:18:11.267 --> 00:18:13.569]  It's some bad guy being gunned down by some bad guy.
[00:18:13.930 --> 00:18:14.550]  Most of the time.
[00:18:15.501 --> 00:18:22.785]  Most of the evil that occurs in the world is actually evil versus evil and not good versus evil while good people stand idly by.
[00:18:22.805 --> 00:18:32.109]  And so the issue to me isn't whether or not Israel is right or whether or not Gaza is right, but what the heck is the United States doing involved in such conflicts?
[00:18:32.450 --> 00:18:42.695]  Why is it that we are incessantly finding ourselves involved in wars thousands upon thousands of miles away when we have thousands of politicians committing evil a hundred miles away?
[00:18:43.874 --> 00:18:54.522]  In our own capital, we have thousands of politicians committing evil atrocities on our own people, failing our own people, allowing protesters like that, who may actually be right in terms of the conflict between Israel and Gaza.
[00:18:54.542 --> 00:18:54.863]  I don't know.
[00:18:55.063 --> 00:18:56.304]  I think there's two sides to every story.
[00:18:56.344 --> 00:18:58.986]  I think both sides are probably right and wrong most of the time.
[00:18:59.887 --> 00:19:01.007]  October 7th was terrible.
[00:19:01.108 --> 00:19:05.111]  It was perpetuated by terrorists from the Gaza Strip, and I think it was terrible that Israel allowed it to happen.
[00:19:05.711 --> 00:19:06.412]  They're both evil!
[00:19:07.172 --> 00:19:08.433]  Doesn't mean Jewish people are evil.
[00:19:08.633 --> 00:19:10.415]  Doesn't mean Muslim people are evil.
[00:19:10.695 --> 00:19:12.857]  But in that conflict, there weren't any good guys.
[00:19:14.520 --> 00:19:19.384]  So why is it that the United States would allow such sentiments to just flood across our borders?
[00:19:19.404 --> 00:19:20.585]  These people are not American.
[00:19:20.605 --> 00:19:22.146]  They don't have Western values.
[00:19:22.166 --> 00:19:25.409]  They don't have America in their heart or Americanism in their heart.
[00:19:25.689 --> 00:19:30.533]  It used to be that in the United States we were strong because people came over here and assimilated.
[00:19:30.573 --> 00:19:33.556]  We were never strong in the United States because of our diversity.
[00:19:33.576 --> 00:19:35.557]  We were always strong because of our assimilation.
[00:19:35.958 --> 00:19:39.381]  Whether you came over here from China, Germany, Ireland, England.
[00:19:40.626 --> 00:19:41.007]  Russia.
[00:19:41.027 --> 00:19:41.607]  I don't care.
[00:19:42.128 --> 00:19:42.908]  Any place in the world.
[00:19:42.948 --> 00:19:47.993]  When you came here, it used to be that you would come here to be American and you would assimilate with American values.
[00:19:48.234 --> 00:19:53.359]  Now we advocate for diversity instead of assimilation because somehow assimilation is cultural appropriation and wrong.
[00:19:53.839 --> 00:20:01.147]  We say diversity is our strength, but all we've done is put people right next to each other who refuse to share anything together and it creates this unnecessary conflict.
[00:20:01.867 --> 00:20:04.169]  Why is it that you would allow these people into the United States?
[00:20:04.429 --> 00:20:07.712]  That you would perpetuate this narrative against America?
[00:20:07.732 --> 00:20:16.119]  That you would allow the personification or the imagery that America itself is inherently evil, when it's not America that's evil, it's the United States.
[00:20:16.579 --> 00:20:26.488]  And it seems to me very obvious that it's a threat to our national security when we're simultaneously dumping 60,000 pounds of ammonium nitrate off of trains and admitting terrorists in this country.
[00:20:27.301 --> 00:20:36.325]  And I know that most of the migrants that come into this country are just trying to work hard and send money back to their families, but even the government itself admits that over 70,000 of them have been coming from terrorist-run countries.
[00:20:36.885 --> 00:20:41.767]  You don't think that any of those people have any terrorist sentiments with their shouting, death to America or from the river to the sea?
[00:20:42.368 --> 00:20:42.988]  I certainly do.
[00:20:43.448 --> 00:20:45.909]  But Joe Biden doesn't seem to think it's any of a problem.
[00:20:45.929 --> 00:20:47.730]  I want to run clip five here in a second.
[00:20:47.790 --> 00:20:51.292]  Biden doubles down on illegal immigration in Baltimore bridge speech.
[00:20:51.312 --> 00:20:52.112]  So he goes to the bridge.
[00:20:53.490 --> 00:20:59.432]  You know, which is a symbol of the failure of the Build Back Better propaganda that he was pushing.
[00:21:00.052 --> 00:21:03.973]  And instead of talking about the bridge, it seems like he really just wants to emphasize how awesome immigration is.
[00:21:03.993 --> 00:21:04.493]  Clip 5.
[00:21:06.194 --> 00:21:09.675]  The damage is devastating, and our hearts are still breaking.
[00:21:11.475 --> 00:21:14.596]  Eight construction workers ran out of the water when the bridge fell.
[00:21:15.417 --> 00:21:17.277]  Six lost their lives.
[00:21:18.097 --> 00:21:20.198]  Most were immigrants, but all were Marylanders.
[00:21:20.970 --> 00:21:23.251]  Hard-working, strong, and selfless.
[00:21:24.052 --> 00:21:28.754]  After pulling a night shift fixing potholes, they were on a break when the ship struck.
[00:21:29.554 --> 00:21:36.018]  Just seconds before, one of the men named Paulo, who was only 24, left a message for his girlfriend.
[00:21:36.058 --> 00:21:38.999]  His wife said, We just poured cement.
[00:21:39.600 --> 00:21:41.901]  We're waiting for it to dry, he said.
[00:21:42.841 --> 00:21:46.123]  Well, all the families and loved ones were grieving.
[00:21:46.943 --> 00:21:48.344]  I've come here to grieve with you.
[00:21:48.484 --> 00:21:49.165]  We all are.
[00:21:49.866 --> 00:21:58.773]  It's not the same, but I know a little bit about what it's like to lose a piece of your soul, to get that phone call in the middle of the night to say, family members of God, I've been there.
[00:21:58.793 --> 00:22:04.498]  It's really like having a black hole in your chest, like you're being sucked in, unable to breathe.
[00:22:05.299 --> 00:22:09.603]  The anger, the pain, the depth of the loss is so profound.
[00:22:10.804 --> 00:22:12.946]  And we know it's hard to believe.
[00:22:13.615 --> 00:22:17.458]  You're probably not going to believe me, but I can tell you now from personal experience.
[00:22:18.179 --> 00:22:30.068]  The day is going to come when the memory of your loved one as you walk by that park or the church or something that you shared together is going to bring a smile to your lips before it brings a tear to your eye.
[00:22:30.088 --> 00:22:32.130]  It's going to happen.
[00:22:32.350 --> 00:22:35.032]  It's going to take a while, but I promise you it will happen.
[00:22:35.272 --> 00:22:37.754]  And that's when you know you're going to be able to make it.
[00:22:38.575 --> 00:22:39.675]  I promise you it will come.
[00:22:40.464 --> 00:22:45.548]  Our prayers for you is that time comes sooner rather than later, but it will come.
[00:22:46.629 --> 00:22:49.791]  Also, never forget the contributions these men made to this city.
[00:22:50.591 --> 00:22:52.913]  We're going to keep working hard to recover each of them.
[00:22:53.874 --> 00:23:03.441]  And you know, my vow is that we will not rest, as Carlos said, until the cement has dried and the entirety of a new bridge.
[00:23:04.021 --> 00:23:04.642]  A new bridge.
[00:23:06.543 --> 00:23:07.584]  Unbelievable.
[00:23:08.576 --> 00:23:16.880]  It's not just Joe Biden who refuses to admit that we have a problem with immigration here, but we have the likes of Kimmel mocking concern over illegal immigrant murder in Michigan.
[00:23:17.260 --> 00:23:22.762]  So I can tell you anecdotal story after anecdotal story every single day.
[00:23:22.842 --> 00:23:33.407]  When we print all the news of the day that gets thrown on the desk here, there's always some immigrant beheading his wife or some immigrant stabbing his girlfriend or robbing someone or killing someone.
[00:23:33.647 --> 00:23:34.828]  Or some immigrant being released.
[00:23:34.868 --> 00:23:38.670]  Or the immigrant that just committed a crime was just released for another crime and not deported from the United States.
[00:23:39.030 --> 00:23:42.453]  There are anecdotal stories all the time and I try not to go into it because it's just tiresome.
[00:23:42.773 --> 00:23:43.333]  It's old news.
[00:23:43.433 --> 00:23:44.454]  Everybody already knows.
[00:23:44.934 --> 00:23:50.718]  But then you have these people that come out and mock
[00:23:52.145 --> 00:24:06.744]  And it's not even the fact that there are opponents of the anti-illegal immigration push, the America First push that bothers me, but it's the insult to injury that's added by how pathetic these people are.
[00:24:06.764 --> 00:24:09.107]  You have to keep in mind folks that a major
[00:24:10.891 --> 00:24:14.555]  Part of why we are suffering so much in the United States.
[00:24:14.835 --> 00:24:25.586]  Why so many people in the United States have no idea what's going on and seem to make every wrong decision possible as it pertains to who they're going to vote for or support.
[00:24:26.758 --> 00:24:28.600]  It's because of these late-night comedians.
[00:24:28.640 --> 00:24:36.588]  So, if you are a person who gets your information exclusively from late-night television, you are an idiot.
[00:24:37.148 --> 00:24:38.550]  You are a moron.
[00:24:39.191 --> 00:24:44.035]  I would like to use more explicit terms, but this is a family program and we're on the radio, so I'm not.
[00:24:44.436 --> 00:24:48.019]  But I just want to emphasize the fact that if you get your information...
[00:24:48.783 --> 00:24:51.705]  I'm not just talking about news, but information, data, sentiments.
[00:24:52.425 --> 00:25:01.351]  From late night television alone, it's because you're a coward, you're weak, you're fat, you're a moron, you're stupid, and you're totally in denial.
[00:25:01.591 --> 00:25:02.691]  You are the problem.
[00:25:03.632 --> 00:25:06.874]  And you have your Kimmel's going up there with their smug looks.
[00:25:06.894 --> 00:25:09.996]  They have a team of writers at the right for them because they can't even think for themselves.
[00:25:12.199 --> 00:25:29.207]  I'm not claiming to be an extraordinarily talented person or anything, but every single host on this platform, whether it's Harrison Smith, Alex Jones, Owen Schroer, myself, or any of the incredible guest hosts that we have on the show, they get up here and they talk for three hours with four minute breaks every nine minutes or so, from the heart.
[00:25:29.327 --> 00:25:41.513]  And sometimes we make mistakes and get things wrong, and sometimes we get things really right, but it's authentic, it's true, it's from the heart, it's based on information that hasn't been coordinated, compiled, or suggested by a focus group.
[00:25:42.213 --> 00:26:03.778]  And so when you have a team of writers that are writing for you, and they're ascribing to certain politically correct narratives because it's going to be placed on a major network, and the major networks are all run by the intelligence community ever since Project Mockingbird, that means that you have a political machine that is deceiving, through entertainment, the entire swaths of the American population, and if they can't see it, it's because they're fat and stupid, weak, cowardly, and pathetic.
[00:26:04.579 --> 00:26:05.099]  Look at Kimmel.
[00:26:05.199 --> 00:26:05.539]  Clip six.
[00:26:08.658 --> 00:26:25.278]  Somehow in the middle of all these prosecutions, Trump has been on the road doing rallies where, you know, when you think back on all the presidents, there are so many great lines throughout history like, yes we can, tear down the wall, the buck stops here, and this new slogan from Trump, stop Biden's border bloodbath.
[00:26:26.699 --> 00:26:29.480]  Stop Biden's border bloodbath and beyond, in fact.
[00:26:29.521 --> 00:26:38.304]  He unrolled that one in Michigan, where the only border Michigan shares is with Canada, but why get bogged down with details?
[00:26:38.364 --> 00:26:48.108]  Trump has been very shamelessly trying to exploit the murder of a young woman in Michigan, who was allegedly killed by a man she was dating, who also happened to enter the country illegally.
[00:26:48.148 --> 00:26:49.729]  This is the kind of story he loves, because
[00:26:50.109 --> 00:26:54.920]  It furthers the false narrative that immigrants commit more crimes here than Americans do.
[00:26:54.940 --> 00:27:00.111]  So he grabs on to this very sad story about this woman named Ruby to use it to get elected.
[00:27:01.084 --> 00:27:01.725]  Unbelievable.
[00:27:02.245 --> 00:27:08.312]  It's not even a matter of whether or not illegal immigrants commit more crimes or less crimes than Americans per capita.
[00:27:08.692 --> 00:27:09.694]  That's not even the point.
