[00:00:00.169 --> 00:00:01.470]  Synthetic.
[00:03:42.688 --> 00:03:44.129]  Hold on, Agent Einstein.
[00:03:44.149 --> 00:03:45.230]  You're talking to a scientist.
[00:03:45.750 --> 00:03:46.971]  Forgive me, Assistant Director.
[00:03:47.031 --> 00:03:50.514]  It may sound insensitive, but the suggestion is pure science fiction.
[00:03:50.634 --> 00:03:55.918]  What I'm saying, Agent Einstein, is that the facts as I understand them cannot be discounted out of hand.
[00:03:57.671 --> 00:04:00.794]  No one has the right or the ability to tamper with your DNA.
[00:04:02.616 --> 00:04:03.878]  Unless we gave them that ability.
[00:04:07.001 --> 00:04:13.508]  You say they're tampering with our DNA, that they're able to shut down our immune systems by the addition of something to our DNA.
[00:04:13.728 --> 00:04:15.310]  Yes, but I don't know how exactly.
[00:04:15.710 --> 00:04:16.691]  Or how it's being triggered.
[00:04:17.252 --> 00:04:18.113]  I don't know that either.
[00:04:19.114 --> 00:04:20.135]  Or why it's happening now.
[00:04:21.972 --> 00:04:23.333]  What can we possibly do?
[00:04:23.353 --> 00:04:24.574]  We need to act quickly.
[00:04:25.035 --> 00:04:26.156]  You were right about that.
[00:04:26.236 --> 00:04:27.717]  Well, I was wrong about the science.
[00:04:28.418 --> 00:04:29.799]  I was wrong about what's causing it.
[00:04:29.839 --> 00:04:30.700]  Dead wrong, in fact.
[00:04:31.000 --> 00:04:34.784]  But it's clearly a widespread failure of our immune systems.
[00:04:34.804 --> 00:04:36.025]  It's through gene tampering.
[00:04:36.245 --> 00:04:39.668]  A virus within a virus that was put there through the smallpox vaccine.
[00:04:39.728 --> 00:04:41.790]  It's what these men are calling the Spartan virus.
[00:04:43.111 --> 00:04:44.092]  We have to figure this out.
[00:04:45.193 --> 00:04:46.394]  What's wrong with the science?
[00:04:47.695 --> 00:04:47.936]  Okay.
[00:04:49.343 --> 00:04:53.084]  The Spartan virus removes the adenosine deaminase gene from your DNA.
[00:04:53.144 --> 00:04:57.106]  It removes the ADA gene and your immune system will simply vanish.
[00:04:57.486 --> 00:04:58.866]  Yeah, but I'm not getting sick.
[00:04:59.686 --> 00:05:00.827]  It's only a matter of time.
[00:05:01.827 --> 00:05:02.127]  Okay.
[00:05:02.848 --> 00:05:03.608]  So how does it work?
[00:05:04.648 --> 00:05:06.769]  How does the virus remove the ADA gene?
[00:05:07.049 --> 00:05:08.409]  A process called CRISPR-Cas9.
[00:05:08.489 --> 00:05:09.470]  CRISPR-Cas9.
[00:05:10.530 --> 00:05:13.691]  RNA and a protein cutting genes at exact locations.
[00:05:13.791 --> 00:05:14.271]  Exactly.
[00:05:14.592 --> 00:05:16.252]  But in this instance used as a weapon.
[00:05:17.913 --> 00:05:18.693]  The ultimate weapon.
[00:05:20.006 --> 00:05:22.008]  The ability to depopulate the planet.
[00:05:22.969 --> 00:05:24.570]  To kill everyone but the chosen.
[00:05:24.790 --> 00:05:26.371]  By tampering with their DNA.
[00:05:26.992 --> 00:05:27.833]  Through gene editing.
[00:05:28.033 --> 00:05:29.754]  Why do such a thing and lie about it?
[00:05:29.774 --> 00:05:30.815]  Our own government.
[00:05:30.915 --> 00:05:33.818]  Your own government lies as a matter of course, as a matter of policy.
[00:05:33.838 --> 00:05:37.381]  The Tuskegee experiments on black men in the 30s, Henrietta Lacks.
[00:05:38.662 --> 00:05:39.643]  What are they trying to do?
[00:05:40.236 --> 00:05:41.117]  That's the missing piece.
[00:05:41.517 --> 00:05:42.757]  But it's not hard to imagine.
[00:05:43.378 --> 00:05:47.240]  A government hiding, hoarding technology for 70 years.
[00:05:47.860 --> 00:05:50.182]  At the expense of human life and the future of the planet.
[00:05:51.222 --> 00:05:53.784]  Driven not only by corporate greed, but...
[00:05:54.642 --> 00:05:55.562]  A darker objective.
[00:05:56.103 --> 00:05:57.443]  The takeover of America.
[00:05:58.103 --> 00:06:04.286]  And then the world itself, by any means necessary, however violent, or cruel, or efficient.
[00:06:05.246 --> 00:06:14.410]  By severe drought, brought on by weather wars, conducted secretly using aerial contaminants and high-altitude electromagnetic waves, in a state of perpetual war.
[00:06:15.490 --> 00:06:21.174]  To create problem reaction solution scenarios to distract, enrage, and enslave American citizens at home.
[00:06:22.054 --> 00:06:28.858]  With tools like the Patriot Act and the National Defense Authorization Act, which abridge the Constitution in the name of national security.
[00:06:29.899 --> 00:06:33.101]  The militarization of police forces in cities across the U.S.
[00:06:33.421 --> 00:06:37.984]  The building of prison camps by the Federal Emergency Management Agency with no stated purpose.
[00:06:38.624 --> 00:06:49.309]  The corporate takeover of food and agriculture, pharmaceuticals and healthcare, even the military and clandestine agendas to fatten, dull, sicken and control a populace already consumed by consumerism.
[00:06:49.649 --> 00:06:51.290]  And I encourage you all to go shopping more.
[00:06:51.930 --> 00:06:56.712]  A government that taps your phone, collects your data and monitors your whereabouts with impunity.
[00:06:57.433 --> 00:07:00.574]  A government preparing to use that data against you when it strikes.
[00:07:01.574 --> 00:07:02.915]  And the final takeover begins.
[00:07:04.116 --> 00:07:05.096]  The takeover of America.
[00:07:05.697 --> 00:07:11.029]  By a well-oiled and well-armed multinational group of elites that will cull, kill, and subjugate.
[00:07:11.911 --> 00:07:13.194]  Happening as we sit here.
[00:07:13.860 --> 00:07:15.041]  It's happening all around us.
[00:07:15.622 --> 00:07:16.943]  The other shoe waiting to drop.
[00:07:17.323 --> 00:07:18.585]  It'll probably start on a Friday.
[00:07:19.185 --> 00:07:24.090]  The banks will announce a security action necessitating their computers to go offline all weekend.
[00:07:24.490 --> 00:07:25.751]  Digital money will disappear.
[00:07:25.771 --> 00:07:27.313]  They can just steal your money?
[00:07:27.593 --> 00:07:32.197]  Followed by the detonation of strategic electromagnetic pulse bombs to knock out major grids.
[00:07:32.378 --> 00:07:35.541]  What will seem like an attack on America by terrorists or Russia.
[00:07:35.561 --> 00:07:36.882]  An invasion of the U.S.
[00:07:37.442 --> 00:07:38.303]  The Russians tried it in 47.
[00:07:41.893 --> 00:07:45.255]  I'm good.
[00:07:56.383 --> 00:08:01.006]  Dr. Judy Michovitz is our guest on this commercial-free transmission today.
[00:08:01.806 --> 00:08:05.629]  It is Saturday, May 11, 2024.
[00:08:05.689 --> 00:08:08.671]  177 days, 12 hours, 54 minutes, 55 seconds.
[00:08:09.131 --> 00:08:11.152]  The most important election in world history.
[00:08:12.053 --> 00:08:12.413]  All right.
[00:08:13.293 --> 00:08:14.394]  She's only got an hour with us.
[00:08:14.534 --> 00:08:15.535]  We really appreciate her.
[00:08:15.595 --> 00:08:16.755]  We can talk to her for 10 hours.
[00:08:17.416 --> 00:08:20.558]  She is a renowned top scientist.
[00:08:21.533 --> 00:08:32.761]  Worked under Fauci, worked under the federal government, ran major projects, and she's been coming on the show since they basically released the COVID and then rolled out the poison shots.
[00:08:33.742 --> 00:08:38.065]  And she said on this show three and a half, four years ago, you can go back and find those.
[00:08:38.125 --> 00:08:39.106]  They're banned on video.
[00:08:39.186 --> 00:08:41.328]  We should repost those to X now that we're back on there.
[00:08:42.189 --> 00:08:45.331]  And everything she said is now all confirmed.
[00:08:45.951 --> 00:08:46.532]  And we have
[00:08:48.112 --> 00:09:01.776]  ABC News, CNN, The Wall Street Journal, The New York Times, Bill Maher, all backpedaling now, saying we shouldn't have locked down the schools, we shouldn't have tried to make you take the shot, or we never tried to make you take the shot.
[00:09:03.217 --> 00:09:08.338]  And it's the same PR campaign from Australia to Germany to the United States, to Canada to the UK.
[00:09:08.818 --> 00:09:11.139]  So, this is really coming out.
[00:09:11.179 --> 00:09:13.560]  The insurance company actuaries have been out for over two years.
[00:09:13.900 --> 00:09:16.981]  They continue to show upwards of 22 million dead.
[00:09:18.390 --> 00:09:22.512]  They admit record heart attacks, myocarditis, blood clots, infertility, turbo cancer.
[00:09:23.313 --> 00:09:43.063]  Dr. Minkovits explained years ago that they were putting in the so-called shot that was secret, now they admit they changed it thousands of times, that's mainstream news, in a giant test on the public, flooding it with upwards of 200 billion pieces of DNA per injection.
[00:09:43.724 --> 00:09:45.825]  That is CBS News last week.
[00:09:46.744 --> 00:09:50.525]  So it does have DNA in it, not just the mRNA.
[00:09:51.065 --> 00:09:58.668]  And she explained that they were polluting everybody to cover up what was coming out that they'd already polluted us with, with the other so-called injections.
[00:09:59.708 --> 00:10:01.549]  So she is a expert.
[00:10:02.369 --> 00:10:12.993]  I'm not going to go over her entire background and all of her different degrees in biochemistry, molecular biology, chemistry, the list goes on and on.
[00:10:14.198 --> 00:10:22.580]  She pioneered in the fields of immunology, chemistry, epigenetics, HIV, AIDS, drug development.
[00:10:23.923 --> 00:10:26.384]  And they were able to isolate exactly what was going on.
[00:10:26.424 --> 00:10:28.164]  Then, of course, the Feds came after her.
[00:10:28.884 --> 00:10:40.528]  And she has co-authored more than 50 peer-reviewed publications and books, holds patents on combination therapy for prostate cancer using botanical compositions, and it goes on from there.
[00:10:41.128 --> 00:10:44.609]  And, of course, she's also in New York Times a number one best-selling author.
[00:10:46.169 --> 00:10:46.709]  We're good to go.
[00:11:05.748 --> 00:11:25.603]  TheRealDrJudy.com is her excellent website, but you cannot have someone out of all the amazing whistleblowers and all the amazing, she was a whistleblower 15, 20 years ago, none of them, and it's not a competition, none of them have been as on target as her from day one.
[00:11:26.244 --> 00:11:27.705]  And so now that we have so much hindsight,
