[00:00:00.029 --> 00:00:00.950]  Here's the progression.
[00:02:07.682 --> 00:02:08.522]  Okay.
[00:02:09.245 --> 00:02:17.929]   But Dr. Kirk Elliott is We're here to talk about finances, the government, the economy, the world.
[00:02:18.890 --> 00:02:20.391]  But he's a big fish in all this.
[00:02:20.411 --> 00:02:22.653]  He doesn't toot his horn for a lot of reasons.
[00:02:23.614 --> 00:02:34.924]  But he was giving me intel last night and then obviously we were arguing whether he should even release this information because, let's just be completely honest, they'll come after him.
[00:02:34.944 --> 00:02:37.486]  But they also know this is coming out, so in a way we've got to.
[00:02:37.526 --> 00:02:41.870]  So whether it's today or whether it's in a month or whatever, there's big stuff happening.
[00:02:42.657 --> 00:02:43.077]  There is.
[00:02:43.157 --> 00:02:49.701]  I think we're on the precipice, Alex, of kind of like tectonic changes in the economy.
[00:02:50.061 --> 00:03:04.294]   As banks continue to fail, as what we've talked about numerous times, this movement toward central bank digital currency, you've got people who are For a good reason, wanting to go into tangible assets like gold and silver.
[00:03:04.595 --> 00:03:08.278]  And there's a whole separate, the whole supply chain being attacked and robbed.
[00:03:08.819 --> 00:03:10.060]  Yes, absolutely.
[00:03:10.080 --> 00:03:13.583]  And some of the numbers we're going to go over today will absolutely blow your mind.
[00:03:13.644 --> 00:03:19.669]  I mean, folks, crime is on purpose as they defund the police and will prosecute in over a thousand jurisdictions.
[00:03:19.770 --> 00:03:20.730]  It is bunker town.
[00:03:21.908 --> 00:03:46.792]   It is, and so as this move towards people seeking truth, wanting something that's real, wanting something that's tangible, losing faith and confidence in the system, the system being the government, the system being banks, everything that we've held true and stable since, I don't know, the 1940s, you know, when The dollar became the world's reserve currency.
[00:03:46.832 --> 00:03:49.714]  I think all of that is about to change.
[00:03:49.814 --> 00:04:00.824]  And as gold and silver continue to move up in value, I think, Alex, you say I make predictions, you make predictions, but really it's based on just reality and what we see.
[00:04:00.844 --> 00:04:02.045]  The dominoes are already falling.
[00:04:02.485 --> 00:04:05.528]  It's not a prediction that if dominoes are falling, the next domino is going to fall.
[00:04:05.968 --> 00:04:06.489]  It's a fact.
[00:04:07.069 --> 00:04:07.549]  It's a fact.
[00:04:07.589 --> 00:04:11.592]   Or like if you threw a punch at me, I mean, there's no doubt that if it's going to land, it's going to hurt.
[00:04:11.612 --> 00:04:12.813]  I mean, the punch is thrown.
[00:04:13.073 --> 00:04:14.034]  Yeah.
[00:04:14.254 --> 00:04:17.936]  So who is at risk when Precious Metals goes up?
[00:04:18.777 --> 00:04:20.938]  I think it's the big brokerage houses.
[00:04:20.998 --> 00:04:22.399]  It's the big banks.
[00:04:22.979 --> 00:04:26.061]  It's an attack against paper money.
[00:04:26.141 --> 00:04:29.603]  It's an attack against stocks, bonds, mutual funds, all of that.
[00:04:30.203 --> 00:04:36.407]  So here's where I think we're probably headed in the near to medium future.
[00:04:36.427 --> 00:04:43.290]   And you predicted six months ago That would start regional bank failures in March and April, and now it's begun.
[00:04:43.690 --> 00:04:45.030]  But it's barely getting any attention.
[00:04:45.751 --> 00:04:47.232]  Notice what happened a few years ago was huge.
[00:04:47.812 --> 00:04:50.954]  Now the fact that it's so quiet, crickets, woo!
[00:04:51.374 --> 00:05:00.499]  Yeah, I mean, the bank that failed in Philly, Republic First Bank, just two weeks ago, there was $3.3 billion that evaporated that wasn't insured.
[00:05:01.039 --> 00:05:02.220]  Why isn't that getting news?
[00:05:02.260 --> 00:05:03.702]  I mean, that's a big bank.
[00:05:03.722 --> 00:05:04.142]  Translate.
[00:05:04.182 --> 00:05:05.003]  People didn't get their money.
[00:05:05.243 --> 00:05:10.969]  They didn't get their money because FDIC covered $667 million.
[00:05:11.389 --> 00:05:14.533]  That's everybody that has zero to $250,000 in their banks.
[00:05:14.913 --> 00:05:17.756]  But that bank had $4 billion in deposits.
[00:05:18.196 --> 00:05:19.778]  So I'm just doing simple math.
[00:05:19.858 --> 00:05:21.119]  It's like, OK, what's $4 billion minus $667 million?
[00:05:21.159 --> 00:05:21.580]  That's $3.3 billion.
[00:05:21.600 --> 00:05:21.900]  Where did it go?
[00:05:25.223 --> 00:05:26.504]  It's just gone, Alex.
[00:05:26.524 --> 00:05:31.929]  So as people start to lose faith and confidence in the system, they are going into precious metals.
[00:05:31.949 --> 00:05:38.835]  This is an attack against the monetary system as we know it, banking as we know it, hedge funds, all of that.
[00:05:38.895 --> 00:05:41.057]  And so here's what I think is coming.
[00:05:43.279 --> 00:05:57.832]  Regulators around the country are going to start attacking the precious metals industry and attacking specifically those companies that target seniors that overcharge for their metals.
[00:05:58.223 --> 00:06:02.384]  because they want to try to pretend to protect people.
[00:06:02.384 --> 00:06:06.423]  But I think that safety is of utmost concern.
[00:06:06.423 --> 00:06:12.264]   So when you invest in precious metals, you should always go into something that has a market,
[00:06:12.264 --> 00:06:14.622]  a built-in market, which would be bullion.
[00:06:14.622 --> 00:06:16.582]  It's used for manufacturing.
[00:06:16.582 --> 00:06:23.863]   It's Sony, Samsung, Tesla, LG, the defense industry, which we're gonna go over today.
[00:06:23.863 --> 00:06:26.363]  There are massive demand there.
[00:06:25.446 --> 00:06:35.191]  It's a built-in market, which is easy, but a lot of times you get overpriced stuff that goes into the hands of people and you get shady sales techniques.
[00:06:35.751 --> 00:06:39.895]  You know, overcharge, but those firms have to make a market for that.
[00:06:40.015 --> 00:06:50.825]  So when you own them and you say, OK, it's time for me to sell and they go back and say, OK, we have to call some other unsuspecting clients and say, hey, we've got a deal for you.
[00:06:50.865 --> 00:06:54.508]  We've got this inventory that just came in, but it's going to be gone pretty short order.
[00:06:55.048 --> 00:07:17.159]   Those kind of tactics, I think, are going to be clamped down on and ultimately Those people have delivery of those things at home, Alex, and so what else I see coming is like, I don't know how else to say it, but like criminal crime syndicates almost, where they know what's being shipped.
[00:07:17.799 --> 00:07:26.742]  They know who's getting what, because there's probably going to be people on the inside of big shippers around the country, and there's going to be outright theft.
[00:07:26.822 --> 00:07:31.304]  So I think you're going to see... Okay, well you're going there now, and I already knew about this from other sources.
[00:07:31.944 --> 00:07:33.665]  It's not probably gonna, it's going on.
[00:07:34.125 --> 00:07:35.786]  So again, it's not like you just started saying this.
[00:07:35.846 --> 00:07:39.307]  I've been in gold and silver for 30 years, or 28 since I got sponsors.
[00:07:40.488 --> 00:07:43.649]  I have, this is key folks, this is about me jumping in to make a point because I'm smart.
[00:07:44.702 --> 00:07:55.710]  I've had a gold or silver sponsor for 10 years because I could not find one that was moral and good and wasn't going to sell people collectible stuff that they're going to have a big trouble getting if they're overcharged on.
[00:07:56.411 --> 00:08:01.334]  So all the companies that came to me, and a few of them I signed deals with, and then they would immediately break the deal.
[00:08:01.354 --> 00:08:07.639]  That's why we'd have a gold sponsor for a week and be gone, because I would call and check myself and say, I want silver and gold bullion.
[00:08:07.659 --> 00:08:13.443]  And they would say, oh, well, that's great, but we actually need this shipwrecked gold and this thing over here is the best thing ever.
[00:08:14.364 --> 00:08:21.366]  The point is the system is going to use that with regulators, they already are behind the scenes, to go after those groups to then try to roll the whole thing up.
[00:08:21.406 --> 00:08:26.548]  So people ask you when you're on about a couple weeks ago, will they do like 1933 gold confiscation?
[00:08:26.588 --> 00:08:28.208]  Well, no, that was the main currency then.
[00:08:28.508 --> 00:08:30.389]  And so they made you turn your gold in for the paper.
[00:08:30.409 --> 00:08:30.929]  That's totally different.
[00:08:31.129 --> 00:08:47.260]  When you've got like a point and a half or maybe two percent owning gold and silver, they admit they're not gonna try to get the physical stuff from you, they're gonna try to destroy the market before people figure it out and go into it, and they're gonna use the unscrupulous sharks out there because the people don't have knowledge, they perish for lack of knowledge.
[00:08:47.961 --> 00:08:50.744]  And then that will expose and hurt the good dealers like yourself.
[00:08:50.765 --> 00:08:57.834]  So what you're telling people is you better get into gold and silver while you still can because when the hyperinflation goes really crazy, I believe, then there's going to be a run on it.
[00:08:58.075 --> 00:09:03.082]  They're going to try to discredit that because gold and silver discredits their whole fractional reserve banking system.
[00:09:04.546 --> 00:09:05.147]  A hundred percent.
[00:09:05.207 --> 00:09:06.849]  I couldn't have said it better myself.
[00:09:06.929 --> 00:09:20.382]  And so as years, decades ago, Alex, when, when I was actually envisioning how my firm was going to look, you know, I think I saw this coming even, even back then, which is... It's 25, 30 years ago.
[00:09:20.402 --> 00:09:21.823]  You were already a top broker at a big company.
[00:09:22.583 --> 00:09:33.267]  Yeah, yeah, I mean I've been doing this for a really long time, but here's where I try to connect the dots like you do, and it's like, okay, what is it that people are always going to need?
[00:09:33.287 --> 00:09:41.510]  They're going to need stability, they're going to need value, and I would encourage everybody to start redefining how you measure your wealth.
[00:09:41.610 --> 00:09:46.872]  Don't measure it in terms of paper dollars, because that erodes with inflation and everything that we're seeing.
[00:09:47.572 --> 00:09:52.776]  Start measuring your wealth in terms of how many ounces of tangible assets do you control.
[00:09:52.896 --> 00:09:54.718]  And is it in your backyard?
[00:09:54.758 --> 00:09:56.539]  I mean, do you put your fingers on it?
[00:09:57.080 --> 00:10:00.502]  Because digital ain't jack crap now and it's going to be nothing in the future.
[00:10:00.763 --> 00:10:02.684]  Yeah, it is going to be nothing.
[00:10:02.724 --> 00:10:04.866]  And if you have something that's digital, they're going to know.
[00:10:05.146 --> 00:10:06.167]  Everything about you.
[00:10:06.187 --> 00:10:07.809]  They're going to know your spending habits.
[00:10:07.829 --> 00:10:08.810]  They're going to know your pattern.
[00:10:08.830 --> 00:10:09.250]  Blockchain.
[00:10:09.450 --> 00:10:10.391]  Your preferences.
[00:10:10.872 --> 00:10:11.693]  All of that, Alex.
[00:10:11.753 --> 00:10:15.637]  And if it's digital, I don't care what people say about privacy.
[00:10:16.057 --> 00:10:17.999]  With the flip of a switch, they can cut you off.
[00:10:18.079 --> 00:10:26.608]  For example, look at the people in Russia who had Bitcoin, for example, and they had their Bitcoin owned through Coinbase.
[00:10:27.088 --> 00:10:35.231]  Well, when Russia-Ukraine conflict started, Coinbase basically determined the IP addresses of those in Russia and said, okay, you're not going to be able to access your funds.
[00:10:35.572 --> 00:10:43.975]  They cut off an entire people group because of... Including people that had Russian surnames who were even citizens in the West, in cases.
[00:10:44.275 --> 00:10:46.276]  Well, it's just bonkers!
[00:10:46.436 --> 00:10:54.302]  And so here, say, okay, well that's okay, we're at war with Russia and Putin's evil and whatever people think, but take it one step further.
[00:10:54.702 --> 00:10:56.423]  What if you're a Christian and they don't like it?
[00:10:56.483 --> 00:11:00.886]  What if you're a conservative and non-globalist and they don't like that position?
[00:11:00.906 --> 00:11:01.906]  That's the Social Credits Court!
[00:11:01.926 --> 00:11:02.607]  That should have been a plan!
[00:11:02.952 --> 00:11:03.932]  That is the plan.
[00:11:04.053 --> 00:11:05.453]  In their own words, that's the plan.
[00:11:05.473 --> 00:11:08.154]  It's like they say, we're not predicting, we're telling you what's already happening.
[00:11:08.415 --> 00:11:08.635]  Yeah.
[00:11:09.275 --> 00:11:11.956]  And I hate to take the thunder away from us, but you do that too.
[00:11:12.016 --> 00:11:12.356]  It's true.
[00:11:12.677 --> 00:11:14.698]  It's not Dr. Kirk Elliott or Alex Jones.
[00:11:14.758 --> 00:11:16.138]  This is already happening.
[00:11:16.678 --> 00:11:16.859]  Yeah.
[00:11:17.279 --> 00:11:19.000]  We're not making predictions.
[00:11:19.060 --> 00:11:25.503]  We're connecting dots and showing where this trend is headed if we don't do something about it.
[00:11:26.023 --> 00:11:31.023]  So look at crypto and gold or precious metals as a whole.
[00:11:31.023 --> 00:11:38.682]   To me, they're very similar in philosophy and why people would invest in them.
[00:11:38.682 --> 00:11:42.042]  So why do people invest in cryptocurrency?
[00:11:42.042 --> 00:11:46.542]   Number one, they think it's private and number two, they want high growth.
[00:11:46.542 --> 00:11:51.483]   You know, decentralized blockchain, it technically is very private and they want growth.
[00:11:51.492 --> 00:11:53.274]  Why do people invest in gold and silver?
[00:11:53.755 --> 00:11:57.239]  Because it's a private transaction and because there's growth behind it.
[00:11:57.620 --> 00:12:01.244]  So philosophically, both of those two are very, very similar.
[00:12:02.935 --> 00:12:07.221]  They're dissimilar in the sense of one is digital, one is tangible.
[00:12:07.621 --> 00:12:10.665]  If it's digital, it can be tracked, it can be shut off.
[00:12:11.066 --> 00:12:15.351]  If you own a tangible asset, then that's the ultimate in safety.
[00:12:15.411 --> 00:12:17.474]  So as I compare the two assets...
[00:12:19.296 --> 00:12:20.757]  Make your point about it, then I'll make my point.
[00:12:20.797 --> 00:12:32.342]  Yeah, so if you look at the fundamentals behind crypto and gold and silver, I think the foundational pillars of why people want them, the philosophy behind it, is exactly the same.
[00:12:32.862 --> 00:12:43.107]  Now, what's different is safety and asset preservation and having something in a worst-case scenario that you can use to barter with, for example.
[00:12:43.167 --> 00:12:48.049]  Have something that's not digital, that can't be tracked, that you own, that you can take with you.
[00:12:48.749 --> 00:12:51.214]  What if there's, you know, let's take a worst case scenario.
[00:12:51.254 --> 00:12:52.837]  We're seeing solar flares right now, right?
[00:12:52.877 --> 00:12:54.660]  What if the power grid goes out?
[00:12:54.740 --> 00:13:00.451]  What if there's communication disruption and you can't access... By the way, a bunch of satellites did go out.
[00:13:01.616 --> 00:13:02.156]  That did happen.
[00:13:02.737 --> 00:13:07.840]  Yeah, I mean, those kind of things are, who knows why all this is happening?
[00:13:07.860 --> 00:13:08.681]  I mean, God knows.
[00:13:09.161 --> 00:13:11.403]  But what about an EMP blast?
[00:13:11.443 --> 00:13:12.264]  What about anything?
[00:13:12.444 --> 00:13:13.905]  Anything digital that you have?
[00:13:13.925 --> 00:13:21.150]  Sure, gold and silver to me is like family you can trust, a relationship with God, a garden, some canned foods, and gold and silver.
[00:13:21.210 --> 00:13:25.113]  And again, I don't like the fight between crypto and precious metals.
[00:13:25.153 --> 00:13:27.474]  To me, it's another space you need to cover.
[00:13:27.535 --> 00:13:29.036]  I think gold and silver is more important.
[00:13:29.929 --> 00:13:33.791]  Because it is tangible, and possession is nine-tenths of the law, and you've got to hold it.
[00:13:33.831 --> 00:13:36.893]  And I'm all for new systems to communicate, and Bitcoin.
[00:13:36.913 --> 00:13:44.656]  I'm not for the central bank digital currencies and their own systems, but the attacks by the Bitcoin people against gold and silver is just stupid.
[00:13:44.676 --> 00:13:47.538]  And I can tell you behind the scenes, the folks that are in that are buying gold and silver.
[00:13:47.978 --> 00:13:52.199]  So, I mean, it's really just a box people need to check.
[00:13:52.559 --> 00:13:56.280]  And people say, well, how are you going to take a piece of silver or gold into a grocery store?
[00:13:56.600 --> 00:14:06.342]  No, when they're devaluing the currency and everyone wants gold and silver, you can cash it in at that point for whatever inflation is, and gold will meet that or silver will surpass that.
[00:14:06.662 --> 00:14:08.543]  So it's only a way to basically insure, in my view.
[00:14:08.823 --> 00:14:11.023]  I don't even see it as an investment, though it is a good one overall.
[00:14:11.343 --> 00:14:13.464]  I see it as just another emergency hedge.
[00:14:13.704 --> 00:14:14.984]  People recognize gold and silver.
[00:14:15.544 --> 00:14:21.109]  It's an insurance policy against a collapsing currency, against an inflated currency, against everything.
[00:14:21.409 --> 00:14:29.576]  To me, gold, Alex, is the perfect barometer of people distrusting the government.
[00:14:30.016 --> 00:14:32.559]  So, for example, you look back to the Reagan years.
[00:14:33.900 --> 00:14:35.181]  What happened during the Reagan years?
[00:14:35.741 --> 00:14:41.783]  Interest rates came down, jobs were created, taxes came down, the Cold War was over, the Berlin Wall came down.
[00:14:42.363 --> 00:14:49.405]  Remember, Newt Gingrich had this contract with America and Democrats and Republicans were actually talking and cutting deals together.
[00:14:49.785 --> 00:14:52.026]  It was like a fat and happy time for America.
[00:14:52.066 --> 00:14:52.646]  So therefore...
[00:14:53.266 --> 00:14:56.288]  What did gold do during that, really, 20 years?
[00:14:56.348 --> 00:15:03.174]  From 1982 until about 2002, it went from $250 an ounce to $258.
[00:15:03.334 --> 00:15:06.616]  It went up $8 in 20 years.
[00:15:06.876 --> 00:15:11.160]  That's nothing, but everything else was smooth sailing in America.
[00:15:11.200 --> 00:15:13.401]  It was almost like a renaissance for America.
[00:15:13.421 --> 00:15:14.142]  It was so good.
[00:15:14.602 --> 00:15:17.925]  But now, we can't say that the same is true right now.
[00:15:18.525 --> 00:15:19.987]  Everything is falling apart.
[00:15:20.027 --> 00:15:21.388]  We've got the opposite.
[00:15:21.828 --> 00:15:25.932]  And now we've got something even worse, which we didn't have back then.
[00:15:25.952 --> 00:15:28.574]  We haven't had this actually ever.
[00:15:28.994 --> 00:15:34.619]  And that is the BRICS nations, Alex, are taking over global monetary dominance.
[00:15:34.679 --> 00:15:37.662]  They've dismantled the petrodollar.
[00:15:38.163 --> 00:15:41.726]  And so now there's really no international demand for the U.S.
[00:15:41.746 --> 00:15:42.086]  dollar.
[00:15:42.426 --> 00:15:48.928]   And therefore, every dollar that we print is going to cause inflation because there's no capital inflow
[00:15:48.928 --> 00:15:53.889]   coming into our economy to offset the spending, to offset raising the debt ceiling,
[00:15:53.889 --> 00:15:58.168]   to offset all the entitlements, social security, medicare, medicaid, welfare,
[00:15:58.168 --> 00:16:05.828]   infrastructure, and we're now in a wartime economy. Martin Armstrong, an amazing forecaster, he does
[00:16:05.828 --> 00:16:09.749]   social forecasting, political, economic, all of that.
[00:16:09.953 --> 00:16:15.656]  He now says that we're in a wartime economy and these things don't end any time real soon.
[00:16:16.196 --> 00:16:44.247]   And so when you're in a wartime economy, people start to act out of fear, people start to make different decisions, and this is where I look at these trends as well and What is going to happen when central bank digital currency comes and hits the mainstream, which is probably going to happen, Alex, as soon as September of this year, because the United Nations is meeting at their UN pact for the future.
[00:16:44.267 --> 00:16:46.088]  Oh, the EU said last year it's coming out this year.
[00:16:46.508 --> 00:17:01.604]  Yeah, and so I would say just because they're announcing that they're ready, World Economic Forum has said that 98% of the world is actually ready for central bank digital currency, doesn't mean that on day one all of these countries are going to be implementing it.
[00:17:01.624 --> 00:17:03.226]  Well, I played the clip from Davos last week.
[00:17:03.486 --> 00:17:07.831]  The central banker said, we're not going to call it CBDC, we're just rolling it out.
[00:17:09.032 --> 00:17:18.316]  They're taking the CBD part, the central bank digital part out of it and just calling it currency to make it mainstream so there's going to be broader acceptance.
[00:17:18.736 --> 00:17:23.057]  But that announcement is going to be made in September with the UN and their meeting in China.
[00:17:23.478 --> 00:17:31.781]  But probably within 12 months after that, you should see, I would say, almost full adoption of central bank digital.
[00:17:31.801 --> 00:17:33.021]  And won't they need a crisis?
[00:17:33.061 --> 00:17:34.822]  They've said this themselves to get this through.
[00:17:35.711 --> 00:17:35.951]  Yes.
[00:17:36.471 --> 00:17:50.478]  I mean, every time you have a public policy change in things, a change in the economy, a change in currency, you have to take either incremental steps for people to accept it, or something that's massive.
[00:17:50.898 --> 00:17:55.421]  Just in your face, things change, and people out of fear say, please.
[00:17:55.501 --> 00:18:00.243]  A cyber attack, a new virus, a bigger war, burning down the country.
[00:18:00.283 --> 00:18:02.104]  The Democrats said they were going to do that if Trump was re-elected.
[00:18:02.644 --> 00:18:03.404]  We're 170-something days out, folks.
[00:18:04.605 --> 00:18:05.525]  Yeah, or bank failure.
[00:18:05.545 --> 00:18:07.706]  I mean, all of those things could add into that.
[00:18:07.886 --> 00:18:09.186]  Oh, bank failure, you're right.
[00:18:09.226 --> 00:18:10.207]  That's the big one.
[00:18:10.387 --> 00:18:11.047]  You're betting on that.
[00:18:11.467 --> 00:18:14.408]  I'm betting on that, and I think, well, I wish it wouldn't happen.
[00:18:14.428 --> 00:18:15.288]  No, no, no, but I mean, you're betting.
[00:18:15.328 --> 00:18:17.949]  But yeah, I'm guessing that that is going to happen.
[00:18:17.969 --> 00:18:19.689]  We're going to see a lot of bank failures this year.
[00:18:19.769 --> 00:18:25.471]  I think the Republic First Bank in Philly was the first one, and there's going to be many more that follow.
[00:18:25.511 --> 00:18:26.751]  So what's going to happen, Alex?
[00:18:29.152 --> 00:18:44.957]  The governments, the central banks of this world, in combination with the governments, are going to start demonizing all other decentralized blockchain cryptocurrencies because they are private, but they're going to want something that's centralized, that's not private.
[00:18:44.977 --> 00:18:48.098]  Sure, so they're going to go after Bitcoin, they're going to go after gold and silver, everything.
[00:18:48.558 --> 00:18:53.680]  But the difference is they're going to go after the people supplying it, they're going to cut it off at the head, they're not going to try to confiscate it because it's only 2% or less.
[00:18:54.440 --> 00:19:04.944]  Yeah, if I were an evil politician, I wouldn't waste any time on trying to confiscate something that only 0.9% of the population owns like silver, or 2% of the population owns gold.
[00:19:05.424 --> 00:19:10.072]   I mean, Alex, if you were an evil politician, I would go after the masses.
[00:19:10.092 --> 00:19:11.473]  Oh, we're shutting down these corrupt people.
[00:19:11.853 --> 00:19:13.273]  They'll use a few bad apples to do it.
[00:19:13.473 --> 00:19:18.274]  Yeah, they'll do that to change how it's defined, to change what's legal and what's not legal.
[00:19:18.654 --> 00:19:20.235]  But they're going to go after the masses.
[00:19:20.475 --> 00:19:31.578]  If they want money because they're running out, I would go after the 98% of the population that has brokerage accounts, checking accounts, savings accounts, where it's low-lying.
[00:19:31.678 --> 00:19:32.618]  And that's called a bail-in.
[00:19:32.998 --> 00:19:36.719]  That's a bail-in and they've already legislated that Dodd-Frank bill under Obama.
[00:19:37.040 --> 00:19:38.660]  They've already legislated bail-in.
[00:19:38.700 --> 00:19:40.721]  This is not a dystopian future.
[00:19:40.741 --> 00:19:42.462]  This is not something that we're predicting.
[00:19:42.522 --> 00:19:43.562]  It's already here right now.
[00:19:44.102 --> 00:19:48.744]  All they need is the appropriate crisis, the government running out of money where they can institute a bail-in.
[00:19:49.204 --> 00:19:51.045]  So that is coming.
[00:19:52.742 --> 00:20:16.730]   Here's where I think we've got, we're on the precipice of a global tectonic shift in philosophy, in how our economy is run, how our government is run, and so there was a a Scottish historian from the late 1700s named Alexander Tytler.
[00:20:16.730 --> 00:20:22.570]   So I'm gonna go over what his cycle of democracy, now for everybody watching,
[00:20:22.570 --> 00:20:28.730]   you know, I'm not saying that we're in a democracy, we have a republic, it's different,
[00:20:28.730 --> 00:20:30.089]  but listen to this trend.
[00:20:30.089 --> 00:20:31.449]  Yeah, we're a limited democracy.
[00:20:31.449 --> 00:20:35.050]  Yes, it's, the trend is gonna hold very true.
[00:20:35.248 --> 00:20:39.373]  And as we go through these steps, you're going to see how how this plays out.
[00:20:39.433 --> 00:20:42.457]  So again, Alexander Titler, Scottish historian from the late 1700s, he said.
[00:20:44.781 --> 00:20:48.062]  A democracy cannot exist as a permanent form of government.
[00:20:48.543 --> 00:20:54.025]  It can only exist until the voters discover that they can vote themselves largesse from the public treasury.
[00:20:54.685 --> 00:21:07.711]  From that moment on, the majority always votes for the candidates promising the most benefits from the public treasury, with the result that a democracy always collapses over loose fiscal policy, always followed by a dictatorship.
[00:21:08.231 --> 00:21:13.533]   So, as we're thinking about this, it's like, Dang, that's actually true.
[00:21:13.914 --> 00:21:20.519]  We're voting for people who are going to promise the most things, whether it's free healthcare, free this, whatever.
[00:21:20.779 --> 00:21:23.041]  People vote for politicians that give them stuff.
[00:21:23.802 --> 00:21:28.946]  So, the average age of the world's greatest civilizations has been 200 years.
[00:21:29.427 --> 00:21:30.007]  That's the average.
[00:21:30.047 --> 00:21:31.869]  So, when did we start as a nation? 1776.
[00:21:34.050 --> 00:21:42.272]  1876, 1976, so you're looking at 250 years into this experiment called America.
[00:21:42.392 --> 00:21:43.792]  And there's a fourth turning happening.
[00:21:44.092 --> 00:21:44.753]  Fourth turning?
[00:21:44.933 --> 00:21:46.673]  I mean, Neil Howe's book was incredible.
[00:21:46.693 --> 00:21:48.494]  It's all these mega trends are coming together now.
[00:21:48.834 --> 00:21:49.334]  All of them.
[00:21:49.394 --> 00:21:51.334]  It's like the convergence of a perfect storm.
[00:21:51.694 --> 00:21:53.275]  So listen to this cycle, though.
[00:21:53.295 --> 00:21:54.515]  It's a mega realignment.
[00:21:55.619 --> 00:22:00.804]  And they know it is so that we're trying to make it a better future, they're trying to twist it when it's all liquid.
[00:22:00.824 --> 00:22:08.471]  They describe it, the historians do, different ways, but it's like it's hard for 60, 70, 80, 90 years, and then a liquification happens for maybe 4, 5, 10 years.
[00:22:09.593 --> 00:22:11.935]  But now everything's accelerated so maybe it's six months.
[00:22:13.016 --> 00:22:17.300]  As Lenin said, there are decades when nothing happens and there are weeks when decades happen.
[00:22:18.567 --> 00:22:20.147]  I mean, how true is that statement?
[00:22:20.728 --> 00:22:22.928]  With technology, everything is advancing.
[00:22:23.108 --> 00:22:25.689]  Knowledge is doubling at a very rapid clip.
[00:22:25.749 --> 00:22:31.070]  So, the cycle of democracy, the nations progress through a sequence.
[00:22:32.471 --> 00:22:37.312]  And let's use America as the example here, because I think it'll give a great understanding to this.
[00:22:37.792 --> 00:22:39.733]  We go from bondage to spiritual faith.
[00:22:40.253 --> 00:22:52.579]  From spiritual faith to great courage, from courage to liberty, from liberty to abundance, from abundance to selfishness, from selfishness to apathy, and from apathy to dependence, and then dependence back into bondage.
[00:22:52.659 --> 00:23:00.027]   So, let's play these out in our Nation so how did how did we become a nation?
[00:23:00.527 --> 00:23:07.794]  You know our our Ancestors came from Europe and they were looking for what they were looking for religious freedom.
[00:23:07.974 --> 00:23:10.096]  That's why they left They didn't like that oppression.
[00:23:10.156 --> 00:23:22.347]   So from bondage to spiritual faith that spiritual faith led to great courage we fought the Revolutionary War and we won and that gave us Liberty and And then that liberty led to abundance.
