[00:00:07.751 --> 00:00:13.372]  Just about every major government has been guilty of false flag operations to foment war.
[00:08:52.708 --> 00:08:54.189]  And I've had the author of the U.S.
[00:08:54.209 --> 00:09:02.252]  biological and chemical weapons laws on to lay all this out in February of 2020.
[00:09:06.098 --> 00:09:11.580]  So, now it's all coming out that there are dozens of major insurance companies that actually say it's about $20 million.
[00:09:13.441 --> 00:09:14.281]  This is a low ball.
[00:09:14.661 --> 00:09:15.961]  We've had other statisticians on.
[00:09:17.002 --> 00:09:22.464]  Some of the top statisticians in the world have testified to Congress that the number is between $17 and $20 million.
[00:09:22.924 --> 00:09:24.845]  Again, the conservative number is $17 million.
[00:09:26.025 --> 00:09:28.006]  And you notice it's intensifying the death now.
[00:09:28.646 --> 00:09:31.067]  And normal colds, normal flus are killing even young people.
[00:09:31.860 --> 00:09:33.341]  Heart attacks are off the charts.
[00:09:33.361 --> 00:09:35.823]  There's TV service announcements all over the Western world.
[00:09:35.863 --> 00:09:38.785]  It's normal to have heart attacks when you're 5 or when you're 10.
[00:09:38.825 --> 00:09:39.546]  It's normal to die.
[00:09:39.566 --> 00:09:40.206]  It's no big deal.
[00:09:40.246 --> 00:09:40.867]  It's very liberal.
[00:09:41.147 --> 00:09:41.627]  It's very trendy.
[00:09:41.668 --> 00:09:45.370]  And you have to understand that now we have the latest version of the UN
[00:09:46.823 --> 00:09:50.466]  pandemic response treaty that the Biden White House wrote.
[00:09:51.046 --> 00:09:51.647]  They brag about it.
[00:09:51.687 --> 00:09:56.671]  The former head for Biden's COVID response is the one quarterbacking it.
[00:09:57.551 --> 00:10:07.579]  And it says they're going to shut down all speech and arrest people that disagree with the next lockdowns and next control and how they're going to take children out of your houses.
[00:10:08.259 --> 00:10:11.902]  Years ago, we played the UN head of global emergency response saying that.
[00:10:12.443 --> 00:10:13.964]  So we've known what they're planning.
[00:10:14.384 --> 00:10:16.266]  But this is planetary martial law.
[00:10:17.484 --> 00:10:18.485]  And here's the bad news.
[00:10:19.166 --> 00:10:24.990]  If you think the $17 million debt is bad, that's sad, but it'll be nothing.
[00:10:25.651 --> 00:10:26.952]  That was a mere flesh wound.
[00:10:27.773 --> 00:10:35.959]  They are preparing super deadly viruses for release, like weaponized mousepox that kill the majority of people, even if you're healthy.
[00:10:37.200 --> 00:10:38.822]  And they're getting ready to do it.
[00:10:44.483 --> 00:10:53.009]  It's very hard for me even to be around leftists and people that are for the system because they're in a death cult, folks, and they're completely delusional.
[00:10:53.129 --> 00:10:55.291]  But the people on top know exactly what they're doing.
[00:10:55.891 --> 00:10:57.433]  So I have to be honest with you.
[00:10:59.594 --> 00:11:02.557]  A lot of people are saying, oh, the last pandemic blew up in their face.
[00:11:03.137 --> 00:11:04.658]  They're not going to try that again for a while.
[00:11:04.978 --> 00:11:05.399]  B.S.
[00:11:07.771 --> 00:11:08.792]  I've really been studying this.
[00:11:09.473 --> 00:11:20.061]  I think, in fact I know, that it's probably their next move, if not the cyber attack, to shut down elections and things of that nature.
[00:11:20.802 --> 00:11:33.212]  So I have a giant study with top scientists, statisticians, medical doctors, forensics experts, you name it, and I'm going to go ahead and spend a lot of the show tonight on this.
[00:11:33.252 --> 00:11:34.393]  This is just one of the latest
[00:11:35.985 --> 00:11:53.960]  Big studies and of course you saw the head of the IT operation on a few months ago with us in New Zealand who blew the whistle and got into the secret data of the numbers of people dying in New Zealand.
[00:11:55.341 --> 00:12:00.445]  And it mirrors the numbers they have here because some of the best numbers we have is morbidity.
[00:12:02.623 --> 00:12:06.525]  No one has ever died since they took statistics at levels like this.
[00:12:07.225 --> 00:12:16.249]  Didn't happen in 2000 from the virus, which was new, did cause inflammation, an asthma-like effect, did scare people, but never had any asthma events.
[00:12:17.406 --> 00:12:18.866]  And so then they knew that, too.
[00:12:18.906 --> 00:12:19.526]  They'd already studied it.
[00:12:19.546 --> 00:12:25.147]  They put you on a ventilator, which is the opposite of what you do with the inflammation, and then it kills you.
[00:12:25.427 --> 00:12:29.148]  They paid a $53,000 bounties for every person they put on a ventilator.
[00:12:29.168 --> 00:12:30.168]  90% died.
[00:12:30.368 --> 00:12:31.969]  It was done in every major Western country.
[00:12:32.009 --> 00:12:38.830]  The same plan from New Zealand to Germany to Canada to the U.S., from Sweden to Denmark to Singapore.
[00:12:39.830 --> 00:12:44.111]  And it was all completely quarterbacked, very masterfully choreographed.
[00:12:47.813 --> 00:13:00.832]  When you hear Rhett Weinstein and Alma Tucker in this long clip about the play, you'll say, well, Alex, you've told us this word for word for really almost four years now.
[00:13:00.852 --> 00:13:02.254]  That's when this started.
[00:13:04.099 --> 00:13:04.800]  How did you know this?
[00:13:04.880 --> 00:13:10.487]  Because I've read Operation Lockstep and hundreds of other reports put up by the Rockefeller Foundation, the Carnegie Endowment.
[00:13:10.847 --> 00:13:22.100]  They create the policy, then it goes through the intelligence agencies, the corporations, BlackRock controls 88% of the corporations and companies or assets, and they have ESG scores.
[00:13:22.961 --> 00:13:23.522]  That's right.
[00:13:37.918 --> 00:13:39.459]  Their banking is taken if they don't.
[00:13:39.479 --> 00:13:43.062]  And I just use that as one example of why it's the same lunacy.
[00:13:43.662 --> 00:13:55.250]  And it was the same number calculated according to the currency to come out as $53,000, whether you're in New Zealand, France, the US, everywhere, $53,000 to murder.
[00:13:58.972 --> 00:14:02.175]  In the UK, six months before COVID was released,
[00:14:03.095 --> 00:14:15.885]  They bought the biggest stockpile, times 20-something times, of a drug that's used in anesthesia but is also known, if somebody has pneumonia, it kills you for sure.
[00:14:15.905 --> 00:14:19.768]  Instead of giving people morphine when they were on ventilators, they gave them that drug.
[00:14:20.508 --> 00:14:23.531]  So, and it says don't do it on the indication.
[00:14:23.571 --> 00:14:26.273]  They gave them randesivir that turns your liver and kidneys off.
[00:14:27.850 --> 00:14:31.572]  Okay, so this is Murder Incorporated, and I'm going to explain this again.
[00:14:32.113 --> 00:14:33.434]  This was a beta test.
[00:14:36.155 --> 00:14:47.562]  So, people that work for the system, professors, the Justice Department people, lawyers, politicians, bureaucrats, you're all pretending like you're on this winning team.
[00:14:49.984 --> 00:14:54.487]  You are literally setting up our annihilation.
[00:14:56.003 --> 00:15:01.188]  And the globalists are on record saying that it is imminent that a new virus is coming.
[00:15:01.729 --> 00:15:07.795]  Ted Gross of the WHO, Bill Gates, Posh Wob, they've got a whole bunch of horrible viruses they've cooked up on record.
[00:15:08.055 --> 00:15:10.978]  They've already war-gamed a bunch of them, they've got ready, that's even admitted.
[00:15:12.179 --> 00:15:16.944]  And if you're not going to be politically active, if you're not going to be politically engaged, and you've got money,
[00:15:18.186 --> 00:15:34.514]  Because here's the most important part, and I told you this many years ago that James Cameron, before anybody did, like five years before he came out in the news, had not just run to New Zealand, but that he had these big ships that he wrote off claiming, you know, that he had this underwater exploration company.
[00:15:34.814 --> 00:15:36.255]  He just did that to write the ships off.
[00:15:36.275 --> 00:15:40.557]  So, he goes and does documentaries every couple years on the Titanic and things.
[00:15:40.637 --> 00:15:43.659]  No, no, he has ocean liners, like three of them.
[00:15:45.228 --> 00:16:06.100]  Because he told a big movie producer that I know, who's a big liberal but I've known a long time, who came to me and said I just was you know with him and I was at his facility and he was gonna roll out a new movie theater system that's like a Pantheon and it's like an ample theater and then it's got
[00:16:10.283 --> 00:16:11.644]  3D holograms.
[00:16:12.784 --> 00:16:15.666]  I mean, they've had this for 50 years or longer.
[00:16:15.846 --> 00:16:16.546]  Disney World.
[00:16:16.606 --> 00:16:19.148]  Disneyland has the Haunted House and stuff where ghosts are running around.
[00:16:19.188 --> 00:16:19.708]  It looks real.
[00:16:20.628 --> 00:16:22.089]  But he just said, oh, none of this matters.
[00:16:22.129 --> 00:16:24.751]  I'm not going to really make movies anymore, other than some environmental ones.
[00:16:25.691 --> 00:16:27.412]  Like, Avatar, because he was let in on this.
[00:16:27.672 --> 00:16:29.653]  So he's already out at the ocean.
[00:16:29.713 --> 00:16:30.694]  So's Larry Page.
[00:16:30.954 --> 00:16:32.074]  They've got private islands.
[00:16:34.916 --> 00:16:38.618]  I told you this two years ago, because I was told by insiders, and now it's in the news, that
[00:16:40.933 --> 00:16:50.916]  Mark Zuckerberg's building a, not a $100 million, it's like a $500 million bunker with submarines, marines, submarines as in plural, so you can't even see them coming and going.
[00:16:51.256 --> 00:16:57.417]  He's keeping a giant, basically ocean liner off the coast 50 miles, 24 hours a day.
[00:16:58.938 --> 00:17:03.899]  He's got all sorts of incredible stuff and they're all doing it.
[00:17:04.079 --> 00:17:07.440]  So they're getting ready to release all this and
[00:17:08.430 --> 00:17:13.192]  They just wanted to do a test, though, so the next time we stay in our houses and watch Netflix, while we die.
[00:17:14.092 --> 00:17:17.293]  Okay, so, I know it's 12 Monkeys for Real, okay?
[00:17:17.893 --> 00:17:24.835]  Or it's Moonraker for Real, James Bond movie, where the elites release a bioweapon to kill the majority of the planet and they go to space and come back.
[00:17:26.516 --> 00:17:30.557]  So, I'm sorry that this has to happen.
[00:17:31.097 --> 00:17:33.938]  I understand most of you are not going to listen until you're almost all dead.
[00:17:34.018 --> 00:17:36.019]  Some of you will be immune and will survive.
[00:17:38.750 --> 00:17:41.492]  This is going to be a disaster like you've never imagined.
[00:17:41.852 --> 00:17:55.081]  But I do want the military personnel and others who work for these globalists, when 5-6 billion of us get wiped out during this, nobody's going to be safe.
[00:17:55.102 --> 00:17:57.403]  Nuclear reactors are going to go down, big wars are going to start.
[00:17:58.364 --> 00:17:59.805]  Pakistan, India, they're going to go to war.
[00:18:01.893 --> 00:18:06.134]  And I just want everybody to know that then you'll know what to do to the globalists.
[00:18:06.234 --> 00:18:08.915]  At least at that point, they'll be dug out of their bunkers.
[00:18:09.736 --> 00:18:21.599]  So I would say, I'd say about a 60% chance if we don't get serious and take action, that we could be in this scenario in six months.
[00:18:22.360 --> 00:18:23.500]  Now, I intend to stop it.
[00:18:24.787 --> 00:18:25.508]  I hope you'll help me.
[00:18:25.868 --> 00:18:38.059]  I told you in August they were going to roll the COVID stuff out, and they tried, and it was such a pushback, but then I said, watch, they'll try it again, and now cities all over the country first said hospitals, now they're saying city workers, now they're saying everybody's got to wear masks.
[00:18:38.820 --> 00:18:39.420]  It's all back.
[00:18:39.460 --> 00:18:40.461]  I've got the articles right here.
[00:18:41.002 --> 00:18:45.165]  Look, this is so predictable if you'll just be conscious.
[00:18:46.346 --> 00:18:48.428]  And I just don't want to have to get up here.
[00:18:50.606 --> 00:19:01.814]  I was riding down to federal court for my bankruptcy a month and a half ago with my bodyguard guys that are veterans and great people and smart and held really competent jobs.
[00:19:01.954 --> 00:19:03.895]  And I was telling them, you know, you need to think about your family.
[00:19:03.915 --> 00:19:08.278]  I was showing them studies, about 20 million dead, that's really what it is, and the actuaries.
[00:19:08.338 --> 00:19:10.720]  And I said, do you believe me?
[00:19:10.740 --> 00:19:14.662]  And they said, yeah, it's just hard to get your mind around.
[00:19:17.847 --> 00:19:18.948]  See, you don't have to believe me.
[00:19:19.168 --> 00:19:20.689]  These are morbidity statistics.
[00:19:20.709 --> 00:19:22.170]  These are the best there are.
[00:19:23.331 --> 00:19:30.077]  Every country that took these shots, depending on the percentage that took it, you'll see that exact number of dead correlated.
[00:19:30.337 --> 00:19:37.482]  So if this country, 60% took it, and you can pick another country where 60% took it, and then you have this massive increase in death.
[00:19:37.542 --> 00:19:41.566]  And then you look at another country where only 6% took it, and there's basically almost no death.
[00:19:43.667 --> 00:19:44.188]  So it's...
[00:19:45.655 --> 00:19:48.736]  It's countries that didn't take these shots didn't have anything happen.
[00:19:50.137 --> 00:20:01.361]  So the 17 million are in Europe, Canada, the UK, the United States, Australia, New Zealand, and then other countries like Singapore and things that also followed it.
[00:20:01.462 --> 00:20:03.322]  So I'm sorry this is the truth.
[00:20:03.342 --> 00:20:14.247]  I'm going to go over all the documents and play the clips and show you all this and you can go to the national numbers of your country and you can see
[00:20:15.148 --> 00:20:15.608]  For yourself.
[00:20:19.129 --> 00:20:20.029]  So they did this.
[00:20:20.789 --> 00:20:23.310]  Bill Gates, Klaus Schwab, they did this.
[00:20:24.170 --> 00:20:25.390]  The globalists did this, okay?
[00:20:25.410 --> 00:20:27.031]  And I'm going to explain it to you again.
[00:20:28.171 --> 00:20:29.791]  I know, I'm the same way.
[00:20:30.392 --> 00:20:36.293]  I know you want to believe we made it through this because we're designed as winners, not to be victims and dwell on the past and just move through it.
[00:20:37.153 --> 00:20:40.114]  But this was the test strike.
[00:20:41.195 --> 00:20:42.016]  I'll use an analogy.
[00:20:42.276 --> 00:21:09.992]  If Martians were real, hypothetical, and they tested, say, a meteor gun to fire asteroids at the Earth, and a quarter mile long asteroid hit, and was the equivalent of like 30 nukes going off, and caused tsunamis, and put dust in the sky for a year, and killed billions of people, and then if we had probes fly by Mars and saw their launch pad loading up 20 mile long,
[00:21:11.623 --> 00:21:21.029]  Asteroids, it'll kill all life on the surface of the Earth, and we see them loading the asteroid into the meteor gun, we would say we've got to take them out.
[00:21:21.930 --> 00:21:24.652]  We've got to stop them before they fire the big one.
[00:21:25.292 --> 00:21:29.495]  Okay, so the asteroids are loaded right now, aimed at our head.
[00:21:30.136 --> 00:21:31.777]  They're moving into bunkers.
[00:21:32.217 --> 00:21:37.061]  They've let people in on it, like William Shatner.
[00:21:38.612 --> 00:21:41.173]  He's like, I'm so sorry for the cataclysm, you're all going to die soon.
[00:21:41.213 --> 00:21:45.315]  But then they tell you, oh, the new virus is coming because of global warming.
[00:21:45.355 --> 00:21:45.995]  That's what's going to happen.
[00:21:46.195 --> 00:21:46.835]  It's your fault.
[00:21:46.875 --> 00:21:49.516]  But there'll be a better world looking forward to the end of humanity.
[00:21:49.796 --> 00:21:51.177]  And you'll be at the grocery store.
[00:21:51.837 --> 00:21:58.900]  And I mean, I've been in a grocery store and a CVS and seen multiple magazines, special editions about looking forward to the end of humans.
[00:21:59.240 --> 00:22:00.280]  Humans are a scourge.
[00:22:00.560 --> 00:22:02.961]  And Wall Street Journal, New York Times, you've seen it all.
[00:22:03.582 --> 00:22:04.682]  This is a cult, folks.
[00:22:05.122 --> 00:22:07.083]  And they really get off on all this.
[00:22:09.585 --> 00:22:12.708]  But you know, the only reason they haven't done it is because they don't control Russia.
[00:22:13.909 --> 00:22:16.271]  And if this gets released, there'll be a nuclear war.
[00:22:18.573 --> 00:22:29.283]  But the globalists are so sick and so twisted, and they fetishize mass death so much, and they want to kill billions of us so bad, it's their instinct, it's their spirit, that they're gonna do it.
[00:22:31.044 --> 00:22:35.829]  So, I just want everybody listening from the system that thinks you're part of the power structure, you're all dead.
[00:22:37.321 --> 00:22:38.482]  And we're not going to kill you.
[00:22:38.982 --> 00:22:40.223]  Hell, you're worthless.
[00:22:40.343 --> 00:22:41.223]  You're like dog manure.
[00:22:41.243 --> 00:22:42.284]  I don't want to step in you.
[00:22:43.825 --> 00:22:46.187]  But you better find God, and you better get it straight.
[00:22:46.387 --> 00:22:47.687]  And I know a lot of you aren't going to listen now.
[00:22:47.968 --> 00:22:49.869]  You'll be listening when you're all dying.
[00:22:50.629 --> 00:22:51.670]  And then they'll get defeated.
[00:22:52.290 --> 00:22:54.392]  I'm thinking way out, in case we can't stop them.
[00:22:55.912 --> 00:23:04.478]  So, when I look at my six and a half year old sweetheart daughter, or my other children, when they're little it's even harder on the heart.
[00:23:05.766 --> 00:23:15.713]  Every instinct I've got is just shut down now and go get some place in the middle of nowhere, a hundred miles from nowhere, behind a hill, in a shack, so nobody wants to come even find me or deal with it.
[00:23:15.913 --> 00:23:18.435]  Because let me tell you, this is going down, okay?
[00:23:20.276 --> 00:23:25.120]  Your children are dead, you're dead, it'll be martial law burning, crap blowing up everywhere.
[00:23:25.340 --> 00:23:28.562]  I mean, we're talking Road Warrior and collapse of civilization.
[00:23:28.602 --> 00:23:29.342]  You're like, why would they do that?
[00:23:29.362 --> 00:23:31.164]  Because they've got a plan to reemerge afterwards.
[00:23:32.776 --> 00:23:35.603]  Let's go to Brett Weinstein explaining the U.N.
[00:23:35.623 --> 00:23:35.864]  Treaty.
[00:23:36.004 --> 00:23:36.285]  Here it is.
[00:23:37.421 --> 00:23:51.407]  So what happened was it turned out that a number of us were willing to make mistakes and correct them in real time, to talk about this in plain English with the public, to do so, you know, in Joe Rogan's man cave.
[00:23:52.248 --> 00:24:05.134]  And the fact is people listened because, of course, this was on everybody's mind and what they were supposed to do to protect, you know, they've been terrified and what to do to protect your family's health was a question that everybody wanted to know the answer to.
[00:24:05.774 --> 00:24:13.218]  So our ability to reach millions of people surprised those who thought they were just going to shove this narrative down our throats.
[00:24:14.199 --> 00:24:24.105]  And this gets me to the WHO, the World Health Organization, and its pandemic preparedness plan modifications.
[00:24:25.111 --> 00:24:40.274]  What I believe is going on is the World Health Organization is now revising the structures that allowed the dissidents to upend the narrative, and they are looking for a rematch, I think.
[00:24:40.414 --> 00:24:51.437]  What they want are the measures that would have allowed them to silence the podcasters, to mandate various things internationally in a way that would
[00:24:53.132 --> 00:24:57.658]  Prevent the emergence of a control group that would allow us to see harms clearly.
[00:24:57.678 --> 00:25:04.606]  So that's the reason that I think people as much as they want to move on from thinking about COVID.
[00:25:05.441 --> 00:25:32.489]  Maybe stop thinking about COVID, but do start thinking about what has taken place with respect to medicine, with respect to public health, with respect to pharma, and ask yourself the question, given what you now know, would you want to relive a pandemic like the COVID pandemic without the tools that allowed you to ultimately in the end see clearly that it didn't make sense to take another one of these shots or to have your kids take?
[00:25:33.283 --> 00:25:33.403]  Right?
[00:25:33.423 --> 00:25:34.344]  We want those tools.
[00:25:34.384 --> 00:25:35.284]  In fact, we need them.
[00:25:35.945 --> 00:25:45.970]  And something is quietly moving just out of sight in order that we will not have access to them the next time we face a serious emergency.
[00:25:46.150 --> 00:25:51.834]  So you're saying that an international health organization could just end the First Amendment in the United States?
[00:25:52.954 --> 00:26:00.919]  Yes, and in fact, as much as this sounds... I know that it sounds preposterous, but... It does not sound preposterous.
[00:26:01.681 --> 00:26:16.718]  The ability to do it is currently under discussion at the international level, and it's almost impossible to exaggerate how troubling what is being discussed is.
[00:26:17.379 --> 00:26:20.582]  In fact, I think it is fair to say that we are
[00:26:21.576 --> 00:26:37.259]  In the middle of a coup, that we are actually facing the elimination of our national and our personal sovereignty, and that that is the purpose of what is being constructed.
[00:26:37.599 --> 00:26:49.881]  That it has been written in such a way that your eyes are supposed to glaze over as you attempt to sort out what is under discussion.
[00:26:51.019 --> 00:27:01.031]  And if you do that, then come May of this year, your nation is almost certain to sign on to an agreement that in some
[00:27:02.273 --> 00:27:04.895]  Utterly, vaguely described future circumstance.
[00:27:05.295 --> 00:27:13.980]  A public health emergency, which the Director General of the World Health Organization has total liberty to define in any way that he sees fit.
[00:27:14.480 --> 00:27:25.507]  In other words, nothing prevents climate change from being declared a public health emergency that would trigger the provisions of these modifications.
[00:27:26.187 --> 00:27:38.750]  And in the case that some emergency or some pretense of an emergency shows up, the provisions that would kick in are beyond jaw-dropping.
[00:27:40.771 --> 00:27:45.692]  Alright, Brett Weinstein is extremely respected by many of the top billionaires.
[00:27:46.672 --> 00:27:50.293]  I can tell you that I know that, that he is part of major
[00:27:51.451 --> 00:27:54.993]  Summit meetings with some of the biggest thinkers.
[00:27:55.073 --> 00:27:56.874]  And I'm going to leave it at that.
[00:27:58.615 --> 00:28:01.016]  And I know his brother is as well.
[00:28:02.797 --> 00:28:04.658]  Because I know from personal experience, I'm just going to stop there.
[00:28:05.178 --> 00:28:06.919]  He's one of the leading liberal intellectuals.
[00:28:08.299 --> 00:28:15.203]  And he's saying, okay, and he said he really woke up last year and he says, it's impossible to overstate how bad this is.
[00:28:16.869 --> 00:28:18.590]  And he just basically told you what I'm telling you.
[00:28:18.830 --> 00:28:20.191]  But you're not going to relive what you did last time.
[00:28:20.211 --> 00:28:21.212]  Those were training wheels, okay?
