[00:00:00.169 --> 00:00:01.470]  Synthetic.
[00:03:42.688 --> 00:03:44.129]  Hold on, Agent Einstein.
[00:03:44.149 --> 00:03:45.230]  You're talking to a scientist.
[00:03:45.750 --> 00:03:46.971]  Forgive me, Assistant Director.
[00:03:47.031 --> 00:03:50.514]  It may sound insensitive, but the suggestion is pure science fiction.
[00:03:50.634 --> 00:03:55.918]  What I'm saying, Agent Einstein, is that the facts as I understand them cannot be discounted out of hand.
[00:03:57.671 --> 00:04:00.794]  No one has the right or the ability to tamper with your DNA.
[00:04:02.616 --> 00:04:03.878]  Unless we gave them that ability.
[00:04:07.001 --> 00:04:13.508]  You say they're tampering with our DNA, that they're able to shut down our immune systems by the addition of something to our DNA.
[00:04:13.728 --> 00:04:15.310]  Yes, but I don't know how exactly.
[00:04:15.710 --> 00:04:16.691]  Or how it's being triggered.
[00:04:17.252 --> 00:04:18.113]  I don't know that either.
[00:04:19.114 --> 00:04:20.135]  Or why it's happening now.
[00:04:21.972 --> 00:04:23.333]  What can we possibly do?
[00:04:23.353 --> 00:04:24.574]  We need to act quickly.
[00:04:25.035 --> 00:04:26.156]  You were right about that.
[00:04:26.236 --> 00:04:27.717]  Well, I was wrong about the science.
[00:04:28.418 --> 00:04:29.799]  I was wrong about what's causing it.
[00:04:29.839 --> 00:04:30.700]  Dead wrong, in fact.
[00:04:31.000 --> 00:04:34.784]  But it's clearly a widespread failure of our immune systems.
[00:04:34.804 --> 00:04:36.025]  It's through gene tampering.
[00:04:36.245 --> 00:04:39.668]  A virus within a virus that was put there through the smallpox vaccine.
[00:04:39.728 --> 00:04:41.790]  It's what these men are calling the Spartan virus.
[00:04:43.111 --> 00:04:44.092]  We have to figure this out.
[00:04:45.193 --> 00:04:46.394]  What's wrong with the science?
[00:04:47.695 --> 00:04:47.936]  Okay.
[00:04:49.343 --> 00:04:53.084]  The Spartan virus removes the adenosine deaminase gene from your DNA.
[00:04:53.144 --> 00:04:57.106]  It removes the ADA gene and your immune system will simply vanish.
[00:04:57.486 --> 00:04:58.866]  Yeah, but I'm not getting sick.
[00:04:59.686 --> 00:05:00.827]  It's only a matter of time.
[00:05:01.827 --> 00:05:02.127]  Okay.
[00:05:02.848 --> 00:05:03.608]  So how does it work?
[00:05:04.648 --> 00:05:06.769]  How does the virus remove the ADA gene?
[00:05:07.049 --> 00:05:08.409]  A process called CRISPR-Cas9.
[00:05:08.489 --> 00:05:09.470]  CRISPR-Cas9.
[00:05:10.530 --> 00:05:13.691]  RNA and a protein cutting genes at exact locations.
[00:05:13.791 --> 00:05:14.271]  Exactly.
[00:05:14.592 --> 00:05:16.252]  But in this instance used as a weapon.
[00:05:17.913 --> 00:05:18.693]  The ultimate weapon.
[00:05:20.006 --> 00:05:22.008]  The ability to depopulate the planet.
[00:05:22.969 --> 00:05:24.570]  To kill everyone but the chosen.
[00:05:24.790 --> 00:05:26.371]  By tampering with their DNA.
[00:05:26.992 --> 00:05:27.833]  Through gene editing.
[00:05:28.033 --> 00:05:29.754]  Why do such a thing and lie about it?
[00:05:29.774 --> 00:05:30.815]  Our own government.
[00:05:30.915 --> 00:05:33.818]  Your own government lies as a matter of course, as a matter of policy.
[00:05:33.838 --> 00:05:37.381]  The Tuskegee experiments on black men in the 30s, Henrietta Lacks.
[00:05:38.662 --> 00:05:39.643]  What are they trying to do?
[00:05:40.236 --> 00:05:41.117]  That's the missing piece.
[00:05:41.517 --> 00:05:42.757]  But it's not hard to imagine.
[00:05:43.378 --> 00:05:47.240]  A government hiding, hoarding technology for 70 years.
[00:05:47.860 --> 00:05:50.182]  At the expense of human life and the future of the planet.
[00:05:51.222 --> 00:05:53.784]  Driven not only by corporate greed, but...
[00:05:54.642 --> 00:05:55.562]  A darker objective.
[00:05:56.103 --> 00:05:57.443]  The takeover of America.
[00:05:58.103 --> 00:06:04.286]  And then the world itself, by any means necessary, however violent, or cruel, or efficient.
[00:06:05.246 --> 00:06:14.410]  By severe drought, brought on by weather wars, conducted secretly using aerial contaminants and high-altitude electromagnetic waves, in a state of perpetual war.
[00:06:15.490 --> 00:06:21.174]  To create problem reaction solution scenarios to distract, enrage, and enslave American citizens at home.
[00:06:22.054 --> 00:06:28.858]  With tools like the Patriot Act and the National Defense Authorization Act, which abridge the Constitution in the name of national security.
[00:06:29.899 --> 00:06:33.101]  The militarization of police forces in cities across the U.S.
[00:06:33.421 --> 00:06:37.984]  The building of prison camps by the Federal Emergency Management Agency with no stated purpose.
[00:06:38.624 --> 00:06:49.309]  The corporate takeover of food and agriculture, pharmaceuticals and healthcare, even the military and clandestine agendas to fatten, dull, sicken and control a populace already consumed by consumerism.
[00:06:49.649 --> 00:06:51.290]  And I encourage you all to go shopping more.
[00:06:51.930 --> 00:06:56.712]  A government that taps your phone, collects your data and monitors your whereabouts with impunity.
[00:06:57.433 --> 00:07:00.574]  A government preparing to use that data against you when it strikes.
[00:07:01.574 --> 00:07:02.915]  And the final takeover begins.
[00:07:04.116 --> 00:07:05.096]  The takeover of America.
[00:07:05.697 --> 00:07:11.029]  By a well-oiled and well-armed multinational group of elites that will cull, kill, and subjugate.
[00:07:11.911 --> 00:07:13.194]  Happening as we sit here.
[00:07:13.860 --> 00:07:15.041]  It's happening all around us.
[00:07:15.622 --> 00:07:16.943]  The other shoe waiting to drop.
[00:07:17.323 --> 00:07:18.585]  It'll probably start on a Friday.
[00:07:19.185 --> 00:07:24.090]  The banks will announce a security action necessitating their computers to go offline all weekend.
[00:07:24.490 --> 00:07:25.751]  Digital money will disappear.
[00:07:25.771 --> 00:07:27.313]  They can just steal your money?
[00:07:27.593 --> 00:07:32.197]  Followed by the detonation of strategic electromagnetic pulse bombs to knock out major grids.
[00:07:32.378 --> 00:07:35.541]  What will seem like an attack on America by terrorists or Russia.
[00:07:35.561 --> 00:07:36.882]  An invasion of the U.S.
[00:07:37.442 --> 00:07:38.303]  The Russians tried it in 47.
[00:07:41.893 --> 00:07:45.255]  I'm good.
[00:07:56.383 --> 00:08:01.006]  Dr. Judy Michovitz is our guest on this commercial-free transmission today.
[00:08:01.806 --> 00:08:05.629]  It is Saturday, May 11, 2024.
[00:08:05.689 --> 00:08:08.671]  177 days, 12 hours, 54 minutes, 55 seconds.
[00:08:09.131 --> 00:08:11.152]  The most important election in world history.
[00:08:12.053 --> 00:08:12.413]  All right.
[00:08:13.293 --> 00:08:14.394]  She's only got an hour with us.
[00:08:14.534 --> 00:08:15.535]  We really appreciate her.
[00:08:15.595 --> 00:08:16.755]  We can talk to her for 10 hours.
[00:08:17.416 --> 00:08:20.558]  She is a renowned top scientist.
[00:08:21.533 --> 00:08:32.761]  Worked under Fauci, worked under the federal government, ran major projects, and she's been coming on the show since they basically released the COVID and then rolled out the poison shots.
[00:08:33.742 --> 00:08:38.065]  And she said on this show three and a half, four years ago, you can go back and find those.
[00:08:38.125 --> 00:08:39.106]  They're banned on video.
[00:08:39.186 --> 00:08:41.328]  We should repost those to X now that we're back on there.
[00:08:42.189 --> 00:08:45.331]  And everything she said is now all confirmed.
[00:08:45.951 --> 00:08:46.532]  And we have
[00:08:48.112 --> 00:09:01.776]  ABC News, CNN, The Wall Street Journal, The New York Times, Bill Maher, all backpedaling now, saying we shouldn't have locked down the schools, we shouldn't have tried to make you take the shot, or we never tried to make you take the shot.
[00:09:03.217 --> 00:09:08.338]  And it's the same PR campaign from Australia to Germany to the United States, to Canada to the UK.
[00:09:08.818 --> 00:09:11.139]  So, this is really coming out.
[00:09:11.179 --> 00:09:13.560]  The insurance company actuaries have been out for over two years.
[00:09:13.900 --> 00:09:16.981]  They continue to show upwards of 22 million dead.
[00:09:18.390 --> 00:09:22.512]  They admit record heart attacks, myocarditis, blood clots, infertility, turbo cancer.
[00:09:23.313 --> 00:09:43.063]  Dr. Minkovits explained years ago that they were putting in the so-called shot that was secret, now they admit they changed it thousands of times, that's mainstream news, in a giant test on the public, flooding it with upwards of 200 billion pieces of DNA per injection.
[00:09:43.724 --> 00:09:45.825]  That is CBS News last week.
[00:09:46.744 --> 00:09:50.525]  So it does have DNA in it, not just the mRNA.
[00:09:51.065 --> 00:09:58.668]  And she explained that they were polluting everybody to cover up what was coming out that they'd already polluted us with, with the other so-called injections.
[00:09:59.708 --> 00:10:01.549]  So she is a expert.
[00:10:02.369 --> 00:10:12.993]  I'm not going to go over her entire background and all of her different degrees in biochemistry, molecular biology, chemistry, the list goes on and on.
[00:10:14.198 --> 00:10:22.580]  She pioneered in the fields of immunology, chemistry, epigenetics, HIV, AIDS, drug development.
[00:10:23.923 --> 00:10:26.384]  And they were able to isolate exactly what was going on.
[00:10:26.424 --> 00:10:28.164]  Then, of course, the Feds came after her.
[00:10:28.884 --> 00:10:40.528]  And she has co-authored more than 50 peer-reviewed publications and books, holds patents on combination therapy for prostate cancer using botanical compositions, and it goes on from there.
[00:10:41.128 --> 00:10:44.609]  And, of course, she's also in New York Times a number one best-selling author.
[00:10:46.169 --> 00:10:46.709]  We're good to go.
[00:11:05.748 --> 00:11:17.873]  TheRealDrJudy.com is her excellent website, but you cannot have someone out of all the amazing whistleblowers and all the amazing, she was a whistleblower 15, 20 years ago.
[00:11:19.874 --> 00:11:25.596]  None of them, and it's not a competition, none of them have been as on target as her from day one.
[00:11:26.236 --> 00:11:28.457]  And so now that we have so much hindsight on this,
[00:11:28.939 --> 00:11:38.763]  It was crystal clear for her, but now she can explain it to us, hopefully in layman's terms, what we're facing and where she thinks this is all going with the UN treaty.
[00:11:39.404 --> 00:11:44.626]  And now they're hyping up bird flu and saying in the news it's gone to humans, but it hasn't.
[00:11:44.646 --> 00:11:46.207]  And then you read the fine print.
[00:11:46.527 --> 00:11:48.868]  They're clearly trying to roll out a new hysteria, but it's not working.
[00:11:49.528 --> 00:11:53.456]  So, Dr. Judy Mikovits, thank you so much for coming on with us today.
[00:11:54.037 --> 00:11:55.219]  You can start wherever you'd like.
[00:11:55.239 --> 00:11:56.581]  I know you sent us a short video clip.
[00:11:56.601 --> 00:11:59.587]  You also sent us some slides that we're going to be going over.
[00:11:59.647 --> 00:12:02.031]  So, thank you so much for spending part of your Saturday with us.
[00:12:03.376 --> 00:12:07.118]  Well, thank you for having me because it's so important to show you.
[00:12:07.138 --> 00:12:19.966]  It's not just me and my entire journey these last 45 years is laid out in our three books, Plague, Plague of Corruption and Ending Plague.
[00:12:20.406 --> 00:12:24.729]  And what you see there is what I call the heroes of the faith.
[00:12:25.570 --> 00:12:27.371]  Mickey Willis' tour.
[00:12:27.411 --> 00:12:43.587]  The heroes of the faith who stepped in and showed me what I needed to see in that long 15 years since 2009 when our science paper was published that absolutely proved
[00:12:44.708 --> 00:13:00.356]  All of it, all of the shots had mouse, monkey, and manufactured aborted fetal cell, mRNA, DNA, and protein in them, and heavy metals, and
[00:13:02.357 --> 00:13:05.379]  You know, synthetic lipid nanoparticles.
[00:13:05.719 --> 00:13:08.781]  They're not spike proteins floating through the air.
[00:13:09.201 --> 00:13:16.045]  And so what I learned with my PhD thesis that I defended November 14, 1991,
[00:13:19.387 --> 00:13:28.610]  After Magic Johnson, the week before, was all over the news having tested positive for HIV.
[00:13:29.130 --> 00:13:33.152]  And this was just the brilliance of Mickey Willis as we learned to communicate.
[00:13:33.512 --> 00:13:39.374]  As I sat with him for hundreds of hours and had just, he couldn't understand.
[00:13:39.454 --> 00:13:43.295]  I mean, we couldn't communicate because I didn't know what he didn't know.
[00:13:43.355 --> 00:13:45.456]  We didn't know our perspectives.
[00:13:45.916 --> 00:13:51.020]  And so then one day he sat there and he said, yeah, this is all just fear porn.
[00:13:51.040 --> 00:13:53.022]  Why don't we throw up the clip?
[00:13:53.062 --> 00:13:54.083]  This is fear porn.
[00:13:54.123 --> 00:14:03.330]  They're telling you the SV40 enhancer promoter has been in every infectious molecular clone.
[00:14:03.771 --> 00:14:06.353]  That is molecular biology.
[00:14:06.733 --> 00:14:21.780]  My PhD thesis proved it didn't matter where the virus came from, but HIV was injected in every hepatitis B vaccine starting in 1991.
[00:14:22.320 --> 00:14:24.581]  They knew they could get away with it.
[00:14:24.961 --> 00:14:27.342]  HIV was gain of function.
[00:14:27.883 --> 00:14:32.965]  It never was LAV that Luc Montagnier isolated
[00:14:33.585 --> 00:14:39.469]  First, from people with gay men with gay-related immune deficiency.
[00:14:39.829 --> 00:14:51.497]  Tony Fauci said only gay men, IV drug users, and prostitutes could get, yes, could get, start there, could get AIDS.
[00:14:51.957 --> 00:14:58.803]  You know, AIDS is and always was, thank you David Martin, injection of bioweapon.
[00:14:59.163 --> 00:15:06.510]  They had to inject defective viruses that aren't transmissible and infectious.
[00:15:06.810 --> 00:15:15.958]  This was my 1992, my only appearance at the satanic Cold Spring Harbor Laboratory
[00:15:16.738 --> 00:15:20.719]  Meeting that on retrovirology that happens every year.
[00:15:20.739 --> 00:15:32.903]  You know, this all started in 1934, and the brilliant, fabulous Kenteck and Lively, the attorney from, just my favorite attorney.
[00:15:32.983 --> 00:15:44.646]  So when I was J6'd and kidnapped in jail for refusing to give up the knowledge in our science paper and the data in that science paper,
[00:15:45.607 --> 00:15:47.349]  It's all vaccines.
[00:15:47.769 --> 00:15:49.191]  Back to that slide.
[00:15:49.731 --> 00:15:51.954]  It isn't always was.
[00:15:52.595 --> 00:15:55.238]  Infection by injection.
[00:15:55.658 --> 00:15:59.402]  This vaccination is not immunization.
[00:15:59.923 --> 00:16:02.724]  It's extermination and sterilization.
[00:16:03.064 --> 00:16:09.085]  And I presented this over and over again the last three years, Clay Clark meetings, anybody who will look.
[00:16:09.385 --> 00:16:17.788]  And I show you unintended consequences of three decades of liability vaccines.
[00:16:18.408 --> 00:16:20.208]  But see, this is wrong.
[00:16:20.628 --> 00:16:23.509]  Polio vaccine was never a vaccine.
[00:16:24.355 --> 00:16:27.276]  It never gave you immunity according to God.
[00:16:27.336 --> 00:16:27.857]  I'm sorry.
[00:16:28.197 --> 00:16:32.258]  The polio vaccine was never an immunization.
[00:16:32.779 --> 00:16:43.363]  So we've got to stop the corruption at the level of never again say vaccination is immunization because you had to inject
[00:16:43.843 --> 00:16:47.207]  You have to transfect the synthetic.
[00:16:47.247 --> 00:16:53.513]  You have to transfect monkey, mouse, cow, pig, aborted fetal.
[00:16:53.753 --> 00:17:02.642]  There's cow, there's cow blood, cow serum, and bird and everything else in every single shot.
[00:17:03.262 --> 00:17:05.505]  Always has been since 1991.
[00:17:08.047 --> 00:17:11.891]  The hepatitis B vaccine was liability free.
[00:17:12.191 --> 00:17:30.729]  The hepatitis B is how vaccine, how HIV got into Magic Johnson and Mickey Willis's brother and Mickey Willis's mother got the other XMRV, xenotropic
[00:17:32.106 --> 00:17:36.792]  I understand you're a scientist and I cover this all the time and I barely understand it.
[00:17:37.112 --> 00:17:40.076]  So for a lot of new viewers, boil it down first for us.
[00:17:40.617 --> 00:17:44.682]  And now that this is all coming out, it's all over the news, major studies, FDA studies.
[00:17:45.223 --> 00:17:46.585]  Okay, it's contaminated with DNA.
[00:17:46.685 --> 00:17:47.726]  Okay, it's contaminated with SV40.
[00:17:49.682 --> 00:17:50.683]  Yeah, it's contaminated.
[00:17:50.763 --> 00:17:51.964]  No, they.
[00:17:52.425 --> 00:17:53.405]  Look at the first slide.
[00:17:53.445 --> 00:17:54.466]  No, I understand.
[00:17:54.546 --> 00:17:55.527]  I know it's not contaminated.
[00:17:55.547 --> 00:17:56.168]  They put it in there.
[00:17:56.388 --> 00:18:01.553]  So explain how they do this, why they do this, and go back to what you said years ago, because now that's come out.
[00:18:01.673 --> 00:18:02.273]  Explain it to me.
[00:18:03.154 --> 00:18:10.320]  Why they wanted to use the COVID injections, how that covers up the previous ones by flooding the zone with even more contaminants.
[00:18:10.360 --> 00:18:10.641]  Explain.
[00:18:11.448 --> 00:18:15.989]  No, because the COVID shots are synthetic.
[00:18:16.829 --> 00:18:19.930]  So the COVID shots are natural immunity.
[00:18:20.310 --> 00:18:36.293]  When it was monkey, when it was mouse, when it was cow, only the people that were injected vulnerable on the first day of life, hepatitis B vaccine, makes up your chromosome, your X chromosome.
[00:18:36.593 --> 00:18:49.580]  Your epigenetics, your own God-given protection for any virus infection, any parasite that robs oxygen from your red blood cells.
[00:18:49.940 --> 00:18:55.203]  So that slide shows you, that first slide shows you the asterisks.
[00:18:55.603 --> 00:19:02.867]  And the second slide shows you, and see every asterisk is several published papers.
[00:19:03.387 --> 00:19:04.668]  All these diseases
[00:19:05.288 --> 00:19:06.569]  We're good to go.
[00:19:23.951 --> 00:19:25.892]  Because read the title of that paper.
[00:19:26.133 --> 00:19:29.655]  Go to that paper and leave it with with on the screen.
[00:19:29.715 --> 00:19:35.879]  Let people see in lay terms what you showed in the clip in the beginning.
[00:19:39.642 --> 00:20:02.028]  You know, a parasite is anything that robs oxygen from your body in any way, whether it be your skin, whether it be 5G, whether it be GMO, whether it's genetically modified foods, it's environmental change on zoonotic, how things jump from animals.
[00:20:02.408 --> 00:20:03.809]  They don't jump.
[00:20:04.289 --> 00:20:12.151]  They were always injected into our tomatoes, into our cows, into our chickens.
[00:20:12.391 --> 00:20:21.033]  The fake Purina feed where our chickens start laying... And that's why they're saying they're now injecting cows and pigs with the COVID garbage.
[00:20:21.153 --> 00:20:22.414]  So they've been doing this forever.
[00:20:22.454 --> 00:20:24.634]  So what is the end game?
[00:20:24.774 --> 00:20:26.955]  Lowering our immune system, making us toxic, killing us?
[00:20:28.491 --> 00:20:42.931]  Well, correct, but because we're eating GMO, if you look at the asterisks on the second slide you just showed, it's only a few slides, that second slide, so every asterisk
[00:20:43.331 --> 00:20:49.898]  Create new viruses by recombination of the genetically modified insert.
[00:20:50.198 --> 00:20:53.742]  Well, if you do that to a tomato, it's not food.
[00:20:54.222 --> 00:21:01.450]  If you inject these, cows will produce different, you know, allergic casein peptides.
[00:21:01.750 --> 00:21:06.335]  When you inject cow blood in a newborn, every vaccine
[00:21:06.995 --> 00:21:10.760]  Since 1991, I made them.
[00:21:10.780 --> 00:21:16.687]  I manufactured in fermentation chemistry in Fort Detrick.
[00:21:17.108 --> 00:21:25.137]  Our viral vaccines are all grown in Vero Monkey kidney cell line, the E6.
[00:21:26.519 --> 00:21:29.644]  Was SARS-CoV-2 and Ebola.
[00:21:29.824 --> 00:21:35.031]  I created the Vero E6 clone in the 90s.
[00:21:35.392 --> 00:21:41.200]  Deborah Birx and Robert Redfield injected HIV by way
[00:21:41.821 --> 00:21:51.126]  A Vero Monkey Kidney Cell Vaccine in the 90s and caused the Gulf War on the first slide.
[00:21:51.486 --> 00:21:54.328]  So you see, our food is GMO.
[00:21:54.548 --> 00:21:56.809]  Our animals are genetically modified.
[00:21:57.149 --> 00:22:03.293]  And this is what the WHO and on the high wire, we saw it the other day, this whole one world.
[00:22:03.633 --> 00:22:05.434]  Oh, you're going to eat our crickets.
[00:22:05.454 --> 00:22:08.075]  You're going to eat our... No, humans don't eat that.
[00:22:08.395 --> 00:22:10.617]  But when you look at every asterisk,
[00:22:11.556 --> 00:22:18.124]  You see, you see how they tried to poison our air, our food, our water.
[00:22:18.785 --> 00:22:22.149]  And so you see all this is it's fake meat.
[00:22:22.470 --> 00:22:28.057]  There's no such thing as plant based because our God gave us everything for free.
[00:22:28.297 --> 00:22:34.741]  And Doctor, let me stop you because now without any studies or any research, hundreds of things are flooding the zone.
[00:22:35.262 --> 00:22:39.825]  Salmon that are part grasshopper has been on store shelves five years, no labeling.
[00:22:40.185 --> 00:22:42.587]  That's Wall Street Journal, we're very proud of it.
[00:22:42.627 --> 00:22:47.650]  Just two weeks ago, they approved soybeans that grow pig protein in them.
[00:22:48.431 --> 00:22:53.574]  And now they have tomatoes that have animal protein, which I guess...
[00:22:54.855 --> 00:22:56.576]  So that's a pharmacological crop.
[00:22:56.616 --> 00:23:00.577]  People don't know for decades they've been using plants to actually grow live vaccines.
[00:23:00.837 --> 00:23:02.237]  Now they're going to feed these to us.
[00:23:03.057 --> 00:23:12.200]  And if the life expectancy is plunging, if cancer is exploding, if infertility is exploding, they know exactly what you're doing and are literally just killing everybody.
[00:23:13.782 --> 00:23:14.824]  Or trying to.
[00:23:14.924 --> 00:23:22.771]  So go to the third slide and you're going to see why this is so much fun, because we saw this a long time ago.
[00:23:22.791 --> 00:23:29.999]  The third slide on that deck should be this company, Genius Omnitura.
[00:23:30.639 --> 00:23:32.120]  I started working for them.
[00:23:32.221 --> 00:23:43.170]  I was basically unemployed because 9-1-1 destroyed our company, Epigenics Pharmaceuticals, because nobody cared about getting cancer and curing cancer.
[00:23:43.530 --> 00:23:52.497]  Epigenics Pharmaceuticals is where I took the intellectual property of my work, given to me the public-private partnership.
[00:23:52.777 --> 00:23:58.102]  When I got married October 7, 2000 and moved to Epigenics Pharmaceuticals,
[00:23:58.502 --> 00:24:00.763]  Started first May 14th of 2001.
[00:24:01.344 --> 00:24:05.847]  So what this is, and then we partnered with this company in 2005.
[00:24:05.967 --> 00:24:26.339]  We had Epigenics Pharmaceuticals, Omnitura Therapeutics, and what you see there is we harnessed the power of our God-given plants to make botanical adjuvants and use the drugs that were toxic and poison, the pills and the
[00:24:28.240 --> 00:24:28.600]  Is that right?
[00:24:46.067 --> 00:24:47.087]  Well, that's my next question.
[00:24:47.588 --> 00:24:48.228]  I don't understand.
[00:24:48.268 --> 00:24:51.069]  You're talking about there's ways to mitigate, and that's why I wanted you on today.
[00:24:51.089 --> 00:24:57.912]  I was talking about what's currently happening, why the rats are leaving the citizenship, what you expect to happen next, because you said a couple years ago on the show, we're going to get them, they're going to go down.
[00:24:58.332 --> 00:24:59.293]  That's not starting to happen.
[00:24:59.313 --> 00:25:00.753]  I want to hear how you think they're going to strike back.
[00:25:00.773 --> 00:25:06.336]  But here's something I see all over the fake news, and I saw it on X that people asking me.
[00:25:07.216 --> 00:25:13.221]  Why would the globalists release all this nanotech and all this GMO poison if it's going to hit them?
[00:25:13.941 --> 00:25:18.985]  Well, they have ways to mitigate it for themselves, and that's very clear.
[00:25:19.005 --> 00:25:22.168]  And then I have whistleblowers that came out, and we also confirmed in documents
[00:25:22.930 --> 00:25:23.650]  That's right.
[00:25:46.284 --> 00:25:54.391]  If you can convince anybody with that fact that London Guardian and Australian Senate reports in the Senate hearing, they're admitting they were given saline.
[00:25:54.771 --> 00:25:58.774]  That right there is smoking gun to show that they really don't want to take it themselves.
[00:25:59.115 --> 00:26:01.016]  But can you speak to that thing we hear?
[00:26:01.216 --> 00:26:05.259]  Oh, why would they do all this to the environment if it's going to attack them?
[00:26:05.980 --> 00:26:07.481]  But I've also noticed like the 5G.
[00:26:08.562 --> 00:26:09.863]  I know the globalists.
[00:26:09.903 --> 00:26:10.484]  I track them.
[00:26:10.544 --> 00:26:11.885]  I've actually met with some of them off record.
[00:26:12.205 --> 00:26:14.687]  They all live in rural areas away from 5G.
[00:26:14.947 --> 00:26:17.770]  They quietly fund laws to not allow 5G.
[00:26:18.350 --> 00:26:24.075]  In West Virginia, the New York Times reported on this, there's an ultra-rich encampment by a SETI
[00:26:26.237 --> 00:26:27.198]  We're good to go.
[00:26:50.305 --> 00:26:51.987]  Now that's, you're exactly right.
[00:26:52.447 --> 00:26:56.051]  So you see they poisoned, and this is Lee Merritt showed us this.
[00:26:56.391 --> 00:27:00.215]  They poisoned, you know, they put these towers all up over our land.
[00:27:00.276 --> 00:27:02.358]  It goes all the way back to the telegraph.
[00:27:02.758 --> 00:27:03.058]  Why?
[00:27:03.179 --> 00:27:04.700]  So they've got the seeds.
[00:27:05.041 --> 00:27:08.384]  We've got all the seeds at the National Cancer Institute.
[00:27:08.664 --> 00:27:11.948]  We have a repository in fermentation chemistry.
[00:27:12.268 --> 00:27:22.856]  My very first job at Fort Detrick has the repository of all the plants and the things and from the seeds and the soils and the soil microbes.
[00:27:22.936 --> 00:27:27.399]  We have all of those and we the people own them.
[00:27:27.779 --> 00:27:32.461]  So you see, all we have to do is chop down these towers, grow our own food.
[00:27:32.781 --> 00:27:34.882]  This is what we, you know, we have.
[00:27:34.942 --> 00:27:36.743]  That's what that patent is.
