[00:00:00.349 --> 00:00:03.210]  Your cell phone isn't just watching and listening to you.
[00:09:51.492 --> 00:09:54.935]  Considering that young people are introduced to sexuality through pornography.
[00:09:54.955 --> 00:09:55.776]  Yep.
[00:09:56.356 --> 00:09:57.297]  Yeah.
[00:09:58.638 --> 00:10:01.060]  Given that there's no privacy, it's probably pretty dumb to watch porn.
[00:10:02.193 --> 00:10:04.455]  Again, this has been going on for decades.
[00:10:04.555 --> 00:10:05.756]  It's getting worse by the day.
[00:10:05.916 --> 00:10:07.077]  It's all completely illegal.
[00:10:07.458 --> 00:10:08.359]  Congress must act.
[00:10:08.599 --> 00:10:09.600]  The governors must act.
[00:10:09.820 --> 00:10:11.001]  The legislatures must act.
[00:10:11.241 --> 00:10:17.427]  The Senate Attorney Generals must act now, because this is a big tech private intelligence agency takeover of the world.
[00:10:17.607 --> 00:10:20.690]  We'll be reporting more on this, edX, at Real Alex Jones.
[00:10:20.850 --> 00:10:21.550]  Please follow me there.
[00:10:23.832 --> 00:10:27.476]  HSBC and JPMorgan Chase.
[00:10:28.175 --> 00:10:30.976]  So you look at what do they do?
[00:10:31.056 --> 00:10:33.476]  What are they the biggest banks in the world of?
[00:10:34.176 --> 00:10:40.658]  Those two are number one and number two largest short sellers of silver on the planet.
[00:10:41.098 --> 00:10:41.818]  Those two banks.
[00:10:42.398 --> 00:10:47.059]  And now we're starting to see a short squeeze happening in silver.
[00:10:47.499 --> 00:10:54.481]  But we had 568 million ounces of silver being shorted, naked shorts.
[00:10:54.941 --> 00:10:56.281]  Meaning they don't own the assets.
[00:10:56.661 --> 00:11:01.702]  They just put these futures contracts on them to shorts to drive the price down.
[00:11:02.122 --> 00:11:16.165]  Well, when you have a short position and the value of the underlying thing that you're shorting goes up, Alex, you lose money hand over fist in multiples, not dollar for dollar, but multiples.
[00:11:16.605 --> 00:11:30.016]   The day before Iran basically sent those drones into Israel, China made this announcement, said, hey, everybody in China, start buying silver.
[00:11:30.557 --> 00:11:31.858]  Don't just buy gold.
[00:11:32.278 --> 00:11:33.159]  Buy silver.
[00:11:33.440 --> 00:11:38.264]  You made the point that China was trying to call the naked shorts of the Western central banks.
[00:11:38.805 --> 00:11:41.648]  Look at what's happened to silver since that time.
[00:11:42.428 --> 00:11:43.329]  Skyrocketing!
[00:11:43.809 --> 00:12:05.286]  You've got low supply, you've got high demand, you've got a short squeeze starting where the manufacturers of the world, the defense contractors, the aerospace industry, the fuel cell technology people, the solar people, they all need silver and there's not much available because India has already committed to 66% of the world's supply this year.
[00:12:05.346 --> 00:12:08.028]  So here's where we've got this short squeeze happening.
[00:12:08.189 --> 00:12:11.011]  Physical supply coming out of inventory.
[00:12:11.471 --> 00:12:14.673]  Not available for the manufacturers to purchase.
[00:12:15.273 --> 00:12:20.456]  And what has happened to the price of silver in the last two and a half months?
[00:12:21.237 --> 00:12:27.501]  Literally, the last 75 days or so, silver's gone from 22 and a half to almost 32.
[00:12:27.761 --> 00:12:32.203]  It's up like 45% in two and a half months.
[00:12:32.944 --> 00:12:39.488]  And you've got those Western banks that have millions, hundreds of trillions of ounces of silver short.
[00:12:40.308 --> 00:12:41.569]  And the price went up 45%.
[00:12:42.730 --> 00:12:44.692]  They are losing money hand over fist.
[00:12:45.112 --> 00:12:59.684]  So part of me says this kind of being on the wrong side of a price move when it's leveraged could cause HSBC and JP Morgan Chase to have a really, really, really big financial problem.
[00:13:00.004 --> 00:13:02.726]   And, hmm, Their CEOs are jumping ship.
[00:13:03.306 --> 00:13:04.506]  They're getting out of Dodge.
[00:13:05.047 --> 00:13:06.307]  Our firm is just different.
[00:13:06.727 --> 00:13:10.689]  We charge 8% when you purchase, 0% when you liquidate.
[00:13:11.029 --> 00:13:17.011]  We buy directly from the depository in Shiner, Texas, the Texas Precious Metals Depository.
[00:13:17.451 --> 00:13:21.913]  So their wholesale prices, you tack on 8%, they ship it directly to you.
[00:13:22.353 --> 00:13:25.314]  When you sell it back, we take nothing.
[00:13:26.034 --> 00:13:29.598]  Zero, and whatever the depository prices are, you get all of it.
[00:13:30.038 --> 00:13:43.748]   See, that's a huge difference from buying a rare coin, something that has a high commission, high premium, where even after the big move in silver that we've seen, You still haven't even broken even.
[00:13:43.748 --> 00:13:44.748]  KEPM.com/gold.
[00:13:44.748 --> 00:13:45.748]  Check them out.
[00:13:45.748 --> 00:13:46.748]  Go on the site.
[00:13:46.748 --> 00:13:47.748]  Call them.
[00:13:47.748 --> 00:13:48.748]  Get a consultation.
[00:13:48.748 --> 00:13:49.748]  Email them.
[00:13:49.748 --> 00:13:50.748]  Talk to them.
[00:13:50.748 --> 00:13:51.748]  720-605-3900.
[00:13:51.748 --> 00:13:52.748]  Again, that's 720-605-3900.
[00:13:52.748 --> 00:14:01.068]   One of the most important calls you would make, obviously, and like he's been saying,
[00:14:01.068 --> 00:14:03.467]  get silver, up 40% on the year.
[00:14:03.467 --> 00:14:05.107]  He says that he'll make such profits in silver.
[00:14:05.107 --> 00:14:08.988]   When the gold run starts, you use that profit to buy the gold, and you sell it back to Dr.
[00:14:08.988 --> 00:14:13.867]   Kirk Elliott with zero cost, which no big broker, no big company does.
[00:14:13.875 --> 00:14:16.876]  That's why there are 4.7 star ratings that nobody else has.
[00:14:17.237 --> 00:14:19.078]  KEPM.com forward slash gold.
[00:14:19.438 --> 00:14:21.379]  KEPM.com forward slash gold.
[00:14:21.399 --> 00:14:25.041]  Viene una tormenta!
[00:14:28.424 --> 00:14:29.384]  What did he just say?
[00:14:30.725 --> 00:14:32.306]  He said there's a storm coming in.
[00:14:37.299 --> 00:14:37.760]  I know.
[00:14:39.461 --> 00:14:42.945]  We told you what was going to happen and it did.
[00:14:43.566 --> 00:14:45.908]  Now we're telling you what's coming.
[00:14:46.769 --> 00:14:49.371]  At Real Alex Jones on X.
