[00:00:01.433 --> 00:00:02.435]  Oh, no!
[00:02:55.911 --> 00:03:00.437]  That's one of the reasons that he goes, oh, it's terrible.
[00:03:00.497 --> 00:03:02.579]  He makes up the replacement migration theory.
[00:03:02.619 --> 00:03:04.321]  That's an official UN plan.
[00:03:04.381 --> 00:03:07.085]  So I'm going to shoot a report right after I go off.
[00:03:07.165 --> 00:03:09.487]  Aaron Rodger takes over here in the next segment.
[00:03:09.728 --> 00:03:11.189]  I'm going to show you the documents and all of it.
[00:03:12.335 --> 00:03:15.596]  I'm also going to file a report on the plan to create giant crime waves in the West.
[00:03:15.616 --> 00:03:16.896]  It's the official Soros U.N.
[00:03:16.936 --> 00:03:17.296]  plan.
[00:03:17.476 --> 00:03:18.316]  It's not just Canada.
[00:03:18.336 --> 00:03:22.297]  It's happening here in the U.S., Europe, clown world, Canada.
[00:03:22.738 --> 00:03:32.760]  Citizens told to leave key boxes, open key boxes, outside their doors to their cars so thieves can steal them more easily and not break in the house and rob them.
[00:03:34.400 --> 00:03:37.061]  That's like telling a woman, go ahead and let somebody rape you so they don't beat you.
[00:03:38.257 --> 00:03:39.638]  This is the total capitulation.
[00:03:39.698 --> 00:03:47.846]  You see the robbery in the stores in Europe and here, where the prosecutors locally won't prosecute for thousands of dollars of theft, and then all the stores are closing.
[00:03:48.507 --> 00:03:49.307]  That's the plan.
[00:03:49.368 --> 00:03:50.629]  Create the angrier world.
[00:03:51.409 --> 00:03:52.390]  Create the dystopia.
[00:03:52.691 --> 00:03:56.054]  Here's a short clip of the larger newscast we're going to be airing coming up.
[00:03:56.991 --> 00:03:59.794]  There's also updated advice for all vehicle owners.
[00:04:00.115 --> 00:04:04.400]  A message echoed by Toronto Police speaking at an Etobicoke safety meeting last month.
[00:04:04.620 --> 00:04:10.467]  Constable Marco Ricciardi had a new message for vehicle owners who keep their fobs in Faraday pouches.
[00:04:11.168 --> 00:04:14.612]  To prevent the possibility of being attacked in your home.
[00:04:15.180 --> 00:04:16.341]  Leave your fobs at your front door.
[00:04:16.361 --> 00:04:19.285]  Because they're breaking into your home to steal your car.
[00:04:19.305 --> 00:04:20.126]  They don't want anything else.
[00:04:20.486 --> 00:04:23.049]  A lot of them that they're arresting have guns on them.
[00:04:23.149 --> 00:04:24.811]  And they're not toy guns, they're real guns.
[00:04:25.191 --> 00:04:25.812]  They're loaded.
[00:04:26.353 --> 00:04:32.159]  That's why Golinski says they will be installing the door stops and taking YPR's advice seriously.
[00:04:32.580 --> 00:04:35.303]  But she'd like more action from police as well.
[00:04:36.897 --> 00:04:46.284]  So, they take most of the guns in Canada, crime rate explodes, they have the same Soros-funded type prosecutors, and then they tell you, capitulate to the pirates.
[00:04:46.944 --> 00:04:56.851]  Alright, Roger Stone's gonna get into all the big political news, Election 2024, and so much more than Robert Barnes, Drew Hernandez, and my special reports, coming up today.
[00:04:56.872 --> 00:04:58.513]  Please tell everybody you know, tune in now!
[00:05:01.047 --> 00:05:03.569]  It's been sold out for six months.
[00:05:04.230 --> 00:05:05.731]  It's our number two bestseller.
[00:05:05.851 --> 00:05:06.812]  It's X3.
[00:05:07.413 --> 00:05:13.718]  The highest quality, pure, deep earth crystal iodine you're going to find anywhere.
[00:05:14.098 --> 00:05:17.241]  With the two other types of iodine that are great for your body as well.
[00:05:17.641 --> 00:05:22.245]  So to make sure no matter what type of body type you have, whatever your physiology is, it will supercharge you.
[00:05:22.606 --> 00:05:23.867]  Look at this giant stack right here.
[00:05:24.507 --> 00:05:27.210]  I could talk for hours about this on air and I am planning to next week.
[00:05:27.970 --> 00:05:33.331]  But the number one cause of cognitive disability in the world is iodine deficiency.
[00:05:33.691 --> 00:05:35.192]  And all iodine is not created equal.
[00:05:35.532 --> 00:05:40.733]  Most iodine is bound to other things in the environment, whether it's plants or animals you're eating, so you don't absorb it.
[00:05:41.053 --> 00:05:41.653]  This is pure.
[00:05:41.673 --> 00:05:42.674]  It goes right into your cells.
[00:05:43.174 --> 00:05:45.534]  It is essential for all electrochemical activity.
[00:05:45.954 --> 00:05:54.436]  And despite the fact it's been sold out for six months, X3 is back in stock for 40% off for a limited time at InfoWorksTour.com.
[00:05:54.776 --> 00:05:57.237]  So stock up on X3 right now.
[00:05:57.657 --> 00:06:02.999]  You are listening to an InfoWars.com Frontline Report.
[00:06:03.059 --> 00:06:06.841]  If you are receiving this transmission, you are the Resistance.
[00:06:26.903 --> 00:06:30.485]  Welcome to the Alex Jones Show.
[00:06:31.425 --> 00:06:36.268]  I'm your guest host, Roger Stone, sitting in for Alex Jones.
[00:06:37.188 --> 00:06:40.810]  You know, I did a show here at InfoWars from 2017 to 2019.
[00:06:40.890 --> 00:06:44.692]  May have been the happiest time in my life.
[00:06:47.967 --> 00:06:51.749]  I knew that the Mueller investigation was afoot.
[00:06:52.289 --> 00:07:03.896]  I also knew that I was targeted, not because I did anything wrong, but because I was a 45 year friend of President Donald Trump.
[00:07:05.001 --> 00:07:20.308]  I have to say, while Alex Jones may have been skeptical that I would ultimately be charged, when I was, there was no one more supportive, no one more behind me
[00:07:21.188 --> 00:07:32.135]  No one more leading the efforts to expose the truth on the witch hunt against me than Alex Jones and the entire family at InfoWars.
[00:07:32.636 --> 00:07:36.418]  And for that, I will always be extraordinarily grateful.
[00:07:37.248 --> 00:07:47.174]  You don't really know what it's like to be censored, silenced, shadow banned, and cancelled until it happens to you.
[00:07:47.774 --> 00:07:51.416]  Well, as most of you know, it happened to Alex Jones.
[00:07:52.177 --> 00:07:53.237]  It happened to me.
[00:07:53.257 --> 00:07:56.979]  It happened to others like Laura Loomer.
[00:07:57.400 --> 00:08:02.763]  When it first happened, many conservatives did not raise a voice.
[00:08:03.323 --> 00:08:04.624]  They said nothing.
[00:08:05.387 --> 00:08:07.753]  Until, of course, it happened to them.
[00:08:08.634 --> 00:08:12.303]  Then you saw what was really historic.
[00:08:13.004 --> 00:08:20.552]  Elon Musk's purchase of Twitter, turning it into X, really was historic.
[00:08:20.952 --> 00:08:22.694]  It changed everything.
[00:08:22.754 --> 00:08:35.688]  It was the beginning of the end for the regime, because their complete stranglehold on all mass communications began to crumble.
[00:08:36.388 --> 00:09:02.402]  And then to his credit, Elon Musk was willing to go back into the files and expose the fact that various governmental agencies like the Department of Homeland Security and the FBI had worked hand-in-glove with executives at Twitter to censor people who didn't adhere to the accepted narrative.
[00:09:02.422 --> 00:09:05.744]  It didn't matter whether the issue was election integrity
[00:09:06.365 --> 00:09:11.975]  Russian collusion or the dangers of the COVID-19 vaccinations.
[00:09:12.536 --> 00:09:14.340]  He exposed everything.
[00:09:14.927 --> 00:09:19.989]  Now, X has exploded as a platform.
[00:09:20.649 --> 00:09:22.669]  Alex Jones is back there.
[00:09:23.009 --> 00:09:23.770]  I love that.
[00:09:24.630 --> 00:09:41.375]  Our friend Tucker Carlson, friend of mine of 30 years, is racking up numbers of viewers that could never have been achieved on old-fashioned cable television as Fox.
[00:09:42.148 --> 00:09:47.789]  So, it's extraordinary, this revolution in communications.
[00:09:48.630 --> 00:10:10.275]  But, yesterday I was shocked to learn that Elon Musk, who has made his platform available to Don Lemon, the same way he makes his platform available to Tucker Carlson, got nothing in return but a vicious attack.
[00:10:11.276 --> 00:10:24.192]  It's absolutely extraordinary that not only does Musk afford Lemon a platform on X, but he also agrees to an interview.
[00:10:24.873 --> 00:10:26.956]  Let's take a look at what transpired.
[00:10:31.917 --> 00:10:36.801]  You believe that X and you have some responsibility to moderate hate speech on the platform?
[00:10:37.101 --> 00:10:41.524]  That you wouldn't have to answer these questions from reporters about the Great Replacement Theory as it relates to Democrats?
[00:10:41.564 --> 00:10:42.645]  I don't have to answer these questions.
[00:10:42.665 --> 00:10:45.307]  The Great Replacement Theory as it relates to Jewish people?
[00:10:45.347 --> 00:10:47.948]  Do you think that... I don't have to answer questions from reporters.
[00:10:48.389 --> 00:10:52.292]  Don, the only reason I'm doing this interview is because you're on the X platform and you asked for it.
[00:10:53.352 --> 00:10:55.834]  Otherwise I would not do an interview with this interviewer.
[00:10:55.874 --> 00:10:59.918]  So you don't think, do you think that you wouldn't get in trouble or you wouldn't be criticized for these things?
[00:10:59.938 --> 00:11:01.219]  I would be criticized possibly.
[00:11:01.259 --> 00:11:01.899]  I could care less.
[00:11:03.861 --> 00:11:05.042]  Illuminating in so many ways.
[00:11:05.262 --> 00:11:07.343]  I have two things I want to ask you about that, Don.
[00:11:07.423 --> 00:11:09.465]  First, the Great Replacement Theory.
[00:11:09.965 --> 00:11:18.932]  As you bring it up, you know, he has tweeted, a tweet he shared, increasing illegals boosts them voting power causing them to recruit more.
[00:11:19.773 --> 00:11:25.777]  If Dems win President House and Senate, they'll grant citizenship to all legals and America will become a permanent, one-party, deep socialist state.
[00:11:26.197 --> 00:11:26.397]  Right?
[00:11:26.477 --> 00:11:28.839]  He has gone there directly.
[00:11:29.640 --> 00:11:32.161]  How much does he stand by these ideas?
[00:11:32.181 --> 00:11:45.110]  Well, he didn't quite seem to understand that he did, originally he did that with Jewish people, sort of a Great Replacement Theory thing that he did with Jewish people, and he got in trouble and he had to go to Auschwitz and answer questions and apologize and go with Ben Shapiro.
[00:11:45.850 --> 00:11:47.751]  But he doesn't understand
[00:11:48.932 --> 00:11:59.893]  That that sort of rhetoric that he talks about, the Great Replacement Theory and a migrant invasion, that's what radicalized shooters use in their manifestos.
[00:12:00.254 --> 00:12:01.115]  Those exact words.
[00:12:02.082 --> 00:12:15.294]  The people who go and shoot up people, whether they be Latino people who live in Texas, or black people who are in a supermarket in Buffalo, or Jewish people who are worshipping, those people use the same rhetoric.
[00:12:15.894 --> 00:12:16.735]  That they are tropes.
[00:12:17.256 --> 00:12:21.960]  That they're either racist for Latinos, or black people, or for Jewish people.
[00:12:22.380 --> 00:12:25.163]  And I wanted to know if he felt any responsibility.
[00:12:25.783 --> 00:12:30.872]  As someone who has one of the largest social media and information platforms in the world.
[00:12:30.892 --> 00:12:31.713]  A quarter billion people.
[00:12:31.733 --> 00:12:32.575]  A quarter billion people.
[00:12:32.595 --> 00:12:33.757]  I think it's 455 or 500 million users a week.
[00:12:38.072 --> 00:12:44.874]  And it doesn't seem that he feels that he has any responsibility with that because he seemed really averse to facts.
[00:12:45.354 --> 00:12:46.895]  That facts did not matter to him.
[00:12:47.195 --> 00:12:49.795]  It didn't matter that he retweeted things that were offensive to people.
[00:12:50.115 --> 00:12:58.858]  And this whole, the whole idea of what I was asking him about, was it offensive and did he feel that his platform should have better moderation?
[00:13:01.148 --> 00:13:19.214]  I mean, this guy goes crawling back to CNN, the people who canned him to grovel for the old media, rather than being grateful to Elon Musk for giving him a platform where, frankly, he can say whatever he wants.
[00:13:19.294 --> 00:13:22.995]  He can criticize whoever he wants.
[00:13:23.955 --> 00:13:28.397]  He tried to trap Elon on the question of Donald Trump.
[00:13:28.677 --> 00:13:29.337]  Let's take a look.
[00:13:32.052 --> 00:13:34.335]  You recently met with Donald Trump in Florida.
[00:13:35.015 --> 00:13:36.037]  What did you guys talk about?
[00:13:36.077 --> 00:13:39.440]  I was at a breakfast at a friend's place and Donald Trump came by.
[00:13:39.460 --> 00:13:40.001]  That's it.
[00:13:40.561 --> 00:13:41.262]  What'd you discuss?
[00:13:41.282 --> 00:13:41.983]  I don't...
[00:13:45.370 --> 00:13:48.411]  Um, let's just say he did most of the talking.
[00:13:48.732 --> 00:13:49.572]  Did he ask you for money?
[00:13:50.272 --> 00:13:50.593]  He didn't.
[00:13:51.033 --> 00:13:54.154]  Are you going to loan him money to help pay his legal bills?
[00:13:54.995 --> 00:13:58.156]  I'm not paying his legal bills in any way, shape, or form.
[00:13:58.236 --> 00:13:59.197]  Did he ask you for a donation?
[00:13:59.477 --> 00:13:59.637]  No.
[00:13:59.937 --> 00:14:01.078]  Are you leaning towards anyone?
[00:14:01.658 --> 00:14:01.818]  No.
[00:14:02.278 --> 00:14:03.499]  You're not leaning towards anyone?
[00:14:03.519 --> 00:14:06.460]  Because you've been very... Let me say I'm leaning away from Biden.
[00:14:06.840 --> 00:14:14.084]  You're leaning... Elon Musk is very fast on his feet.
[00:14:14.744 --> 00:14:17.146]  There's a revolution in the media, folks.
[00:14:17.266 --> 00:14:32.040]  It is websites and news outlets like Infowars.com or MyOwnStoneZone.com or the great work being done by Human Events that is changing the world.
[00:14:32.640 --> 00:14:35.763]  They can no longer suppress the truth.
[00:14:36.684 --> 00:14:40.287]  And it's really almost hysterical.
[00:14:40.667 --> 00:14:41.088]  To what?
[00:14:41.903 --> 00:14:45.626]  Last night, I was watching MSNBC.
[00:14:46.147 --> 00:14:49.130]  Well, I wasn't watching them on television.
[00:14:49.650 --> 00:14:55.115]  I actually was speaking to the Kings Point Republican Club here in South Florida.
[00:14:56.016 --> 00:15:01.480]  And on a big screen, they put up a bite from MSNBC.
[00:15:02.461 --> 00:15:04.163]  It was actually painful.
[00:15:05.203 --> 00:15:12.770]  I don't get my news from MSNBC for the same reason that I don't eat out of the toilet.
[00:15:13.631 --> 00:15:23.520]  If you listen to the talking heads at MSNBC, like Chris Hayes, for example, he was virtually apoplectic
[00:15:24.127 --> 00:15:36.401]  It's hysterical because the court system is actually affording President Donald Trump due process in their tsunami of lawfare against him.
[00:15:37.444 --> 00:15:47.686]  They want a trial so badly prior to this November's election that they are attacking the U.S.
[00:15:47.746 --> 00:15:48.786]  Supreme Court.
[00:15:49.226 --> 00:16:03.749]  So they like the federal courts whenever they rule the way they want them to rule, but they call them the MAGA court whenever they give Donald Trump his due process rights.
[00:16:04.589 --> 00:16:07.050]  Why are they in a hurry?
[00:16:07.853 --> 00:16:11.316]  Well, because it's election interference.
[00:16:11.756 --> 00:16:12.516]  That's why.
[00:16:12.977 --> 00:16:29.389]  You see, they think that a trial of Donald Trump, whether it be in Georgia or in New York or more precisely in Washington DC or in South Florida, will drain Trump's money.
[00:16:29.509 --> 00:16:32.331]  He has to pay millions to lawyers.
[00:16:32.871 --> 00:16:44.514]  Drain his time, take him off the campaign trail in the crucial months of the campaign, and also sully his name.
[00:16:45.474 --> 00:16:48.295]  It's not working out the way they thought it would.
[00:16:48.555 --> 00:16:56.177]  Yesterday we heard that three of the charges against Trump in Georgia were dismissed.
[00:16:56.997 --> 00:17:10.685]  Interestingly enough, these three charges pertain specifically to the taped phone call between President Donald Trump and Secretary of State Brad Raffensperger.
[00:17:11.346 --> 00:17:18.690]  Now it's important to note that there were many, many other people on that call, most of them lawyers.
[00:17:19.170 --> 00:17:24.954]  Lawyers for the Secretary of State's office, lawyers for President Donald Trump.
[00:17:25.788 --> 00:17:39.820]  Now, if you read the mainstream media, you would believe that Trump instructed Raffensperger to find, meaning create, manufacture 11,680 ballots.
[00:17:44.167 --> 00:18:06.167]  But if you will take the time to listen to the entire call, recording, or read the transcript, and by the way, it's very long, what you find is what Trump actually said to Raffensperger is that he has already inadvertently counted 11,680 votes.
[00:18:10.821 --> 00:18:25.885]  And therefore, since those votes were illegal and he breaks them down, people who moved out of the state, people who were registered to vote from a post office box, which is illegal, people who are certifiably deceased.
[00:18:26.525 --> 00:18:35.227]  If you subtract those from the final vote count, it would have handed victory to Donald Trump.
[00:18:35.928 --> 00:18:45.816]  So, while the case in Georgia is not over, it really suffered an extraordinary blow yesterday.
[00:18:46.617 --> 00:18:53.603]  In the way this whole thing is unfolding, I have to admit to you, I see the hand of God.
[00:18:54.623 --> 00:19:11.293]  First of all, the fact that special counsel Jack Smith attempted to leapfrog the DC appeals court on the question of immunity, where Donald Trump's lawyers asserted
[00:19:11.873 --> 00:19:24.803]  To the lower court, to the trial court, that he had absolutely presidential immunity against charges performed in his official duties as president.
[00:19:26.064 --> 00:19:32.309]  Smith wanted to bypass the appeals court and go directly to the Supreme Court.
[00:19:33.095 --> 00:19:41.121]  That was an inquiry the Supreme Court denied, forcing the case to go through the normal steps.
[00:19:41.762 --> 00:19:53.991]  This is what Chris Hayes and Lawrence O'Donnell and Joy Reid and Rachel Maddow were having conniption fits about.
[00:19:54.592 --> 00:19:58.475]  Oh my God, Trump is actually going to get due process.
[00:19:59.355 --> 00:20:18.063]  Uh, now you have on top of that, uh, the extraordinary, uh, revelations regarding the epic corruption of Georgia prosecutor, Fannie Wills, uh, and a special prosecutor, Nathan Wade.
[00:20:18.864 --> 00:20:26.267]  Well, uh, that in turn, uh, potentially undermines the entire Georgia case.
[00:20:27.156 --> 00:20:45.500]  Now add to their hysteria, what I think was an absolute correct decision by the US Supreme Court, which said that Donald Trump cannot be barred from the ballot by any particular state.
[00:20:46.269 --> 00:20:59.992]  This is vitally important to understand because the left had an enormous multi-million dollar investment in this entirely false narrative.
[00:21:00.813 --> 00:21:07.694]  Meaning, they were insisting that under the 14th Amendment of the U.S.
[00:21:07.754 --> 00:21:13.756]  Constitution, specifically Article 3, that because Trump had
[00:21:14.474 --> 00:21:25.337]  This is important and participated in an insurrection that it meant he was ineligible to be on the ballot.
[00:21:26.137 --> 00:21:28.878]  Well, that's a, that's a subjective judgment.
[00:21:28.938 --> 00:21:31.319]  That's the opinion of some liberal.
[00:21:32.019 --> 00:21:37.020]  In this case, it was the opinion of the secretary of state in Colorado.
[00:21:37.580 --> 00:21:43.322]  But in fact, president Donald Trump has not been convicted of insurrection.
[00:21:43.362 --> 00:21:43.742]  In fact,
[00:21:44.355 --> 00:21:55.958]  He's not even charged with insurrection, not even in DC, where one has to presume that Special Counsel Jack Smith considered those charges.
[00:21:57.498 --> 00:22:11.421]  If you look further at Article, pardon me, Amendment 14, Article 3, it doesn't even pertain specifically to the President and the Vice President.
[00:22:12.339 --> 00:22:18.543]  So, it was correctly decided by the Supreme Court.
[00:22:19.103 --> 00:22:24.946]  That has made the left absolutely apoplectic.
[00:22:26.327 --> 00:22:35.332]  Also this week, we see that the January 6th narrative is continuing to crumble.
[00:22:36.276 --> 00:22:43.055]  We now know that the faux Republican on the January 6th committee,
[00:22:43.809 --> 00:23:06.508]  Liz Cheney suppressed evidence that would have proven that her star witness, Cassidy Hutchison, had lied about what transpired inside the presidential limousine after President Donald Trump spoke on the Ellipse.
[00:23:07.588 --> 00:23:23.076]  It is now, I think, absolutely clear that the January 6th Committee was one of the greatest single hoaxes on the American people since, well, I don't know, the Warren Commission.
[00:23:24.697 --> 00:23:28.559]  This particularly gripes me because
[00:23:29.819 --> 00:23:36.064]  I believe Liz Cheney also subverted forgery by witness Cassidy Hutchison.
[00:23:36.484 --> 00:23:43.008]  Hutchison was an aide to White House Chief of Staff Mark Meadows.
[00:23:43.389 --> 00:23:45.510]  Let's take a look at this little clip.
[00:23:46.711 --> 00:23:59.180]  The night before January 6th, President Trump instructed his Chief of Staff, Mark Meadows, to contact both Roger Stone and Michael Flynn regarding what would play out the next day.
[00:24:00.250 --> 00:24:00.390]  Ms.
[00:24:00.410 --> 00:24:09.635]  Hutchinson, is it your understanding that President Trump asked Mark Meadows to speak with Roger Stone and General Flynn on January 5th?
[00:24:10.615 --> 00:24:11.156]  That's correct.
[00:24:11.176 --> 00:24:12.236]  That is my understanding.
[00:24:13.457 --> 00:24:13.677]  And Ms.
[00:24:13.697 --> 00:24:17.359]  Hutchinson, is it your understanding that Mr. Meadows called Mr. Stone on the 5th?
[00:24:18.179 --> 00:24:25.083]  I'm under the impression that Mr. Meadows did complete both a call to Mr. Stone and General Flynn the evening of the 5th.
[00:24:27.168 --> 00:24:29.369]  And do you know what they talked about that evening, Ms.
[00:24:29.389 --> 00:24:29.829]  Hutchinson?
[00:24:29.849 --> 00:24:30.909]  I'm not sure.
[00:24:33.910 --> 00:24:35.770]  You see, that's a lie.
[00:24:36.070 --> 00:24:38.851]  That's complete and total perjury.
[00:24:39.611 --> 00:24:42.332]  I have never spoken to Mark Meadows.
[00:24:42.792 --> 00:24:45.093]  I checked with my friend, General Michael Flynn.
[00:24:45.874 --> 00:24:46.895]  Either has he.
[00:24:47.455 --> 00:24:56.983]  So we didn't speak to him on January 5th or on any other day, nor did we communicate in any other mode of communications.
[00:24:57.543 --> 00:25:02.047]  That was coached testimony and it's perjury.
[00:25:03.196 --> 00:25:28.831]  She went on to say that Meadows, the President's Chief of Staff, was planning to go to a meeting in a war room at the Willard Hotel, but that she, Hutchison, dissuaded Meadows from going to the war room, but that Meadows later called Stone and Flynn for a debriefing.
[00:25:29.580 --> 00:25:31.883]  That's a second act of perjury.
[00:25:32.203 --> 00:25:41.495]  First of all, if there was a war room at the Willard Hotel, I didn't know about it, nor was I ever in any such war room.
[00:25:42.282 --> 00:25:54.111]  Of all people, the Washington Post has confirmed that I had no involvement in the efforts to delay the Electoral College vote by the U.S.
[00:25:54.151 --> 00:25:59.535]  Senate, nor was I ever in any war room at the Willard Hotel.
[00:26:00.330 --> 00:26:01.712]  Did I have a room there?
[00:26:01.932 --> 00:26:02.272]  Yes.
[00:26:02.572 --> 00:26:03.694]  Did I sleep there?
[00:26:03.854 --> 00:26:04.154]  Yes.
[00:26:04.995 --> 00:26:20.531]  The level of smear by the January 6th committee when the Democrats had the House is really not only extraordinary, but now really beginning to crumble.
[00:26:21.569 --> 00:26:24.092]  More and more questions are being asked.
[00:26:24.473 --> 00:26:39.009]  Now, the real question is whether or not the House Republicans have the cojones to mount a full investigation to investigate the investigators.
[00:26:39.747 --> 00:26:49.550]  Why would the House committee destroy all of their records before the incoming Republican majority could examine them?
[00:26:50.190 --> 00:27:05.314]  Why did Liz Cheney specifically destroy the records that dispute this idea that Donald Trump somehow from the backseat of the presidential vehicle sought to grab
[00:27:05.914 --> 00:27:11.396]  The wheel of the vehicle and drive it to the Capitol.
[00:27:12.836 --> 00:27:22.880]  That has been contradicted in the testimony of multiple witnesses, but those documents, well, they can no longer be found.
[00:27:23.473 --> 00:27:30.720]  Look, people want me to come on InfoWars to talk about politics, and that's what we're going to do.
[00:27:31.241 --> 00:27:37.607]  But I do want to remind you that InfoWars is indeed the tip of the spear.
[00:27:38.536 --> 00:27:51.726]  Back when I was under siege, InfoWars was an invaluable source of truth when it came to the entire Russian collusion hoax and the attacks on me.
[00:27:52.367 --> 00:28:06.057]  It is only because of InfoWars that we know the truth of the extraordinary and outrageous persecution of Owen Schroyer, who for two years was my co-host on The Great War Room Show.
[00:28:06.914 --> 00:28:09.338]  God, how I miss those days.
[00:28:09.779 --> 00:28:13.125]  But the folks at InfoWars cannot survive.
[00:28:13.466 --> 00:28:17.934]  We can't continue to do these great broadcasts without your support.
[00:28:18.875 --> 00:28:19.796]  We're not whining.
[00:28:19.956 --> 00:28:20.997]  We're not complaining.
[00:28:21.057 --> 00:28:25.822]  We're up for the battle, but we cannot do it alone.
[00:28:26.243 --> 00:28:27.684]  Absolutely not.
[00:28:28.205 --> 00:28:39.476]  So if you are not either a buyer or a subscriber, go to the InfoWars store now, because we've got some amazing products.
[00:28:47.131 --> 00:28:47.271]  Yeah.
[00:28:59.668 --> 00:29:04.769]  Survival Shield X3, now back and better than ever, with a whopping 40% discount.
[00:29:05.129 --> 00:29:09.750]  It's your ticket to a healthier you, powered by the might of activated triiodine.
[00:29:10.211 --> 00:29:19.953]  Picture this, a product that derives from ancient sea salts buried deep beneath the earth, harnessing a cutting-edge process that stabilizes iodine in a groundbreaking triiodine formula.
[00:29:20.433 --> 00:29:22.294]  Imagine waking up feeling rejuvenated.
[00:29:22.514 --> 00:29:27.877]  Your body's processes humming smoothly like a well-oiled machine, all thanks to Survival Shield X3.
[00:29:28.058 --> 00:29:35.642]  This isn't just a step up from the old nascent iodine system, it's a quantum leap in health supplementation, designed with you, the patriot, in mind.
[00:29:36.182 --> 00:29:41.723]  Survival Shield Axe 3 has got your back, providing peace of mind and body in these uncertain times.
[00:29:42.103 --> 00:29:45.724]  Head over to InfoWarsStore.com and witness the transformation for yourself.
[00:29:46.124 --> 00:29:47.444]  This is more than just a supplement.
[00:29:47.785 --> 00:29:51.225]  It's your shield, your protector, your Survival Shield Axe 3.
[00:29:51.545 --> 00:29:52.025]  Don't wait.
[00:29:52.365 --> 00:29:55.706]  Take control of your health today and step into a brighter, healthier future.
[00:29:56.126 --> 00:29:59.387]  Visit InfoWarsStore.com and get yours today.
[00:29:59.867 --> 00:30:02.428]  Ladies and gentlemen, we're in a war against the globalists.
[00:30:02.788 --> 00:30:05.149]  And people can't identify who's a patron and who isn't.
[00:30:05.469 --> 00:30:08.610]  We want to identify as pro-human and anti-globalists.
