[00:00:00.549 --> 00:00:01.970]  Comparisons to HIV.
[00:02:24.295 --> 00:02:26.436]  Sometimes I have some things to say about things.
[00:02:26.596 --> 00:02:27.436]  I live in Texas.
[00:02:27.876 --> 00:02:32.158]  I was just in Eagle Pass, and I've got some videos I need to show you guys.
[00:02:32.478 --> 00:02:42.222]   Because you're watching the news, whether it's CNN or Fox, and you're letting these news media idiots Get you riled up against each other.
[00:02:42.943 --> 00:02:49.108]  Let me show you some videos that might just calm your ass down and make you turn off the TV.
[00:02:49.829 --> 00:02:50.310]  Watch this.
[00:02:51.210 --> 00:02:53.573]  Alright, so this is the wall.
[00:02:54.989 --> 00:02:56.610]  You know, the fence that we put up.
[00:02:57.250 --> 00:02:59.691]  And they put up a secondary fence because they opened the gates.
[00:02:59.771 --> 00:03:02.392]  There's some armed guards with some pretty serious weaponry.
[00:03:02.913 --> 00:03:04.513]  You know, pretty intimidating, right?
[00:03:04.713 --> 00:03:14.378]  Here's your razor wire in between the two bridges that are in the entrances into Mexico and also the entrance to Eagle Pass.
[00:03:14.998 --> 00:03:17.399]  There's some Hummers, some more guys, right?
[00:03:17.759 --> 00:03:20.360]  We're protecting, you know, we're keeping them out.
[00:03:22.081 --> 00:03:23.161]  This is 0.5 miles.
[00:03:25.774 --> 00:03:28.115]  From that area.
[00:03:28.395 --> 00:03:32.117]  0.5 miles from where they set up their cameras.
[00:03:32.137 --> 00:03:34.618]  0.5 miles from where they have all the people there.
[00:03:36.458 --> 00:03:37.619]  And it's right down the road.
[00:03:37.679 --> 00:03:50.244]  I left us long to show you just how short of a drive it is for us to get to a point where all that we just saw does not matter.
[00:03:50.764 --> 00:03:54.486]  And they're just getting you riled up against each other because it's election time.
[00:03:55.745 --> 00:03:57.985]  And right about here is where you're going to see it.
[00:03:57.985 --> 00:04:09.264]  What's that?
[00:04:09.442 --> 00:04:10.764]  Where are the armed guards?
[00:04:11.971 --> 00:04:13.512]  Where are the AR-15s?
[00:04:14.333 --> 00:04:17.015]  Where is the razor wire?
[00:04:17.435 --> 00:04:18.236]  Where's the gates?
[00:04:18.756 --> 00:04:26.382]  That's half a mile from where the media is blowing up that Texas versus the Feds, that we're having this big battle.
[00:04:27.422 --> 00:04:28.323]  So that was one gate.
[00:04:28.343 --> 00:04:29.984]  That was the very first gate that I saw.
[00:04:30.305 --> 00:04:31.806]  We drove down a little bit more.
[00:04:31.846 --> 00:04:32.326]  There's one.
[00:04:32.386 --> 00:04:33.287]  It had a chain on it.
[00:04:34.147 --> 00:04:40.692]  So you keep driving down the road, you got Trump's wall doing its job.
[00:04:41.755 --> 00:04:43.719]  This one has never even had a gate.
[00:04:45.022 --> 00:04:45.503]  So to me...
[00:04:46.653 --> 00:04:51.036]  Doesn't matter if you're Republican, Democrat, liberal, libertarian.
[00:04:51.516 --> 00:04:59.121]  It doesn't matter what you are and you're posting about this Texas versus the feds and we could have a civil war.
[00:04:59.642 --> 00:05:05.666]  I'm telling you right now, if a civil war breaks out, it's not because there's something good to fight over.
[00:05:05.686 --> 00:05:07.627]  It's because it's election time.
[00:05:08.047 --> 00:05:13.271]  It is because the news media is corrupt and you need to turn the TV off.
[00:05:13.331 --> 00:05:13.811]  I don't care.
[00:05:13.831 --> 00:05:16.553]  I don't care what news media you watch.
[00:05:17.315 --> 00:05:18.598]  Just go down there and look at yourself.
[00:05:19.520 --> 00:05:19.981]  Go look.
[00:05:20.442 --> 00:05:23.830]  The things that they are saying that the feds and...
[00:05:25.194 --> 00:05:30.458]  Texas are fighting about is a stretch that is not even a mile.
[00:05:30.979 --> 00:05:32.040]  How long is the border?
[00:05:32.380 --> 00:05:36.904]  They can just walk right over and those gates keep going and going and going and going.
[00:05:37.004 --> 00:05:38.605]  I know you're thinking, well just two gates.
[00:05:38.725 --> 00:05:39.846]  No, they're all open.
[00:05:39.966 --> 00:05:40.987]  Open all the gates.
[00:05:41.888 --> 00:05:49.294]  It's a whole hoopla over this little bitty section in Eagle Pass in between a bridge and a bridge.
[00:05:49.434 --> 00:06:00.960]   Only place that there's guards So if you can't get in half a mile of our border, you just walk down the road and you go across the border there.
[00:06:01.640 --> 00:06:06.802]  All you folks posting about this, you've picked a side and you think you're doing the right thing.
[00:06:07.642 --> 00:06:12.324]  But all of you need to reevaluate the country you live in.
[00:06:13.716 --> 00:06:16.078]  And the information that's being given to you.
[00:06:16.438 --> 00:06:21.941]  Because I really, I wanted to be on the Republican, I wanted to push on the Republican side.
[00:06:21.961 --> 00:06:23.822]  Hell, I'm from Texas.
[00:06:25.883 --> 00:06:30.446]  I'm in the middle no matter what usually, but I wanted to lean towards that side.
[00:06:31.447 --> 00:06:34.168]  And once I got down there, I was like, nope, I don't know.
[00:06:34.428 --> 00:06:39.409]   Believe what you want to believe, but I recorded those videos.
[00:06:39.869 --> 00:06:40.850]  No one sent me that.
[00:06:41.250 --> 00:06:44.892]  I don't know what else to tell you guys, but turn the TV off.
[00:06:47.754 --> 00:06:57.821]  All right, I have massively prepared for this evening's live broadcast with 281 days, 7 hours, 53 minutes, 45 seconds for the most important election in modern history.
[00:06:59.202 --> 00:07:00.723]  It is Sunday, January 28th, 2024.
[00:07:00.803 --> 00:07:02.284]  I am your host, Alex Jones.
[00:07:05.723 --> 00:07:07.524]  All right, let me tell you what's coming up here.
[00:07:07.804 --> 00:07:10.425]  And if you're a TV viewer, you can see all these giant stacks of news.
[00:07:11.406 --> 00:07:14.067]  All of these stacks I could spend three hours apiece on.
[00:07:14.087 --> 00:07:16.268]  But first of all, let me just tell you what's coming up.
[00:07:20.330 --> 00:07:22.011]  Several former top U.S.
[00:07:22.031 --> 00:07:24.051]  weapons inspectors, several former top U.N.
[00:07:24.071 --> 00:07:29.174]  weapons inspectors and others have gone public and said, look, Iran already has nuclear weapons.
[00:07:31.528 --> 00:07:33.930]  And now with the killing of three U.S.
[00:07:33.970 --> 00:07:41.377]  soldiers and the wounding of more than 20, with a drone attack launched, they believe, by Hezbollah, which is controlled by Iran forces.
[00:07:41.437 --> 00:07:42.518]  I have no doubt that's true.
[00:07:42.918 --> 00:07:43.518]  Probably is.
[00:07:43.639 --> 00:07:44.679]  Iran's been directing this.
[00:07:46.081 --> 00:07:48.823]  They're supplying Russia with massive amounts of drones for the Ukraine war.
[00:07:50.605 --> 00:07:53.187]  Biden's now saying things like, hell to pay.
[00:07:54.838 --> 00:07:56.158]  Full-throated response.
[00:07:57.159 --> 00:07:58.459]  Massive retaliation.
[00:07:58.559 --> 00:08:02.480]  I've got the statements out of the State Department and out of the White House right here.
[00:08:05.881 --> 00:08:11.143]  Iran is sucking us into a massive world war.
[00:08:12.703 --> 00:08:17.205]  Now, why did Biden give them $6 billion a month before October 7th?
[00:08:17.225 --> 00:08:18.645]  There's a lot of other stuff at play here.
[00:08:20.806 --> 00:08:26.895]   So, we're going to be laying all of that out today, but I have a lot of contacts in the military.
[00:08:27.015 --> 00:08:31.959]  I have a lot of contacts in intelligence agencies that are actually involved in the international work.
[00:08:32.959 --> 00:08:54.368]   And I was told, 15 years ago at least, personally, by someone close to me that was the main aid for years, I won't say the exact amount, they can figure it out, of the top general, Over that whole area.
[00:08:54.408 --> 00:08:55.228]  And I'll just stop there.
[00:08:56.829 --> 00:08:58.209]  Afghanistan, but then into Iran.
[00:08:58.249 --> 00:08:59.230]  That's part of the same area.
[00:08:59.990 --> 00:09:01.871]  And they have the scans and all the stuff.
[00:09:01.911 --> 00:09:03.311]  I wasn't shown anything classified.
[00:09:03.471 --> 00:09:03.892]  None of that.
[00:09:04.492 --> 00:09:06.813]  I was able to go reverse engineer where I was told and find it.
[00:09:08.228 --> 00:09:22.477]  In public news, that when they would move the material, they've got scanners and aircraft and satellites that can scan the signature off of uranium or plutonium and tell how enriched it is from space.
[00:09:23.097 --> 00:09:32.263]  Now, they've got to aim a beam at the vehicle or at the facility, but if it's not heavily shielded, they can see right through it and tell what it is, okay?
[00:09:33.723 --> 00:09:42.224]   Just like thermal can see the heat of a person's body from five miles away from a helicopter, Radioactive substances put off a signature as well.
[00:09:42.745 --> 00:09:50.271]  Okay, so, and I'm on record for 15 years, and it's a big thing I've been made fun of in the controlled media, that Alex Jones says Iran has nukes.
[00:09:51.232 --> 00:10:06.945]  I can show you the last 20 plus years of newscast, since 9-11, with Benjamin Netanyahu and George W. Bush and all of them saying, Iran is months away, months away, months away, months away, months away, months away.
[00:10:09.941 --> 00:10:21.449]  Iran has chosen, just like Israel has, to not admit they have nuclear weapons.
[00:10:21.509 --> 00:10:23.511]  Israel has thousands of nuclear weapons.
[00:10:24.191 --> 00:10:25.993]  They've had top missile blowers go public.
[00:10:26.033 --> 00:10:29.415]  They've imprisoned Israelis that were deputy heads of the program.
[00:10:29.234 --> 00:10:36.734]  I mean, this is Israel has nuclear weapons.
[00:10:36.734 --> 00:10:39.214]  And ICBMs deliver anywhere in the world.
[00:10:39.755 --> 00:10:42.536]  Not just cruise missiles and bombs and artillery.
[00:10:43.017 --> 00:10:43.657]  It'll fire it.
[00:10:44.177 --> 00:10:44.918]  Tactical weapons.
[00:10:46.218 --> 00:10:49.000]  The word is they've got 2,000 last time information leaked.
[00:10:50.141 --> 00:10:51.281]  2,000 nuclear weapons.
[00:10:53.082 --> 00:11:02.727]  Now Iran is in deep with the Russians and supplying them with thousands of attack drones a month.
[00:11:03.568 --> 00:11:05.229]  And munitions and weapons.
[00:11:06.272 --> 00:11:08.294]  What do you think Russia is giving them?
[00:11:12.236 --> 00:11:16.560]  Just putting all the pieces together, and this is something I surmise.
[00:11:18.141 --> 00:11:28.208]  It looks to me like you're having high-tech nuclear transfer as the payment from Russia, because Iran doesn't need oil, and that's what Russia usually pays for stuff with.
[00:11:29.389 --> 00:11:34.333]  I would add that there's a modernization of the Iranian nukes.
[00:11:35.330 --> 00:11:38.231]  From atomic to hydrogen with the Russians, but that is speculation.
[00:11:39.891 --> 00:11:43.572]  What is not speculation, and I'm going to get to this at the bottom of the hour, I'm just mentioning it now.
[00:11:47.573 --> 00:11:49.634]  Here's the Washington Times years ago.
[00:11:50.814 --> 00:11:54.575]  James H. Baker, Pentagon strategist, says Iran nukes probable.
[00:11:54.595 --> 00:11:58.096]  Okay, that's years ago.
[00:11:59.917 --> 00:12:00.497]  Here's another one.
[00:12:03.951 --> 00:12:04.111]  U.N.
[00:12:04.151 --> 00:12:09.036]  nuclear watchdog confirms inspectors found particles of near-weapons-grade uranium in Iran.
[00:12:13.139 --> 00:12:18.945]  World War III fears as expert warns Iran has uranium to make 12 nuclear bombs in five months.
[00:12:21.707 --> 00:12:25.450]  And then I've got statements from Biden.
[00:12:25.551 --> 00:12:26.231]  Hell to pay!
[00:12:26.712 --> 00:12:33.722]   How will Biden respond to Iran's nuclear How will Biden respond to Iran's latest attack?
[00:12:34.601 --> 00:12:39.480]   And then here's the latest articles in the BBC, it's in the Mirror, it's in a bunch of publications.
[00:12:39.480 --> 00:12:47.802]   Biden given chilling nuclear warning of attacking Iran after kamikaze drone kills troops.
[00:12:47.802 --> 00:12:53.640]   And the first line says ex-UN weapons inspector David Albright said Iran may accelerate its
[00:12:53.640 --> 00:12:56.922]  already well-developed nuclear weapons program if the U.S.
[00:12:57.110 --> 00:12:59.751]  decides to launch direct strikes on the territory.
[00:13:00.172 --> 00:13:03.553]  And he says they've confirmed they've got all the weapons parts.
[00:13:04.273 --> 00:13:09.236]  They just haven't confirmed they've put together the weapons, and they can put them together in a week to two weeks.
[00:13:10.156 --> 00:13:10.376]  Okay?
[00:13:13.457 --> 00:13:16.539]  That's all in this article, and he's given, he testifies to it.
[00:13:17.739 --> 00:13:19.660]  It's all right there, we'll be reading over, okay?
[00:13:20.359 --> 00:13:22.359]  So let's just get this straight.
[00:13:22.359 --> 00:13:35.159]   I have talked to a lot of military, high-level people, and said I was told 15 years ago that Iran's got nukes.
[00:13:35.159 --> 00:13:37.319]   And they're like, "Yeah, well, you're not supposed to know that,
[00:13:37.319 --> 00:13:40.359]  but yeah, you're going the right direction."
[00:13:40.608 --> 00:13:45.710]  They have nuclear weapons, they at least have atomic weapons, and now they've got delivery systems for them.
[00:13:48.226 --> 00:13:49.166]  I mean, here's headlines.
[00:13:49.586 --> 00:13:54.767]  Four years earlier in 92, he predicted that Iran would have a nuclear bomb by 1999.
[00:13:54.807 --> 00:13:55.627]  That's Netanyahu.
[00:13:57.308 --> 00:13:57.988]  Let him telegraph.
[00:13:58.928 --> 00:14:03.389]  So, Iran has never admitted they have it, but they do.
[00:14:03.829 --> 00:14:10.030]  So, I'm going to get to this coming up later in the hour, okay?
[00:14:10.730 --> 00:14:12.111]  But this is a big, big deal.
[00:14:13.071 --> 00:14:14.171]  And now we've got Biden.
[00:14:15.979 --> 00:14:19.802]  Saying a full-throated response, there'll be hell to pay, and all the rest of it.
[00:14:19.822 --> 00:14:22.925]  So, that's just, that's just one of the stacks here.
[00:14:25.627 --> 00:14:26.908]  Let me tell you what's else in the stack.
[00:14:28.249 --> 00:14:31.912]  People want simple answers, and the complex issues, they're not simple answers.
[00:14:32.252 --> 00:14:33.433]  But I know what's going on.
[00:14:33.453 --> 00:14:35.735]  I know exactly what's going on.
[00:14:36.696 --> 00:14:41.760]  And basically, both sides within the populist right-wing are correct.
[00:14:42.381 --> 00:14:43.101]  They're just not 100% correct.
[00:14:46.105 --> 00:15:03.973]  Is the Abbott administration putting on a dog and pony show, a WWF or WWE, World Wrestling Federation, Kabuki Theater, Iron Sheik versus, you know, Andre the Giant or something, down at the border at Eagle Pass?
[00:15:06.053 --> 00:15:10.735]  Is the Texas Guard still aiding illegal aliens and bringing them into the United States and handing them off to NGOs?
[00:15:10.835 --> 00:15:11.636]  The answer is yes.
[00:15:13.359 --> 00:15:15.000]  Now, are they starting to hold them longer?
[00:15:15.040 --> 00:15:17.601]  Are they starting to actually arrest criminals and run background checks?
[00:15:18.161 --> 00:15:24.484]  Are they starting to demand that the feds do their job and at least do background checks?
[00:15:24.565 --> 00:15:24.825]  Yes.
[00:15:24.925 --> 00:15:29.087]  So, it's going to take the governor time.
[00:15:30.447 --> 00:15:34.151]  He's going in the right direction, and I've not completely seen that yet to deliver.
[00:15:34.572 --> 00:15:40.138]  But with all these states joining in and all the other guard groups going, now the state's going to be expected to do something.
[00:15:40.719 --> 00:15:42.581]  So I see this overall is very positive.
[00:15:42.621 --> 00:15:43.101]  What's happening?
[00:15:45.264 --> 00:15:45.985]  That said.
[00:15:48.001 --> 00:15:52.142]  You got all these big trucker convoys that I think are great, and all these citizen journalist groups, they're great.
[00:15:52.202 --> 00:15:54.642]  We've just got to be careful and not get set up like January 6th.
[00:15:55.423 --> 00:15:59.323]  And the corporate media, the Washington Post, all of them are hyping that the Civil War is about to start.
[00:15:59.944 --> 00:16:01.084]  We certainly don't support that.
[00:16:05.685 --> 00:16:10.086]  And so we're going to take a break and come back and hit all the rest of the news we're going to be drilling into.
[00:16:10.446 --> 00:16:14.167]  And then I'm going to start going into each stack in detail today.
[00:16:14.687 --> 00:16:17.809]   There is so much We're going to be breaking down.
[00:16:17.829 --> 00:16:20.350]  We've got huge COVID news.
[00:16:21.510 --> 00:16:25.250]  Former high-level officials are now admitting that the vaccine is linked to VAIDs.
[00:16:27.951 --> 00:16:45.954]  All right, let me go ahead and just mention the other news, and then I'm going to go into the massive danger of a full-bore war leading into a new world war that we're already in the beginning days of with the situation with Iranian proxies.
[00:16:47.711 --> 00:16:53.294]  In Syria, in many other countries in the Middle East, attacking U.S.
[00:16:53.314 --> 00:16:54.555]  troops, U.S.
[00:16:54.595 --> 00:16:58.117]  ships, and more, out of places like Yemen.
[00:16:59.037 --> 00:17:16.007]  I do not support what Iran is doing, and I think Iran has a terrible, evil, Islamic regime that the CIA, even Richard Nixon, did interviews on C-SPAN, admitting that after he left office, he let her learn that he actually did that in the Carter administration.
[00:17:17.293 --> 00:17:19.836]  At the end, being double-crossed by the CIA.
[00:17:21.337 --> 00:17:25.001]  So there's a larger crisis being created here, and it's very, very serious.
[00:17:25.261 --> 00:17:32.048]  And Obama, who's really president right now in his third unelected term, is heavily manipulating that.
[00:17:32.489 --> 00:17:33.590]  That's coming up next segment.
[00:17:33.630 --> 00:17:39.236]  But let me just mention to you some of the other stuff we've got here that ties into it all.
[00:17:39.456 --> 00:17:40.237]  Then I'll get into the border.
[00:17:41.801 --> 00:17:47.964]  Right now it's really happening there because we do know and we are sending multiple reporters and camera people Monday.
[00:17:48.764 --> 00:17:51.105]  They'll be down there Tuesday, right through the weekend.
[00:17:52.006 --> 00:17:54.227]  And then we're going to send Drew Hernandez the next weekend.
[00:17:54.267 --> 00:17:56.508]  So he'll be there working for him for a week.
[00:17:57.048 --> 00:18:00.350]  And then after he's there for a week, Owen Schroer is going down.
[00:18:01.530 --> 00:18:02.151]  He's still on.
[00:18:03.433 --> 00:18:08.816]  Post-release probation for a few months when he was let out of prison for nothing on January 6th.
[00:18:09.657 --> 00:18:14.159]  He was in prison for a few months, as you know, and he's still barred until the middle of February.
[00:18:14.919 --> 00:18:17.601]  Being able to go down there, but he'll be going down there, and then I'll go down there as well.
[00:18:17.621 --> 00:18:20.783]  Maybe I'll go down there before he does, but I'm kind of pinned down here.
[00:18:21.063 --> 00:18:26.426]  But we have stuff like this, and I actually have the bill as well.
[00:18:28.599 --> 00:18:30.941]  And in fact, I forgot to send the bill itself to the crew.
[00:18:30.961 --> 00:18:32.922]  Will you guys print me the bill?
[00:18:32.982 --> 00:18:34.584]  It's the first line in the article.
[00:18:35.544 --> 00:18:38.767]  Preventing Private Paramilitary Activity Act.
[00:18:39.647 --> 00:18:43.891]  And Jamie White wrote a great article about this on Infowars.com, but quite frankly, it's the headline I gave him last night.
[00:18:43.991 --> 00:18:44.911]  It's not strong enough.
[00:18:45.552 --> 00:18:51.036]  Once I saw the headline, I thought, this is not even strong enough, because I re-read the bill this morning, and we're going to be doing that.
[00:18:51.056 --> 00:18:56.040]  It says any type of firearms training with two or more people is illegal.
[00:18:57.643 --> 00:18:59.004]  And it's considered paramilitary.
[00:18:59.124 --> 00:19:07.667]  Any semi-automatic weapons are considered that, and any type of firearm training, and puts you in federal prison for it, and you cannot make it up.
[00:19:07.687 --> 00:19:11.689]  It's a very short bill, and people say, well, it's not going to pass.
[00:19:12.929 --> 00:19:13.970]  H.R.
[00:19:13.990 --> 00:19:17.231]  6981, Preventing Private Paramilitary Act, Activity Act of 2024.
[00:19:17.291 --> 00:19:20.412]  But it just shows where they want to take us and what they want to do.
[00:19:23.191 --> 00:19:26.753]  They would certainly look for some type of crisis or something on the border to get that done.
[00:19:26.813 --> 00:19:30.354]  So I now have the bill here in my hot little hands.
[00:19:31.335 --> 00:19:31.755]  All right.
[00:19:32.215 --> 00:19:33.176]  So we've got that for you.
[00:19:33.756 --> 00:19:34.856]  And let me just continue on here.
[00:19:35.216 --> 00:19:36.837]  Look at all these stacks right here.
[00:19:37.277 --> 00:19:38.238]  Look at this little doozy.
[00:19:40.518 --> 00:19:53.333]  California's introduced a bill, looks like they've got the votes, that all cars will have kill switches in them, and the government will track everywhere you go and what you do, and tax your carbon, and make sure you don't speed over the speed limit, ever.
[00:19:53.353 --> 00:19:55.616]  And you're like, well, how would they do that?
[00:19:55.636 --> 00:19:56.737]  They don't control manufacturing.
[00:19:56.977 --> 00:19:57.938]  Oh, I'm sorry.
[00:19:58.905 --> 00:20:07.731]  They passed it three years ago when Biden first got back in, and then Congress threatened to get rid of the legislation, so they repassed it.
[00:20:08.111 --> 00:20:12.434]  And now it's law that all new vehicles have tracking kill switches in them.
[00:20:12.995 --> 00:20:17.898]  And I have ABC News reporting on how wonderful that is.
[00:20:19.479 --> 00:20:20.980]  So we'll be getting to that.
[00:20:21.020 --> 00:20:24.643]  And then I have this little delicious piece of information.
[00:20:24.663 --> 00:20:27.325]  And I'd read about this months ago, but I'd forgotten about it.
[00:20:28.689 --> 00:20:53.014]   So when I saw this last night and posted it on my ex account, where it's gotten millions of views since then, and you should go watch it and share it, it's a little clip from Congress in hearings months ago, and it's all confirmed that in the 2020 election, they've now done an audit, 130 plus thousand people voted illegally, and it's almost all voting against Republicans.
[00:20:53.034 --> 00:20:54.394]  98% of it.
[00:20:54.414 --> 00:20:57.175]  Of course, before I went and researched it, I knew what I'd find.
[00:20:57.555 --> 00:21:01.276]  You don't really think 130,000 Republicans engaged in fraud, do you?
[00:21:02.136 --> 00:21:08.337]  And in some cases, tens of thousands of ballots came from the same address.
[00:21:09.038 --> 00:21:23.082]   Just like in 2000 mules, But Dinesh D'Souza, and they only look at a few states and a few cities, and they show hundreds of people going to the same safe houses, and then going to drop boxes and putting in dozens, in some cases hundreds of ballots, that they'd filled out.
[00:21:25.082 --> 00:21:26.663]  Smoking gun.
[00:21:28.843 --> 00:21:33.145]  Of course, Trump lost by a fraction of that in 2020.
[00:21:34.285 --> 00:21:35.326]  Of course, he really won.
[00:21:36.206 --> 00:21:36.626]  Nevada.
[00:21:38.556 --> 00:21:44.698]  Oh, oh, oh, and they asked the state senator and the investigators in the congressional hearing who are testifying, has anyone been prosecuted?
[00:21:44.718 --> 00:21:45.478]  And they said no.
[00:21:48.580 --> 00:21:53.101]  Nevada State Senator tells Congress, 130,000 people voted legally in the state.
[00:21:53.241 --> 00:21:56.342]  No one was prosecuted.
[00:21:58.023 --> 00:21:59.683]  Yeah, I can just go, I can continue on.
[00:21:59.904 --> 00:22:02.104]  Every article is just insane, okay?
[00:22:03.365 --> 00:22:03.445]  Oh.
[00:22:04.608 --> 00:22:16.156]  I've got a bunch of black-on-white murder going on, and the media actually saying it's okay, and it's okay if a white woman gets murdered or raped because they deserve it.
[00:22:16.436 --> 00:22:21.099]  I mean, this is just next-level evil by the media and the system.
[00:22:21.119 --> 00:22:22.020]  We've got that.
[00:22:22.600 --> 00:22:24.381]  Newsflash, it's wrong if any woman gets raped.
[00:22:24.962 --> 00:22:28.164]  It's 100% wrong if a black lady gets raped by a black or white or anybody.
[00:22:28.664 --> 00:22:30.766]  It's 100% wrong if a white woman gets raped by anybody.
[00:22:31.126 --> 00:22:33.167]  It's just scrambling.
[00:22:34.244 --> 00:22:34.945]  Our brains.
[00:22:37.587 --> 00:22:43.133]  And then I've got this giant stack that, again, I could do easily five hours on.
[00:22:46.738 --> 00:22:48.699]  He's not doing any more testing on vaccines.
[00:22:48.719 --> 00:22:49.880]  They just authorize everything.
[00:22:50.120 --> 00:22:52.261]  Anything that is ejected into the body is now called a vaccine.
[00:22:53.162 --> 00:23:03.067]  The findings came in after a 20-year federal investigation that spent over $7 billion, finding that all forms of cell phone radiation or microwave relays are causing massive cancer.
[00:23:03.587 --> 00:23:06.729]  Their answer is to seal the research and never do any more research.
[00:23:08.290 --> 00:23:09.330]  That's just one of the articles.
[00:23:10.051 --> 00:23:13.613]  No more research on cell phone radiation and human health, government says.
[00:23:15.472 --> 00:23:16.512]  And then, oh, look at the other articles.
[00:23:17.572 --> 00:23:21.893]  Here's the actual Environmental Health Trust, federally funded, and what they announced.
[00:23:23.334 --> 00:23:28.655]  Electromagnetic radiation stabilizer, they did find it causes cancer, but they're just going to end the research.
[00:23:28.675 --> 00:23:29.015]  That's it.
[00:23:32.616 --> 00:23:33.916]  Oh my, goody, goody, gumdrops.
[00:23:34.336 --> 00:23:39.137]  And then, children, most at risk of brain damage from wireless radiation, but that's okay.
[00:23:41.405 --> 00:23:42.806]  Isn't that just cutesy cute?
[00:23:43.566 --> 00:23:51.691]  And then that ties into this stat, just showing the same parallel, where there's a total weaponization of everything against us.
[00:23:52.132 --> 00:23:56.374]  FDA's new rule allows for medical research without conformed consent on the public.
[00:23:57.955 --> 00:23:58.756]  Yeah, like Tuskegee.
[00:24:00.237 --> 00:24:06.100]  CDC draft alert on myocarditis and COVID-19 vaccine, but never said it, even though they knew it was causing heart attacks.
[00:24:07.241 --> 00:24:10.183]  They are ordered to pay $2.25 billion in latest Roundup case.
[00:24:11.744 --> 00:24:14.727]  It's already bent people's genders and killed hundreds of millions, so it's okay.
[00:24:15.467 --> 00:24:22.293]  Toxic cover-up watchdog group demands EPA records of Facebook censorship surrounding each Palestine-trained irrelevant post.
[00:24:22.733 --> 00:24:25.776]  Point is, the government is now working directly against us.
[00:24:26.497 --> 00:24:28.518]  That's just the last couple days' stuff.
[00:24:32.682 --> 00:24:33.062]  Okay.
[00:24:33.683 --> 00:24:38.227]  Now they covered maybe 10% of the stacks, but I think that's a good start of just what's on the table here.
[00:24:39.229 --> 00:24:43.071]  Let's come back with Republicans demanding nuclear war with Iran immediately.
[00:24:43.411 --> 00:24:45.112]  Problem is they got nukes too, Dumbo.
[00:24:46.032 --> 00:24:52.255]  So let me explain to the Republicans, who want nuclear war because they're the only ones that got them, how the different war games and scenarios go.
[00:24:52.535 --> 00:24:54.155]  And they're all end-of-the-world stuff.
[00:24:54.536 --> 00:24:55.956]  We'll tell you about it when we're right back.
[00:24:55.796 --> 00:25:05.154]  Stay with us.
[00:25:05.160 --> 00:25:11.754]   So, Iran has Ballistic missiles that can hit most parts of the world.
[00:25:12.994 --> 00:25:18.757]  They have tens of thousands of missiles that can rain down on Israel and surrounding countries.
[00:25:18.777 --> 00:25:21.919]  They can easily close all the major.
[00:25:24.340 --> 00:25:24.960]  Canals.
[00:25:26.321 --> 00:25:33.544]  And the Strait of Hormuz and the Suez Canal in the area where around half of the world's products go through and.
