[00:00:59.-200 --> 00:00:15.280]  [MUSIC PLAYING]
[00:03:15.812 --> 00:03:18.653]  And I think we should be really clear about that.
[00:03:19.153 --> 00:03:23.795]  You've never done anything but attack the people in charge.
[00:03:24.175 --> 00:03:25.196]  That's your crime.
[00:03:25.776 --> 00:03:29.217]  By the way, if you had started a war that killed a million people or tanked the U.S.
[00:03:29.257 --> 00:03:37.800]  economy or, you know, sort of looted every American's bank account through the Federal Reserve, you would be getting a Presidential Medal of Freedom.
[00:03:38.521 --> 00:03:44.004]   But you criticized the ruling oligarchy, and they're trying to crush you.
[00:03:44.004 --> 00:03:49.164]   So I hope every person of principle, every decent person in this country,
[00:03:49.164 --> 00:03:53.764]   whether they agree with what you say or not, whether they like you personally or not, it doesn't matter,
[00:03:53.764 --> 00:03:58.384]   will say out loud, "No, you can't do this in my country, "the country that my ancestors built that I was born in.
[00:03:58.384 --> 00:04:02.584]   "You can't take people off the air "because they criticize you because that's tyranny."
[00:04:02.584 --> 00:04:07.004]   Well, I wanna just thank you because when I first got deplatformed five years ago,
[00:04:07.004 --> 00:04:12.204]   almost no one who was prominent came to my aid and said, "Hey, they're gonna get everybody
[00:04:12.204 --> 00:04:13.164]  "if we allow this to happen."
[00:04:13.164 --> 00:04:15.084]  And they obviously misrepresented what I supposedly did.
[00:04:15.084 --> 00:04:16.644]  It was all a big PR campaign.
[00:04:16.644 --> 00:04:17.564]  They've now admitted to that.
[00:04:17.564 --> 00:04:20.844]   They've admitted in Reuters last week that the goal was to take me off air.
[00:04:20.844 --> 00:04:21.865]  They never wanted to settle with me.
[00:04:21.865 --> 00:04:24.964]  It was basically a Democratic Party whipshot.
[00:04:24.964 --> 00:04:28.084]   But shifting gears out of me, I mean, I totally agree with you.
[00:04:28.084 --> 00:04:32.365]   This isn't about Alex Jones or Tucker Carlson or Donald Trump or Steve Bannon.
[00:04:32.365 --> 00:04:35.605]   It's about, they have to get through us to get to the public, as Trump always says.
[00:04:35.605 --> 00:04:40.084]   And it really is a canary in the coal mine that they're so hysterical and so desperate
[00:04:40.084 --> 00:04:49.358]   and know that they've lost control of the narrative The lawfare, all the fake charges, all the criminality, and I want to speak to all of that, but you never really talk about yourself, and people find that fascinating.
[00:04:49.378 --> 00:04:50.159]  People want to know about you.
[00:04:50.639 --> 00:04:51.980]  So let's go back to what you first said.
[00:04:52.040 --> 00:04:53.941]  You loved being fired.
[00:04:53.981 --> 00:04:59.764]   I mean, when I said ten times bigger than you were, You were huge, but you're definitely 10 times conservatively bigger.
[00:04:59.784 --> 00:05:03.565]  You're reaching 500, sometimes 700 million people with your shows.
[00:05:03.605 --> 00:05:04.645]  Normal shows, 50 million.
[00:05:05.005 --> 00:05:06.645]  I mean, that is massive.
[00:05:06.705 --> 00:05:10.366]  Instinctively, when you got unceremoniously fired at Fox, they wouldn't even tell you why.
[00:05:10.746 --> 00:05:11.787]  Very Kafkaesque.
[00:05:13.167 --> 00:05:14.607]  Why was that so exciting to you?
[00:05:14.627 --> 00:05:17.828]  And now, what is it like to be fully the captain of your ship?
[00:05:19.585 --> 00:05:20.967]  Well, I mean, of course it's painful.
[00:05:21.227 --> 00:05:30.861]  You know, it's always painful to, you know, have anything unexpected happen in your life because you think, you know, you can see the future, but it's really a blessing to be reminded that you can't.
[00:05:31.587 --> 00:05:33.288]  And that things changed abruptly.
[00:05:33.908 --> 00:05:36.129]  You don't have control, really, over most of your life.
[00:05:36.630 --> 00:05:38.571]  And you certainly don't have control over history.
[00:05:38.851 --> 00:05:43.333]  So, you're just sort of flotsam, bobbing along, trying to make the right decisions moment to moment.
[00:05:43.773 --> 00:05:50.297]  The reason that I liked being fired, within like 20 minutes I was in a good mood, because I recognized the pattern.
[00:05:50.317 --> 00:05:53.078]  It's always the bad things that turn out to be the greatest things in your life.
[00:05:53.718 --> 00:05:55.599]  You know, it's getting really sick and surviving.
[00:05:57.082 --> 00:06:05.429]  You know, it's something you didn't expect at all that hurts, that forces you to take an assessment of what you're doing and change.
[00:06:06.290 --> 00:06:09.332]  And you won't change unless that happens.
[00:06:09.352 --> 00:06:13.315]  I mean there's really nothing worse for people, particularly for men, than just succeeding.
[00:06:14.136 --> 00:06:15.977]  Because it ratifies all of your decisions.
[00:06:16.037 --> 00:06:18.998]  It makes you, you know, after a while, you just like confuse yourself for Jesus.
[00:06:19.038 --> 00:06:20.999]  You just think, well, I'm successful because I'm just so great.
[00:06:21.139 --> 00:06:21.899]  You know, I earned this.
[00:06:21.939 --> 00:06:24.480]  I'm like, I'm an amazing person, unlike everybody else.
[00:06:25.280 --> 00:06:29.802]  And I think it's absolutely vital for your soul, but also for your clear judgment to remember no.
[00:06:30.655 --> 00:06:36.077]  I'm this sort of ungainly, ridiculous primate who lucked into some things, made some good decisions, a lot of bad decisions.
[00:06:36.097 --> 00:06:37.278]  Like, see yourself in context.
[00:06:37.298 --> 00:06:38.358]  See yourself as you really are.
[00:06:39.139 --> 00:06:40.599]  You know, you're absurd.
[00:06:40.859 --> 00:06:41.700]  We're all absurd.
[00:06:42.340 --> 00:06:46.942]  And so getting fired just reminds you, like, oh, I'm so important!
[00:06:47.202 --> 00:06:49.603]  You know, I get all these people texting me, like, I can't believe they fired you.
[00:06:50.003 --> 00:06:50.683]  They needed you.
[00:06:50.723 --> 00:06:51.924]  Well, it turned out they didn't, actually.
[00:06:54.986 --> 00:06:56.907]  It's good to be reminded of that.
[00:06:56.947 --> 00:06:58.088]  You think you're such a big deal?
[00:06:58.368 --> 00:07:00.469]  Will anyone remember your name in 50 years?
[00:07:00.629 --> 00:07:01.329]  In 10 years?
[00:07:01.590 --> 00:07:02.630]  Will anyone visit your grave?
[00:07:02.690 --> 00:07:03.271]  I know the answer.
[00:07:03.431 --> 00:07:03.671]  No!
[00:07:04.551 --> 00:07:08.974]  So, I'm not saying that to pose as a self-deprecating person.
[00:07:08.994 --> 00:07:15.018]  I'm saying that because it's factually true and it's good to operate on the basis of what's true rather than on what you wish were true.
[00:07:15.666 --> 00:07:18.188]  Well, I mean, as I've grown up, I'm 50 now.
[00:07:19.049 --> 00:07:22.292]  I was never ego-driven completely, but I was more ego-driven as I was younger.
[00:07:22.793 --> 00:07:31.761]  It's such a strength and way more satisfying to have the ego basically drop away to almost nothing and to really have it be a sense of community.
[00:07:31.801 --> 00:07:39.188]  And that's your power that comes off so genuine, and it's even stronger in person, folks, is that you really are a genuine person who's humble.
[00:07:39.728 --> 00:07:41.470]  And so we're not lauding ourselves.
[00:07:41.531 --> 00:07:42.552]  It's just a great attribute.
[00:07:42.872 --> 00:07:47.438]  If you look at the globalists in DC, which I know you know well, they are the complete opposite.
[00:07:47.458 --> 00:07:49.701]  They are on delusional, crazy power trips.
[00:07:50.121 --> 00:07:57.391]  And to me, there's nothing more dangerous than that with people that are megalomaniacs and think they're invincible who also have nuclear weapons.
[00:07:58.590 --> 00:07:59.111]  Exactly.
[00:07:59.232 --> 00:08:03.901]  There's nothing... Really, that's the way that people destroy themselves.
[00:08:04.081 --> 00:08:08.009]  I mean, humans are distinct from the animal kingdom in one meaningful way.
[00:08:08.370 --> 00:08:09.032]  They kill themselves.
[00:08:09.132 --> 00:08:09.573]  Animals don't.
[00:08:10.205 --> 00:08:13.288]  You know, no dog has ever decided to kill himself.
[00:08:13.368 --> 00:08:17.072]  It just never occurs to a dog, or to a porcupine, or to any other animal.
[00:08:17.752 --> 00:08:18.493]  Only to people.
[00:08:18.633 --> 00:08:21.836]  And they always kill themselves in the same way, by imagining they have powers.
[00:08:21.856 --> 00:08:23.157]  They don't, mistaking themselves for God.
[00:08:23.638 --> 00:08:26.020]  And, I mean, this is just the most consistent theme in all history.
[00:08:26.040 --> 00:08:29.183]  And again, men are prey to it in a way that women generally aren't.
[00:08:29.363 --> 00:08:31.325]  Obviously, Tori and Newlin would be a huge exception.
[00:08:31.365 --> 00:08:31.845]  Hillary Clinton.
[00:08:31.865 --> 00:08:32.726]  I mean, there are exceptions.
[00:08:33.707 --> 00:08:37.849]  The male temperament is particularly susceptible to the delusion that, you know, I'm Jesus.
[00:08:38.589 --> 00:08:47.094]  And those people are the most dangerous, and you're right, when they have the power to destroy the world, which they do, you know, they're terrifying.
[00:08:47.354 --> 00:08:51.576]  And we are, by the way, just since you brought it up, we are on the cusp of nuclear war with Russia right now.
[00:08:51.616 --> 00:08:53.237]  We are actually on the cusp.
[00:08:53.277 --> 00:08:56.338]  We are closer to nuclear war right now than any time in history.
[00:08:56.578 --> 00:08:58.679]  Far closer than the Cuban Missile Crisis.
[00:08:59.480 --> 00:09:00.760]  And the reason is really simple.
[00:09:00.820 --> 00:09:08.345]   We're targeting Mainland Russia, we are attacking Russia, the nation we're at in a hot war with Russia.
[00:09:08.405 --> 00:09:17.756]  So from Putin's perspective, which is basically unknown in the United States, and they're completely committed to preventing you from knowing what Putin thinks or says.
[00:09:18.296 --> 00:09:23.145]   But if you pay any attention, all you know that Putin He is dictatorial, of course.
[00:09:23.665 --> 00:09:25.425]  He is not an absolute monarch.
[00:09:25.785 --> 00:09:27.286]  He is not Kim Jong-un.
[00:09:27.746 --> 00:09:30.747]  Putin cares a lot about his approval rating in Russia.
[00:09:30.847 --> 00:09:31.167]  A lot.
[00:09:31.187 --> 00:09:32.528]  That's why he controls the media in Russia.
[00:09:33.288 --> 00:09:40.891]  And Putin has, for two and a half years, done everything he can to minimize news within Russia of attacks within Russia.
[00:09:40.911 --> 00:09:45.913]  There have been a bunch of assassinations, for example, in Moscow, carried out by the Ukrainian intel services.
[00:09:46.733 --> 00:09:48.334]  That's a fact, okay?
[00:09:48.454 --> 00:09:51.295]  Dugan's daughter was murdered with a car bomb in Moscow.
[00:09:51.315 --> 00:09:51.815]  There have been others.
[00:09:52.295 --> 00:09:54.776]  And Russian media has ignored those attacks.
[00:09:55.196 --> 00:10:00.559]  Putin does not want to seem weak in front of his country, in front of the Russian people, period.
[00:10:01.379 --> 00:10:07.782]  And so my point is, Russian media, if you watch it, has been downplaying NATO attacks on Russia.
[00:10:08.282 --> 00:10:16.025]  If there is a NATO attack within Russia that he cannot keep from his people, it becomes obvious that he can't protect mainland Russia from NATO.
[00:10:16.858 --> 00:10:18.799]  He'll launch a tactical nuke into Ukraine.
[00:10:19.519 --> 00:10:22.140]  A nuclear weapon into Ukraine for the first time in 79 years.
[00:10:22.300 --> 00:10:24.601]  We are very, very, very close to that.
[00:10:25.001 --> 00:10:30.764]  And if that happens, of course, it'll set off a chain reaction and we'll have a nuclear war in which you and I and our children will die.
[00:10:31.607 --> 00:10:33.889]  And so we're right there, right now.
[00:10:34.849 --> 00:10:37.271]  And that's not reported anywhere in the US media.
[00:10:37.411 --> 00:10:41.414]  Our leaders either know it and don't care because they're on a suicide trip.
[00:10:41.474 --> 00:10:42.435]  I agree with you, I think.
[00:10:42.916 --> 00:10:49.000]  But the average person is not bent on suicide, doesn't want to die, doesn't want his kids to be incinerated, doesn't want to live in a post-nuclear wasteland.
[00:10:49.901 --> 00:10:53.083]  And the average person has no idea that that's happening right now.
[00:10:53.884 --> 00:10:56.546]  And I just think it's the most astounding thing I've ever seen in my entire life.
[00:10:58.328 --> 00:11:01.874]  And if you add to that, Biden not knowing what planet he's on.
[00:11:01.894 --> 00:11:03.417]  And for people that don't know, you've studied this.
[00:11:03.777 --> 00:11:04.799]  Your guests have studied this.
[00:11:05.620 --> 00:11:08.245]  Mainline analysts agree we're the closest nuclear world we've ever been.
[00:11:10.529 --> 00:11:15.850]  We have an establishment that has this normalcy bias that they're invincible or that Russia will back down.
[00:11:15.870 --> 00:11:16.391]  You're absolutely right.
[00:11:16.811 --> 00:11:21.852]  Putin, for those that don't study the situation, is a moderate and is restraining the hardliners.
[00:11:22.412 --> 00:11:25.373]  And the vast majority of Russians, over 80%, want full-out war.
[00:11:25.733 --> 00:11:34.276]  And people that don't know, Hitler went to be defeated in Russia, Napoleon, the Russians were the frontier with the East and stopped all these Mongol and then Islamic invasions.
[00:11:34.316 --> 00:11:39.017]  And so the Russians are very serious when it comes to being attacked and they will attack.
[00:11:39.897 --> 00:11:47.721]  And so this is not like some, you know, Iraq where we've cut off the resources and are, you know, murdering them with starvation and they can't fight back.
[00:11:48.041 --> 00:11:52.223]  This is the largest nuclear power and this is beyond playing with fire or poking a bear.
[00:11:52.243 --> 00:11:56.365]  I was texting you a few weeks ago and I said, yeah, it's World War III and you said...
[00:11:57.265 --> 00:12:00.767]  It's the final war, and I think that term, I hadn't heard that before, it's right.
[00:12:01.447 --> 00:12:18.114]  We had World War I that was the war to end all wars, we learned it wasn't, but this would be the final war as your very famous quantum mechanics expert once said, I don't know how World War III will be fought, but I know that World War IV will be fought with sticks and stones.
[00:12:19.835 --> 00:12:20.195]  That's right.
[00:12:21.030 --> 00:12:22.452]  I think that's absolutely right.
[00:12:22.473 --> 00:12:27.260]  And the funny thing is that you and I grew up in a country where that was a commonplace observation, like all through school.
[00:12:27.961 --> 00:12:34.205]   You know, our entire lives up until about 25 years ago when The United States became the unipolar power.
[00:12:34.886 --> 00:12:40.811]  We were told, and it was true, that nuclear war was the end of humanity, and it was the thing to fear most.
[00:12:41.272 --> 00:12:55.146]   And all of a sudden, it became this thing that the entire foreign policy establishment in Washington, CSIS, and everyone in the National Security Council, and just sort of the permanent Foreign policy thinkers in D.C.
[00:12:55.587 --> 00:13:09.253]  wave away as, you know, not possible, whatever, you're being hysterical, even as they tell us that Vladimir Putin is dying of Parkinson's disease, is deranged, is a crazed megalomaniac on a death trip.
[00:13:09.673 --> 00:13:11.193]  You know, we can't he cannot be trusted.
[00:13:11.233 --> 00:13:14.155]  You cannot have a negotiation with him because he's that crazy.
[00:13:14.935 --> 00:13:22.181]  They're saying that this guy, who's by their own description that crazy, will not launch any of his 6,000 nuclear warheads against the West.
[00:13:22.241 --> 00:13:57.487]   I mean, it's the villain in this story, whatever you think of Putin, and I'm hardly defending Putin, but the villain here is NATO and the National Security Council in Washington, because they are pushing Our country and the West to annihilation and that that's a fact that's not I'm not being you know hysterical or trying to you know up play it or sell it you know as a threat that we shall be worried about this isn't an imminent danger to human existence and we're at the most fraught moment in all of human history right now.
[00:13:59.263 --> 00:14:14.652]  It's shocking to me that the Today Show and Good Morning America and the New York Times and the Washington Post don't begin every story no matter what the topic with, you know, by the way, we're on the cusp of nuclear war.
[00:14:15.593 --> 00:14:17.274]  Because there's nothing more important than that.
[00:14:18.407 --> 00:14:18.747]  But they don't.
[00:14:19.308 --> 00:14:19.708]  They hide it.
[00:14:19.908 --> 00:14:21.249]  And by the way, you say one more thing.
[00:14:21.830 --> 00:14:24.752]  You're very gracious when I've been on your show and just let me go on for 20 minutes of time.
[00:14:25.133 --> 00:14:26.614]  We want the deep Tucker Carlson.
[00:14:26.634 --> 00:14:27.995]  People love the Joe Rogan.
[00:14:28.536 --> 00:14:30.217]  One of the most viewed interviews ever.
[00:14:30.237 --> 00:14:31.598]  I've seen 100 million views, folks.
[00:14:31.858 --> 00:14:32.579]  I've watched it twice.
[00:14:32.619 --> 00:14:33.540]  My wife watched it twice.
[00:14:33.580 --> 00:14:34.240]  My full family.
[00:14:34.701 --> 00:14:35.722]  Everybody I know has been talking about it.
[00:14:36.863 --> 00:14:37.443]  And Joe's great.
[00:14:37.463 --> 00:14:38.584]  He's better than I am at interrupting.
[00:14:38.604 --> 00:14:39.665]  But I want to be even better than Joe.
[00:14:39.685 --> 00:14:43.748]  I want to give you time to keep elaborating on this because you've really done a lot of research into this.
[00:14:43.768 --> 00:14:46.411]  And I want to get back into the suicide death cult.
[00:14:47.131 --> 00:15:14.836]  Nature of the globalist, and why they're so nihilistic, why they're doing this, and how they see a nuclear war as some survivable thing for them, that'll get rid of the population, and they'll re-emerge, and the Wall Street Journal, even with headlines, looking forward to the end of humanity, and just hundreds of headlines about humans are a parasite, let's get rid of them, and then the horrible sick things they do, like this is really, at the end of the day, a spiritual battle, and you've talked some about that in your guest tab, and I want you to really go deep on this today.
[00:15:16.246 --> 00:15:21.870]  Well, I mean, I think the framework that most of us internalized growing up in this country was evolutionary biology.
[00:15:21.930 --> 00:15:31.357]  The idea that human behavior is the product of millions of years of adaptation to the environment, and we like things, we don't like things, because our ancestors had a need to like or dislike those things.
[00:15:31.637 --> 00:15:33.399]  And it makes sense, and I think to some extent it's true.
[00:15:34.682 --> 00:15:40.147]  But the bottom line imperative in evolutionary biology is survival.
[00:15:40.747 --> 00:15:46.353]  You know, the whole point of existence is to pass on your genes to another generation and, you know, continue the line of humanity.
[00:15:47.230 --> 00:15:49.092]  So, and I think that's right, actually.
[00:15:49.112 --> 00:15:50.312]  I think that is our instinct.
[00:15:50.793 --> 00:16:02.842]  So whenever you see people who are pushing for the end of humanity, pushing for suicide, you know that the controlling power is, by definition, not human.
[00:16:03.362 --> 00:16:06.825]  That's my, I'm trying to approach this logically here, like, what are we watching?
[00:16:07.746 --> 00:16:13.748]  And I don't think that we're watching the product of human greed here, for example.
[00:16:13.988 --> 00:16:24.572]  And a lot of people, and I've been one of them many, many times, say, well, you know, the real story here, you know, the real reason this is happening is because Larry Fink is going to buy all the farmland in Ukraine and he's going to make a ton of money for BlackRock.
[00:16:24.732 --> 00:16:37.016]   Or the reason, you know, We have so many transvestite children is because the, you know, hormone makers are making a bundle on this, or the reason they're pushing the COVID vax is because Moderna and Pfizer are getting rich.
[00:16:37.036 --> 00:16:42.577]  I mean, on one level, that is all true, of course, but it's not what's driving it.
[00:16:43.518 --> 00:16:45.318]  No one is going to survive a nuclear exchange.
[00:16:45.878 --> 00:16:51.620]  The people who are pushing us, no one on the National Security Council is going to have a better life if there's a nuclear war.
[00:16:52.313 --> 00:16:55.616]  Everything that they know and love will be gone, including their own children.
[00:16:56.096 --> 00:16:59.760]  So this is not actually something they're doing for their own benefit, whether they know it or not.
[00:17:00.000 --> 00:17:02.822]  They're being driven to do it by spiritual forces.
[00:17:03.142 --> 00:17:11.990]  I mean, I don't, I mean, if there's another explanation, by the way, I'm completely comfortable having grown up a secular person in a secular country with a secular explanation for what we're watching.
[00:17:12.050 --> 00:17:13.992]  If you could think of one, tell me what it is, but I can't.
[00:17:14.648 --> 00:17:16.951]  I don't see any rational reason.
[00:17:16.991 --> 00:17:22.237]  I don't see any actual self-interest that could be motivating the desire to commit mass suicide.
[00:17:22.257 --> 00:17:22.958]  I just don't.
[00:17:23.839 --> 00:17:29.626]  And I would, by the way, say that the transgender, the tranny stuff, is a form of mass suicide.
[00:17:29.646 --> 00:17:33.070]  You're preventing your children from having children, therefore you go extinct.
[00:17:33.530 --> 00:17:34.371]  I mean, right?
[00:17:34.451 --> 00:17:35.812]  At scale, that's what we're watching.
[00:17:35.832 --> 00:17:41.036]  Having our sons cut their genitals off and little girls cut their breasts off, it's like something out of a Clive Barker novel.
[00:17:41.917 --> 00:17:42.798]  It's like Hellraiser.
[00:17:42.938 --> 00:17:44.839]  So let's bring in all the politics.
[00:17:44.879 --> 00:17:48.142]  Can I just say, it's not just hurting your children, it's hurting you.
[00:17:48.262 --> 00:17:51.865]  Because the deepest desire of every parent is to have grandchildren.
[00:17:52.045 --> 00:17:54.647]  Not just for sentimental reasons, but for biological reasons.
[00:17:54.687 --> 00:17:56.329]  To see your line continue.
[00:17:56.409 --> 00:17:58.030]  That is the most natural of all instincts.
[00:17:58.490 --> 00:18:06.752]   So when you see somebody, Act against that, then you know this is probably not a human impulse.
[00:18:07.352 --> 00:18:07.532]  Right?
[00:18:07.552 --> 00:18:08.593]  This is unnatural.
[00:18:08.633 --> 00:18:11.255]  This is, in fact, I would say, supernatural.
[00:18:12.216 --> 00:18:14.278]  And that's exactly, in my view, what it is.
[00:18:14.378 --> 00:18:21.383]  Unless you can think of some better secular explanation that we can, you know, measure in the lab.
[00:18:21.403 --> 00:18:22.184]  But I can't.
[00:18:22.023 --> 00:18:32.507]   and I've thought about it a lot what did he just say He said there's a storm coming in.
[00:18:37.471 --> 00:18:37.952]  I know.
[00:18:39.633 --> 00:18:43.117]  We told you what was going to happen and it did.
[00:18:43.737 --> 00:18:46.059]  Now we're telling you what's coming.
[00:18:46.740 --> 00:18:53.740]  at RealAlexJones on X.
[00:18:54.740 --> 00:19:00.740]  When you visit DrJonesNaturals.com, you'll find amazing Brain Boost Neutropics like Top Brain.
[00:19:01.740 --> 00:19:07.740]  In fact, the top brain is the one that's going to help you get the most out of your life.
[00:19:07.740 --> 00:19:09.740]  utropics like top ring.
[00:19:09.972 --> 00:19:10.512]  It's incredible.
[00:19:10.893 --> 00:19:18.362]  But it still uses classical systems to stimulate the neurons in the brain and to give you energy.
[00:19:19.103 --> 00:19:21.325]  Next level foundational energy does not do that.
[00:19:22.046 --> 00:19:30.492]  It is the breakdown of folic acid into methylfolate mixed with other natural compounds that are known to push it into the cells.
[00:19:30.912 --> 00:19:35.335]  It cleans up the mitochondria and allows more energy to be brought into the cell.
[00:19:35.976 --> 00:19:44.417]   You will feel dramatic energy when you take next level foundational energy with no letdown. But if you are a European or Northern European,
[00:19:44.417 --> 00:19:50.978]  most of us have partially broken genes and cannot absorb folic acid or process it properly.
[00:19:50.978 --> 00:20:01.298]   If you have broken genes, you are going to feel explosive energy. So be very, very, very careful when you first get next level foundational energy.
[00:20:01.571 --> 00:20:02.712]  It funds the operation.
[00:20:02.952 --> 00:20:04.053]  It's an amazing product.
[00:20:04.633 --> 00:20:05.814]  Everybody should experience it.
[00:20:06.294 --> 00:20:11.477]  It's discounted now, right now, and exclusively available at drjonesnaturals.com.
[00:20:11.858 --> 00:20:13.659]  That's drjonesnaturals.com.
[00:20:13.959 --> 00:20:18.622]  There's a lot of other amazing products as well at drjonesnaturals.com, and I keep my show on the air.
[00:20:18.642 --> 00:20:23.945]  So I want to thank you all for your past support and encourage all of you to visit drjonesnaturals.com right now.
[00:20:24.799 --> 00:20:28.879]  And for breaking news and updates, be sure and follow me at RealAlexJones, here on X.
[00:20:28.879 --> 00:20:39.359]   I've heard you talk about this some, but can you elaborate on, growing up Episcopalian, you were never Satanist, you kind of believed in God from what I've heard, but weren't sure
[00:20:39.359 --> 00:20:46.359]   about it and liked the idea of Christianity, but then you've told me some of your private stories and told me some of mine, we're not going to get into those here, but the process
[00:20:46.359 --> 00:20:59.063]   of you in the last four or five years, really communicating what everybody else is feeling Either you're totally in the Matrix and don't see any of it, and do whatever you're told, and you will lick the bugs and, you know, love all this evil, and that's a smaller and smaller group.
[00:20:59.744 --> 00:21:03.965]  Or there's the majority of us, really, that don't have all the answers but are trying to figure this out.
[00:21:04.485 --> 00:21:10.628]  What was that process like for you coming to this realization that it's good versus evil and that there are forces other than human?
[00:21:12.495 --> 00:21:14.776]  Well, I mean, it's a process still.
[00:21:14.996 --> 00:21:26.239]  And by the way, one of the reasons I'm uncomfortable talking about it is because I hate to sort of hold myself up as an advertisement for the world's largest faith or pretend to be a spokesman for God.
[00:21:26.279 --> 00:21:29.520]  I think you bring disaster upon yourself when you do that, I've noticed.
[00:21:29.840 --> 00:21:36.663]  I mean, there's a reason that preachers are disproportionately likely to get caught up in sex scandals or get addicted to porn or smoke meth.
[00:21:37.303 --> 00:21:38.143]  They're under attack.
[00:21:38.183 --> 00:21:58.483]   The second you say, I represent a billion Christians, You were under attack and so I I certainly don't represent a billion Christians or Christianity or Jesus or anything like that I'm as flawed as anybody you'll ever meet more than most and so I just want to say that with sincerity at the outset but to answer your question you know I always believed that the sum total of
[00:21:59.326 --> 00:22:01.567]  Everything was probably a little bit bigger than what we could measure.
[00:22:02.087 --> 00:22:03.888]  You know, that our senses don't tell the whole story.
[00:22:03.908 --> 00:22:10.791]  And I've always believed in the possibility of a god of supernatural forces because it seemed obvious to me.
[00:22:11.352 --> 00:22:13.493]  And it's obvious from your own experience in life.
[00:22:13.533 --> 00:22:15.114]  You somehow know things intuitively.
[00:22:15.134 --> 00:22:15.994]  Well, how could you know that?
[00:22:16.614 --> 00:22:18.315]  You know, it's encoded in our genes.
[00:22:18.335 --> 00:22:19.676]  Really tell me how that works exactly.
[00:22:19.696 --> 00:22:20.116]  You can't.
[00:22:20.176 --> 00:22:20.756]  Nobody can.
[00:22:21.176 --> 00:22:28.260]  So clearly there's a lot more going on than science, as understood in 2024, can explain to us, obviously.
[00:22:29.151 --> 00:22:32.073]  And I've always assumed that that was real because it clearly is real.
