[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[00:03:16.527 --> 00:03:19.048]  My understanding is that we're in compliance with the law.
[00:03:19.829 --> 00:03:20.969]  Okay, so you think you do.
[00:03:22.194 --> 00:03:25.059]  How do you respond to an unsealed document released by the U.S.
[00:03:25.079 --> 00:03:32.431]  Foreign Intelligence Surveillance Court on May 19, 2023, which states your agency, the FBI, illegally misused this tool
[00:03:33.880 --> 00:03:42.067]  More than 278,000 times between 2020 and early 2021, and is this number of 278,000 abuses accurate?
[00:03:42.528 --> 00:03:53.037]  Representative Andy Biggs attempted to impose a requirement for the FBI to obtain a warrant, but that ended in a tie vote and a full display of uniparty rule.
[00:03:53.358 --> 00:03:58.262]  Speaker Mike Johnson cast the tie-breaking vote against the amendment.
[00:03:58.522 --> 00:04:01.884]  We have to know who the enemy is and what we have to do.
[00:04:02.444 --> 00:04:07.167]  And if it is a police state on our doorstep, we're already stepping in.
[00:04:07.507 --> 00:04:10.949]  I'll tell you what, we better wake up and respond to it.
[00:04:10.969 --> 00:04:24.117]  What we have learned is that the IRS in fact has been using AI to access bank accounts of American citizens without any kind of a search warrant or even without any specific claim that they have committed a crime.
[00:04:24.697 --> 00:04:34.361]  So this was something that was discovered by an undercover journalist and what they found is that the IRS has claimed that they have access to every single person's bank account.
[00:04:34.802 --> 00:04:44.366]  This person also indicated that they've been working with the Department of Justice and that they have absolutely no problem whatsoever going after the little guy to make sure that they are paying their taxes.
[00:04:44.706 --> 00:04:47.007]  John Bowne reporting for InfoWars.
[00:04:48.442 --> 00:04:49.564]  Ladies and gentlemen, we are live.
[00:04:49.624 --> 00:04:50.165]  It's Friday, April 26, 2024.
[00:05:00.754 --> 00:05:02.215]  Ladies and gentlemen, it is back.
[00:05:02.435 --> 00:05:09.960]  Vitamin Mineral Fusion, the platinum standard of advanced multivitamin formulas, has returned to InfoWarsStore.com.
[00:05:10.040 --> 00:05:18.645]  After being out of stock for months, there's no better time to make sure that you're boosting your natural systems and getting your essential vitamins and minerals and nutrients than with Vitamin Mineral Fusion.
[00:05:19.005 --> 00:05:20.265]  We don't live in a perfect world.
[00:05:20.325 --> 00:05:22.806]  Our diets no longer contain everything that we need.
[00:05:23.126 --> 00:05:31.209]  So instead of spending huge amounts of money and time trying to make up for the lack of nutrition in your diet, just get Vitamin Mineral Fusion and you're good to go.
[00:05:31.269 --> 00:05:32.509]  InfoWarsStore.com.
[00:05:32.549 --> 00:05:33.509]  Vitamin Mineral Fusion.
[00:05:33.769 --> 00:05:34.610]  It's back in stock.
[00:05:34.770 --> 00:05:35.790]  It will sell out quickly.
[00:05:35.810 --> 00:05:37.170]  It's one of our most popular products.
[00:05:37.430 --> 00:05:40.091]  So make sure you go now to InfoWarsStore.com.
[00:05:40.371 --> 00:05:41.011]  It's good for you.
[00:05:41.091 --> 00:05:42.092]  It's good for the whole family.
[00:05:42.532 --> 00:05:45.673]  Vitamins A, B, C, D, B12.
[00:05:46.893 --> 00:05:51.015]  Calcium, Magnesium, Zinc, Selenium, L-Glutamine, the list goes on.
[00:05:51.035 --> 00:05:52.575]  I don't even have time to list everything in here.
[00:05:52.596 --> 00:05:56.537]  So go to Infowarsstore.com, find out what Vitamin Mineral Fusion can do for you.
[00:05:56.577 --> 00:06:05.641]  You are listening to an Infowars.com Frontline Report.
[00:06:16.389 --> 00:06:21.231]  If you are receiving this transmission, you are the resistance.
[00:06:30.136 --> 00:06:32.237]  It's Friday, April 26, 2024.
[00:06:33.017 --> 00:06:34.778]  I am your host, Alex Jones.
[00:06:35.398 --> 00:06:37.840]  We're going to be here live for the next four hours.
[00:06:37.940 --> 00:06:40.481]  I fully intended to be here last Wednesday, but I had to be in court.
[00:06:41.421 --> 00:06:41.822]  And then I
[00:06:43.851 --> 00:06:50.373]  Without getting too many details, I have a close family member who's been extremely ill and fighting for their life.
[00:06:50.393 --> 00:06:52.753]  So I've been at the hospital within the last two days.
[00:06:53.453 --> 00:06:59.275]  So that's why I've not been here, but I appreciate Chase and Geiser and Ellen Schreuer and the rest of the crew doing a great job.
[00:07:00.075 --> 00:07:04.996]  While I have been out, but I do intend to be here, obviously, with the Sunday show.
[00:07:05.056 --> 00:07:09.077]  And I'll probably even come in and do an emergency Saturday report as well.
[00:07:09.117 --> 00:07:10.778]  But I've certainly not been playing hooky.
[00:07:11.938 --> 00:07:16.421]  I know there's been a lot of folks, quite the talk on X. Other places, where's Alex Jones?
[00:07:16.442 --> 00:07:17.262]  Well, I just told you.
[00:07:17.622 --> 00:07:18.803]  Let's just move on from that.
[00:07:20.364 --> 00:07:32.954]  But being in intensive care hospital for two days and just watching the people come into the world and out of the world is something else.
[00:07:33.374 --> 00:07:34.495]  Get your head screwed on straight.
[00:07:38.857 --> 00:07:52.485]  I wanted to take a picture, but it's people's privacy, so obviously I didn't, but I saw the oldest looking person I've ever seen in the room across from a family member who looked like they were 200 years old.
[00:07:52.885 --> 00:07:53.685]  It was incredible.
[00:07:54.706 --> 00:07:56.707]  What a planet we live on.
[00:07:56.887 --> 00:08:03.511]  The beauty, the horror, it's quite the experience, isn't it, ladies and gentlemen?
[00:08:05.126 --> 00:08:09.089]  Okay, this is like three days of research here built up.
[00:08:10.791 --> 00:08:12.052]  We've got all the breaking news.
[00:08:12.372 --> 00:08:14.114]  We've got all the big developments unfolding.
[00:08:14.154 --> 00:08:16.816]  Luke Radowsky is a great talk show host, an old friend of mine.
[00:08:16.876 --> 00:08:22.721]  We'll be in studio in the third hour, but the first two hours I will judiciously cover all of this news.
[00:08:22.781 --> 00:08:28.126]  And I really can't say which one of these stacks is the most important because they are all intertwined, interconnected.
[00:08:28.166 --> 00:08:29.427]  But just to be very clear,
[00:08:30.865 --> 00:08:51.676]  Because of William Binney, the former technical head of the NSA, and a lot of documents that have come out in Congress, and from Edward Snowden and others, we know for at least 15 years, everything that happens in the UK, Europe, Australia, New Zealand, the US, and Canada, and to a great extent every other country now,
[00:08:53.015 --> 00:09:20.027]  Every phone call, every text message, every email, every voice message, every internet communication, every private message is scooped up at the point that it is entered into the web and into the telecommunications grid and is put through NSA, what you'd call keyword AI filters or echelon systems that are 40 years old that have been majorly updated
[00:09:21.460 --> 00:09:31.329]  In the last 15 years, and what they call AI is just super fast computing systems that can make the decisions itself and collate it for flagging, and everything is listened to.
[00:09:32.971 --> 00:09:34.833]  And you say, well, I have nothing to hide, so what?
[00:09:34.873 --> 00:09:45.403]  Well, it's used to game the system and vertically integrate wealth, and to shut down the human system and force a robot takeover.
[00:09:47.773 --> 00:09:51.737]  We're going to replace workers at all the major shops and all the major restaurants with robots.
[00:09:52.477 --> 00:09:53.538]  We're going to Chick-fil-A.
[00:09:53.618 --> 00:09:57.842]  Robots are delivering on the street to businesses up to 10 miles away.
[00:09:58.022 --> 00:09:59.263]  Robots are delivering food.
[00:09:59.804 --> 00:10:00.945]  People think, oh, isn't this cute?
[00:10:00.985 --> 00:10:01.685]  Isn't this funny?
[00:10:02.726 --> 00:10:09.512]  No, it's a plan to make us obsolete, using the technology to be anti-human, while the human infrastructure is being turned off.
[00:10:11.261 --> 00:10:13.542]  I don't say that to be doom and gloom or to scare people.
[00:10:13.602 --> 00:10:31.906]  I say that so that people listening understand how deep we're already in this system and that they've really held back the more powerful AI systems from the public and that it's way more advanced than the population is being told.
[00:10:33.886 --> 00:10:35.627]  So that's the first stack here.
[00:10:37.301 --> 00:10:38.782]  We can ask the archivists to do it.
[00:10:38.842 --> 00:10:41.303]  In fact, we'll ask them to do that today, but tomorrow we'll have it.
[00:10:41.923 --> 00:10:47.486]  And then we can play that video or play it Sunday and it'll get 10 million views on X and really wake people up.
[00:10:48.286 --> 00:10:53.029]  Because they don't care if I tell you something while it's happening or after, but people do like hearing it way before.
[00:10:53.829 --> 00:11:03.894]  You can find clips of me at least 15 years ago, but back to the last few years incessantly, where I explained that the IRS
[00:11:05.538 --> 00:11:12.624]  That's just a rubber stamp with the FBI that it's going to use that against people in court so they have to do a thing called parallel construction.
[00:11:13.285 --> 00:11:13.885]  That's where you
[00:11:33.618 --> 00:11:41.082]  Illegally get the information to indict someone, but then after you have the info, you go and create a fake investigation around it.
[00:11:41.902 --> 00:11:56.249]  And then the FBI, a lot of times, as in the news today, a bunch of places, in the Trump show trials and in the J6 show trials, where the FBI goes and threatens people, like Trump's valet,
[00:11:57.429 --> 00:12:04.791]  At Mar-a-Lago and says, we're going to charge you for having secret documents, even though you don't have no liability.
[00:12:04.811 --> 00:12:05.772]  Those are Trump's documents.
[00:12:05.792 --> 00:12:10.533]  You can have them presidentially, but certainly a valet that's just moving boxes for Trump.
[00:12:10.573 --> 00:12:13.574]  You didn't know it was a crime, even if it was, which it wasn't.
[00:12:14.974 --> 00:12:21.276]  We're going to indict you unless you say Trump knew it was illegal and told you it was illegal and to keep it secret, which isn't true.
[00:12:21.296 --> 00:12:26.478]  And that's not come out in the federal trial, pretrial in Miami.
[00:12:29.167 --> 00:12:34.391]  So on top of parallel construction, they're setting you up with the parallel construction.
[00:12:35.091 --> 00:12:44.658]  And we've seen the cases of prominent reporters, like Cheryl Atkinson and others, where the FBI either did or tried to plant child porn on people.
[00:12:46.460 --> 00:12:57.448]  So, as Vault 7 showed that Snowden released a decade ago, Edward Snowden of the NSA, high-level operative,
[00:12:59.889 --> 00:13:00.269]  I don't know.
[00:13:21.212 --> 00:13:22.993]  The point is, this is all being done illegally.
[00:13:23.073 --> 00:13:36.782]  So it's big news that, oh my gosh, documents show and Congress has confirmed that the IRS is jacked into everything you do with AI filtering the system via the NSA.
[00:13:38.923 --> 00:13:40.404]  And that's just the tip of the iceberg.
[00:13:40.464 --> 00:13:46.068]  Of course, I told you a decade ago that Twitter and Facebook and Instagram and Google
[00:13:47.446 --> 00:13:53.248]  Are reading your private messages and collating those and selling them to any big corporation that wants them.
[00:13:54.849 --> 00:14:04.993]  Chase Bank came out last week and said, yeah, we sold 800,000 customers complete purchase history over the last decade to a whole bunch of companies.
[00:14:06.314 --> 00:14:08.215]  And of course, they sold it to insurance companies too.
[00:14:09.155 --> 00:14:10.996]  Now, that's raping your privacy.
[00:14:11.943 --> 00:14:15.605]  So the IRS is in your medical records, via your bank records, they're in everything.
[00:14:16.026 --> 00:14:17.306]  And it's beyond illegal.
[00:14:18.827 --> 00:14:22.510]  It is a whole new breakaway civilization of technology.
[00:14:23.917 --> 00:14:28.281]  Attacking the population and designing a post-human world.
[00:14:28.721 --> 00:14:31.663]  They're announced all over the world they're going to ban organic farming, saying it's bad.
[00:14:32.184 --> 00:14:34.105]  They're announcing all over the world they're going to ban beef production.
[00:14:34.806 --> 00:14:38.749]  They're announcing all over the world that they're forcibly going to replace humans with robots.
[00:14:39.450 --> 00:14:50.319]  And then say, don't worry, you're on a universal basic income, but with that social credit score to get that income, you have to jump through all these hoops, and the hoops you've got to jump through are going to get more and more intense.
[00:14:52.062 --> 00:14:54.724]  So this is a post-human world in their words.
[00:14:55.565 --> 00:15:00.929]  It is an extermination and they've gone from the testing phase to four years ago operational.
[00:15:01.770 --> 00:15:06.434]  And then I've got a huge stack and most of the time I'm punch drunk from the COVID news.
[00:15:07.695 --> 00:15:09.216]  But it gets more insane by the day.
[00:15:09.276 --> 00:15:12.379]  We have government, US government studies, British government studies.
[00:15:14.377 --> 00:15:39.510]  We have more New England Medical Journal studies, those are as prestigious as it gets, all confirming that it was not COVID, it was the injections causing massive heart attacks, blood clots, myocarditis, cancer, everything else, mutation, the shots are all full of DNA on purpose, not just RNA, and that
[00:15:41.215 --> 00:15:51.698]  It is a cocktail, and that Pfizer and Moderna would just change hundreds of times, that's come out in federal court with all these lawsuits, what they put in the shots.
[00:15:52.559 --> 00:15:58.000]  And then they would test them on different populations in a huge guinea pig operation.
[00:15:59.781 --> 00:16:08.584]  And they also did some big tests in five states two years ago, where they said, well, since everybody's having heart attacks,
[00:16:09.758 --> 00:16:18.640]  Blood clots will just put a powerful blood thinner in the vaccine that isn't a vaccine.
[00:16:18.800 --> 00:16:26.221]  It's a mothership, a catch-all for massive testing, just as she said three years ago.
[00:16:26.241 --> 00:16:30.282]  And man, the more we learn, the more she just sounds wild.
[00:16:31.062 --> 00:16:35.323]  She's a former top scientist, current scientist, been a top scientist under Fauci.
[00:16:36.721 --> 00:16:41.543]  And she said, listen, they put everything in the mRNA injection.
[00:16:42.363 --> 00:16:44.404]  All the cancer viruses they've ever developed.
[00:16:46.765 --> 00:16:58.670]  mRNA, DNA, all the other vaccines that are so-called vaccines are all in there to cover up all the damage they've done previously and accelerate the death.
[00:16:59.510 --> 00:17:04.472]  The numbers are now at 22 million dead worldwide in insurance actuaries from the injections.
[00:17:04.792 --> 00:17:06.313]  There's just death everywhere.
[00:17:08.041 --> 00:17:13.662]  And nurses, and doctors, and epidemiologists, and scientists are all coming at me.
[00:17:13.702 --> 00:17:16.042]  Just look, look, look at some of these headlines right here.
[00:17:16.923 --> 00:17:21.944]  Childhood seizures, myocarditis, and pancreatitis increase post-COVID injection, FDA study.
[00:17:23.484 --> 00:17:27.224]  FDA finds mRNA COVID vaccines may cause seizures in toddlers.
[00:17:29.005 --> 00:17:35.146]  Fox News now admits discovery of billions of fragments of DNA in every dose, Florida Surgeon General.
[00:17:36.661 --> 00:17:38.702]  NIH defies FOIA.
[00:17:38.742 --> 00:17:40.502]  Moderna vax royalties paid to government.
[00:17:41.162 --> 00:17:42.262]  Employees remain secret.
[00:17:45.603 --> 00:17:48.504]  And we've got Trudeau saying, I took the shot and you feel amazing.
[00:17:49.724 --> 00:17:54.125]  Here's one of the big studies from JAMA, Journal of American Medicine.
[00:17:54.145 --> 00:17:58.666]  Isn't that nice?
[00:18:00.867 --> 00:18:01.587]  And it goes on.
[00:18:02.027 --> 00:18:04.247]  A dangerous vaccine for nothing disease.
[00:18:04.328 --> 00:18:04.468]  U.S.
[00:18:04.488 --> 00:18:06.148]  stockpiling bird flu vaccines.
[00:18:09.278 --> 00:18:19.927]  And of course, in all those key blue cities where they murdered so many people before they rolled out the COVID shot, just to get some numbers up, they would cocoon you in a bag, put a catheter in you, and then murder your ass.
[00:18:21.048 --> 00:18:23.630]  Talk about a captive audience.
[00:18:23.811 --> 00:18:24.431]  There it is.
[00:18:25.672 --> 00:18:28.234]  Right out of a horror movie.
[00:18:31.117 --> 00:18:36.982]  So we've got a lot to cover on the so-called vaccines, the leading cause of coincidences.
[00:18:39.400 --> 00:18:40.841]  That's all coming up today.
[00:18:40.901 --> 00:18:42.182]  Oh, that's just one of the stacks.
[00:18:44.123 --> 00:18:47.765]  And it just goes on from there, but they then...
[00:18:49.483 --> 00:18:58.009]  Give Select, Fortune 100, it's not even really the Fortune 500, and most of the other 400 or so are subsidiaries of the really five or six companies.
[00:18:58.769 --> 00:19:00.190]  They get all the intel.
[00:19:00.711 --> 00:19:02.052]  They get all the crunch data.
[00:19:02.312 --> 00:19:08.236]  Because for decades, they could record everything, but they had humans trying to go through it, and it was a big job.
[00:19:08.256 --> 00:19:10.657]  You had to get so many other humans involved with the spying.
[00:19:10.978 --> 00:19:12.078]  They could sell the data.
[00:19:12.098 --> 00:19:13.639]  There's a lot of backstabbing.
[00:19:13.659 --> 00:19:15.180]  You know, there's no honor among thieves.
[00:19:16.162 --> 00:19:23.442]  But now the AI can do it and show only key reports and battle plans all in 3D.
[00:19:25.435 --> 00:19:41.807]  The hologram reports, by the way, I'm told by people that have seen this, and the executives go into these hologram rooms in corporate America and the government, and it goes, and an avatar head pops up and says, here is the command that recommended progress action to expand the overall directives.
[00:19:42.427 --> 00:19:44.989]  And then they sit there and go, yes, launch operation.
[00:19:45.370 --> 00:19:49.032]  And the human gives the AI the final order, and it goes forth.
[00:19:49.092 --> 00:19:52.675]  Imagine they go in a room, they're there, hologram of a, you know,
[00:19:53.692 --> 00:19:54.012]  A.I.
[00:19:54.092 --> 00:19:55.574]  avatar, looks like a person.
[00:19:56.034 --> 00:19:58.316]  I'm told in most systems it's a beautiful woman.
[00:19:59.316 --> 00:20:01.558]  And then they talk about the battle plan and what they're going to do to us.
[00:20:01.658 --> 00:20:03.600]  And the A.I.
[00:20:03.700 --> 00:20:09.404]  estimates in different reports how long until they've got total life extension or basically immortality, they believe.
[00:20:09.765 --> 00:20:18.972]  But by testing on the massive population, they'll both do the main directive depopulate while discovering how to live forever.
[00:20:19.432 --> 00:20:22.415]  That's their main goal by using us as the guinea pig.
[00:20:23.294 --> 00:20:33.404]  So as they kill us and depopulate us so we don't have any part of the future, they also then find the cures by just mass pure research on the public.
[00:20:33.424 --> 00:20:36.767]  And then when you go in for a blood draw, the companies, most of them shell it.
[00:20:37.087 --> 00:20:39.950]  They've got your database and they see how it's all going.
[00:20:40.590 --> 00:20:40.830]  I think?
[00:20:58.482 --> 00:21:02.383]  Get another button, all your contacts, who you are, what you're predicted to go and do.
[00:21:02.684 --> 00:21:11.047]  You may not know that you're a creature of habit, but it'll estimate up to a 99% probability months out where you're going to eat next, where you're going to go.
[00:21:13.367 --> 00:21:14.968]  And so it's a breakaway civilization.
[00:21:14.988 --> 00:21:16.649]  It's not aliens from a foreign star system.
[00:21:17.409 --> 00:21:25.892]  It's humans that have developed all this incredible technology that's been compartmentalized and then constructed together for this big move they're making against everyone.
[00:21:28.234 --> 00:21:45.027]  And the prime system is to give you false data, and give you false info, and give you nothing but lies, and nothing but confusion, and two men can have a baby, and fentanyl, and feces, and needles, and pedophilia, and Satanism, and poison food, and GMO, and 5G.
[00:21:45.968 --> 00:21:57.717]  So you get that on one side, you're fed nothing but disinfo and lies, so your human computer will basically give up, be overwhelmed, and roll over.
[00:21:58.447 --> 00:22:00.028]  Into a catatonic fetal position.
[00:22:04.110 --> 00:22:08.331]  While they have all the real data on how to consolidate and control.
[00:22:09.672 --> 00:22:10.773]  So it's build back better.
[00:22:11.733 --> 00:22:13.974]  Great reset, destroy everything except their systems.
[00:22:15.114 --> 00:22:18.676]  And then build on our wreckage their new world.
[00:22:20.077 --> 00:22:21.918]  Now that's what's happening.
[00:22:23.358 --> 00:22:24.759]  That's what's going on.
[00:22:25.919 --> 00:22:27.080]  That's what you face.
[00:22:29.164 --> 00:22:42.096]  Now, many of you that listen every day or once a week have heard me say probably 500 times that the IRS is in all your bank accounts and all your personal data and integrated AI for at least a decade.
[00:22:42.136 --> 00:22:48.061]  For more than 15 years, they're in all your bank accounts, but they didn't have a way to get it all together and crunch it, integrate with everything else.
[00:22:48.621 --> 00:22:51.124]  Now they have that, and it's well in place.
[00:22:55.091 --> 00:22:55.451]  Alert!
[00:22:55.651 --> 00:22:57.472]  IRS using AI to target middle class.
[00:22:57.913 --> 00:23:03.856]  Remember he hired 80 plus thousand new IRS agents, Biden, three years ago and said, I promise it's for the billionaires.
[00:23:04.997 --> 00:23:10.500]  And then they actually changed regulations where most billionaires pay nothing because they run the system.
[00:23:11.981 --> 00:23:13.962]  IRS using AI to target middle class.
[00:23:14.402 --> 00:23:21.386]  What we have learned is the IRS in fact has been using AI to access bank accounts of American citizens without any kind of search warrant.
[00:23:22.861 --> 00:23:26.202]  This was something that was just discovered by an undercover journalist.
[00:23:26.583 --> 00:23:31.144]  What they found is the IRS had claimed they have access to every single person's bank account.
[00:23:31.345 --> 00:23:32.945]  Well, Veritas had that two years ago.
[00:23:33.946 --> 00:23:36.207]  But this is all known, ladies and gentlemen.
[00:23:38.247 --> 00:23:40.088]  So, that's where we are.
[00:23:40.388 --> 00:23:51.193]  And you have to understand that 99.9% of us will be incrementally destroyed by this.
[00:23:52.697 --> 00:24:00.959]  And so anyone serving the system, and I know they're hiring a lot of really, let's just say, low IQ people.
[00:24:02.099 --> 00:24:20.903]  If you're a TV viewer, you can see from just last year, footage of hundreds of new IRS agents getting their day-long course on body armor and weapons use when they are raiding people's houses to terrorize them, in many cases without warrants.
[00:24:23.894 --> 00:24:27.975]  So, that is the human end of the situation.
[00:24:28.555 --> 00:24:38.658]  So if you think this poison, toxic culture has been bad so far, and you've watched humans, including yourself, mutate before your very eyes, that was only the testing phase.
[00:24:38.698 --> 00:24:40.479]  We are now under the knife.
[00:24:42.739 --> 00:24:45.220]  We are now being cut to pieces.
[00:24:46.454 --> 00:24:56.861]  And so, you can pretend, because you work for the IRS, or the FBI, or the Justice Department, or a college, or the bureaucracy, or a medical system, that you're protected.
[00:24:56.981 --> 00:24:58.382]  I'll assure you, you're not.
[00:25:00.284 --> 00:25:04.807]  And only a very tiny tenth of one-tenth of one-millionth of a percent.
[00:25:04.827 --> 00:25:13.773]  I mean, we're talking less than a few hundred people in the globalist system actually have the full knowledge of this endgame and its terminus point.
[00:25:15.726 --> 00:25:16.847]  I have reverse-engineered it.
[00:25:18.407 --> 00:25:23.029]  Anyone can reverse-engineer it, but you've got to be able to face the full horror.
[00:25:24.510 --> 00:25:29.972]  That's why I've been, for any talk show host or media person, the number one enemy.
[00:25:30.452 --> 00:25:35.294]  Because they tune into the show and the globalists go, that guy's got the intel.
[00:25:35.314 --> 00:25:37.055]  All right?
[00:25:37.915 --> 00:25:44.558]  Now, you must be able to face the fact that they are going to kill every human on earth.
[00:25:45.714 --> 00:25:48.135]  You actually get deeper in the transhumanist writings that they follow.
[00:25:48.535 --> 00:25:56.498]  They believe humans are bad and are only the energy system to create this new uber-mention that will not be human.
[00:25:56.558 --> 00:26:07.603]  This new homo sapien supremus or homo sapien 2.0 that will not be what we see as the current life forms.
[00:26:09.084 --> 00:26:10.244]  Sorry, my earpiece popped off.
[00:26:10.284 --> 00:26:10.804]  Let me fix it.
[00:26:10.844 --> 00:26:11.965]  Well, it's broken.
[00:26:12.325 --> 00:26:13.265]  I'll fix it during the break.
[00:26:15.868 --> 00:26:34.052]  That's where we are, ladies and gentlemen, and I'm sorry to have to report this to you, but if you don't admit to yourself what's really happening, I can't help you, okay?
[00:26:34.972 --> 00:26:42.834]  But I want everyone knowing that's part of this, you are a fool and you have lied to yourself
[00:26:44.338 --> 00:26:52.082]  And you have pretended and flirted with evil and this anti-human force, pretending that you're on the winning team.
[00:26:52.142 --> 00:26:53.823]  You are on the losing team.
[00:26:55.264 --> 00:26:56.785]  You could nihilistically say, I don't care.
[00:26:56.825 --> 00:26:57.645]  I'm just going to party.
[00:26:57.665 --> 00:26:58.446]  I'm just going to have fun.
[00:26:59.266 --> 00:27:05.530]  The top globalists are our spiritual creatures, and they know that we have eternal souls.
[00:27:07.509 --> 00:27:28.146]  And they understand that they are farming you spiritually and that it's time to bring in the 8 billion plus people into the crop and to cut you off from the real universe that God made and to take you with them into their new system they're building digitally through the Silicon Universe.
[00:27:28.706 --> 00:27:34.892]  So this is a rebellion against God, a rebellion against the real reality, and they're trying to take you with them into a false reality.
[00:27:35.692 --> 00:27:48.941]  And which is described by our people that have been given glimpses of it as pain and sorrow and horror, the likes of which is very, very hard to even imagine.
[00:27:49.421 --> 00:27:53.984]  I sent you guys about two weeks ago a short video about AI vision of hell.
[00:27:55.004 --> 00:27:56.585]  And I think it's about the clearest vision.
[00:27:57.927 --> 00:28:02.051]  out there so far that kind of scooped the collective unconscious and created that.
[00:28:02.711 --> 00:28:13.401]  That is similar to my visions of hell, or at least the way a human brain would, at this dimension, experience that and see that.
[00:28:14.502 --> 00:28:24.510]  But it is the absence of God and the absence of beauty and the absence of truly being part of the infinite eternal
[00:28:25.513 --> 00:28:33.537]  And is the equivalent of being locked consciously in a tomb with other entities that are not very happy.
[00:28:34.878 --> 00:28:39.540]  And their only pleasure is trying to drag other spirits into that hole with them.
[00:28:40.261 --> 00:28:52.707]  So if you fail the test and serve Satan, you will be cut off from God for eternity in a false reality created by the fallen entity that has created it.
[00:28:54.124 --> 00:28:55.988]  I would advise you to not want to be a part of this.
[00:28:56.509 --> 00:28:57.010]  We'll be right back.
[00:29:04.147 --> 00:29:05.787]  Mmm, I can think again.
[00:29:06.187 --> 00:29:12.429]  This is the liquid tincture version of Brain Force, which means you can really tailor it to exactly what you need.
[00:29:12.449 --> 00:29:18.770]  I tend to take maybe a little bit more than is directed, but it's incredibly powerful stuff, and I have an incredibly demanding job.
[00:29:18.850 --> 00:29:26.171]  But you make it easy by going to InfoWarsStore.com, and of course, InfoWarsStore.com makes it easy by supplying me with Brain Force Ultra.
[00:29:26.191 --> 00:29:31.712]  I rely on this product to do my job on a daily basis, because it's absolutely jam-packed with incredible ingredients.
[00:29:31.912 --> 00:29:39.334]  Brain Force Ultra is now back in stock at InfoWarsStore.com and get it now because this stuff sells out fast for very good reason.
[00:29:39.394 --> 00:29:40.615]  It's a fantastic supplement.
[00:29:40.935 --> 00:29:44.696]  It's the type of supplement that once you start taking it, well, you're going to notice if you stop.
[00:29:44.776 --> 00:29:46.556]  Go check out what's in Brain Force Ultra.
[00:29:46.596 --> 00:29:52.998]  Do your own research and what you'll find is that this is a powerhouse formula for incredible mental clarity, focus and energy.
[00:29:53.278 --> 00:29:55.199]  Now on sale at InfoWarsStore.com.
[00:29:55.239 --> 00:29:58.400]  Brain Force Ultra is now on sale at InfoWarsStore.com.
