[00:00:00.000 --> 00:00:15.779]  [Outro]
[00:02:54.319 --> 00:02:55.384]  The list goes on and on.
[00:02:56.243 --> 00:02:59.126]  Joe Rogan has an audience 100 times that of CNN.
[00:02:59.666 --> 00:03:01.928]  I have an audience 15 times that of CNN.
[00:03:02.268 --> 00:03:05.691]  Tucker Carlson has an audience 100 times the size of CNN.
[00:03:06.572 --> 00:03:08.814]  CNN and other corporate media like it are zombies.
[00:03:08.834 --> 00:03:12.858]  They are empty husk that no one believes or listens to anymore.
[00:03:13.238 --> 00:03:18.082]  And so this is a desperate deep state attempt using lawfare to shut me down and silence me.
[00:03:18.443 --> 00:03:19.624]  Judge Lopez has been fair.
[00:03:20.064 --> 00:03:20.885]  He's followed the law.
[00:03:21.485 --> 00:03:29.291]   He's been very frustrated by the fact that The plaintiffs do not want money and have admitted it and have only used the bankruptcy process to try to torture me and harass me.
[00:03:29.591 --> 00:03:30.412]  It's done the opposite.
[00:03:30.792 --> 00:03:36.055]  My resolve against this tyranny has never been stronger and I will not be silenced.
[00:03:36.416 --> 00:03:39.017]  I'm given hundreds of interview opportunities a day.
[00:03:39.398 --> 00:03:44.353]   I've got all these incredible groups They want to work for me, or work with me.
[00:03:44.634 --> 00:03:50.535]  And now, this information coming out, and this open, naked attempt to silence me, has blown up in their face.
[00:03:50.855 --> 00:03:58.496]  So the judge today could rule to put this into a Chapter 7 free speech systems, upon a trustee, and begin to shut it down in the next few days or weeks.
[00:03:58.976 --> 00:04:02.937]  Or he could hand me back the company, they're still going to be attacking at the state level and trying to shut it down.
[00:04:03.577 --> 00:04:07.499]   Regardless, InfoWars is not The operation.
[00:04:07.679 --> 00:04:12.644]  Alex Jones and my crew and my listeners and my viewers and our guest is the operation.
[00:04:13.244 --> 00:04:20.311]  And that's why this is only going to make me stronger and I will never surrender in this information war.
[00:04:20.331 --> 00:04:23.654]  And as Colonel Travis said, victory or death.
[00:04:24.395 --> 00:04:25.056]  We are winning.
[00:04:25.236 --> 00:04:26.056]  The people are winning.
[00:04:26.356 --> 00:04:28.378]  The corporate media is lying.
[00:04:28.778 --> 00:04:31.840]  And I'm shooting this right now for the start of my show today, 11 a.m.
[00:04:31.920 --> 00:04:34.622]  Central, coming up today in just a few minutes.
[00:04:35.183 --> 00:04:39.626]  We're going to have the interview I did yesterday for an hour and 40 minutes with the great Tucker Carlson.
[00:04:40.748 --> 00:04:43.672]  Then another hour-long interview with Russell Brand and more.
[00:04:43.712 --> 00:04:48.077]  Then by then this hearing should be over and I should be back in the fourth hour into the war room today.
[00:04:48.418 --> 00:04:50.360]  But they could shut us down this afternoon.
[00:04:50.841 --> 00:04:51.902]  I want to commend the crew.
[00:04:52.443 --> 00:04:53.604]  I want to commend our listeners.
[00:04:53.885 --> 00:04:55.547]  I want to commend our supporters.
[00:04:55.567 --> 00:04:58.631]  I know there's some congressional hearings coming up on what's been done to me.
[00:04:58.811 --> 00:05:03.211]   and others that came out of the FBI and CIA created these cases, went out and organized
[00:05:03.211 --> 00:05:08.570]   the plaintiffs and ran the whole thing as a State Department, deep state operation against
[00:05:08.570 --> 00:05:12.170]  the American people. And this is all coming out in Congress.
[00:05:12.170 --> 00:05:18.870]   This is a very, very exciting time to be alive. So as we boil here in the Houston heat, the
[00:05:18.870 --> 00:05:24.650]   real heat is being put on the establishment that has the lowest approval rating ever.
[00:05:24.819 --> 00:05:25.320]  Congress.
[00:05:26.200 --> 00:05:27.681]  The phony President Biden.
[00:05:28.141 --> 00:05:30.282]  All of them are the ones that are collapsing.
[00:05:30.522 --> 00:05:32.682]  The American people are rising.
[00:05:33.043 --> 00:05:34.243]  And so, God bless you all.
[00:05:34.263 --> 00:05:36.004]  I want to thank all the viewers and people out there.
[00:05:36.744 --> 00:05:39.826]  They're trying to take real Alex Jones away on X. It's preposterous.
[00:05:40.107 --> 00:05:41.047]  There's no bearing in law.
[00:05:41.288 --> 00:05:44.550]  But it shows it's about silencing me because they want to silence you.
[00:05:44.610 --> 00:05:47.032]  As Trump has said a thousand times, they're not coming after him.
[00:05:47.472 --> 00:05:49.354]  They've got to get through him to get to you.
[00:05:49.614 --> 00:05:50.495]  That's the same thing.
[00:05:51.355 --> 00:05:52.997]  But it's well known on the Internet.
[00:05:53.457 --> 00:05:54.117]  It's a maxim.
[00:05:54.278 --> 00:05:55.398]  The Alex Jones tip jar.
[00:05:55.519 --> 00:05:56.379]  Alex Jones was right.
[00:05:56.860 --> 00:05:58.020]  Alex Jones represents the people.
[00:05:58.301 --> 00:05:59.161]  And that's what this is about.
[00:05:59.562 --> 00:06:07.607]   So, in what is the twilight of Infowars, like the Phoenix, we will come back ten times stronger, just like when Fox Fire Tucker Carlson.
[00:06:07.767 --> 00:06:22.152]  So I want to thank my viewers, listeners, and supporters and salute them all and just remind everybody this is the most critical election in world history and I've been honored to be involved in this fight with you and our greatest days of victory against tyranny and the deep state and the fake corporate media are coming.
[00:06:22.692 --> 00:06:23.692]  This is just the beginning.
[00:06:23.733 --> 00:06:25.733]  God bless and good luck.
[00:06:25.733 --> 00:06:38.733]  [Music]
[00:06:38.733 --> 00:06:40.733]  Let's go ahead and go to Bikini Truther in Nevada.
[00:06:41.259 --> 00:06:41.799]  Thanks for calling.
[00:06:41.839 --> 00:06:42.140]  Go ahead.
[00:06:43.440 --> 00:06:44.040]  Hey, Alex.
[00:06:44.361 --> 00:06:47.822]  I do want to say one thing about Dr. Jones Naturals if I could.
[00:06:48.022 --> 00:06:51.124]  I know it's off topic, but it's super important to me.
[00:06:51.364 --> 00:06:51.624]  Sure.
[00:06:51.924 --> 00:06:56.006]  During COVID, I went there and I got the facial serum.
[00:06:56.486 --> 00:07:02.689]  It's called Super Silver Facial Serum, and I'm telling you that it's changed my life.
[00:07:03.169 --> 00:07:09.137]   My son started taking it, his acne went away, and it's really good for underneath the Absolutely.
[00:07:09.578 --> 00:07:15.257]   that I put on every day and so I just want, I know that you need support and that's one item
[00:07:15.257 --> 00:07:21.337]   that so that we can stay out of World War III to keep you on air is for people to go there and get
[00:07:21.337 --> 00:07:26.538]   Absolutely, this is a patented nano silver way beyond coal silver
[00:07:26.830 --> 00:07:32.352]  It's in the creams, in the face spray, in the toothpaste, in the wound gel, and in the immune gargle.
[00:07:32.512 --> 00:07:34.033]  And it's amazing.
[00:07:34.493 --> 00:07:35.373]  And you're absolutely right.
[00:07:35.473 --> 00:07:38.915]  People that have acne have had incredible results with this.
[00:07:38.935 --> 00:07:40.616]  So I'm very thankful that you liked it.
[00:07:41.036 --> 00:07:44.317]  And I hope you'll continue to support DrJonesNaturals.com because my dad's our big sponsor.
[00:07:44.817 --> 00:07:46.138]  The deep state's coming after him.
[00:07:46.558 --> 00:07:49.139]  And so it's a strategic place to support, plus they're great products.
[00:07:49.479 --> 00:07:50.680]  DrJonesNaturals.com.
[00:07:50.740 --> 00:07:51.500]  Anything else you want to add?
[00:07:52.566 --> 00:07:55.969]  No, just I appreciate you and God bless.
[00:07:56.309 --> 00:07:57.149]  Thank you for your support.
[00:07:57.370 --> 00:08:01.733]  Now please take action by going to DrJonesNaturals.com today and checking out the amazing products.
