[00:00:04.646 --> 00:00:05.011]  What the fuck?
[00:13:07.119 --> 00:13:09.701]  of the so-called families that get caught aren't families.
[00:13:10.301 --> 00:13:14.884]  They're adults smuggling children, in many cases, who've been kidnapped.
[00:13:15.605 --> 00:13:20.128]  Remember, when you fly into the U.S., they check your ID and make sure that your passport is real.
[00:13:21.109 --> 00:13:22.830]  They might ask you 30 seconds of questions.
[00:13:23.531 --> 00:13:25.212]  That's not against the Fourth Amendment.
[00:13:25.292 --> 00:13:26.332]  You're at a national border.
[00:13:28.874 --> 00:13:33.878]  But then, if you just cross illegally, you're loaded on buses and delivered to God knows where.
[00:13:34.881 --> 00:13:37.823]  The sexual assault problem is just terrifying.
[00:13:37.963 --> 00:13:44.928]  I mean, the Doctors Without Borders clinics in Mexico, 30% of the women that come into those clinics have been sexually assaulted.
[00:13:44.988 --> 00:13:45.268]  You said 30%?
[00:13:45.568 --> 00:13:46.369]  Yes.
[00:13:46.749 --> 00:13:48.790]  I mean, that's a devastating number.
[00:13:49.791 --> 00:13:51.432]  We have women report every day.
[00:13:52.052 --> 00:13:58.997]  Last week, we had a woman in Rio Grande Valley report that the smuggler sexually assaulted her on the riverbank as they arrived in the U.S.
[00:13:59.462 --> 00:14:09.511]  And remember, the Senate's own report last year admitted many of the children that came across under Obama ended up in child sex slavery and were being trafficked.
[00:14:10.993 --> 00:14:14.276]  Ladies and gentlemen, this is an incredibly historic time to be alive.
[00:14:15.397 --> 00:14:25.246]  I've been encouraging Trump since last year to declare a national emergency as Commander-in-Chief, and then he can direct the Defense Department money as he sees fit under that emergency.
[00:14:26.348 --> 00:14:30.953]  Instead he declared a law enforcement emergency on funding to work with Congress.
[00:14:30.994 --> 00:14:33.296]  That's not a real national emergency.
[00:14:35.739 --> 00:14:43.989]  Dwight D. Eisenhower in the late 50s declared this emergency when millions were coming in illegally and deported them.
[00:14:45.543 --> 00:14:49.786]  No nation that doesn't control its borders is a nation any longer.
[00:14:50.607 --> 00:14:55.730]  Ladies and gentlemen, again, thank you for joining us on this live May 22, 2019 broadcast.
[00:14:55.750 --> 00:15:11.401]  I wanted to air that special report compilation because one of our investigators, John Bowne, likes to take pieces of the live show and then add articles, documents, and clips of newscasts just to show you that I'm not making up what I'm saying on air.
[00:15:13.393 --> 00:15:22.079]  Now we've got a full plate today, ladies and gentlemen, so full that we're going to have to be judicious and make sure that we get to all this because it's too important.
[00:15:23.740 --> 00:15:33.287]  We have the Democrats really moving to abolish the Electoral College and what that's really going to mean, the tyranny of the majority.
[00:15:34.935 --> 00:15:39.239]  And we'll break down geographic tyranny and why we have the Electoral College.
[00:15:40.279 --> 00:15:44.663]  We also have Democrats going back on the offensive against Trump with all these made-up witch hunts.
[00:15:44.783 --> 00:15:46.144]  Why isn't he going on the offense?
[00:15:47.105 --> 00:15:50.328]  He says he is, but he's paralyzed by the Justice Department.
[00:15:51.228 --> 00:15:52.029]  We have more U.S.
[00:15:52.049 --> 00:15:57.734]  cities collapsing into what even Democrats call medieval-level behavior and diseases.
[00:15:59.155 --> 00:15:59.855]  It's all coming up.
[00:15:59.895 --> 00:16:00.296]  Stay with us.
[00:16:04.355 --> 00:16:08.079]  It's never been easy to figure out the essentials of a new supplement routine.
[00:16:08.300 --> 00:16:14.907]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[00:16:15.167 --> 00:16:21.715]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old info warriors alike.
[00:16:21.895 --> 00:16:24.558]  With the 8-Pack Power Stack, there's no trial and error.
[00:16:24.838 --> 00:16:37.747]  Just take the wake up and work or rest and recover packs each day for quick, easy to use and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge.
[00:16:37.927 --> 00:16:40.249]  Stacks of bottles and complicated routine.
[00:16:40.389 --> 00:16:43.751]  Featuring eight different formulas for a total take on your health and wellness.
[00:16:44.111 --> 00:16:47.453]  You can find what you like and get even more powerful versions in the store.
[00:16:47.834 --> 00:16:53.738]  Head to InfoWarsStore.com and check out 8-Pack Power Snack today and jumpstart your supplement routine.
[00:17:08.158 --> 00:17:11.780]  I personally don't want to hate people from the Middle East.
[00:17:12.960 --> 00:17:15.021]  And I personally don't want to be at war with Muslims.
[00:17:15.961 --> 00:17:19.583]  And I understand there's a larger globalist plan for a clash of civilizations.
[00:17:19.783 --> 00:17:31.187]  But if your daughter gets kicked down a subway stairs by a group of Islamists because they think, you know, that she's a profane, you know, dog creature because she's a Christian or whatever, the police and the media try to cover it up and that's wrong.
[00:17:31.287 --> 00:17:32.548]  And so if a horde of
[00:17:32.668 --> 00:17:34.170]  I understand it's a manipulated collision.
[00:17:34.190 --> 00:17:35.331]  I understand it's a manipulated clash.
[00:17:35.351 --> 00:17:39.034]  But it doesn't change the fact if you're on the receiving end of it and capitulating to it.
[00:17:54.361 --> 00:18:00.984]  And going along and saying, oh, Islam's great, it's a religion of peace, there isn't a class of civilizations happening, only adds to the globalist program.
[00:18:01.505 --> 00:18:20.554]  We must be honest about the cancer that has become Islam in this current permutation, and the fact that the globalism is cancer, and the fact that the left's system is cancer, and the fact that mainline churches that just want to be country clubs have become cancers, and that the 5G, and the GMO, and the big drug companies, knowing they're giving us stuff that kills us and makes us more depressed, they're a cancer too.
[00:18:20.594 --> 00:18:22.235]  There's a lot of damn evil going on here.
[00:18:22.355 --> 00:18:30.036]  So I don't sit here and shake my finger at the Muslims like I'm high and mighty like a Pharisee up here, or a hypocrite, and say, you're the only bad people in the world.
[00:18:30.136 --> 00:18:30.376]  No.
[00:18:30.617 --> 00:18:32.317]  We got a lot of evil going around here.
[00:18:32.337 --> 00:18:40.958]  You'll see examples in the US and in England where they're trying to teach five-year-old boys and girls, boys they're girls and girls they're boys, and trying to teach five-year-olds about anal sex.
[00:18:41.158 --> 00:18:43.779]  And the Muslims come in there and they say, our kids are pulled out of here.
[00:18:43.959 --> 00:18:48.940]  They protest, and then the school stops it or says, Muslims don't have to go, but nobody else will stand for their kids.
[00:18:49.000 --> 00:18:49.940]  So that's the point I'm making.
[00:18:49.960 --> 00:19:07.444]  What we're getting at here is that we've got a lot of evil ideologies here and humanity has really lost touch with what civilization has given us and we are becoming animals in the civilization our ancestors built.
[00:19:08.085 --> 00:19:09.345]  And I don't care where that is.
[00:19:10.461 --> 00:19:14.124]  I don't care if it's in Africa, the Middle East, the United States, Europe, Asia.
[00:19:14.184 --> 00:19:21.050]  You've got people that are becoming disconnected from reality and who are not self-aware, who will do basically anything at any time.
[00:19:21.130 --> 00:19:23.332]  And it's going to create a world meltdown.
[00:19:23.452 --> 00:19:25.013]  It's going to create a societal collapse.
[00:19:25.033 --> 00:19:30.878]  Because if you don't want to work, the systems will basically let you live for free, but you've got to follow their political aim to conquer.
[00:19:30.918 --> 00:19:33.040]  But if you want to be free, you've got to work more, more, more.
[00:19:33.200 --> 00:19:36.363]  But when you hit that point where the globalists finally take over,
[00:19:37.295 --> 00:19:42.098]  They're going to have their own weird right-wing backlash that I think is going to be very, very dangerous as well.
[00:19:42.118 --> 00:19:45.320]  This is a serious time, folks, and we need God more than ever.
[00:20:06.983 --> 00:20:11.564]  You're listening to The Alex Jones Show.
[00:20:15.606 --> 00:20:19.227]  Our worst fears have been confirmed.
[00:20:35.305 --> 00:20:47.308]  The worst analysis of people like G. Edward Griffin, and Congressman Larry McDonald, and Cleon Skousen, and Barry Goldwater.
[00:20:49.709 --> 00:20:56.331]  And Joseph McCarthy turned out to fall short of exactly what we face.
[00:20:58.211 --> 00:21:01.292]  And every time I get ready to go on air, I hate myself.
[00:21:02.540 --> 00:21:14.108]  And I feel like a complete failure because I cannot summon the oratory skills to properly convey to you what we're dealing with.
[00:21:14.288 --> 00:21:19.732]  Now, I know most of you have seen it for yourself and you know, and I bet you have the same feeling I have.
[00:21:21.653 --> 00:21:26.476]  And it's a frustration too, because then I say to myself, am I being a coward?
[00:21:28.118 --> 00:21:29.699]  Because I'm not calling for offensive.
[00:21:31.209 --> 00:21:31.429]  I don't
[00:21:50.990 --> 00:22:04.535]  So many businesses, so many TV stations, so many news stations, so many movies, so many production houses openly saying, attack nationalists, attack Trump supporters, attack white people.
[00:22:06.455 --> 00:22:07.296]  It's insane.
[00:22:08.736 --> 00:22:14.418]  And by the way, the majority of so-called minorities aren't buying into this and are dismayed as well.
[00:22:17.025 --> 00:22:36.159]  But with the captive populations in corporations and in big tech and in the coastal redoubts of the globalists like San Francisco, Los Angeles, New York, more and more people being led by leftist whites are actually adopting
[00:22:38.536 --> 00:22:40.997]  A literal Hitlerian system.
[00:22:41.577 --> 00:22:43.038]  But it's reversed against white people.
[00:22:43.618 --> 00:22:45.058]  It's National Socialism.
[00:22:45.739 --> 00:22:47.399]  It has a global conquest view.
[00:22:49.120 --> 00:22:55.242]  And its ethos is that brown people are inherently good, white people are inherently bad.
[00:22:55.722 --> 00:23:06.546]  And then to add the double think to it, beyond 1984, they run around calling everyone who's promoting classic Americana, classic
[00:23:08.618 --> 00:23:30.487]  Christian ethos of unifying everyone around Christ and around loving each other and around building communities, which historically builds incredible civilization, they point their finger at us and say that we're Nazis when we're the country that beat the Nazis.
[00:23:31.428 --> 00:23:34.349]  And they're the globalists setting up a European Union
[00:23:35.302 --> 00:23:45.748]  Literally envisioned by Adolf A. Louis Hitler and picked up by the globalists after World War II.
[00:23:47.749 --> 00:23:57.114]  Globalism is the system of the British Empire merging with the European elite and the Asian elite for a world government, a trilateral plan, after World War II.
[00:23:57.334 --> 00:24:02.297]  That's its definition in PhD Harvard-level realpolitik.
[00:24:05.779 --> 00:24:10.361]  But they think the public's a bunch of ignorant animals, and so they just say it's made up.
[00:24:10.401 --> 00:24:11.101]  There's no such thing.
[00:24:12.902 --> 00:24:24.887]  Here's an example just today, without even looking for Orwellian parallels, of two articles with complete and total 1984 in your face.
[00:24:26.248 --> 00:24:27.669]  People say, oh, it's an accident.
[00:24:28.029 --> 00:24:28.489]  No, it's not.
[00:24:30.796 --> 00:24:37.877]  When you get to a certain point in authoritarianism, you openly roll it out to crush and overwhelm your opposition and demoralize them.
[00:24:38.217 --> 00:24:39.138]  This is a technique.
[00:24:41.718 --> 00:24:44.439]  It's the opposite of denying what you're doing, gaslighting.
[00:24:44.719 --> 00:24:45.679]  That's been going on forever.
[00:24:46.479 --> 00:24:50.060]  Saying that's not a red fire engine, when anybody can see it's a red fire engine.
[00:24:50.180 --> 00:24:52.800]  Or this coffee cup isn't white when it's white.
[00:24:54.420 --> 00:24:56.941]  And having a group of experts tell you it's not white and you're insane.
[00:24:58.288 --> 00:24:59.009]  That's gaslighting.
[00:24:59.749 --> 00:25:04.733]  But the technique of just overwhelming and throwing it in your face and selling evil is good.
[00:25:05.233 --> 00:25:08.416]  Oh, it's a woman's right to kill babies after they're born.
[00:25:10.237 --> 00:25:21.586]  We were down at the anti-life event in Austin yesterday, Billy Weaver and Caitlin Bennett, and the new thing is kill babies up to age three.
[00:25:22.607 --> 00:25:26.990]  Now, you may have heard me say that for 20 plus years, because that's the plan.
[00:25:27.030 --> 00:25:27.851]  That's the next rollout.
[00:25:28.991 --> 00:25:35.953]  That's Peter Singer, the professor who is the omnibudsman of the new rollout of eugenics.
[00:25:36.753 --> 00:25:38.774]  We're going to have all that footage never before seen.
[00:25:38.794 --> 00:25:44.795]  A few clips have already been put out on Millie Weaver's Twitter, but when she comes on in the third hour, we're having to bleep it out and things right now.
[00:25:44.835 --> 00:25:46.876]  There's cussing every few seconds, obviously.
[00:25:48.176 --> 00:25:49.297]  Follow the cussing ball.
[00:25:49.357 --> 00:25:50.377]  Beep, beep, beep, beep, beep.
[00:25:50.657 --> 00:25:53.078]  But you're going to hear, we're going to kill babies up to age three.
[00:25:53.738 --> 00:25:54.538]  That's the new mantra.
[00:25:55.798 --> 00:25:57.299]  Now here's the two new Orwellian pieces.
[00:25:58.755 --> 00:25:59.536]  New York Times.
[00:25:59.596 --> 00:26:00.256]  This is a quote.
[00:26:00.837 --> 00:26:03.419]  Pregnancy kills, abortion saves lives.
[00:26:04.681 --> 00:26:10.466]  It's a wonder humans were able to survive for millennia before life-saving abortions were invented.
[00:26:11.507 --> 00:26:12.048]  Here's another one.
[00:26:12.949 --> 00:26:18.374]  European Commission unwittingly echoes 1984 slogan in controversial tweet.
[00:26:19.575 --> 00:26:20.296]  What did they say?
[00:26:21.917 --> 00:26:22.598]  What did they say?
[00:26:24.534 --> 00:26:25.634]  The EU is peace.
[00:26:26.155 --> 00:26:27.155]  The EU is freedom.
[00:26:27.755 --> 00:26:28.935]  The EU is solidarity.
[00:26:29.356 --> 00:26:30.356]  The EU is diversity.
[00:26:30.716 --> 00:26:31.616]  The EU is human rights.
[00:26:31.656 --> 00:26:33.237]  The EU is opportunities.
[00:26:33.397 --> 00:26:33.657]  Vote!
[00:26:34.937 --> 00:26:36.098]  Or is peace freedom of slavery?
[00:26:36.698 --> 00:26:42.159]  This is all throwing it in your face.
[00:26:42.280 --> 00:26:42.960]  That's the goal.
[00:26:43.680 --> 00:26:44.400]  That's the plan.
[00:26:45.300 --> 00:26:47.561]  That is the operation.
[00:26:48.621 --> 00:26:49.942]  And that's what they're doing.
[00:26:50.993 --> 00:27:00.781]  Now, there's too much to cover for me to tell you what's coming up next segment, but I'm going to get into what the end of the Electoral College means and why the globalists want to break it.
[00:27:01.181 --> 00:27:04.944]  Because if you break it, you break the country and it's over.
[00:27:05.765 --> 00:27:06.706]  At least politically.
[00:27:07.526 --> 00:27:12.190]  It will turn into a violent civil war in the next decade or maybe sooner.
[00:27:12.210 --> 00:27:16.674]  We'll also look at bizarre behavior by Anderson Cooper
[00:27:17.955 --> 00:27:25.801]  I've told everybody that behind the scenes, these Vanderbilts, these Rockefellers, these Rothschilds literally make demonic faces.
[00:27:27.486 --> 00:27:32.470]  Behind closed doors, at their events, they don't have their calm demeanor.
[00:27:32.770 --> 00:27:35.873]  They have completely different faces, like Dr. Jekyll and Mr. Hyde.
[00:27:36.273 --> 00:27:41.337]  More and more, they're manifesting, like Peter Strzok did in the testimony.
[00:27:41.777 --> 00:27:44.519]  That's all coming up in the last segment of this hour.
[00:27:44.920 --> 00:27:50.904]  Lord Monckton's also joining us next hour on the latest in the huge EU elections that have the globalists so scared.
[00:27:52.105 --> 00:27:53.667]  That said, please remember.
[00:27:54.670 --> 00:28:00.014]  Just like our information is game-changing and powerful, and as good as we can get.
[00:28:00.074 --> 00:28:02.736]  We make mistakes, but boy, we're trying to give you the right info.
[00:28:03.317 --> 00:28:04.878]  Unlike CNN trying to lie to you.
[00:28:06.579 --> 00:28:08.240]  98% accurate, they're 95% lies.
[00:28:09.261 --> 00:28:10.222]  Our products are the best.
