[00:00:20.168 --> 00:00:22.730]  May 31st, 2019.
[00:05:18.823 --> 00:05:21.205]  If that ever happens to you, say no.
[00:05:21.705 --> 00:05:21.945]  No!
[00:05:22.246 --> 00:05:22.866]  Then go!
[00:05:23.186 --> 00:05:23.527]  No!
[00:05:24.007 --> 00:05:25.348]  And tell someone you trust!
[00:05:25.888 --> 00:05:26.229]  Tell!
[00:05:26.529 --> 00:05:27.329]  Say no!
[00:05:28.430 --> 00:05:28.991]  Then go!
[00:05:29.471 --> 00:05:30.272]  And tell!
[00:05:30.452 --> 00:05:33.254]  A message from the American Medical Association.
[00:05:33.274 --> 00:05:34.615]  I'll bet you're as bright as you're gonna be.
[00:05:35.745 --> 00:05:36.906]  What's your favorite subject?
[00:05:38.727 --> 00:05:39.368]  Journalism.
[00:05:39.468 --> 00:05:39.988]  Journalism?
[00:05:40.328 --> 00:05:40.648]  Whoa!
[00:05:41.669 --> 00:05:43.731]  Whoa, I better be more circumspect in my answer.
[00:05:43.751 --> 00:05:47.153]  Those guys back there.
[00:05:50.155 --> 00:05:53.537]  Go ahead, the next question.
[00:05:53.578 --> 00:05:55.379]  And by the way, that's one of the things that's a dangerous idea.
[00:05:55.699 --> 00:05:58.041]  You know, as these guys will tell you, I'm not always their favorite subject.
[00:05:58.281 --> 00:06:01.623]  But the truth of the matter is, the reason we are who we are is called a free press.
[00:06:01.663 --> 00:06:02.564]  Continued as denizens.
[00:06:05.686 --> 00:06:11.648]  Out of Silicon Valley, Facebook has banned a number of prominent conspiracy theorists and alt-right figures.
[00:06:11.688 --> 00:06:15.289]  Facebook is purging several high-profile names from its platform.
[00:06:15.329 --> 00:06:19.290]  This may be one of the biggest and most impactful decisions Facebook has ever made.
[00:06:19.410 --> 00:06:22.410]  Facebook taking steps to enforce its hate speech policies.
[00:06:22.530 --> 00:06:29.632]  Alex Jones, Milo Yiannopoulos, Paul Joseph Watson, Louis Farrakhan, Laura Loomer, all of them were designated dangerous.
[00:06:29.752 --> 00:06:30.272]  Dangerous.
[00:06:30.313 --> 00:06:30.853]  Dangerous.
[00:06:30.893 --> 00:06:31.373]  Dangerous.
[00:06:31.413 --> 00:06:31.973]  Dangerous.
[00:06:32.573 --> 00:06:33.694]  Dangerous individuals.
[00:06:33.714 --> 00:06:34.834]  Dangerous individuals.
[00:06:34.914 --> 00:06:37.536]  Dangerous individuals and organizations.
[00:06:37.576 --> 00:06:40.217]  Basically they've deemed these individuals to be dangerous.
[00:06:41.978 --> 00:06:43.018]  They call me dangerous.
[00:06:43.138 --> 00:06:44.539]  Danger is my middle name.
[00:06:44.739 --> 00:06:46.620]  Dangerous like hurting other people?
[00:06:46.820 --> 00:06:50.062]  Or dangerous as in saying things that Mark Zuckerberg doesn't like?
[00:06:50.182 --> 00:06:54.784]  This is about the total rollout for complete and total censorship.
[00:06:54.864 --> 00:06:56.345]  How dangerous is InfoWars?
[00:06:56.545 --> 00:07:01.067]  What is the difference at this point between Trump's Twitter feed and InfoWars.com?
[00:07:01.127 --> 00:07:03.668]  InfoWars tells viewers that the world is out to get them.
[00:07:03.849 --> 00:07:05.749]  None of this seems to repel President Trump.
[00:07:05.870 --> 00:07:08.091]  InfoWars content is useful to him.
[00:07:08.611 --> 00:07:10.932]  InfoWars personalities align with him.
[00:07:11.052 --> 00:07:12.072]  I want them shut down.
[00:07:12.133 --> 00:07:13.053]  I want them silenced.
[00:07:13.093 --> 00:07:13.793]  I want them muted.
[00:07:13.813 --> 00:07:15.754]  I think they are horrible for our society.
[00:07:15.934 --> 00:07:17.175]  I want them shut down!
[00:07:17.615 --> 00:07:18.776]  I want them silenced!
[00:07:18.856 --> 00:07:19.637]  I want them muted!
[00:07:19.737 --> 00:07:23.020]  Because these corporations are controlled by a liberal few.
[00:07:24.822 --> 00:07:33.889]  We're very focused on making sure that our recommendations and discovery surfaces aren't highlighting groups where people are repeatedly sharing misinformation or harmful content.
[00:07:33.909 --> 00:07:42.617]  And we're working hard to completely remove groups if they exist, primarily to violate our policies or do things that are dangerous.
[00:07:42.677 --> 00:07:43.438]  Screw your rules.
[00:07:43.678 --> 00:07:46.940]  Your rules go against our values, and they are patently un-American.
[00:07:47.060 --> 00:07:49.602]  Mark Zuckerberg is not simply censoring opinions.
[00:07:50.122 --> 00:07:54.105]  He's prescribing which political opinions you're allowed to have.
[00:07:54.325 --> 00:07:56.747]  We need a digital Bill of Rights.
[00:07:56.867 --> 00:08:00.529]  They're becoming the public square, and they control how we interact with each other.
[00:08:00.750 --> 00:08:07.835]  And if you think that you are going to throw up your hands and say, well, they're private companies, you are absolutely insane, and you are part of the problem.
[00:08:07.975 --> 00:08:09.095]  You are a bad person.
[00:08:09.135 --> 00:08:10.496]  You should be censored off the internet.
[00:08:10.536 --> 00:08:11.097]  Bad, yes.
[00:08:11.557 --> 00:08:12.698]  Get out of here, Alex!
[00:08:12.959 --> 00:08:17.364]  InfoWars might have been banned from Twitter, but it seems to have found a new home over at Trump's Twitter feed.
[00:08:17.464 --> 00:08:26.314]  President Trump's furious reaction to Facebook's action showcases that he is, I'm sorry to say, the InfoWars president.
[00:08:26.594 --> 00:08:30.739]  InfoWars, the most banned network in the world.
[00:08:32.180 --> 00:08:33.682]  How dangerous is InfoWars?
[00:08:35.959 --> 00:08:37.540]  How dangerous is America?
[00:08:37.580 --> 00:08:38.821]  How dangerous is freedom?
[00:08:39.522 --> 00:08:41.123]  How dangerous is free speech?
[00:08:41.183 --> 00:08:43.364]  Well, it's dangerous to tyrants.
[00:08:44.605 --> 00:09:01.117]  Yeah, they say that Waylon Jennings, Willie Nelson, Chris Christopherson, and Johnny Cash were outlaw country music because they bucked Nashville.
[00:09:01.197 --> 00:09:02.658]  Why, they claim rock stars.
[00:09:04.568 --> 00:09:08.990]  Outlaw, because they got pyrotechnics at their concerts.
[00:09:10.611 --> 00:09:28.038]  But how outlaw is it when all you're doing is supporting your country, your republic, your freedoms against classical tyranny, and then in your own land, you're hunted, you're lied about, you're assaulted, you're demonized.
[00:09:28.238 --> 00:09:28.978]  I'm not a victim.
[00:09:29.898 --> 00:09:33.400]  I'm a target because I'm effective just like all of you are out there.
[00:09:34.861 --> 00:09:39.022]  And we're not laying down without a fight with the globalists.
[00:09:39.882 --> 00:09:43.303]  We're taking it to them with everything we've got.
[00:09:45.483 --> 00:09:46.724]  Let me tell you what's coming up today.
[00:09:50.604 --> 00:09:54.865]  A bunch of really important clips and yesterday's clips that I didn't get to.
[00:09:54.885 --> 00:09:57.926]  And then the huge news.
[00:10:00.353 --> 00:10:10.321]  Dealing with the collapse of blue cities, not just here, but all over the world, leftist and communist cities are descending into nightmare hell pits.
[00:10:12.062 --> 00:10:20.089]  And it's reaching crisis proportion on the fetid, leftist-controlled West Coast.
[00:10:22.331 --> 00:10:28.736]  Separately, even liberal publications are reporting exactly what we broke six years ago.
[00:10:30.353 --> 00:10:30.893]  BuzzFeed!
[00:10:32.054 --> 00:10:32.374]  U.S.
[00:10:32.454 --> 00:10:40.218]  universities and retirees are funding the technology behind China's surveillance state.
[00:10:41.599 --> 00:10:51.083]  What did I tell Sundar Pichai, the head of Google, six months ago to his face in Congress?
[00:10:51.544 --> 00:10:54.185]  In hearings, talking about me, lying about me.
[00:10:55.854 --> 00:10:56.854]  I didn't get to be in the hearing.
[00:10:57.275 --> 00:10:59.176]  I didn't get to... I've sat in the hearing.
[00:10:59.216 --> 00:11:00.236]  I didn't get to be questioned.
[00:11:00.456 --> 00:11:01.317]  I didn't get to respond.
[00:11:01.377 --> 00:11:02.217]  I just got lied about.
[00:11:02.817 --> 00:11:04.658]  They've never done that in Congress until now.
[00:11:06.459 --> 00:11:14.183]  And I said, you're working with China, not just on Dragonfly, but other systems of surveillance and control, and you're exporting it back to the U.S.
[00:11:15.243 --> 00:11:16.624]  That, of course, was already known then.
[00:11:16.824 --> 00:11:18.205]  Now it's all confirmed.
[00:11:19.345 --> 00:11:20.145]  That's a huge story.
[00:11:20.426 --> 00:11:23.107]  Then you've got all the leftist brainwashing.
[00:11:24.821 --> 00:11:27.022]  That's going on at lightning speed.
[00:11:29.724 --> 00:11:41.012]  If you look at what they did in Zimbabwe and South Africa, they would have reconciliation commissions where whites had to come in and say that they were bad people.
[00:11:42.553 --> 00:11:45.335]  Well, now that's being set up on universities here.
[00:11:47.636 --> 00:11:51.839]  And it's being exported into corporations and into government.
[00:11:52.932 --> 00:11:59.834]  Where you go into the meetings and you're told you're a horrible person and you agree that you're a horrible person.
[00:11:59.854 --> 00:12:10.057]  And that's why you see Joe Biden and Eric Swallowswell and Beto O'Rourke saying it's bad to be white.
[00:12:10.697 --> 00:12:12.157]  I apologize for being white.
[00:12:12.638 --> 00:12:13.458]  I'm a bad person.
[00:12:14.018 --> 00:12:15.218]  That's all coming up at the bottom of the hour.
[00:12:15.238 --> 00:12:17.299]  We're going to play some of those clips and then get into this.
[00:12:19.147 --> 00:12:24.469]  Group invites white women to voluntarily attend race-shaming dinners.
[00:12:25.989 --> 00:12:28.850]  That's up on newswars.com.
[00:12:32.191 --> 00:12:34.292]  Wrong on so many fronts.
[00:12:34.372 --> 00:12:38.733]  This is creating race war, creating division, creating mental illness.
[00:12:40.094 --> 00:12:46.576]  And where these leftist brainwashed universities, no matter what color they are, they can only identify with things through color.
[00:12:47.355 --> 00:12:51.358]  And so, we not grow yucca in New York?
[00:12:51.398 --> 00:12:52.899]  That's not how Cortez used to talk.
[00:12:53.199 --> 00:12:57.683]  But whenever she's talking to a group of black folks, she puts on a weird urban accent.
[00:12:59.424 --> 00:13:06.209]  And then when she's in front of a group of Hispanics, she starts going, like Rick Perry does when he speaks to a Hispanic Chamber of Commerce.
[00:13:06.690 --> 00:13:07.931]  He stops talking like Rick Perry.
[00:13:07.951 --> 00:13:09.872]  He starts going, how you do?
[00:13:12.074 --> 00:13:13.095]  Very condescending.
[00:13:14.315 --> 00:13:15.817]  But that's what leftists do, especially.
[00:13:16.564 --> 00:13:17.284]  They're famous for it.
[00:13:17.384 --> 00:13:17.945]  Remember Hillary?
[00:13:18.225 --> 00:13:22.227]  Gets up in front of people in Kentucky and she goes, how you doing today?
[00:13:22.527 --> 00:13:27.449]  Talking like granny about possum getting cooked up in the oven.
[00:13:28.050 --> 00:13:29.110]  Possum pie!
[00:13:31.171 --> 00:13:41.116]  And people thought it was satire when her defender went on Fox News and said, no, not only is cauliflower evil, corn is bad because it comes from Europe.
[00:13:42.352 --> 00:13:44.574]  Doesn't come from Europe, but so what if it did?
[00:13:44.694 --> 00:13:52.420]  This is the territorializing of everything by the left, where they're staking everything out and calling it racist.
[00:13:54.802 --> 00:14:01.248]  Martin Luther King is being removed all over the United States ecologists, because he wasn't leftist enough.
[00:14:04.076 --> 00:14:04.496]  You understand?
[00:14:04.736 --> 00:14:05.677]  He's the old face.
[00:14:06.197 --> 00:14:20.004]  So all the old FBI stuff's now being trotted out with no evidence against King because King's now going to be incinerated and removed because he said don't judge people by what color they are but how they live and what they do and what they produce.
[00:14:20.484 --> 00:14:21.585]  Judge a tree by its fruits.
[00:14:22.085 --> 00:14:24.687]  He wasn't the first person to say 2 plus 2 equals 4.
[00:14:24.967 --> 00:14:26.327]  We're going to get into all of that.
[00:14:29.889 --> 00:14:31.050]  But the first thing we're going to hit
[00:14:32.284 --> 00:14:41.271]  When we come back, is medieval diseases are infecting California's homeless, now spreading to local citizens, school children, and police officers.
[00:14:42.592 --> 00:14:49.037]  California, the land of infectious disease, and it's not because of people being under vaccinated.
[00:14:49.578 --> 00:14:53.180]  It's the folks that have been vaccinated, the studies show, that are actually getting the sickest.
[00:14:53.240 --> 00:14:55.002]  Yeah, it removes your immune system.
[00:14:57.691 --> 00:15:00.452]  Dr. Drew says LA Public Health is a complete breakdown.
[00:15:00.492 --> 00:15:02.093]  No city on earth tolerates this.
[00:15:04.413 --> 00:15:07.435]  LAPD employee contracts typhoid.
[00:15:09.155 --> 00:15:10.536]  And it just gets worse.
[00:15:10.656 --> 00:15:11.756]  Seattle is dying.
[00:15:12.316 --> 00:15:13.257]  Portland is dying.
[00:15:13.337 --> 00:15:16.198]  And the left is celebrating.
[00:15:16.218 --> 00:15:22.260]  I can play newscast where they celebrate men with jobs pooping on the street.
[00:15:22.540 --> 00:15:25.161]  And they've got liberal women going, it's Portland, do it!
[00:15:26.246 --> 00:15:28.328]  This is the mental illness.
[00:15:28.809 --> 00:15:30.290]  This is the demonic horde.
[00:15:30.711 --> 00:15:34.495]  You go to a leptis event, this is who they are.
[00:15:38.059 --> 00:15:39.761]  It's all coming up, ladies and gentlemen.
[00:15:39.801 --> 00:15:42.143]  We must expose it to stop it.
[00:15:43.345 --> 00:15:46.108]  Trump's upcoming trip to the UK and so much more.
[00:15:46.128 --> 00:15:46.168]  Oh!
[00:15:48.151 --> 00:15:50.012]  Jerry Kushner at the Bilderberg meeting.
[00:15:50.092 --> 00:15:51.213]  What's my take on that?
[00:15:51.673 --> 00:15:55.095]  Last segment of the hour, I'm going to detail my view on it and so much more.
[00:15:55.115 --> 00:15:58.537]  Whatever you do, tell whoever you're around how they can tune in.
[00:15:58.617 --> 00:16:01.479]  Your word of mouth is absolutely critical to winning this war.
[00:16:02.479 --> 00:16:02.799]  Fully.
[00:16:03.340 --> 00:16:11.504]  Ladies and gentlemen, we are only here because you support us and I thank you and I appreciate you and I salute you.
[00:16:12.485 --> 00:16:13.906]  In honor of Memorial Day, we are
[00:16:15.313 --> 00:16:27.223]  Launching game-changing specials and unveiling a brand new system for the total health and performance that has been in design and research and development for over a year.
[00:16:28.004 --> 00:16:30.846]  It's called the 8-Pack Power Stack.
[00:16:31.847 --> 00:16:35.148]  It's 50% off out of the gates.
[00:16:35.168 --> 00:16:35.148]  $59.95.
[00:16:35.608 --> 00:16:38.069]  No one can top the 8-pack Power Stack.
[00:16:38.449 --> 00:16:39.049]  Daily Care.
[00:16:39.369 --> 00:16:39.729]  No one.
[00:16:39.769 --> 00:16:42.390]  There's nothing better for total, complete everything.
[00:16:42.730 --> 00:16:43.390]  It's incredible.
[00:16:43.610 --> 00:16:46.391]  It's 50% off out of the gates and a bunch of other specials.
[00:16:46.891 --> 00:16:52.732]  Commit today to tell folks about InfoWars.com forward slash show and commit to get some great products.
[00:16:53.052 --> 00:16:56.713]  Coffee, non-zuma heirloom seeds, water filtration, air filtration.
[00:16:57.013 --> 00:16:58.294]  InfoWarsStore.com.
[00:16:58.534 --> 00:16:59.534]  Tomorrow's news today.
[00:17:04.275 --> 00:17:07.996]  It's never been easy to figure out the essentials of a new supplement routine.
[00:17:08.236 --> 00:17:14.818]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[00:17:15.078 --> 00:17:21.620]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old info warriors alike.
[00:17:21.820 --> 00:17:28.142]  With the 8-Pack Power Stack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
[00:17:28.522 --> 00:17:37.664]  Just take the wake up and work or rest and recover packs each day for quick, easy to use and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge.
[00:17:37.844 --> 00:17:40.164]  Stacks of bottles and complicated routine.
[00:17:40.304 --> 00:17:43.665]  Featuring eight different formulas for a total take on your health and wellness.
[00:17:44.025 --> 00:17:47.366]  You can find what you like and get even more powerful versions in the store.
[00:17:47.746 --> 00:17:53.647]  Head to InfoWarsStore.com and check out 8-Pack Power Snack today and jumpstart your supplement routine.
[00:18:04.002 --> 00:18:10.650]  What you have witnessed is the biggest development in free speech in the Western world's history.
[00:18:11.390 --> 00:18:15.175]  This is a digital, AI-enforced gag order.
[00:18:15.675 --> 00:18:19.259]  Not to say the name Alex Jones or InfoWars.com.
[00:18:25.051 --> 00:18:26.692]  This is Nazi Germany level.
[00:18:26.752 --> 00:18:27.693]  This is racketeering.
[00:18:27.973 --> 00:18:28.794]  This is cartels.
[00:18:29.094 --> 00:18:31.175]  Mr. President, we need your help.
[00:18:31.515 --> 00:18:32.876]  We need it now.
[00:18:33.377 --> 00:18:34.637]  You can take on Big Tech.
[00:18:35.078 --> 00:18:43.463]  They saw Infowars as a dominant, independent, anti-war, pro-human, pro-sovereign, pro-family, populist organization.
[00:18:44.024 --> 00:18:46.305]  So they thought, first they come for Alex Jones.
[00:18:47.026 --> 00:18:51.829]  Then, when people say, okay, take him off the air, everyone else, like Domino's, would fall.
[00:18:52.069 --> 00:18:52.930]  The way to fight back
[00:18:53.570 --> 00:18:58.312]  It's to support InfoWars now more than ever and make it a standard of freedom and free speech.
[00:18:58.392 --> 00:19:02.193]  Understand that they believe they can take us down, they'll take everybody else down.
[00:19:02.813 --> 00:19:04.414]  They've not shut down our speech!
[00:19:04.674 --> 00:19:09.936]  We're at InfoWars.com and NewsWars.com and we're defeating the leftist tyrants!
[00:19:10.176 --> 00:19:17.099]  I got mobbed on the streets by fans, but almost all of them said, we used to love you on air, it was so good to see you on the iTunes or on YouTube.
[00:19:17.659 --> 00:19:18.479]  Are you coming back?
[00:19:18.999 --> 00:19:20.140]  We're at InfoWars.com.
[00:19:20.760 --> 00:19:22.081]  We're at Newshorse.com.
[00:19:22.121 --> 00:19:24.322]  Paul Watson's launched his own Summit.news.
[00:19:24.342 --> 00:19:26.083]  We have our own videos, we have our own articles.
[00:19:26.363 --> 00:19:30.886]  They're trying to destroy us, but thanks to you and others having us on, InfoWars are still chugging along.
[00:19:31.106 --> 00:19:33.348]  So we're there, folks, tomorrow's news, today.
[00:19:33.368 --> 00:19:35.189]  InfoWars!
[00:19:36.630 --> 00:19:38.231]  Don't tell me!
[00:19:38.271 --> 00:19:38.371]  Woo!
[00:19:39.702 --> 00:19:42.704]  InfoWars.com, because that's a bunch of people out here.
[00:19:42.784 --> 00:19:43.885]  I'm talking about InfoWars.com.
[00:19:44.305 --> 00:19:46.907]  I'm at InfoWars.com and NewsWars.com.
[00:19:47.047 --> 00:19:49.208]  We knew this censorship was coming forever.
[00:19:49.248 --> 00:19:52.750]  We have our own video streams, our own audio streams, and it's all free to air.
[00:19:52.770 --> 00:19:55.412]  Anybody can use it, re-upload it, do whatever you want.
[00:19:55.492 --> 00:19:57.754]  People go to InfoWars.com and NewsWars.com.
[00:19:57.794 --> 00:19:58.554]  That's where they find it.
[00:19:58.894 --> 00:20:00.095]  You know, there's things called websites.
[00:20:00.615 --> 00:20:01.176]  Let's go there.
[00:20:06.532 --> 00:20:09.274]  You're listening to The Alex Jones Show.
[00:20:18.280 --> 00:20:22.643]  You walk into this room at your own risk, because it leads to the future.
[00:20:23.404 --> 00:20:25.705]  Not a future that will be, but one that might be.
[00:20:26.866 --> 00:20:27.967]  This is not a new world.
[00:20:29.107 --> 00:20:32.410]  It is simply an extension of what began in the old one.
[00:20:33.487 --> 00:20:40.992]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:20:41.933 --> 00:20:48.858]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[00:20:49.979 --> 00:20:54.602]  But like every one of the super states that preceded it, it has one iron rule.
[00:20:55.703 --> 00:20:57.945]  Logic is an enemy and truth is a menace.
[00:21:03.422 --> 00:21:05.123]  This is Mr. Romney Wordsworth.
[00:21:06.023 --> 00:21:11.685]  In his last 48 hours on Earth, he's a citizen of the state, but will soon have to be eliminated.
[00:21:12.685 --> 00:21:16.247]  Because he's built out of flesh, and because he has a mind.
[00:21:17.447 --> 00:21:22.129]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[00:21:42.992 --> 00:21:44.214]  Welcome back, ladies and gentlemen.
[00:21:44.335 --> 00:21:45.777]  I am your host, Alex Jones.
[00:21:45.837 --> 00:21:47.581]  This is the InfoWar.
[00:21:49.107 --> 00:22:02.275]  We couldn't do it without you, the viewers and listeners, station managers and owners, and this incredible crew that stands in defiance of the globalist censorship and tyranny, and stands between the globalists and all of us.
[00:22:02.835 --> 00:22:12.321]  This crew, this audience, this operation, our transmission, is dead on, vaporizing the enemy with truth, and they can't stand it.
[00:22:13.121 --> 00:22:30.012]  This transmission is a wartime broadcast, organically produced by the people of the United States and Texas, in direct resistance against the global government, corporate, post-human dehumanization, silicon, AI, world government takeover, technocracy.
[00:22:30.352 --> 00:22:31.133]  That's in their words.
[00:22:31.493 --> 00:22:34.075]  We are countering them, ladies and gentlemen.
[00:22:35.822 --> 00:22:43.508]  It's in the WikiLeaks, it's in their own statements, it's in CIA declassifications, a Ford Foundation leftist inside the CIA, not the whole CIA.
[00:22:44.509 --> 00:22:45.550]  That's critical to understand.
[00:22:47.692 --> 00:23:04.686]  That they want to dehumanize, they want to make you desperate, they want to break up your family, they want to have ugly architecture, they want to destroy language, they want to destroy communication, because an informed, upwardly mobile population stands in the way of the globalists.
[00:23:06.880 --> 00:23:15.027]  I went and saw Godzilla last night, and for a cheesy Godzilla movie, it's the best Godzilla movie I ever saw.
[00:23:16.027 --> 00:23:19.070]  Spoiler alert, because of the plot.
[00:23:20.911 --> 00:23:22.793]  Endgame, blueprint for global enslavement.
[00:23:22.893 --> 00:23:24.014]  That's what you're going to be watching.
[00:23:26.636 --> 00:23:33.702]  Environmental terrorist, 12 monkeys type, want to release
[00:23:35.618 --> 00:23:40.162]  These dormant titans to destroy humans and save the Earth.
[00:23:43.824 --> 00:23:44.345]  It's incredible.
[00:23:45.466 --> 00:24:00.277]  And the environmental terrorists want to release radiation that'll kill humans, but they believe re-green the Earth, which is something that modern leftists now say, oh, we didn't like nuclear power before, but now we're for it because it'll kill humans.
[00:24:01.238 --> 00:24:04.340]  That's main line top leftists.
[00:24:07.955 --> 00:24:29.152]  So when you go see this, ladies and gentlemen, you are literally being prepared and programmed for mass bioweapon plagues, collapse of civilization, you name it, and that you deserve it, and it's the right thing to do, because there was an ancient Atlantean civilization that was also destroyed because it got out of balance.
[00:24:34.356 --> 00:24:36.198]  And so aliens attacked the Earth,
[00:24:37.674 --> 00:24:38.875]  To wipe out humanity.
[00:24:40.116 --> 00:24:45.921]  But then Godzilla, this archetype of the Earth, of the Earth Spirit, stood up and resisted it.
[00:24:46.482 --> 00:24:50.025]  But Godzilla might have to come back and kill the humans, they tell you at the end of the movie.
[00:24:53.087 --> 00:24:55.109]  Now, why is this in all the movies?
[00:24:55.289 --> 00:24:59.172]  This is when you see Endgame, but still for free on YouTube.
[00:24:59.192 --> 00:25:03.116]  They haven't taken it down off a fan channel we let post it years ago, 12 years ago.
