[00:00:12.290 --> 00:00:17.234]  Crashing through the lies and disinformation, it's Alex Jones.
[00:06:22.829 --> 00:06:27.512]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:41.284 --> 00:06:49.906]  Ladies and gentlemen, we're broadcasting worldwide on this Sunday, July 14th, 2019, global transmission.
[00:06:51.166 --> 00:06:56.728]  Infowars.com and Newswars.com are the number one censored websites in the world.
[00:06:57.148 --> 00:07:03.089]  With Facebook last week officially calling for their 2.4 billion members to engage in violent attacks.
[00:07:03.510 --> 00:07:08.771]  They said it does not violate our terms of service to organize Alex Jones and Paul Joseph Watson's murder.
[00:07:09.451 --> 00:07:13.013]  It became national news and Facebook said, oh, that's a typo.
[00:07:13.434 --> 00:07:16.135]  No, it was very, very clear that this is a test.
[00:07:16.996 --> 00:07:23.781]  Antifa across the country took down American flags and ran up Mexican flags at different facilities.
[00:07:23.801 --> 00:07:28.404]  We'll be naming and giving you details of with our articles at newswars.com next segment.
[00:07:29.624 --> 00:07:39.191]  And we will also be getting into all of those Facebook announcements and how they're calling for terror attacks against myself, Paul Watson, and saying you're authorized to promote up to their death.
[00:07:40.011 --> 00:07:41.392]  So murder is their game.
[00:07:42.612 --> 00:07:51.156]  You also have a facility in Washington State that was firebombed.
[00:07:51.276 --> 00:07:52.276]  The building was firebombed.
[00:07:52.417 --> 00:07:53.757]  Cars were firebombed.
[00:07:54.357 --> 00:08:00.180]  And terrorists who firebombed ICE facility wrote a manifesto, I am Antifa.
[00:08:00.680 --> 00:08:02.241]  He was a member of the redneck
[00:08:03.163 --> 00:08:12.607]  Revolt, a group that's already had some of their leaders arrested for going to Trump supporters' homes and threatening their small children with firearms.
[00:08:13.608 --> 00:08:14.088]  That's right.
[00:08:14.468 --> 00:08:15.848]  Well, he was a big member of that.
[00:08:15.868 --> 00:08:20.150]  We have all the videos of him at their events up on InfoWars.com.
[00:08:20.771 --> 00:08:26.073]  Terrorists who firebombed ICE facility wrote in manifesto, I am Antifa, said attack was
[00:08:27.256 --> 00:08:30.937]  Motivated by his opposition to concentration camps.
[00:08:30.977 --> 00:08:33.858]  That's an article on Infowars.com and Newswars.com.
[00:08:34.498 --> 00:08:41.200]  As of today, the governor of the state is saying that it was a Trump supporter trying to burn up the illegal aliens.
[00:08:42.861 --> 00:08:45.062]  That is now all being announced.
[00:08:45.082 --> 00:08:55.365]  But if you go to the Infowars.com article, you can scroll down, you just click on these HD photos from their own Facebook
[00:08:56.656 --> 00:09:07.243]  And on their own Facebook, they have the man that was shot dead trying to kill police, shooting at them after he was trying to burn down the ICE facility and successfully burned up some of the vehicles.
[00:09:10.085 --> 00:09:18.071]  So, ladies and gentlemen, that is the point that we have reached here in this society and this culture.
[00:09:22.046 --> 00:09:32.915]  And that is what the system is pushing and trying to conjure, is an outright explosion of society and a revolution in the streets.
[00:09:34.196 --> 00:09:45.906]  Almost every Netflix show has black people being oppressed in the future, in the past, in the current, and illegal aliens revolting, and the white people being devils, and communists rising up and killing them.
[00:09:47.093 --> 00:09:49.755]  And there are a lot of mentally ill, weak-minded people.
[00:09:49.935 --> 00:09:59.302]  But if you're a TV viewer, you can see in the photo right there, the Antifa bomber was a member of the Puget Sound JBGC.
[00:10:00.723 --> 00:10:04.926]  And you can read right there, they were also, again, part of the John Brown Gun Club.
[00:10:05.507 --> 00:10:06.648]  John Brown, famously.
[00:10:07.964 --> 00:10:10.165]  Went around shooting and killing people.
[00:10:11.165 --> 00:10:13.026]  And so that is part of that fan club.
[00:10:13.146 --> 00:10:27.513]  They have been coming out to Trump events all over the country, threatening to blow people's heads off, including Owen Schroer on the streets of Austin, trying to simply go to a vigil for a woman shot and killed by an illegal alien in the back.
[00:10:28.173 --> 00:10:29.333]  They would not let him out of the park.
[00:10:29.373 --> 00:10:36.937]  The Austin police let them brandish AK-47s and threatened to kill Owen, part of the John Brown Gun Club.
[00:10:37.757 --> 00:10:44.311]  Of course, the John Brown fan club and gun club is also something of the new Black Panther Party supports.
[00:10:44.752 --> 00:10:48.179]  They go around saying, oink, oink, bang, bang, kill the police.
[00:10:49.497 --> 00:11:00.420]  And our own Owen Schroyer again went out to the illegal alien sanctuary city events that took place Saturday here in Austin and cities all over the country.
[00:11:00.440 --> 00:11:09.943]  And people were wearing shirts saying smash fascism, showing Antifa punching ICE officers in the face.
[00:11:11.161 --> 00:11:19.226]  And I also have the articles here, I'll get to later, where we have different Hollywood stars and others, remember, calling for firebombing ICE facilities.
[00:11:19.246 --> 00:11:30.372]  And they don't have to fear, because CNN profiled the very same redneck revolt, John Brown Gun Club, in Washington.
[00:11:30.412 --> 00:11:37.496]  The very man who did this was profiled in the group as a hero fighting Nazis.
[00:11:40.345 --> 00:11:43.347]  And so that is exactly what's going on here.
[00:11:43.387 --> 00:11:46.269]  And these people mean business.
[00:11:46.570 --> 00:11:53.215]  Anyone who disagrees with them and doesn't want world government, doesn't want communism, is a Nazi.
[00:11:54.115 --> 00:12:02.321]  Then on the left side, they're famous, hiring actors and others to pose as Nazis.
[00:12:02.962 --> 00:12:06.785]  It was even in mainstream news that Charlottesville, a year and a half ago or so,
[00:12:08.115 --> 00:12:13.465]  Actually hired a bunch of crisis actors to come augment the real Nazis and play as role players.
[00:12:13.945 --> 00:12:19.275]  You can actually hire these companies to rent a mob, to rent demonstrations.
[00:12:19.295 --> 00:12:20.657]  They call them AstroTurf.
[00:12:21.647 --> 00:12:23.768]  First time I ever saw this was like 15 years ago in New York.
[00:12:24.188 --> 00:12:36.475]  I went out to cover the UN event, and there were thousands of people getting off buses, being handed their signs that looked like they were handmade, but had been mass-produced, and they were being told off script what to say.
[00:12:36.855 --> 00:12:38.456]  That's why the rest of them never talk.
[00:12:38.476 --> 00:12:42.338]  When you go out to these leftist events, 99% of them don't talk except one leader.
[00:12:43.078 --> 00:12:46.321]  That's because these are hired individuals, ladies and gentlemen.
[00:12:46.641 --> 00:12:53.326]  They're only paid about $200 a day to go out and do what they do.
[00:12:53.467 --> 00:12:55.868]  True, useful idiots in every way.
[00:12:55.888 --> 00:12:59.832]  So when we come back, I'm going to get into the details of where the American flags were pulled down.
[00:13:00.292 --> 00:13:02.114]  The Mexican flags were run up.
[00:13:02.474 --> 00:13:03.335]  That's on newshorse.com.
[00:13:03.375 --> 00:13:05.736]  We'll give the cities, the civics, show you all that video.
[00:13:06.417 --> 00:13:20.026]  And then we're going to get into the specific videos that we also have on Infowars.com of the terror group that this gentleman was a part of, and video and photos of him brandishing firearms at Trump events, threatening to kill people.
[00:13:20.806 --> 00:13:25.229]  And CNN, again, profiled them as wonderful, wonderful people.
[00:13:25.770 --> 00:13:27.171]  I've been telling you this is coming.
[00:13:28.015 --> 00:13:42.965]  When you have Joe Biden saying that we're going to get physical now to take over the country, and you've got any means necessary out of all these politicians' mouths, and AOC and Ilhan Omar saying, you know, that America is fundamentally bad now.
[00:13:43.205 --> 00:13:44.626]  We have new clips of that coming up.
[00:13:45.046 --> 00:13:46.867]  They're not going to stop, ladies and gentlemen.
[00:13:46.907 --> 00:13:47.828]  They believe we're weak.
[00:13:48.788 --> 00:13:50.950]  They believe we've put up with so much of this in the past.
[00:13:52.009 --> 00:13:58.451]  And Antifa is funded by big foundation money, George Soros, Alexander Soros, part of the State Department still funding them.
[00:13:58.951 --> 00:14:06.073]  Trump hasn't reversed that yet because there's all this previous funding put into government endowments and private endowments to carry this out.
[00:14:06.593 --> 00:14:12.735]  We are facing hundreds of billions of dollars that's been invested to take this country down and to capture it.
[00:14:14.022 --> 00:14:14.202]  We're
[00:14:32.739 --> 00:14:36.642]  You know, the actual year 2020, and we're just eight, nine months to the countdown.
[00:14:37.642 --> 00:14:42.685]  So this is an incredible time to be alive, and that's why they want us silenced.
[00:14:43.146 --> 00:14:53.833]  That's why they want Christians and conservatives and libertarians and nationalists and pro-gun groups and pro-family groups taken off the air, taken off the internet, because they're planning big moves.
[00:14:53.873 --> 00:14:54.893]  They're going for broke.
[00:14:55.174 --> 00:14:56.895]  They're going to go all the way.
[00:14:58.055 --> 00:15:18.000]  And the fact that you're seeing them begin these violent attacks and that the governor, I have the article when we come back, that the governor of the state, where this firebombing and attack happened, where he was trying to kill ICE, trying to burn the building down, that he did it for Trump.
[00:15:18.540 --> 00:15:20.700]  These people have no bottom.
[00:15:21.381 --> 00:15:22.741]  They will do anything, anytime.
[00:15:24.081 --> 00:15:26.442]  So whatever you do, whether you're listening on AM, FM,
[00:15:27.338 --> 00:15:39.709]  The internet, shortwave, however you're listening, it is job number one that this transmission, that they even admitted at the Trump Social Media Censorship Summit, InfoWars, is the number one target of censorship for a reason.
[00:15:40.090 --> 00:15:46.716]  We work hard, we're focused, we're dedicated, and we've helped, with your help, build a resistance to the globalists that's kicking their butt.
[00:15:47.336 --> 00:15:49.839]  But if we're not on the air to fight in this next year and a half,
[00:15:51.035 --> 00:15:53.478]  The globalists believe they can win, believe they can move.
[00:15:54.340 --> 00:15:58.666]  So to boil that down, when they're able to shut down independent media, they're gonna make their fascist move.
[00:15:59.006 --> 00:16:00.889]  Keeping everybody on air keeps them at bay.
[00:16:02.762 --> 00:16:04.723]  We all know the importance of fish oils.
[00:16:05.123 --> 00:16:11.365]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[00:16:11.725 --> 00:16:15.686]  Honor Roll is a powerful DHA fish oil formula for your child.
[00:16:16.206 --> 00:16:22.208]  Built from the ground up to support your child's development, this formula uses wild anchovy fish oil,
[00:16:22.688 --> 00:16:28.710]  Ultra-purified krill oil and wild salmon fish oil with vitamins to boost your child's mind and body.
[00:16:29.170 --> 00:16:40.673]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA, which has been shown to be essential for your child's brain growth spurts.
[00:16:41.153 --> 00:16:50.396]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[00:16:50.996 --> 00:16:54.818]  If you're looking for a formula to help your child grow, look no further.
[00:16:55.319 --> 00:17:00.121]  Try Honor Roll from InfoWars Life at InfoWarsStore.com.
[00:17:02.503 --> 00:17:04.544]  They've not shut down our speech!
[00:17:04.584 --> 00:17:09.587]  We're at InfoWars.com and NewsWars.com, and we're defeating the leftist tyrants!
[00:17:09.867 --> 00:17:17.251]  I got mobbed on the streets by fans, but almost all of them said, we used to love you on air, it was so good to see you on the iTunes or on YouTube.
[00:17:17.351 --> 00:17:18.152]  Are you coming back?
[00:17:18.692 --> 00:17:19.833]  We're at InfoWars.com.
[00:17:20.433 --> 00:17:21.754]  We're at NewsWars.com.
[00:17:21.795 --> 00:17:23.997]  Paul Watson's launched his own Summit.News.
[00:17:24.017 --> 00:17:25.819]  We have our own videos, we have our own articles.
[00:17:26.039 --> 00:17:30.564]  They're trying to destroy us, but thanks to you and others having us on, InfoWars is still chugging along.
[00:17:30.804 --> 00:17:33.046]  So we're there, folks, tomorrow's news, today.
[00:17:33.066 --> 00:17:37.911]  InfoWars.com, man!
[00:17:37.971 --> 00:17:38.051]  Woo!
[00:17:39.381 --> 00:17:42.142]  InfoWars.com, because that's a bunch of people out here.
[00:17:42.162 --> 00:17:43.563]  I'm talking about InfoWars.com.
[00:17:44.003 --> 00:17:46.604]  I'm at InfoWars.com and NewsWars.com.
[00:17:47.044 --> 00:17:48.905]  We knew this censorship was coming forever.
[00:17:48.925 --> 00:17:52.426]  We have our own video streams, our own audio streams, and it's all free to air.
[00:17:52.446 --> 00:17:55.087]  Anybody can use it, re-upload it, do whatever you want.
[00:17:55.187 --> 00:17:57.588]  People go to InfoWars.com and NewsWars.com.
[00:17:57.608 --> 00:17:58.228]  That's where they find it.
[00:17:58.568 --> 00:17:59.768]  You know, there's things called websites.
[00:18:00.449 --> 00:18:00.849]  Just go there.
[00:18:05.270 --> 00:18:07.950]  When it comes to rebuilding your energy, convenience is key.
[00:18:08.311 --> 00:18:14.212]  While coffee, candy, and other sugary products can give you a short boost, the crash can leave you more tired than ever.
[00:18:14.752 --> 00:18:26.734]  Turbo Force from InfoWars Life is a powerful mix-in energy packet that utilizes vitamins, amino acids, and extracts used for hundreds of years to provide you focus, clarity, and a boost of energy on the go.
[00:18:30.214 --> 00:18:33.955]  Simply take a packet, mix it into the indicated amount of water, and enjoy!
[00:18:35.768 --> 00:18:41.870]  With 14 servings per box for a two week or more supply, this is the formula to stock up on whenever you need a boost.
[00:18:43.831 --> 00:18:49.753]  Perfect for work, in the car, or at home, Turbo Force is the ultimate answer to a sluggish day.
[00:18:50.233 --> 00:18:51.654]  Don't let your day slow you down.
[00:18:52.234 --> 00:18:55.075]  Perk up with Turbo Force at infowarstore.com.
[00:19:02.199 --> 00:19:05.841]  Staying healthy on the go is just as important as staying healthy at home.
[00:19:06.001 --> 00:19:08.322]  But sometimes supplements don't work fast enough.
[00:19:08.483 --> 00:19:11.704]  That's why we created a powerful addition to the Super Blue line.
[00:19:11.884 --> 00:19:13.766]  Super Blue Silver Immune Gargle.
[00:19:14.026 --> 00:19:17.388]  Available in 1 oz., 3.5 oz., and 16 oz.
[00:19:17.448 --> 00:19:22.070]  bottles, Immune Gargle is perfect for the bathroom, kitchen, or wherever you go.
[00:19:22.350 --> 00:19:28.674]  The incredible new multi-purpose formula is dentist recommended for daily use, whenever you feel like you need to stay clean.
[00:19:29.134 --> 00:19:37.058]  100% vegetarian and gluten free, Immune Gargle is a powerhouse formula to help support and defend your immune system for less.
[00:19:37.398 --> 00:19:47.563]  With powerful yet simple ingredients, Immune Gargle features Silver Soul Nano Silver for a powerful and natural alternative alongside several powerful and natural ingredients.
[00:19:47.703 --> 00:19:52.305]  With Super Blue Silver Immune Gargle, staying clean on the go is easy and affordable.
[00:19:52.805 --> 00:19:54.307]  You're listening to the Alex Jones Show!
[00:20:21.823 --> 00:20:26.761]  Crashing through the lies and disinformation, it's Alex Jones.
[00:20:46.403 --> 00:20:52.105]  Welcome back, I'm your host Alex Jones on this Sunday, July 14th, 2019, worldwide broadcast.
[00:20:53.186 --> 00:21:04.550]  So, we've got American flags getting pulled down at ICE centers, we've got fire bombings, we've got people shooting, trying to kill police, and the left is praising it.
[00:21:06.710 --> 00:21:13.774]  On one hand, separately, the governor of Washington State saying he was there trying to burn up the precious illegal aliens.
[00:21:14.514 --> 00:21:21.478]  And behind this is the giant hoax that there's concentration camps and that we're killing people.
[00:21:22.363 --> 00:21:24.523]  The truth is, hundreds of thousands have died in Mexico.
[00:21:24.623 --> 00:21:25.444]  It's a failed state.
[00:21:26.104 --> 00:21:27.424]  Latin America is collapsing.
[00:21:27.744 --> 00:21:29.905]  Thousands a week starve to death in Venezuela.
[00:21:30.505 --> 00:21:32.445]  People are trying to make it here en masse.
[00:21:33.045 --> 00:21:34.465]  They are smuggling children.
[00:21:34.485 --> 00:21:35.466]  They're smuggling drugs.
[00:21:35.486 --> 00:21:37.226]  They're coming across with diseases.
[00:21:37.706 --> 00:21:43.467]  And we're not doing one-tenth the searching and checking we did at the Statue of Liberty in Ellis Island.
[00:21:44.347 --> 00:21:51.409]  But all of these weak-minded individuals who literally look like they've been put in a microwave oven, when you look at all the Antifa and leftists,
[00:21:52.742 --> 00:21:54.143]  Believe they're fighting fascists.
[00:21:54.223 --> 00:21:55.464]  Believe they're fighting Nazis.
[00:21:56.084 --> 00:22:00.567]  Believe, like in some virtual reality, they're Captain America battling Red Skull.
[00:22:02.689 --> 00:22:15.157]  And you read this guy's manifesto, we'll get to in a moment, he talks about the dream and how great his life is, and now he finally gets to fight Nazis, and how the trans community taught him to be battle-ready.
[00:22:16.618 --> 00:22:17.138]  I'm not kidding.
[00:22:19.199 --> 00:22:21.561]  And that they are the vanguard that will save everyone.
[00:22:23.780 --> 00:22:29.062]  And how it's just time to start killing anybody that's in law enforcement or that supports Trump.
[00:22:29.882 --> 00:22:31.743]  That the Communist overthrow is going to be beautiful.
[00:22:32.423 --> 00:22:33.624]  Don't think about it, just do it.
[00:22:33.664 --> 00:22:34.544]  I'm going to read it to you in a minute.
[00:22:35.004 --> 00:22:41.606]  And that they have to kill Warren Buffett and Elon Musk and all these other people.
[00:22:42.347 --> 00:22:45.608]  By the way, Elon Musk wants real freedom and real empowerment for folks overall.
[00:22:47.020 --> 00:22:51.385]  And Warren Buffett's the biggest recipient of the banker bailout and is a globalist insider.
[00:22:51.986 --> 00:22:56.150]  He pushes all this fake leftist garbage about higher taxes because he actually gets that tax money.
[00:22:57.452 --> 00:23:05.501]  But most of the people he lists in his manifesto other than that, like Buffett and others, are the globalists financing the very Antifa movement through George Soros.
[00:23:05.601 --> 00:23:06.282]  It's incredible.
[00:23:06.502 --> 00:23:08.304]  These people are so stupid.
[00:23:09.889 --> 00:23:12.490]  But first, stories on newswars.com.
[00:23:12.550 --> 00:23:13.850]  Lepus replaced U.S.
[00:23:13.890 --> 00:23:16.231]  flag with Mexican flag outside ICE facility.
[00:23:16.811 --> 00:23:21.373]  The American's soccer team of women, you know, the woman throws the American flag down.
[00:23:22.773 --> 00:23:24.334]  This is a cult of America hate.
[00:23:24.674 --> 00:23:27.995]  This is what enemies do when conquering a nation's lands.
[00:23:28.835 --> 00:23:29.696]  Lepus removed the U.S.
[00:23:29.736 --> 00:23:39.079]  flag and replaced it with a Mexican flag outside an ICE processing center in Aurora, Colorado, to protest the detention of illegal immigrants and upcoming deportation rates, folks.
[00:23:39.699 --> 00:23:41.419]  They release 90% of them.
[00:23:42.080 --> 00:23:53.722]  And again, 90% never show up to their amnesty, to their court hearings for political or religious asylum.
[00:23:55.323 --> 00:23:57.483]  They're not coming here for asylum.
[00:23:57.843 --> 00:24:01.664]  They're coming here for the welfare and to be inducted into the Democrat control system.
[00:24:03.605 --> 00:24:06.525]  It's up 635% from Obama to Trump.
[00:24:06.645 --> 00:24:07.606]  We're being bum-rushed.
[00:24:08.026 --> 00:24:08.986]  Europe's being bum-rushed.
[00:24:10.148 --> 00:24:18.772]  This is organized, and these people sit there freaking out and crying, going, oh my gosh, the Nazis, they're killing them inside, and it's all made-up hoaxes.
[00:24:19.832 --> 00:24:24.154]  Coming up, the former head of the Border Patrol talks about what it's like to open a tractor-trailer up.
[00:24:25.196 --> 00:24:39.530]  When the cartels aren't paid all the money they want and there's 15, 20, 30, 40, 50 dead men, women, and children hugging their children dead who died in 150 degree heat in the back of the trailer just because the coyotes felt like killing them.
[00:24:40.030 --> 00:24:42.993]  They find them dead every week in the Southwest.
[00:24:43.253 --> 00:24:44.134]  They're an 18-wheeler.
[00:24:45.395 --> 00:24:46.557]  The smugglers get them across.
[00:24:47.297 --> 00:24:48.539]  They don't pay the final leg.
[00:24:48.579 --> 00:24:49.660]  Somebody doesn't wire the money.
[00:24:51.866 --> 00:24:54.987]  Everybody dies, and that is Gringo's fault.
[00:24:55.508 --> 00:24:56.648]  El Norte's fault.
[00:24:57.008 --> 00:25:02.591]  You don't see these folks, the meth-head professors and all the antifa going and bitching about that.
[00:25:02.691 --> 00:25:03.191]  No, no, no.
[00:25:03.711 --> 00:25:11.515]  It's all how the women's facilities for the kids are real nice with big movie screens, but the men are all crowded in.
[00:25:11.735 --> 00:25:13.175]  You're damn right they're crowded in.
[00:25:13.455 --> 00:25:15.276]  Congress wouldn't fund building more centers.
[00:25:15.456 --> 00:25:19.518]  They're simply checking them for disease and finding out they're not already a convicted murderer.
[00:25:20.118 --> 00:25:21.099]  And they turn them loose!
[00:25:23.025 --> 00:25:24.166]  That needs to be changed!
[00:25:25.607 --> 00:25:26.508]  This is crazy!
[00:25:28.109 --> 00:25:31.171]  But the left's been told any control of the border is pure evil.
[00:25:32.552 --> 00:25:35.654]  But oh, the left will throw you off their evergreen college in Washington State.
[00:25:36.014 --> 00:25:38.936]  If you're white, they have no white people weekends.
[00:25:39.296 --> 00:25:41.338]  And no white people allowed at this area or that area.
[00:25:41.598 --> 00:25:43.759]  White people gotta pay more to get into a rap concert.
[00:25:44.000 --> 00:25:48.863]  All this racist crap from Antifa and the left that is funded by the establishment.
[00:25:49.023 --> 00:25:51.685]  They're the useful idiot cannon fodder on the ground.
[00:25:53.328 --> 00:26:07.372]  Now, there's several videos on Infowars.com and Newswars.com, but everybody's got to go look at this, because if you look at the video up close, it's all a bunch of old hippies, and a bunch of Antifa, and hardly any Mexicans.
[00:26:07.452 --> 00:26:15.675]  But Mexicans, on average, are very nationalistic if they're from Mexico, and they run up the Mexican flag, and everybody's like, woo!
[00:26:16.335 --> 00:26:19.316]  Because the left identifies taking the country down with success.
[00:26:19.556 --> 00:26:20.096]  Here's that video.
[00:26:37.845 --> 00:26:46.231]  So there are illegal aliens, leftist antifa, sharing the American flag being taken down, the Mexican flag being run up.
[00:26:46.251 --> 00:26:47.412]  This is about being conquered.
[00:26:48.093 --> 00:26:55.638]  People are fleeing Mexico because it's failed, but they want you to now become Mexico with all the trappings of that.
[00:26:56.139 --> 00:27:01.583]  Now, let's get into the manifesto itself, that you won't hear about on CNN or anywhere else.
[00:27:02.984 --> 00:27:04.265]  You're gonna hear he was trying to burn up
[00:27:06.613 --> 00:27:09.815]  The poor people in the processing center.
[00:27:10.115 --> 00:27:11.316]  That's what you're hearing from the governor.
[00:27:12.477 --> 00:27:24.045]  You talk about lying, and when you read over this, the terrorists who firebombed the ICE facility in Washington State yesterday released a manifesto before the attack stating, I am Antifa.
[00:27:24.997 --> 00:27:32.103]  And said the attack was motivated by his opposition to concentration camps, close quote, in the United States.
[00:27:32.123 --> 00:27:41.390]  69-year-old William Van Sportson was shot dead by police, had been through Molotov cocktails at the building and nearby cars on Saturday morning.
[00:27:41.410 --> 00:27:51.759]  According to his manifesto, a copy of which was obtained by Jack Posobiec, Van Sportson was armed with an AR-15 and stated, I am Antifa.
[00:27:53.251 --> 00:28:06.225]  The rest of the manifesto is a rambling advocacy of identity politics mixed with hysteria about concentration camps which clearly suggests that Van Sporensen was radicalized by fringe rhetoric from the likes of Alexandria Cortez or AOC.
[00:28:07.765 --> 00:28:17.687]  At one point in the manifesto, Van Spornsen thanks his trans comrades, close quote, and explains that he was armed with a semi-automatic weapon, suggesting he clearly planned to commit a massacre.
