[00:00:09.057 --> 00:00:10.989]  Live from Austin, Texas.
[00:05:13.361 --> 00:05:15.763]  Ever since I've been listening, I've been buying your products.
[00:05:15.843 --> 00:05:18.285]  I gotta do a shout-out for the Bone Broth.
[00:05:18.345 --> 00:05:19.025]  The Bone Broth.
[00:05:19.766 --> 00:05:20.606]  The Bone Broth.
[00:05:21.207 --> 00:05:22.108]  The B-B-B-Bone Broth.
[00:05:22.368 --> 00:05:23.509]  The B-B-B-Bone Broth.
[00:05:23.849 --> 00:05:28.353]  Tastes like, tastes like a great milkshake, you know, if you just add it to milk.
[00:05:28.613 --> 00:05:29.754]  It tastes like Ovaltine.
[00:05:29.934 --> 00:05:31.175]  It tastes like Ovaltine.
[00:05:31.195 --> 00:05:32.576]  It tastes like Ovaltine.
[00:05:32.976 --> 00:05:33.777]  Like, good!
[00:05:34.057 --> 00:05:34.337]  Whoa!
[00:05:34.677 --> 00:05:36.279]  I feel great since I've been taking it.
[00:05:36.399 --> 00:05:40.742]  My daughter uses the Bubblegum Fluoride 3 toothpaste.
[00:05:40.902 --> 00:05:46.106]  I've used the Supermail Vitality, a host of other products, so thank you so much for that as well.
[00:05:46.427 --> 00:05:48.949]  Brother, you're thanking me for buying the products and keeping us on air.
[00:05:48.989 --> 00:05:55.714]  I'm thanking you, but yes, this is the ultimate bone broth formula with the turmeric, the chaga mushroom, the true bone broth.
[00:05:56.174 --> 00:05:56.895]  It is next level.
[00:05:56.915 --> 00:05:57.976]  It really is good, so thank you.
[00:05:58.116 --> 00:05:59.917]  I feel great since I've been taking it.
[00:06:00.057 --> 00:06:00.438]  Thank you.
[00:06:08.519 --> 00:06:08.960]  I'm good.
[00:06:18.018 --> 00:06:20.901]  But for the left, whether the country benefits is not the point.
[00:06:21.522 --> 00:06:38.981]  Congresswoman Ilhan Omar, herself a symbol of America's failed immigration system, if there ever was one, someone who hates this country, coming here at public expense, spent yesterday demanding the abolition of ICE, the decriminalization of illegal immigration itself, and an end to all deportation programs.
[00:06:39.702 --> 00:06:46.046]  She demands open borders, the unlimited arrival of anyone who wants to come to America, whether they have anything to contribute or not.
[00:06:46.286 --> 00:06:48.127]  And by the way, you get to pay for it.
[00:07:03.755 --> 00:07:04.516]  InfoWars.
[00:07:04.876 --> 00:07:06.397]  Tomorrow's news, today.
[00:07:08.695 --> 00:07:19.399]  Ilhan Omar, who came here more than two decades ago illegally, she admits she married her brother fraudulently and then married others illegally to bring him here.
[00:07:19.839 --> 00:07:21.700]  She thinks we're a big joke.
[00:07:22.540 --> 00:07:23.661]  If you go to Somalia
[00:07:24.870 --> 00:07:30.372]  A failed pirate, sex slave state, the worst country in the world on average.
[00:07:31.252 --> 00:07:33.452]  You'll be kidnapped within five minutes.
[00:07:33.512 --> 00:07:38.574]  If you're white, or you're Christian, or you're Jewish, you'll be dead in an hour.
[00:07:39.854 --> 00:07:48.857]  And she came here as a, quote, refugee, and then all she does is give speeches about how America sucks, and how we shouldn't have any borders, and no vetting at all.
[00:07:50.797 --> 00:07:51.757]  She really is cancer.
[00:07:55.663 --> 00:07:58.506]  That's why she announced, is this country so bad?
[00:08:00.168 --> 00:08:05.995]  She came out today and she said, I am moving back to Somalia.
[00:08:06.949 --> 00:08:08.350]  She said, America is racist.
[00:08:08.470 --> 00:08:09.130]  It is bad.
[00:08:09.191 --> 00:08:09.991]  It's not open.
[00:08:10.511 --> 00:08:12.092]  She said, I'm moving to Somalia.
[00:08:12.433 --> 00:08:19.297]  Whether you're Buddhist or Hindu or Christian or Jewish or gay, you can move there in peace.
[00:08:19.798 --> 00:08:21.379]  Your college tuition will be free.
[00:08:21.759 --> 00:08:22.880]  You can have a baby there.
[00:08:23.260 --> 00:08:24.721]  They finance anchor babies there.
[00:08:25.121 --> 00:08:29.704]  They have great airports, great high rises, great health care, great education.
[00:08:30.565 --> 00:08:32.246]  And it's all going to be free.
[00:08:32.266 --> 00:08:35.168]  So she said, since Somalia has a civilization,
[00:08:36.044 --> 00:08:49.322]  And America sucks so bad, she has officially announced that she's moving back to Somalia, her heavenly, nirvana-like, cloud nine homeland.
[00:08:50.123 --> 00:08:51.745]  So I'm so excited.
[00:08:52.466 --> 00:08:53.367]  For Ilhan Omar.
[00:08:53.387 --> 00:08:55.028]  This is so good, sweetheart.
[00:08:55.689 --> 00:08:57.750]  You came to the West where women were empowered.
[00:08:58.090 --> 00:08:59.892]  You came to the West with all the technology.
[00:09:00.212 --> 00:09:02.574]  You came to the West where this bleeding heart brought you here.
[00:09:03.054 --> 00:09:04.235]  And you said it sucked.
[00:09:04.695 --> 00:09:05.596]  And you hated it.
[00:09:05.956 --> 00:09:06.857]  And it was bad.
[00:09:06.897 --> 00:09:08.218]  And Venezuela was good.
[00:09:08.778 --> 00:09:10.720]  And Somalia was good.
[00:09:10.840 --> 00:09:11.460]  We were bad.
[00:09:12.121 --> 00:09:18.606]  And finally, somebody that says America sucks didn't just stay here and bitch about it.
[00:09:19.086 --> 00:09:19.927]  She announced today
[00:09:21.035 --> 00:09:24.677]  That she is moving back next month to Somalia.
[00:09:25.697 --> 00:09:33.420]  And she's going to take a bunch of the Somali refugees, 80 plus percent that are still on welfare, that sit around and bitch and complain about America all day in Minnesota, with her.
[00:09:34.220 --> 00:09:40.063]  I want to praise her integrity and the fact that she's announced she's going back to Somalia.
[00:09:43.737 --> 00:09:45.918]  You did what no leftist hater ever did.
[00:09:46.579 --> 00:09:50.121]  You said, I'm not a parasite coming here to suck off you, if you're an open, free society.
[00:09:50.361 --> 00:09:53.163]  I'm not using your openness as a weakness, like I'm a cancer.
[00:09:54.023 --> 00:09:54.264]  No!
[00:09:54.984 --> 00:09:56.225]  I hate you and I'm leaving.
[00:09:56.245 --> 00:09:57.786]  Because you weren't born here.
[00:09:58.726 --> 00:09:59.427]  You hate this country.
[00:10:00.452 --> 00:10:02.113]  A lot of folks that weren't born here love this country.
[00:10:02.534 --> 00:10:02.954]  I get it.
[00:10:03.595 --> 00:10:04.876]  You're putting your money where your mouth is.
[00:10:05.556 --> 00:10:06.217]  Oh, but wait a minute.
[00:10:06.237 --> 00:10:07.698]  You hear the record skip noise.
[00:10:08.479 --> 00:10:09.440]  She's not leaving, folks.
[00:10:09.480 --> 00:10:10.200]  That was a joke.
[00:10:10.961 --> 00:10:16.185]  She's gonna stay right here and use our openness against us and tell us how much we suck and how bad we are.
[00:10:16.545 --> 00:10:17.646]  And Tucker Carlson's right.
[00:10:18.587 --> 00:10:29.832]  Ilhan Omar is the poster child of everything failed with this open border system, with leftists bringing people here to induct them into America-hating garbage.
[00:10:30.312 --> 00:10:35.775]  So spread the article and spread this video, because it's important people see the truth of what's happening.
[00:10:35.795 --> 00:10:43.158]  If Linda Saucer is into cutting girls' genitals off and loves Sharia law and tells Iranian women, don't take your hijabs off, good!
[00:10:43.238 --> 00:10:44.959]  Go back to the Middle East, lady!
[00:10:45.919 --> 00:10:54.271]  Take you and Ilhan that have this inferiority complex and hate the West and go from us forever and go build your utopia.
[00:10:54.772 --> 00:10:56.535]  But no one wants to get into countries you run.
[00:10:57.436 --> 00:11:00.360]  Everyone's fighting for their lives to get away.
[00:11:01.223 --> 00:11:04.765]  From your authoritarianism, your arrogance, and your corruption.
[00:11:05.465 --> 00:11:08.846]  So here is Tucker Carlson's excellent report breaking this down.
[00:11:09.187 --> 00:11:12.588]  More reports at InfoWars.com and NewsWars.com.
[00:11:12.948 --> 00:11:14.069]  But go out and ask Ilhan.
[00:11:14.309 --> 00:11:18.471]  If America sucks so bad, take your little peanut head
[00:11:19.639 --> 00:11:25.868]  And your chicken neck, and all your authoritarianism, and go back to Somalia where women are sold into sex slavery.
[00:11:26.169 --> 00:11:31.537]  I'm sorry that's happening, but go back and praise your superior culture that's so closed!
[00:11:32.438 --> 00:11:32.979]  Go back!
[00:11:33.840 --> 00:11:35.162]  Don't try to turn us into you!
[00:11:36.684 --> 00:11:37.405]  Here's Tucker Carlson.
[00:11:37.825 --> 00:11:39.826]  Good evening and welcome to Tucker Carlson Tonight.
[00:11:40.106 --> 00:11:45.190]  This week, the Trump administration revealed its proposal to overhaul America's immigration system.
[00:11:45.711 --> 00:11:55.217]  The proposal would not, by itself, build the often-promised wall on our southern border, nor would it cut current levels of immigration, despite the fact that most Americans would like to see that happen.
[00:11:55.898 --> 00:12:02.362]  The one big thing the administration's proposal would do is give priority to immigrants who might actually help America.
[00:12:02.503 --> 00:12:05.265]  Skilled workers with English proficiency.
[00:12:06.254 --> 00:12:08.975]  It's hard to see an argument against a system like that.
[00:12:09.035 --> 00:12:11.236]  There isn't really an argument against that system.
[00:12:11.656 --> 00:12:15.477]  For years, Democrats have argued that immigrants make vital additions to our economy.
[00:12:15.497 --> 00:12:16.457]  They're smarter than we are.
[00:12:16.497 --> 00:12:17.398]  They're harder working.
[00:12:17.458 --> 00:12:18.498]  They do better in school.
[00:12:18.958 --> 00:12:20.139]  They found more companies.
[00:12:20.859 --> 00:12:23.420]  Well, the President has decided to take Democrats at their word.
[00:12:23.540 --> 00:12:26.461]  He says he wants all of those good things that immigrants bring.
[00:12:26.721 --> 00:12:27.021]  Watch.
[00:12:27.821 --> 00:12:30.082]  We want immigrants coming in.
[00:12:30.742 --> 00:12:35.944]  We cherish the open door that we want to create for our country.
[00:12:37.349 --> 00:12:43.090]  But a big proportion of those immigrants must come in through merit and skill.
[00:12:44.653 --> 00:12:47.475]  Well, much of the world would move here if they could.
[00:12:47.636 --> 00:12:49.397]  Hundreds and hundreds of millions of people.
[00:12:49.938 --> 00:12:52.400]  So why wouldn't we pick the absolute best?
[00:12:52.880 --> 00:12:55.622]  Immigrants with skills in English would fit in better here.
[00:12:55.662 --> 00:12:57.004]  Their kids would do better in school.
[00:12:57.384 --> 00:13:00.346]  They'd be more likely to contribute to social programs instead of draining them.
[00:13:00.847 --> 00:13:03.049]  So are Democrats rejoicing in this change?
[00:13:03.069 --> 00:13:04.090]  Of course not.
[00:13:04.150 --> 00:13:04.830]  They're outraged.
[00:13:05.271 --> 00:13:12.337]  House Speaker Nancy Pelosi spoke for the party when she declared that, really, merit is a bad word because everybody has merit.
[00:13:13.484 --> 00:13:16.405]  I want to just say something about the word that they use, merit.
[00:13:16.845 --> 00:13:18.866]  It is really a condescending word.
[00:13:18.886 --> 00:13:21.087]  Are they saying family is without merit?
[00:13:21.708 --> 00:13:29.231]  Are they saying most of the people who have ever come to the United States in the history of our country are without merit because they don't have an engineering degree?
[00:13:30.011 --> 00:13:38.935]  Certainly we want to attract the best to our country and that includes many people from many parts of society.
[00:13:40.196 --> 00:13:46.720]  What a shame we can't staff the Democratic caucus in the Congress using the same criteria the Speaker would like to fill our country.
[00:13:47.300 --> 00:13:50.202]  We want to attract the best from many parts of the world, she says.
[00:13:50.302 --> 00:13:53.104]  But of course, by that, Pelosi doesn't mean what she says.
[00:13:53.124 --> 00:13:54.345]  She means just the opposite.
[00:13:54.645 --> 00:14:01.089]  Because what exactly is best about immigrants who have criminal records, or middle school educations, or no ability to hold a job?
[00:14:01.149 --> 00:14:02.910]  The answer is there's nothing best about that.
[00:14:03.570 --> 00:14:09.273]  Immigrants like that might be nice people, but they're much more likely to burden the United States than to benefit, at least economically.
[00:14:09.653 --> 00:14:12.074]  Harvard doesn't admit students who can't speak English.
[00:14:12.375 --> 00:14:13.855]  It says so right on their website.
[00:14:14.456 --> 00:14:15.596]  So why should our country?
[00:14:16.497 --> 00:14:19.698]  The left doesn't want to answer questions like that or even have the conversation.
[00:14:19.738 --> 00:14:20.539]  Shut up, racist!
[00:14:21.379 --> 00:14:23.880]  Instead, they just declare that the current system is great.
[00:14:24.361 --> 00:14:25.381]  No evidence necessary.
[00:14:25.801 --> 00:14:30.664]  Watch this former Obama official make her fact-free case on MSNBC yesterday.
[00:14:31.718 --> 00:14:37.364]  What's less obvious is that medium and even the least skilled immigrants also contribute to the U.S.
[00:14:37.404 --> 00:14:37.884]  economy.
[00:14:38.265 --> 00:14:44.291]  They come in and they do different things from natives and they allow everyone to specialize more in what they're doing best.
[00:14:44.491 --> 00:14:55.022]  It's that contribution of the unskilled immigrants that I think people overlook when they really push the so-called merit-based, or as it's called in other countries, the points system.
[00:14:56.204 --> 00:14:56.444]  Uh-huh.
[00:14:56.985 --> 00:15:11.573]  So what Professor Hunt and so many on the left, including the Speaker of the House, are arguing for is a feudal system where foreign-born worker bees toil to support a smug and pampered managerial class of which they, of course, are part.
[00:15:12.233 --> 00:15:14.274]  There's no other explanation for our current policies.
[00:15:14.314 --> 00:15:17.175]  We don't need more low-skilled workers in the United States.
[00:15:17.535 --> 00:15:19.416]  We have plenty of low-skilled workers.
[00:15:19.756 --> 00:15:22.177]  Their unemployment rate is higher than the national average.
[00:15:22.497 --> 00:15:26.479]  Their wage growth has been abysmal for decades, generations.
[00:15:27.139 --> 00:15:30.000]  So how do those workers benefit from having more competition?
[00:15:30.300 --> 00:15:31.041]  Of course they don't.
[00:15:31.601 --> 00:15:39.244]  How does the country benefit by having more low-skilled workers when technological changes may soon render millions of them permanently jobless?
[00:15:39.624 --> 00:15:41.525]  The answer, of course, is that we won't benefit.
[00:15:42.264 --> 00:15:45.126]  But for the left, whether the country benefits is not the point.
[00:15:45.746 --> 00:16:00.857]  Congresswoman Ilhan Omar, herself a symbol of America's failed immigration system, if there ever was one, someone who hates this country, coming here at public expense, spent yesterday demanding the abolition of ICE, the decriminalization of illegal immigration itself.
[00:16:04.454 --> 00:16:12.237]  Hey, what happens if you try to order your favorite InfoWars Life product only to find out they're sold out?
[00:16:12.257 --> 00:16:16.238]  Yeah, I know it kind of sucks, but there is a solution.
[00:16:16.638 --> 00:16:21.560]  All you got to do is go to InfoWarsStore.com and click on Auto Shift.
[00:16:21.640 --> 00:16:22.040]  Bam!
[00:16:22.260 --> 00:16:24.461]  Problem solved just like that.
[00:16:24.801 --> 00:16:27.562]  And now you're scheduled for regular delivery.
[00:16:27.722 --> 00:16:34.004]  That means no more back orders and you'll never run out of your favorite InfoWars Life products
[00:16:34.304 --> 00:16:34.684]  Again.
[00:16:35.044 --> 00:16:35.485]  Pretty cool.
[00:16:35.765 --> 00:16:36.345]  But guess what?
[00:16:36.645 --> 00:16:37.345]  It gets better.
[00:16:37.585 --> 00:16:45.449]  When you sign up for AutoShip at InfowarsStore.com, you get an additional 10% off that product.
[00:16:46.209 --> 00:16:46.609]  Woo!
[00:16:46.810 --> 00:16:47.830]  That's what I'm talking about.
[00:16:47.850 --> 00:16:49.431]  So what are you waiting for?
[00:16:49.831 --> 00:16:51.552]  Support the Infowar.
[00:16:52.092 --> 00:16:56.914]  Order and click on AutoShip at InfowarsStore.com or call 1-888-253-3139.
[00:17:03.103 --> 00:17:04.444]  I want to say brain force is great.
[00:17:04.504 --> 00:17:06.306]  I want to say turbo force is amazing.
[00:17:06.406 --> 00:17:06.826]  It is.
[00:17:07.026 --> 00:17:11.430]  But if you took it with fish oil, it's like the fish oil is it.
[00:17:11.910 --> 00:17:13.171]  The fish oil is better than it.
[00:17:13.251 --> 00:17:14.993]  And that's an example of what I'm talking about.
[00:17:15.073 --> 00:17:17.395]  Fish oil is liquid energy.
[00:17:17.555 --> 00:17:20.577]  Brain, body, heart, the cleanest, the best out there.
[00:17:20.637 --> 00:17:21.858]  You've got the children's.
[00:17:22.018 --> 00:17:22.959]  You've got the adults.
[00:17:23.139 --> 00:17:24.020]  You've got the krill oil.
[00:17:24.140 --> 00:17:27.503]  If you're going to get the full effect, the fish oil and the children's are really strong.
[00:17:27.523 --> 00:17:29.885]  They don't give you the burpees, but krill oil is the best.
[00:17:30.145 --> 00:17:31.285]  And it'll give you the damn burps.
[00:17:31.446 --> 00:17:32.126]  And I'm just sorry.
[00:17:32.206 --> 00:17:33.206]  You want something like this?
[00:17:33.286 --> 00:17:34.167]  You don't get stuff for free.
[00:17:34.267 --> 00:17:36.128]  The krill is hallucinogenic.
[00:17:36.188 --> 00:17:36.728]  It's so good.
[00:17:36.788 --> 00:17:37.328]  In my view.
[00:17:37.408 --> 00:17:39.609]  I'm not making a medical statement here, but let me tell you something.
[00:17:39.629 --> 00:17:44.071]  When I eat five capulets of krill oil before I go to bed, I'm seeing Santa Claus that night.
[00:17:45.832 --> 00:17:50.394]  So, your brain is made basically out of what fish oil is.
[00:17:53.359 --> 00:17:59.163]  So, we don't make a big profit off of it, but you notice I just obsess, because whatever the best is we've got, I just can't lie to you.
[00:17:59.243 --> 00:18:00.144]  I just can't do it!
[00:18:03.746 --> 00:18:08.589]  Casey, I'm sure it's wishful thinking, you're saying, Tyra comes right from nowhere, is he on turbo force?
[00:18:09.030 --> 00:18:13.192]  Which is an amazing pre-workout and long-term energy system, unlike any other.
[00:18:13.813 --> 00:18:16.114]  Or, Tyra Woods isn't actually taking turbo force, is he?
[00:18:16.334 --> 00:18:17.155]  That's a good idea, though.
[00:18:17.175 --> 00:18:18.076]  I should try to send him some.
[00:18:18.356 --> 00:18:21.238]  I'm not entirely sure, but when I was watching the Masters,
[00:18:21.898 --> 00:18:23.299]  I'll have to try to find out.
[00:18:23.359 --> 00:18:24.100]  I know.
[00:18:24.160 --> 00:18:26.502]  I've been told by multiple folks that are friends with him.
[00:18:26.522 --> 00:18:29.344]  He's a listener, but I don't really worry about stuff like that.
[00:18:29.364 --> 00:18:29.785]  But that's great.
[00:18:29.805 --> 00:18:30.425]  Who knows?
[00:18:30.445 --> 00:18:31.486]  He might be on Turbo Force.
[00:18:31.506 --> 00:18:31.726]  Who knows?
[00:18:43.376 --> 00:18:49.419]  Well, last year, when he won his first tournament in a long time, they tried to grill him on, like, degrading the president in some way.
[00:18:49.459 --> 00:18:52.621]  You know, this is what you need in a press conference after a golf tournament, and he wouldn't do it.
[00:18:52.741 --> 00:18:53.762]  I know, he's friends with Trump.
[00:18:53.802 --> 00:18:55.182]  He's been friends with Trump, like, 20 years.
[00:18:55.322 --> 00:18:55.963]  Yeah, exactly.
[00:18:56.003 --> 00:18:57.624]  The media wasn't even talking about his win.
[00:18:57.644 --> 00:18:59.184]  They were talking about his politics.
[00:18:59.204 --> 00:18:59.785]  Thank you, Casey.
[00:19:02.088 --> 00:19:05.730]  Staying healthy on the go is just as important as staying healthy at home.
[00:19:05.870 --> 00:19:08.191]  But sometimes supplements don't work fast enough.
[00:19:08.371 --> 00:19:11.512]  That's why we created a powerful addition to the Super Blue line.
[00:19:11.772 --> 00:19:13.633]  Super Blue Silver Immune Gargle.
[00:19:13.893 --> 00:19:17.255]  Available in 1 oz., 3.5 oz., and 16 oz.
[00:19:17.315 --> 00:19:21.937]  bottles, Immune Gargle is perfect for the bathroom, kitchen, or wherever you go.
[00:19:22.217 --> 00:19:28.520]  The incredible new multi-purpose formula is dentist recommended for daily use, whenever you feel like you need to stay clean.
[00:19:29.000 --> 00:19:36.927]  100% vegetarian and gluten-free, Immune Gargle is a powerhouse formula to help support and defend your immune system for less.
[00:19:37.288 --> 00:19:47.457]  With powerful yet simple ingredients, Immune Gargle features Silver Soul Nano Silver for a powerful and natural alternative alongside several powerful and natural ingredients.
[00:19:47.577 --> 00:19:52.201]  With Super Blue Silver Immune Gargle, staying clean on the go is easy and affordable.
[00:19:52.481 --> 00:19:57.947]  Help your body avoid the dangers of everyday life and stay healthy with Super Blue Silver Immune Gargle.
[00:19:58.167 --> 00:20:00.650]  Only available at InfoWarStore.com.
[00:20:06.377 --> 00:20:08.979]  You're listening to the Alex Jones Show.
[00:20:16.769 --> 00:20:21.911]  From the front lines of the information war, it's Owen Troyer.
[00:20:22.271 --> 00:20:37.856]  You're listening to the Alex Jones Show.
[00:20:37.916 --> 00:20:38.576]  Welcome back.
[00:20:39.056 --> 00:20:40.997]  Owen Troyer filling in for Alex Jones today.
[00:20:41.017 --> 00:20:43.758]  And I wonder...
[00:20:45.003 --> 00:20:49.665]  If we can even properly grasp the history that we're living right now.
[00:20:52.046 --> 00:20:54.567]  And I just think about all the censorship that we're enduring here.
[00:20:56.148 --> 00:20:59.090]  Not just at InfoWars, but in America.
[00:21:01.811 --> 00:21:05.693]  It seems every day somebody new is being taken down.
[00:21:06.293 --> 00:21:06.833]  And for what?
[00:21:08.334 --> 00:21:08.854]  Hate speech?
[00:21:09.434 --> 00:21:10.195]  Causing violence?
[00:21:10.615 --> 00:21:10.835]  No.
[00:21:12.349 --> 00:21:15.892]  Why, if that were true, I think we know where the censorship would be happening.
[00:21:18.673 --> 00:21:21.616]  And now they're coming after you if you just want to do comedy and satire.
[00:21:23.817 --> 00:21:27.220]  Oh, because... You see, that's real effective in the culture war.
[00:21:28.701 --> 00:21:40.369]  And... You know, I was actually thinking about this, and it's... It's great that we're having Sofon, who was recently banned, they say, for hate-based videos,
[00:21:43.635 --> 00:21:46.858]  And it's just a 14-year-old that does satire.
[00:21:49.760 --> 00:21:57.908]  But you see, if it's funny and it's not directed in a liberal agenda, then it's hate speech.
[00:22:00.390 --> 00:22:02.472]  But I was actually thinking about this earlier.
[00:22:04.273 --> 00:22:10.439]  There will be a time in the future where the current leftist mindset
[00:22:11.946 --> 00:22:18.471]  Will be a new form of satire and a running joke that will be ongoing.
[00:22:20.652 --> 00:22:22.194]  And they just don't see it yet.
[00:22:22.534 --> 00:22:23.374]  But I see it now.
[00:22:25.756 --> 00:22:27.537]  Especially if they start banning people like Soph.
[00:22:27.598 --> 00:22:33.622]  It's gonna create now a drive for people to want that type of humor and then recreate that type of humor.
[00:22:33.682 --> 00:22:34.803]  So, thank you.
[00:22:36.465 --> 00:22:37.766]  Thank you, Left.
[00:22:37.806 --> 00:22:44.048]  You're memeing yourself in real time, and you're giving us an entire future of sarcasm.
[00:22:45.989 --> 00:22:52.712]  But folks, with the censorship we're enduring here, you know we need your support at InfoWarsStore.com.
[00:22:52.752 --> 00:22:55.653]  Now, I'm not even going to be able to get to this video.
[00:22:55.673 --> 00:23:03.276]  I'm going to have to pitch to it in the next segment, but it's just... Because we can talk about
[00:23:04.778 --> 00:23:06.079]  How great all the products are.
[00:23:07.019 --> 00:23:10.741]  And they are, and you can read the reviews, and of course we have to sell great products at Inforrestore.com.
[00:23:11.241 --> 00:23:12.602]  They're attacking us every day.
[00:23:12.722 --> 00:23:16.604]  If we don't sell a perfect product, they'll write a story about it, saying it's the worst thing ever.
[00:23:17.004 --> 00:23:20.006]  So then they try to test it, and they're like, wow, these are actually good products.
[00:23:21.226 --> 00:23:22.107]  That kind of backfired.
[00:23:22.327 --> 00:23:24.148]  I guess maybe we should not publish the story.
[00:23:24.208 --> 00:23:25.248]  Well, let's publish it anyway.
[00:23:26.309 --> 00:23:33.032]  So then they do, like, they have, like, these weird, like, pasty
[00:23:34.332 --> 00:23:35.032]  We're good to go.
[00:23:58.752 --> 00:24:05.497]  I mean, literally, you are the sponsor of InfoWars when you shop at InfoWarsStore.com.
[00:24:06.598 --> 00:24:15.644]  So we just make it easy on you by giving you the great products like the Ultimate Brown Broth that's 50% off, the brand new Ultra 12, it's the brand new B12 formula.
[00:24:16.365 --> 00:24:24.491]  The Secret 12 was already one of the top sellers, top rated products, and we just reinvented that and then made it Ultra 12.
[00:24:26.328 --> 00:24:33.292]  And we're giving to you a 50% discount right there on the Ultra 12 at InfoWarsTore.com.
[00:24:34.692 --> 00:24:36.753]  The Survival Shield X2 is back.
[00:24:37.594 --> 00:24:43.737]  One of the best products, if not the best as far as the ratings are concerned at InfoWarsTore.com.
[00:24:43.797 --> 00:24:48.720]  And with a purchase of X2, you can get a free bottle of X3 as well.
[00:24:48.740 --> 00:24:51.801]  I mean, that's just what we do here.
[00:24:53.562 --> 00:24:54.203]  We created X3.
