[00:00:22.668 --> 00:00:23.349]  Hello, hello.
[00:09:40.907 --> 00:09:42.308]  It's so popular to have the highest quality.
[00:09:42.848 --> 00:09:45.931]  It's 50% off, despite the fact that we've already sold a third of it.
[00:09:46.311 --> 00:09:47.292]  So I promise you,
[00:09:48.194 --> 00:09:54.396]  The krill oil will be taken off sale by the weekend because we have to because it will be another three months till more comes in.
[00:09:54.837 --> 00:09:56.437]  We're trying to double our order of it.
[00:09:56.957 --> 00:10:03.100]  It's so popular now because all the stuff in the news about how good it is and everybody heard me already tell you that years ago and now here it is.
[00:10:03.140 --> 00:10:05.901]  But if you want to have amazing dreams, not just for your heart or your brain,
[00:10:07.259 --> 00:10:08.179]  Yeah, it's an honor to be here, Alex.
[00:10:08.199 --> 00:10:11.140]  You know, I'm really interested to see the interview with Veritas at the bottom of the hour and with you coming on.
[00:10:30.965 --> 00:10:36.729]  It's just so, so amazing the time that we're living in to see all of this take place.
[00:10:37.169 --> 00:10:49.497]  You know, I really want to talk about and get into how the left is still pushing the whole white supremacist and how they're continuing on to try to demonize President Trump or anybody white who supports President Trump.
[00:10:50.077 --> 00:10:57.022]  That's the thing, and it really runs through me, runs through me because we have people
[00:10:58.118 --> 00:10:59.619]  Believe in this nonsense.
[00:10:59.939 --> 00:11:06.204]  You know, no one was calling President Trump a white supremacist before he ran for president, before he went down the escalator.
[00:11:06.664 --> 00:11:12.449]  Once he went down, then all of a sudden he became racist, he became all of these things that he never was before.
[00:11:12.769 --> 00:11:16.292]  You have black hip-hop stars saying they want to be like Trump.
[00:11:16.612 --> 00:11:18.954]  You have many people saying they want to be like Trump.
[00:11:19.850 --> 00:11:30.472]  So, you know, with all of this taking place right now, because 2020 is coming up, they have to do something to get people, black people, not to vote for President Trump.
[00:11:31.132 --> 00:11:32.652]  See, that's the whole thing.
[00:11:32.672 --> 00:11:47.955]  And for the life of me, I don't understand how they're able to get so many people to be so naive to believe that all of a sudden, because they've been saying it, that President Trump is now a white supremacist, or he supports white supremacy.
[00:11:48.655 --> 00:11:49.896]  You know, it's ridiculous.
[00:11:49.936 --> 00:11:53.118]  So even Bernie Sanders, this is going to be number clip.
[00:11:53.539 --> 00:11:54.539]  Do we have time for this?
[00:11:54.719 --> 00:11:57.221]  This is clip number eight.
[00:11:57.982 --> 00:12:05.187]  Clip number eight, where Bernie Sanders, he came out and said that, OK, let me just read it to you, because this was on his tweet.
[00:12:05.327 --> 00:12:15.574]  He said, do you think it's a coincidence that the racist manifesto of the El Paso shooter echoes Trump's language of invasion and infestation of immigrants?
[00:12:16.375 --> 00:12:18.056]  Bernie Sanders is going to say, I don't.
[00:12:19.281 --> 00:12:26.888]  Then he replies, then he does, at real Donald Trump, is fanning the flames of white supremacy.
[00:12:27.008 --> 00:12:27.969]  We must stop him.
[00:12:28.469 --> 00:12:39.259]  If anyone is fanning the flames of white supremacy, if anyone is doing the white supremacy, keeping this whole racial division going, it is the liberal left.
[00:12:40.040 --> 00:12:44.444]  So if we can go to that video, this is number eight, number eight on the chart.
[00:12:49.691 --> 00:12:53.032]  I am concerned about the rise of any group of hate.
[00:12:53.152 --> 00:12:57.493]  Whether it's white supremacy, I am very concerned about it.
[00:12:58.613 --> 00:13:00.314]  He's a savage killer.
[00:13:01.074 --> 00:13:07.836]  My administration believes our city should be safe havens for Americans, not sanctuaries for criminals.
[00:13:11.517 --> 00:13:13.497]  So, let me break in.
[00:13:13.517 --> 00:13:15.258]  Pause it real quick, right there.
[00:13:16.229 --> 00:13:21.497]  For some reason when President Trump said it should be sanctuary for Americans and not criminals,
[00:13:22.819 --> 00:13:25.860]  And they're suggesting that he's a white supremacist for saying that.
[00:13:26.580 --> 00:13:28.220]  Do you see the disconnect?
[00:13:28.560 --> 00:13:33.981]  Do you see how people are not realizing that they're being blatantly lied to?
[00:13:34.001 --> 00:13:35.242]  I mean, it's right there.
[00:13:35.662 --> 00:13:36.802]  How is it possible?
[00:13:37.042 --> 00:13:52.005]  Another prime example is when President Trump said black people living in these rat-infested cities like Baltimore, all of a sudden you have people saying that President Trump is being racist because he's telling black people, you don't have to live this way.
[00:13:52.866 --> 00:13:54.290]  Is anyone else okay with that?
[00:13:54.471 --> 00:13:55.133]  I don't think so.
[00:13:55.715 --> 00:13:56.537]  Okay, let's go back to it.
[00:13:59.122 --> 00:14:06.566]  If you listen to the rhetoric from the president, you would think that every person of color is somehow a gang member or ready to rape and to kill and to plunder.
[00:14:06.686 --> 00:14:08.267]  And that's simply not the case.
[00:14:08.387 --> 00:14:09.647]  But it's good politically, however.
[00:14:09.667 --> 00:14:14.790]  It's very useful for autocrats to demonize and project all these social ills upon the other.
[00:14:14.850 --> 00:14:19.452]  When you have 15,000 people marching up, you have two or three border security people.
[00:14:19.492 --> 00:14:20.853]  How do you stop these people?
[00:14:21.593 --> 00:14:22.033]  You can't.
[00:14:22.474 --> 00:14:22.874]  There's no...
[00:14:26.863 --> 00:14:30.007]  That's only in the panhandle, you can get away with that statement.
[00:14:30.027 --> 00:14:30.447]  Okay, pause it.
[00:14:31.128 --> 00:14:43.562]  So the gentleman before that said that President Trump is using this, calling all black people, people of color, rapists and thugs and terrorists or, you know, criminals.
[00:14:44.738 --> 00:14:54.289]  When President Trump was referring to the people that's coming across the border that's taking our children, that's causing all this violence, he's talking about MS-13, he's talking about these gangs.
[00:14:54.870 --> 00:15:00.257]  They know very well who President Trump is referring to, but they take it and they spin it.
[00:15:00.757 --> 00:15:09.542]  And they're talking about, well, President Trump does this because it's very good politically for him to do this, to try to drum up his base, to try to drum up support, because people want to hear this.
[00:15:09.902 --> 00:15:14.824]  No one wants the chaos that's happening on the border to be taking place at all, except for the left.
[00:15:15.105 --> 00:15:23.129]  The only people that gain, or the only people that stand to benefit from the chaos that's happening on the border and across America,
[00:15:23.929 --> 00:15:24.569]  Is the left.
[00:15:25.170 --> 00:15:27.711]  Because without the chaos, the left has nothing.
[00:15:27.971 --> 00:15:33.593]  That's the only reason why they keep talking about racism, white supremacy, division in this country.
[00:15:34.154 --> 00:15:36.295]  Because without that, they have nothing.
[00:15:37.215 --> 00:15:37.735]  Nothing!
[00:15:39.176 --> 00:15:39.756]  Nothing!
[00:15:40.416 --> 00:15:41.337]  But they keep doing it.
[00:15:41.757 --> 00:15:42.357]  Over and over.
[00:15:42.857 --> 00:15:44.118]  My name is Will Johnson.
[00:15:44.998 --> 00:15:46.319]  I am sitting in for Alex.
[00:15:46.599 --> 00:15:48.500]  He will be back at the bottom of the hour.
[00:15:48.520 --> 00:15:49.660]  Please stay tuned.
[00:15:49.740 --> 00:15:50.821]  We got a lot more coming.
[00:16:02.708 --> 00:16:02.908]  Hi.
[00:16:06.050 --> 00:16:07.832]  InfoWar.
[00:16:09.373 --> 00:16:12.735]  The most banned network in the world.
[00:16:13.015 --> 00:16:16.157]  The British ended up being the most powerful empire in the world.
[00:16:16.277 --> 00:16:17.698]  Not because the Spanish couldn't fight.
[00:16:17.778 --> 00:16:19.319]  Not because the Portuguese couldn't fight.
[00:16:19.419 --> 00:16:21.941]  Not because the Austrian-Hungarian Empire couldn't fight.
[00:16:22.001 --> 00:16:24.203]  You ever wonder why British are called limeys?
[00:16:24.523 --> 00:16:26.885]  The British ended up getting basically key limes.
[00:16:27.805 --> 00:16:44.835]  When they went into the Caribbean 500 years ago, and they had their captains right, and their ship's doctors, how long sailors survived, what climates they were trying to figure out, what's making sickness, they weren't sure if it was hot air, or why they got close to the shore, more of their sailors would die in a couple days, and they figured out pretty quick it was mosquitos.
[00:16:44.975 --> 00:16:47.457]  But the British classified that 400 years ago.
[00:16:47.517 --> 00:16:52.180]  So the British would always lay off the coast, and foreigners would ask, why did the Brits lay off the coast?
[00:16:52.200 --> 00:16:53.681]  They don't want mosquitos, and they get all the
[00:16:54.321 --> 00:16:56.602]  The fevers, the malaria that came with mosquitoes.
[00:16:56.862 --> 00:16:59.402]  The Brits also figured out with their scientists, limes.
[00:16:59.603 --> 00:17:01.243]  But the Brits were suspicious.
[00:17:01.283 --> 00:17:03.144]  The average sailor thought if you swim, you get sick.
[00:17:03.184 --> 00:17:05.684]  And they thought, you know, you don't want to eat vegetables, they make you sick.
[00:17:05.704 --> 00:17:07.485]  This is what people actually thought back then.
[00:17:08.305 --> 00:17:11.426]  So they would put the limes in the grog.
[00:17:11.986 --> 00:17:12.727]  Which is, what's grog?
[00:17:12.867 --> 00:17:14.208]  One-third rum, two-thirds water.
[00:17:14.448 --> 00:17:15.809]  To make sure they would at least drink their water.
[00:17:15.849 --> 00:17:19.171]  Part of their pay, their daily ration for good behavior, was grog.
[00:17:19.391 --> 00:17:24.395]  So on the job, all sailors, Spanish, Russian, didn't matter, they were paid in alcohol.
[00:17:24.535 --> 00:17:26.176]  And part of their daily food was alcohol.
[00:17:26.216 --> 00:17:31.360]  So the British would start putting, 400 years ago, limes in the alcohol, the grog.
[00:17:31.540 --> 00:17:37.304]  And so, what would happen when they were a thousand miles from home and ran up against a Spanish frigate twice their size?
[00:17:37.464 --> 00:17:39.506]  Well, the Spanish, all their teeth had fallen out.
[00:17:39.626 --> 00:17:40.867]  They had cuts all over them.
[00:17:41.047 --> 00:17:41.848]  Open wounds.
[00:17:43.028 --> 00:17:44.089]  No fresh vegetables.
[00:17:44.109 --> 00:17:57.819]  No vitamin C. Well, notice the British for 200 years could keep it secret that limes were... And so it was a joke to all the other armies that there were bags of limes and obsessions with limes and powdered lime powder to put in.
[00:17:58.099 --> 00:18:04.144]  And they would put it in the grog to make them drink it because they knew our troops are ready to fight.
[00:18:04.764 --> 00:18:07.925]  Because they've got vitamin C. So I'm going into a plug here, but here's the deal.
[00:18:08.105 --> 00:18:15.407]  Every study, Linus Pauling won two Nobel Prizes for vitamin C. And now if you have mega dosages of it, you basically never get cancer.
[00:18:15.427 --> 00:18:16.887]  So these are the things that are known.
[00:18:17.007 --> 00:18:20.689]  If you think vitamin C is powerful, the stuff at DNA Force is even beyond that.
[00:18:21.129 --> 00:18:22.169]  It's the next level of that.
[00:18:22.389 --> 00:18:23.150]  That's what we know.
[00:18:23.490 --> 00:18:27.934]  And when your body doesn't have the good halogen of iodine, it uses the bad halogen.
[00:18:28.054 --> 00:18:31.357]  And at a certain point, the cells are using toxic chemicals to survive.
[00:18:31.597 --> 00:18:37.703]  They start mutating so they can use that and not die, but then they take over your body and you die from cancer.
[00:18:37.843 --> 00:18:45.210]  And so, so much of the deformity and the mental illness and the low IQs and everything is that people have vitamin and mineral deficiencies.
[00:18:45.390 --> 00:18:47.592]  And they work around the clock with all these fake reports.
[00:18:47.652 --> 00:18:51.716]  Oh, you don't need vitamins, you don't need minerals, you don't need... And they lower the amount you're supposed to take.
[00:18:51.776 --> 00:18:54.759]  They know exactly what they're doing.
[00:19:03.107 --> 00:19:04.569]  I love watching David Knight in the morning.
[00:19:04.809 --> 00:19:06.591]  I love tuning in to Owen Schroer.
[00:19:06.951 --> 00:19:08.312]  I love all the other shows we do here.
[00:19:08.713 --> 00:19:09.594]  But I'll be honest with you.
[00:19:10.413 --> 00:19:14.864]  We run during the breaks a lot of news reports because I'm sick of hearing the ads.
[00:19:15.766 --> 00:19:17.450]  So you think you don't want to hear an ad?
[00:19:17.650 --> 00:19:18.251]  I don't want to hear an ad.
[00:19:18.953 --> 00:19:19.695]  But here's the bottom line.
[00:19:20.703 --> 00:19:21.943]  We're barely paying the bills here.
[00:19:22.163 --> 00:19:24.584]  And I want to expand to the face of the globalists, not contract.
[00:19:24.864 --> 00:19:25.644]  I don't want them to win.
[00:19:26.024 --> 00:19:28.045]  So listen, you've got this guarantee from me.
[00:19:28.945 --> 00:19:31.705]  We sell enough product, we'll have less ads and less plugs.
[00:19:32.065 --> 00:19:34.826]  And we'll expand and really give the globalists a run for their money.
[00:19:35.226 --> 00:19:38.967]  But we've got products you already really need, like DNA Force Plus, X2.
[00:19:39.007 --> 00:19:40.247]  These will change your life.
[00:19:40.587 --> 00:19:41.967]  Go check out the turmeric products.
[00:19:41.987 --> 00:19:43.688]  Check out the water filtration, air filtration.
[00:19:43.988 --> 00:19:44.648]  Check it all out.
[00:19:44.668 --> 00:19:48.229]  Whatever you do, take action and know, be part of the second American revolution.
[00:19:48.429 --> 00:19:49.609]  Be part of crushing the globalists.
[00:19:50.009 --> 00:19:51.650]  You're listening to the Alex Jones Show!
[00:20:34.588 --> 00:20:35.508]  All right, welcome back.
[00:20:35.528 --> 00:20:38.250]  SimpleWars.com.
[00:20:41.191 --> 00:20:45.293]  Will Johnson, UnitedAmericaFirst.com, guest host sitting in for Alex.
[00:20:46.173 --> 00:20:51.215]  He is on vacation, but like I said earlier, he is never on vacation.
[00:20:51.275 --> 00:20:53.016]  He's always working hard.
[00:20:54.205 --> 00:20:57.787]  He's never, he's never stopped fighting against this tyranny.
[00:20:58.047 --> 00:21:12.976]  Okay, so what I was talking about before we went to the break, I was talking about Bernie Sanders and the white supremacists and how they're targeting President Trump and the main reason why they're doing this is to get black people, people of color, to not vote for President Trump.
[00:21:13.416 --> 00:21:18.179]  There was an article that came out, I guess it was maybe two weeks ago,
[00:21:19.079 --> 00:21:24.242]  Where they said it was 36% of the black community now supports President Trump.
[00:21:24.442 --> 00:21:27.224]  Can you imagine that?
[00:21:27.244 --> 00:21:27.224]  36%!
[00:21:27.304 --> 00:21:31.067]  So, all they're thinking is, okay, we have to change this number.
[00:21:31.467 --> 00:21:35.569]  We can't have people believing that President Trump is for the American people.
[00:21:36.490 --> 00:21:44.015]  You know, one thing that I've noticed, and I've always noticed this from the past, that every time you have a white person
[00:21:45.148 --> 00:21:45.828]  Yes, there it is.
[00:21:46.168 --> 00:21:54.930]  Every time you have a white person that does something, and I'm using President Trump in this example, but it's happened in the past, in history.
[00:21:55.290 --> 00:22:01.351]  Every time you have a white person that does something and black people benefit, guess what they do?
[00:22:02.171 --> 00:22:05.672]  They say he's a white supremacist, or they say he's being racist.
[00:22:06.432 --> 00:22:07.993]  It happens every single time.
[00:22:10.775 --> 00:22:14.397]  Or, if they don't call you white supremacist and they take you out, look at what they did to Abe Lincoln.
[00:22:14.717 --> 00:22:16.779]  You know, he freed the slaves.
[00:22:17.099 --> 00:22:17.779]  They took him out.
[00:22:18.820 --> 00:22:21.521]  They can't have those type of scenarios.
[00:22:21.541 --> 00:22:25.444]  They can't have people like President Trump helping black people and going around.
[00:22:25.784 --> 00:22:27.405]  What has President Trump done?
[00:22:28.550 --> 00:22:35.316]  Name one thing that he has done that would validate saying that he is a white supremacist.
[00:22:35.676 --> 00:22:36.617]  Because, oh, wait a minute.
[00:22:36.777 --> 00:22:37.938]  Charlottesville, right?
[00:22:38.058 --> 00:22:38.638]  Charlottesville.
[00:22:38.698 --> 00:22:41.260]  He said there were good people on both sides.
[00:22:42.021 --> 00:22:46.505]  I wish they would stop saying that there's no Democrats that are good on both sides.
[00:22:46.845 --> 00:22:50.648]  I mean, I wish they would say that because there has to be at least one Democrat that's good on that side.
[00:22:50.888 --> 00:22:51.629]  You get my point.
[00:22:53.134 --> 00:22:56.921]  But they keep saying that he's talking about all the white supremacists, good people on both sides.
[00:22:57.502 --> 00:23:00.086]  As if white people on the right are not good.
[00:23:01.729 --> 00:23:04.434]  You have to pay attention to exactly how they're doing this.
[00:23:04.775 --> 00:23:05.957]  And you know what, for the most part,
[00:23:06.764 --> 00:23:24.655]  Majority of the American people, they're either not even paying attention to this craziness, or if they are, the people that have brain cells left, they're not even saying, you know what, they're acknowledging that what the left is doing is completely crazy, and it does not go along with rational thinking.
[00:23:25.336 --> 00:23:26.997]  The American people are not dumb!
[00:23:28.066 --> 00:23:31.129]  The American people are not stupid, but for some reason you have the left.
[00:23:31.450 --> 00:23:36.715]  They believe that the American people don't understand what they're doing.
[00:23:36.735 --> 00:23:44.183]  For another example, and I'm not going to go into great detail on it, but Epstein, they believe that the American people
[00:23:45.369 --> 00:23:48.571]  Won't even question, how did Epstein die?
[00:23:49.411 --> 00:23:52.013]  Or all of these different things that took place during that.
[00:23:52.373 --> 00:23:58.717]  They expect, my point in that, is that they expect the American people to just go along with it and not even question it.
[00:23:59.517 --> 00:24:00.317]  This is what happened.
[00:24:00.337 --> 00:24:01.038]  This is what took place.
[00:24:01.738 --> 00:24:03.759]  Okay, so I have another video I want to play.
[00:24:03.799 --> 00:24:05.100]  This is of Cory Booker.
[00:24:05.560 --> 00:24:05.840]  Okay?
[00:24:06.561 --> 00:24:08.082]  Or, I like to say Cory Booger.
[00:24:09.002 --> 00:24:09.763]  This is going to be number 10.
[00:24:11.007 --> 00:24:19.168]  I want to play this clip of Corey where he's trying to act like he's not, like he's not the racist or he's not sponsoring it.
[00:24:19.328 --> 00:24:20.569]  But that's exactly what they do.
[00:24:20.609 --> 00:24:26.310]  The Democrats sponsor, they advocate for it, they push for it, they want the division.
[00:24:26.470 --> 00:24:27.690]  Without it, they have nothing.
[00:24:28.150 --> 00:24:29.930]  Okay, so let's go to this clip, number 10.
[00:24:31.010 --> 00:24:40.032]  We can't let these conversations devolve into the impotent simplicity of who is or isn't a racist.
[00:24:41.513 --> 00:24:56.176]  Because if the answer to the question, do racism and white supremacy exist, is yes, then the real question isn't who is or isn't a racist, but who is and isn't doing something about it.
