[00:00:09.736 --> 00:00:10.297]  And welcome back.
[00:03:05.490 --> 00:03:06.531]  I'm sorry, I can't tell.
[00:03:06.591 --> 00:03:06.891]  Good luck.
[00:03:06.951 --> 00:03:09.454]  We're just trying to get people to notice and to see these.
[00:03:09.474 --> 00:03:10.575]  Do you have guns?
[00:03:10.655 --> 00:03:11.556]  I agree with you.
[00:03:25.111 --> 00:03:29.978]  I am on your side on this, but I'm just wondering if that's not an imitation of somebody with a gun.
[00:03:29.998 --> 00:03:33.143]  Do you want to find out?
[00:03:33.243 --> 00:03:36.168]  I don't know, I want to think about it.
[00:03:36.268 --> 00:03:38.872]  I agree with you, but I'm not sure about the sign.
[00:03:43.501 --> 00:03:50.164]  But you're concerned that if you say you're gun-free, somebody with a gun is going to come and... I think, yeah.
[00:03:50.484 --> 00:03:51.965]  I've got to put signs out.
[00:03:52.005 --> 00:04:02.090]  The problem in this town is, you know, somebody driving by around here might think it's a, seriously, might think it's an invitation to come barging in.
[00:04:02.170 --> 00:04:08.513]  If it said Citizens Against Senseless Violence, without this homeless crowd being gun-free, I would put the sign up.
[00:04:17.414 --> 00:04:21.836]  I agree with you in terms of gun control.
[00:04:21.956 --> 00:04:25.998]  I'm sorry, are you the same one that's on TV?
[00:04:26.918 --> 00:04:27.698]  Yeah.
[00:04:27.738 --> 00:04:30.939]  We can assume that you're not a gun owner yourself and there are no guns there.
[00:04:33.305 --> 00:04:36.366]  What are the chances we could get something like on this door?
[00:04:36.386 --> 00:04:39.426]  I notice it's all like a glass door in the front.
[00:04:39.466 --> 00:04:43.747]  Something that just says, you know, this building probably gun free or something like that.
[00:04:44.068 --> 00:04:54.990]  Um, I mean, uh, I mean, you know, I mean, I mean, I, you know, that I'd have to talk to my neighbors.
[00:04:55.090 --> 00:05:00.211]  I don't, you know, I don't know that I don't honestly don't know if they, what they feel.
[00:05:00.271 --> 00:05:00.851]  Thank you.
[00:05:01.052 --> 00:05:02.092]  Thank you very much.
[00:05:02.172 --> 00:05:02.912]  Good luck.
[00:05:03.212 --> 00:05:07.958]  Thank you!
[00:05:08.519 --> 00:05:12.924]  Hi, we're Citizens Against the Sense of Smiling.
[00:05:12.964 --> 00:05:13.705]  We're going around.
[00:05:13.725 --> 00:05:16.108]  This home is probably gun free.
[00:05:16.308 --> 00:05:17.550]  What does that mean?
[00:05:18.465 --> 00:05:19.666]  Well, you're against guns?
[00:05:19.786 --> 00:05:19.947]  Yes.
[00:05:20.047 --> 00:05:21.168]  You're against guns?
[00:05:21.909 --> 00:05:22.269]  I'm not.
[00:05:22.289 --> 00:05:24.591]  Does that answer your question?
[00:05:25.412 --> 00:05:32.339]  Yeah, they put us down on the internet and they put my wife's name by mistake.
[00:05:32.399 --> 00:05:33.280]  Do you believe that?
[00:05:34.120 --> 00:05:35.001]  They're against guns.
[00:05:35.382 --> 00:05:36.723]  You're against guns?
[00:05:36.823 --> 00:05:37.604]  I said I'm not.
[00:05:44.875 --> 00:05:50.399]  Yeah, well, the only problem is we can't put it up.
[00:05:50.499 --> 00:05:52.520]  My wife works for the newspaper.
[00:05:52.540 --> 00:05:54.521]  I moved to Canada because I hated guns.
[00:06:12.754 --> 00:06:13.956]  He's never going to be guns.
[00:06:14.056 --> 00:06:20.945]  What the issue is, is that you've got to get him back down to one bullet magazines.
[00:06:21.186 --> 00:06:24.470]  He's armed, and there's no threats.
[00:06:24.971 --> 00:06:25.492]  Against you?
[00:06:26.253 --> 00:06:26.813]  No, my wife.
[00:06:37.287 --> 00:06:40.189]  Okay, we're with Citizens Against Senseless Violence.
[00:06:40.249 --> 00:06:42.471]  Okay, I will definitely pass that along to them.
[00:06:42.491 --> 00:06:44.312]  This is our last one.
[00:06:44.392 --> 00:06:46.914]  Unless they absolutely want it.
[00:06:46.974 --> 00:06:48.735]  I'm sure they don't want this to all go away.
[00:06:48.755 --> 00:06:51.557]  They don't want to publicize it any further than it already is.
[00:06:51.637 --> 00:06:53.358]  Would you like a sign for your front yard?
[00:06:53.398 --> 00:06:57.081]  I definitely do not, thank you.
[00:06:57.141 --> 00:06:58.822]  Maybe she's putting on a robe or something.
[00:07:00.123 --> 00:07:00.983]  Where's she going?
[00:07:01.124 --> 00:07:04.926]  We're being started.
[00:07:04.946 --> 00:07:05.567]  Yeah, come on, let's go.
[00:07:08.796 --> 00:07:09.097]  Okay.
[00:07:09.477 --> 00:07:11.819]  Wait, they said that- You can't record me.
[00:07:11.839 --> 00:07:11.999]  Okay.
[00:07:12.319 --> 00:07:12.419]  Okay.
[00:07:12.439 --> 00:07:14.861]  It's against the law to record me.
[00:07:15.381 --> 00:07:23.708]  Four Federal Circuit Courts of Appeal have all agreed that recording police officers in their line of duty in public is fully protected under the First Amendment.
[00:07:25.333 --> 00:07:31.698]  I actually think that the person whose doorbell you rang thought you were coming... I think they actually agree with that.
[00:07:31.798 --> 00:07:34.961]  And they thought you were coming from an opposition group.
[00:07:34.981 --> 00:07:46.070]  They phoned us because their president there is an employee of a company that is undergoing some backlash.
[00:07:46.770 --> 00:07:51.354]  Morning.
[00:07:53.636 --> 00:07:54.757]  Is this your home here?
[00:07:56.314 --> 00:08:02.277]  We're the Citizens Against Senseless Violence.
[00:08:02.297 --> 00:08:04.618]  This is private property, Anderson.
[00:08:04.658 --> 00:08:06.338]  This is private property.
[00:08:06.458 --> 00:08:08.920]  We want to call the police on you before I call the police.
[00:08:08.960 --> 00:08:10.460]  This is private property.
[00:08:10.480 --> 00:08:15.663]  We want to get you off the streets, out of our homes, away from our kids, out of our schools.
[00:08:15.723 --> 00:08:16.523]  I understand.
[00:08:16.583 --> 00:08:17.843]  This is private property.
[00:08:17.903 --> 00:08:19.504]  Are you the homeowner here, sir?
[00:08:19.624 --> 00:08:20.805]  Sir, I'm asking you nicely.
[00:08:20.865 --> 00:08:21.865]  I don't want to call the police.
[00:08:21.905 --> 00:08:23.446]  You're on private property.
[00:08:24.492 --> 00:08:26.273]  This is actually not private property.
[00:08:26.553 --> 00:08:28.174]  It's private property when it's saturated.
[00:08:28.274 --> 00:08:29.195]  It's saturated.
[00:08:29.295 --> 00:08:29.975]  It's saturated.
[00:08:29.995 --> 00:08:30.676]  50 by 100 is a lot.
[00:08:30.716 --> 00:08:31.796]  That's private property.
[00:08:31.916 --> 00:08:32.757]  Unless you pay my taxes.
[00:08:32.837 --> 00:08:33.898]  I do pay taxes.
[00:08:54.684 --> 00:09:10.853]  We are with a newly formed group called Citizens Against Census Violence, and we're just trying to get support from folks in the D.C.
[00:09:10.953 --> 00:09:15.616]  area to kind of promote the cause, no guns on the street, that kind of thing.
[00:09:18.285 --> 00:09:21.866]  You don't know if they're, like, not allowed to have signs or anything like that?
[00:09:21.906 --> 00:09:23.246]  Because there's none in the neighborhood.
[00:09:23.286 --> 00:09:27.027]  I know they won't, but I don't know about anybody else.
[00:09:48.710 --> 00:09:50.691]  We're Citizens Against Senseless Violence.
[00:09:50.711 --> 00:09:53.312]  We're assuming this is a gun-free household.
[00:09:53.332 --> 00:09:56.273]  I hope that's correct.
[00:09:56.773 --> 00:10:00.034]  Thank you for the visit, but I'm not going to take any of your signs.
[00:10:00.374 --> 00:10:05.116]  I appreciate what you're doing, but by the same token, I'm going to pass on the sign, okay?
[00:10:05.136 --> 00:10:05.576]  Alright.
[00:10:05.716 --> 00:10:06.336]  Thanks for coming.
[00:10:08.977 --> 00:10:11.358]  Alright, we're with Citizens Against Senseless Violence.
[00:10:11.758 --> 00:10:12.698]  Can we sign you up?
[00:10:12.718 --> 00:10:13.999]  No thanks.
[00:10:15.282 --> 00:10:16.863]  Yeah, any particular reason?
[00:10:16.943 --> 00:10:18.423]  Are you gun owners?
[00:10:30.688 --> 00:10:34.990]  Again, not a single member of the media willing to live up to the strength of their convictions.
[00:10:35.770 --> 00:10:43.233]  Now a final parting thought from our good friend Bob Braun at the Star Ledger, which also wants to target law-abiding gun owners.
[00:10:43.672 --> 00:10:51.258]  I was trying to get a nasty note from one of my most progressive friends who says, because I'm a columnist and I wrote a column against...
[00:10:52.648 --> 00:11:00.113]  I'm sure your gun was and he said, you're a fool because when the right wing takes over the government, you're going to need guns.
[00:11:00.513 --> 00:11:04.796]  So he's worried the right wing is going to take over and then... Yeah, and there won't be guns.
[00:11:04.836 --> 00:11:07.258]  They'll fight them back.
[00:11:07.318 --> 00:11:11.961]  Then I said to him, but they got the army, you know, they got the army and the navy and the marines and everything else.
[00:11:12.061 --> 00:11:15.163]  And he said, well, he said there's going to be a revolution there too, but you know.
[00:11:16.286 --> 00:11:17.987]  Okay James, so we just watched the video.
[00:11:18.027 --> 00:11:20.848]  Tell us how that came about and what prompted you to take those actions.
[00:11:21.388 --> 00:11:24.790]  The first thing that we saw was David Gregory in Washington D.C.
[00:11:25.330 --> 00:11:34.434]  on NBC News carry a gun clip on the air, a magazine, and he was not prosecuted for doing that.
[00:11:34.815 --> 00:11:35.435]  I remember that, yeah.
[00:11:35.635 --> 00:11:46.837]  And the second thing that happened is we saw in Westchester County, New York, they printed the names of all these law-abiding gun owners and outed them, neglecting their privacy concerns, they outed them as gun owners.
[00:11:46.877 --> 00:12:00.860]  So we thought, well, if they're willing to publicize the names of gun owners, what if we went to their homes, the homes of the journalists, the Fourth Estate, and even some politicians, and asked them to post a sign on their property saying, this house is proudly gun-free.
[00:12:00.880 --> 00:12:02.940]  And we got just unbelievably
[00:12:03.720 --> 00:12:10.008]  It's hilarious and hypocritical reactions where people are actually offering justifications for the Second Amendment at their homes.
[00:12:10.048 --> 00:12:13.612]  They say, I don't want to post that sign because someone might barge into my home.
[00:12:14.553 --> 00:12:18.158]  One reporter for the Star-Ledger says it might be an invitation for someone with a gun.
[00:12:18.760 --> 00:12:27.564]  Yeah, I remember watching that, and I'm looking at these people, these anti-gun advocates, like you said, some of these people even took part in publishing the addresses of gun owners.
[00:12:27.924 --> 00:12:32.606]  But when you go to their homes, like one of the ladies you mentioned, and she says, no, I don't want that in my front yard.
[00:12:32.646 --> 00:12:32.866]  Why?
[00:12:32.906 --> 00:12:33.987]  Because someone might break in.
[00:12:34.507 --> 00:12:34.847]  Really?
[00:12:34.867 --> 00:12:35.707]  Really?
[00:12:35.727 --> 00:12:40.430]  You think someone might break into your house if you have a sign advertising that it's a gun-free zone?
[00:12:40.470 --> 00:12:41.190]  Who would have thunk it?
[00:12:41.837 --> 00:12:42.197]  That's right.
[00:12:42.217 --> 00:12:43.819]  They also have armed guards.
[00:12:44.439 --> 00:12:54.868]  These individuals, these journalists, are oftentimes wealthy or politically connected or powerful enough to be able to get 24-7 armed guards.
[00:12:55.488 --> 00:13:03.875]  And the irony is that one of the individuals, the publisher's husband for this newspaper, pointed to the armed guard and said, you know, we're armed.
[00:13:04.435 --> 00:13:08.939]  And then he says in the next sentence, I want to ban guns, get them down to one bullet magazines.
[00:13:09.279 --> 00:13:09.760]  I remember that.
[00:13:10.200 --> 00:13:13.583]  Unbelievable, just visual hypocrisy for the world to see.
[00:13:14.484 --> 00:13:21.711]  And I'm so glad you guys did that, because you've done some other projects in the past, but I think this is by far your best that I've seen.
[00:13:21.951 --> 00:13:24.493]  This video definitely needs to go viral.
[00:13:24.533 --> 00:13:30.959]  Last time I checked it was, I think, 160,000 hits on just that particular page I was looking at.
[00:13:31.380 --> 00:13:34.703]  But it's definitely a great illustration of the people we're dealing with.
[00:13:35.103 --> 00:13:35.343]  I don't know.
[00:13:57.076 --> 00:14:06.361]  That's right, and it's also an issue where you're denying middle class and people who are less fortunate the ability to defend themselves.
[00:14:06.542 --> 00:14:11.645]  Only the rich, only the journalists, only the fourth estate, the people above the law, they can protect themselves.
[00:14:12.105 --> 00:14:13.626]  And in Westchester County, New York, where
[00:14:14.606 --> 00:14:18.629]  Coincidentally, our office at ProjectVeritas.com is located in Westchester, New York.
[00:14:19.249 --> 00:14:27.054]  If you wanted to apply to get a gun in this county, in New York State, you'd have to go and interview with a police officer.
[00:14:27.794 --> 00:14:33.518]  And the first available interview to get approval from a police officer is in August.
[00:14:34.298 --> 00:14:34.638]  Really?
[00:14:34.898 --> 00:14:36.319]  That's the type of process.
[00:14:36.339 --> 00:14:40.221]  To get a permit to own a gun in New York State.
[00:14:40.381 --> 00:14:45.124]  You can't even do it legally until and if you are privileged enough to get the approval.
[00:14:45.604 --> 00:14:50.447]  And these people have armed guards 24-7 guarding their properties because they can afford to.
[00:14:51.888 --> 00:14:57.011]  It's absolutely unconscionable, the type of things that our fourth estate is doing.
[00:14:57.811 --> 00:14:58.932]  That's what we're trying to expose here.
[00:14:59.452 --> 00:14:59.892]  Exactly.
[00:15:00.252 --> 00:15:05.814]  Now, we saw recently in New York, Mayor Cuomo, heavy, heavy gun restrictions.
[00:15:06.114 --> 00:15:09.135]  He says he doesn't even want you to have more than, I believe it's eight bullets.
[00:15:09.956 --> 00:15:11.176]  Different things such as that.
[00:15:11.356 --> 00:15:17.338]  And I believe it was Senator Ball from New York who brought up the example of the lady defending her children.
[00:15:17.658 --> 00:15:25.821]  And he said that had she had nine bullets in her gun instead of six or seven, whatever she had, she would have been a criminal defending herself in her own home.
[00:15:26.451 --> 00:15:30.272]  Yeah, they passed a ban on anything over seven.
[00:15:31.492 --> 00:15:32.852]  Seven bullets for the magazines.
[00:15:33.332 --> 00:15:38.873]  And I assure you that some of those security guards probably have a few more than seven bullets in their magazines currently.
[00:15:38.913 --> 00:15:52.116]  While the husband of the publisher for the Journal News is saying that we should have muskets with one bullet, his own armed security guard has probably a Glock handgun that has ten bullets.
[00:15:54.856 --> 00:15:55.957]  It's rich with irony.
[00:15:55.997 --> 00:15:59.100]  One of our other favorite moments was Touré from MSNBC.
[00:15:59.660 --> 00:16:05.705]  We visited him home in Brooklyn, New York, and we asked him to post a sign saying his house was proudly gun-free.
[00:16:06.125 --> 00:16:11.430]  Touré had previously demanded that the names of gun owners be published.
[00:16:11.750 --> 00:16:11.930]  Right.
[00:16:12.431 --> 00:16:14.252]  And he demanded that people have a right to know.
[00:16:14.753 --> 00:16:27.603]  Then, when we asked Toure to publish a sign saying his home was gun-free, there's this hilarious moment where he's stuttering and stumbling and trying to come up with some excuse on why he should not advertise himself as being gun-free.
[00:16:27.943 --> 00:16:28.404]  Exactly.
[00:16:28.424 --> 00:16:40.253]  And I remember that particular example, but I think my favorite part in the clip was when you go to the guy's house and you say, I think he was just a private citizen, say, hey, would you like to have this gun-free zone sign in front of your house?
[00:16:40.273 --> 00:16:41.134]  He said, man, I'm packing.
[00:16:41.574 --> 00:16:44.735]  He lifts up his shirt and he shows you his concealed weapon.
[00:16:45.075 --> 00:16:48.016]  He lifted up his shirt and he said, I'm not against guns.
[00:16:48.056 --> 00:16:49.156]  Does that answer your question?
[00:16:49.176 --> 00:16:50.136]  Right.
[00:16:50.236 --> 00:16:52.717]  It's this very funny moment.
[00:16:52.737 --> 00:16:56.017]  You have to watch the video and see it because he just lifts up his shirt.
[00:16:58.598 --> 00:17:02.039]  I guess he's a more sensibly minded person than some of our other journalist friends.
[00:17:02.779 --> 00:17:03.279]  Exactly.
[00:17:03.539 --> 00:17:21.524]  Now we've seen in the media this demonization of Second Amendment, a lot of smoke and mirrors, because you get a lot of these guys, these late night guys, these talk guys, they say, hey, we just want to ban assault weapons, we just want to ban high capacity magazines, and then they follow it up, we have no problem with you defending yourself in your home.
[00:17:22.004 --> 00:17:23.165]  They always slide that in there.
[00:17:23.365 --> 00:17:27.906]  We just want to get rid of these big powerful rifles, but you can defend yourself in your home.
[00:17:28.616 --> 00:17:30.418]  And then they say, nobody's trying to take your guns.
[00:17:30.438 --> 00:17:35.023]  We see Senator Dianne Feinstein, who herself has a concealed weapon.
[00:17:35.463 --> 00:17:42.411]  She had the famous clip on 60 Minutes where she says, Mr. and Mrs. America, turn them all in, saying she wants to get rid of all guns.
[00:17:42.951 --> 00:17:50.039]  The Illinois Senate, who tried twice in a week, I believe once on a Sunday, to ban things as simple as pump-action shotguns.
[00:17:50.639 --> 00:17:54.122]  I mean the hypocrisy of these people is just unfathomable.
[00:17:54.402 --> 00:18:05.149]  What you're getting at is something that really our video is resonating with the grassroots and yeah of course it's not resonating with the mainstream media but it's resonating on Twitter and Facebook and all over America right now.
[00:18:05.590 --> 00:18:09.452]  What you're getting at is this notion that guns for me but not for thee.
[00:18:09.713 --> 00:18:10.053]  Exactly.
[00:18:10.713 --> 00:18:20.700]  We measure the courage of their convictions and find out that these journalists and these politicians and these powerful people, they apply rules for everyone and they exempt themselves.
[00:18:21.320 --> 00:18:23.441]  It's do as I say, not as I do.
[00:18:23.882 --> 00:18:25.042]  And I would respect them.
[00:18:25.163 --> 00:18:30.366]  I would respect if they were willing to put the sign in their lawn and be philosophically consistent.
[00:18:30.806 --> 00:18:32.688]  But they're not philosophically consistent.
[00:18:32.708 --> 00:18:39.535]  They project this policy and all these things, but they're frauds and cowards because they don't apply it to their own lives.
[00:18:39.975 --> 00:18:43.859]  And I think, as citizen journalists, we need to do more of this.
[00:18:43.899 --> 00:18:49.305]  We need to expose hypocrisy and blatant corruption amongst our public officials.
[00:18:49.325 --> 00:18:51.207]  And that's what the point of the video was.
[00:18:51.727 --> 00:18:52.988]  Exactly, it is a great video.
[00:18:53.448 --> 00:18:58.511]  So, now if we could talk about another one of your videos, this one is a little older, but I watched this yesterday and I had a good laugh.
[00:18:59.211 --> 00:19:02.793]  I've been familiar with some of your other videos, but this is my first time seeing this particular one.
[00:19:03.614 --> 00:19:10.578]  You dressed up as a pimp, I believe it was you, and you go to Project Acorn to get free housing for your prostitute friend?
[00:19:11.727 --> 00:19:12.668]  Yeah, yeah.
[00:19:12.748 --> 00:19:14.129]  This was actually about three years ago.
[00:19:14.189 --> 00:19:24.956]  We went around the country and we posed as a pimp and a hooker and we talked about starting a brothel and getting assistance from, at that point, it was taxpayer-funded Acorn.
[00:19:25.176 --> 00:19:27.258]  President Obama was an attorney for Acorn.
[00:19:28.098 --> 00:19:43.468]  And we caught all these ACORN employees on tape telling us how to classify our prostitutes as dependents on our tax forms and get tax credits for child prostitutes and various other corrupt and highly immoral activities.
[00:19:44.089 --> 00:19:50.593]  And President Obama voted to defund ACORN after these videos came out and the House and Senate cut funding.
[00:19:50.913 --> 00:19:52.194]  And ACORN declared bankruptcy.
[00:19:52.995 --> 00:19:56.957]  We visited roughly a dozen offices and every single office helped us
[00:19:58.258 --> 00:20:00.558]  I can be the one who... I have documentation, right?
[00:20:00.618 --> 00:20:04.699]  So I can be the one, basically, put up the house for her and then she can perform tricks in the house.
[00:20:27.105 --> 00:20:27.585]  Okay.
[00:20:30.387 --> 00:20:34.810]  I can be the one, basically, put up the house for her and then she can perform tricks in the house.
[00:20:35.050 --> 00:20:35.230]  Yep.
[00:20:36.331 --> 00:20:36.771]  Okay.
[00:20:36.791 --> 00:20:42.855]  The other thing is, if you can buy the home, but if you buy the home, you have no knowledge of what's going on in that home.
[00:20:42.875 --> 00:20:45.977]  You're just nothing but the landlord.
[00:20:45.997 --> 00:20:46.738]  I said that again.
[00:20:46.838 --> 00:20:48.619]  You have no knowledge of what's going on.
[00:20:48.679 --> 00:20:49.620]  You're just the landlord.
[00:20:49.700 --> 00:20:50.520]  I'm just keeping it real.
[00:20:50.560 --> 00:20:51.401]  You're just the landlord.
[00:20:53.960 --> 00:21:05.507]  Okay, so we saw that video of Project Acorn and the corruption that goes on in there.
[00:21:05.627 --> 00:21:13.551]  You even tell these people straight up, hey, I'm bringing in underage prostitutes from, I believe it was Ecuador, and they're like, oh yeah, that's perfectly fine.
[00:21:13.959 --> 00:21:31.304]  Yeah, we said we have a shipment from El Salvador of underage prostitutes and ACORN, a federally funded entity which received funding from the federal government, actually gave us advice on how to get around tax laws and skirt the law.
[00:21:31.364 --> 00:21:35.625]  We did it in New York, we did it in Baltimore, California.
[00:21:36.505 --> 00:21:43.030]  Every single time we went in there, they tried to help us and give us advice on how to get a brothel.
[00:21:43.270 --> 00:21:46.172]  Yeah, and not just that, how not to get caught.
[00:21:46.472 --> 00:21:49.474]  How not to get caught, keep the girls' mouths shut.
[00:21:49.895 --> 00:21:54.558]  There's just a treasure trove of quotes from you two that you can pull.
[00:21:54.938 --> 00:22:01.102]  It was sort of a reinvention of guerrilla journalism, old-fashioned undercover journalism that 60 Minutes used to do.
[00:22:02.904 --> 00:22:10.152]  And not only that, but our NPR videos have prompted the House of Representatives to issue a vote to defund National Public Radio.
[00:22:10.172 --> 00:22:16.799]  Our videos on voter fraud have resulted in Eric Holder testifying before Congress.
[00:22:17.239 --> 00:22:24.221]  We've had multiple congressmen cite our voter fraud videos showing ballots being offered out to multiple people and dead people.
[00:22:25.522 --> 00:22:32.004]  But I think this newest video resonates with a lot of people because people tend to love the work we do.
[00:22:32.044 --> 00:22:35.025]  It focuses on media corruption and media hypocrisy.
[00:22:35.525 --> 00:22:37.385]  And that's what this current video is about.
[00:22:37.846 --> 00:22:38.306]  Exactly.
[00:22:38.646 --> 00:22:43.047]  Now, before we start this interview, you were telling me a little bit about your experiences with Planned Parenthood.
[00:22:43.067 --> 00:22:45.508]  Can you let our audience in on that?
[00:22:46.052 --> 00:22:49.854]  That's actually how I got started doing some of this stuff nationally.
[00:22:50.635 --> 00:23:05.703]  I worked with a young woman named Lila Rose at UCLA, and we had the idea of going into these clinics and doing undercover films on what they would say when they're prompted with a question, you know, like, I'm 13 years old, I want an abortion.
[00:23:06.403 --> 00:23:12.610]  And they would often give us advice on how to break the law to, you know, get around statutory rape and things like that.
[00:23:12.630 --> 00:23:13.010]  Oh my gosh.
[00:23:13.231 --> 00:23:15.493]  So then we said, well, what if we took it a step further?
[00:23:15.914 --> 00:23:22.721]  What if we called Planned Parenthood posing as a racist donor whose intention is to abort African-American babies?
[00:23:22.781 --> 00:23:24.323]  And we gave the reason.
[00:23:24.343 --> 00:23:26.845]  We said, quote, there are too many black children
[00:23:27.586 --> 00:23:28.727]  In America.
[00:23:28.807 --> 00:23:29.947]  And we want to get rid of them.
[00:23:30.807 --> 00:23:36.470]  And we said this to one of the vice presidents and she actually responded by saying, it's understandable.
[00:23:37.230 --> 00:23:38.710]  And she's excited to do this.
[00:23:39.471 --> 00:23:44.853]  And it prompted some resignations at Planned Parenthood and a boatload of national media coverage.
[00:23:45.580 --> 00:23:46.841]  Well, it's the power of the press.
[00:23:46.861 --> 00:23:52.745]  Like you said, this guerrilla journalism that's so strong that you do, Luke does up in New York.
[00:23:53.165 --> 00:23:57.208]  Just a whole network of people and we'd like to see more things like that.
[00:23:57.548 --> 00:23:59.470]  So what's next for Project Veritas?
[00:24:00.666 --> 00:24:07.888]  We don't reveal the contents of our coming investigations, but there is more on this subject.
[00:24:08.408 --> 00:24:10.669]  We will be, you know, on the Second Amendment.
[00:24:10.689 --> 00:24:22.132]  There are a lot of issues and hypocrisy issues, corruption issues, fraud issues in the press and elsewhere, and there will be more like what you just saw coming out hopefully very soon.
[00:24:22.881 --> 00:24:23.382]  Great, great.
[00:24:23.702 --> 00:24:25.324]  Closing comments, James O'Keefe.
[00:24:25.724 --> 00:24:37.458]  Please, if you support us, if you want us to make more of these videos, Project Veritas, that's V-E-R-I-T-A-S dot com, you can make a tax-deductible donation to assist with our journalism efforts.
[00:24:38.263 --> 00:24:41.705]  Great, and our audience can see it right there on the screen, Project Veritas.
[00:24:42.005 --> 00:24:45.907]  And you can see the gun violence sign on the screen.
[00:24:46.807 --> 00:24:48.808]  This house is proudly gun-free.
[00:24:49.248 --> 00:24:55.592]  So, hopefully you can pass one or two of those out and we'll see those in some politicians' lawn, some journalists' lawn.
[00:24:56.012 --> 00:24:57.332]  Thank you for your time, James O'Keefe.
[00:24:57.713 --> 00:24:58.333]  Thanks for having me.
