[00:00:10.730 --> 00:00:17.781]  Who controls the past, controls the future.
[00:03:35.053 --> 00:03:52.676]  Now, we're going to have a special dedicated page that's going to be covering Bilderberg, a special site, and it's going to have live reports, interviews, articles, as well as your Twitter conversations, and all that is going to be in one central location, so stay tuned, we're going to be rolling that out later this week.
[00:03:53.596 --> 00:03:57.484]  Now, a past Bilderberg attendee has been in the news quite a bit.
[00:03:57.724 --> 00:03:59.287]  He's also an indicted war criminal.
[00:03:59.307 --> 00:04:01.491]  Yes, I'm talking about Henry Kissinger.
[00:04:02.152 --> 00:04:05.078]  It was just today that Alex talked to Luke Radowsky.
[00:04:06.024 --> 00:04:11.727]  About a conversation that he had, and you can see that on our website, you can see it on the internet, with Henry Kissinger.
[00:04:12.127 --> 00:04:20.091]  Amazingly, Henry Kissinger was being given a Peace Prize award by none other than former General Petraeus.
[00:04:20.851 --> 00:04:24.193]  Now, Henry Kissinger is an indicted war criminal.
[00:04:24.713 --> 00:04:31.336]  And just to kind of give you an idea of what I mean by that, he was actually indicted by a Spanish judge named Garzon in Spain.
[00:04:31.856 --> 00:04:33.277]  And this is what he was indicted for.
[00:04:33.877 --> 00:04:41.565]  He was responsible for nerve gas being shipped into Vietnam in violation of treaties where that is illegal.
[00:04:41.705 --> 00:04:48.352]  And that nerve gas was used to gas an entire Vietnamese village of old men, women, and children.
[00:04:48.852 --> 00:04:53.137]  The purpose of gassing that village was to get two American deserters.
[00:04:56.200 --> 00:05:08.610]  Those kind of war crimes, as well as the bombing of Cambodia, those are the things that, outside of opening up a path to China and being impeached, those are the things that we remember about Richard Nixon and Henry Kissinger.
[00:05:09.410 --> 00:05:16.036]  But what Luke confronted him on was the quote that just recently surfaced, just within the last month, from WikiLeaks.
[00:05:16.776 --> 00:05:23.060]  A quote from Henry Kissinger where he said, the illegal we do immediately, the unconstitutional takes a little longer.
[00:05:23.861 --> 00:05:25.762]  Now he also had this to say.
[00:05:26.522 --> 00:05:28.844]  We are now facing a common challenge.
[00:05:30.244 --> 00:05:40.471]  And the challenge is how to build a world order for the first time in history on a global basis.
[00:05:42.455 --> 00:05:45.679]  Yeah, building a world order for the first time in history on a global basis.
[00:05:45.779 --> 00:05:48.702]  And a key part of that, that speech was made at the Asia Society.
[00:05:48.722 --> 00:05:52.146]  And we have an article about that on InfoWars.com by Kurt Nimmo.
[00:05:52.167 --> 00:06:02.078]  And he says, Rockefeller protege and operative Henry Kissinger calls for the United States and the authoritarian government of China to work together to create a globalist totalitarian government.
[00:06:02.839 --> 00:06:09.866]  The challenge is, Kissinger told the Asia Society last week, how to build a world order for the first time in history on a global basis.
[00:06:10.287 --> 00:06:12.769]  But the fact is, there has never been a world community before.
[00:06:13.290 --> 00:06:15.192]  And then he suggested that China and the U.S.
[00:06:15.332 --> 00:06:16.773]  collaborate on such an effort.
[00:06:17.354 --> 00:06:25.742]  Now, Kurt Nimmo also points out in that article that, he says, whatever, he has a quote from David Rockefeller, he says, whatever the price of the Chinese revolution,
[00:06:26.423 --> 00:06:28.705]  And that was an indirect reference to the millions that were killed.
[00:06:29.025 --> 00:06:37.712]  It has obviously succeeded not only in producing more efficient and dedicated administration, but also in fostering high morale and a community of purpose.
[00:06:38.092 --> 00:06:43.976]  The social experiment in China under Chairman Mao's leadership is one of the most important and successful in human history.
[00:06:44.056 --> 00:06:48.660]  That's a quote from David Rockefeller in the New York Times in August of 1973.
[00:06:50.714 --> 00:06:51.114]  That's right.
[00:06:51.254 --> 00:06:56.055]  Chairman Mao exceeded at making the trains run on time, just like Adolf Hitler.
[00:06:56.815 --> 00:07:06.277]  And it was the authoritarian government in China that Henry Kissinger and the globalists decided they would use to transfer our wealth and our production to.
[00:07:06.577 --> 00:07:11.839]  And that's what we've seen happening ever since Henry Kissinger opened up to China.
[00:07:11.859 --> 00:07:18.300]  Well, it's not just moving industry and production out of America, it's also moving military technology to China.
[00:07:18.920 --> 00:07:25.082]  As part of that, there's a breaking story today that Russia Today covered, although the story was originally broken by the Washington Post.
[00:07:25.462 --> 00:07:26.942]  Here's how Russia Today covered it.
[00:07:27.362 --> 00:07:31.744]  Their headline, Pentagon, says the Chinese stole our newest weapons.
[00:07:32.384 --> 00:07:38.505]  The designs for more than two dozen major weapons systems used by the United States military have fallen into the hands of the Chinese, U.S.
[00:07:38.525 --> 00:07:40.006]  Department of Defense officials say.
[00:07:40.586 --> 00:07:51.190]  Blueprints for the Pentagon's most advanced weaponry, including the Black Hawk helicopter and the brand new littoral combat ship used by the Navy, have all been compromised, said the Defense Science Board.
[00:07:51.870 --> 00:07:59.193]  Now, this was leaked to the Washington Post, and we have to ask, why are they telling us about so many weapon systems?
[00:07:59.273 --> 00:08:05.195]  Even the newest and most expensive jet fighter of the Pentagon supposedly has had the plans stolen.
[00:08:05.715 --> 00:08:12.061]  Well, I think the key to this is that if you look, as to why they're talking about this right now, is look at the Washington Post report.
[00:08:12.581 --> 00:08:14.483]  The Washington Post has a very different headline.
[00:08:14.743 --> 00:08:17.085]  Their headline says, Confidential Report Lists U.S.
[00:08:17.145 --> 00:08:21.208]  Weapon System Designs Compromised by Chinese Cyber Spies.
[00:08:21.949 --> 00:08:29.176]  See, the Washington Post's emphasis is not so much on the weapons systems that were lost, but on how they were lost.
[00:08:29.196 --> 00:08:40.206]  The quote says, the significance and the extent of the targets helped explain why the Obama administration has escalated its warnings to the Chinese government to stop what Washington sees as a rampant cyber theft.
[00:08:41.311 --> 00:08:46.035]  So the Washington Post article chooses to focus on the cyber security aspects of it.
[00:08:46.275 --> 00:08:48.337]  The cyber spying, the cyber theft.
[00:08:48.978 --> 00:08:58.946]  Although we've had many weapon systems, major weapon systems, lost to the Chinese under the Bush administration, the Clinton administration, now they want to push this narrative of cyber security.
[00:08:59.046 --> 00:08:59.326]  Why?
[00:08:59.767 --> 00:09:01.889]  Because they want to get something like CISPA through.
[00:09:02.489 --> 00:09:08.755]  Now the person who fought CISPA so hard and so successfully, Aaron Schwartz, who died earlier this year, pointed out
[00:09:09.335 --> 00:09:13.377]  That it wasn't really cyber security that they were after.
[00:09:13.878 --> 00:09:21.642]  They were shutting down people like Kim.com and threatening to shut down and seize websites like perhaps maybe in the future InfoWars.
[00:09:22.402 --> 00:09:25.164]  That is not going to do anything to promote cyber security.
[00:09:25.204 --> 00:09:31.567]  As a matter of fact, our own government is the one that is coming, is doing the most to promote cyber spying.
[00:09:31.667 --> 00:09:34.609]  Most of the spying, most of the vulnerabilities are funded
[00:09:35.250 --> 00:09:36.633]  By the Pentagon and by the U.S.
[00:09:36.673 --> 00:09:37.033]  government.
[00:09:37.615 --> 00:09:40.100]  And it's not just the Chinese who are trying to spy.
[00:09:40.681 --> 00:09:41.383]  It's the U.S.
[00:09:41.423 --> 00:09:45.331]  government who now wants to create an entire army of citizen spies.
[00:09:54.224 --> 00:10:08.212]  Since 2010, Walmart has spearheaded a see something, say something campaign by broadcasting 1984-esque messages from Homeland Security head Janet Napolitano that encourages Walmart shoppers to spy on each other.
[00:10:08.752 --> 00:10:14.098]  Hi, I'm Janet Napolitano, Secretary of the Department of Homeland Security.
[00:10:14.979 --> 00:10:18.263]  Homeland security begins with hometown security.
[00:10:19.324 --> 00:10:24.350]  That's why I'm pleased that Walmart is helping to make our communities more safe and secure.
[00:10:25.271 --> 00:10:30.837]  If you see something suspicious in the parking lot or in the store, say something immediately.
[00:10:31.258 --> 00:10:38.206]  So it should be no surprise that police visited a father of three this weekend after he went to Walmart with his children to cash a check.
[00:10:38.506 --> 00:10:43.151]  Walmart security alerted authorities to a possible kidnapping of three young girls.
[00:10:43.792 --> 00:10:50.115]  All because the security guard thought it was strange that the girls weren't the same race as their white father.
[00:10:50.455 --> 00:10:56.278]  Police who were at his home when he arrived made the oldest child confirm that the man with them was their father.
[00:10:56.858 --> 00:10:57.738]  But this is not new.
[00:10:58.979 --> 00:11:06.823]  In 2009, a couple lost custody of their children when Walmart photo center employees alerted police to pictures they thought were akin to child porn.
[00:11:07.583 --> 00:11:11.866]  The photos were of the couple's children taking baths and being wrapped in towels.
[00:11:12.207 --> 00:11:15.069]  That couple is now in the midst of a lawsuit with Walmart.
[00:11:15.609 --> 00:11:26.918]  Back in 2010, when Big Sis became the head of the Walmartian Snoop Society, Alex Jones had plenty to say about the DHS's invasion into our lives under the threat of a terrorist attack.
[00:11:28.049 --> 00:11:29.450]  Well, it's here.
[00:11:29.470 --> 00:11:30.771]  1984 in America.
[00:11:30.851 --> 00:11:33.252]  This is the straw that breaks the camel's back.
[00:11:33.292 --> 00:11:36.794]  There is no doubt that we're in deep trouble as a society.
[00:11:37.314 --> 00:11:54.564]  The head of Homeland Security, Big Sis, Janet Napolitano, has now come out and announced that over 800 Walmarts in the next month are going to install telescreens at the checkout scanner with different federal orders to spy on the other people shopping.
[00:11:55.831 --> 00:12:11.018]  But don't worry, as we reported in 2011, if you're one of the many good citizens that are reporting suspicious activity, Homeland Security wants to shield you from facing the consequences of misidentifying innocent behavior as extremism or terrorism.
[00:12:11.398 --> 00:12:18.962]  Of course, this will only encourage an army of ill-equipped citizen spies to report any behavior whatsoever, no matter how benign.
[00:12:19.642 --> 00:12:21.343]  See something, say something.
[00:12:22.023 --> 00:12:25.125]  Unless, of course, you're blowing the whistle on government corruption, and then, you know,
[00:12:25.965 --> 00:12:26.666]  Mom's the word!
[00:12:28.247 --> 00:12:31.329]  I'm Leanne McAdoo and this has been an InfoWars Nightly News Alert.
[00:12:33.911 --> 00:12:42.457]  Now yesterday we talked to a World Bank whistleblower, Karen Hughes, and she was concerned not only about corruption at the World Bank, but about the reaction of the U.S.
[00:12:42.497 --> 00:12:46.680]  government and how that undermined our credibility and the ability of the U.S.
[00:12:46.760 --> 00:12:49.002]  dollar to continue as a reserve currency.
[00:12:49.682 --> 00:12:54.543]  And remember that just a couple of months ago, there was a very good article called, Is the Dollar Dying?
[00:12:55.044 --> 00:12:55.564]  Why U.S.
[00:12:55.584 --> 00:12:56.584]  Currency is in Danger.
[00:12:56.624 --> 00:12:58.705]  This is an older article from CNBC.
[00:12:58.805 --> 00:13:00.525]  Basically, that article said, the U.S.
[00:13:00.585 --> 00:13:09.488]  dollar is shrinking as a percentage of the world's currency supply, raising concerns that the greenback is about to see its long run as the world's premier denomination come to an end.
[00:13:10.188 --> 00:13:19.173]  Generally speaking, it is not believed by the vast majority that the American dollar will be overthrown, said Dick Bove, Vice President of Equity Research at Rafferty Capital Markets.
[00:13:19.694 --> 00:13:21.275]  He said, but it will be.
[00:13:21.635 --> 00:13:22.616]  It will be overthrown.
[00:13:23.156 --> 00:13:28.179]  And this defrocking may occur in as short a period as five to ten years.
[00:13:28.819 --> 00:13:30.080]  And he also has this warning.
[00:13:30.600 --> 00:13:36.644]  If the dollar loses its status as the world's most reliable currency, the United States will lose the right to print money to pay its debt.
[00:13:37.344 --> 00:13:39.306]  It will be forced to pay this debt.
[00:13:40.154 --> 00:13:53.999]  That is going to be a severe consequence for us, and yet, as Karen Hughes pointed out yesterday in her whistleblowing interview, the kind of corruption that they're covering up, she exposed corruption at the World Bank, and as a result, she was fired.
[00:13:54.760 --> 00:14:02.623]  Many countries wanted to know what was going on, but agency after agency with the federal government basically blocked any inquiries and covered this up.
[00:14:03.263 --> 00:14:12.887]  And this all goes back to countries that are getting concerned about the full faith and credit of the fiat currency that we basically created here by central banks.
[00:14:13.267 --> 00:14:22.131]  And as she pointed out, it's privately owned central banks who are organizing and changing us into debt slaves through incurring sovereign debt.
[00:14:22.771 --> 00:14:26.612]  We see this happening in a story that's just breaking today out of Japan.
[00:14:27.312 --> 00:14:34.314]  InfoWars, via The Economic Collapse, is reporting the Japanese financial system is beginning to spin wildly out of control.
[00:14:34.835 --> 00:14:41.677]  The financial system of the third largest economy on the planet is starting to come apart at the seams, and the ripple effects are going to be felt all over the globe.
[00:14:42.257 --> 00:14:45.498]  The Japanese economy has been in a slump for over a decade.
[00:14:46.198 --> 00:14:53.443]  Japan has a debt to GDP ratio of well over 200% and they're spending about 50% of all tax revenue on debt service.
[00:14:54.223 --> 00:15:03.129]  In a desperate attempt to revitalize the economy and reduce the debt burden, the Bank of Japan decided a few months ago to start pumping massive amounts of money into the economy.
[00:15:03.830 --> 00:15:08.313]  Now what's happened is, the reason this is a story is, at the end of last week on Thursday,
[00:15:09.335 --> 00:15:09.855]  Thank you.
[00:15:26.563 --> 00:15:33.046]  Of printing money and creating debt and saying that debt that we owe to ourselves really doesn't matter?
[00:15:33.066 --> 00:15:37.908]  I mean, that is obviously to everybody one of the biggest lies that was ever told.
[00:15:38.288 --> 00:15:41.010]  That is the essence of Keynesian economics.
[00:15:41.770 --> 00:15:42.150]  It doesn't.
[00:15:42.230 --> 00:15:44.511]  Keynesian economics is unable to explain the past.
[00:15:44.591 --> 00:15:50.292]  They never had a good explanation for the Great Depression, and they're unable to control the future as they claim to.
[00:15:50.812 --> 00:16:01.794]  But what it does do is it provides a rationale for the private central banks to enslave all the world into a mountain of debt that they have created.
[00:16:01.814 --> 00:16:10.856]  Well, in a different story, the Pentagon's latest weapon in the Colombian war, drug war, is a soap opera, as reported by Wired Magazine.
[00:16:11.598 --> 00:16:13.142]  They say the U.S.
[00:16:13.583 --> 00:16:19.398]  Army is introducing a new weapon in its fight to get Colombia's guerrillas to put down their guns, and that is the soap opera.
[00:16:20.390 --> 00:16:26.433]  That's a gist of a recent Army request for proposal which describes the building blocks of an anti-guerrilla propaganda campaign in Colombia.
[00:16:26.653 --> 00:16:48.345]  According to the request, the Army wants a potential contractor to write and produce a total of 20 radio novella episodes for an Army MISO team, that's M-I-S-O, that's Military Information Support Operations, that's based in Colombia, with eight episodes that convey messages to promote demobilization or encouraging armed groups to put down their weapons.
[00:16:48.985 --> 00:16:54.858]  Another eight will convey messages that counter recruitment of target audiences into illegal armed groups.
[00:16:55.973 --> 00:17:02.374]  Now the importance of this is not so much the war on drugs or what's happening in Colombia, but to look at the technique that's being done.
[00:17:02.755 --> 00:17:04.875]  And look at the fact that this is now out in the open.
[00:17:05.175 --> 00:17:07.516]  For quite some time, the U.S.
[00:17:07.596 --> 00:17:12.417]  government has been using predictive programming, has been controlling people very subtly through the media.
[00:17:12.857 --> 00:17:17.978]  There's very obvious propaganda, like for example the mainstream media saying that the Bilderberg Group doesn't exist.
[00:17:18.438 --> 00:17:21.259]  But there's also very subtle propaganda that goes on
[00:17:22.319 --> 00:17:24.460]  And that's typically been behind the scenes.
[00:17:25.100 --> 00:17:31.802]  Now we're seeing the Army come out, just like they did with, just like the Department of Homeland Security did, with their massive ammunition purchases.
[00:17:31.822 --> 00:17:35.363]  We're seeing requests for proposals for basically propaganda.
[00:17:36.143 --> 00:17:40.724]  Now, this is what they're doing there, but they've done this in Afghanistan and Iraq.
[00:17:41.344 --> 00:17:45.525]  As the article reports, the military's MISO teams spent $54 million this year.
[00:17:47.866 --> 00:17:54.230]  And they have spent 580 million dollars over years of fighting in Iraq and Afghanistan.
[00:17:55.150 --> 00:17:56.751]  This is basically, the U.S.
[00:17:56.791 --> 00:18:00.513]  government is one of the largest propaganda organizations that's ever existed.
[00:18:01.413 --> 00:18:07.877]  And anybody doesn't believe that they're using movies and entertainment to control us, and not just the news.
[00:18:08.567 --> 00:18:12.271]  But Entertainment needs to take a look at this article from Wired Magazine.
[00:18:12.311 --> 00:18:21.501]  It breaks it down quite a bit as to what they're doing in the war on drugs, where they're openly talking about how they're going to change people's hearts and minds.
[00:18:22.611 --> 00:18:26.255]  Now coming up after the break, we've got an interview with Elizabeth Rich.
[00:18:26.936 --> 00:18:34.323]  She was the lead attorney in the landmark Vernon Hershberger case that just was decided earlier this week.
[00:18:34.824 --> 00:18:42.792]  Vernon Hershberger is a raw milk farmer and this case has important legal precedence for everybody in the area of food freedom.
[00:18:48.638 --> 00:18:56.485]  As we saw in Katrina, and as we are watching now in New York and New Jersey, the federal government can't and won't help you in a crisis.
[00:18:57.085 --> 00:18:59.728]  FEMA ran out of water and MREs in days.
[00:19:00.268 --> 00:19:02.991]  Electricity is still off to over 1 million people.
[00:19:03.591 --> 00:19:07.795]  The Red Cross, who is quick to beg for money, is now slow to react.
[00:19:08.636 --> 00:19:10.377]  Don't put it off any longer.
[00:19:11.138 --> 00:19:12.219]  Get prepared today.
[00:19:14.821 --> 00:19:19.845]  The Info Wars Shop is the largest distributor of ProPure water filter systems.
[00:19:20.365 --> 00:19:25.749]  And now, get 15% off your ProPure order with the promo code WATER15.
[00:19:26.589 --> 00:19:30.953]  While you're on InfoWarsHop.com, check out these other great preparedness items.
[00:19:32.031 --> 00:19:36.315]  The Aquapod Kit lets you store up to 65 gallons of water in your bathtub.
[00:19:37.337 --> 00:19:42.362]  Pocket Socket provides you with manual electricity for small electronics like your cell phone.
[00:19:43.603 --> 00:19:45.785]  The LifeStraw is great for your bug out bag.
[00:19:47.006 --> 00:19:53.673]  And check out our complete line of Interfood products for great tasting and nutritionally dense foods that have a great shelf life.
[00:19:54.694 --> 00:20:06.124]  If you are looking to secure your home in a crisis, you can order Strategic Relocations The Film, a great companion to the book Strategic Relocations Third Edition, and The Secure Home by Joel Skousen.
[00:20:07.284 --> 00:20:11.668]  When the time to perform arrives, the time to prepare has already passed.
[00:20:12.048 --> 00:20:17.333]  Get prepared now, so if a crisis strikes your home, you and your family will be secure.
[00:20:18.013 --> 00:20:21.736]  Go to infowarshop.com, and don't forget the promo code WATER15.
[00:20:31.457 --> 00:20:37.421]  I'm Darren McBreen and these are some of the new items that are available now at Infowarsshop.com.
[00:20:37.561 --> 00:20:43.004]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:20:43.084 --> 00:20:46.786]  Obama's joker face on the front and come and take it on the back.
[00:20:46.966 --> 00:20:50.969]  It's time to publicly call him out for what he is, a tyrant.
[00:20:51.029 --> 00:20:54.891]  Defend the second amendment with our top seller come and take it t-shirts.
[00:20:54.991 --> 00:20:59.134]  And look at that, women's cut tank tops and t-shirts now available.
[00:20:59.254 --> 00:20:59.754]  Nice hat.
[00:21:00.054 --> 00:21:02.115]  Plus, the Don't Tread On Me flag.
[00:21:02.175 --> 00:21:06.236]  And now, you can become a micro-distributor of the InfoWars magazine.
[00:21:06.276 --> 00:21:10.297]  Plus, get your own copy delivered right to your door each and every month.
[00:21:10.837 --> 00:21:19.459]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:21:19.779 --> 00:21:25.801]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:21:27.532 --> 00:21:31.513]  So join the revolution at Infowarshop.com.
[00:21:31.533 --> 00:21:43.356]  Well, you may have heard about the landmark trial of Vernon Hershberger.
[00:21:43.996 --> 00:21:48.037]  This happened in Wisconsin, and Vernon Hershberger is a raw milk dairy farmer.
[00:21:48.939 --> 00:21:54.023]  We've got on the phone Elizabeth Rich, and she's with an organization Farm to Consumer Legal Defense Fund.
[00:21:54.604 --> 00:22:06.935]  Isn't it strange that in America we have to have a fund set up to defend people who are trying to go from a farm to a consumer, but that's the world we live in, and we're grateful that they're there to help make that happen.
[00:22:06.955 --> 00:22:15.242]  And so we've got on the phone Elizabeth Rich, who is both a lawyer and a farmer, and she is vice president of the Farm to Consumer Legal Defense Fund.
[00:22:15.342 --> 00:22:16.523]  Elizabeth, thank you for joining us.
[00:22:18.171 --> 00:22:18.811]  Well, you're welcome.
[00:22:18.931 --> 00:22:19.652]  It's great to be here.
[00:22:20.212 --> 00:22:21.833]  And congratulations on the victory.
[00:22:21.893 --> 00:22:26.215]  It's a victory not only for you and for Vernon, but it's really a victory for all of us.
[00:22:26.575 --> 00:22:35.339]  Everyone who likes to get fresh, wholesome food and likes to be able to make decisions about what they eat rather than having somebody else make that decision for them.
[00:22:35.659 --> 00:22:39.761]  I'd like to talk to you about this, particularly about Vernon Hershberger.
[00:22:40.261 --> 00:22:46.264]  What was it that he was doing that was so odious to the government that they would try to hit him with several felony charges?
[00:22:48.124 --> 00:22:57.286]  They were misdemeanor charges, but it was the first time that a raw milk farmer has been prosecuted criminally in the state of Wisconsin.
[00:22:58.026 --> 00:23:10.228]  Our laws are set up so that there are both civil and criminal penalties available to the government for the same violation, so they could have pursued this civilly and had a much easier case to prove.
[00:23:11.188 --> 00:23:14.489]  Instead, they pursued it criminally for the first time.
[00:23:16.440 --> 00:23:19.004]  And you say they were not felonies, they were misdemeanors?
[00:23:19.024 --> 00:23:24.393]  Because I thought that there were like four felonies and they acquitted him on three but got him on one.
[00:23:25.643 --> 00:23:27.223]  They were all misdemeanors.
[00:23:27.643 --> 00:23:28.284]  Four charges.
[00:23:28.364 --> 00:23:29.424]  Four misdemeanor charges.
[00:23:29.484 --> 00:23:34.205]  But they did carry penalties of more than a year of incarceration.
[00:23:34.365 --> 00:23:37.346]  So it was a serious charge.
[00:23:37.926 --> 00:23:39.086]  That's great that you beat that now.
[00:23:39.526 --> 00:23:43.447]  So the precedent was that they were coming after him with criminal charges for the first time.
[00:23:43.827 --> 00:23:47.288]  So tell us what they charged him with and how this all began.
[00:23:49.437 --> 00:24:11.088]  He was charged with operating a retail food establishment without a license, selling and distributing milk without a milk producer license, operating a dairy plant, which is where yogurt, butter, cheese, that kind of thing is made, without a license, and violating a hold order that was placed on food during a raid conducted in 2010.
[00:24:13.294 --> 00:24:15.655]  And you asked what was so odious about it.
[00:24:15.855 --> 00:24:22.778]  The case was all about raw milk, but the way the government characterized it was, this is a very simple, uncomplicated case.
[00:24:22.838 --> 00:24:24.139]  It's a licensure violation.
[00:24:24.859 --> 00:24:28.440]  And during the trial, the prosecution brought up several times that for $260,
[00:24:30.461 --> 00:24:33.042]  Vernon could have gotten a retail food establishment license.
[00:24:33.143 --> 00:24:36.084]  But of course, he couldn't have gotten a license for what he was doing.
[00:24:36.104 --> 00:24:38.145]  There was no license for what he was doing.
[00:24:38.465 --> 00:24:43.548]  Right, that's kind of like telling somebody that they can sell marijuana if they get a license for it.
[00:24:44.589 --> 00:24:45.990]  That's a good analogy.
[00:24:46.630 --> 00:24:49.151]  Well actually, it was another attorney that made the analogy.
[00:24:49.171 --> 00:24:53.714]  He said, this is essentially like prohibition, except it's not about alcohol.
[00:24:54.094 --> 00:24:55.255]  It's about raw milk.
[00:24:55.895 --> 00:24:57.536]  Something as innocuous as raw milk.
[00:24:59.079 --> 00:25:02.822]  That's right, and we've scratched our heads over this a lot.
[00:25:03.423 --> 00:25:06.606]  Why is it, for instance, that guns are involved?
[00:25:06.866 --> 00:25:11.991]  Why do we show up at this farm and other farms with armed law enforcement officers?
[00:25:12.891 --> 00:25:14.112]  Yeah, tell us a little bit about that.
[00:25:14.133 --> 00:25:17.696]  Tell us exactly what happened at the raid, because I think people would want to know that.
[00:25:17.756 --> 00:25:22.320]  I'm sure it was quite an ordeal for Vernon and anybody that happened to be there at the time.
[00:25:23.889 --> 00:25:28.632]  It was an ordeal for Vernon, his wife, and their 10 children, some of whom are very young.
[00:25:30.073 --> 00:25:39.358]  It's very confusing to have deputies show up and order your father around and treat him like a criminal, which is what happened.
[00:25:39.378 --> 00:25:53.307]  The first raid was in August of 2009, and at that time two inspectors showed up, along with several representatives of the health department, and they went through the facility, noticed
[00:25:53.869 --> 00:26:01.597]  All of the products and inventoried them and came back, so they knew what was there.
[00:26:02.037 --> 00:26:03.058]  There were no surprises.
[00:26:03.518 --> 00:26:12.367]  Then in 2010, a year later, the big raid came and that was with the guns and the law enforcement officers.
[00:26:12.627 --> 00:26:18.433]  I think there might have been 11, I want to say 11 people counting the inspectors and law enforcement at the farm.
[00:26:18.766 --> 00:26:21.087]  Did they show up like a SWAT team raid?
[00:26:21.147 --> 00:26:22.688]  Was it like a no-knock thing?
[00:26:22.949 --> 00:26:24.289]  Or just a lot of people showing up?
[00:26:25.630 --> 00:26:27.211]  It was like a SWAT team thing.
[00:26:27.371 --> 00:26:29.753]  Cars descending, no notice.
[00:26:30.553 --> 00:26:36.477]  And what they did, it's just the whole approach is so heavy-handed.
[00:26:36.557 --> 00:26:41.000]  There's a video that we showed during the trial of
[00:26:41.897 --> 00:26:47.639]  The inspector ruining 2,000 pounds of milk, just dumping dye into it to denature it.
[00:26:47.679 --> 00:26:53.381]  And at the end of the bulk tank is Vernon's oldest son, who's in charge of the milking.
