[00:00:22.569 --> 00:00:24.211]  It's Tuesday, July 23rd.
[00:03:01.155 --> 00:03:11.840]  And back in May, the Russian Prime Minister Dmitry Medvedev called on the nation's defence industry to provide state-of-the-art weapons superior to their Western analogues.
[00:03:12.380 --> 00:03:19.263]  So he's basically saying, we want our missiles to be bigger, better, go further than anything the US is developing.
[00:03:19.764 --> 00:03:28.388]  So while the economic downturn has reduced military outlay in places like America and Europe, both China and Russia continue to build.
[00:03:29.048 --> 00:03:38.412]  And the US, of course, has exploited the North Korean provocation to build up its presence in the Pacific, which again is aimed at Russia and China.
[00:03:39.212 --> 00:03:53.598]  What we know for sure is that while the US continues to be overstretched in the Middle East as a result of its attempts to occupy that region, Russia is getting militarily prepared to an extent that we've not seen for decades.
[00:03:54.594 --> 00:03:57.315]  Staying with geopolitical news, U.S.
[00:03:57.456 --> 00:03:59.997]  intel committees approve arming Syrian rebels.
[00:04:00.077 --> 00:04:01.758]  Top general warns of costs.
[00:04:01.818 --> 00:04:03.038]  This is out of Russia today.
[00:04:03.919 --> 00:04:11.183]  The House and Senate Intelligence Committees have given a green light to arm Syrian rebels as their concerns were alleviated, but a top U.S.
[00:04:11.223 --> 00:04:15.145]  general warned that high costs of military options could reach into the billions.
[00:04:15.965 --> 00:04:34.237]  This, of course, is Martin Dempsey, the Chief of the US Joint Chiefs of Staff, the highest-ranking military advisor, basically warning that it's going to cost between $500 million and a billion dollars a month to maintain a no-fly zone, which, of course, is a euphemism for a total bombardment on Syria.
[00:04:35.117 --> 00:04:41.578]  And may even be ineffective because the Syrian army relies on artillery, not air support, to fight the insurrection.
[00:04:42.339 --> 00:04:52.681]  So, while US cities like Detroit are going bankrupt, the Obama administration is pushing for another multi-billion dollar military bombardment on Syria.
[00:04:53.701 --> 00:05:02.003]  In the meantime, the report states, US President Obama will continue with the plan to arm Syrian rebels after several congressional concerns were alleviated.
[00:05:02.984 --> 00:05:08.709]  And it looks like Dempsey, with this article, is actually trying to stop this madness.
[00:05:09.270 --> 00:05:16.776]  Labelling the move for what it would be, which is not a kinetic action like we saw in Libya, but an over-act of war.
[00:05:17.477 --> 00:05:21.861]  And, of course, John bomb-bomb-bomb-Iran McCain is threatening to
[00:05:22.461 --> 00:05:35.008]  derailed Dempsey's position as chairman of the Joint Chiefs of Staff as a blackmail to get him to push for this no-fly zone military bombardment, but at the moment he's warning against it.
[00:05:35.648 --> 00:05:37.369]  Because Syria is not Libya.
[00:05:37.429 --> 00:05:42.452]  You know, Libya had a paltry army of 15,000 soldiers and virtually no air force.
[00:05:42.932 --> 00:05:50.697]  Syria, on the other hand, has one of the most sophisticated air missile defense systems in the world, stronger even than Iran according to most analysts.
[00:05:51.277 --> 00:05:55.542]  And they've got these Russian-made surface-to-air missiles, of course.
[00:05:56.464 --> 00:05:58.366]  So we know that any kind of...
[00:05:59.284 --> 00:06:06.409]  No-fly zone bombardment of Syria will be met with a fierce response and inevitable loss of life on all sides.
[00:06:07.249 --> 00:06:10.552]  But you know, the excuse is we need to stop the weapons of mass destruction.
[00:06:10.592 --> 00:06:12.813]  Well, you know, where have we heard that before?
[00:06:13.173 --> 00:06:20.698]  Do they mean the chemical weapons that were admittedly launched, used by the Obama-backed rebels, as the UN report stated?
[00:06:21.139 --> 00:06:29.104]  The same rebels who slaughter and ransack entire Christian villages, as we're going to see in the next article,
[00:06:29.905 --> 00:06:39.116]  Of course, the only reason they're arming the rebels now, that they're pushing through with it, is because the Syrian army is scoring key military victories across the country.
[00:06:39.877 --> 00:06:45.744]  They've already been receiving the weapons from Gulf countries with the aid of the CIA, these Al-Qaeda rebels.
[00:06:46.926 --> 00:07:00.867]  Now, because they seem to be losing militarily, McCain and others are continuing to push for this military bombardment by the ludicrously labelled No-Fly Zone, now being given the green light by US and House Intelligence Committees.
[00:07:01.994 --> 00:07:02.934]  Moving on, photos.
[00:07:03.114 --> 00:07:06.615]  Obama-backed Syrian rebels ransack Christian village.
[00:07:07.376 --> 00:07:19.159]  Images obtained exclusively by InfoWars show the aftermath of an alleged massacre of a Christian village in Syria during which men, women and children were slaughtered and churches were desecrated by Obama-backed FSA rebels.
[00:07:19.519 --> 00:07:21.680]  And you can see these photos up on the screen now.
[00:07:22.600 --> 00:07:29.342]  Basically, we had a report back in May that the FSA rebels went into this village near Homs, massacred most of the village.
[00:07:29.742 --> 00:07:45.126]  Now we've got the actual photos of it, and as I point out in this article, it was the Sunni Muslim Syrian Army that actually stopped this massacre as it was unfolding, came to the aid of the Christians in the village who were slaughtered or being slaughtered by the rebels.
[00:07:45.186 --> 00:07:45.566]  So again,
[00:07:46.326 --> 00:07:52.310]  It isn't an issue of Islam versus Christianity, it's the radical Jihad terrorists that are being backed by the White House.
[00:07:52.710 --> 00:07:59.374]  And in this instance, the Syrian Army, which is mainly Sunni Muslim, managed to stop some of the tragedy.
[00:07:59.394 --> 00:08:07.399]  But as you see from the photos, churches desecrated, there's an image of a charred, what looks like an infant, reports of a massacre there.
[00:08:08.239 --> 00:08:12.462]  We obtained those photos, disturbing as they are, which you can see on InfoWars.com.
[00:08:13.442 --> 00:08:19.564]  Moving on, total failure of foreign intelligence as spy agencies miss massive Al-Qaeda prison break.
[00:08:19.604 --> 00:08:22.944]  This is out of SHTF PAC plan MAC SLAVO.
[00:08:23.525 --> 00:08:32.347]  They spent hundreds of billions of dollars to monitor the activities of every single American by turning their listening networks on purported domestic terrorists operating in the United States.
[00:08:32.987 --> 00:08:43.692]  They know your underwear size, they know where you drove your car today, they know what you put up on Facebook, texted to your wife and emailed to your friends, and they've done it all in the supposed interest of national security.
[00:08:44.672 --> 00:08:54.597]  But they don't catch a planned operation to break into Abu Ghraib via suicide bombers to free 500 Al-Qaeda terrorists.
[00:08:55.726 --> 00:09:21.740]  So, you know, while the NSA's reading your email, they're tapping your phone calls, storing your text messages, all in the name of stopping the terrorists, they know nothing about a huge prison break in Iraq, which has just freed 500 al-Qaeda terrorists, who I'm sure will be very useful with the Obama administration's attempt to topple Bashar al-Assad in Syria, using those very same al-Qaeda-backed terrorists that they control.
[00:09:21.800 --> 00:09:22.421]  Now, 500 more.
[00:09:24.722 --> 00:09:29.105]  But you've got to have your kids grow up by the TSA to fight the terrorists.
[00:09:30.103 --> 00:09:32.345]  Health news now out of NaturalNews.com.
[00:09:32.925 --> 00:09:38.930]  Some non-organic foods contain upwards of 180 times the fluoride level of tap water, says expert.
[00:09:39.531 --> 00:09:47.458]  According to fluoride expert Jeff Green, many non-organic foods contain extremely high levels of fluoride because of the pesticide chemicals sprayed on them.
[00:09:47.958 --> 00:09:53.823]  And in some cases, non-organic produce contains up to 180 times the amount of fluoride found in tap water.
[00:09:54.363 --> 00:09:56.745]  So, we cover this in the interview that's coming up, but...
[00:09:57.574 --> 00:10:06.022]  There's a new study today which says that 100 years ago they added iodine to the salt and it resulted in a 15 point increase in IQ.
[00:10:06.403 --> 00:10:13.790]  Yet there's another study by European researchers which found that over the last 100 years in America IQ has dropped by 15 points.
[00:10:15.171 --> 00:10:20.573]  So we've got a differential of some 30 IQ points that have dropped, if you account for the IOD.
[00:10:20.953 --> 00:10:27.695]  We've got Harvard and other scientific studies directly linking fluoride consumption with reduced IQ.
[00:10:28.095 --> 00:10:32.356]  And now, of course, we've got confirmation, as we already knew, that this article recaps
[00:10:32.796 --> 00:10:38.484]  That fluoride is not only in the tap water, it's also in a plethora of other foods.
[00:10:38.564 --> 00:10:41.228]  So again, you know, this is a choice we can all make.
[00:10:41.268 --> 00:10:42.530]  This is a battle that we can win.
[00:10:42.550 --> 00:10:48.839]  It costs a little bit more money to go organic, to avoid all these foods with this toxin, the pesticide of course.
[00:10:49.460 --> 00:10:53.121]  All the other toxins that are in the food, but it's worth it.
[00:10:53.522 --> 00:10:55.843]  You know, the health benefits are enormous.
[00:10:55.883 --> 00:10:58.884]  You're not going to get ill as easily, which you're going to pay for anyway.
[00:10:58.904 --> 00:11:02.145]  And of course, the mental effects, the lowering of IQ.
[00:11:02.885 --> 00:11:06.507]  Best to avoid that, probably, with everything else we're being bombarded with.
[00:11:07.087 --> 00:11:14.250]  So again, important to focus on the fact that fluoride is also in foodstuffs to the level of 180 times the amount it is in tap water.
[00:11:18.737 --> 00:11:19.818]  Final story today.
[00:11:20.038 --> 00:11:24.842]  Royal baby will suck our blood in mid-21st century says Russian lawmaker.
[00:11:25.262 --> 00:11:35.291]  The royal baby boy born to Kate Middleton and Prince William, which by the way every single media network has got rolling 24-hour coverage.
[00:11:35.731 --> 00:11:43.537]  They were literally on it for two hours on Fox News outside the hospital waiting for them to show the baby.
[00:11:44.478 --> 00:12:06.833]  I noticed the only network that didn't even report on it was Russia Today, which, you know, we've had our scrapes with Russia Today, but they're probably the only mainstream media network that's seeing an appreciable acceleration in viewing figures, because at least they don't focus on bread and circuses and crap like the Royal Baby 24-hour rolling
[00:12:07.333 --> 00:12:15.538]  Fawning North Korean-style worship of the Royal Family, which is now occurring once again in Britain after it occurred in 2011.
[00:12:15.998 --> 00:12:24.883]  2012, of course, the Royal Wedding, you had the Jubilee, and now with the Royal Baby, fawning North Korean-style Kim Jong-Il worship.
[00:12:25.822 --> 00:12:30.704]  If it's good enough for a Stalinist dictatorship, then I guess it's good enough for Britain.
[00:12:31.104 --> 00:12:44.891]  But what's funny is that this Vladimir Zirinovsky has come out, and he's known as a firebrand, but he said that this British monarch, who is set to become the king by the middle of the 21st century, will suck the blood of Russians
[00:12:45.991 --> 00:12:57.096]  Uh, calling Britain an enemy of Russia, the lawmaker said, quote, that's why the birth of another British monarch will suck our blood somewhere in the mid-21st century, cannot bring us any kind of happiness.
[00:12:57.596 --> 00:13:04.300]  So it sounds like Mr. Zirinovsky has seen InfoWars' exclusive footage of the birth of the royal baby.
[00:13:04.340 --> 00:13:08.441]  We scooped them all, of course, which we aired yesterday, and you can see on InfoWars.com.
[00:13:09.042 --> 00:13:11.423]  Amazing footage of the actual birth there.
[00:13:12.623 --> 00:13:13.304]  Quote of the day,
[00:13:14.565 --> 00:13:17.718]  I have ways of making money that you know nothing of.
[00:13:19.124 --> 00:13:19.704]  Who said that?
[00:13:19.764 --> 00:13:26.987]  Well, it was, of course, John D. Rockefeller, who also said, competition is a sin.
[00:13:27.507 --> 00:13:31.769]  So that gives you an idea of some of those ways in which he made his money.
[00:13:32.149 --> 00:13:45.474]  Stick around on InfoWars Nightly News, because after the break, we're going to talk to activist Ashley Jessica about water fluoridation, what you can do to prevent it, and an upcoming protest that she's got organized in Toronto.
[00:13:45.534 --> 00:13:46.134]  Stay right there.
[00:13:50.802 --> 00:13:55.353]  Now you can watch the InfoWars Nightly News streaming live as it happens for free.
[00:13:55.834 --> 00:13:59.062]  Check it out at InfoWars.com forward slash show.
[00:14:05.984 --> 00:14:08.725]  Johnny Appleseed was born during the Revolutionary War.
[00:14:08.785 --> 00:14:09.866]  He's not just a legend.
[00:14:10.286 --> 00:14:16.769]  And in more than five states, he introduced apples that had not even been grown in the colonies.
[00:14:17.410 --> 00:14:25.254]  Later, the seeds from plants he planted and cultivated, and some of the varieties he developed, spread across the United States.
[00:14:25.854 --> 00:14:37.664]  And it was Johnny Appleseed teaching the colonists, and then the new Americans after we won independence, the love of planting fruit trees that introduced that idea to North America.
[00:14:38.404 --> 00:14:54.377]  Ladies and gentlemen, it is a revolutionary act to unplug from the television, to unplug from the computer, and all the globalist propaganda, and to go out in your backyard, or your front yard, or planters at your apartment, or on the roof of the building where you live, and to plant a garden.
[00:14:54.617 --> 00:15:03.521]  Become the Johnny Appleseed of your community with seeds from the InfoWars Seed Center at InfoWarsStore.com.
[00:15:03.961 --> 00:15:10.484]  I'm calling on you to go out into the greenbelts, to go out into the areas and plant secret gardens.
[00:15:11.244 --> 00:15:21.129]  No, not of marijuana, but of the hundreds and hundreds of incredible high quality vegetables and herbs and fruit plants that are here.
[00:15:21.689 --> 00:15:23.770]  Lemons and oranges, the list goes on and on.
[00:15:24.091 --> 00:15:28.533]  They will grow, plum trees, grape trees, they will grow almost everywhere in the U.S.
[00:15:29.053 --> 00:15:35.019]  We can literally, not just buying these products from infowarestore.com, but from wherever you get them.
[00:15:35.439 --> 00:15:40.244]  This aggressive program literally just came to me one morning when I woke up about 4 a.m.
[00:15:40.584 --> 00:15:48.792]  realizing that we've got to counter their genetic war against us with original real crops developed over eons on this planet.
[00:15:49.372 --> 00:15:51.234]  We have the lowest prices.
[00:15:51.274 --> 00:15:58.682]  We bought it in the biggest bulk that some of these companies have ever seen to ship this directly to you from the InfoWars Command Center.
[00:15:59.082 --> 00:16:00.143]  We stand for life.
[00:16:00.704 --> 00:16:01.685]  We stand for liberty.
[00:16:01.725 --> 00:16:03.286]  We stand for self-sufficiency.
[00:16:03.567 --> 00:16:09.313]  Go to InfoWarsStore.com, click on the Seed Center, and as of taping this, we have the seven
[00:16:09.833 --> 00:16:11.294]  Top respected brands.
[00:16:11.554 --> 00:16:19.378]  We intend to continue to do research and find other companies, other specialties, other varieties to really take action.
[00:16:19.778 --> 00:16:25.901]  The InfoWars Store Seed Center has the largest online selection of heirloom non-GMO seeds.
[00:16:26.161 --> 00:16:29.723]  Check out these products from our newest supplier, Heirloom Organics.
[00:16:29.983 --> 00:16:32.504]  The Medicine Garden, for a natural remedy.
[00:16:32.745 --> 00:16:37.427]  The Tea Garden, that contains every important tea herb you can grow.
[00:16:37.447 --> 00:16:39.609]  Fruit Lovers, with 12 varieties.
[00:16:39.889 --> 00:16:43.411]  And the Tobacco Pack, additive and pesticide free.
[00:16:43.811 --> 00:16:48.974]  Join the gardening revolution today, at InfoWarsStore.com.
[00:16:49.654 --> 00:16:51.876]  This is a revolutionary action we're asking you to take.
[00:16:52.736 --> 00:16:54.337]  Plant seeds everywhere today.
[00:16:54.797 --> 00:16:55.298]  Nurture them.
[00:16:56.278 --> 00:16:59.179]  Bring them to fruit and pass on the knowledge to others.
[00:16:59.619 --> 00:17:00.600]  Become human again.
[00:17:01.160 --> 00:17:03.141]  Discover your roots in the soil.
[00:17:03.801 --> 00:17:07.643]  And remember, the revolution against tyranny is growing.
[00:17:17.935 --> 00:17:32.785]  We're back on InfoWars Nightly News and joining us to talk about an upcoming protest against the fluoridation of our water supplies is activist and PhD student Ashley Jessica, who many of you will remember from last year's TSA opt-out and film protest.
[00:17:33.245 --> 00:17:34.346]  Ashley, welcome to the show.
[00:17:35.066 --> 00:17:36.227]  Hi Paul, thanks for having me.
[00:17:37.611 --> 00:17:48.726]  Now just to drill down into this quickly for those who are new to the subject, give us an outline of what fluoride is and where people are most likely to encounter it in terms of food supply and water supply.
[00:17:49.755 --> 00:18:02.261]  Well, the most commonly added type of fluoride is hydrofluorosilicic acid, and that is a chemical toxic waste byproduct of phosphate fertilizer production.
[00:18:02.741 --> 00:18:18.369]  So that basically, it accumulates in the smokestack scrubbers that are on top of phosphate fertilizer plants, and it is then dumped into the water supply, and it contains so many other toxic chemicals such as lead, arsenic, mercury, and radioactive substances.
[00:18:19.410 --> 00:18:20.938]  So that's where it comes from.
[00:18:22.219 --> 00:18:24.740]  And it's in our water supply, and it's very nutritious.
[00:18:25.140 --> 00:18:26.720]  In fact, I watched a video from 2011.
[00:18:27.961 --> 00:18:42.665]  It was a tanker spill in Texas, and the news media was saying, you know, they're all there in their hazmat suits, cleaning up the hydrofluorosilicic acid as it melted through the concrete, and then calmly announcing, oh, by the way, this is what we put in your water.
[00:18:42.965 --> 00:18:49.447]  So given that, given that we know what it is, that it causes all these horrible illnesses if people come in direct contact with it,
[00:18:49.948 --> 00:18:57.060]  Tell us about the cancers and the other life-threatening goodies that have been linked with fluoride consumption.
[00:18:58.092 --> 00:19:08.700]  Right, I mean, the reason the scrubbers were added onto the smokestacks is because when it was released into the atmosphere, it was causing adverse health effects and adverse environmental effects.
[00:19:09.220 --> 00:19:23.031]  It has been associated with an increased risk of bone cancer, thyroid dysfunction, kidney dysfunction, skeletal and dental cirrhosis, endocrine dysfunction, arthritis, and so many other adverse health consequences.
[00:19:23.391 --> 00:19:24.512]  Just, yeah.
[00:19:25.848 --> 00:19:29.169]  And that's all in Harvard Studies peer-reviewed studies.
[00:19:29.209 --> 00:19:30.789]  You've read them all recently, haven't you?
[00:19:31.489 --> 00:19:33.310]  Yeah, I've been reviewing the research quite a bit.
[00:19:34.550 --> 00:19:42.792]  There was a Harvard study that came out recently that found an inverse relationship between fluoride consumption and IQ.
[00:19:42.812 --> 00:19:54.635]  It was an analysis of 27 different studies relating consumption of artificially fluoridated water to IQ, and they found about a seven-point difference between
[00:19:55.435 --> 00:19:56.095]  Thank you so much.
[00:20:17.290 --> 00:20:29.301]  In fact, there was a new study I read yesterday by European researchers, and it detailed how IQ in Western nations over the last century has dropped by 14.1 points.
[00:20:30.041 --> 00:20:39.270]  And if you actually look at it, that's more likely to be nearer 30 points, because a separate study which came out today said that when they added iodine to salt,
[00:20:40.070 --> 00:20:41.531]  About 80-90 years ago.
[00:20:41.871 --> 00:20:44.112]  That boosted IQ by 15 points.
[00:20:44.172 --> 00:20:51.894]  So in fact, whereas we should have had a boost in IQ over the past 100 years, we've had a 14.1% decrease.
[00:20:52.055 --> 00:20:58.197]  And as you mentioned, these Harvard, these other studies are directly linking that with fluoride consumption.
[00:20:58.237 --> 00:21:03.279]  So it's not only the health effects, it's the IQ reduction that people are concerned about.
[00:21:03.659 --> 00:21:06.220]  In fact, there was a quote I wanted to refer back to, which was
[00:21:07.140 --> 00:21:16.449]  You know, they talk about, oh, fluoride, they're putting poison in the water supply, there's this whole Dr. Strangelove pejorative thing about crazy paranoid conspiracy theories.
[00:21:16.950 --> 00:21:31.063]  But US Air Force Major George R. Jordan, who was a US-Soviet liaison officer in the 50s, said this, quote, using the fluoride in the water supplies in their concentration camps, he's talking about the Soviets,
[00:21:31.764 --> 00:21:35.828]  To make the prisoners stupid, docile and subservient.
[00:21:36.268 --> 00:21:39.091]  So, the Soviets admitted to doing it.
[00:21:39.431 --> 00:21:42.914]  The Nazis, if you read the crimes of IG Forben, admitted to doing it.
[00:21:43.494 --> 00:21:44.896]  And now it's in our water supply.
[00:21:44.936 --> 00:21:49.580]  So I guess, actually, if it's good enough for the Soviets and the Nazis, then it's good enough for America.
[00:21:50.888 --> 00:21:52.650]  It's just insane that it's being added in.
[00:21:53.491 --> 00:22:06.023]  I mean, even at low concentrations, they found that a one milligram per liter increase in urinary fluoride, fluoride found in someone's urine, was associated with a 0.6 decrease in IQ.
[00:22:06.043 --> 00:22:11.228]  It's just insane to me that it's continued to be added into the water supply.
[00:22:11.957 --> 00:22:17.259]  And it's cumulative, because we know it's in, it's not just in the water supply, it's in hundreds and hundreds of foods.
[00:22:17.639 --> 00:22:20.080]  It's cumulative, it builds up over a lifetime.
[00:22:20.120 --> 00:22:23.021]  It's not as if you're going to have a drink of tap water and you keel over and die.
[00:22:23.381 --> 00:22:24.502]  It builds up gradually.
[00:22:24.862 --> 00:22:30.404]  But then we get the, you know, the flip side of the propaganda, which is, this prevents tooth decay.
[00:22:30.664 --> 00:22:34.626]  In fact, if you look at the actual studies, there's no real evidence for that, is there?
[00:22:35.399 --> 00:22:41.981]  No, a study came out in 2009 which found that there was no relationship between the amount of fluoride ingested and tooth decay.
[00:22:42.361 --> 00:22:43.522]  And the largest U.S.
[00:22:43.562 --> 00:22:53.565]  study published in the Journal of Dental Research found that there was a gain of 0.6 of a surface of a tooth for those drinking fluoridated water.
[00:22:53.605 --> 00:22:55.346]  And that was not a significant difference.
[00:22:56.006 --> 00:23:00.868]  So the research really does not support the notion that fluoride is good for your teeth when it's ingested.
[00:23:02.355 --> 00:23:09.117]  And then the mere fact that fluoride has been in the United States water supply in the vast majority of major cities for 60 years.
[00:23:09.417 --> 00:23:15.559]  It hasn't in Europe, yet tooth decay in both Europe and the United States has declined equally.
[00:23:15.719 --> 00:23:18.600]  So that suggests it's got nothing to do with fluoride whatsoever.
[00:23:18.980 --> 00:23:25.101]  While on that subject, you've got 60% of the US population drinking fluoridated water.
[00:23:25.622 --> 00:23:30.083]  Residents of 46 of the nation's 50 largest cities in America drink this.
[00:23:30.683 --> 00:23:36.333]  Yet 97% of the people living in Western Europe do not drink fluoridated water.
[00:23:37.034 --> 00:23:40.821]  Why do we see this huge discrepancy between the two continents?
[00:23:41.960 --> 00:23:52.867]  Well, in Europe, many of the European countries have acknowledged the adverse health effects, and they're against forcefully medicating people via the water supply without their informed consent.
[00:23:53.368 --> 00:23:58.511]  When you add a medication into the water supply, you cannot control how much each person is getting.
[00:23:59.192 --> 00:24:05.336]  And everyone has a different physiology, people have different health concerns, and so they're going to react to it differently.
[00:24:06.826 --> 00:24:12.188]  So adding it to the water supply is wrong on so many levels, and the European countries have acknowledged that.
[00:24:12.769 --> 00:24:18.531]  And even in Canada, you know, we are stopping water fluoridation.
[00:24:19.731 --> 00:24:21.652]  So many cities have abandoned the practice.
[00:24:22.113 --> 00:24:27.615]  Windsor stopped adding it to the water, Calgary, Waterloo, and we're hoping that Toronto is going to be next.
[00:24:29.448 --> 00:24:37.650]  And the amazing fact is, US citizens drink more artificially fluoridated water than the rest of the world combined.
[00:24:38.210 --> 00:24:46.872]  Now we've seen victories, we've also seen complaints about the water supply being equated with terrorist threats in some areas of America.
[00:24:47.373 --> 00:24:56.955]  So whereas in Europe we've seen generally a lot of success when citizens groups try to get fluoride out of the water, if it is in there, it's still quite rare in Europe.
[00:24:57.455 --> 00:25:01.918]  But in America, there's still a huge push to keep it in the water supply.
[00:25:01.938 --> 00:25:03.319]  I mean, what do you think the agenda is?
[00:25:03.359 --> 00:25:08.262]  Is it just for financial reasons, or is there another agenda behind that?
[00:25:09.582 --> 00:25:10.563]  It's really hard to say.
[00:25:10.623 --> 00:25:18.508]  It's hard to say if people genuinely believe all of the faulty research that's been parroted over the years, or if there is some kind of other agenda.
[00:25:19.648 --> 00:25:21.149]  Or if it's financially motivated.
[00:25:21.169 --> 00:25:25.170]  The point is that the science is on our side.
[00:25:25.250 --> 00:25:34.253]  The scientific literature shows that it's very, very hazardous to health, that it does not improve our teeth, and that it needs to go.
[00:25:34.273 --> 00:25:35.713]  So, I mean, what do we do about it?
[00:25:35.753 --> 00:25:40.815]  You're organising this protest in September called Unfloridate Me.
[00:25:41.675 --> 00:25:43.756]  Tell us when and where that's going to take place.
[00:25:44.417 --> 00:25:47.579]  Yes, that's going to be taking place September 21st in Toronto.
[00:25:47.920 --> 00:25:50.962]  So if you are from Toronto, please join the Facebook page.
[00:25:51.342 --> 00:25:52.923]  It's called Unfloridate Me.
[00:25:53.764 --> 00:25:56.926]  And go to our website, which is nfloridtoronto.com.
[00:25:56.986 --> 00:25:58.227]  We have a petition up there.
[00:25:58.588 --> 00:26:13.679]  We're just trying to get as many signatures as possible, as much support for this as we can, so that we can get City Council to put this issue back on the table, and we can have the opportunity to present all of the research to them, and hopefully they will take it out of the water once they realize how hazardous it can be.
[00:26:15.069 --> 00:26:18.234]  So, is Toronto fluoridated at the moment then?
[00:26:18.675 --> 00:26:19.316]  Yes it is.
[00:26:20.057 --> 00:26:23.743]  And Canada in general is much like the US, I imagine.
[00:26:25.017 --> 00:26:27.178]  We're not as fluoridated as the U.S.
[00:26:27.238 --> 00:26:27.939]  I think we're at about 30%.
[00:26:29.280 --> 00:26:32.541]  Like I said, a lot of cities have abandoned the practice in recent years.
[00:26:32.942 --> 00:26:34.483]  So we're heading in the right direction.
[00:26:35.143 --> 00:26:42.928]  You know, when Dr. Paul Connick came to speak in Toronto, he said that if we can get fluoride out of the water in Toronto, this can be the catalyst for the rest of Canada.
[00:26:42.948 --> 00:26:44.408]  And then the U.S.
[00:26:44.448 --> 00:26:46.530]  will pretty much be alone.
[00:26:47.843 --> 00:26:56.930]  With water fluoridation and maybe then they can wake up and question, you know, why does the rest of the world not do this and that their teeth are still fine?
[00:26:58.411 --> 00:27:06.938]  Of course, people in their own cities, we encourage to, you know, create their own protests around the same day and have marches in major cities in the US as well.
[00:27:06.978 --> 00:27:09.180]  Give us that website once more in closing.
[00:27:09.636 --> 00:27:13.918]  Yeah, that would be awesome if other people could join and create their own fluoride protest for that same day.
[00:27:14.278 --> 00:27:22.442]  The website is nfluorideterrano.com and if you want to get in touch with me at all about any of this, you can tweet at me at Ashley Jessica.
[00:27:24.063 --> 00:27:28.805]  Okay, we'll definitely be revisiting this issue as the protest draws nearer.
[00:27:29.345 --> 00:27:32.587]  Ashley, Jessica, thanks for joining us on InfoWars Nightly News.
[00:27:33.067 --> 00:27:33.447]  Thank you.
[00:27:33.467 --> 00:27:34.428]  Thank you.
[00:27:35.262 --> 00:27:43.791]  So we hope everyone will go and support Ashley with the website EndFluorideToronto.com, that protest against fluoride coming up in September.
[00:27:44.492 --> 00:27:50.898]  Recapping our top headlines tonight on InfoWars Nightly News, Russia orders snap drill of missile forces.
[00:27:51.379 --> 00:27:58.326]  Again, the Russian military build-up continues as we're all distracted by the Zimmermann case and the Royal Baby.
[00:27:58.986 --> 00:28:01.768]  US intel committees approve arming Syrian rebels.
[00:28:01.848 --> 00:28:03.449]  Top General warns of costs.
[00:28:03.609 --> 00:28:13.116]  They have the Joint Chiefs of Staff Dempsey warning that this is going to cost a billion dollars a day, potentially, not to mention the lives on top of that.
[00:28:13.636 --> 00:28:14.737]  Then we had photos.
[00:28:14.957 --> 00:28:18.260]  Obama-backed Syrian rebels ransack Christian village.
[00:28:18.840 --> 00:28:22.081]  Again, shocking photos exclusive to InfoWars.com.
