[00:00:04.892 --> 00:00:05.472]  Welcome back.
[00:02:39.438 --> 00:02:44.980]  I feel that it's an invasion of my privacy and it's an invasion of all my rights as a citizen.
[00:02:46.229 --> 00:02:48.270]  Does this in any way make you feel safer?
[00:02:48.850 --> 00:02:49.391]  No, it doesn't.
[00:02:49.451 --> 00:02:58.676]  It actually bothers me a whole lot and I feel completely unsafe knowing that this is going to be hacked by pedophiles and dangerous offenders that live around my area because I walk home.
[00:02:59.096 --> 00:03:02.518]  Dangerous offenders can pick up on my signal and, you know, anybody.
[00:03:03.178 --> 00:03:04.339]  My name is John Henry Liberty.
[00:03:04.519 --> 00:03:05.980]  I'm a congressional candidate for U.S.
[00:03:06.200 --> 00:03:08.161]  House of Representatives, District 21 of Texas.
[00:03:09.401 --> 00:03:12.143]  And why did you attend this protest on RFID tracking chips today?
[00:03:12.728 --> 00:03:14.310]  Because I find the program to be abhorrent.
[00:03:14.430 --> 00:03:19.134]  This is a textbook case of Orwellian authoritarianism in action.
[00:03:20.055 --> 00:03:25.840]  Tracking our children is not going to solve the problem that they want it to solve, and it's just going to cost us $500,000.
[00:03:26.321 --> 00:03:31.105]  They say it's cost neutral, but really this still costs us $500,000, and then $136,000 annually to keep it up.
[00:03:31.125 --> 00:03:32.247]  And this is money that's allocated for education.
[00:03:37.071 --> 00:03:38.352]  Don't chip me bro!
[00:03:38.732 --> 00:03:39.873]  Don't chip me bro!
[00:03:43.871 --> 00:03:49.372]  When protesters decided to take their concerns inside, the school board attempted to silence them.
[00:03:50.012 --> 00:03:54.013]  The RFID chip issue was not even an included item on the night's agenda.
[00:03:54.493 --> 00:04:03.035]  And although many community members turned up to voice their concerns, the board would only allow five people to speak on the issue for only three minutes apiece.
[00:04:03.435 --> 00:04:08.596]  The board may not provide a public forum for every citizen wishing to express an opinion on a matter.
[00:04:10.096 --> 00:04:10.656]  It is my
[00:04:12.744 --> 00:04:21.027]  They don't want to hear from us because they know that we're right.
[00:04:21.188 --> 00:04:24.089]  This is absurd and we're going to fight them now more than ever.
[00:04:24.109 --> 00:04:26.170]  You want to talk about history?
[00:04:26.470 --> 00:04:29.651]  We know that the Jews were tattooed during the Holocaust.
[00:04:29.812 --> 00:04:30.852]  What are you doing here?
[00:04:30.872 --> 00:04:39.496]  I think that until we have a health impact study that determines that it is safe for our children, we should not be subjecting them to experimental technology.
[00:04:40.532 --> 00:04:43.234]  Everything about this screams Orwellian authoritarianism.
[00:04:44.295 --> 00:04:46.036]  It is a direct violation of the Fourth Amendment.
[00:04:46.056 --> 00:04:48.598]  It is a violation of these students' rights to privacy.
[00:04:49.258 --> 00:04:49.999]  Bottom line is this.
[00:04:50.479 --> 00:04:52.241]  My daughter has rights, okay?
[00:04:52.981 --> 00:04:55.823]  You can't reinstate rights to her that she already has.
[00:04:56.844 --> 00:04:57.564]  She has rights.
[00:04:59.046 --> 00:05:03.609]  None of you up here can ask us to give up our religious freedom.
[00:05:04.608 --> 00:05:11.154]  Finally, and most importantly, is the disgusting abuse of power resulting in the violation of these students' religious freedom.
[00:05:11.174 --> 00:05:12.435]  And it's not just Andrea.
[00:05:13.176 --> 00:05:22.644]  This program and the expressed consequences with not falling in line with it have created a chilling effect in the students in these schools and making them afraid to stand up for themselves.
[00:05:23.089 --> 00:05:24.590]  What they're doing to the people is wrong.
[00:05:25.351 --> 00:05:25.891]  And you know what?
[00:05:26.111 --> 00:05:27.292]  Now I'm going to fight even harder.
[00:05:27.312 --> 00:05:29.373]  And you're going to see my face postured everywhere.
[00:05:29.713 --> 00:05:33.176]  I'm going to come at them like a bull in a glass china shop.
[00:05:33.376 --> 00:05:34.256]  I'm coming at them now.
[00:05:34.497 --> 00:05:36.098]  They're going to regret what they just did to us.
[00:05:38.314 --> 00:05:51.918]  In a time more and more when we're being tracked, traced, and controlled at our every step, organizations such as schools are using children as test subjects for these RFID programs because they know they're easy targets for police state control conditioning.
[00:05:52.558 --> 00:06:02.101]  But as the parents you saw here today at this protest, we need to stand up against this and stand up for our freedom and our rights to liberty before we don't have any freedom left.
[00:06:02.721 --> 00:06:05.282]  I'm Melissa Melton reporting for InfoWars Nightly News.
[00:06:05.993 --> 00:06:14.344]  I really like to see more parents come down, more students come down and fight this, because this is something that's going to affect not just these school districts, but all school districts in Texas.
[00:06:14.704 --> 00:06:20.772]  This is setting a precedence that is acceptable to treat children like cattle, and that just cannot stand.
[00:06:24.332 --> 00:06:31.436]  We are back on the InfoWars Nightly News and we're going to deal now with an issue that is so important for the future of humanity.
[00:06:31.736 --> 00:06:45.804]  It is so central to the reason this country was founded, the basic ideas of life, liberty, and the pursuit of happiness, of religious freedom, of being an individual in an age where we've been conditioned to accept technology creeping up on us.
[00:06:46.145 --> 00:06:46.745]  We're always
[00:06:47.325 --> 00:06:58.931]  Wowed and amazed and wooed by the new cool things technology can do, and we're always just trained to ignore the fact that it's converging on a point of tracking us in a total control grid.
[00:06:59.331 --> 00:07:01.573]  Every piece of technology is leading up to this.
[00:07:01.733 --> 00:07:02.613]  It's integrating.
[00:07:03.113 --> 00:07:10.217]  This kind of technology started with the adoption of social security numbers and other IDs, but it is now at the point of total high-tech.
[00:07:10.557 --> 00:07:13.739]  It's being pushed on school kids, other vulnerable groups,
[00:07:14.219 --> 00:07:21.004]  People who haven't reached the age of consent, who don't yet have the wisdom to say no to this, but one family is saying no.
[00:07:21.044 --> 00:07:23.946]  We need so many more families to join them in that fight.
[00:07:24.266 --> 00:07:26.547]  We are joined now by the Hernandez family.
[00:07:26.848 --> 00:07:35.573]  They're in San Antonio saying no to the school that wants them to mandatorily wear an ID badge with an RFID tracker inside of it.
[00:07:35.874 --> 00:07:36.754]  Thanks for joining us.
[00:07:37.194 --> 00:07:42.718]  Steve, the father, Andrea at school there, and John Jay, and of course your son as well.
[00:07:43.038 --> 00:07:43.719]  Thanks for coming in.
[00:07:44.019 --> 00:07:45.200]  Yes sir, thank you, I appreciate it.
[00:07:45.500 --> 00:07:55.809]  So tell us about the specific program that's being introduced and some of the major issues going on in San Antonio, which by the way is being rolled out all across Texas and all across the nation.
[00:07:56.209 --> 00:07:59.552]  Right now it's kind of in tester, beta programs, but they want to expand it.
[00:07:59.752 --> 00:08:01.073]  Oh absolutely, absolutely.
[00:08:02.275 --> 00:08:03.235]  This program is
[00:08:04.176 --> 00:08:10.540]  Being implemented at John Jay High School and Anson Jones Middle School, the only two schools with the lowest attendance rate in the city.
[00:08:12.261 --> 00:08:14.982]  They're putting RFID tracking chips under kids' badges.
[00:08:15.022 --> 00:08:16.243]  They want to make it mandatory.
[00:08:17.344 --> 00:08:21.206]  And they want to make the rest of the school district pick it up.
[00:08:21.586 --> 00:08:23.387]  And there's 112 schools in that school district.
[00:08:24.031 --> 00:08:26.973]  So they're starting with two, but it's going to 112 schools?
[00:08:27.053 --> 00:08:27.713]  Absolutely, yes sir.
[00:08:27.733 --> 00:08:28.593]  Just in San Antonio?
[00:08:28.633 --> 00:08:31.255]  Just in San Antonio, just in the NISD school district.
[00:08:31.895 --> 00:08:34.136]  They're making it mandatory that the kids have to wear it.
[00:08:35.197 --> 00:08:38.639]  If not, they cannot participate in certain programs at school.
[00:08:39.939 --> 00:08:45.122]  They cannot get their lunch or check out library books if they don't wear these badges.
[00:08:45.928 --> 00:08:49.989]  And we stood up and said, no, absolutely not, because we felt like it stepped on our religious freedom.
[00:08:50.529 --> 00:08:50.749]  Right.
[00:08:50.989 --> 00:09:03.852]  And when we got back into town, we got this letter from the NISD board saying that on August 10th, that this is when this letter was dated, that the kids would start wearing these badges.
[00:09:03.952 --> 00:09:11.053]  And they sent it out really close to the day that the kids had to go get their badges and register for school, because they didn't want any arguments.
[00:09:11.413 --> 00:09:12.873]  They didn't want anybody to resist it.
[00:09:13.614 --> 00:09:15.474]  But unfortunately for them,
[00:09:16.590 --> 00:09:21.332]  I resisted, and I went on my local news station and I said, no, my daughter will not wear this badge.
[00:09:21.753 --> 00:09:28.356]  They had already done a story and said, hey, we want to talk to you more about it, and now we are here today with you on your show to speak more about this.
[00:09:28.416 --> 00:09:33.659]  And we do have a clip from that news piece, so let's go to that right now and then we'll come back and enlarge the discussion.
[00:09:35.000 --> 00:09:45.927]  Starting tomorrow, about 4,000 students at John Jay High School and Anson Jones Middle School must wear a new and controversial photo ID called the Radio Frequency Identification System.
[00:09:46.307 --> 00:09:48.168]  It tracks students while they're on campus.
[00:09:48.528 --> 00:09:49.989]  Some call it a spy chip.
[00:09:50.369 --> 00:09:52.410]  Andrea says many students just won't wear it.
[00:09:52.591 --> 00:09:54.892]  I know that there's kids who are, hey man, can you hold this?
[00:09:54.992 --> 00:09:56.273]  I'm gonna go across the street to go get tacos.
[00:09:56.293 --> 00:09:59.115]  She said others might stick it in a locker to avoid monitoring.
[00:09:59.195 --> 00:10:01.396]  The NISD is a school district, they're not a government.
[00:10:02.865 --> 00:10:03.966]  And so there is that.
[00:10:03.986 --> 00:10:05.828]  There's of course more up on the websites.
[00:10:06.468 --> 00:10:12.994]  But Steve, Andrea, what's been the reaction to that news piece, and what are people saying about the fact that you don't want to go along with this system?
[00:10:13.314 --> 00:10:18.038]  A lot of people are just like, oh you're just whining, oh you're just complaining, you just want to fit the attention.
[00:10:18.099 --> 00:10:20.341]  I was like, no this is, you know, this is wrong.
[00:10:20.881 --> 00:10:22.522]  Northside does not have the right to do this to us.
[00:10:22.582 --> 00:10:24.864]  And they're just like, oh just wear the badge, you know, it's just a badge.
[00:10:24.885 --> 00:10:28.448]  I was like, no, this is a lot bigger than just a badge, and it's a lot more than that as well.
[00:10:29.757 --> 00:10:31.479]  It really is, and Steve?
[00:10:32.379 --> 00:10:36.843]  You know, I had a guy at work actually tell me I was just exploiting this for my own benefit.
[00:10:38.044 --> 00:10:40.146]  I don't see how that could be, because I'm not getting paid for this.
[00:10:41.387 --> 00:10:42.268]  What am I exploiting?
[00:10:43.008 --> 00:10:46.151]  What I'm trying to exploit here is the injustice of this school district.
[00:10:46.691 --> 00:10:50.775]  This school district sits here and believes that they can mandate
[00:10:51.414 --> 00:10:54.435]  To parents and students and teachers, what they can and cannot do.
[00:10:55.096 --> 00:11:01.758]  I've been watching it for the last seven, eight years that I've been back in San Antonio, and I've had to go up against the school district several times on different issues.
[00:11:02.519 --> 00:11:06.700]  They literally believe what they say is gold, it's solid, and you must do it.
[00:11:06.820 --> 00:11:09.081]  If not, you're done.
[00:11:09.441 --> 00:11:10.182]  You better do as they say.
[00:11:10.222 --> 00:11:12.863]  They really want to usurp the rights of parents, among other things.
[00:11:13.343 --> 00:11:20.366]  But you've seen stories in the past few years, it's been leading up, different school districts across the country where they want you to thumbprint for a lunch.
[00:11:20.766 --> 00:11:21.106]  Yeah, absolutely.
[00:11:50.285 --> 00:12:08.752]  They say these chips can't be tracked except for inside the school and Wade Garcia, who actually implemented all of this into both of those schools, has come on radio publicly and said, hey, you know, we had to wait several years to get the previous superintendent out so that we get this new guy in there and he'll go ahead and prove it.
[00:12:08.772 --> 00:12:10.032]  I mean, he's admitted to it.
[00:12:10.592 --> 00:12:13.653]  That this has been in plan for about the last two years, several years.
[00:12:14.373 --> 00:12:15.714]  So he also states that
[00:12:16.209 --> 00:12:17.690]  Hey, these things never shut off.
[00:12:17.770 --> 00:12:18.811]  They always emit a signal.
[00:12:19.651 --> 00:12:23.714]  And you know, if they're always emitting a signal, that means anybody with an RFID tracker...
[00:12:24.428 --> 00:12:25.468]  Can I actually pull up your information?
[00:12:25.488 --> 00:12:27.829]  Anybody with basic computer knowledge can actually pull this up.
[00:12:28.250 --> 00:12:28.950]  Yeah, it's true.
[00:12:28.990 --> 00:12:32.692]  They're very easy to hack and that means sexual predators are going to be hacking.
[00:12:32.732 --> 00:12:41.575]  That means lawless authorities, people abusing their power are going to be hacking the systems, probably with a ready-to-go index of students and teachers and everyone else.
[00:12:41.655 --> 00:12:49.919]  It's total inventory control, open season for people who are predators, wolves inside a system of people who are still sheeps, people who aren't grown up yet.
[00:12:50.419 --> 00:12:52.020]  It would be bad enough to do it to adults.
[00:12:52.400 --> 00:12:52.941]  Absolutely.
[00:12:53.421 --> 00:13:03.949]  And what they don't seem to understand, they're stepping on civil liberties, religious freedom, and these children who aren't old enough to make decisions for their own, they're being conditioned and told, you have to do it this way.
[00:13:04.769 --> 00:13:09.533]  So what they're doing is taking the voices away from the children, away from the parents, even teachers.
[00:13:09.733 --> 00:13:12.635]  I know some teachers are afraid to stand up because they don't want to lose their jobs.
[00:13:13.226 --> 00:13:13.386]  Yeah.
[00:13:13.566 --> 00:13:15.387]  They're taking away the voice of the people.
[00:13:15.867 --> 00:13:16.667]  But guess what?
[00:13:16.808 --> 00:13:18.328]  I'm here for the voice of the people.
[00:13:18.808 --> 00:13:23.771]  And even for those who disagree with me, I'm fighting for you, your children, your families.
[00:13:23.811 --> 00:13:26.132]  Not just for my two children and my family.
[00:13:26.692 --> 00:13:29.093]  I'm fighting for every person out there.
[00:13:29.953 --> 00:13:31.594]  I've been misquoted several times saying that
[00:13:32.566 --> 00:13:34.907]  I said this is the Mark of the Beast and all this fun stuff.
[00:13:35.248 --> 00:13:36.528]  I didn't say it was the Mark of the Beast.
[00:13:36.588 --> 00:13:38.069]  I said this is how they condition the people.
[00:13:38.089 --> 00:13:38.790]  Okay?
[00:13:39.030 --> 00:13:40.150]  But there's a correlation there.
[00:13:40.531 --> 00:13:40.831]  Oh yeah?
[00:13:41.051 --> 00:13:48.635]  Because in the Bible it says you can't buy, sell, you can't participate pretty much in the economy if you don't have the Mark of the Beast.
[00:13:49.176 --> 00:13:49.576]  But guess what?
[00:13:49.776 --> 00:13:55.479]  In that school, they're being told, hey, you can't buy your lunch unless you have this badge.
[00:13:56.000 --> 00:13:58.281]  You can't get your library books unless you have this badge.
[00:13:59.221 --> 00:14:00.122]  Sounds very similar to me.
[00:14:01.101 --> 00:14:02.561]  It was extremely prescient.
[00:14:02.621 --> 00:14:06.542]  People like to discount Bible prophecy, but it's so strongly worded.
[00:14:06.622 --> 00:14:08.542]  Everyone knows about that passage.
[00:14:08.562 --> 00:14:09.583]  You can read it if you want.
[00:14:10.023 --> 00:14:11.383]  How did they know that was coming?
[00:14:11.863 --> 00:14:16.724]  Doesn't matter if it's just dictators, if it's just men on earth and not devils running things.
[00:14:16.764 --> 00:14:18.484]  They've still gone with the same plan.
[00:14:18.504 --> 00:14:19.784]  Oh yeah, absolutely.
[00:14:20.204 --> 00:14:24.405]  I mean, if the Bible wasn't true, I wouldn't be sitting here today with you.
[00:14:24.425 --> 00:14:25.665]  I just made it simple.
[00:14:26.926 --> 00:14:28.946]  If it wasn't in there, it wasn't written,
[00:14:30.091 --> 00:14:33.692]  I was 5 years old when my parents started teaching me the Bible and taking me to church.
[00:14:34.232 --> 00:14:48.157]  Now imagine if you will, 11 o'clock at night, you're 5 years old, you can barely keep your eyes open, your dad has you down on the carpet talking and reading you the Bible, and he starts talking about the Mark of the Beast, talking to you about these little chips they want to put in your size of a grain of rice.
[00:14:48.817 --> 00:14:51.138]  You don't know what to think, you're a child.
[00:14:51.898 --> 00:14:57.560]  But here I am, 42 years old, 37 years later, all of a sudden I find myself in the middle of it.
[00:14:59.719 --> 00:15:02.021]  I'm in the middle of it and I gotta take care of my children.
[00:15:02.101 --> 00:15:07.344]  It is my responsibility as a parent to take care of my family.
[00:15:07.464 --> 00:15:09.626]  My wife, my son, my daughter.
[00:15:09.646 --> 00:15:12.628]  I have to stand up and protect them.
[00:15:13.208 --> 00:15:14.649]  And this is exactly what I'm doing today.
[00:15:14.769 --> 00:15:17.211]  I'm standing up to protect my wife and my children.
[00:15:18.011 --> 00:15:19.292]  And I'm not going to allow this to happen.
[00:15:19.332 --> 00:15:22.114]  We are not going to compromise our faith for NISD.
[00:15:22.374 --> 00:15:23.835]  We're not going to compromise for the government.
[00:15:24.315 --> 00:15:25.096]  We're just not going to do it.
[00:15:25.632 --> 00:15:30.794]  Well, why will they make certain provisions for religious reasons for extreme minorities?
[00:15:30.814 --> 00:15:33.215]  And those people should have the right to religious freedom.
[00:15:33.616 --> 00:15:36.597]  It's, you know, part of the tradition of this country and it makes sense anyway.
[00:15:36.957 --> 00:15:43.840]  But why will they run wholesale over huge blocks of Christians and just completely ignore a very well-known provision?
[00:15:43.880 --> 00:15:46.601]  I mean, that is a line in the sand for so many people.
[00:15:46.961 --> 00:15:54.765]  The RFID chip, the Mark of the Beast, whatever you see it as, maybe some future technology still coming, but it's all headed in the same direction of control.
[00:15:55.265 --> 00:15:57.447]  And really, disrespect for human individuals.
[00:15:58.127 --> 00:16:08.615]  Yeah, there is a disrespect, and the reason they run over the Christians is because they know if they can squash the Christians, and they can squash God's Word, they can take over the world and do what they want to do.
[00:16:09.456 --> 00:16:11.557]  But unfortunately for them, the book has already been written.
[00:16:12.518 --> 00:16:13.739]  God wins, okay?
[00:16:14.179 --> 00:16:15.060]  The Christian people win.
[00:16:15.861 --> 00:16:19.584]  So they can try as they might, but it's just not going to work out for them.
[00:16:20.604 --> 00:16:23.927]  You know, I would rather be on the side of the Lord
[00:16:25.217 --> 00:16:28.078]  And reap my rewards in Heaven and reap my rewards here on Earth.
[00:16:29.859 --> 00:16:31.359]  There's more to this.
[00:16:32.480 --> 00:16:37.761]  And I've had the opportunity to witness to people and talk to people the last several weeks, get people saved.
[00:16:38.622 --> 00:16:40.803]  I believe that God has chosen us to help to fight this.
[00:16:41.443 --> 00:16:42.463]  I mean, who would ever think?
[00:16:42.663 --> 00:16:46.064]  I went on television to my local news station and said, no, we're not going to do this.
[00:16:46.565 --> 00:16:47.485]  And here I am today.
[00:16:48.514 --> 00:16:51.476]  Two, three protests later, visits with the NISD.
[00:16:51.516 --> 00:16:55.337]  I have all kinds of organizations and people from around the world gathering behind us.
[00:16:56.778 --> 00:17:00.680]  Who would think one man stood up and made that big of a difference?
[00:17:01.420 --> 00:17:03.181]  And then, why did I stand up?
[00:17:03.241 --> 00:17:05.902]  Because my daughter told me that I'm not going to wear it.
[00:17:06.703 --> 00:17:07.563]  I am not going to wear it.
[00:17:08.464 --> 00:17:09.024]  And she's right.
[00:17:09.104 --> 00:17:09.864]  She doesn't have to.
[00:17:10.365 --> 00:17:15.207]  I mean, she can tell you things that have been going on in the school, that the teachers have been telling the students.
[00:17:15.888 --> 00:17:17.289]  About wearing the badge.
[00:17:17.449 --> 00:17:18.690]  It's absolutely absurd.
[00:17:20.931 --> 00:17:24.293]  And you were talking earlier, Andrea, about how you're not a product.
[00:17:24.313 --> 00:17:27.875]  You've got an image on one of your binders at school about, I am not a product.
[00:17:27.935 --> 00:17:33.598]  But this is exactly what they're trying to do, is treat us as human cattle, as we're part of an inventory system.
[00:17:34.199 --> 00:17:38.801]  The way they're tracking boxes that come from Walmart and go to stores across the country and everything.
[00:17:39.221 --> 00:17:40.082]  But we're human beings.
[00:17:40.342 --> 00:17:40.802]  Exactly.
[00:17:41.203 --> 00:17:42.704]  And that's what Northside seems to forget.
[00:17:42.744 --> 00:17:44.045]  They think that we're just money.
[00:17:44.065 --> 00:17:45.367]  We're just cattle.
[00:17:45.927 --> 00:17:47.589]  They don't think of us as a person.
[00:17:48.009 --> 00:17:50.371]  They just think that, oh, they're just more money for our pocket.
[00:17:50.391 --> 00:17:51.532]  They're just more money for the budget.
[00:17:51.893 --> 00:17:58.359]  But they don't realize that, you know, yes, they have a budget, and yes, they have money, but it's supposed to be for the students.
[00:17:58.419 --> 00:18:02.923]  It's supposed to be for the fine arts, for the athletics, for the teachers, not for their own personal gain.
[00:18:03.860 --> 00:18:07.881]  Yeah, but they always seem to have funding for these high technology control systems.
[00:18:07.901 --> 00:18:08.221]  Yeah.
[00:18:08.541 --> 00:18:11.842]  But, you know, then they have to cut the arts, they have to cut the sports programs.
[00:18:12.263 --> 00:18:12.783]  Absolutely.
[00:18:12.803 --> 00:18:20.505]  You know, Northside just, oh, we don't have any money to do anything, we don't have any money for our teachers, so let's let go all of our teachers, but let's bring in these new chips.
[00:18:21.405 --> 00:18:25.587]  That kind of, you know, we're not supposed to have any money, but yet we have enough money for this tracking program.
[00:18:26.147 --> 00:18:27.747]  And then this is just the beginning, you know.
[00:18:27.767 --> 00:18:32.649]  There's 110 more schools that have to get this chip as well if we don't stop it here and now.
[00:18:33.547 --> 00:18:37.269]  Yeah, and I want to talk specifically about fighting back, because it does make a big difference.
[00:18:37.429 --> 00:18:44.932]  On the RFID front, they've already moved to chip most pets in many cities, trying to put forward the idea that that's somehow mandatory.
[00:18:45.413 --> 00:18:52.976]  People have, on the other hand, fought back against that, because the microchips have been found to cause cancer in pets and animals, and nobody wants to see that.
[00:18:53.396 --> 00:18:56.438]  But the fact that people have protested against that issue has really hurt
[00:18:56.838 --> 00:19:02.461]  The main company is putting out the RFID technology, so they can suffer from us speaking back.
[00:19:02.522 --> 00:19:05.323]  It's a consumer issue, but it's also a rights issue.
[00:19:05.844 --> 00:19:11.087]  And parental rights, your rights as a member of a public school, that all factors into that.
[00:19:11.107 --> 00:19:16.390]  So let's talk about how we can fight back and how do we get other people out there with you helping on this issue.
[00:19:16.790 --> 00:19:20.911]  Well, what we've been trying to do, we actually go out and we talk with people and let people know.
[00:19:21.452 --> 00:19:24.253]  But, you know, people can go to spychips.com and read about it.
[00:19:24.793 --> 00:19:28.654]  All of our protests, all the pictures that we have up there are, you know, they're going there.
[00:19:28.694 --> 00:19:29.354]  We have videos.
[00:19:29.655 --> 00:19:38.077]  We actually have a video that was released of our, of everybody talking to the NISD Board of Trustees.
[00:19:40.038 --> 00:19:43.879]  Karen Freeman from NISD said that, hey, you know, we can listen to you, but it doesn't mean we have to act on it.
[00:19:45.950 --> 00:19:47.791]  That tells me, hey, she wants to stay on her grind.
[00:19:47.811 --> 00:19:55.617]  But guess what, you know, we have a group of 20 million strong behind us and all kinds of different organizations throughout the world, people from all over the place.
[00:19:56.597 --> 00:20:00.320]  Like Katherine Albrecht told me, you put a little bit of fire underneath them, they're going to stop.
[00:20:00.340 --> 00:20:01.241]  So let's light this fire.
[00:20:01.971 --> 00:20:02.191]  Okay.
[00:20:02.812 --> 00:20:06.154]  I have to give my hats off, my thanks to Katherine Albrecht, Katie Deloitte.
[00:20:06.194 --> 00:20:10.616]  Yeah, she's done a lot of very good work on this, and she has put pressure on specific companies.
[00:20:11.237 --> 00:20:14.019]  She's followed them, and she could do the same for these public institutions.
[00:20:14.079 --> 00:20:14.539]  Absolutely.
[00:20:14.579 --> 00:20:15.800]  Liz McIntyre, all of them.
[00:20:15.840 --> 00:20:24.085]  They have single-handedly put them back by at least ten years by all these protests that they've been doing throughout the United States and England and all over the world.
[00:20:24.685 --> 00:20:26.366]  You know, and I'm proud to be part of that.
[00:20:27.047 --> 00:20:28.628]  And, you know, these people
[00:20:29.485 --> 00:20:30.365]  You need to understand.
[00:20:30.465 --> 00:20:35.326]  You cannot mandate to a free society what people have to do.
[00:20:35.366 --> 00:20:38.227]  You cannot just say, hey, you're going to wear it and you're going to like it.
[00:20:38.887 --> 00:20:39.207]  You can't.
[00:20:39.307 --> 00:20:41.688]  We are the United States of America.
[00:20:41.728 --> 00:20:42.628]  We are a free nation.
[00:20:42.648 --> 00:20:43.768]  We're supposed to be a free nation.
[00:20:44.389 --> 00:20:47.229]  We are not United States of Northside Independent School District.
[00:20:48.109 --> 00:20:49.110]  They are not a government.
[00:20:49.530 --> 00:20:52.570]  And even if they were a government, they cannot tell us we have to wear chips.
[00:20:53.151 --> 00:20:54.791]  That they can track us anytime they like.
[00:20:55.411 --> 00:20:59.012]  It's enough that they're tracking us with our credit cards, our cell phones, our phone bills.
[00:21:00.165 --> 00:21:01.346]  There's some things you can't get around.
[00:21:01.386 --> 00:21:02.546]  But this, I can get around.
[00:21:02.566 --> 00:21:04.167]  This, I would say no to.
[00:21:04.688 --> 00:21:06.269]  My daughter's not going to wear this badge.
[00:21:07.569 --> 00:21:08.630]  This badge was okay.
[00:21:09.991 --> 00:21:13.893]  Even though it has barcodes on it and it has a little scanty thingamabob on the back.
[00:21:14.293 --> 00:21:15.174]  But this one is no good.
[00:21:15.214 --> 00:21:15.674]  I don't like it.
[00:21:16.174 --> 00:21:18.256]  It has two batteries and it has a chip right here.
[00:21:19.016 --> 00:21:20.897]  It never turns off.
[00:21:21.998 --> 00:21:24.859]  And with that being said, she will never wear it.
[00:21:25.680 --> 00:21:29.242]  My son will not wear it when and if it comes to his school.
[00:21:29.943 --> 00:21:34.866]  I mean, we're talking about the privacy concerns, which are the big things, but there's also the environmental pollution.
[00:21:34.906 --> 00:21:39.128]  Are these devices safe to even wear next to the heart and different parts of the body?
[00:21:39.168 --> 00:21:43.711]  There's been a lot of stuff brought out on different Wi-Fi signals, and this is becoming a problem.
[00:21:44.191 --> 00:21:46.032]  Yeah, it emits a radiation cloud around the body.
[00:21:46.892 --> 00:21:49.814]  Up to 70 feet in diameter, I believe they were saying.
[00:21:50.994 --> 00:21:54.837]  So anybody can drive by with an RFID scanner and get your information.
