[00:00:16.216 --> 00:00:18.600]  It's time for you men to stand up in the info hall.
[00:10:40.604 --> 00:10:42.125]  I want to thank Ty Robin.
[00:10:42.385 --> 00:10:45.727]  He sent that in and he posted that march on YouTube.
[00:10:46.407 --> 00:10:53.971]  Those guys are out there promoting InfoWars in places like Reno, Carson City, Lake Tahoe, and even Sacramento, California.
[00:10:54.371 --> 00:10:56.372]  So good job, guys.
[00:10:56.852 --> 00:10:57.753]  Way to spread the word.
[00:10:58.613 --> 00:11:11.686]  Well apparently the Department of Justice is telling its managers not to use the words husband or wife because it might be considered hateful to homosexual employees.
[00:11:12.367 --> 00:11:14.089]  Here's a report from Gigi Ornette.
[00:11:28.041 --> 00:11:31.483]  The New World Order seems to be trampling over our rights yet again.
[00:11:32.023 --> 00:11:48.170]  Between the latest DOJ memo that is telling managers they should support LGBT functions, to the Russians being approached by the European Council and being told that they should support gay pride parades, there seems to be a worldwide bullying campaign against our core family values.
[00:11:48.771 --> 00:11:51.132]  All of that in the guise of gay rights.
[00:11:52.128 --> 00:11:58.674]  Pushing the LGBT agenda is a New World Order global attack that has gone from tolerance to coercion.
[00:11:59.454 --> 00:12:04.479]  Starting right here in the United States, the LGBT community makes up only 4% of the population.
[00:12:04.759 --> 00:12:11.545]  Keeping that in perspective, the latest directive from the DOJ reveals how out of balance our society has become.
[00:12:12.366 --> 00:12:16.589]  According to the DOJ Pride Directive, silence means disapproval.
[00:12:17.855 --> 00:12:22.551]  And you shouldn't say husband or wife because it could offend the homosexuals in your office.
[00:12:23.154 --> 00:12:25.436]  It says, please use partner or significant other.
[00:12:26.036 --> 00:12:28.558]  So now husband and wife are offensive?
[00:12:29.358 --> 00:12:31.560]  Isn't this hate speech against heterosexuals?
[00:12:32.340 --> 00:12:36.704]  In London, they passed a law to remove husband and wife from official British documents.
[00:12:36.984 --> 00:12:39.305]  So don't be surprised if it happens in the United States.
[00:12:40.046 --> 00:12:43.769]  In France, they plan on removing mother and father from forms.
[00:12:44.569 --> 00:12:45.930]  Au revoir to mommy and daddy!
[00:12:45.950 --> 00:12:48.152]  It soon will be parent.
[00:12:48.912 --> 00:12:52.901]  What happened to the First Amendment liberties of the people who are straight and Christian?
[00:12:54.414 --> 00:13:04.062]  Now, not that I'm agreeing with Putin, but he does say, quote, how can they demand that we introduce their standards, or maybe we should demand they introduce our standards in their country.
[00:13:04.723 --> 00:13:09.767]  He's sticking to what 90% of the people want, which is to keep core family values.
[00:13:10.187 --> 00:13:20.456]  The hypocritical DOJ directive, LGBT inclusion at work, the seven habits of highly effective managers, needs a directive of inclusion for whistleblowers.
[00:13:21.016 --> 00:13:26.718]  Since the DOJ is so hot and heavy to make sure everybody feels included, we need a directive for whistleblowers.
[00:13:27.478 --> 00:13:28.018]  How about this?
[00:13:28.378 --> 00:13:36.421]  If an employee comes into your office, shuts the door, and says, I've been meaning to tell you this for a while, I'm a whistleblower.
[00:13:37.503 --> 00:13:40.125]  Be supportive and thankful that they trusted you.
[00:13:40.486 --> 00:13:43.329]  Ask them if they had been made to feel safe in the workplace.
[00:13:43.749 --> 00:13:46.512]  Let them know about DOJ Whistleblower Pride.
[00:13:47.052 --> 00:13:49.374]  Go to PrisonPlanet.tv and sign up.
[00:13:49.755 --> 00:13:52.757]  You can share your username and password with up to 10 people.
[00:13:53.438 --> 00:13:56.281]  I'm Gigi Ornette with an InfoWars Nightly News Alert.
[00:13:58.902 --> 00:14:01.804]  Hey, that's going to do it for the first half of our broadcast.
[00:14:01.884 --> 00:14:04.665]  Don't forget, next week is Bilderberg 2013.
[00:14:05.125 --> 00:14:11.529]  And this is where the global elite will once again meet secretly.
[00:14:11.929 --> 00:14:14.070]  Well, not so secretly anymore.
[00:14:14.390 --> 00:14:23.675]  They're going to privately discuss and create global policy and create plans to establish their long-awaited one world government.
[00:14:24.235 --> 00:14:25.375]  The New World Order.
[00:14:25.896 --> 00:14:34.259]  Alex Jones and some of the crew, they're going to be traveling to England next week as InfoWars will be covering the Bilderberg event once again.
[00:14:34.279 --> 00:14:44.843]  We're going to have live coverage and reports from Alex Jones and the crew all week long as we continue to expose the global elite and their plans
[00:14:45.703 --> 00:14:47.704]  Well, they're plans to destroy humanity.
[00:14:48.145 --> 00:14:51.687]  So be sure to visit InfoWars.com for all the details.
[00:14:51.727 --> 00:15:00.872]  We have a brand new website that's InfoWars.com, there it is, forward slash B. That'll take you to the official Bilderberg website.
[00:15:01.233 --> 00:15:10.158]  So for all the details and upcoming events, it's going to be right there on the special section dedicated entirely to Bilderberg 2013.
[00:15:11.559 --> 00:15:18.367]  And don't forget, ProPure has a 15% off during the entire Bilderberg meeting next week.
[00:15:18.728 --> 00:15:21.851]  So it's a ProPure Bilderberg special.
[00:15:21.891 --> 00:15:24.554]  You can get it right there at InfoWarshop.com.
[00:15:24.875 --> 00:15:26.797]  And that's going to do it for the first half of our broadcast.
[00:15:26.817 --> 00:15:27.998]  We're going to take a break.
[00:15:28.018 --> 00:15:28.940]  When we come back,
[00:15:29.380 --> 00:15:31.602]  We're going to show an interview.
[00:15:31.662 --> 00:15:36.266]  This is a classic interview with investigative journalist Jim Tucker.
[00:15:36.286 --> 00:15:41.791]  Of course, this is a guy who exposed the Bilderberg Group for the first time.
[00:15:42.291 --> 00:15:45.414]  Jim Tucker, when we come back right after this, stick around.
[00:15:51.371 --> 00:15:59.218]  As we saw in Katrina, and as we are watching now in New York and New Jersey, the federal government can't and won't help you in a crisis.
[00:15:59.818 --> 00:16:02.461]  FEMA ran out of water and MREs in days.
[00:16:03.001 --> 00:16:05.724]  Electricity is still off to over 1 million people.
[00:16:06.304 --> 00:16:10.528]  The Red Cross, who is quick to beg for money, is now slow to react.
[00:16:11.348 --> 00:16:13.110]  Don't put it off any longer.
[00:16:13.871 --> 00:16:14.952]  Get prepared today.
[00:16:17.552 --> 00:16:22.576]  The Info Wars Shop is the largest distributor of Pro-Pure water filter systems.
[00:16:23.096 --> 00:16:27.799]  And now, get 15% off your Pro-Pure order with the promo code WATER15.
[00:16:29.320 --> 00:16:33.684]  While you're on InfoWarsShop.com, check out these other great preparedness items.
[00:16:34.778 --> 00:16:39.063]  The Aquapod Kit lets you store up to 65 gallons of water in your bathtub.
[00:16:40.084 --> 00:16:45.129]  Pocket Socket provides you with manual electricity for small electronics like your cell phone.
[00:16:46.330 --> 00:16:48.533]  The LifeStraw is great for your bug out bag.
[00:16:49.734 --> 00:16:56.401]  And check out our complete line of inner food products for great tasting and nutritionally dense foods that have a great shelf life.
[00:16:57.422 --> 00:17:08.848]  If you are looking to secure your home in a crisis, you can order Strategic Relocations The Film, a great companion to the book Strategic Relocations Third Edition, and The Secure Home by Joel Skousen.
[00:17:10.008 --> 00:17:14.411]  When the time to perform arrives, the time to prepare has already passed.
[00:17:14.771 --> 00:17:20.073]  Get prepared now, so if a crisis strikes your home, you and your family will be secure.
[00:17:20.734 --> 00:17:24.456]  Go to InfoWarshop.com, and don't forget the promo code Water15.
[00:17:34.187 --> 00:17:40.151]  I'm Darren McBreen and these are some of the new items that are available now at InfoWarsShop.com.
[00:17:40.291 --> 00:17:45.714]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:17:45.834 --> 00:17:49.517]  Obama's joker face on the front and come and take it on the back.
[00:17:49.697 --> 00:17:53.639]  It's time to publicly call him out for what he is, a tyrant.
[00:17:53.759 --> 00:17:57.602]  Defend the second amendment with our top seller come and take it t-shirts.
[00:17:57.742 --> 00:18:01.864]  And look at that, women's cut tank tops and t-shirts now available.
[00:18:02.005 --> 00:18:02.485]  Nice hat.
[00:18:02.785 --> 00:18:04.886]  Plus, the Don't Tread On Me flag.
[00:18:04.906 --> 00:18:08.967]  And now, you can become a micro-distributor of the Info Wars magazine.
[00:18:08.987 --> 00:18:13.029]  Plus, get your own copy delivered right to your door each and every month.
[00:18:13.569 --> 00:18:22.192]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro One High Performance Water Filter.
[00:18:22.512 --> 00:18:28.534]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:18:30.262 --> 00:18:54.941]  So join the revolution at InfoWarsHop.com My name is Jim Tucker.
[00:18:54.981 --> 00:18:55.482]  We're at St.
[00:18:55.522 --> 00:18:57.984]  Marie, Switzerland for the
[00:18:59.108 --> 00:19:00.009]  Uh, Bilderberg meeting.
[00:19:00.489 --> 00:19:10.976]  Well, this year, uh, Bilderberg is strongly committed to, uh, expanding the war with the invasion of Egypt so they could, uh, have a big war.
[00:19:11.337 --> 00:19:17.501]  They use the term big war a lot in the middle, Middle East cause that will generate profits.
[00:19:19.162 --> 00:19:21.444]  Uh, they want them all involved in a big war.
[00:19:21.904 --> 00:19:22.324]  Right.
[00:19:22.584 --> 00:19:27.208]  They want a war throughout the Middle East, uh, with the exception of Israel.
[00:19:31.829 --> 00:19:35.850]  As I said, there's big profits to be made from war.
[00:19:35.870 --> 00:19:49.295]  Because when you go to war, you're making tanks, airplanes, trucks, jeeps, and all kinds of war materials, which is profitable in its own way.
[00:19:49.995 --> 00:19:55.196]  And then the war profiteering kicks in, as it has in all of our wars.
[00:19:57.759 --> 00:19:58.019]  We're good.
[00:20:16.932 --> 00:20:29.026]  Calling for bigger NATO involvement in combat missions, more NATO support for the wars in the Middle East.
[00:20:30.067 --> 00:20:32.630]  A very rough sounding one hour speech.
[00:20:35.451 --> 00:20:38.352]  It appeared on page one of the Financial Times.
[00:20:38.452 --> 00:20:42.135]  The Financial Times has been attending Bilderberg meetings for decades.
[00:20:43.176 --> 00:20:44.196]  So they keep their promises.
[00:20:44.717 --> 00:20:51.301]  So they identified, they said he simply spoke to a private group of luminaries or something to that effect.
[00:20:51.341 --> 00:20:52.241]  I've got the clipping here.
[00:20:52.262 --> 00:20:54.643]  It did not say Bilderberg.
[00:20:55.283 --> 00:21:02.608]  He delivered the speech to a private meeting of financial
[00:21:04.514 --> 00:21:04.694]  I think
[00:21:24.229 --> 00:21:27.990]  Wherever he is quoted directly, you can quote him directly.
[00:21:28.451 --> 00:21:33.673]  The rest of the story is complete and accurate also, so go ahead and have fun.
[00:21:34.293 --> 00:21:41.776]  They intended that to be a message to get out in a way that would not be traced back to Bilderberg.
[00:21:42.316 --> 00:21:44.457]  It was kind of silly for them to think they could do that.
[00:21:45.097 --> 00:21:49.639]  Every American, whether he's a civilian shyster or
[00:21:50.299 --> 00:21:50.459]  I think?
[00:22:11.294 --> 00:22:11.574]  I don't
[00:22:31.485 --> 00:22:45.180]  To worry about it being so old, as if that mattered, I'll point out to them that it's been amended and expanded and strengthened several times by Congress over the years, including deep into the 20th century, they've added and expanded the Logan Act.
[00:22:45.580 --> 00:22:49.585]  So they're criminals when they attend and they should be prosecuted.
[00:22:50.526 --> 00:22:52.328]  Is Robert Gates himself worried about that?
[00:22:53.194 --> 00:22:54.194]  I don't think they were at all.
[00:22:54.715 --> 00:23:01.618]  Nobody ever challenged them except for, well, they're a little bit more now because of the great Ron Paul in Congress.
[00:23:02.318 --> 00:23:10.821]  Jim, about the wars, so many countries in the Middle East, dozens of them, have had protests and riots and coups and destabilization.
[00:23:11.282 --> 00:23:14.563]  Has Bilderberg been behind most or all of that or what do you know?
[00:23:15.603 --> 00:23:16.524]  It has been promoted.
[00:23:17.561 --> 00:23:29.647]  And, of course, the President of the United States is always controlled by Bilderberg, and they have members of the high officials of the White House attending the meetings for the purpose of getting their instructions.
[00:23:30.227 --> 00:23:33.609]  So, yes, there's a big involvement.
[00:23:34.069 --> 00:23:44.915]  We've seen some dramatic departures, such as Bill Clinton, who attended Bilderberg as the obscure governor of Arkansas, was elected president the following year.
[00:23:46.919 --> 00:23:48.400]  George H.W.
[00:23:48.420 --> 00:24:01.048]  Bush had been a Trilateral Commission participant, and he had promised in his campaign for election not to raise taxes.
[00:24:01.508 --> 00:24:08.293]  He said he was in favor of the Taxpayer Bill of Rights, which has first been proposed by my publisher, and has since become law.
[00:24:09.107 --> 00:24:11.029]  Then Bilderberg ordered him to raise taxes.
[00:24:11.810 --> 00:24:17.896]  So he raised taxes and lost the election, breaking a very solemn campaign pledge.
[00:24:18.056 --> 00:24:20.018]  But Bill Clinton was right there.
[00:24:20.038 --> 00:24:27.907]  It is under Bill Clinton that NATO became the standing army of the United Nations.
[00:24:28.840 --> 00:24:30.041]  He invaded Kosovo.
[00:24:31.122 --> 00:24:36.166]  Clinton was the most bloody-handed draft-dodger to ever disgrace the White House with his presence.
[00:24:36.726 --> 00:24:37.807]  And I've mentioned his good points.
[00:24:37.847 --> 00:24:38.908]  I've not gotten critical yet.
[00:24:41.744 --> 00:24:44.005]  So we attacked Kosovo.
[00:24:44.745 --> 00:24:45.785]  Killed thousands of people.
[00:24:46.165 --> 00:24:48.186]  We have zero casualties in that brief war.
[00:24:48.206 --> 00:24:51.526]  Americans love a brief war when we don't have any casualties.
[00:24:52.107 --> 00:25:02.589]  The reason we didn't have casualties is our planes flew so high out of range of the missiles on the ground that they could not target their bombs.
[00:25:03.349 --> 00:25:06.250]  So we bombed a bridge, killing
[00:25:08.078 --> 00:25:11.241]  A lot of school children on a school bus on the bridge.
[00:25:12.122 --> 00:25:14.924]  We bombed a McDonald's and killed some more.
[00:25:15.524 --> 00:25:23.491]  A lot of innocent dead civilians, little children, mamas, daddies.
[00:25:25.053 --> 00:25:30.037]  And to go to bed each night with that blood on your hands, I don't see how they can do it.
[00:25:30.637 --> 00:25:32.559]  Except the Bilderberg rationale for wars.
[00:25:34.439 --> 00:25:35.900]  We need population control.
[00:25:35.920 --> 00:25:38.581]  They're now yelling that we'll run out of earth in 30 years.
[00:25:39.081 --> 00:25:40.501]  We've got to control the population.
[00:25:41.902 --> 00:25:46.263]  Well, one way to control the population is for young men to die in wars.
[00:25:47.383 --> 00:25:58.207]  Is Henry Kissinger ashamed or afraid that he has to skirt every country he visits and sneakily enter and exit all the time, given his age and acumen?
[00:25:59.457 --> 00:26:02.078]  I suspect with his ego, he's proud of it.
[00:26:02.438 --> 00:26:03.898]  But he's a very affected character.
[00:26:05.418 --> 00:26:20.901]  One time, a few years ago, I walked up to him at some kind of reception, and said, uh, Dr. Kissinger, you're at the Bilderberg meeting, named the time, space, so forth, uh, and this long, white-haired guy said this to you, but I couldn't quite hear your answer.
[00:26:21.642 --> 00:26:23.422]  He said, that was a private meeting.
[00:26:23.722 --> 00:26:27.583]  Then he called himself, have to affect the German accent, that was a private meeting.
[00:26:29.052 --> 00:26:30.133]  Too late though, I caught him on that.
[00:26:31.094 --> 00:26:39.881]  He's been here since he was 14 years old, fled Germany when the Third Reich was being established.
[00:26:41.822 --> 00:26:56.274]  His brother, whom I've never met but people who know him, says his brother speaks English like a native, but he affects that accent for some ego reason, and he's always been Dr. Kissinger.
[00:26:57.059 --> 00:27:08.050]  Well, David Rockefeller also has an economic doctorate from one of those snob schools, but he's Mr. Rockefeller.
[00:27:08.070 --> 00:27:09.731]  He's not Dr. Rockefeller.
[00:27:10.792 --> 00:27:18.580]  Jim, can you talk about how long you've been covering Bilderberg, and what do you think about all the young patriots who are now confronting them wherever they go?
[00:27:18.940 --> 00:27:19.461]  It's wonderful.
[00:27:20.262 --> 00:27:22.343]  I first started chasing them in 1975.
[00:27:23.163 --> 00:27:24.804]  Well, physically about 1980.
[00:27:25.764 --> 00:27:31.407]  We had reporters working on it before, but I wasn't satisfied with their work, so I did it myself.
[00:27:31.987 --> 00:27:33.528]  I signed myself to cover Bilderberg.
[00:27:35.389 --> 00:27:37.069]  Yes, it's gotten better every year.
[00:27:38.820 --> 00:27:43.544]  Because when I first started covering those kids, I'd be the only guy there.
[00:27:44.284 --> 00:27:59.696]  They always had a low-key story in the smallest local newspaper, preferably a weekly, in whatever town they were in, to explain that these nice guys are meeting to let the public understand that even though this place is sealed off by unarmed guards, it's only good people doing good work.
[00:28:00.456 --> 00:28:03.279]  When Bilderberg has a meeting, there's a
[00:28:04.682 --> 00:28:13.527]  A big publicized economic meeting of some sort, but with an easy plane ride, helicopter ride.
[00:28:13.547 --> 00:28:15.188]  So that's their cover story.
[00:28:15.868 --> 00:28:22.572]  They were in town that weekend for this big meeting of financial ministers.
[00:28:23.390 --> 00:28:24.191]  And then they came home.
[00:28:24.611 --> 00:28:31.237]  Well, before coming home, they go to Bilderberg on Friday night and leave on Monday morning.
[00:28:31.757 --> 00:28:39.384]  But that covers their butts as far as being out of Washington or out of Paris or whatever.
[00:28:39.404 --> 00:28:41.406]  I think it was at Helsinki.
[00:28:42.347 --> 00:28:47.472]  We had learned about the Bilderberg location quite early that year in November.
[00:28:48.328 --> 00:29:02.597]  Our subscribers in Europe, and there's very few of them, cost so much to subscribe with the air mail and all the postage rates, long distance postage rates.
[00:29:03.297 --> 00:29:10.982]  So there's a tendency for 10 people or 20 people to contribute to the subscription and then share the paper.
[00:29:12.049 --> 00:29:20.401]  One of them, back just before the age of the internet, it was a matter of just regular mail service, a letter saying, should we alert the local media?
[00:29:21.482 --> 00:29:23.503]  Well, I kicked myself in the butt 15 times.
[00:29:23.523 --> 00:29:24.903]  I should have thought about that years ago.
[00:29:24.923 --> 00:29:25.983]  And the answer was yes.
[00:29:26.764 --> 00:29:28.584]  So, it was a lot of fun.
[00:29:28.604 --> 00:29:31.965]  We got to the airport in Copenhagen.
[00:29:32.825 --> 00:29:33.406]  I think it was.
[00:29:34.626 --> 00:29:43.729]  And they're getting off the airplane to jump in their long black limousines with the police escorts for an ego trip to the resort about 20 miles away.
[00:29:44.289 --> 00:29:44.589]  And some
[00:29:45.129 --> 00:29:45.389]  I think?
[00:30:06.877 --> 00:30:08.358]  Confront the media that way.
[00:30:08.798 --> 00:30:10.499]  And then it started making bigger than newspapers.
[00:30:10.539 --> 00:30:18.022]  I mean, the top paper in Paris, the top papers in London had heavy and good stories raising the question.
[00:30:18.082 --> 00:30:23.504]  Why are there these distinguished people having such a secret meeting?
