[00:00:21.227 --> 00:00:23.051]  It's Tuesday, October 22nd.
[00:04:06.304 --> 00:04:15.727]  Looters who took advantage of last weekend's EBT card system failure to steal Walmart groceries are to be shamed into admitting guilt by having their photos posted online.
[00:04:16.308 --> 00:04:19.409]  And the police therein, many, which is in Louisiana,
[00:04:20.069 --> 00:04:23.571]  ...are resorting to this measure to try and catch the culprits.
[00:04:23.591 --> 00:04:38.478]  Of course, this is in response to the crash of the electronic benefits transfer system last weekend, which prompted shoppers in several Walmarts to leave the store with goods they hadn't paid for, in addition to others who staged mini-riots when the system went down.
[00:04:38.958 --> 00:04:43.240]  So if a downtime of merely hours in this case
[00:04:43.820 --> 00:04:45.261]  Causes mini-riots.
[00:04:45.641 --> 00:04:49.924]  How about a massive cut in benefits for millions of Americans?
[00:04:50.424 --> 00:05:01.230]  That's the subject of Michael Snyder's article today entitled, 47 million food stamp recipients are having their benefits cut on November 1st.
[00:05:01.530 --> 00:05:08.455]  47.6 million Americans are about to have their food stamp benefits cut and most of them have absolutely no idea that is about to happen.
[00:05:09.346 --> 00:05:15.551]  And this is basically a recession-era boost in benefits that took place back in spring.
[00:05:15.611 --> 00:05:16.952]  It's now set to end.
[00:05:17.672 --> 00:05:22.416]  There's going to be a $36 per family cut in food stamp benefits.
[00:05:23.076 --> 00:05:32.723]  And considering that the current average monthly food stamp income is just $272 per household, that's a huge amount for those living on the poverty line.
[00:05:33.704 --> 00:05:41.349]  So are we going to see shelves stripped bare in areas like we did in the aftermath of the EBT card crash?
[00:05:42.069 --> 00:05:47.072]  Does appear to be a very possible outcome and again it all goes back to dependency.
[00:05:47.172 --> 00:05:52.195]  Dependency on government when the rug is pulled out from underneath people's feet.
[00:05:52.716 --> 00:05:55.978]  There's no real safety net and this is what they have to resort to.
[00:05:56.818 --> 00:06:05.385]  So the question is, those people who are suffering most from this, those on the poverty line, set to get their benefits cut once again, are we going to see riots?
[00:06:05.465 --> 00:06:11.870]  Are we going to see unrest like we did on a smaller scale last weekend with the EBT card system failure?
[00:06:13.638 --> 00:06:22.062]  Natural News reports mysterious phone calls from 865-6696 may install NSA surveillance code on your iPhone.
[00:06:22.762 --> 00:06:33.367]  All across America, people who have Sprint service on their iPhones and other mobile devices are receiving repeated calls from the number 865-6696 without any area code.
[00:06:33.427 --> 00:06:41.711]  Sprint message boards are full of thousands of complaints of people experiencing this issue, but no one seems to understand the true reason why these calls are being made.
[00:06:42.691 --> 00:06:55.360]  So Mike Adams talked to a cyber security expert who told him that this was actually an NSA Trojan horse which works by downloading a data packet onto your phone in seconds when you answer the call.
[00:06:56.020 --> 00:07:06.388]  According to the expert, this is being targeted at people with older iPhone 4s because the snooping technology already installed on their devices is in need of an upgrade.
[00:07:07.108 --> 00:07:24.763]  Adams writes, when I asked my contact why this would be happening he answered that in his belief the program was a test rollout on the Sprint network only and that testing was being done to establish human behavior patterns as well as answer rates, hold times and payload install time requirements.
[00:07:25.103 --> 00:07:30.708]  This information could then be used to determine whether a more expanded rollout across other phone networks would make sense.
[00:07:31.388 --> 00:07:39.672]  So, the takeaway here is, whatever the true purpose behind this, if you get a call from 865-6696, don't answer it.
[00:07:39.752 --> 00:07:43.814]  It could be the NSA downloading a Trojan packet onto your phone.
[00:07:44.949 --> 00:07:51.014]  Finally tonight, petition launched demanding White House open source disastrous healthcare.gov code.
[00:07:51.795 --> 00:08:02.343]  A petition has been launched on the White House website demanding that the Obama administration release the defective code for healthcare.gov website to the open source community.
[00:08:02.683 --> 00:08:06.667]  A move that would make public the errors that have led to such a disastrous rollout.
[00:08:07.307 --> 00:08:18.585]  The petition submitted via the We The People website states, released to the open source community, the source code to healthcare.gov, specifically all code written by CGI Federal.
[00:08:19.597 --> 00:08:40.245]  So, $634 million was spent on developing this train wreck, and as Ted Cruz joked today, you know, it looks more like it was put together by Nigerian email scammers than technology experts, which is why the government has now desperately reached out to the private sector in an attempt to fix it.
[00:08:40.305 --> 00:08:41.766]  Too little, too late once again.
[00:08:42.426 --> 00:08:55.278]  So we've asked the question before, as have other experts, was this designed to fail all along in order to avoid the shock of millions of Americans suddenly finding out that their costs under Obamacare were soaring?
[00:08:55.758 --> 00:08:59.141]  Average 99% for men, 62% for women.
[00:08:59.461 --> 00:09:05.307]  Did they want them to boil in the pot like the frog of gradualism rather than get that instant shock?
[00:09:05.727 --> 00:09:08.509]  That's what a lot of experts are saying were behind this.
[00:09:09.462 --> 00:09:13.206]  Of course, it's well documented that the White House knew that there would be problems.
[00:09:13.226 --> 00:09:14.968]  The site wasn't ready before it was launched.
[00:09:15.328 --> 00:09:17.811]  And this petition seeks to find out more.
[00:09:17.851 --> 00:09:26.219]  Of course, it needs 100,000 signatures before November 19th in order to reach the threshold which mandates a White House response.
[00:09:27.233 --> 00:09:28.114]  That's it for the news.
[00:09:28.194 --> 00:09:29.755]  Stick around after the break.
[00:09:29.775 --> 00:09:31.336]  We've got more special reports coming up.
[00:09:31.356 --> 00:09:36.040]  But also stay tuned after the 30-minute show, because we've got some bonus material.
[00:09:36.340 --> 00:09:41.565]  Gigi Annetta sits down for an interview with Israeli-American filmmaker Baman Naziri.
[00:10:05.788 --> 00:10:07.689]  Why is nascent iodine so important?
[00:10:08.810 --> 00:10:12.432]  Nascent iodine is so important because it goes directly to the thyroid.
[00:10:12.492 --> 00:10:18.015]  It's not bonded to a salt, which means it doesn't have to be broken down, and it's the most usable form.
[00:10:18.075 --> 00:10:19.496]  It's what the body uses.
[00:10:19.536 --> 00:10:21.197]  It's what the body is designed to use.
[00:10:21.397 --> 00:10:27.241]  If you have low energy levels, if you have pains, if you have thyroid problems, if you don't feel
[00:10:28.146 --> 00:10:28.706]  Up to par.
[00:10:28.926 --> 00:10:38.610]  Well, they've proven now that the fluoride and a lack of iodine causes a decreased IQ because you have all this stuff that builds up inside your system and builds up and builds up.
[00:10:39.050 --> 00:10:45.312]  And that's why some people, when they start taking iodine, will have what's called a Hertzheimer reaction or a detoxification reaction.
[00:10:45.452 --> 00:10:46.313]  But that's a good sign.
[00:10:46.333 --> 00:10:54.539]  That means you're detoxifying all that fluoride buildup, the mercury buildup in there, the bromine buildup in your system, and the chlorine buildup in your system.
[00:10:54.579 --> 00:10:55.519]  You don't want those things.
[00:10:55.699 --> 00:10:58.722]  All of those things have been proven as carcinogens.
[00:10:59.202 --> 00:11:05.226]  That's one of the reasons prostate cancer is on the rise too, is because prostate takes up iodine.
[00:11:05.507 --> 00:11:12.872]  And the men that are lacking iodine causes the prostate to become cystic and causes the prostate to swell and eventually leads to prostate cancer.
[00:11:13.052 --> 00:11:17.997]  There's been an extreme rise in polycystic ovarian disease, PCOS, with women.
[00:11:18.458 --> 00:11:24.884]  Fibrocystic breast disease because iodine is stored in the breast tissue, the ovaries, the prostate glands in men.
[00:11:24.984 --> 00:11:27.427]  It's utilized by every single cell in the body.
[00:11:27.927 --> 00:11:31.671]  Why does this almost taste good compared to other iodine that tastes horrible?
[00:11:31.911 --> 00:11:34.174]  That's because it's real iodine, atomic form.
[00:11:34.614 --> 00:11:39.058]  We wanted something that's gonna go straight into the bloodstream and straight into the thyroid gland.
[00:11:39.078 --> 00:11:41.520]  We wanted to put it in a vegetable glycerin base.
[00:11:41.540 --> 00:11:44.803]  That's a USP kosher certified vegetable glycerin base.
[00:11:44.863 --> 00:11:45.704]  And that product...
[00:11:47.154 --> 00:11:52.479]  ...is not tested on animals, it's vegan-friendly, it's gluten-free, it's GMO-free.
[00:11:52.880 --> 00:11:57.424]  Of all the things I've done, nascent iodine was just absolutely amazing.
[00:11:57.764 --> 00:12:08.335]  So we developed with Dr. Group a double-strength, low-price, InfoWarsLife.com survival shield, the Atomic Nascent Iodine, available right now.
[00:12:12.659 --> 00:12:18.987]  This past weekend, Alex Jones and Anthony Gucciardi confronted the San Antonio Police Chief at the Alamo event.
[00:12:19.027 --> 00:12:19.908]  Let's see what happened.
[00:12:21.651 --> 00:12:22.532]  Hey, you're out here, Chief.
[00:12:22.572 --> 00:12:23.053]  How's it going?
[00:12:23.073 --> 00:12:23.854]  What's happening, dude?
[00:12:23.954 --> 00:12:24.595]  Alex Jones.
[00:12:24.715 --> 00:12:25.095]  Hey, Alex.
[00:12:25.516 --> 00:12:27.258]  Did you enjoy the speeches and stuff?
[00:12:27.338 --> 00:12:27.959]  Absolutely.
[00:12:27.979 --> 00:12:28.600]  Absolutely.
[00:12:29.554 --> 00:12:31.695]  Well, I hope they get rid of that unconstitutional city ordinance.
[00:12:31.715 --> 00:12:32.295]  What do you say?
[00:12:32.735 --> 00:12:33.555]  Well, we'll see what happens.
[00:12:33.995 --> 00:12:34.936]  I had a question for you.
[00:12:34.976 --> 00:12:42.638]  We ended up speaking to an officer who told us that, yeah, we're just filming you guys up at that building over there, which you could clearly see officers filming us.
[00:12:43.438 --> 00:12:45.639]  They said, yeah, we're just filming you because it's a large gathering.
[00:12:45.779 --> 00:12:47.100]  You said it's about large gatherings.
[00:12:47.140 --> 00:12:49.360]  There's been plenty of large gatherings before that's not been filmed.
[00:12:49.761 --> 00:12:50.841]  You're filming it.
[00:12:50.901 --> 00:12:51.501]  Just tell me the truth.
[00:12:51.521 --> 00:12:53.302]  You're filming it because it's a Second Amendment rally.
[00:12:54.542 --> 00:12:56.783]  I'm filming it because I'm worried
[00:13:00.379 --> 00:13:05.763]  I'm not questioning it.
[00:13:05.783 --> 00:13:11.527]  I'm wondering what the intel is as to why they have to film us all.
[00:13:11.928 --> 00:13:12.688]  Here's my issue.
[00:13:12.748 --> 00:13:14.790]  The police support the Second Amendment, which most of them do.
[00:13:15.190 --> 00:13:15.771]  We like them.
[00:13:15.891 --> 00:13:16.691]  Overall, they're good.
[00:13:16.732 --> 00:13:18.293]  We're glad this isn't going off as a good event.
[00:13:19.013 --> 00:13:23.537]  Separately, like when the police last time sent me the terror attack on Austin a few months ago that was imminent,
[00:13:24.764 --> 00:13:26.566]  I'm happy the police are armed, and I'm happy we're armed.
[00:13:26.586 --> 00:13:28.928]  What do you think, Chief, about the Second Amendment?
[00:13:48.980 --> 00:13:53.381]  I think that all the amendments, if people have the right to exercise their constitutional rights.
[00:13:54.021 --> 00:13:56.662]  Would you confiscate guns if given federal orders to do so?
[00:13:57.482 --> 00:13:58.763]  You're asking me hypothetically.
[00:13:59.183 --> 00:14:00.123]  Yes, that is a hypothetical.
[00:14:00.143 --> 00:14:01.083]  I'm not going there.
[00:14:01.123 --> 00:14:01.444]  Would you?
[00:14:02.744 --> 00:14:08.225]  Again, I can't even begin to guess what I would do as far as the hypothetical situation you're speaking of.
[00:14:08.305 --> 00:14:09.566]  I haven't been given an order like that.
[00:14:10.990 --> 00:14:13.931]  But, they did it in New Orleans, they went to high and dry areas and took the guns.
[00:14:14.292 --> 00:14:16.673]  And then a federal law had to be written saying that was illegal.
[00:14:16.993 --> 00:14:17.813]  It was already a law.
[00:14:18.534 --> 00:14:20.415]  But, you know, what's that, the Hatch Act?
[00:14:20.515 --> 00:14:27.498]  My question is, if Obama said that the Second Amendment is now invalid and all officers must go door-to-door and confiscate their weapons... Obama?
[00:14:27.518 --> 00:14:28.059]  Obama said that.
[00:14:28.359 --> 00:14:29.839]  Our Lord and Savior said that to us.
[00:14:30.480 --> 00:14:31.180]  Would you do that?
[00:14:31.220 --> 00:14:31.600]  Or Hitler.
[00:14:31.620 --> 00:14:32.801]  I mean, what would you think about that?
[00:14:33.101 --> 00:14:33.662]  Uh, personally.
[00:14:33.682 --> 00:14:34.963]  You're asking, you're asking a hypothetical.
[00:14:34.983 --> 00:14:36.324]  Well, I mean, the police are... No, no, no, no, no.
[00:14:36.384 --> 00:14:38.545]  You're armed up to uphold the Constitution.
[00:14:38.565 --> 00:14:39.146]  So that's what you do.
[00:14:39.166 --> 00:14:41.148]  So you would say no to confiscating guns from the general public?
[00:14:41.168 --> 00:14:42.789]  I mean, it would be illegal for Obama to do that.
[00:14:43.089 --> 00:14:44.750]  It would be against the Constitution, which he swore to uphold.
[00:14:44.770 --> 00:14:48.213]  If Santa Ana was our president again, and he said, go confiscate the guns, would you do it?
[00:14:48.533 --> 00:14:49.414]  I'm not playing the man.
[00:14:49.434 --> 00:14:50.795]  No, I'll do it obeying the law.
[00:14:51.015 --> 00:14:53.678]  You're not going to get promoted up to the Justice Department if you answer this right.
[00:14:54.418 --> 00:14:58.780]  Say, say, I will take the guns from the American scum, and you could probably become the head of Homeland Security.
[00:14:58.840 --> 00:15:01.641]  I will take them from your cold dead hands, say that.
[00:15:02.021 --> 00:15:05.262]  Just say, yeah, just say, I'm coming for you American scum, we're gonna get your guns.
[00:15:05.582 --> 00:15:07.203]  If you say that, you're going to the top!
[00:15:07.483 --> 00:15:08.183]  White House!
[00:15:08.483 --> 00:15:09.163]  You'll be like R.J.
[00:15:09.183 --> 00:15:09.684]  Cervantes!
[00:15:10.104 --> 00:15:11.784]  You'll be up there with Obama!
[00:15:11.844 --> 00:15:12.785]  You'll be powerful!
[00:15:13.345 --> 00:15:19.107]  Just do it, just say, I hate American scum, we'll get your guns, and you'll be working for the feds making 400 grand a year.
[00:15:19.707 --> 00:15:21.968]  And there'll be drug money on the side, you know, they all run those.
[00:15:22.248 --> 00:15:23.048]  I don't think you would do it.
[00:15:23.168 --> 00:15:23.988]  I don't know about you.
[00:15:24.308 --> 00:15:25.049]  What do you say?
[00:15:25.069 --> 00:15:28.289]  Would you disarm the public if Obama, your lord and savior, told you to do so?
[00:15:28.309 --> 00:15:29.429]  That's a hypothetical question.
[00:15:29.469 --> 00:15:29.909]  Yes, it is.
[00:15:29.969 --> 00:15:31.190]  It is a hypothetical question.
[00:15:31.210 --> 00:15:32.990]  Your oath is not hypothetical.
[00:15:33.050 --> 00:15:34.870]  Well, did you take an oath to the Constitution?
[00:15:34.890 --> 00:15:35.771]  I couldn't even begin to guess.
[00:15:36.111 --> 00:15:37.571]  You don't know if you took an oath to the Constitution?
[00:15:37.591 --> 00:15:38.311]  Well, I took an oath.
[00:15:38.531 --> 00:15:40.211]  And is the Second Amendment in the Constitution?
[00:15:40.592 --> 00:15:40.832]  Sure.
[00:15:41.432 --> 00:15:42.172]  It still is, right?
[00:15:42.192 --> 00:15:44.712]  Bloomberg says it means you have a right to turn them in.
[00:15:45.172 --> 00:15:47.733]  Like, we have rights in this phantom zone.
[00:15:48.793 --> 00:15:57.857]  So I guess by taking an oath of the Constitution, which the Second Amendment, to my knowledge, as far as I'm concerned, is still in the Constitution, so by taking guns from people, that's going against the Constitution.
[00:15:58.237 --> 00:16:01.899]  So by saying that you may do so, Obama is now above the Constitution.
[00:16:02.019 --> 00:16:02.439]  Is that true?
[00:16:02.659 --> 00:16:03.919]  I never said I may do so, sir.
[00:16:03.959 --> 00:16:04.740]  I stand behind my oath.
[00:16:04.780 --> 00:16:05.700]  That's a hypothetical.
[00:16:05.720 --> 00:16:06.881]  Here's Kim Jong-un, Supreme!
[00:16:06.921 --> 00:16:07.741]  Let me just, let me stop.
[00:16:07.761 --> 00:16:07.901]  Sure.
[00:16:07.921 --> 00:16:10.042]  We're not here to debate with you guys.
[00:16:10.262 --> 00:16:11.323]  Well, I'm not here to debate with you either.
[00:16:11.343 --> 00:16:12.544]  I'm asking a very simple question.
[00:16:12.704 --> 00:16:15.846]  Every single officer, by the way, I've asked this to, they always say no right away.
[00:16:15.866 --> 00:16:16.687]  There's no reason to think.
[00:16:17.087 --> 00:16:19.029]  They have put up with record amounts of pestering.
[00:16:19.269 --> 00:16:21.691]  Yeah, I understand that you don't want to pledge to Obama.
[00:16:21.731 --> 00:16:22.291]  It's okay.
[00:16:22.351 --> 00:16:22.972]  Everything's good.
[00:16:25.394 --> 00:16:31.058]  Stay tuned, because after the break, we'll see what happened when Alex Jones spent time with security guru John McAfee.
[00:16:31.098 --> 00:16:33.340]  That's coming up next on InfoWars Nightly News.
[00:16:57.853 --> 00:17:08.976]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:17:09.457 --> 00:17:14.218]  That is, taking the seeds of plants and then replanting them to produce more.
[00:17:14.838 --> 00:17:23.841]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:17:24.381 --> 00:17:29.203]  Here are some of the amazing deals at InfoWarsSeedCenter at InfoWarsShop.com.
[00:17:29.643 --> 00:17:39.228]  The Survival Seed Vault by My Patriot Supply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest times.
[00:17:39.468 --> 00:17:46.831]  We also have starter varieties of the deluxe seed packages for fruit, salad, salsa, peppers, medical herbs, and more.
[00:17:47.271 --> 00:17:51.113]  Go to the InfoWarsSeedCenter at InfoWarsShop.com.
[00:17:51.813 --> 00:17:52.394]  And remember,
[00:17:53.234 --> 00:17:55.637]  The revolution against tyranny is growing.
[00:18:09.275 --> 00:18:12.377]  Up to 95% of hydrofluorosilicic acid.
[00:18:12.498 --> 00:18:23.386]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:18:23.506 --> 00:18:29.811]  It is the only one that does it and out of the gates we have it discounted at 10% off with promo code water.
[00:18:30.011 --> 00:18:37.337]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines,
[00:18:37.637 --> 00:18:46.960]  Ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:18:47.300 --> 00:18:52.602]  Get your ProPure with the new Pro1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:18:59.500 --> 00:19:07.887]  Well, folks, we're driving along through the Texas Hill Country with John McAfee, the legendary tech guru and inventor of antivirus software.
[00:19:08.307 --> 00:19:26.282]  He's here in Austin visiting with us, and he was just noticing when he checked Yahoo's front page that the two top stories are about him refusing to help the government try to fix Obamacare, and then another one about how he's been voted the top pick to head up Microsoft, and I like what he was reading, so read it for the folks out there, sir.
[00:19:27.023 --> 00:19:30.986]  The company doesn't need some corporate fat cat to lead it into its last battles.
[00:19:31.506 --> 00:19:33.788]  It needs a leader with charisma and excitement.
[00:19:34.469 --> 00:19:36.930]  Someone who may be prepared to do the unexpected thing.
[00:19:37.711 --> 00:19:44.136]  Is this too much to ask from a firm at the forefront of an industry that's fundamentally not yet even middle-aged?
[00:19:44.376 --> 00:19:50.641]  Microsoft's other enemy, Google, will be shown up by a switched-on, slightly dangerous, newer Microsoft CEO.
[00:19:51.341 --> 00:20:02.107]  After all, where McAfee seems pretty open about his hedonistic excesses, Google Chairman Eric Schmidt seems bland, while it seems he enjoys his own hedonistic exercises in private.
[00:20:02.527 --> 00:20:03.248]  Who do you trust?
[00:20:03.688 --> 00:20:09.972]  The person who is honest about what he does, or the one who keeps it quiet while telling others that privacy doesn't exist anymore?
[00:20:10.732 --> 00:20:12.032]  Nevers don't change their spots.
[00:20:12.232 --> 00:20:15.733]  I suppose McAfee would quickly find himself moving between controversies.
[00:20:16.173 --> 00:20:16.673]  That's great.
[00:20:17.073 --> 00:20:21.574]  He'd be the talk of the town, and would have the opportunity to indulge himself in many different ways.
[00:20:22.335 --> 00:20:26.375]  He could bring danger and excitement, scandal and a sense of unpredictability.
[00:20:26.976 --> 00:20:37.638]  Microsoft would seem exciting and interesting, and the world's press would reel in manufactured shock and awe as the maverick Microsoft McAfee threatened to turn the world upside down.
[00:20:38.430 --> 00:20:43.275]  This personal excitement would make Apple seem uptight and Google seem dishonest in comparison.
[00:20:44.636 --> 00:20:45.757]  And that's from Computer World?
[00:20:45.777 --> 00:20:46.678]  That's from Computer World.
[00:20:46.959 --> 00:20:48.120]  Well, that's a smart article.
[00:20:48.140 --> 00:20:52.124]  And you know, when you first read the headline, I said, I bet that's serious because people like a rebel.
[00:20:52.504 --> 00:20:53.365]  They like an innovator.
[00:20:53.425 --> 00:20:54.846]  They like somebody who's a winner.
[00:20:55.467 --> 00:20:59.991]  And you just won a million, got out of that whole setup down there in Belize.
[00:21:00.492 --> 00:21:01.393]  And then you read the article.
[00:21:01.413 --> 00:21:02.214]  That's basically what it said.
[00:21:02.754 --> 00:21:03.034]  It is.
[00:21:03.334 --> 00:21:05.795]  And again, I've been in this industry since the very beginning.
[00:21:05.875 --> 00:21:10.617]  I mean, when computers were the size of small cities, I was programming.
[00:21:10.837 --> 00:21:14.639]  And I've managed programming jobs for all of my life.
[00:21:14.739 --> 00:21:16.860]  So, it's not like I don't know the industry.
[00:21:16.880 --> 00:21:20.862]  I certainly have success in building large companies from nothing.
[00:21:21.302 --> 00:21:21.722]  That's right.
[00:21:21.742 --> 00:21:26.024]  MSNBC was trying to make fun of it at first, but then said, actually, your points were good.
[00:21:26.064 --> 00:21:29.565]  Like, he's a guy that was accused of something, but actually was innocent.
[00:21:30.365 --> 00:21:31.466]  But, you know, now the
[00:21:32.958 --> 00:21:34.259]  Congress is calling for help.
[00:21:34.279 --> 00:21:35.800]  Well, they better be calling somebody for help.
[00:21:36.100 --> 00:21:37.021]  Yeah, that's the problem.
[00:21:37.081 --> 00:21:39.562]  They're calling for help, but they don't really want to listen to advice.
[00:21:40.103 --> 00:21:41.223]  They know what they're going to do.
[00:21:41.444 --> 00:21:42.544]  You said scrap it, right?
[00:21:42.744 --> 00:21:45.646]  I said scrap it, because it's never going to work the way it's built.
[00:21:45.726 --> 00:21:47.407]  So we have to throw it away and start over.
[00:21:47.828 --> 00:21:50.049]  And that's what I said, but they don't want to hear that.
[00:21:50.529 --> 00:21:53.932]  And I could tell them how to start over to make it very cheap and very quick.
[00:21:53.992 --> 00:21:56.313]  And then MSNBC, they're total handmaidens for Obama.
[00:21:56.333 --> 00:21:57.074]  I mean, you just said...
[00:21:57.734 --> 00:21:57.994]  Absolutely.
[00:21:58.014 --> 00:22:01.700]  I don't mind seeing CNBC's political stance, as long as they will listen to me and won't twist my words.
[00:22:14.377 --> 00:22:15.217]  That's right, it was CNBC, not MSNBC.
[00:22:15.237 --> 00:22:15.377]  I agree.
[00:22:15.397 --> 00:22:15.998]  Well, it's exciting that
[00:22:32.952 --> 00:22:34.715]  Obamacare is being exposed as a fraud.
[00:22:34.755 --> 00:22:35.436]  It always was.
[00:22:35.496 --> 00:22:37.138]  I read the legislation or scanned over it.
[00:22:37.158 --> 00:22:41.965]  It's a total special interest deal to jack up healthcare prices and make people buy it.
[00:22:42.506 --> 00:22:46.071]  I mean, in a controlled market like that, the price is going to go up, the quality is going to go down.
[00:22:46.351 --> 00:22:47.192]  It always does, doesn't it?
[00:22:47.232 --> 00:22:48.835]  That's what happens when you try to control.
[00:22:49.355 --> 00:22:50.276]  We're good to go.
[00:23:04.588 --> 00:23:07.709]  Absolutely, it's one of my favorite weapons, and I like to shoot my own handgun.
[00:23:07.749 --> 00:23:10.929]  I haven't actually exercised it in quite a while, so I'm looking forward to it.
[00:23:10.949 --> 00:23:15.190]  Well, we're about to do some shooting, and I hope you brought plenty of .357 ammo.
[00:23:15.210 --> 00:23:17.251]  I think we may have brought some, but we'll see what happens.
[00:23:17.311 --> 00:23:19.191]  Well, you have the .357, I guess.
[00:23:19.371 --> 00:23:21.451]  I'm doing a .38 special today.
[00:23:21.671 --> 00:23:22.492]  .38 special, that's right.
[00:23:22.932 --> 00:23:29.553]  The problem I got here is it's been a long time since I've shot a .50 caliber, and I'm sure that I'm not as good as I used to be, so if you don't mind,
[00:23:29.980 --> 00:23:33.350]  I'm going to imagine my target out there and I'll tell you whether or not I hit it in the center, okay?
[00:23:33.370 --> 00:23:33.571]  Okay.
[00:23:33.711 --> 00:23:34.754]  You don't have a problem with that, do you?
[00:23:34.774 --> 00:23:35.075]  No, no, no.
[00:23:35.115 --> 00:23:35.336]  Okay.
[00:23:35.857 --> 00:23:36.118]  Perfect.
[00:23:36.929 --> 00:23:37.689]  Just like Obamacare.
[00:23:37.769 --> 00:23:42.532]  Well, we don't have very good targets out there, so we can just imagine them, I guess.
[00:23:42.552 --> 00:23:42.772]  Yes.
[00:23:42.872 --> 00:23:44.492]  Obamacare is the same thing, you know, right?
[00:23:44.533 --> 00:23:49.735]  They've imagined the rollout as being successful, and therefore, they've met their expectations.
[00:23:49.755 --> 00:23:50.055]  That's right.
[00:23:50.095 --> 00:23:51.656]  I want to do the same thing with my target.
[00:23:51.756 --> 00:23:53.677]  I'll hit it point-blank every time.
