[00:00:14.477 --> 00:00:17.163]  It's time for humanity to stand up in the info bar!
[00:05:54.402 --> 00:06:04.548]  And, you know, now you have neocons from Mark Levin, Michael Savage, now Sarah Palin, admitting that the federal government is arming itself to the teeth.
[00:06:04.668 --> 00:06:10.231]  And the only people who don't know about that now, or who act like they don't know this is going on, is the federal government.
[00:06:10.271 --> 00:06:14.113]  Whenever you've got warmongering neocons acknowledging...
[00:06:14.953 --> 00:06:16.613]  That the government is stockpiling.
[00:06:16.953 --> 00:06:19.394]  You know the government is stockpiling.
[00:06:19.414 --> 00:06:22.614]  And what's amazing here is that InfoWars is breaking this story.
[00:06:22.994 --> 00:06:25.595]  You're always hearing that InfoWars is irrelevant.
[00:06:25.615 --> 00:06:27.135]  The alternative media is irrelevant.
[00:06:27.155 --> 00:06:31.396]  Yet, we're responsible for the discussion that is taking place in politics today.
[00:06:31.736 --> 00:06:35.297]  Paul Joseph Watson broke this story along with Alex Jones.
[00:06:35.317 --> 00:06:38.577]  And again, now you've got neocon Sarah Palin talking about this.
[00:06:38.897 --> 00:06:42.118]  For more on this issue, we go to our very own David Knight.
[00:06:43.433 --> 00:06:46.574]  So, David Knight, tell us a little bit about your thoughts on this issue.
[00:06:47.314 --> 00:06:51.515]  Well, the media has gone into full damage control with this after Sarah Palin came out with it.
[00:06:51.795 --> 00:06:59.738]  You've got Politico, you've got Atlantic Wire, you've got Huffington Post, you've got everybody basically saying these are debunked conspiracy theories.
[00:07:00.618 --> 00:07:01.658]  And they're not debunked.
[00:07:01.798 --> 00:07:02.599]  We're not making this up.
[00:07:02.659 --> 00:07:07.140]  As a matter of fact, it was Politico that even linked Sarah Palin to Alex Jones.
[00:07:07.180 --> 00:07:10.001]  You know, it says she joins Alex Jones and Infowars in looking at this.
[00:07:11.081 --> 00:07:16.965]  I've got a graph here that basically shows how in the last 10 months the DHS has ramped this up.
[00:07:17.626 --> 00:07:28.213]  And Watson pulled these figures from FedBiz and from a couple of different sites here that are FedBid and Federal Business Opportunities.
[00:07:28.233 --> 00:07:32.116]  This one right here is actually a publication of the GSA.
[00:07:32.416 --> 00:07:36.919]  This is the main source for contractors to get information about what the federal government is buying.
[00:07:37.159 --> 00:07:38.440]  So this is public information.
[00:07:38.741 --> 00:07:40.522]  This is coming from the Fed's site.
[00:07:40.582 --> 00:07:43.645]  So there's no dispute that they're putting out bids to get these things.
[00:07:43.685 --> 00:07:46.548]  The question is, why are they buying so much ammunition?
[00:07:46.989 --> 00:07:50.912]  Well, the media has tried to explain that away by, with a couple of attempts.
[00:07:50.972 --> 00:07:55.657]  First they came back and they said, well, they only, last summer they said, they started talking about the small
[00:07:55.657 --> 00:07:56.017]  We're good to go.
[00:08:23.439 --> 00:08:26.106]  Then a couple of months after that, they got another $750 million.
[00:08:26.126 --> 00:08:28.331]  Then another month after that, they got another $200 million.
[00:08:28.652 --> 00:08:29.895]  They're just ramping up on this.
[00:08:30.316 --> 00:08:39.498]  Tell us about war, like if these bullets were all, first of all, talk about hollow points very quickly, and talk about war, how let's just say this was all used for war, how long would that be for?
[00:08:39.698 --> 00:08:40.138]  Good point.
[00:08:40.239 --> 00:08:46.600]  You know, when they're talking about it being for target practice, and they're talking about saving money, hollow points are very expensive.
[00:08:46.640 --> 00:08:48.421]  You don't use those for target practice.
[00:08:48.501 --> 00:08:53.862]  So it's ludicrous from that standpoint, if you know anything about firearms, you know that they're not going to buy hollow points for firearms practice.
[00:08:54.002 --> 00:09:02.487]  But if you look back at the amount of ammunition that was being used at the peak of the Iraq War, that was five and a half million rounds a month, okay?
[00:09:02.767 --> 00:09:04.908]  So you're still looking at the quantities that they bought.
[00:09:05.368 --> 00:09:11.692]  That would be about 24 to 30 years worth of ammunition if they're fighting a war the size of the Iraq War.
[00:09:11.952 --> 00:09:15.635]  I think they want to basically starve the marketplace of ammunition.
[00:09:16.175 --> 00:09:20.338]  Because if you've got guns and no ammunition, it's like having a car with no gas.
[00:09:20.839 --> 00:09:29.285]  And one thing that they can do is they can essentially suck all the oxygen out of the marketplace, suck all the ammunition out of the marketplace with these gigantic purchases.
[00:09:29.885 --> 00:09:56.198]  We found out just a couple of months ago, people going through and looking at the recycling documents coming out of Fort Drum in New York, found that they are not selling their once-used brass, but they're turning it, they're spending extra money to turn it into brass scrap and selling it to the Chinese as scrap metal instead of selling it back into the United States market as once-used brass, which would help to keep the price of ammunition down.
[00:09:56.378 --> 00:09:56.818]  Right, David.
[00:09:56.838 --> 00:09:57.959]  Thank you so much for that analysis.
[00:09:57.979 --> 00:09:58.579]  Thank you, David.
[00:10:00.325 --> 00:10:11.231]  Now in other news, Rasmussen released a poll today that showed that 40% say internet is the best way to get news, 37% say TV.
[00:10:11.271 --> 00:10:20.757]  Now some of that is obviously going to be for convenience, why people like getting their news from the internet because they don't have to wait for commercials or for 6 or 7 o'clock, but a lot of that is also the credibility of
[00:10:21.497 --> 00:10:21.957]  I think so.
[00:10:42.305 --> 00:10:46.886]  Scientist Danny Hillis calls for Internet Plan B in times of emergency.
[00:10:47.286 --> 00:10:59.908]  Inventor and scientist Danny Hillis warns that the Internet has expanded it way beyond its limits and is set for a disaster, calling for an Internet Plan B that would operate in times of emergency.
[00:11:00.268 --> 00:11:08.010]  And he basically cited the StuckNet virus that happened earlier this year.
[00:11:08.630 --> 00:11:21.540]  We all know that that virus was a false flag attack and the reason why scientists and members of the government are saying that we need a plan B and we need to regulate the internet is because they obviously want to regulate the internet.
[00:11:21.560 --> 00:11:33.650]  They want to control who gets to use the internet and later on in the article it says internet ID cards could be issued or licenses would be issued to individuals who have proven themselves to be well-behaved citizens.
[00:11:35.812 --> 00:11:40.857]  Those have not used the web for illegal downloads, hacking, or, God forbid, criticizing officialdom.
[00:11:41.578 --> 00:11:50.708]  That's where we're headed, where you're going to need an internet license to use the internet, and this is all part of a false flag attack so that the government could ultimately regulate the internet.
[00:11:50.748 --> 00:11:52.930]  Now, in our last news story,
[00:11:54.111 --> 00:12:03.498]  According to the Los Angeles Times, Senator, well he's now Secretary of State John Kerry, pledges $60 million in aid to Syrian opposition forces.
[00:12:04.039 --> 00:12:18.129]  And the article says, Secretary of State John Kerry pledged an additional $60 million in aid to Syrian opposition forces, including food and medical support directly to armed rebels for the first time, but turning aside their demand for weapons.
[00:12:18.189 --> 00:12:21.352]  And later on the article says, this is a quote from the Secretary,
[00:12:22.072 --> 00:12:30.617]  We express our commitment to helping the Syrian people in order to achieve their goal to live in a free and a safe and a just society.
[00:12:30.657 --> 00:12:31.417]  Their goal is our goal.
[00:12:31.437 --> 00:12:32.018]  So there you go.
[00:12:32.678 --> 00:12:34.699]  This has blowback written all over it.
[00:12:34.759 --> 00:12:36.560]  We shouldn't be involved in this situation.
[00:12:36.580 --> 00:12:43.904]  In my estimation, people in the Middle East don't appreciate our meddling in their affairs.
[00:12:44.384 --> 00:12:48.647]  Again, this looks like blowback and many of those individuals are Al-Qaeda members.
[00:12:48.707 --> 00:12:50.228]  I thought we were at war with those individuals.
[00:12:51.389 --> 00:13:01.939]  Now we're going to go to our daily quote, our quote, and it comes from Mr. Mohammad Gandhi, and it reads, Providence has its appointed hour for everything.
[00:13:02.539 --> 00:13:05.602]  We cannot command results, we can only strive.
[00:13:08.125 --> 00:13:09.126]  Mahatma Gandhi.
[00:13:11.128 --> 00:13:12.169]  And in just a minute,
[00:13:12.981 --> 00:13:18.747]  We will be back with Reverend Childress from BlackGenocide.org.
[00:13:18.907 --> 00:13:24.112]  We're going to talk about the 40th anniversary of that diabolical ruling, Roe vs. Wade.
[00:13:28.592 --> 00:13:31.874]  ProPure is introducing ProOne.
[00:13:32.495 --> 00:13:36.638]  All of your filtration in one system, portable, on the go.
[00:13:37.399 --> 00:13:41.141]  This is the ProOne by ProPure.
[00:13:41.401 --> 00:13:42.622]  You wanted it, you got it.
[00:13:43.003 --> 00:13:47.926]  No more do you have two or three filters to just reduce sodium fluoride.
[00:13:48.427 --> 00:13:52.870]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:13:55.772 --> 00:14:07.820]  Advanced manufacturing technology combines silver-impregnated white ceramic with new Aquamedics Advanced Media for removal of fluoride and other heavy metals, all in one filter element.
[00:14:08.761 --> 00:14:12.003]  It cuts out the acid derivative of fluoride.
[00:14:12.343 --> 00:14:19.828]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:14:20.689 --> 00:14:39.373]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:14:39.913 --> 00:14:42.976]  This is a revolution against the tyrants.
[00:14:43.296 --> 00:14:48.840]  They love putting the toxic acid base of fluoride into your water.
[00:14:48.900 --> 00:14:56.266]  They love the fact that it's an adjuvant supercharging the trace Prozac in the water and the hormones and the other chemicals.
[00:14:56.807 --> 00:15:05.173]  By cutting out fluoride, you cut out the turbocharger in all the poison being artificially introduced into your body.
[00:15:05.854 --> 00:15:06.975]  This is what I use.
[00:15:07.455 --> 00:15:08.295]  It's a win-win.
[00:15:08.616 --> 00:15:10.757]  You get a high-quality product at the lowest price.
[00:15:11.057 --> 00:15:12.318]  You support the Infowar.
[00:15:12.658 --> 00:15:18.441]  Get your Pro-Pure with the new Pro-1 filters today at InfowarStore.com or by calling 888-253-3139.
[00:15:25.649 --> 00:15:29.792]  InfoWars.com is proud to introduce the new InfoWars skateboards by Alien Workshop.
[00:15:30.332 --> 00:15:32.334]  Skaters have always been against the grain socially.
[00:15:32.634 --> 00:15:33.975]  Now wake up your friends politically.
[00:15:34.315 --> 00:15:35.936]  Just go to InfoWarsStore.com.
[00:15:36.216 --> 00:15:37.977]  We have Divide and Conquer or Brainwashing.
[00:15:38.418 --> 00:15:43.881]  Then take your deck to your local skate shop, pick out your own trucks, your own wheels, and then hit the streets and wake some people up.
[00:15:44.222 --> 00:15:46.043]  Here is legendary skateboarder Jake Nunn.
[00:15:46.463 --> 00:15:48.745]  This one has a lot more concave than I have on my board.
[00:15:48.985 --> 00:15:49.826]  And I like concave.
[00:15:50.166 --> 00:15:52.067]  It makes it easier to turn and feel the board.
[00:15:52.808 --> 00:15:53.288]  It's pretty cool.
[00:15:53.328 --> 00:15:54.709]  I mean, it's almost the same shape as mine.
[00:15:55.649 --> 00:15:57.349]  It's not really a sport, and it's not really art.
[00:15:57.970 --> 00:15:59.690]  It's just kind of freedom, you know?
[00:15:59.990 --> 00:16:03.191]  I've listened to Alex Jones for a long time, and I love what InfoWars does.
[00:16:03.551 --> 00:16:04.911]  I've always loved the Alien Workshop, too.
[00:16:04.931 --> 00:16:06.652]  I think it's kind of cool you guys got together.
[00:16:07.652 --> 00:16:08.432]  This one's pretty nice.
[00:16:09.872 --> 00:16:11.733]  Definitely one for the wall, one for the collection.
[00:16:12.513 --> 00:16:13.573]  Also good to skate.
[00:16:13.973 --> 00:16:17.694]  Get these limited edition decks at InfoWarsStore.com.
[00:16:18.374 --> 00:16:18.995]  This is Jake Nunn.
[00:16:19.315 --> 00:16:22.355]  Get these beautiful new skateboards at InfoWars.com.
[00:16:22.875 --> 00:16:24.176]  Alien Workshop collaboration.
[00:16:24.476 --> 00:16:24.896]  Good stuff.
[00:16:29.685 --> 00:16:30.386]  Welcome back.
[00:16:30.426 --> 00:16:34.912]  We are now joined by Reverend Childress of BlackGenocide.org.
[00:16:35.053 --> 00:16:42.763]  We're going to talk about a lot of hard-hitting issues affecting the black community, as well as Americans of all ethnicities.
[00:16:43.344 --> 00:16:44.105]  Welcome to our show.
[00:16:44.686 --> 00:16:46.429]  Thank you for joining us on InfoWars Nightly News.
[00:16:47.253 --> 00:16:48.493]  Oh, I appreciate you having me.
[00:16:48.553 --> 00:16:48.893]  Thank you.
[00:16:49.254 --> 00:16:56.515]  Now, Pastor, I'm sure you're well aware 2013 marks the 40th anniversary of that diabolical ruling Roe v. Wade.
[00:16:57.856 --> 00:17:06.078]  Sadly, polls show that most Americans, about 54% to 44%, are still pro-choice, most Americans.
[00:17:06.538 --> 00:17:09.719]  Although, about 70% would like some restrictions.
[00:17:10.759 --> 00:17:13.380]  Tell us a little bit about the fact that it's the 40th anniversary and
[00:17:13.780 --> 00:17:14.541]  I don't know.
[00:17:32.381 --> 00:17:51.907]  that wants restrictions undoubtedly is also part of that number that still feels rape and incest means that indeed it should be pro-choice and I'd like to see that polling because we're finding that many people unquestionably feel abortion as it stands right now
[00:17:53.028 --> 00:18:12.180]  Should unquestionably be rewritten, the law should be revisited, and whether or not right now we could get rape or incest as those children protected is quite unlikely, but nevertheless, I believe the shift is definitely heading towards the pro-life position.
[00:18:13.000 --> 00:18:19.685]  Okay, so you're saying that most people identify themselves as pro-choice because of the rape and incest?
[00:18:20.658 --> 00:18:21.318]  Absolutely.
[00:18:21.938 --> 00:18:24.459]  And you have to watch these folks that do the polling.
[00:18:24.719 --> 00:18:35.982]  You know, we often have entities that are trying to get their philosophy across to therefore make it appear that their side is winning or this is the view of most Americans.
[00:18:36.062 --> 00:18:41.963]  But unquestionably, you see the crowds are growing every year at pro-life rallies.
[00:18:42.063 --> 00:18:45.664]  Legislation is passing more so now than ever before.
[00:18:46.545 --> 00:18:54.875]  And unquestionably, the data shows undoubtedly that we are correct, that life does begin at conception.
[00:18:55.396 --> 00:19:01.984]  And if that is the case, the Declaration of Independence lets us to know that that life should be protected.
[00:19:04.325 --> 00:19:09.806]  Undoubtedly, a constitutional right to life, liberty, and the pursuit of happiness.
[00:19:10.226 --> 00:19:15.347]  So, we're winning, but you never know it by the mainstream media.
[00:19:15.547 --> 00:19:22.129]  But undoubtedly, I'm finding young people, especially in Groves, are coming to the pro-life position.
[00:19:22.429 --> 00:19:27.632]  And we were just talking just a couple minutes ago how Jane Roe, I believe her name is Norma McCorvey, I believe.
[00:19:27.993 --> 00:19:30.995]  We don't know, but she's actually a pro-life advocate.
[00:19:31.255 --> 00:19:36.418]  She actually is very bothered by the fact that her ruling has led to so many abortions.
[00:19:36.738 --> 00:19:37.879]  But that's just important to know.
[00:19:37.939 --> 00:19:40.721]  Norma McCorvey, she was identified as Roe.
[00:19:40.761 --> 00:19:41.721]  She's a pro-lifer now.
[00:19:42.022 --> 00:19:43.202]  But let's talk a little bit about
[00:19:44.623 --> 00:19:45.684]  About abortion.
[00:19:45.964 --> 00:19:51.748]  In my opinion, Reverend, I don't know how any Christian votes for either party.
[00:19:52.049 --> 00:19:53.009]  That's just my opinion.
[00:19:53.069 --> 00:19:54.871]  Because one party loves warfare.
[00:19:54.931 --> 00:19:56.452]  They love dropping bombs on people.
[00:19:56.712 --> 00:19:58.153]  But they love themselves some Jesus.
[00:19:58.833 --> 00:20:00.314]  And then you've got the other party...
[00:20:01.115 --> 00:20:04.599]  Who supports abortion, or they're abortion enablers.
[00:20:05.300 --> 00:20:07.122]  And they say hallelujah on Sunday.
[00:20:07.502 --> 00:20:12.948]  So, what do you say to those people who continue to vote for the abortion party, which is the Democratic Party?
[00:20:12.968 --> 00:20:15.071]  We know that Republicans love warfare, they're bad.
[00:20:15.371 --> 00:20:22.519]  But what would you say to people who say that they're pro-life, and they're Christians, but they support the Democratic Party?
[00:20:23.661 --> 00:20:28.604]  Well, undoubtedly the Democratic Party's platform, even.
[00:20:28.965 --> 00:20:32.527]  I was shocked when God was voted out of the platform.
[00:20:32.607 --> 00:20:39.031]  I was shocked when they attempted to say that Jerusalem was not the capital of Israel.
[00:20:40.012 --> 00:20:44.995]  The Democratic Party let their true philosophies and ideologies be revealed.
[00:20:45.056 --> 00:20:45.596]  Now, granted,
[00:20:46.255 --> 00:20:48.317]  Due to polling, they snatched that back.
[00:20:48.377 --> 00:20:51.341]  But the fact that it even came to the floor and it was voted upon.
[00:20:51.701 --> 00:21:01.512]  And if you remember correctly, when they tried to take it out of the platform, meaning put it back in, excuse me, in a platform, the quorum president booed.
[00:21:02.152 --> 00:21:18.230]  And so I think any Christian that has any type of relationship with Jesus Christ really needs to evaluate themselves very strongly when they say they are supporting the Democrat Party, even though independents are growing by leaps and bounds also.
[00:21:18.650 --> 00:21:34.283]  But it is the antithesis of the consciousness of God to take life indiscriminately, especially innocent life, and to endorse legislation that does so makes me really wonder about your own personal relationship with God.
[00:21:36.484 --> 00:21:43.669]  Uh, this is something that has been a pain and a thorn in my side for quite some time, but we are making some ground.
[00:21:44.169 --> 00:21:53.716]  And in the African American community, it is always simply because the Republicans have been so demonized, they feel that they're picking the lesser of two evils.
[00:21:54.256 --> 00:22:11.843]  And so what we have to understand is that, just as Dr. King said, we can no longer judge a man by the color of his skin, but by the content of character, and that our values ought to be taken into the voting booth no matter who or what the candidate party is.
[00:22:12.804 --> 00:22:15.585]  It's their values that we should be pulling the lever on.
[00:22:15.885 --> 00:22:22.748]  And until the Christians begin to do that, this culture will continue in a spiral spin
[00:22:25.249 --> 00:22:35.675]  And what would you say to those that say, but Pastor, it's going to be, you know, I don't like the conservatism and so it's the lesser of two evils, you know, so that's why I vote for the Democratic Party.
[00:22:35.835 --> 00:22:38.576]  I say, sit a couple of elections out.
[00:22:39.096 --> 00:22:46.900]  If you're a Democrat, you know, they'll get a, if you sit out two or three election cycles, they'll get the point and they'll change their stance on abortion.
[00:22:47.701 --> 00:22:51.143]  What would you say to those that say, but I just can't pull the lever for the Republican Party?
[00:22:51.163 --> 00:22:51.743]  What would you say?
[00:22:52.597 --> 00:22:54.058]  Well, I agree with that somewhat.
[00:22:54.718 --> 00:23:00.082]  You know, there's so many that have died, especially the African-American community, for them to have that right to vote.
[00:23:00.642 --> 00:23:18.334]  But if it means supporting a culture of death and legislation that is eliminating almost a third of African-Americans as it stands at this day, and that is killing just under 4,000 babies, 1,786 of those babies are African-American,
[00:23:22.316 --> 00:23:31.422]  I think if that is the case, that you cannot pull the lever on a Republican, then you certainly should not pull the lever on a Democrat if you're a Christian.
[00:23:32.482 --> 00:23:37.706]  Now, tell us a little bit about your organization, BlackGenocide.org.
[00:23:38.866 --> 00:23:40.848]  Well, it is not hyperbole.
[00:23:40.888 --> 00:23:42.709]  It is not a right.
[00:23:43.556 --> 00:23:46.459]  We have a right-wing rant.
[00:23:47.019 --> 00:24:00.451]  It is a sociological fact, and the fact of the matter is that abortion has accelerated the demise of the African-American community simply due to the fact that we are well beneath the replacement level.
[00:24:02.132 --> 00:24:04.873]  52% of all African-American pregnancies end in abortion.
[00:24:05.393 --> 00:24:11.076]  In New York, 60% of all African-American pregnancies end in abortion.
[00:24:11.476 --> 00:24:21.061]  And so you have major cities where there's more abortions than there is live births amongst African-Americans, and that has brought down the rate.
[00:24:21.201 --> 00:24:25.303]  You need 2.2 to replace the existing population, and right now we're at 1.96.
[00:24:27.564 --> 00:24:36.750]  And so this is something, unquestionably, that abortion has been the guillotine that has expedited this genocide.
[00:24:36.790 --> 00:24:37.831]  And it is systemic.
[00:24:38.351 --> 00:24:48.678]  And it's something, unquestionably, in the African-American community, especially you have the shepherds leading the sheep to the slaughter because they are profiting from the
[00:24:50.231 --> 00:24:51.391]  The abortion industry.
[00:24:51.912 --> 00:24:53.972]  I often say abortion was not lucrative.
[00:24:54.632 --> 00:24:55.633]  It would not be legal.
[00:24:56.033 --> 00:24:57.933]  So we are in a fight.
[00:24:58.193 --> 00:24:59.694]  We're not winning the ground.
[00:24:59.734 --> 00:25:03.295]  I would like to win each day, but we are taking ground.
[00:25:03.355 --> 00:25:07.776]  And this has been a very special year so far.
[00:25:07.976 --> 00:25:09.897]  And I really believe despite
[00:25:10.618 --> 00:25:14.802]  The re-election of the most pro-abort president in our nation's history.
[00:25:15.402 --> 00:25:28.093]  I truly believe this is going to be ground game this year on the abortion issue simply because I see very different factions of our society and community coming together
[00:25:28.693 --> 00:25:39.001]  And learning for the first time of the decimation of the African American community and people of color in general by the abortion industry and how they're being targeted.
[00:25:39.941 --> 00:25:43.164]  Even Muslims, Imans, are on the phone with me.
[00:25:44.445 --> 00:25:55.956]  They're secular people who don't believe in the Christ that I embrace, but want to do something about the genocide that's going on in the community.
[00:25:56.256 --> 00:25:58.078]  And so this is something I've never seen before.
[00:25:58.138 --> 00:26:01.441]  But remember, after 40, there's always a shift.
[00:26:02.183 --> 00:26:06.608]  And we've been wandering in the wilderness of abortion for 40 years now.
[00:26:07.169 --> 00:26:19.724]  And I believe, despite Pharaoh still sitting on the throne, that that is going to be a great awakening this year in the African-American community on the abortion issue.
[00:26:19.744 --> 00:26:20.565]  And it's also
[00:26:21.528 --> 00:26:26.055]  This 40th year is also a jubilee year for African Americans.
[00:26:26.235 --> 00:26:28.379]  Every 50 years, there's a jubilee.
[00:26:28.419 --> 00:26:29.120]  In 1863, Abraham Lincoln was
[00:26:33.614 --> 00:26:41.476]  Declared the slaves to be free and so that's a Since then this is the second 50 or is it the third 50?
[00:26:41.796 --> 00:26:59.559]  Yeah, the third 50 from there and it's also 50 years from Martin Luther King's I have a dream speech, which I believe is also significant because in a Jubilee year the chains of slavery are broken and the captives are set free by law and
[00:27:00.439 --> 00:27:08.064]  And so Martin questioned America about not allowing the nation to live out its creed.
[00:27:08.504 --> 00:27:11.166]  And we have yet to live that creed out.
[00:27:11.867 --> 00:27:15.429]  It has always been some segment of our community legally.
[00:27:16.181 --> 00:27:22.707]  Legislatively, that has been oppressed simply because of either the color of their skin or their position in life.
[00:27:23.368 --> 00:27:34.518]  And since 1967 in Colorado, and then of course nationally 1973, the segment of our community that has been denied their civil rights is the unborn.
[00:27:35.138 --> 00:27:42.044]  And so I believe we're going to make leaps and bounds this year because of one in the African-American community.
[00:27:42.104 --> 00:27:43.546]  It's a jubilee year.
[00:27:43.586 --> 00:27:48.370]  The Emancipation Proclamation was declared 150 years ago.
[00:27:48.410 --> 00:27:49.311]  This is a jubilee.
[00:27:49.711 --> 00:27:52.774]  I think there's going to be this is 40 years since Roe vs. Wade.
[00:27:52.954 --> 00:27:53.134]  Yes.
[00:27:55.977 --> 00:27:58.739]  Speaking of victories, we've got three minutes left.
[00:27:58.779 --> 00:28:11.010]  I want to talk to you about two things, but I just found out that Arkansas, they've passed a bill, or they're on the verge of passing a bill that would make abortion illegal after five months, so that's good.
[00:28:11.330 --> 00:28:14.473]  They're now the seventh state in the Union, North Dakota.
[00:28:15.273 --> 00:28:17.975]  Seems like they're going to pass a bill that's going to go to a referendum.
[00:28:18.295 --> 00:28:22.337]  So there have been, speaking of Jubilee victories, and it seems that it's growing.
[00:28:22.397 --> 00:28:22.957]  That's good.
[00:28:23.218 --> 00:28:31.282]  And it's important to note that you've produced a documentary called MAFA 21 that talks about black genocide.
[00:28:31.562 --> 00:28:34.484]  And you can get that on InfoWarsShop.com.
[00:28:34.524 --> 00:28:35.764]  Again, MAFA 21.
[00:28:36.105 --> 00:28:38.066]  It's a hard-hitting documentary.
