[00:00:00.666 --> 00:00:02.488]  Will you fight?
[00:03:00.956 --> 00:03:04.418]  Those articles are up at InfoWars.com and PrisonPlanet.com.
[00:03:04.418 --> 00:03:11.582]  And also, a story from Thursday that I want to talk more about is breaking Texas moves to forcibly inoculate children.
[00:03:11.582 --> 00:03:12.202]  That's what it is.
[00:03:12.202 --> 00:03:13.543]  SB 63.
[00:03:13.543 --> 00:03:17.505]  And there's another draconian bill that we'll get to in a moment.
[00:03:17.505 --> 00:03:20.547]  In fact, I'll cover it at the first little five-minute segment of the second hour.
[00:03:20.547 --> 00:03:22.248]  I'm going to get back into this exclusively.
[00:03:23.373 --> 00:03:32.756]  They come out and are saying, you know, just like California, we're going to have your 10-year-old just give us consent to give them any shots or basically drugs we want, but this is inoculations.
[00:03:32.756 --> 00:03:35.577]  Ladies and gentlemen, a child can't walk in and buy a car.
[00:03:35.577 --> 00:03:39.539]  A child isn't allowed to have sex with some pervert, and the pervert can't say, well, they gave consent.
[00:03:40.299 --> 00:03:42.341]  Now, this is absolutely incredible.
[00:03:42.341 --> 00:03:43.321]  So, breaking.
[00:03:43.321 --> 00:03:48.025]  Texas moves to forcibly inoculate children.
[00:03:48.025 --> 00:03:52.148]  The bill is SB63, has a good chance of passing, got big vaccine money behind it.
[00:03:52.148 --> 00:03:56.011]  Remember Governor Perry lied and said it was the law to take Gardasil?
[00:03:56.011 --> 00:04:00.675]  Well, now they're actually trying to make it the law where they can just say to your kid, want some candy?
[00:04:00.675 --> 00:04:02.837]  Hey, get in the van, kid.
[00:04:02.837 --> 00:04:04.578]  Come on, I got a puppy dog.
[00:04:04.578 --> 00:04:06.640]  Now it's like, hey, want some candy?
[00:04:06.640 --> 00:04:09.062]  Want to be able to get extracurricular, you know, prizes?
[00:04:09.642 --> 00:04:11.966]  We'll take the shots is what they do in California.
[00:04:11.966 --> 00:04:12.707]  They sign the law.
[00:04:14.048 --> 00:04:16.990]  Last year, so that's SB number 64 in Texas.
[00:04:16.990 --> 00:04:19.871]  Look in your state, it's happening all over the country.
[00:04:19.871 --> 00:04:24.734]  That's, and SB 64 is anybody involved in child care, period.
[00:04:24.734 --> 00:04:32.878]  Whether you work at the YMCA or at a daycare center, you gotta take any of the 50 plus shots they're saying are, quote, mandatory.
[00:04:32.878 --> 00:04:35.700]  Now, they've never been mandatory, but they hoaxed and said they were.
[00:04:35.700 --> 00:04:39.922]  Now that you're finding out it's not mandatory, they're going, okay, we'll pass a law to make it mandatory.
[00:04:40.242 --> 00:04:49.388]  First it's the nurses, then it's the medical workers, then it's the people that carry the trash out at the medical facility, and then it's everybody in child health care, and then it's everybody, period.
[00:04:49.388 --> 00:04:52.310]  Alright, we're going to go to break and come back with Congressman Ron Paul.
[00:04:52.310 --> 00:04:54.011]  This is very important information.
[00:04:54.011 --> 00:04:54.712]  Please stay with us.
[00:04:54.712 --> 00:04:55.732]  I'm Alex Jones.
[00:04:55.732 --> 00:04:57.534]  Don't forget we stream video at PrisonPlanet.tv.
[00:05:02.333 --> 00:05:10.439]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:10.439 --> 00:05:14.522]  Alex and his staff have used these pure soap products for years.
[00:05:14.522 --> 00:05:21.828]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:21.828 --> 00:05:24.630]  See them on the web at 5starsoap.com.
[00:05:24.850 --> 00:05:29.673]  Or call 800-340-7091 for a free catalog.
[00:05:29.673 --> 00:05:35.617]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:35.617 --> 00:05:41.020]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:41.020 --> 00:05:43.002]  This is an amazing deal.
[00:05:43.002 --> 00:05:48.245]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:48.245 --> 00:05:51.387]  See them on the web at 5starsoap.com or call
[00:05:51.587 --> 00:05:52.308]  We're good to go.
[00:06:08.817 --> 00:06:13.038]  Former Congressman Ron Paul, best-selling author, joins us.
[00:06:13.038 --> 00:06:20.339]  I wanted to get him on because he's been writing and speaking and posting articles at Campaign for Liberty.
[00:06:20.339 --> 00:06:22.760]  Breaking down the bubble is really getting big.
[00:06:22.760 --> 00:06:30.701]  The QE Unlimited, the global currency crises, with the very authors of the currency crises posing as our saviors.
[00:06:30.701 --> 00:06:37.823]  And just last week, more proposals by the G20 for a Bank of the World, SDR, that's global government, to back it all up.
[00:06:38.823 --> 00:06:41.804]  Ron Paul, Dr. Ron Paul, thank you for coming on, sir.
[00:06:41.804 --> 00:06:44.505]  Thank you, good to be with you.
[00:06:44.505 --> 00:06:51.986]  Can you give us the latest on your analysis on what's happening with the economy and this big event you've been talking about the last few years?
[00:06:51.986 --> 00:06:53.887]  How close are we right now?
[00:06:53.887 --> 00:06:57.248]  How serious is this currency war?
[00:06:57.248 --> 00:07:00.048]  Well, I think in many ways we're in the middle of it.
[00:07:00.048 --> 00:07:04.870]  I think the evidence to the general public is still not there and there's not been a panic.
[00:07:07.128 --> 00:07:20.080]  The people in Washington and even our central bankers don't face up to the real truth of the matter, and that is we're totally bankrupt, and yet just putting more money and running up more debt seems to settle the markets.
[00:07:20.080 --> 00:07:23.203]  They don't dump their stocks.
[00:07:23.203 --> 00:07:24.444]  They don't dump their bonds.
[00:07:25.504 --> 00:07:28.846]  But we're in the middle of some unwinding.
[00:07:28.846 --> 00:07:39.530]  I think that this is so much different than anything we've gone through, you know, since World War II and especially even since 1971 with the breakdown of Bretton Woods.
[00:07:39.530 --> 00:07:47.914]  But one of these days we'll wake up some morning and realize that the whole world has given up on the system, just as we woke up one day and
[00:07:48.454 --> 00:07:49.054]  We're good to go.
[00:08:08.666 --> 00:08:17.878]  Congressman, getting into specifics and your research there with the Von Mise Institute, pretty much everything you predicted in the last 30 years is now unfolding.
[00:08:17.878 --> 00:08:23.346]  From all my research, and even what the establishment's saying and the way they're behaving, it's all coming to a head.
[00:08:23.766 --> 00:08:29.531]  Now it's two billion rounds of bullets and hollow points that are illegal under the Geneva Convention.
[00:08:29.531 --> 00:08:37.498]  We've got a new report out where Homeland Security is funding domestic drones, and I'm not making this up, to quote, track gun purchases.
[00:08:37.498 --> 00:08:39.821]  That just broke at InfoWars.com.
[00:08:39.821 --> 00:08:43.003]  We see military drills expanding everywhere.
[00:08:43.003 --> 00:08:47.848]  We see the new Justice Department memo saying, hey, let's just ban guns and confiscate them.
[00:08:48.488 --> 00:09:15.172]  It's like I've woken up in an Orwellian nightmare, and we've got this normalcy bias, this mass Stockholm Syndrome, where even mainline conservatives, I had Ted Nugent on yesterday, he said, look, the green light's been given on Benghazi, the green light's been given on all this other tyranny, Fast and Furious, nobody got in trouble, and so I think we've reached that point where the tyrants figure out that if they can take us an inch, why not take us a million miles?
[00:09:15.589 --> 00:09:21.193]  No, and I've been getting away with it, but don't you think this has started a while back and it's just accelerating?
[00:09:21.193 --> 00:09:30.179]  And if you go back to what happened at Waco, if you go back to what happened at Ruby Ridge, I mean, if they can get away with it, they do it.
[00:09:30.179 --> 00:09:35.222]  And nobody ever got punished for those mistakes that were made, and now nobody gets punished at all.
[00:09:35.222 --> 00:09:37.704]  Matter of fact, the Congress goes along with it.
[00:09:37.704 --> 00:09:45.469]  The Congress doesn't really resist and put restraints on the President when it comes to kill this and the use of drones and assassinations.
[00:09:52.838 --> 00:09:54.440]  Undoubtedly.
[00:09:54.440 --> 00:10:02.290]  Specifically, with all the paramilitary buildup, the arms race going on domestically, what do you think the Feds are planning?
[00:10:02.290 --> 00:10:03.611]  What do you think they're preparing for, Dr. Paul?
[00:10:04.878 --> 00:10:10.800]  Well, I think they prepare for everything, and they themselves, you know, go with the flow.
[00:10:10.800 --> 00:10:15.681]  They don't know exactly what will happen, but they're prepared.
[00:10:15.681 --> 00:10:20.782]  They don't know that in two months from now there's riots in the street, but they know that there could be.
[00:10:20.782 --> 00:10:31.925]  In the same way with the monetary system, they argue academically that, oh yes, it's okay to print money and debt doesn't matter, you know, the Paul Krugman argument.
[00:10:32.385 --> 00:10:39.350]  I think they know exactly what can happen, the consequence that we warn about and try to prepare for, so they make their preparations.
[00:10:39.350 --> 00:10:50.418]  Like I think you mentioned in your introduction about what they do at the international level under the UN and the IMF and the, you know, these group of 20 and all.
[00:10:50.418 --> 00:10:51.679]  They do plan.
[00:10:51.679 --> 00:10:55.162]  So we know what would be the answer, that is found money and arms.
[00:10:55.162 --> 00:10:55.342]  I don't
[00:11:12.871 --> 00:11:18.814]  But when certain events come about, they're laying their plans in their network.
[00:11:18.814 --> 00:11:23.916]  And it's really scary when you think about the drone.
[00:11:23.916 --> 00:11:32.700]  The drone thing should wake up everybody on what they can do, how much surveillance, how many weapons can they carry.
[00:11:33.380 --> 00:11:50.784]  When they pretend that they can target any one individual thousands of miles away from the United States with people who maneuver those things even here, what can they do if they decide, well, we're going after this drug dealer, we're going after this guy that owns an illegal weapon, who knows what?
[00:11:50.784 --> 00:11:59.646]  And what we do know is, in spite of their fantastic ability, the advancement in these weapons,
[00:12:00.066 --> 00:12:00.286]  Sure.
[00:12:18.112 --> 00:12:34.506]  Undoubtedly, and I want you to break this down in your own words, but you've spoken to it before, but I marvel, we've had big government, we've had tyrannies before around the world, but the socialist collectivist class, funded by the big special interests that want a monopoly, obviously, of power,
[00:12:35.367 --> 00:12:49.275]  To write health care, of course you know about this being a retired medical doctor, but my dad's a dentist, oral surgeon, he's also in medical management, and he said to me, he said, son, I knew it when I read the bill, but he's watching it happen.
[00:12:49.275 --> 00:12:58.100]  Making people, raising payroll taxes on poor people, taxes on investments, doubling premiums this year.
[00:12:58.100 --> 00:13:02.262]  I mean, this is designed to kill the American economy that's competing with China.
[00:13:02.262 --> 00:13:03.943]  Obama shutting down the power plants.
[00:13:04.683 --> 00:13:10.930]  They are clearly trying to shut down the economy so that everybody goes on welfare and basically bankrupts.
[00:13:10.930 --> 00:13:12.411]  This is an economic takeover.
[00:13:12.411 --> 00:13:14.634]  Do you agree with that or can you speak to that?
[00:13:15.623 --> 00:13:16.303]  Absolutely.
[00:13:16.303 --> 00:13:24.648]  Now, I don't know if I have an absolute insight on all the motivations, because there's a mixture up there.
[00:13:24.648 --> 00:13:29.711]  I mean, there are evil people who have evil motives and they want to do exactly what's happening.
[00:13:29.711 --> 00:13:35.374]  There are others, though, who are intellectually totally bankrupt and actually believe this stuff.
[00:13:35.374 --> 00:13:41.037]  You know, I think Paul Krugman doesn't sit down and conspire to blow up the world financially.
[00:13:41.037 --> 00:13:45.219]  I think he sits down and he is dedicated to proving
[00:13:45.319 --> 00:13:47.842]  Sure, but I mean Obama said he was going to give poor people free stuff.
[00:13:47.842 --> 00:13:48.403]  He's literally raping them.
[00:14:02.947 --> 00:14:04.988]  People are naive enough to believe that.
[00:14:04.988 --> 00:14:09.409]  So you put all that together, and you end up with this calamity.
[00:14:09.409 --> 00:14:13.650]  Because they do not deal with the world as we would like to deal with it.
[00:14:13.650 --> 00:14:25.954]  And that is concentrating on the individuals who have a right to their own life, have a right to keep the fruits of their labor, have property rights and contract rights, and sound money, and get the government out of our way.
[00:14:25.954 --> 00:14:27.255]  So they don't work on that.
[00:14:27.255 --> 00:14:29.575]  They work on the opposite.
[00:14:29.575 --> 00:14:31.116]  Sure, but Dr. Paul, here's my question.
[00:14:32.833 --> 00:14:33.353]  Exactly.
[00:14:33.353 --> 00:14:45.357]  Their scheme and their plan, and who did what when, has to be counteracted by us getting out in front and saying, there is a better way, and that way is something that we had a taste of in this country, and we're losing it.
[00:14:45.357 --> 00:14:49.499]  We need to wake up the American people that the answers are there for us.
[00:14:49.499 --> 00:14:50.759]  We just want to look.
[00:14:50.759 --> 00:14:53.700]  And I think in many ways that is happening.
[00:14:53.700 --> 00:14:58.362]  A lot more people are waking up, but it's going to be a terribly tough
[00:14:59.460 --> 00:15:01.001]  Sure, I want to get into the Second Amendment.
[00:15:01.001 --> 00:15:06.286]  I don't know if you've seen this, it broke Friday, but you're always on to the news I bring up.
[00:15:06.286 --> 00:15:18.397]  Summary of Select Firearms Violence Prevention Strategies for the White House by the Department of Justice actually says basically just outlaw almost all guns and make people turn them in.
[00:15:18.397 --> 00:15:21.640]  If they try to take the guns, Congressman, are they trying to start a civil war?
[00:15:22.060 --> 00:15:26.623]  You know, that once again is trying to interpret everything that they're thinking and they're planning.
[00:15:26.623 --> 00:15:33.606]  They're liable to start a civil war by doing it, and for whatever reason they are, but they don't believe that people should have guns.
[00:15:33.606 --> 00:15:40.070]  They believe the government should have guns, and they believe this very sincerely as a philosophy.
[00:15:40.070 --> 00:15:44.052]  So yes, whether that is exactly what they want,
[00:15:45.073 --> 00:15:58.155]  Uh, it's hard to say, but I know one thing is they don't want the people to have the guns, but you know, I don't, it's one thing, I think a lot about these problems, but I just don't think that the people are going to give up their guns.
[00:16:00.717 --> 00:16:04.119]  You prepare by purchasing gold, food, and firearms.
[00:16:04.119 --> 00:16:10.161]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[00:16:10.161 --> 00:16:14.043]  When you're sleeping or away from home, who's watching out for intruders?
[00:16:14.043 --> 00:16:15.644]  Check out SimpliSafe.
[00:16:15.644 --> 00:16:20.086]  It's a new do-it-yourself home security system that is completely wireless.
[00:16:20.086 --> 00:16:22.807]  Go to GetSimpliSafe.com.
[00:16:22.807 --> 00:16:25.548]  SimpliSafe is independent and off the grid.
[00:16:25.548 --> 00:16:29.310]  It runs on battery power, so even if the grid goes down, you're protected.
[00:16:29.890 --> 00:16:36.555]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[00:16:36.555 --> 00:16:38.876]  GetSimplySafe.com.
[00:16:38.876 --> 00:16:46.281]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[00:16:46.281 --> 00:16:50.364]  If you move or need to relocate, you can take the system with you wherever you go.
[00:16:50.364 --> 00:16:57.368]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[00:16:57.368 --> 00:16:59.530]  Again, that's GetSimplySafe.com.
[00:17:00.731 --> 00:17:01.812]  I had tried everything.
[00:17:01.812 --> 00:17:04.155]  I'd cut back the amount of food I was eating.
[00:17:04.155 --> 00:17:07.298]  I was lifting weights and jogging, but nothing was working.
[00:17:07.298 --> 00:17:12.124]  My body was literally starving for minerals and trace elements as well as key vitamins.
[00:17:12.124 --> 00:17:18.491]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[00:17:18.971 --> 00:17:30.201]  Now there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[00:17:30.201 --> 00:17:34.665]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[00:17:34.665 --> 00:17:40.931]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[00:17:40.931 --> 00:17:42.072]  Now that's results!
[00:17:42.472 --> 00:17:49.278]  I want to challenge my listeners to go to Infowarsteam.com and to order just three of their products.
[00:17:49.278 --> 00:17:55.003]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[00:17:55.003 --> 00:17:57.565]  Start your journey to health and wellness today.
[00:17:57.565 --> 00:18:00.928]  Infowarsteam.com.
[00:18:00.928 --> 00:18:06.753]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:18:07.671 --> 00:18:14.414]  At Silverlungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:18:14.414 --> 00:18:25.378]  Our most popular silver-based products are the 32-ounce Nano Silver Solutions, our 2-ounce Nano Silver Nasal Applicators, as well as our all-natural silver soaps.
[00:18:25.378 --> 00:18:29.500]  Just released is our 100% natural silver gel.
[00:18:29.500 --> 00:18:35.703]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:18:36.423 --> 00:18:47.689]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:18:47.689 --> 00:18:56.453]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[00:18:56.453 --> 00:18:59.375]  That's www.silverlungs.com
[00:19:00.492 --> 00:19:02.053]  Your freedoms are on the line.
[00:19:02.053 --> 00:19:03.854]  The Second Amendment is in danger.
[00:19:03.854 --> 00:19:06.196]  How soon before your freedoms are taken away?
[00:19:06.196 --> 00:19:07.917]  What can you not live without?
[00:19:07.917 --> 00:19:09.638]  What is your greatest dependency?
[00:19:09.638 --> 00:19:10.619]  Is it your guns?
[00:19:10.619 --> 00:19:11.579]  Is it your home?
[00:19:11.579 --> 00:19:13.000]  No, it's food.
[00:19:13.000 --> 00:19:15.102]  It all boils down to the food supply.
[00:19:15.102 --> 00:19:18.604]  Tyrannical governments control people by controlling their food supply.
[00:19:18.604 --> 00:19:19.845]  Don't be dependent.
[00:19:19.845 --> 00:19:20.945]  Be self-sufficient.
[00:19:20.945 --> 00:19:22.586]  Don't wait for the government to feed you.
[00:19:22.586 --> 00:19:23.247]  Feed yourself.
[00:19:23.687 --> 00:19:25.928]  I can warn you, but I can't feed you.
[00:19:25.928 --> 00:19:29.489]  Do like Alex has done and get a supply of food from eFoodsDirect.
[00:19:29.489 --> 00:19:32.231]  It's the best long-term storable food on the planet.
[00:19:32.231 --> 00:19:34.592]  Get the popular Mega Patriot Pack free.
[00:19:34.592 --> 00:19:38.213]  A 24-day supply of food plus stove, cook pot, and fuel.
[00:19:38.213 --> 00:19:47.177]  Call 800-409-5633 or go to eFoodsDirect.com slash Alex and get up to 20 Mega Patriot Packs free with purchase.
[00:19:47.177 --> 00:19:51.418]  Build your food supply, be in control, be self-sufficient, and be a patriot.
[00:19:52.739 --> 00:19:53.219]  We're good to go.
[00:20:15.734 --> 00:20:20.138]  You are listening to an InfoWars.com Frontline Report.
[00:20:20.138 --> 00:20:31.629]  If you are receiving this transmission, you are the resistance.
[00:20:31.629 --> 00:20:40.157]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:20:42.256 --> 00:20:45.117]  Ladies and gentlemen, we have breaking news.
[00:20:45.117 --> 00:20:45.897]  We have the clip.
[00:20:45.897 --> 00:20:47.757]  It's coming up with Michael Savage.
[00:20:47.757 --> 00:20:52.019]  Obama's saying again, you don't do things alone in America.
[00:20:52.019 --> 00:20:53.359]  That's how our system works.
[00:20:53.359 --> 00:20:54.239]  You didn't build that.
[00:20:54.239 --> 00:20:57.160]  A new clip, live on CNN, 25 minutes ago.
[00:20:57.160 --> 00:20:59.580]  I was just telling Michael Savage about it during the break.
[00:20:59.580 --> 00:21:00.641]  He's like, you're kidding.
[00:21:00.641 --> 00:21:01.281]  He did it again.
[00:21:01.761 --> 00:21:03.081]  Yes, we're going to be playing that clip.
[00:21:03.081 --> 00:21:07.082]  But the reason I wanted to get Michael Savage on is a time for war.
[00:21:07.082 --> 00:21:13.624]  Michael Savage, many number one New York Times bestsellers, 30-something books, multiple doctorates.
[00:21:13.624 --> 00:21:15.405]  I'm not going to go over his whole bio.
[00:21:15.405 --> 00:21:20.126]  Most of you know who he is in the talk radio world or you're hiding under a rock somewhere.
[00:21:20.126 --> 00:21:22.547]  But he also writes for WorldNet Daily.
[00:21:22.547 --> 00:21:23.767]  They are censoring this.
[00:21:23.767 --> 00:21:26.207]  And you know, this is a big subject I've talked about.
[00:21:26.207 --> 00:21:27.828]  You notice that Red Dawn,
[00:21:29.076 --> 00:21:29.937]  We're good to go.
[00:21:59.736 --> 00:22:07.039]  Arguably the number two, number one talk show host in the country doesn't usually do this because I listen to the show and have followed it to sell books.
[00:22:07.039 --> 00:22:12.942]  This is in a news blackout because across the board China owns our fraudulent debt.
[00:22:12.942 --> 00:22:15.143]  China has thousands of front companies.
[00:22:15.143 --> 00:22:18.424]  Al Gore's on the board of Apple with Foxconn and the suicide nets.
[00:22:18.424 --> 00:22:19.785]  They are the liberal tyrants.
[00:22:20.385 --> 00:22:22.206]  And they are the new globalist muscle.
[00:22:22.206 --> 00:22:30.870]  Michael Savage joins us with this breaking news, and Michael, it is so exciting to get you on the broadcast.
[00:22:30.870 --> 00:22:36.133]  Well, it's always good to be on, especially someone who kicked the limeys behind on air.
[00:22:36.133 --> 00:22:41.976]  As you well know, you know what I think of the spineless side of the Brits.
[00:22:41.976 --> 00:22:48.759]  I was always an Anglo-phile until this thing came along where this slime, the socialist slime,
[00:22:49.623 --> 00:22:55.606]  Slanted me and said I said things I didn't say and I'm the only American broadcaster, Alex, not allowed to enter Britain.
[00:22:55.606 --> 00:23:05.931]  I'm on a list with murderers and terrorists and nobody in the media with the exception of Alex Jones right now dares even talk about how is that possible?
[00:23:05.931 --> 00:23:08.452]  Why is my State Department not lobbying on my behalf?
[00:23:09.170 --> 00:23:11.233]  But let's not go into the England thing.
[00:23:11.233 --> 00:23:12.575]  It's great to be on your show.
[00:23:12.575 --> 00:23:14.658]  It's great to have you here, as long as we can keep you.
[00:23:14.658 --> 00:23:16.801]  I know you've got your own show coming up tonight.
[00:23:16.801 --> 00:23:22.489]  Let's first plug that, because you now are on Cumulus and exploding across the country.
[00:23:23.117 --> 00:23:24.218]  Well, that's pretty good.
[00:23:24.218 --> 00:23:27.700]  Number one, they're the best company in the business, and I'm not just saying it because I work with them.
[00:23:27.700 --> 00:23:29.921]  They are the best company in the business, number one.
[00:23:29.921 --> 00:23:32.583]  Number two, I'm on the best stations in the country.
[00:23:32.583 --> 00:23:38.126]  For example, Alex, I finally got on in New York City on WABC, nine o'clock at night.
[00:23:38.126 --> 00:23:39.327]  Now, what happened?
[00:23:39.327 --> 00:23:40.408]  Michael Savage, who's he?
[00:23:41.088 --> 00:23:46.013]  I exploded within two months to number one amongst younger listeners, mainly males.
[00:23:46.013 --> 00:23:49.996]  I mean, women, as you well know, are not a big listenership in talk radio in general.
[00:23:49.996 --> 00:23:53.339]  I always joke, I say I have eight listeners, eight women listeners across the country.
[00:23:53.339 --> 00:23:55.942]  Yeah, they're busy not having kids as the whole West dies.
[00:23:55.942 --> 00:23:57.043]  Well, the men listen.
[00:23:57.043 --> 00:24:00.206]  Here's the question, Alex, because you have a younger demo and guys mainly.
[00:24:00.962 --> 00:24:02.143]  Why are they listening to you?
[00:24:02.143 --> 00:24:05.745]  Why did they find Michael Savage, an older guy, on WABC?
[00:24:05.745 --> 00:24:14.571]  I beat other talk stations, I beat all news stations, I beat... Because young people are looking for men role models in the age of crucifying John Wayne.
[00:24:14.571 --> 00:24:19.495]  They understand they're having their testicles chopped off and they want to fight back and have a future.
[00:24:19.835 --> 00:24:23.618]  Well, first they have their testicles cut off chemically.
[00:24:23.618 --> 00:24:26.039]  They're chemicalized to destroy their masculinity.
[00:24:26.039 --> 00:24:26.600]  That's right.
[00:24:26.600 --> 00:24:32.684]  And if they survive the chemical castration, the next thing is the educational castration.
[00:24:32.684 --> 00:24:37.147]  If they survive the chemical and educational castration, I mean, what's left for them?
[00:24:37.147 --> 00:24:39.848]  They don't know which way to turn in this country.
[00:24:39.848 --> 00:24:41.810]  You know, Alex, last week I started my show
[00:24:42.532 --> 00:24:45.716]  By saying, I saw a Kung Fu movie when I was out on vacation last week.
[00:24:45.716 --> 00:24:47.559]  I was watching a lot of television.
[00:24:47.559 --> 00:24:55.429]  And there was a picture of a Kung Fu academy in China, with thousands of young Chinese being taught by a really tough, mean Kung Fu teacher.
[00:24:55.429 --> 00:24:58.793]  And he's saying to them, no weakness, no pain, no mercy.
[00:24:59.705 --> 00:25:01.286]  And he says, what do we learn here?
[00:25:01.286 --> 00:25:06.569]  And the Chinese scream back in Chinese, no weakness, no pain, no mercy.
[00:25:06.569 --> 00:25:09.091]  And I say, look at my sad sack country.
[00:25:09.091 --> 00:25:15.374]  We have a government and an educational establishment teaching our children to say, I'm weak.
[00:25:15.374 --> 00:25:16.035]  I'm in pain.
[00:25:16.035 --> 00:25:16.515]  This hurts.
[00:25:16.515 --> 00:25:17.495]  That hurts.
[00:25:17.495 --> 00:25:19.577]  I need the government to help me.
[00:25:19.577 --> 00:25:22.498]  Now, who wins this battle in the long run, Alex?
[00:25:22.498 --> 00:25:25.160]  That doesn't take a genius to figure out what's happening, does it?
[00:25:25.160 --> 00:25:25.280]  No.
[00:25:26.644 --> 00:25:28.165]  Okay, so that's where we're at.
[00:25:28.165 --> 00:25:33.088]  So, now we know that China has lobbied very effectively in Hollywood.
[00:25:33.088 --> 00:25:37.511]  The Hollywood sewer pipe, as I've called it affectionately for 20 years now.
