[00:00:05.826 --> 00:00:07.046]  They fled from tyranny.
[00:02:18.527 --> 00:02:35.375]  Tonight, while the Department of Homeland Security continues to ignore members of Congress who are demanding to know why the federal agency is engaged in an apparent arms buildup, the DHS has just announced it plans to purchase another
[00:02:36.275 --> 00:02:40.177]  360,000 rounds of hollow point ammunition.
[00:02:40.317 --> 00:02:45.939]  This adding to the 2 billion bullets already purchased over the past year.
[00:02:46.299 --> 00:02:57.783]  Meanwhile, a retired army captain says Americans may have to prepare to defend themselves against the Obama administration's coup against the American people.
[00:02:58.203 --> 00:02:58.483]  Next!
[00:02:58.843 --> 00:03:06.785]  A vial containing a potentially harmful virus has gone missing from a laboratory at the University of Texas.
[00:03:07.225 --> 00:03:11.827]  Plus, best-selling author and historian Jim Mars in studio.
[00:03:12.167 --> 00:03:16.588]  And a total paradigm shift with Billy Corgan of Smashing Pumpkins.
[00:03:16.968 --> 00:03:22.870]  The entire interview with Alex Jones up next on the InfoWars Nightly News.
[00:03:25.546 --> 00:03:26.246]  And welcome back.
[00:03:26.726 --> 00:03:33.428]  Top story, headline, DHS to buy 360,000 more rounds of hollow point ammunition.
[00:03:33.788 --> 00:03:35.748]  You can see the drudge link right there, Ms.
[00:03:36.148 --> 00:03:37.148]  Napolitano.
[00:03:37.249 --> 00:03:39.749]  Yes, I do swear to shoot you with these bullets.
[00:03:40.409 --> 00:03:41.809]  And we'll look at the article right here.
[00:03:42.330 --> 00:03:46.871]  Our current count is about 2 billion bullets, but it varies from agency to agency, different reports.
[00:03:47.351 --> 00:03:50.411]  Another 360,000 rounds of hollow point ammunition to add to roughly 2 billion bullets
[00:03:53.792 --> 00:04:03.696]  A solicitation of the Federal Business Opportunities website details the DHS' plan to purchase 360,000 rounds of commercial leaded training ammunition.
[00:04:03.736 --> 00:04:04.897]  You can see the quotes right there.
[00:04:05.157 --> 00:04:16.682]  Although the DHS has attempted to explain its mammoth purchase of ammunition by claiming the bullets are being acquired in bulk to save money and that they are for training purposes only, this has been disputed.
[00:04:17.182 --> 00:04:25.794]  Of course they're not doing this to save you money, because jagged and hollow point bullets are twice as expensive as your normal bullets, as the article points out.
[00:04:26.195 --> 00:04:29.299]  So they're saying, yeah, we use these to practice with.
[00:04:29.600 --> 00:04:33.065]  Well, you're supposed to practice with what you shoot, from the last time I checked.
[00:04:33.765 --> 00:04:37.867]  And if you practice with, you know, flat-top ammunition, then you need to shoot flat-top ammunition.
[00:04:37.907 --> 00:04:40.227]  If you practice with hollow points, you need to shoot hollow points.
[00:04:40.547 --> 00:04:46.069]  But like as we already pointed out, I mean, your hollow point ammunition is much more expensive, especially if you buy it bulk.
[00:04:46.369 --> 00:04:50.731]  So why in the world would you buy something so expensive to use?
[00:04:51.031 --> 00:04:52.331]  It makes absolutely no sense.
[00:04:52.571 --> 00:04:55.813]  And not just that, the quantity of it, people vary in their opinion.
[00:04:55.853 --> 00:04:59.694]  I believe the last number I was told was they bought enough ammunition for
[00:05:00.501 --> 00:05:01.261]  Was it 30 years?
[00:05:01.521 --> 00:05:02.281]  20 or 30 years?
[00:05:02.662 --> 00:05:05.862]  And that's calculating the ammunition used at the height of the Iraq War.
[00:05:06.403 --> 00:05:09.243]  So it's a whole lot of bullets for target practice.
[00:05:09.623 --> 00:05:10.964]  I have no idea why you need that.
[00:05:11.224 --> 00:05:12.464]  But it ties into our next story.
[00:05:12.844 --> 00:05:18.906]  Retired Army Captain warns DHS acquisitions are a bold threat of war against the American people.
[00:05:19.426 --> 00:05:21.088]  And he goes on to say, you can see his quotes right there.
[00:05:42.745 --> 00:05:54.534]  It is with gravest concern that I write you today concerning the recent appropriation of weapons by the Department of Homeland Security that can only be understood as a bold threat of war by the agency.
[00:05:55.075 --> 00:05:57.857]  Now he has a very good point, pointing out not just the bullets,
[00:05:58.257 --> 00:06:04.479]  But also, I believe it's 2,000-plus weapons, fully automatic AR-15s that were purchased by the Department of Homeland Security.
[00:06:04.759 --> 00:06:07.700]  Even though they say they don't want you to have one, they bought fully automatic ones.
[00:06:08.080 --> 00:06:09.120]  And also tanks.
[00:06:09.400 --> 00:06:11.161]  And that actually goes into our next article.
[00:06:11.621 --> 00:06:12.041]  Video.
[00:06:12.321 --> 00:06:15.122]  Hundreds of DHS armored trucks on the move.
[00:06:15.522 --> 00:06:17.522]  And we'll play this video for you in just one second.
[00:06:17.542 --> 00:06:18.443]  You can see right there.
[00:06:18.683 --> 00:06:19.403]  And just let it run.
[00:06:19.443 --> 00:06:23.624]  And I want everybody to take into account how many trucks are on this train.
[00:06:24.104 --> 00:06:26.965]  Look at all those armored personnel vehicles.
[00:06:27.425 --> 00:06:30.988]  I mean, those things are supposed to be mine-proof, or excuse me, at least mine-resistant.
[00:06:31.068 --> 00:06:35.012]  And you'll see in just one second, yeah, there are some dump trucks and other things on there.
[00:06:35.392 --> 00:06:39.195]  But a good number of those trucks are armored personnel vehicles.
[00:06:39.575 --> 00:06:41.277]  And people say, well, those are for the military.
[00:06:41.597 --> 00:06:43.839]  I'm sure the military does use things like that.
[00:06:44.139 --> 00:06:50.802]  But we showed you the video last week, I believe it was, or maybe the week before, of the guy from DHS saying, hey, these are for us.
[00:06:50.902 --> 00:06:53.563]  They have DHS painted all over the vehicles.
[00:06:53.583 --> 00:06:55.444]  They have police painted all over the vehicles.
[00:06:55.744 --> 00:06:59.805]  So yes, the military may use things like that, but DHS is planning to use them as well.
[00:07:00.106 --> 00:07:01.406]  And for what reason, you might ask?
[00:07:01.706 --> 00:07:03.327]  They say it's for warrant enforcement.
[00:07:03.607 --> 00:07:08.152]  That's not us saying that, that's what they said they plan to use these things for, warrant enforcement.
[00:07:08.472 --> 00:07:13.457]  Your neighborhood police drive around in a sedan, black and white, they use that for warrant enforcement.
[00:07:13.697 --> 00:07:17.260]  So I'm curious what the DHS needs these big tank-like things for.
[00:07:17.541 --> 00:07:19.523]  And maybe they are going to use them for warrant enforcement.
[00:07:19.763 --> 00:07:22.005]  But my thing is, if they use these for warrant enforcement,
[00:07:22.245 --> 00:07:25.427]  What are they going to use for some actual tactical situation?
[00:07:25.447 --> 00:07:28.769]  Are they going to fly down the Death Star when they have another Chris Dorner?
[00:07:29.189 --> 00:07:29.550]  I don't know.
[00:07:29.610 --> 00:07:31.150]  It sounds completely ridiculous to me.
[00:07:31.431 --> 00:07:36.013]  But we'll switch gears right here to McCain gets behind Senate attack on Second Amendment.
[00:07:36.414 --> 00:07:37.234]  No surprise there.
[00:07:37.294 --> 00:07:40.496]  You know, I got guys, freedom-hating guys like John McCain.
[00:07:40.896 --> 00:07:50.022]  Republican Arizona Senator John McCain will work with Senate Democrats on legislation to expand background checks for private sales of firearms between individuals.
[00:07:50.422 --> 00:07:57.867]  The article goes on to say, arguments presented by Democrats have consistently portrayed the Second Amendment as a hunting and self-defense right.
[00:07:58.307 --> 00:08:06.472]  The founders, however, insisted the Second Amendment was included in the Bill of Rights so that citizens would be sufficiently armed to resist tyranny.
[00:08:07.012 --> 00:08:14.497]  Senate Majority Leader Harry Reid, a Nevada Democrat, will introduce bipartisan gun violence legislation on the Senate floor in April.
[00:08:14.837 --> 00:08:19.160]  It is uncertain if the bill will get the 60 votes required to beat a filibuster.
[00:08:19.815 --> 00:08:36.590]  It's not just McCain, it's not just Reid, you also have of course Mrs. Feinstein and also Mark Kirk also blowing the horn of gun, sticky hand gun taking legislation, but also we have this, Obama to hit the trail on a mission to revive gun control fight.
[00:08:36.750 --> 00:08:42.896]  Yeah, he told you he would not take your rifle away, would not take your shotgun away and he seems like he's doing just that.
[00:08:43.536 --> 00:08:56.440]  With the Senate Majority Leader Harry Reid planning to bring a scaled-back package of gun legislation to the Senate floor early next month, the White House is hoping they can rebuild some momentum that's been lost in the months since the Newtown shootings.
[00:08:56.980 --> 00:09:04.442]  A White House official would not comment on the timing of more presidential travel, but said people should expect to see Obama travel outside D.C.
[00:09:04.482 --> 00:09:10.124]  to bolster his insistence that gun control measures, quote, deserve a vote in Congress.
[00:09:10.604 --> 00:09:11.745]  We're not taking your rifle away.
[00:09:11.785 --> 00:09:12.947]  We're not taking your shotgun away.
[00:09:13.307 --> 00:09:16.150]  It wasn't even six months ago, I don't think, that he was debating Mitt Romney.
[00:09:16.170 --> 00:09:17.912]  He was saying he wants to take away your AK-47.
[00:09:17.952 --> 00:09:20.174]  He wants to take away your, quote, cheap handgun.
[00:09:20.494 --> 00:09:22.056]  And you say, well, you don't need an AK-47.
[00:09:22.156 --> 00:09:27.742]  A low-capacity magazine put inside an AK-47 is the same thing as a deer rifle.
[00:09:27.842 --> 00:09:29.263]  I mean, just think about it.
[00:09:29.283 --> 00:09:30.264]  That's what the thing is.
[00:09:30.925 --> 00:09:33.986]  We'll move on now to some fairly local news here in Austin.
[00:09:34.647 --> 00:09:37.428]  In gun show loophole, Acevedo tells U.S.
[00:09:37.488 --> 00:09:38.048]  House panel.
[00:09:38.308 --> 00:09:41.509]  Now this is our police chief here in Austin, Art Acevedo.
[00:09:42.050 --> 00:09:47.552]  The universal background check is the first and essential step toward comprehensive reform of gun laws.
[00:09:48.052 --> 00:09:49.313]  As Vado told the U.S.
[00:09:49.613 --> 00:10:03.104]  House's Gun Violence Prevention Task Force, without this essential element, there can be no lasting impact on gun violence because without this legislation, guns will continue to be sold to those who are not permitted to possess a firearm.
[00:10:03.345 --> 00:10:08.309]  Moving down, he specifically cited the shootings at the elementary school in Newtown, Connecticut.
[00:10:08.789 --> 00:10:21.356]  Specifically talking about the Sandy Hook shootings, these people keep using this instance as a need for stricter background check control, more hoops and flaming loops to jump through to get your firearms.
[00:10:21.696 --> 00:10:27.840]  But the Newtown situation, regardless if you believe that particular situation or not, I'm still waiting to see the surveillance footage.
[00:10:28.200 --> 00:10:31.902]  I mean, my condolences to all those, but I think there's some things that have not been told about that.
[00:10:32.322 --> 00:10:37.266]  But that instance in particular, that is the ideal situation of a background check.
[00:10:37.666 --> 00:10:44.131]  You have a guy who was turned down, I believe, five times that we know about just because of the background check system.
[00:10:44.171 --> 00:10:45.332]  The system worked.
[00:10:45.832 --> 00:10:46.533]  What is the problem?
[00:10:46.553 --> 00:10:51.737]  Why do they keep bringing this up, saying that we need stricter background checks when the background check worked in that situation?
[00:10:52.117 --> 00:10:59.062]  That's like if you buy a P90X and you lose 50 pounds in 80 days, but you have a 90-day warranty, so you send it back anyway.
[00:10:59.082 --> 00:11:00.343]  Like, ha ha ha, give me my money back.
[00:11:00.583 --> 00:11:04.007]  This is pretty much the same thing they're doing with this background situation.
[00:11:04.027 --> 00:11:07.610]  The Sandy Hook, the background situation worked, but they're still telling you that it didn't work.
[00:11:08.171 --> 00:11:11.975]  And also, I believe we have a clip from Alex Jones talking about just this issue.
[00:11:14.375 --> 00:11:33.748]  Art, if you think the citizens not having guns, this goes for the rest of the police chiefs that work for the foreign banks one way or another, if you think that guns are so evil in citizens' hands, you should move back to Cuba, you should move to North Korea, you should move to Communist China where they got mobile execution vans.
[00:11:34.228 --> 00:11:40.072]  How dare you come to America and flee tyranny and try to put it on me and my family!
[00:11:40.252 --> 00:11:42.354]  And I take it real personal because I know you!
[00:11:44.761 --> 00:11:46.482]  I take it real personal.
[00:11:47.282 --> 00:11:49.283]  I get sick when I see all these police chiefs up there.
[00:11:49.303 --> 00:11:51.964]  I'm going to roll some video for radio listeners.
[00:11:52.104 --> 00:11:53.744]  We'll post it up at InfoWars.com.
[00:11:53.944 --> 00:11:57.766]  But here's FBI.gov and the crime statistics from 1991 to 2011.
[00:11:57.806 --> 00:11:59.646]  The latest numbers.
[00:12:00.167 --> 00:12:05.689]  A 49% drop in violent crime nationwide on average.
[00:12:06.249 --> 00:12:07.889]  And you can look at the graph of gun ownership.
[00:12:08.670 --> 00:12:09.310]  It goes up.
[00:12:09.750 --> 00:12:10.650]  The crime goes down.
[00:12:10.790 --> 00:12:11.751]  You know that.
[00:12:12.785 --> 00:12:21.867]  You know within one year of Texas having concealed carry, violent home invasions, carjackings, and other aggravated assaults went down by more than 30%.
[00:12:22.887 --> 00:12:28.268]  You know more than 25% in Florida, and you know the same similar number in every stinking state in this country.
[00:12:28.488 --> 00:12:30.089]  And I am sick of you and your hoax.
[00:12:30.429 --> 00:12:39.631]  You want our guns because the globalists are getting ready to implode this country, and you want us to be like people in Mexico who had their guns taken a hundred years ago, and who have been slaves ever since!
[00:12:42.233 --> 00:12:49.113]  Mexico has a total ban on citizen guns and they have the highest gun crime rate in the world.
[00:12:52.182 --> 00:12:53.802]  There's your message, Arte Cerveda.
[00:12:53.822 --> 00:12:55.543]  Go ahead and go get your Justice Department job.
[00:12:55.803 --> 00:12:57.223]  Maybe you'll really show off for them.
[00:12:57.483 --> 00:13:01.744]  Maybe you'll go to the Justice Department and be like Eric Holder, who was involved in Oklahoma City.
[00:13:02.064 --> 00:13:07.745]  Maybe you'll go there and teach us how to ship guns into Mexico to kill thousands of innocent people, so you can blame it.
[00:13:08.125 --> 00:13:11.586]  Maybe you'll show the Justice Department what a good collaborator you are.
[00:13:11.906 --> 00:13:18.527]  Why don't you go back to Cuba and go apologize to Fidel Castro, who's killed hundreds of thousands of his own people after taking their guns.
[00:13:18.707 --> 00:13:21.608]  Why don't you go, Comrade Fidel, I love you!
[00:13:22.608 --> 00:13:23.789]  I love what you do.
[00:13:23.889 --> 00:13:25.810]  I want to take the guns from America.
[00:13:26.050 --> 00:13:29.953]  Why don't you come to America, Fidel, and help us run everything there?
[00:13:30.233 --> 00:13:31.974]  We will take the guns, Fidel.
[00:13:32.234 --> 00:13:35.356]  I will prove to you, comrade, what we will do to them!
[00:13:35.456 --> 00:13:36.657]  Hey!
[00:13:36.677 --> 00:13:44.102]  Oh, I'm supposed to just go, oh, my police chief says put felony if I have over a seven-round mag.
[00:13:44.362 --> 00:13:45.803]  He says shut down the gun show.
[00:13:46.403 --> 00:13:48.044]  Oh, I can't give my dad a gun.
[00:13:48.284 --> 00:13:49.305]  He can't give me a gun.
[00:13:51.801 --> 00:13:53.701]  All right, another good rant there from Alex.
[00:13:54.001 --> 00:13:56.302]  Now I want to just direct people's attention to this site.
[00:13:56.662 --> 00:14:00.223]  The campaign to close the gun show loophole, you can see it right there on your screen.
[00:14:00.523 --> 00:14:04.564]  This is just not a Texas thing, and I'm sure people are aware of that as of now.
[00:14:04.964 --> 00:14:08.885]  I mean, if this can happen in Texas, where can't this happen within the United States?
[00:14:09.165 --> 00:14:15.386]  We have our police chief on board with this gun grab, also our mayor of Austin, as well as the mayor of Dallas.
[00:14:15.786 --> 00:14:18.007]  San Antonio, just to name a few.
[00:14:18.367 --> 00:14:19.488]  So definitely be aware of this.
[00:14:19.568 --> 00:14:20.508]  So it's not just Texas.
[00:14:20.528 --> 00:14:24.490]  You have Colorado and other states that are historically pro-gun.
[00:14:24.910 --> 00:14:26.491]  And they say this gun show loophole.
[00:14:26.551 --> 00:14:38.396]  I just want people to know, for people who have never bought a gun or they hear Feinstein lie about it on TV, this notion that you can go to a gun show and buy whatever you want without any type of oversight or background check is not entirely true.
[00:14:38.536 --> 00:14:40.657]  Are there private sellers at gun shows?
[00:14:40.697 --> 00:14:40.958]  Yes.
[00:14:41.138 --> 00:14:43.799]  Do all private sellers require a background check?
[00:14:43.939 --> 00:14:44.019]  No.
[00:14:44.019 --> 00:14:44.119]  No.
[00:14:44.459 --> 00:14:54.650]  But if you go to a gun show and you buy your firearm from a licensed dealer such as I have, I've been to two different gun shows, bought two different firearms from two different people, and both times they ran a background check on me.
[00:14:54.930 --> 00:14:59.495]  So this notion that you can just go walk in a gun show, pay some of my cash, and walk out with a bazooka is not...
[00:14:59.915 --> 00:15:02.577]  Yeah, I mean, it doesn't happen like that every single day.
[00:15:02.897 --> 00:15:09.341]  I mean, all the private sellers, of course, but there are also still plenty of people who do require a background check, so definitely be aware of that.
[00:15:09.702 --> 00:15:11.983]  And we'll move on now to our last article for the night.
[00:15:12.483 --> 00:15:15.605]  Virus goes missing at UTMB lab.
[00:15:16.086 --> 00:15:23.911]  A vial containing a potentially harmful virus has gone missing from a laboratory at the University of Texas Medical Branch, officials say.
[00:15:24.251 --> 00:15:26.853]  And for more on that, we have a special report from Alex Jones.
[00:15:29.486 --> 00:15:40.205]  I have found that even the most ignorant people I talk to are aware of the long history of the so-called US government and other Western governments.
[00:15:40.836 --> 00:15:45.239]  Testing chemicals, biologicals, radiologicals on U.S.
[00:15:45.279 --> 00:15:46.820]  cities from St.
[00:15:46.860 --> 00:15:53.005]  Louis, Missouri to New York City, New York to Santa Fe, New Mexico to Dallas, Texas.
[00:15:53.485 --> 00:16:00.731]  There have been thousands of programs declassified and some programs or operations had thousands of tests
[00:16:01.571 --> 00:16:02.071]  Within them.
[00:16:02.691 --> 00:16:05.332]  And you can look this up on the Department of Energy's own website.
[00:16:06.093 --> 00:16:13.835]  In one decade-long program, 4,300 plus foster children radiated to death.
[00:16:14.795 --> 00:16:20.057]  That's putting children in a chamber and giving them different dosages of radiation.
[00:16:20.497 --> 00:16:22.438]  In some cases, they were dead within minutes.
[00:16:23.418 --> 00:16:24.218]  They were the lucky ones.
[00:16:24.299 --> 00:16:25.419]  Some, it took years to die.
[00:16:26.101 --> 00:16:29.323]  And there's the ringworm children testing in Israel, 110,000 kids.
[00:16:29.863 --> 00:16:31.864]  That's why I say the government's bad.
[00:16:32.605 --> 00:16:35.166]  That's why we don't turn our guns in.
[00:16:36.167 --> 00:16:38.408]  Because our government cannot be trusted.
[00:16:38.748 --> 00:16:40.109]  Our founders taught us that.
[00:16:41.470 --> 00:16:46.753]  And at InfoWars.com, we try to focus in on real threats.
[00:16:47.713 --> 00:16:48.334]  Real threats.
[00:16:49.704 --> 00:16:51.725]  There are over 200 admitted.
[00:16:52.366 --> 00:16:53.066]  They've got more.
[00:16:53.606 --> 00:16:56.548]  Level 4 bioweapons labs in the U.S.
[00:16:57.189 --> 00:16:58.990]  There were only about 100 10 years ago.
[00:16:59.190 --> 00:16:59.750]  They've doubled.
[00:17:01.171 --> 00:17:03.213]  And they develop bioweapons.
[00:17:03.453 --> 00:17:05.454]  Airborne Ebola, just one example.
[00:17:05.734 --> 00:17:10.657]  Weaponized mousepox that kills 90 plus percent of humans it comes in contact with.
[00:17:11.298 --> 00:17:17.682]  And the one facility out of over 200 that I fingered as the type of place I expect something bad to happen at,
[00:17:18.755 --> 00:17:25.097]  is the Galveston facility built on Barrier Island that is the biggest U.S.
[00:17:25.258 --> 00:17:27.178]  loss of life from a national disaster ever.
[00:17:27.338 --> 00:17:30.680]  Almost 10,000 people died when a hurricane hit it 100 years ago.
[00:17:30.700 --> 00:17:31.620]  You can look that up.
[00:17:32.100 --> 00:17:35.541]  And it gets totally flooded all the time, devastated all the time.
[00:17:37.062 --> 00:17:40.443]  And they've got a level four bioweapons lab there in a level two facility.
[00:17:40.683 --> 00:17:44.885]  That means swipe cards and kind of a little glass enclosure lab areas.
[00:17:46.283 --> 00:17:47.184]  And they've got everything.
[00:17:47.224 --> 00:17:53.127]  They've got weaponized stuff in there that is airborne and kills almost everybody that comes in contact with it.
[00:17:54.188 --> 00:17:55.709]  Now they have missing...
[00:17:57.451 --> 00:18:09.717]  Enough of a type of hemorrhagic fever or Venezuelan jungle fever that's airborne and that they thought was a bioweapon attack back in the 90s when it first showed up because it was so deadly.
[00:18:10.097 --> 00:18:22.824]  And then of course our loving government got samples of it, cultured it, and now a container of it, enough to infect millions of mice and rats, that's who spreads it, is now missing.
[00:18:23.544 --> 00:18:26.065]  And of course it may turn out, you know, later that it was just misplaced.
[00:18:26.105 --> 00:18:33.429]  The point is, is that this is the type of cover story they're going to use when they release a 13 monkey type scenario.
[00:18:33.999 --> 00:18:37.681]  I covered that in my film, End Game Blueprint for Global Enslavement.
[00:18:38.362 --> 00:18:41.383]  Now this story is out and everybody's saying, Alex, you've got to cover it, you've got to cover it.
[00:18:41.744 --> 00:18:44.225]  This is not the first time this lab has had problems.
[00:18:44.705 --> 00:18:47.587]  It's been hit by hurricanes and had massive damage.
[00:18:48.308 --> 00:18:56.893]  Now a level four is supposed to have three rows of fence, machine gun nest, minefield, and then it's supposed to be underground at least three stories.
[00:18:58.137 --> 00:19:04.479]  With explosive firebombs in it to burn out everything if anything gets released.
[00:19:04.899 --> 00:19:05.479]  It's automated.
[00:19:05.499 --> 00:19:06.639]  Of course, they just don't do that.
[00:19:06.939 --> 00:19:08.280]  That's the international treaties.
[00:19:09.020 --> 00:19:16.762]  Okay, so now hemorrhagic fever, a really nasty type of jungle, Venezuelan hemorrhagic fever is missing.
[00:19:17.282 --> 00:19:18.363]  And hey, I know what you'll just do.
[00:19:18.403 --> 00:19:19.424]  You'll just say it doesn't exist.
[00:19:19.444 --> 00:19:19.964]  I understand.
[00:19:20.865 --> 00:19:21.985]  There's no three billion bullets.
[00:19:22.005 --> 00:19:23.546]  There's no two billion bullets.
[00:19:23.566 --> 00:19:25.548]  There's no thousands of armored vehicles.
[00:19:25.588 --> 00:19:26.508]  There's no checkpoints.
[00:19:26.548 --> 00:19:32.152]  There's no FEMA being set up as a domestic military, a new branch of the military for the American people.
[00:19:32.292 --> 00:19:33.033]  Everything's fine.
[00:19:33.593 --> 00:19:36.074]  And Obama wouldn't raise taxes on poor people, but he did.
[00:19:36.675 --> 00:19:39.496]  But it's okay because he said he wouldn't, and being lied to is a great thing.
[00:19:39.977 --> 00:19:43.218]  Here's an article a few years ago, Biolab and Galveston Raises Concerns.
[00:19:43.919 --> 00:19:45.279]  New York Times was reporting on that.
[00:19:45.660 --> 00:19:47.461]  Here's our report last year.
[00:19:47.521 --> 00:19:53.204]  There are literally more than 50 reports we've put out, and I told my crew to go out and do this report.
[00:19:53.664 --> 00:20:01.068]  We went out and asked Austinites, are you concerned about the 30 or so level 4 bioweapons labs in Texas alone?
[00:20:02.065 --> 00:20:03.045]  Are you concerned about this?
[00:20:03.706 --> 00:20:13.389]  Do you know that Lyme's disease, weaponized type of syphilis, that's what it is, they call it Lyme's disease, was bred at Plum Island off the coast of New York and released in New York?
[00:20:13.989 --> 00:20:14.970]  Maybe you don't care about that.
[00:20:15.570 --> 00:20:16.871]  Maybe you don't care about any of this.
[00:20:16.911 --> 00:20:28.475]  You know, Dr. Eric Pianca at UT, we cover this in my film Endgame, Blueprint for Global Enslavement, Dr. Eric Pianca, he came out
[00:20:30.069 --> 00:20:30.889]  We're good to go.
[00:20:48.047 --> 00:20:52.830]  So, you know, the FBI went and visited him about it, but it's par for the course.
[00:20:53.231 --> 00:20:59.795]  He had graduate students and people sending me emails saying, he doesn't go far enough, we need to get rid of all humans.
[00:21:00.456 --> 00:21:09.182]  And then I looked up one of the graduate students, now a PhD doctor, and she was working in Level 4 Bioweapon Lab in Southern California.
[00:21:10.102 --> 00:21:18.447]  These are people that say kill everyone and they're working in biology at UT in bioweapons areas like Pionka has access to.
[00:21:18.607 --> 00:21:29.674]  He's the head of one of the departments and on his own official UT website, last time I checked, been up there for like six, seven years, he talks about how much he loves Lucifer.
[00:21:30.374 --> 00:21:30.734]  I don't know.
[00:21:30.774 --> 00:21:31.615]  Loves Lucifer.
[00:21:31.635 --> 00:21:33.797]  Wants everybody to die.
[00:21:34.037 --> 00:21:36.338]  And his graduate students all swarmed in on me.
[00:21:37.099 --> 00:21:39.260]  And I looked up one of them that said all humans should die.
[00:21:39.300 --> 00:21:40.621]  And she works in bioweapons.
[00:21:41.162 --> 00:21:43.083]  Just, you know, not a big deal.
[00:21:43.763 --> 00:21:45.364]  Nothing to look into or anything.
[00:21:45.404 --> 00:21:46.425]  You know, I'm an extremist.
[00:21:46.465 --> 00:21:47.286]  I'm a bad man.
[00:21:47.446 --> 00:21:53.430]  Let's just trust a government that's been caught killing tens of thousands of us on different secret tests that they've declassified.
[00:21:54.017 --> 00:21:55.197]  Let's just trust these people.
[00:21:55.478 --> 00:21:56.218]  Everything's fine.
[00:21:56.618 --> 00:22:05.061]  And let's just trust the fact that they're gearing up for domestic warfare with two billion plus bullets and thousands of armored vehicles and domestic security forces that they all admit.
[00:22:06.101 --> 00:22:13.384]  I am begging all of you to go to InfoWars.com and to go to this area of the site.
[00:22:13.504 --> 00:22:19.746]  A retired Army Captain warns DHS acquisitions are bold threat of war against the American people.
[00:22:20.575 --> 00:22:20.875]  I think so.
[00:22:43.058 --> 00:22:47.202]  So we'll get this video that I'm shooting right now up on InfoWars.com.
[00:22:47.622 --> 00:22:49.064]  There's an important rebroadcast today.
[00:22:49.104 --> 00:22:50.285]  I'm doing 4 to 6 p.m.
[00:22:50.705 --> 00:22:54.689]  on the Jenna 21 and with George Norrie with the Syndicated Sunday Show, which is usually live.
[00:22:55.150 --> 00:22:57.792]  And I'll be back tomorrow, live, 11 a.m.
[00:22:57.832 --> 00:22:59.814]  Central, with the big official radio show.
[00:22:59.834 --> 00:23:02.297]  But everything is accelerating.
[00:23:03.146 --> 00:23:05.269]  Everything is accelerating.
[00:23:05.289 --> 00:23:06.290]  They're coming after the guns.
[00:23:06.751 --> 00:23:07.171]  Everything.
[00:23:07.552 --> 00:23:08.453]  I told you they would.
[00:23:08.753 --> 00:23:11.216]  Your denial is what is empowering them.
