[00:00:20.285 --> 00:00:23.067]  It's Tuesday, October 8th, 2013.
[00:04:53.861 --> 00:05:00.885]  So they want to just try to dominate now and take over now, and probably start a civil war now, because they don't want us to peacefully take the country back.
[00:05:01.345 --> 00:05:04.367]  They know we're winning the info war, for common sense.
[00:05:05.667 --> 00:05:07.048]  So, it just blows my mind.
[00:05:07.108 --> 00:05:09.690]  Now, shifting gears to something even crazier.
[00:05:10.680 --> 00:05:13.642]  Sixth grade assignment, destroy the Bill of Rights.
[00:05:14.322 --> 00:05:18.504]  Kit Daniels found this on the constitutional assignment of the school year.
[00:05:18.924 --> 00:05:20.905]  This is federally paid for, like Common Core.
[00:05:21.165 --> 00:05:22.966]  Two plus two equals five, that's what they say.
[00:05:23.867 --> 00:05:25.748]  I'm not kidding, two plus two equals five, or you're racist.
[00:05:26.348 --> 00:05:36.913]  Sixth grade assessment, destroy the Bill of Rights, rewrite it to not be evil, and to accept the Patriot Act and the War on Terror, to accept secret arrest and torture.
[00:05:37.293 --> 00:05:38.394]  I mean, this is what they teach
[00:05:39.833 --> 00:05:41.717]  We're good to go.
[00:05:45.652 --> 00:05:51.076]  Now, I want to go to the next report here, just dealing with all of this.
[00:05:51.716 --> 00:05:55.599]  Soon, drones may be able to make lethal decisions on their own.
[00:05:56.079 --> 00:06:00.162]  They've already come out in the last five years in England, Europe, and the U.S.
[00:06:00.222 --> 00:06:01.143]  with autonomous drones.
[00:06:01.183 --> 00:06:01.983]  They're already operating.
[00:06:02.384 --> 00:06:07.547]  Now they're just announcing it to the good little slaves that they will decide when to kill you.
[00:06:07.687 --> 00:06:08.528]  They will decide.
[00:06:08.948 --> 00:06:13.652]  And in the Homeland Security training videos, it shows drones taking out two American
[00:06:14.312 --> 00:06:16.855]  Redneck type selling each other guns in a field.
[00:06:17.716 --> 00:06:22.702]  So this is the type of just tyranny on steroids that we're dealing with.
[00:06:23.103 --> 00:06:25.866]  And then continuing with Warren Buffett, the biggest recipient.
[00:06:26.633 --> 00:06:34.875]  For Berkshire Hathaway and Wells Fargo that he owns and controls, a 400 plus billion in taxpayer money the last five years since 2008.
[00:06:35.735 --> 00:06:45.938]  He's the guy that lobbies to raise poor people and middle class's taxes saying tax rich people more when he wrote the laws to exempt himself to get more of your tax money.
[00:06:45.978 --> 00:06:53.280]  It's the ultra-rich above the law taxing the nouveau riche, the new wealthy, the working class, the blue collar, you name it.
[00:06:54.332 --> 00:06:57.914]  And they're taxing everybody with dollar devaluation that's accelerating.
[00:06:58.234 --> 00:06:59.015]  New article out.
[00:06:59.295 --> 00:07:04.098]  Buffett reaps $10 billion from crisis-error investments just this year.
[00:07:05.185 --> 00:07:09.209]  This is how the insiders work, and then he comes out and says he wants to help.
[00:07:09.729 --> 00:07:11.110]  He wants to help everybody.
[00:07:11.831 --> 00:07:25.303]  We're going to go to break in a moment, but first, dealing with the selective enforcement of government shutdowns, here is a Tyranny Watch report with Gigi Erneta, InfoWars Nightly News reporter, and then we'll be back after the break.
[00:07:29.321 --> 00:07:31.343]  Welcome to Tyranny Watch, I'm Gigi Ornetta.
[00:07:32.043 --> 00:07:35.106]  This administration is definitely tyranny gone wild.
[00:07:35.906 --> 00:07:41.150]  Recently, seniors that were visiting Yellowstone Park were held hostage in their hotels by park rangers.
[00:07:41.491 --> 00:07:54.821]  The group had booked a stay in a hotel within the park, which soon turned into a prison as the visitors were told to remain in the building until their stay expired, despite the fact that the tour guide had already paid the $300 fee to enter the park.
[00:07:55.221 --> 00:07:57.864]  The group had Japanese, Canadians, and Americans.
[00:07:58.464 --> 00:08:00.125]  Now that's a welcome committee.
[00:08:00.445 --> 00:08:01.546]  Way to go, Park Ranger!
[00:08:02.006 --> 00:08:02.607]  USA!
[00:08:02.847 --> 00:08:03.427]  USA!
[00:08:04.328 --> 00:08:13.573]  In New York City, the veterans had gathered at the Vietnam Memorial Plaza to protest the 12th anniversary of the war in Afghanistan by reading out the names of the deceased U.S.
[00:08:13.613 --> 00:08:14.074]  soldiers.
[00:08:14.494 --> 00:08:20.958]  Park Services rejected the group's application to hold a protest at the site, so they hauled off our veterans in paddy wagons.
[00:08:21.198 --> 00:08:31.046]  In Washington, D.C., the police ordered tourists and Vietnam War veterans who were visiting the Vietnam Veterans Memorial Wall to leave the memorial at one point on Friday.
[00:08:31.386 --> 00:08:42.675]  Organizers for the Camino Americano March for Immigration Reform, Susana Flores, confirmed that the Park Service will allow the event to take place under the group's rights granted by the First Amendment.
[00:08:43.055 --> 00:08:51.250]  Some 30 members of Congress, including House Minority Leader Nancy Pelosi, are expected to attend the Camino Americano assemblage.
[00:08:52.037 --> 00:08:53.098]  So let me get this straight.
[00:08:53.719 --> 00:08:56.622]  United States veterans cannot attend their own memorial.
[00:08:57.383 --> 00:09:02.689]  But Senora Flores can have her First Amendment rights to have her rally on immigration reform.
[00:09:03.430 --> 00:09:12.880]  Park rangers shut down a family-owned and fully booked in along the Blue Ridge Parkway in North Carolina on Saturday, driving customers away during the peak tourist season.
[00:09:13.120 --> 00:09:21.224]  Bruce O'Connell, the owner of Pisgah Inn, reopened his lodge after the Park Service demanded he close his business by Thursday due to the partial government shutdown.
[00:09:21.585 --> 00:09:26.948]  These park rangers don't know the Constitution, and they certainly don't know the strength of real Americans.
[00:09:27.508 --> 00:09:28.508]  Back off, Smokey!
[00:09:28.949 --> 00:09:32.391]  Remember, the government will eat their own, so beware!
[00:09:33.587 --> 00:09:35.368]  Now, you can do something about this.
[00:09:35.749 --> 00:09:37.350]  You can stand up against the tyranny.
[00:09:37.810 --> 00:09:42.153]  Go to PrisonPlanet.tv and give your username and password to up to 10 people.
[00:09:42.814 --> 00:09:45.556]  Do you see the division being created by our government?
[00:09:45.996 --> 00:09:48.958]  It seems like they're trying to incite something here in the United States.
[00:09:49.619 --> 00:09:50.699]  And I'm going to leave you with this.
[00:09:51.420 --> 00:09:54.062]  The government still has their gym memberships.
[00:09:54.522 --> 00:09:59.265]  The exclusive gyms available only to members of Congress have remained open throughout the shutdown.
[00:10:00.226 --> 00:10:06.278]  So, their memberships can't be touched during the shutdown, but they can throw Granny out of her home on Lake Mead during the shutdown.
[00:10:06.999 --> 00:10:10.606]  I'm Gigi Ornette for Tyranny Watch on the InfoWars Nightly News.
[00:10:14.901 --> 00:10:20.147]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:10:20.507 --> 00:10:25.593]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:10:26.074 --> 00:10:31.860]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
[00:10:35.996 --> 00:10:42.759]  Alex Jones here to warn you about some of the most important health information you may ever hear.
[00:10:43.399 --> 00:10:51.062]  I'm talking about radiation, radioactive fallout, radioactive particles contaminating the Northern Hemisphere.
[00:10:52.002 --> 00:11:01.486]  Conservatively, since the 1940s, the Northern Hemisphere of our planet has more than doubled its background radiation.
[00:11:02.006 --> 00:11:04.587]  In fact, that was before Fukushima exploded.
[00:11:05.607 --> 00:11:07.468]  Now the levels are going up and up and up.
[00:11:07.588 --> 00:11:13.692]  Fish are contaminated in the Pacific, and the FDA, the EPA, and others, they're not worried about it.
[00:11:14.152 --> 00:11:18.074]  They've been raising the levels of what they claim is safe radioactive particles.
[00:11:18.775 --> 00:11:28.581]  So after more than two years of research into how to protect my family, looking at all the literature, talking to the experts across the board, they agreed iodine is key.
[00:11:29.793 --> 00:11:30.433]  Thanks for watching.
[00:11:47.079 --> 00:11:47.960]  It's not my opinion.
[00:11:48.480 --> 00:11:56.005]  It is admitted that iodine is essential for the health of our bodies overall and nascent iodine is the best form.
[00:11:56.465 --> 00:11:59.427]  Now, we're announcing the launch of Infowarslife.com.
[00:11:59.447 --> 00:12:04.370]  We're going to bring you scores of products over the next few years that we're researching and developing.
[00:12:04.751 --> 00:12:09.654]  But nascent iodine is the first product we're coming out with because it's so important
[00:12:10.094 --> 00:12:13.615]  And it's also listed as a fluoride detoxer.
[00:12:13.635 --> 00:12:15.416]  It does so many other things.
[00:12:15.816 --> 00:12:16.956]  Your body needs it.
[00:12:17.236 --> 00:12:23.678]  And when you don't have enough iodine, forget the radiation, your thyroid absorbs the sodium fluoride and other things.
[00:12:23.918 --> 00:12:31.261]  Nascent Iodine and InfoWars Life Survival Shield in double strength at half the cost of the leading competitors.
[00:12:31.661 --> 00:12:34.942]  Please visit InfoWarsLife.com today.
[00:12:40.273 --> 00:12:41.514]  And we're back, my friends.
[00:12:41.955 --> 00:12:45.979]  We have a new segment weekly on the show called Land of the Free, Home of the Brave.
[00:12:46.540 --> 00:12:50.084]  Because only in the nanny state, good old U.S.
[00:12:50.244 --> 00:12:58.994]  of A., have they banned dodgeball, cartwheels in the last decade all over the country, and now shaking hands or patting someone on the back.
[00:12:59.474 --> 00:13:02.136]  I mean, Supermax prisons are the only place that are this bad.
[00:13:02.536 --> 00:13:04.537]  This is the tyranny of the trendiness.
[00:13:05.177 --> 00:13:15.003]  And now, in Long Island, in New York, in New Jersey, they're banning bringing footballs, anything, to school because you might get hurt.
[00:13:15.763 --> 00:13:20.588]  And Time Magazine makes a joke of saying, you know, don't bring your balls, stop playing with your balls.
[00:13:20.648 --> 00:13:22.730]  But this is deadly serious.
[00:13:22.950 --> 00:13:26.313]  They're training children that if they say bang bang, they get arrested.
[00:13:26.614 --> 00:13:27.414]  It's a thought crime.
[00:13:27.715 --> 00:13:32.860]  You can't write an English class about your dad who's in the army and has an M-16.
[00:13:32.920 --> 00:13:33.681]  You're arrested.
[00:13:33.941 --> 00:13:35.723]  There's no law against writing about that.
[00:13:36.263 --> 00:13:37.544]  These are authoritarians.
[00:13:38.565 --> 00:13:46.890]  Setting the precedent, just like in California and Pennsylvania, they've caught the schools watching kids over government-issued laptops at home.
[00:13:47.810 --> 00:13:48.931]  And then no one gets in trouble.
[00:13:49.031 --> 00:13:50.132]  I mean, it's beyond 1984.
[00:13:50.672 --> 00:13:52.793]  Let me give you a little tidbit here.
[00:13:53.354 --> 00:14:02.399]  Tomorrow on the radio, we're going to air the video that was shot today of 14 out of 20 Austinites signing a petition
[00:14:03.689 --> 00:14:05.070]  The organization's called CHUMPS.
[00:14:05.110 --> 00:14:05.731]  I'm not joking.
[00:14:05.931 --> 00:14:06.732]  This is how dumb they are.
[00:14:07.132 --> 00:14:13.637]  With a petition saying CHUMPS, to make everyone wear helmets to walk around or you're arrested.
[00:14:14.598 --> 00:14:14.918]  Okay?
[00:14:15.419 --> 00:14:17.941]  And if your kids don't wear helmets at all times, you're going to be arrested.
[00:14:18.261 --> 00:14:24.606]  So, and as long as we said it's for Obama, 14 out of 20 Austinites signed it.
[00:14:25.267 --> 00:14:28.749]  Leanne has coined a new term called LiberTerrorist.
[00:14:29.070 --> 00:14:30.111]  Is that how you pronounce it, Leanne?
[00:14:30.759 --> 00:14:31.139]  That's right.
[00:14:31.499 --> 00:14:35.242]  And a few libertarians she ran into said, no, I think you shouldn't have to wear a helmet.
[00:14:35.622 --> 00:14:38.363]  And she told them, you're a liberal terrorist.
[00:14:38.403 --> 00:14:39.584]  And then they got very upset.
[00:14:40.084 --> 00:14:42.666]  So that's going to be on the radio tomorrow, slash TV.
[00:14:42.686 --> 00:14:45.608]  And then we'll have excerpts of the nightly news as well on the Wednesday edition.
[00:14:46.088 --> 00:14:49.570]  But this is the level of brainwashing we're talking about.
[00:14:49.890 --> 00:14:58.815]  Now, I want to go out to break here, because after the news tonight, we have a special report with the land commissioner, who's going to back armed citizens marching at the Alamo, because that's Texas law.
[00:14:58.835 --> 00:14:59.696]  You can open carry.
[00:15:00.626 --> 00:15:01.347]  The second amendment.
[00:15:01.788 --> 00:15:05.313]  But the San Antonio police chief says he's going to arrest...
[00:15:06.354 --> 00:15:12.158]  Anybody that exercises their Second Amendment, we're going to have reporters there coming up in a week and a half in San Antonio.
[00:15:12.458 --> 00:15:15.640]  So here's that clip as we go out to break and come back with Stuart Rhodes in studio.
[00:15:16.121 --> 00:15:18.962]  This isn't about violating people's rights.
[00:15:19.223 --> 00:15:20.604]  It's not about gun control.
[00:15:20.764 --> 00:15:21.944]  It's not about politics.
[00:15:22.885 --> 00:15:24.706]  It's about the state law.
[00:15:25.007 --> 00:15:35.634]  If the firearm is carried in a manner calculated to cause alarm, and in the officer's opinion at the Starbucks, this was the case, and that's why those people were cited.
[00:15:59.781 --> 00:16:10.904]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:16:11.385 --> 00:16:16.146]  That is, taking the seeds of plants and then replanting them to produce more.
[00:16:16.766 --> 00:16:25.769]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:16:26.309 --> 00:16:31.132]  Here are some of the amazing deals at InfoWarsSeedCenter at InfoWarsShop.com.
[00:16:31.572 --> 00:16:41.138]  The Survival Seed Vault by My Patriot Supply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest times.
[00:16:41.398 --> 00:16:48.762]  We also have starter varieties of the Deluxe Seed Packages for fruit, salad, salsa, peppers, medical herbs, and more.
[00:16:49.203 --> 00:16:53.045]  Go to the InfoWarsSeedCenter at InfoWarsShop.com.
[00:16:53.745 --> 00:16:54.326]  And remember,
[00:16:55.166 --> 00:16:57.569]  The revolution against tyranny is growing.
[00:17:11.207 --> 00:17:14.309]  Up to 95% of hydrofluorosilicic acid.
[00:17:14.429 --> 00:17:25.296]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:17:25.436 --> 00:17:31.740]  It is the only one that does it and out of the gates we have it discounted at 10% off with promo code water.
[00:17:31.920 --> 00:17:39.265]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines,
[00:17:39.565 --> 00:17:48.890]  Ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:17:49.230 --> 00:17:54.533]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:18:02.082 --> 00:18:06.525]  And welcome back to this Tuesday edition of Infowars Nightly News.
[00:18:06.625 --> 00:18:10.708]  In studio with us, we have Stuart Rhodes, the founder of Oath Keepers.
[00:18:10.768 --> 00:18:30.803]  He's a constitutional lawyer and of course worked in Ron Paul's office, but now he's more widely known for the essential work he's doing with more than 30,000 members and hundreds of thousands of people that are supporters who are former military or current military or former or current police, saying one simple thing, they will not follow unlawful, unconstitutional orders.
[00:18:31.383 --> 00:18:37.091]  And tomorrow he's going to be in studio for a full hour on the radio talking about solutions and the big picture.
[00:18:37.592 --> 00:18:43.880]  And he's also here to tape some interviews for Obama Deception 2 that's now coming out March 15, 2014.
[00:18:47.253 --> 00:18:59.157]  But in the ten minutes we have here on the nightly news tonight, before we go to break and come back with Ja'Kari Jackson and his interview with the state official, the land commissioner, on the armed march in San Antonio that's coming up.
[00:18:59.177 --> 00:19:07.079]  Before we go to break and come back with that, I wanted to get him to talk about the Second Amendment itself and why the tyrants hate it so much and why
[00:19:07.779 --> 00:19:15.802]  The Liberty Teeth are the number one target, not just our free speech, but our right to self-defense, are the number one target of the kleptocrats running our society.
[00:19:16.062 --> 00:19:31.387]  And that's why I have their ultimate enemy, a Barrett .50 caliber rifle, that's only been used in one crime since it's been available in the 1980s, but that they're trying to ban right now, not just legislatively here, but under the UN Treaty as well.
[00:19:31.427 --> 00:19:32.487]  So I thought I would bring out
[00:19:33.507 --> 00:19:39.330]  Well, I've talked to people who came from the Soviet Union and those who survived East Germany.
[00:19:50.635 --> 00:19:52.756]  Like Gunter Spence, who you know from here in Texas.
[00:19:52.796 --> 00:19:54.137]  He was an East German Lieutenant Colonel.
[00:19:54.537 --> 00:20:01.400]  And they say over and over again, the big difference between what they went through and what we're going through right now is we still have the right to bear arms.
[00:20:01.760 --> 00:20:03.021]  It's a critical difference.
[00:20:03.041 --> 00:20:05.502]  And the founders put it there for a reason.
[00:20:05.882 --> 00:20:13.446]  It's meant to be the people's preservation of their own military capacity, so that they are their own security, which is a safe place to put
[00:20:13.946 --> 00:20:15.347]  The power of the country.
[00:20:15.747 --> 00:20:21.350]  Their answer to the ancient question, who should guard the guardians, is that we should be our own guardians and guard ourselves.
[00:20:21.430 --> 00:20:24.332]  A citizen's militia, a citizen's army is the answer.
[00:20:24.732 --> 00:20:34.917]  Not professional police, professional warriors, because every time you have a class of warriors to protect the society and everyone else is just a worker bee, what do you wind up with?
[00:20:34.957 --> 00:20:39.580]  You wind up with a dictatorship where the warriors figure out, we might as well be running everything.
[00:20:39.980 --> 00:20:40.660]  That's what happens.
[00:20:40.720 --> 00:20:43.441]  And so they wanted us to maintain our own military capacity.
[00:20:43.901 --> 00:20:54.905]  And of course, anyone who designs to strip you of your rights, the first thing they want to do is disarm you so that you're not capable of taking care of yourself, you're dependent upon them, and so you're not a threat to them.
[00:20:55.265 --> 00:20:59.946]  And why would they feel threatened by the American people if they didn't have bad designs for us?
[00:21:00.206 --> 00:21:07.649]  So obviously, this makes them wet their pants because they know that this will prevent them from being able to fulfill their ultimate goals.
[00:21:09.196 --> 00:21:12.558]  Switzerland is really where we got the model, that and the Dutch.
[00:21:12.598 --> 00:21:17.121]  They phased out their second amendment there, but we got the model from the Swiss and others.
[00:21:17.241 --> 00:21:20.063]  Switzerland has the lowest crime rate in the world, not just Europe.
[00:21:20.704 --> 00:21:26.567]  And I noticed they've been drilling their own citizen military for the collapse of Europe under socialism.
[00:21:27.048 --> 00:21:30.110]  They're preparing to repel the hordes of people during the collapse.
[00:21:30.510 --> 00:21:30.930]  Right.
[00:21:30.950 --> 00:21:31.331]  The French.
[00:21:32.518 --> 00:21:33.019]  Exactly.
[00:21:33.339 --> 00:21:39.946]  And so it's inevitable on this socialist trajectory of Cloward and Piven that things are going to collapse.
[00:21:40.507 --> 00:21:42.509]  This is what Soviet-style government does.
[00:21:43.310 --> 00:21:48.315]  But how will that work for them here when there are 400 million guns and people aren't going to turn them in?
[00:21:48.656 --> 00:21:54.262]  How is it going to work for the secret police when they try to go out, like Shultz and Eason talked about, and take people away?
[00:21:54.702 --> 00:21:55.483]  Well, two things.
[00:21:55.803 --> 00:21:58.525]  One is they want everyone to be afraid of organizing.
[00:21:58.765 --> 00:22:02.487]  That's the effect of the NSA spying on all of us.
[00:22:02.527 --> 00:22:08.771]  You get people who are afraid to associate with each other, afraid to even go on Facebook, and so you self-censor so you're isolated.
[00:22:09.011 --> 00:22:12.473]  It's much easier then to go and grab you in the middle of the night, one guy at a time.
[00:22:12.874 --> 00:22:18.917]  You might have a Barrett in your closet, but if you're in your underwear in the middle of the night when you come through the door with 12 guys, you really can't use it.
[00:22:19.858 --> 00:22:20.718]  They want to make us dependent?
[00:22:39.451 --> 00:22:47.260]  We've got to become independent, and even if we're not 100%, that doesn't matter.
[00:22:47.781 --> 00:22:53.548]  1%, 2%, 5%, 10%, the journey of a thousand miles, the old Chinese proverb, starts with a single step.
[00:22:53.808 --> 00:22:55.070]  We need to start that process.
[00:22:55.430 --> 00:22:56.171]  That's exactly right.
[00:22:56.251 --> 00:23:05.598]  And don't just, all the big lines around the corner at the gun shows, the same thing should be going on inside of Mormon canneries or any place that sells food storage outside of Costco.
[00:23:05.858 --> 00:23:12.264]  You should be thinking about logistics, not just guns and ammo, but also food, medicine, communications, fuel.
[00:23:12.644 --> 00:23:16.587]  All of those things are essential for maintaining your liberty and independence.
[00:23:17.048 --> 00:23:23.353]  I didn't mean to go there, but since they're putting up infowarestore.com, mypatriotsupply.com, and the great folks there,
[00:23:25.307 --> 00:23:27.609]  That's our great sponsor, High Quality Storable Food.
[00:23:27.689 --> 00:23:34.014]  But the issue is, DHS six months ago came to them and said, we want to buy everything you've got, but don't tell anybody.
[00:23:34.354 --> 00:23:36.156]  And they said no and went public with the letter.
[00:23:36.636 --> 00:23:42.561]  And it turned out all the other big suppliers, they're basically, that's the reason there's now a shortage of storable food and prices going up, just like the bullets.
[00:23:42.901 --> 00:23:45.963]  The government's buying up all the food, the bullets, you name it.
[00:23:46.264 --> 00:23:46.484]  Right.
[00:23:46.744 --> 00:23:49.846]  But were they doing that for the American people or just for their own units?
[00:23:50.006 --> 00:23:50.747]  No, it's for themselves.
[00:23:50.787 --> 00:23:51.468]  Right, exactly.
[00:23:52.068 --> 00:23:53.209]  So they're not preparing us.
[00:23:53.229 --> 00:23:56.833]  They're not preparing us to weather out an economic collapse and chaos.
[00:23:57.093 --> 00:23:58.254]  They're preparing their own troops.
[00:23:58.434 --> 00:24:00.696]  And for us, they're spending billions of dollars on ammunition.
[00:24:01.137 --> 00:24:01.957]  That's what's meant for us.
[00:24:02.758 --> 00:24:04.900]  What did you think of the paper targets that we broke?
[00:24:04.920 --> 00:24:05.981]  And people didn't believe it first.
[00:24:06.041 --> 00:24:07.022]  And the media called the company.
[00:24:07.042 --> 00:24:08.544]  They went, no, DHS paid $2.1 million for
[00:24:12.554 --> 00:24:16.418]  These paper targets of men, women, and children to shoot, no hesitation.
[00:24:16.678 --> 00:24:16.898]  Right.
[00:24:16.959 --> 00:24:18.100]  Well, it's conditioning.
[00:24:18.540 --> 00:24:23.385]  Just like video games condition you to shoot at those things, so do the targets.
[00:24:23.485 --> 00:24:23.946]  Same thing.
[00:24:24.506 --> 00:24:25.467]  It's operant conditioning.
[00:24:26.769 --> 00:24:28.931]  Stuart, we've got about four or five minutes left here.
[00:24:29.091 --> 00:24:33.235]  Other points concerning the Second Amendment, shaping the future battle space, as you say it.
[00:24:33.515 --> 00:24:34.757]  Where is the Republic today?
[00:24:35.546 --> 00:24:38.888]  Well, we are in an inverse situation for what the founders intended.
[00:24:38.948 --> 00:24:49.253]  Very weak people in very weak states, and with a top-heavy, increasingly draconian government, basically transplanting East Germany into the United States.
[00:24:49.753 --> 00:24:53.875]  So we need to get back to the founders' idea of the citizens' militia.
[00:24:54.295 --> 00:24:54.615]  I don't know.
[00:25:10.920 --> 00:25:16.162]  Not having them all be treated like sheep, staying in their pens, while their warriors go look for the bad guy.
[00:25:16.182 --> 00:25:17.502]  That's not the founder's intent.
[00:25:17.782 --> 00:25:30.427]  And another good point to make is that for hundreds of years in the United States, in the colonies, before we were even a country, the colonists defended themselves against the French and Indians, against the aggressors in their frontiers, through the militia.
[00:25:30.747 --> 00:25:33.008]  That was a model that they followed for hundreds of years.
[00:25:33.028 --> 00:25:34.008]  It wasn't just Switzerland.
[00:25:34.288 --> 00:25:35.528]  It was their own experience.
[00:25:35.548 --> 00:25:39.530]  Now that was an old, old, exactly European model used in smaller free states.
[00:25:39.750 --> 00:25:39.950]  Right.
