[00:00:06.449 --> 00:00:07.134]  Let's go.
[00:05:44.701 --> 00:05:48.103]  This is just a projected decrease in spending.
[00:05:48.123 --> 00:05:48.664]  And there you go.
[00:05:48.944 --> 00:05:52.947]  It's from $2.4 trillion and what it was going to be was $2.5 trillion.
[00:05:54.611 --> 00:06:01.558]  And he also mentions, under sequestration, defense spending will increase only 18% over 10 years, as opposed to 20%.
[00:06:02.619 --> 00:06:04.721]  Like, we need more guns and bombs.
[00:06:04.761 --> 00:06:07.804]  I guess we do, if we're the homeland security fighting the American people.
[00:06:09.225 --> 00:06:11.307]  And then he puts a laugher here at the end.
[00:06:11.347 --> 00:06:16.092]  In a recent tour of the Middle East, newly confirmed Secretary of State John Kerry announced that the U.S.
[00:06:16.172 --> 00:06:18.594]  would be sending another $60 million to the rebels
[00:06:19.670 --> 00:06:24.374]  Who are Al-Qaeda to overthrow the Syrian government in the midst of the sequester crisis.
[00:06:24.854 --> 00:06:25.294]  So there you go.
[00:06:25.314 --> 00:06:33.440]  It's much ado about nothing, yet Janet Napolitano would have you think that the sky is falling because now there's going to be long lines at the airport, she came out and said.
[00:06:34.101 --> 00:06:34.781]  And there you go.
[00:06:35.242 --> 00:06:40.666]  At a WBOC Channel 16, sequester already causing long lines at airports.
[00:06:41.306 --> 00:06:45.908]  So you got Janet Napolitano trying to hog tie us with these long lines for the TSA.
[00:06:45.948 --> 00:06:50.590]  They're doing nothing but looking through our luggage, stealing our things, and basically causing a nuisance out there.
[00:06:51.130 --> 00:06:54.151]  And she's trying to hog tie us with this type of approach.
[00:06:54.191 --> 00:07:00.213]  So we'll call our government officials and say, please, please spend more of our money on nothing.
[00:07:00.353 --> 00:07:01.314]  Please, please.
[00:07:02.254 --> 00:07:02.774]  There you go.
[00:07:03.915 --> 00:07:04.435]  Moving on.
[00:07:05.169 --> 00:07:09.250]  Military Patrol, Austin Kite Festival, and Martial Law Prep.
[00:07:09.270 --> 00:07:12.291]  And this is something we saw last year at the Austin Kite Festival.
[00:07:12.871 --> 00:07:13.771]  This is from Aaron Dykes.
[00:07:14.151 --> 00:07:27.695]  For the second year in a row, troops controlled civilian transportation at the Austin Kite Festival, which took place Sunday, March 3rd, utilizing disaster training to facilitate crowds numbering more than 30,000 against the otherwise idyllic early spring park scene.
[00:07:28.075 --> 00:07:30.256]  And for more on the Austin Kite Festival and
[00:07:30.896 --> 00:07:37.619]  Basically, the program that we've been uncovering for a long time with troops going to be deployed on the American streets to confiscate guns.
[00:07:37.659 --> 00:07:38.419]  We turn to Aaron Dykes.
[00:07:38.919 --> 00:07:39.500]  Thanks, Rob.
[00:07:39.600 --> 00:07:42.581]  Now, I was at the Austin Kite Festival, and it's not about the kites.
[00:07:42.621 --> 00:07:48.524]  That's obviously all fun, good family stuff, although they did have a giant deviled kite that was the main kite.
[00:07:49.824 --> 00:08:04.331]  What really happened was you had guard units there putting people onto buses, facilitating the people, which is all really part of a larger PSYOP, to acclimate society to the presence of military anywhere and everywhere, especially at the most innocent of events.
[00:08:04.731 --> 00:08:05.612]  It's all explained here.
[00:08:05.632 --> 00:08:08.593]  We document all the whole history of most of it here.
[00:08:08.933 --> 00:08:09.113]  Right.
[00:08:10.854 --> 00:08:16.237]  Military's there, just do what they say, get on the bus, they're going to take you to someplace nice and safe, and just do what they say.
[00:08:16.297 --> 00:08:21.461]  That's the basic gist of what we're seeing, kind of in an overall plan, right?
[00:08:21.921 --> 00:08:22.982]  Yeah, basically that's it.
[00:08:23.402 --> 00:08:24.903]  Alright, well let's go to that report right now.
[00:08:24.923 --> 00:08:28.225]  This is Aaron Dykes' brand new special report, and this is hard-hitting.
[00:08:28.245 --> 00:08:29.666]  You're going to want to get this out to everyone you know.
[00:08:33.368 --> 00:08:35.390]  Aaron Dykes here for InfoWars.com.
[00:08:35.711 --> 00:08:40.256]  We've got to ask ourselves, why are the Feds preparing for a war against Americans?
[00:08:40.616 --> 00:08:50.547]  Why have they bought now more than 2 billion bullets, all kinds of arms and ammunition, and now more than 2,700 tanks to patrol in America and keep order?
[00:08:50.907 --> 00:08:52.529]  We're told it's because they love us.
[00:08:52.629 --> 00:08:54.211]  We're told it's to keep the peace.
[00:08:54.771 --> 00:08:56.393]  And to increase safety.
[00:08:56.733 --> 00:09:11.506]  But of course, we also know from Army documents, from Homeland Security reports, and a lot of other information, that it's really to occupy America and prepare for a civil unrest and a total economic collapse that will include gun confiscation.
[00:09:11.526 --> 00:09:17.451]  Gun confiscation is exactly what happened during the state of emergency following Hurricane Katrina in New Orleans.
[00:09:17.751 --> 00:09:29.017]  Now the founders who set up the Constitution and Bill of Rights did not want a standing army because they knew history and they knew that over and over again that's how power corrupts and takes over societies.
[00:09:29.417 --> 00:09:42.165]  At the same time they were concerned about historical examples like the Shays Rebellion that happened after the years of the Revolution but before the Constitution where soldiers who weren't paid formed mobs to try to take over the government.
[00:09:42.565 --> 00:09:46.407]  So they put in the possibility for the army to be used domestically
[00:09:46.787 --> 00:09:49.949]  For only one purpose, and that's to put down insurrections.
[00:09:50.369 --> 00:10:00.335]  This was strengthened through things like Posse Comitatus from 1878, strictly forbidding military from working with police or doing domestic operations.
[00:10:00.395 --> 00:10:13.162]  But that has whittled away in recent years and there's been a concerted effort to do away with Posse Comitatus altogether and to take away the state's power over troops and National Guards and put all the power
[00:10:17.524 --> 00:10:27.569]  We've of course seen how the military has been drilling, preparing, and training to take on Americans, put them in internment camps, and otherwise occupy the domestic sphere of society.
[00:10:28.009 --> 00:10:33.332]  Alex documented it as early as his Police State 2000 film and in many of his other films.
[00:10:33.372 --> 00:10:38.054]  Here's a short clip where Americans come to checkpoints and beg for help from the military.
[00:10:40.436 --> 00:10:41.597]  He's pregnant!
[00:10:52.780 --> 00:10:54.501]  Attention, attention, attention.
[00:10:54.681 --> 00:10:57.062]  American forces are here to help.
[00:10:57.203 --> 00:10:58.283]  Remain calm.
[00:10:58.623 --> 00:11:01.065]  We will not tolerate civil disobedience.
[00:11:01.165 --> 00:11:04.627]  But it's in no way limited to the things that Alex has just put in his films.
[00:11:04.967 --> 00:11:07.888]  This has been an ongoing effort that has been accelerating.
[00:11:08.449 --> 00:11:21.796]  David Knight did a special report just a few weeks ago documenting only a few of the recent urban warfare drills, many of which included helicopters firing simulated live rounds over major American cities.
[00:11:22.176 --> 00:11:25.948]  They include Houston, Miami, Minneapolis, St.
[00:11:26.008 --> 00:11:29.739]  Louis, Chicago, Los Angeles, and other locales.
[00:11:30.222 --> 00:11:32.223]  Let's take a look at some of these recent drills.
[00:11:32.363 --> 00:11:34.144]  January the 28th in Houston.
[00:11:34.304 --> 00:11:39.446]  Helicopters and the sound of gunfire created a lot of concern this afternoon in one Houston neighborhood.
[00:11:39.767 --> 00:11:44.229]  And an Army major who was out here wouldn't tell us exactly what kind of training they were doing.
[00:11:44.349 --> 00:11:46.590]  Miami, four days earlier, January the 24th, 2013.
[00:11:47.230 --> 00:11:52.933]  Still, if you've seen one of these drills, it really is like a scene out of one of those action movies.
[00:11:52.973 --> 00:11:55.734]  Choppers stalking this guy in downtown Miami.
[00:11:55.854 --> 00:11:57.775]  It's a joint military training exercise.
[00:11:58.015 --> 00:11:59.976]  Here's another one in Minneapolis, August 28, 2012.
[00:12:00.296 --> 00:12:06.577]  If you see military helicopters flying low over Minneapolis, do not be alarmed.
[00:12:06.597 --> 00:12:08.698]  They are training in an urban environment.
[00:12:09.198 --> 00:12:09.678]  Here's another one.
[00:12:09.978 --> 00:12:10.198]  St.
[00:12:10.218 --> 00:12:11.198]  Louis, July 3, 2012.
[00:12:11.538 --> 00:12:14.939]  It's a military mission in North St.
[00:12:14.979 --> 00:12:15.299]  Louis.
[00:12:15.639 --> 00:12:22.561]  Heavily armored vehicles are rolling into town, and while they come in peace, there are all kinds of rumors about why they are here.
[00:12:22.841 --> 00:12:23.741]  Chicago, April 17, 2012.
[00:12:26.482 --> 00:12:31.425]  A pretty scary scene along the Chicago River turns out to be a military training exercise.
[00:12:31.525 --> 00:12:32.845]  Los Angeles on January 26, 2012.
[00:12:34.146 --> 00:12:42.030]  Special military operation forces in conjunction with the LAPD conducting some military maneuvers.
[00:12:42.350 --> 00:12:55.777]  Of course in the 2010 film Police State 4, the rise of FEMA, Rob Dew, Alex Jones and the other filmmakers covered the example of Arcadia, Iowa where the National Guard practiced cordon and search drills in neighborhoods
[00:12:56.337 --> 00:13:04.140]  Two specifically take on gun dealers to find quote weapons caches and Alex interviewed the officer who's in charge of the drill.
[00:13:04.421 --> 00:13:10.643]  They were admittedly doing it for domestic purposes inside the United States and we should really ask ourselves why.
[00:13:10.803 --> 00:13:15.585]  It says in this article going door-to-door asking if they can search homes looking for weapons.
[00:13:15.905 --> 00:13:23.929]  It's actually a planned training event to provide our soldiers with greater proficiency at what we call coordinate search.
[00:13:24.745 --> 00:13:43.618]  Uh, which is a mission that, um, um, just for a little background, we've deployed nearly 13,000 members of the Iowa National Guard in the Global War on Terror, and then actually searched for caches of weapons or other kinds of contraband which could harm, um, American forces and other... Like Fallujah, what we saw in Fallujah.
[00:13:43.638 --> 00:13:43.938]  Correct.
[00:13:44.358 --> 00:14:00.490]  And then you have manuals like FM 3-39.40 specifically about internment and resettlement and they include the presence of PSYOP officers to win over the support of the American people and of course to deal with dissidents.
[00:14:00.530 --> 00:14:04.152]  And this happens throughout history every time an oppressive power takes over.
[00:14:04.553 --> 00:14:13.259]  The Nazis of course didn't only come in with a strong military force, they first sent in what equates to PSYOP officers, psychological operators,
[00:14:13.579 --> 00:14:16.059]  ...who tried to win over public support.
[00:14:16.099 --> 00:14:17.520]  They offered children candy.
[00:14:17.800 --> 00:14:19.120]  They told them they were there to help.
[00:14:19.160 --> 00:14:20.660]  They did friendly public events.
[00:14:20.780 --> 00:14:35.723]  And we see this playing out again in American society, unfortunately, where National Guard military troops who aren't supposed to operate domestically are operating outside of their role, but in benign ways at innocuous events to win over public support.
[00:14:36.063 --> 00:14:37.923]  And this, too, has been accelerating.
[00:14:38.023 --> 00:14:41.944]  Just in recent weeks, Alex has been to the Texas Independence Day celebration.
[00:14:42.344 --> 00:14:44.445]  at Washington on the Brazos here in Texas.
[00:14:44.825 --> 00:14:48.306]  National Guard troops were present to conduct and operate traffic.
[00:14:48.346 --> 00:14:52.728]  He was at the Burger Center where National Guard and Texas Guard troops were operating.
[00:14:53.088 --> 00:15:02.171]  I went to the Kite Festival this weekend and that footage is coming up in this report in just a few moments where the Texas State Guard were operating the shuttle buses.
[00:15:02.251 --> 00:15:06.893]  We've also seen the National Guard working with police at events like the Kentucky Derby.
[00:15:07.313 --> 00:15:11.936]  And other special events, including even high school sporting events.
[00:15:12.377 --> 00:15:17.660]  The Kentucky National Guard was part of the massive security force required for this weekend's Kentucky Derby.
[00:15:18.181 --> 00:15:23.505]  The troops took care of crowd and traffic control, provided three choppers and crews for aviation support.
[00:15:24.265 --> 00:15:35.330]  All of this seems not particularly alarming until you look at the fact that they're ramping up, they're conditioning the public to accept the military in domestic roles where they never should be operating.
[00:15:35.630 --> 00:15:39.072]  Again, none of this is against individual members of the military.
[00:15:39.432 --> 00:15:40.313]  Or guard units.
[00:15:40.373 --> 00:15:45.456]  In fact, many of them are waking up in greater numbers and at a faster rate than the general public.
[00:15:45.496 --> 00:15:47.237]  And of course, we need them on our side.
[00:15:47.558 --> 00:15:48.878]  But who gives the orders?
[00:15:49.259 --> 00:15:52.321]  And who will control that structure in the event of a crisis?
[00:15:52.681 --> 00:16:09.092]  We just had on the Alex Jones Radio Show today, Philip Zimbardo, who ran the Stanford Prison Experiment, and who played off the findings of the Milgram Experiment, where they study how good people or ordinary people in society can do evil things when they're put in certain situations.
[00:16:09.572 --> 00:16:18.935]  Here now is footage from the 84th annual Austin Kite Festival where guard units are shuttling Americans on the buses just to get them back and forth from a friendly outdoor event.
[00:16:19.235 --> 00:16:25.977]  But ask yourself, what would happen if it wasn't a regular event, but if it was orders to send Americans to a FEMA camp?
[00:16:30.919 --> 00:16:39.542]  Happy children, families, couples, a sunny day in early spring, all over a park in Austin.
[00:16:40.643 --> 00:16:44.304]  This is the scene of the Austin Kite Festival, now in its 84th year.
[00:16:45.344 --> 00:16:48.506]  An iconic and idyllic scene of peace and recreation.
[00:16:48.766 --> 00:16:49.546]  What could be better?
[00:16:50.386 --> 00:16:59.410]  But outside of this festive atmosphere, which had clogged downtown traffic and brought normal activities on this happy weekend day to a halt, was a military presence.
[00:17:00.350 --> 00:17:04.972]  The Texas State Guard operating under the National Guard was running part of the event.
[00:17:05.132 --> 00:17:13.896]  They were invited there by the Austin Exchange Club and operated with the help of police, the shuttle buses bringing Kite Festival goers to and from the event.
[00:17:14.476 --> 00:17:27.442]  It was admittedly run as other training exercises are in preparation for natural disasters and other emergencies as coordinated by Homeland Security and FEMA, including this article posted on the Texas State Guard website.
[00:17:27.922 --> 00:17:43.262]  TXSG flies high with Austin Kite Festival, where they admit in part that festival organizers and participants gave the Texas State Guard soldiers real-world training for the kind of logistical support the organization provides during natural disasters and other emergencies.
[00:17:43.803 --> 00:17:52.470]  Quote, this gives us the opportunity to put our training and expertise into practical use in advance of our response to hurricanes, tornadoes, floods, or fires.
[00:17:52.910 --> 00:17:58.854]  The National Guard first appeared in 2012 at the Austin Kite Festival, provoking several news articles.
[00:17:59.194 --> 00:18:04.038]  The internet was ablaze with the account of the National Guard patrolling the Austin Kite Festival in 2012.
[00:18:05.599 --> 00:18:25.974]  But here in 2013, there was scant mention of the National Guard's presence other than just straightforward PR releases of how they would operate the buses and how they would carry passengers to and fro, conditioning the public to accept ever greater control in violation of posse comitatus to keep track and control of the people under any pretext they considered necessary.
[00:18:26.354 --> 00:18:34.997]  Homeland Security and FEMA have made big preparations, not only for natural disasters, but also for civil unrest or declared national emergencies.
[00:18:35.217 --> 00:18:43.200]  And their training exercises have routinely included the very functions that these National Guard members were carrying out during this kite festival, where they would
[00:18:43.320 --> 00:19:01.165]  In 2011, InfoWars reporters traveled to Denver, Colorado to cover an exercise run by Homeland Security and FEMA, where various terror scenarios and school shooter scenarios prompted school buses to load children and take them to sports stadiums.
[00:19:01.405 --> 00:19:24.405]  Contingency plans for natural disasters and other emergencies have included in states like Texas and New Jersey RFID wristbands where members of the population would be tracked and tagged upon entering buses and throughout their stay at emergency centers like the one used by FEMA during Hurricane Katrina at the Superdome where the public was not protected but instead subjected to a laboratory of martial law conditions.
[00:19:24.645 --> 00:19:31.034]  While there is no sign of this kind of disaster at the Austin Kite Festival, I guess it's good that military and police were there to keep order.
[00:19:31.274 --> 00:19:38.384]  I actually captured a very dangerous individual on this camera, seen here at a young age in a stroller, using a terrorist weapon.
[00:19:39.105 --> 00:19:39.625]  The bubble gun.
[00:19:42.679 --> 00:20:01.953]  As Americans interested in upholding the Constitution and protecting our individual and state rights, we have to ask ourselves why good military personnel and troops are being used to, quote, help in what seems like innocuous public events, festivals, sporting events, while they're trying to acclimate us to greater and greater military presence
[00:20:02.313 --> 00:20:02.654]  I think so.
[00:20:22.239 --> 00:20:24.481]  There you go, another hard-hitting report from Aaron Dykes.
[00:20:24.521 --> 00:20:26.002]  Be sure you get this report out.
[00:20:26.162 --> 00:20:27.223]  Send it to everyone you know.
[00:20:27.584 --> 00:20:31.507]  It's titled, Troops Deployed Ahead of Collapse and Gun Confiscation.
[00:20:32.308 --> 00:20:33.489]  Very scary stuff indeed.
[00:20:33.569 --> 00:20:41.695]  I did a report a few months ago about troops ordered to kill people who did not turn in their guns, and it went viral, and it's still getting hits out there.
[00:20:41.715 --> 00:20:42.816]  People are still sending it to me.
[00:20:42.836 --> 00:20:45.499]  I don't even think they know I did it, because my name wasn't on it.
[00:20:45.939 --> 00:20:47.981]  Pretty interesting how that stuff just keeps going around.
[00:20:48.361 --> 00:20:53.966]  Those are the types of info bombs we really want to put out there, just like these little InfoWars news bulletins.
[00:20:53.986 --> 00:20:56.348]  They're really quick, they're hard-hitting, they make you think.
[00:20:57.008 --> 00:21:00.671]  So, here's another interesting article again.
[00:21:00.711 --> 00:21:07.137]  DHS, 4.5 million dollar contract with Heckler & Koch as the guns manufacturer.
[00:21:07.617 --> 00:21:12.681]  Although the number of DHS agents who carry Heckler & Koch firearms is blacked out, the document states
[00:21:13.649 --> 00:21:22.094]  That the need to source replacement parts is to ensure reliability and minimize officer safety concern and to protect the American public.
[00:21:22.694 --> 00:21:23.074]  Yeah.
[00:21:24.175 --> 00:21:28.717]  And if you believe that, you'll believe that they're buying 2 billion bullets for target practice.
[00:21:29.077 --> 00:21:29.358]  Right?
[00:21:29.838 --> 00:21:32.980]  Or how about 2,000 tanks?
[00:21:33.680 --> 00:21:35.161]  That's to get cats out of trees.
[00:21:35.301 --> 00:21:35.581]  Yeah.
[00:21:35.941 --> 00:21:40.684]  They're gearing up for a fight with the American public when they try to come after our guns.
[00:21:41.860 --> 00:21:48.652]  And that being said, we have a report, a quick bulletin from Melissa Melton, and this is on a couple things that DARPA has unveiled this week.
[00:21:48.692 --> 00:21:49.834]  We go to you now with that report.
[00:21:54.016 --> 00:21:56.378]  I'm Melissa Melton with an InfoWars News Bulletin.
[00:21:57.318 --> 00:22:06.285]  This month, DARPA, the Defense Advanced Research Projects Agency, has stepped the terror up a notch with two new revelations from its never-ending Big Brother tech rollout.
[00:22:06.605 --> 00:22:11.648]  First, Wired's Danger Room reported, watch this robotic dog throw cinder blocks with its head.
[00:22:11.848 --> 00:22:16.031]  So-called Big Dog has the ability to quickly climb rocky terrain without tipping over.
[00:22:16.532 --> 00:22:22.496]  But now a robot arm coming out of its body where a head should be can grab and chuck heavy cinder blocks like it's nothing.
[00:22:22.796 --> 00:22:33.547]  Media outlets like Mashable.com seem to miss the point with headlines like, In other scary DARPA news, another wired headline out just yesterday claims, DARPA wants you to transcribe and instantly recall all of your conversations.
[00:22:45.620 --> 00:22:58.565]  As Paul Joseph Watson reported, DARPA is giving a $300,000 award to a University of Texas computer scientist for a new project called Blending Crowdsourcing with Automation for Fast, Cheap, and Accurate Analysis of Spontaneous Speech.
[00:22:58.905 --> 00:23:06.248]  Described as being like a Twitter feed or email archive for everyday speech, day-to-day conversations could be stored in archives and easily searched.
[00:23:06.468 --> 00:23:14.412]  Because DARPA apparently cares so much about us that they're willing to spend $300,000 so that we can easily store and search all of our conversations.
[00:23:14.953 --> 00:23:17.674]  Because so many people are sitting around going, you know what I wish I had?
[00:23:18.075 --> 00:23:23.638]  The ability to store everything I say every day, all day long, so I can go back and see what I had for breakfast five years ago.
[00:23:24.398 --> 00:23:36.650]  Add these projects to others like DARPA neuroscience research into the human flight or fight response, and their breakthrough of being able to mind control a squid to change its colors, and we truly are living in a science fiction movie spawned in the darkest pits of hell.
[00:23:37.390 --> 00:23:39.352]  But hey, we've all seen the Terminator movies, right?
[00:23:39.653 --> 00:23:40.754]  What could possibly go wrong?
[00:23:41.194 --> 00:23:47.100]  And for more news updates, be sure to go to InfoWars.com and sign up for our free podcast on the right side of our homepage.
[00:23:49.309 --> 00:23:52.272]  Bet you never thought the big dog was going to be throwing cinder blocks, did you?
[00:23:53.393 --> 00:23:55.995]  Moving on to our final story, guess who's coming to dinner?
[00:23:56.015 --> 00:23:57.436]  This is from the Washington Free Beacon.
[00:23:58.077 --> 00:24:02.000]  A Chinese general who once threatened to use nuclear weapons against hundreds of U.S.
[00:24:02.041 --> 00:24:06.605]  cities will visit the Pentagon this week as part of a U.S.-China military exchange program.
[00:24:07.165 --> 00:24:15.917]  Major General Xu Qinhu, who is head of China's National Defense University, will take part in the familiarization exchange.
[00:24:16.257 --> 00:24:20.363]  Major Katherine Wilkinson, a Pentagon spokesman, told the Free Beacon.
[00:24:21.897 --> 00:24:26.219]  So we're inviting a guy to the Pentagon who said he wanted to nuke nuclear cities.
[00:24:26.239 --> 00:24:29.180]  That's almost like, well, you know, it's almost like exclusive.
[00:24:29.841 --> 00:24:34.243]  Al-Qaeda leader dined at the Pentagon just months after 9-11.
[00:24:34.783 --> 00:24:35.323]  That's amazing.
[00:24:35.363 --> 00:24:39.685]  They had Anwar al-Awlaki as part of a cultural exchange.
[00:24:40.065 --> 00:24:41.546]  That's just amazing how that happens.
[00:24:42.046 --> 00:24:42.326]  There it is.
[00:24:42.366 --> 00:24:50.490]  The Pentagon offered no explanation of how a man, now on the CIA's kill or capture list, ended up at a special lunch for Muslim outreach.
[00:24:51.442 --> 00:24:52.303]  Let me tell you what I think.
[00:24:52.963 --> 00:25:17.319]  I think it has to do with the fact that we like having these enemies out there and we like having all these threats so we can pretend, you know, that we need to spend millions of dollars on defense and millions upon billions of dollars on, you know, domestic security forces all in the name of terrorism and terrorists and the Red Threat and the Russians and anybody out there that we can use an excuse to build up this arm race that Dwight Eisenhower warned us about in his farewell speech.
[00:25:18.353 --> 00:25:19.254]  Well, there you go.
[00:25:19.314 --> 00:25:22.956]  Now we're inviting Chinese leaders to the U.S.
[00:25:23.296 --> 00:25:26.819]  who threatened to nuke us with hundreds of nuclear warheads.
[00:25:27.199 --> 00:25:27.799]  Pretty crazy.
[00:25:28.320 --> 00:25:33.323]  But hey, we also had one of the top Al-Qaeda leaders who dined at the Pentagon.
[00:25:33.783 --> 00:25:38.606]  We go now to a final bulletin from David Knight talking about a Russian general.
[00:25:38.987 --> 00:25:39.447]  Here it is now.
[00:25:43.829 --> 00:25:46.031]  I'm David Knight with an InfoWars News Bulletin.
[00:25:46.552 --> 00:25:54.739]  Paul Joseph Watson reported on InfoWars that retired Russian General Leonid Ivashov told Pravda that America must be kept at gunpoint.
[00:25:55.200 --> 00:26:02.867]  Quote, tactical nuclear weapons that are constantly threatening the United States must become the factor that will deter large-scale aggression.
[00:26:03.087 --> 00:26:04.328]  Holding it at gunpoint.
[00:26:04.848 --> 00:26:05.969]  This is the deterrent.
[00:26:06.830 --> 00:26:16.356]  Ironically, at the same time a retired Russian general was talking about American aggression, Russia today was doing a hit piece on the Day of Resistance.
