[00:00:08.339 --> 00:00:10.049]  Something has happened in the motorcade group!
[00:03:29.539 --> 00:03:31.981]  They then put Scotch tape over our eyes.
[00:03:33.322 --> 00:03:34.703]  And I was very scared.
[00:03:36.209 --> 00:03:40.573]  Like Operation Gladio in Europe, the CIA used terrorism to fight communism.
[00:03:41.113 --> 00:03:51.042]  But unlike Operation Gladio, Operation Condor defiantly operated in the open, by the governments, and killed more than 60,000 people.
[00:03:51.242 --> 00:03:53.063]  And they had us standing there in a line.
[00:03:53.364 --> 00:03:55.005]  And I was the last one to be interrogated.
[00:03:55.185 --> 00:04:02.672]  And he, at that point, said, you have to understand that we have to do these things because there are terrorists all over the country who would attack people like you Americans.
[00:04:03.252 --> 00:04:04.795]  And so we're doing this for your protection.
[00:04:04.996 --> 00:04:15.696]  We have no contact with any of the people that carried out the military coup and therefore the coup that overthrew Allende was done without
[00:04:19.787 --> 00:04:22.689]  Subsequently, classified documents showed he was lying.
[00:04:23.370 --> 00:04:30.195]  The Dirty War, The Night of the Pencils, Massacres, The Disappeared, and Death Flights.
[00:04:30.935 --> 00:04:35.118]  These are the legacy of Kissinger, the CIA, and their South American partners.
[00:04:35.278 --> 00:04:36.619]  There were two parallel universes.
[00:04:36.839 --> 00:04:41.863]  One was the life that, you know, you go to school, you go shopping, you know, you catch the bus.
[00:04:42.603 --> 00:04:45.884]  And then you get to school, and some people didn't come back to school.
[00:04:46.064 --> 00:04:48.385]  And then people say, well, he was arrested, or whatever.
[00:04:49.025 --> 00:04:56.967]  And so it was completely unreal, because you just went to school, and they taught you math, history, music, and then you came back home to look for your dad, for your friends.
[00:04:57.647 --> 00:04:59.468]  And it's just completely unreal.
[00:04:59.488 --> 00:05:07.030]  You just start living this schizophrenic life, where you pretend that everything is normal, and then come back home, and then it's back to a tragedy.
[00:05:07.250 --> 00:05:12.652]  The most dramatic moment of the hearing about Pinochet was the testimony of the Scotland Yard officer.
[00:05:13.152 --> 00:05:16.374]  On such and such a date, I was handed a warrant, and I went to a house.
[00:05:17.474 --> 00:05:18.975]  11.30, I was shown in.
[00:05:19.195 --> 00:05:22.436]  I then went into a room, and I saw a man that I recognized as the prisoner.
[00:05:23.056 --> 00:05:23.357]  Prisoner!
[00:05:23.397 --> 00:05:23.957]  Isn't that a great room?
[00:05:24.197 --> 00:05:24.657]  The prisoner.
[00:05:24.897 --> 00:05:26.218]  And I walked up to him, and he stood.
[00:05:26.438 --> 00:05:32.480]  And I said, Augusto Pinochet Ugarte, I arrest you, sir, for the crimes of conspiracy and torture.
[00:05:32.860 --> 00:05:33.741]  And I tell you, I thought,
[00:05:34.481 --> 00:05:34.861]  Busted.
[00:05:35.261 --> 00:05:42.063]  When Pinochet was arrested in London, Kissinger, who was also under investigation in several other nations, abruptly cancelled his appearance there.
[00:05:42.523 --> 00:05:59.806]  But in addition to war crimes and terrorism, what Henry Kissinger is most remembered for is his opening to China, which was really about making China the slave labor manufacturing base for multinational corporations, all part of the politicians and bankers' plans for world government.
[00:06:00.607 --> 00:06:02.567]  We talk a lot about world community.
[00:06:03.911 --> 00:06:07.754]  But the fact is there has never been a world community before.
[00:06:08.094 --> 00:06:10.395]  We are now facing a common challenge.
[00:06:11.776 --> 00:06:22.063]  And the challenge is how to build a world order for the first time in history on a global basis.
[00:06:22.384 --> 00:06:25.145]  China was the perfect place for the globalists to set up their base.
[00:06:25.906 --> 00:06:28.928]  A small ruling elite that ruled with an iron fist.
[00:06:29.268 --> 00:06:30.969]  Here's how Henry Kissinger did it.
[00:06:31.250 --> 00:06:32.951]  When we started this relationship
[00:06:34.554 --> 00:06:39.058]  There was next to no trade between China and the United States.
[00:06:39.919 --> 00:06:47.987]  Kissinger then tells the audience that what he and Nixon first did was to allow American tourists in Hong Kong to buy up to $100 worth of Chinese goods.
[00:06:48.607 --> 00:06:50.329]  He says that was a daring move.
[00:06:50.789 --> 00:06:53.332]  The audience laughs and then he says... We have now...
[00:06:59.018 --> 00:07:00.119]  What an understatement.
[00:07:00.879 --> 00:07:05.100]  Arguably the quickest and most complete transfer of wealth in peacetime history.
[00:07:05.821 --> 00:07:09.862]  A transfer from the American people to a few Chinese ruling elite.
[00:07:10.142 --> 00:07:21.006]  Not from Americans to the Chinese people, but a transfer of wealth to multinational corporations and a few Chinese oligarchs, who continue to use the Chinese people as slaves.
[00:07:22.006 --> 00:07:27.247]  The same oligarchs that Kissinger's patron, David Rockefeller, gushed in glowing praise back in 73.
[00:07:27.307 --> 00:07:31.328]  He said, Yeah, Mao and the Chinese Communists really know how to treat the underclasses, according to Rockefeller.
[00:07:52.448 --> 00:07:57.152]  I went to a Xinyang area in Henan province and Anhui province to do interviews.
[00:07:57.332 --> 00:08:03.076]  The survivors there told me almost every village had cannibal incidents and some people even had their own children.
[00:08:04.127 --> 00:08:07.810]  The Great Famine came amidst Mao's Great Leap Forward campaign.
[00:08:08.350 --> 00:08:14.215]  When I was growing up, it was not uncommon for parents to tell their children, eat your food because children in China are starving.
[00:08:14.775 --> 00:08:23.062]  What we now know is that a conservative estimate of between 50 and 80 million were starved to death by Mao's policies.
[00:08:23.682 --> 00:08:26.824]  Mao's social experiment, the Cultural Revolution,
[00:08:27.665 --> 00:08:36.292]  The despotism that caused the starvation of tens of millions of people, Rockefeller calls the most important and successful experiment in human history.
[00:08:36.913 --> 00:08:43.678]  Kissinger and Rockefeller have exhibited contempt for both the rule of law and for human life throughout their lives.
[00:08:44.459 --> 00:08:56.269]  They and other globalists haven't just stolen American wealth, they've used the EU and the Euro to create financial crisis in Europe, impoverishing Europeans and destroying national sovereignty throughout Europe.
[00:08:57.270 --> 00:09:04.696]  Just three days before the 2013 Bilderberg meeting, over 3,000 demonstrators protested the European Central Bank in Frankfurt.
[00:09:04.916 --> 00:09:12.842]  We now see the fruit of decades of secretive meetings being held by the Bilderberg Group, with the leadership of Kissinger and Rockefeller.
[00:09:13.362 --> 00:09:17.186]  For two days, protesters have been protesting the fruits of Bilderberg's past.
[00:09:17.607 --> 00:09:24.354]  Will they now cross the channel and protest Bilderberg in London, as the banksters, puppet politicians and Google plot their next steps?
[00:09:24.874 --> 00:09:29.600]  Bilderberg's role in creating European and international banking crises has to be exposed.
[00:09:30.200 --> 00:09:36.005]  And people need to ask why politicians and bankers are meeting in such closely guarded secrecy.
[00:09:36.665 --> 00:09:40.328]  The mainstream media's owners are there, but not the reporters.
[00:09:40.948 --> 00:09:47.994]  InfoWars will be there, and we'll be reporting at InfoWars.com forward slash B for all the latest updates and information.
[00:09:53.450 --> 00:09:58.351]  And that brings us to our quote of the day from an Argentinian, Jorge Luis Borges.
[00:09:59.011 --> 00:10:02.672]  He says, the future is inevitable and precise, but it may not occur.
[00:10:03.273 --> 00:10:04.633]  God lurks in the gaps.
[00:10:05.713 --> 00:10:07.114]  God doesn't just lurk in the gaps.
[00:10:07.194 --> 00:10:08.434]  He's in control, folks.
[00:10:08.854 --> 00:10:20.457]  And, you know, there's, speaking of Henry Kissinger, I guess his arch-nemesis Christopher Hitchens, who wrote the book, The Trials of Henry Kissinger, that you saw a clip of that movie in that previous report,
[00:10:21.385 --> 00:10:32.115]  It's reported I've seen Henry Kissinger in the Sistine Chapel looking at Michelangelo's painting and staring at the section of hell and Christopher Hitchens says, I guess he's apartment shopping.
[00:10:32.915 --> 00:10:45.767]  Well, we should all remember that there's consequences for what we do in life and certainly for the kinds of things that Henry Kissinger has been involved in and that we're worried that are being contemplated at the Bilderberg Group.
[00:10:46.775 --> 00:10:53.157]  Now, InfoWars reporters have confronted Gilderberg's security over canceled reservations.
[00:10:53.717 --> 00:11:03.179]  On the list we see the owners of mainstream media, but of course their journalists were not only silent, but they also in past years have attacked Real Reporters, who actually talked about this secretive meeting.
[00:11:04.380 --> 00:11:06.820]  They don't like Real Reporters being there either.
[00:11:07.480 --> 00:11:12.702]  And so what they did in this particular case was, even though we had reservations for InfoWars staff
[00:11:13.646 --> 00:11:23.512]  Well, in advance, and for days that had not been blocked out for the Bildberg meeting, they were cancelled at the very last minute, in violation of discrimination rules.
[00:11:24.012 --> 00:11:24.412]  Hello, sir.
[00:11:24.452 --> 00:11:25.893]  My name is Greg Stetson.
[00:11:25.913 --> 00:11:27.794]  Can I ask you to turn your cameras off, please?
[00:11:28.215 --> 00:11:32.217]  Well, actually, now we're wondering why our reservation's been cancelled.
[00:11:32.317 --> 00:11:33.137]  Is that correct?
[00:11:33.298 --> 00:11:36.299]  The reservation has been cancelled, as you're fully aware.
[00:11:36.640 --> 00:11:36.940]  Okay?
[00:11:37.100 --> 00:11:38.841]  We're not at liberty to say anymore.
[00:11:39.441 --> 00:11:48.771]  Well, you know that under European law, the 20 to 10 Equality Act, you can't discriminate against somebody by denying them services or a hotel room.
[00:11:48.811 --> 00:11:54.717]  Like I said, I'm not at liberty to say any more, and I'm not going to discuss legal terms with you either.
[00:11:55.257 --> 00:11:56.779]  We don't necessarily need to give you a reason.
[00:11:56.799 --> 00:11:57.740]  Well, you do under the law.
[00:11:59.264 --> 00:12:01.786]  Well, not everyone has sold out to the Bilderberg Group.
[00:12:02.327 --> 00:12:06.810]  A senior Watford politician is slamming the Bilderberg security operation.
[00:12:07.451 --> 00:12:18.500]  InfoWars reports a Watford Borough Council cabinet member has described the security operation surrounding the secretive Bilderberg meeting set to take place at the Grove Hotel in Watford, England, as disgraceful.
[00:12:19.300 --> 00:12:28.388]  Residents fear that these last-minute decisions, which will impact massively on their lives, will set the precedent for any future events of this type or scale which the Grove is actively seeking to run, he says.
[00:12:29.244 --> 00:12:31.925]  Quinn, in just over a week's time, the circus has left town.
[00:12:32.326 --> 00:12:38.569]  We will have to pick up the pieces, sort out the mess, make good any damage caused by the grove of Chandler's Cross.
[00:12:38.729 --> 00:12:42.671]  We'll just sit back and enjoy its global acclimations, said the counselor.
[00:12:43.151 --> 00:12:53.276]  Well, you can follow all the latest breaking news at InfoWars.com forward slash B. Everything that's going to be happening at Bilderberg, there's going to be a lot going on this week, and we're going to be posting it there.
[00:12:53.636 --> 00:12:56.378]  There's going to be people from David Icke,
[00:12:57.130 --> 00:12:58.251]  To Luke Rodowski.
[00:12:58.271 --> 00:13:08.660]  So follow all the latest breaking news again, that's at Infowars.com forward slash B. Well, Bilderberg's Google may not want you watching them, but they certainly want to know everything about you.
[00:13:09.321 --> 00:13:13.605]  You may recall that Motorola's mobile division was recently purchased by Google.
[00:13:14.225 --> 00:13:21.251]  Now we learn that Motorola's got a scheme for putting a password in a pill and in electronic tattoos.
[00:13:22.028 --> 00:13:35.894]  Motorola's Advanced Technology and Projects Group Chief, Regina Dugan, disclosed over the weekend at the D11 conference that the tech firm is working on electronic tattoos or implantable chips that would make the human body a tool for identification.
[00:13:36.414 --> 00:13:42.017]  Aside from the electronic tattoo, Motorola is experimenting with a password pill that a person swallows.
[00:13:42.797 --> 00:13:47.479]  The person would then transmit a signal to devices outside the body powered by stomach acids.
[00:13:48.433 --> 00:14:00.018]  Now, what makes this interesting is that this person, who is now the Technology Chief at Motorola Mobile under Google, Regina Dugan, is also the former head of DARPA.
[00:14:00.758 --> 00:14:04.099]  And the other part of this is, why are they doing this?
[00:14:04.499 --> 00:14:07.020]  This certainly isn't something that's being driven by consumers.
[00:14:07.481 --> 00:14:15.564]  Are you really so worried about your password that you're willing to swallow a pill or put a password, a tattoo on your body?
[00:14:16.500 --> 00:14:17.201]  I don't think so.
[00:14:17.582 --> 00:14:22.549]  We should wonder who is so concerned about this and why do they want this there?
[00:14:22.969 --> 00:14:30.019]  Obviously, this is nothing more than more control, more spying, more snooping on you by Google and the government.
[00:14:30.520 --> 00:14:32.303]  And the Bilderberg people, of course.
[00:14:33.379 --> 00:14:45.647]  Now, ISSA is having congressional hearings about the IRS and Fast and Furious and many other things, and he's got a lot of the same concerns about the truth and the transparency of the White House that we do.
[00:14:46.598 --> 00:14:49.441]  He dismisses Carney as quote, a paid liar.
[00:14:49.741 --> 00:14:54.826]  President's spokesman, spokesperson is saying whatever is convenient at the time and the story changes.
[00:14:55.186 --> 00:14:57.989]  What we have are people who come in to transcribe interviews.
[00:14:58.069 --> 00:15:02.212]  They're saying under penalty of crimes that certain things are true.
[00:15:02.553 --> 00:15:08.058]  We have subpoenaed documents that would support that, that they say emails went back and forth.
[00:15:08.398 --> 00:15:11.421]  The administration is so far not providing those documents.
[00:15:12.409 --> 00:15:16.131]  Saying whatever is convenient and changing the story constantly.
[00:15:16.151 --> 00:15:25.055]  He goes on to say, their paid liar, their spokesperson, the picture behind, he's still making up things about what happened and calling this a local rogue.
[00:15:25.535 --> 00:15:34.179]  This is kind of like the lone gunman theory that they always put out there, but this is related to their scandals, not to an assassination, not to a school shooting, not to a bombing.
[00:15:34.620 --> 00:15:39.242]  But we see the same pattern of behavior, the same MO over and over again.
[00:15:40.143 --> 00:15:46.346]  Changing stories, all of them lies, no accountability, lying under oath, and yet nothing happens.
[00:15:46.446 --> 00:15:50.688]  And I should point out that this isn't something that just is the Obama administration.
[00:15:50.708 --> 00:15:53.009]  They're taking it to an all-new level.
[00:15:53.049 --> 00:15:57.451]  But this is something that's gone on with past administrations, most recently the George Bush administration.
[00:15:58.598 --> 00:16:03.782]  Now Rand Paul is pushing for legislation of industrialized hemp and a new farm bill.
[00:16:04.583 --> 00:16:15.711]  Natural News reports Kentucky Senator Rand Paul, who is reportedly working with Senate Minority Leader Mitch McConnell, to pass an amendment to the new farm bill that would once again legalize industrial hemp production in the U.S.
[00:16:15.751 --> 00:16:17.973]  and consequently jumpstart the national economy.
[00:16:18.473 --> 00:16:20.755]  Even though hemp contains less than one percent
[00:16:21.195 --> 00:16:41.496]  Tetrahydrocannabinol, the primary psychoactive drug found in marijuana, the Controlled Substances Act, erroneously recognizes hemp as a Schedule 1 drug, that's the highest classification, with a high potential for abuse, quote-unquote, despite the fact that it is impossible to get high from smoking or eating hemp.
[00:16:42.878 --> 00:16:45.383]  Temp is what they used to use to make ropes.
[00:16:45.483 --> 00:16:50.893]  And of course, you've probably seen the World War II propaganda film, Temp for Victory, that was put out by the U.S.
[00:16:50.933 --> 00:16:51.154]  Navy.
[00:16:52.110 --> 00:17:02.499]  Well, just as it looks like we're getting a glimmer of sanity in the war on drugs, there's more insanity on the war against freedom of food and freedom of choice in our food.
[00:17:03.039 --> 00:17:10.866]  The state of Wisconsin is now looking to revoke bail for raw milk farmer Vernon Hershberger, reports the Wisconsin State Journal.
[00:17:11.607 --> 00:17:18.232]  State officials on Friday asked a Sauk County judge to send farmer Vernon Hershberger to jail for breaking conditions of his bail.
[00:17:19.053 --> 00:17:30.358]  The state's motion to revoke his bail cites a Capital Times report Wednesday in which the Loganville dairy farmers quoted as saying he continued to sell raw milk and other farm products after the state ordered him to stop.
[00:17:30.978 --> 00:17:36.381]  The terms of his bail specify that he not sell or process dairy products without a license.
[00:17:37.541 --> 00:17:40.903]  Well, if you caught our report last week with his lawyer, Elizabeth Rich,
[00:17:41.713 --> 00:17:49.994]  You know that that's really kind of an absurdity because you can't get a license to sell raw milk in Wisconsin.
[00:17:50.014 --> 00:17:51.075]  That's the whole point.
[00:17:51.755 --> 00:17:57.596]  So they're haranguing him and trying to send him back to jail for selling raw milk without a license but they won't issue a license.
[00:17:57.676 --> 00:18:10.278]  It's kind of like telling somebody that they have to get a license to grow hemp to make a rope but then of course you can't because hemp is a class one drug even though it has no psychoactive properties.
[00:18:11.243 --> 00:18:17.028]  Well, it looks increasingly like the only way that we're going to get our freedoms back is at the lowest local level.
[00:18:17.788 --> 00:18:23.773]  And we have someone coming up right after the break who did just that successfully, fighting smart meters.
[00:18:24.514 --> 00:18:31.540]  Her name is Sheila Hemphill, and we're going to be talking to her about how she did it, and how you can learn from her experiences to do it yourself.
[00:18:32.401 --> 00:18:33.021]  Right after the break.
[00:18:33.401 --> 00:18:33.822]  Stay tuned.
[00:18:39.614 --> 00:18:47.436]  As we saw in Katrina, and as we are watching now in New York and New Jersey, the federal government can't and won't help you in a crisis.
[00:18:48.056 --> 00:18:50.677]  FEMA ran out of water and MREs in days.
[00:18:51.237 --> 00:18:53.958]  Electricity is still off to over 1 million people.
[00:18:54.538 --> 00:18:58.740]  The Red Cross, who is quick to beg for money, is now slow to react.
[00:18:59.580 --> 00:19:01.340]  Don't put it off any longer.
[00:19:02.101 --> 00:19:03.181]  Get prepared today.
[00:19:05.791 --> 00:19:10.817]  The Info Wars Shop is the largest distributor of ProPure water filter systems.
[00:19:11.337 --> 00:19:16.042]  And now, get 15% off your ProPure order with the promo code WATER15.
[00:19:17.564 --> 00:19:21.908]  While you're on InfoWarsHop.com, check out these other great preparedness items.
[00:19:23.004 --> 00:19:27.285]  The Aquapod Kit lets you store up to 65 gallons of water in your bathtub.
[00:19:28.305 --> 00:19:33.347]  Pocket Socket provides you with manual electricity for small electronics like your cell phone.
[00:19:34.567 --> 00:19:36.768]  The LifeStraw is great for your bug out bag.
[00:19:37.968 --> 00:19:44.610]  And check out our complete line of inner food products for great tasting and nutritionally dense foods that have a great shelf life.
[00:19:45.650 --> 00:19:57.095]  If you are looking to secure your home in a crisis, you can order Strategic Relocations The Film, a great companion to the book Strategic Relocations Third Edition, and The Secure Home by Joel Skousen.
[00:19:58.255 --> 00:20:02.637]  When the time to perform arrives, the time to prepare has already passed.
[00:20:02.997 --> 00:20:08.319]  Get prepared now, so if a crisis strikes your home, you and your family will be secure.
[00:20:08.979 --> 00:20:12.681]  Go to infowarshop.com, and don't forget the promo code WATER15.
[00:20:22.429 --> 00:20:28.393]  I'm Darren McBreen and these are some of the new items that are available now at Infowarsshop.com.
[00:20:28.513 --> 00:20:33.956]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:20:34.056 --> 00:20:37.759]  Obama's joker face on the front and come and take it on the back.
[00:20:37.939 --> 00:20:41.881]  It's time to publicly call him out for what he is, a tyrant.
[00:20:42.001 --> 00:20:45.844]  Defend the second amendment with our top seller come and take it t-shirts.
[00:20:45.984 --> 00:20:50.106]  And look at that, women's cut tank tops and t-shirts now available.
[00:20:50.227 --> 00:20:50.707]  Nice hat.
[00:20:51.007 --> 00:20:53.128]  Plus, the Don't Tread On Me flag.
[00:20:53.148 --> 00:20:57.209]  And now, you can become a micro-distributor of the InfoWars magazine.
[00:20:57.249 --> 00:21:01.271]  Plus, get your own copy delivered right to your door each and every month.
[00:21:01.811 --> 00:21:10.414]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:21:10.754 --> 00:21:16.756]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:21:18.484 --> 00:21:21.988]  So join the revolution at InfoWarshop.com.
[00:21:36.653 --> 00:21:38.374]  Back in 2003, the U.S.
[00:21:38.694 --> 00:21:45.757]  Department of Energy published a report called Grid 2030, a national vision for electricity's second 100 years.
[00:21:46.257 --> 00:21:49.918]  Now, their plans are to roll this out to 50% of the homes by 2020 and to 100% of the homes by 2030.
[00:21:54.700 --> 00:22:01.725]  And like everything the government does, you could say it either comes after your wealth or your health or it spies on you.
[00:22:01.825 --> 00:22:04.827]  And certainly all three of those are present in smart meters.
[00:22:05.427 --> 00:22:10.611]  And people who know what they're about are adamant that they don't want them on their homes.
[00:22:11.091 --> 00:22:14.674]  Now just back in January we had a lady in Naperville, Illinois,
[00:22:15.553 --> 00:22:21.996]  And she had a run-in with the police about trespassing on her property and installing a smart meter against her will.
[00:22:22.756 --> 00:22:28.358]  And even one of her neighbors, who was filming this, got arrested for filming the encounter.
[00:22:31.178 --> 00:22:44.985]  Here's UPA installers crossing over locked fences and against consent, they are going onto people's properties with police permission.
[00:22:45.005 --> 00:22:47.586]  They are crossing over locked fences.
[00:22:49.045 --> 00:22:51.267]  Laura, do you give consent to have this thermometer installed?
[00:22:51.307 --> 00:22:52.087]  No, absolutely not.
[00:22:52.167 --> 00:22:53.968]  This is putting my child in harm's way.
[00:22:54.409 --> 00:23:01.013]  My child has a chronic illness, and it could affect her illness and make it worse, and I absolutely don't agree.
[00:23:01.033 --> 00:23:02.294]  Can you step away from the fence for a minute?
[00:23:03.095 --> 00:23:03.335]  Why?
[00:23:03.355 --> 00:23:04.435]  I can take you through.
[00:23:06.777 --> 00:23:13.682]  Okay, so police are now crossing locked fences without homeowners' consent, and opening
[00:23:15.134 --> 00:23:18.397]  Laura, do you give consent for this officer to go onto her property?
[00:23:18.417 --> 00:23:20.559]  He's not protecting me, he's protecting the city.
[00:23:20.579 --> 00:23:22.641]  It's like a dictatorship.
[00:23:26.785 --> 00:23:29.327]  Officer, do you feel comfortable with what you're doing?
[00:23:29.347 --> 00:23:32.991]  No, he doesn't.
[00:23:34.872 --> 00:23:36.654]  So, Laura, you're the homeowner.
[00:23:37.114 --> 00:23:40.938]  Those two men that are on your property... How can you go to sleep and have a good conscience?
[00:23:42.051 --> 00:23:45.073]  Knowing that my daughter is chronically ill and this could affect her illness.
[00:23:45.553 --> 00:23:46.934]  Do you give consent for this?
[00:23:47.794 --> 00:23:50.656]  People, UPA installers to be on your property?
[00:23:50.676 --> 00:23:51.336]  Absolutely not.
[00:23:51.616 --> 00:23:52.857]  And is your fence locked?
[00:23:52.977 --> 00:23:53.677]  Absolutely.
[00:23:53.697 --> 00:23:55.438]  Your fence is locked.
[00:23:58.260 --> 00:24:02.022]  Now here's someone taking action from Harris County last July 2012.
[00:24:02.622 --> 00:24:06.424]  And she actually ran the person off with a gun.
[00:24:08.989 --> 00:24:10.150]  First, a warning.
[00:24:10.410 --> 00:24:14.032]  And so I came back and tried to put my hand in front of them like this.
[00:24:14.392 --> 00:24:15.172]  Then a scuffle.
[00:24:15.372 --> 00:24:18.034]  And he just kept pushing me away and pushing me away.
[00:24:18.054 --> 00:24:19.234]  What was the guy after?
[00:24:19.254 --> 00:24:20.195]  This meter.
[00:24:20.215 --> 00:24:21.575]  Yep, an electric meter.
[00:24:21.815 --> 00:24:25.077]  He wanted to replace it with the new one like this, a so-called smart meter.
[00:24:25.498 --> 00:24:28.402]  Problem was, Thelma Tarmina wanted to keep her old one.
[00:24:28.642 --> 00:24:31.366]  She had put up warning signs to leave it alone.
[00:24:31.726 --> 00:24:35.671]  But the worker wouldn't listen, so Tarmina grabbed her gun.
[00:24:35.992 --> 00:24:38.756]  And when he saw it, he turned and he went back the other way.
[00:24:41.616 --> 00:24:48.100]  But there's a better and more successful route to take, and we're going to talk to Sheila Hemphill and her son, Coleman Hemphill.
[00:24:48.641 --> 00:24:52.523]  They were very successful in getting smart meters defeated in Brady, Texas.
[00:24:53.184 --> 00:24:56.886]  This was an article that was in the New York Times where they talked about her victory.
[00:24:56.926 --> 00:24:58.708]  She called it her San Jacinto.
[00:24:59.208 --> 00:25:02.430]  And if you don't know Texas history, you've probably heard of the Alamo.
[00:25:02.870 --> 00:25:07.614]  You may not have heard of the Battle of Goliad, where those are both essentially defeats.
[00:25:08.294 --> 00:25:12.896]  But San Jacinto is where that all turned around, where people got their independence over tyranny.
[00:25:13.336 --> 00:25:16.057]  And that's exactly what happened with smart meters in Brady, Texas.
[00:25:16.617 --> 00:25:20.639]  And Sheila Hemphill is here to tell us how she did it and how you can do it.
[00:25:21.581 --> 00:25:25.363]  Well, thank you, Sheila, and thank you, Coleman, for coming in, and thank you for your activism.
[00:25:25.803 --> 00:25:35.968]  It was great to hear about that on Alex Jones' show, and we want to hear everything that you did in Texas, what worked, what didn't work, and what you've got planned for the future to help other people in other parts of the country.
[00:25:36.508 --> 00:25:41.071]  But we want to talk about why people would be concerned about smart meters.
[00:25:41.151 --> 00:25:49.575]  A lot of our listeners know about those issues, and they've got friends who don't know about those issues, so maybe they can use this interview to
[00:25:50.155 --> 00:25:50.876]  We're good to go.
[00:26:11.789 --> 00:26:39.105]  When we first started to try to educate the public about the potential public health problems that had been recognized by the Lieutenant Governor, such that he started Senate hearings back in October and with the PUC about potential health problems, which our City Council was completely oblivious that they had taken place, we were trying to educate the public on any potential health problems associated with this technology and basically was denied access to be an action item on the agenda.
[00:26:39.665 --> 00:26:44.990]  So, you can't get much done in two to ten minutes on this complex issue.
[00:26:45.171 --> 00:26:46.532]  Right, right.
