[00:00:20.842 --> 00:00:22.243]  It's Tuesday, August 13th.
[00:02:24.298 --> 00:02:31.865]  So he's being cited as the key point man in harassing journalists who have sensitive information that they're going to publish.
[00:02:32.365 --> 00:02:34.667]  Very interesting in terms of Michael Hastings.
[00:02:35.347 --> 00:02:47.496]  So the big question is, was Hastings about to reveal that Brennan had been tasked with targeting independent reporters who were in the business of releasing sensitive information?
[00:02:48.057 --> 00:02:51.119]  That will unravel over the course of the next two weeks.
[00:02:51.439 --> 00:03:01.427]  There's also new analysis in this article by Dvorak which cites a professor who analyzed the final moments of Hastings before the crash, of course the surveillance video which we've seen before,
[00:03:02.734 --> 00:03:18.978]  He suggests that Hastings was traveling at only 35 miles per hour before the multiple explosions that appear to be in the video, and that would explain, of course, why there's so little damage to the tree, and it would appear to bolster claims that
[00:03:19.745 --> 00:03:25.893]  Uh, some kind of incendiary device could have been used to blow up the Mercedes if he was not speeding.
[00:03:25.993 --> 00:03:32.801]  The idea of it being a crash, being an accident, uh, begins to pale even more, but we'll continue to keep track of it.
[00:03:34.224 --> 00:03:39.972]  Next up, this is out of Washington's blog, Obama appoints Fox to investigate spying in the hen house.
[00:03:40.393 --> 00:03:49.726]  That's right, Obama has hired James Clapper as head of a quote, independent group of outside experts to investigate NSA spying.
[00:03:50.532 --> 00:03:59.999]  Of course, Clapper is the same guy who lied to Congress about spying, falsely claiming that the government wasn't spying on the American people.
[00:04:00.500 --> 00:04:05.924]  He subsequently had to apologize for Congress for that act of deception.
[00:04:06.304 --> 00:04:16.372]  So yet again, we see the administration purporting to offer accountability and oversight, yet appointing insiders who will guarantee damage control.
[00:04:16.792 --> 00:04:20.175]  Just as we saw with the 9-11 Commission report,
[00:04:20.615 --> 00:04:25.320]  This is not about getting to the truth of the matter and uncovering government malfeasance.
[00:04:25.500 --> 00:04:28.603]  It's about covering up the criminal behavior.
[00:04:29.664 --> 00:04:33.388]  Because Clapper, of course, is Director of National Intelligence.
[00:04:33.428 --> 00:04:41.176]  He's the Spymaster-in-Chief, yet he's the, quote, independent figure to provide oversight of the NSA.
[00:04:42.279 --> 00:04:45.102]  Barack Obama is literally trolling America.
[00:04:45.202 --> 00:04:48.384]  It's like hiring Bernie Madoff to investigate financial fraud.
[00:04:48.805 --> 00:04:52.948]  Or it's like hiring Charles Manson to track down a serial killer.
[00:04:53.329 --> 00:04:59.654]  James Clapper, who lied about NSA spying, is now the independent expert to investigate the NSA.
[00:05:00.735 --> 00:05:01.296]  Next story.
[00:05:01.336 --> 00:05:02.076]  We are Legion.
[00:05:02.296 --> 00:05:04.198]  Anonymous presence in the US military.
[00:05:04.278 --> 00:05:06.180]  This is out of Liberty Blitzkrieg website.
[00:05:07.051 --> 00:05:08.592]  Are we going to see more leaks?
[00:05:08.792 --> 00:05:09.133]  Yes!
[00:05:09.673 --> 00:05:12.815]  A lot of anonymous members are mid- to high-ranked NCOs.
[00:05:13.196 --> 00:05:16.958]  They are well respected, have connections, and overly large security clearances.
[00:05:17.419 --> 00:05:24.244]  A lot of people who are part of the anonymous culture are just dying at this point for something to come across their table that isn't already out there.
[00:05:24.884 --> 00:05:31.609]  So, despite the war on whistleblowers and the horrific treatment of Bradley Manning, according to this BuzzFeed interview,
[00:05:32.495 --> 00:05:37.622]  With an active duty army captain and a member of Anonymous, quote, more leaks are on the way.
[00:05:37.682 --> 00:05:44.571]  So now you actually have people who are deliberately joining the military to try and become the next Edward Snowden.
[00:05:44.932 --> 00:05:48.196]  So the attempt to keep a lid on all this stuff appears to be failing.
[00:05:48.843 --> 00:05:57.410]  Speaking of whistleblowers, Kurt Nimmo reports, Benghazi whistleblower lawyer, stolen Libyan missiles will be used to shoot down aircraft.
[00:05:57.790 --> 00:06:13.402]  A former US attorney, Joe DiGenova, who is representing a Benghazi whistleblower, told the Washington DC radio station on Monday that 400 surface-to-air missiles were, quote, stolen in Libya and given to some very ugly people, aka Al-Qaeda.
[00:06:14.102 --> 00:06:14.623]  Now, of course,
[00:06:15.928 --> 00:06:37.149]  Let's not get into the debate of whether they were stolen or not, because we know for a fact that the surface-to-air missiles were actually being handed to al-Qaeda terrorists in Syria by the CIA as part of the now-confirmed, CNN had to report it for everybody to believe it, we were talking about it months ago, the confirmed weapons smuggling operation
[00:06:37.549 --> 00:06:52.220]  That was being run out of Benghazi with the CIA of course now engaged in desperate damage control attempting to hide the details of that program by subjecting CIA agents in the region to monthly polygraph tests.
[00:06:52.260 --> 00:07:04.789]  So it's confirmed that the weapons are now going to the Al-Qaeda rebels in Syria and that Benghazi was a key focal point for that operation before the assault on the consulate last year.
[00:07:05.715 --> 00:07:18.335]  So, you know, when US airliners are being shot down, and that's being used to justify military intervention in yet another country, just remember who gave the terrorists those surface-to-air missiles in the first place.
[00:07:19.557 --> 00:07:20.017]  Moving on.
[00:07:20.378 --> 00:07:25.001]  New Hampshire City wants a tank to use against occupiers and libertarians.
[00:07:25.402 --> 00:07:26.823]  This is out of Mother Jones.
[00:07:27.263 --> 00:07:46.639]  While the US government, as we just reported, gives surface-to-air missiles to al-Qaeda terrorists, the police chief in Concord, New Hampshire, is attempting to secure a quarter of a million dollars from Homeland Security in order to buy a tank to target the real terrorists, occupiers and libertarians.
[00:07:47.199 --> 00:07:55.987]  And this is what the police chief, who was later forced to apologise when this went public, wrote in a filing to secure funding for this armoured vehicle.
[00:07:56.548 --> 00:08:01.673]  Quote, the state of New Hampshire's experience with terrorism slants primarily towards the domestic type.
[00:08:02.093 --> 00:08:09.740]  The filing reads, we are fortunate that our state has not been victimised from a mass casualty event from an international terrorism strike.
[00:08:10.521 --> 00:08:13.924]  However, on the domestic front, the threat is real.
[00:08:14.064 --> 00:08:22.891]  And here, groups such as the Sovereign Citizens, Free Staters and Occupy New Hampshire are active and present daily challenges.
[00:08:23.532 --> 00:08:24.252]  So there you have it.
[00:08:24.372 --> 00:08:37.864]  Once again, they're identifying peaceful political activists like Libertarians and Occupyers, Occupy Wall Street movement, as domestic terrorists and trying to buy tanks with DHS help.
[00:08:38.601 --> 00:08:41.844]  to be used against those peaceful political groups.
[00:08:42.384 --> 00:08:49.130]  Once again, the real targets of the war on terror are domestic political activists.
[00:08:50.471 --> 00:08:54.835]  Newly published study proves watching television dumbs down young children.
[00:08:54.975 --> 00:09:03.662]  This is a recent study published by Nature.com and the conclusion was this, that watching television for young people
[00:09:04.435 --> 00:09:23.034]  Increases in total television time at 29 months were associated with subsequent decreases in vocabulary and math skills, classroom engagement, which is largely determined by attention skills, victimization by classmates, and physical prowess at kindergarten.
[00:09:23.554 --> 00:09:24.836]  So this study found that
[00:09:25.736 --> 00:09:39.823]  All those fears, maths, vocabulary, even physical prowess, was negatively impacted by watching television at 29 months of age for these toddlers and young children.
[00:09:40.643 --> 00:09:43.665]  And of course that correlates with something we reported a few weeks back.
[00:09:44.409 --> 00:09:54.614]  Which was the report out of Yahoo which showed that IQ in Western nations has dropped by a staggering 14.1 points over the course of the last 100 years.
[00:09:55.254 --> 00:10:02.237]  And of course television has undoubtedly played its part in that dumbing down process, which segues into our next story.
[00:10:02.757 --> 00:10:08.580]  Newly discovered 8th grade exam from 1912 shows how dumbed down America has become.
[00:10:09.688 --> 00:10:25.259]  And when I first saw this story, I was skeptical because there was a heated debate about a similar story back from a couple of years ago about an eighth grade test from 1895, which was used to make the same point about dumbing down in schools.
[00:10:26.226 --> 00:10:31.088]  But many claim that was inaccurate because the test was actually directed at teachers and not students.
[00:10:31.609 --> 00:10:33.049]  It was hastily debunked.
[00:10:33.510 --> 00:10:38.172]  This one cannot easily be debunked, and it's quite shocking to say the least.
[00:10:38.812 --> 00:10:42.954]  It was an eighth grade test conducted by Bullitt County School District in 1912.
[00:10:44.875 --> 00:10:53.360]  And in this article, which is on Infowars.com from Michael Snyder, he links to the Bullitt County History website, which has a copy of the original test.
[00:10:53.780 --> 00:10:55.781]  Now listen to a couple of these questions.
[00:10:56.201 --> 00:11:02.483]  And ask yourself how an 8th grader in 2013 would fare in this exam.
[00:11:02.883 --> 00:11:06.744]  One of the questions is, how many parts of speech are there?
[00:11:07.084 --> 00:11:08.144]  Define each.
[00:11:09.104 --> 00:11:13.365]  Another question is, locate the following countries which border each other.
[00:11:13.765 --> 00:11:17.366]  Turkey, Greece, Serbia, Montenegro, Romania.
[00:11:18.266 --> 00:11:24.288]  So, this 12th grade test, and these are just two of the questions, there's literally dozens and dozens of them.
[00:11:25.040 --> 00:11:29.604]  Talking about advanced geographical knowledge.
[00:11:29.624 --> 00:11:34.768]  37% of Americans in 2013 can't even locate America on a world map.
[00:11:35.008 --> 00:11:36.189]  And we're talking about adults.
[00:11:37.050 --> 00:11:39.652]  This was aimed at 8th graders.
[00:11:40.153 --> 00:11:44.236]  And they're talking about identifying Serbia and Montenegro on a map.
[00:11:44.677 --> 00:11:47.419]  They're talking about defining all the different parts of speech.
[00:11:47.779 --> 00:11:53.004]  Talking about mathematical equations and sums that are just mind-bogglingly difficult.
[00:11:54.024 --> 00:11:59.269]  Even for adults nowadays, and yet they were being aimed at children back in 1912.
[00:12:00.250 --> 00:12:12.141]  And you know, the counter-argument that always comes out when these kind of stories emerge is that, you know, these students were specifically studying to answer these questions at the time, so they'd be well-versed in the material.
[00:12:13.703 --> 00:12:19.308]  They'd be completely prepared for the exam, whereas just reading it fresh today, we're not prepared for any of it.
[00:12:20.109 --> 00:12:21.850]  But it doesn't really wash with me.
[00:12:21.870 --> 00:12:27.992]  You know, I remember taking exams 17, 18 years ago when I was at a similar educational level.
[00:12:28.532 --> 00:12:32.394]  There's no way they were anywhere near this level of difficulty.
[00:12:33.342 --> 00:12:39.526]  And as we mentioned, the IQ, it's confirmed, has dropped 14.1 points.
[00:12:40.026 --> 00:12:46.551]  This is the deliberate dumbing down program that Charlotte Isaby has exposed many times on InfoWars.
[00:12:47.331 --> 00:12:56.277]  It's about changing education from exalting the best and the brightest to dragging everyone down to the lowest common denominator.
[00:12:57.158 --> 00:13:00.420]  You know, the exams have been made so easy nowadays that
[00:13:01.437 --> 00:13:03.898]  They have to do it because people wouldn't pass them.
[00:13:04.498 --> 00:13:11.961]  Kids are nowhere near as smart as they were a hundred years ago, despite all our access to information at the click of a button.
[00:13:12.181 --> 00:13:15.843]  They're being dumbed down and they're making the test easier to ensure that people pass them.
[00:13:16.643 --> 00:13:27.588]  And it's all deliberate because education now, whatever you believe it started as, isn't about teaching young people how to think, it's about teaching them how to regurgitate.
[00:13:28.382 --> 00:13:32.004]  And looking at this test from 1912 only bolsters that point.
[00:13:33.145 --> 00:13:34.226]  Final story tonight.
[00:13:34.726 --> 00:13:36.167]  Real or hoax?
[00:13:36.207 --> 00:13:40.390]  1960s subliminal national anthem video says obey government.
[00:13:40.830 --> 00:13:48.035]  A creepy 1960s national anthem video features subliminal messages encouraging the viewers to obey, consume and trust the government.
[00:13:48.916 --> 00:13:54.159]  And it sounds like something straight out of the 1988 science fiction film, They Live.
[00:13:54.419 --> 00:13:56.361]  But is it genuine or is it a hoax?
[00:14:07.842 --> 00:14:10.744]  Did you see the letters change at the bottom?
[00:14:11.425 --> 00:14:14.567]  Let's watch it again in even slower frame-by-frame motion.
[00:14:45.872 --> 00:14:50.153]  This video was shown signing off of television programming for the day.
[00:14:51.205 --> 00:15:05.478]  Throughout the 60s and we know that during that time is the same exact time that the Mass Mind Control MK Ultra Project, the government covert operation was going on in the United States.
[00:15:05.819 --> 00:15:09.842]  They were carrying it out on the American people and that's been admitted.
[00:15:09.902 --> 00:15:12.645]  The CIA admitted it in what, 1970?
[00:15:13.025 --> 00:15:16.128]  And there's even a speech where Bill Clinton apologized for it.
[00:15:18.618 --> 00:15:28.305]  Now, if you watch the analysis of this video, which is in the YouTube version on the InfoWars article, you'll clearly see that when it's slowed down, the following text becomes visible.
[00:15:29.146 --> 00:15:30.807]  Trust the US government.
[00:15:31.488 --> 00:15:33.169]  God is real, God is watching.
[00:15:33.749 --> 00:15:35.271]  Believe in government God.
[00:15:35.971 --> 00:15:37.873]  Rebellion will not be tolerated.
[00:15:38.453 --> 00:15:40.114]  Obey, consume, obey, consume.
[00:15:40.755 --> 00:15:43.477]  Buy MKUltra, buy MKNaomi.
[00:15:44.537 --> 00:15:46.658]  Worship, consume, obey, believe.
[00:15:47.018 --> 00:15:48.579]  Do not question government.
[00:15:49.079 --> 00:15:51.820]  So all these words are scrolling across.
[00:15:51.860 --> 00:15:54.461]  You can't see them at real speed, but if you slow it down you can.
[00:15:55.561 --> 00:15:58.042]  So, is it real or is it a hoax?
[00:15:58.442 --> 00:15:59.943]  Well, the debate still rages.
[00:15:59.983 --> 00:16:03.304]  There doesn't seem to be any definitive conclusion from what I've seen.
[00:16:04.204 --> 00:16:14.792]  But the fact that the messages so closely resemble those used in They Live, the classic dystopian sci-fi film, does suggest that it is a clever hoax.
[00:16:15.553 --> 00:16:18.495]  But no one's taken responsibility for it.
[00:16:19.176 --> 00:16:26.722]  Of course, the irony now is that this kind of subliminal messaging isn't really required as a primary tool of brainwashing.
[00:16:26.742 --> 00:16:28.143]  They still use it in advertising.
[00:16:28.877 --> 00:16:44.089]  But most of the social engineering now is done through storylines in popular TV shows, which they can use to sell any attitude, product, or demonize any political belief, as we see on a regular basis.
[00:16:44.709 --> 00:16:45.630]  But again, is it real?
[00:16:45.950 --> 00:16:46.651]  Is it a hoax?
[00:16:46.731 --> 00:16:51.735]  It's certainly creepy, and I invite you to go and watch that video on InfoWars.com.
[00:16:52.856 --> 00:16:54.257]  Quote of the day now.
[00:16:55.475 --> 00:17:00.901]  Quote, our job is to give people not what they want, but what we decide they ought to have.
[00:17:02.022 --> 00:17:06.367]  That's Richard Salent, former president, CBS News.
[00:17:06.407 --> 00:17:08.309]  He said that back in the 70s.
[00:17:09.250 --> 00:17:11.893]  And you know, now that Americans are finally becoming aware of
[00:17:12.458 --> 00:17:32.360]  To what degree exactly their media is controlled, we're now seeing polls that show 77% of the American public distrust mainstream television news, and that's one reason why more and more people are turning to Infowars and other independent media outlets for a real alternative.
[00:17:33.277 --> 00:17:48.269]  We're going to go to a break now, but coming up, David Knight talks to Press for Truth's Dan Dix, who is shooting footage for the Obama Deception 2, about police harassment that he's encountered across the country simply for filming.
[00:17:48.809 --> 00:17:49.370]  Stay tuned.
[00:18:13.792 --> 00:18:15.433]  Introducing Pro-1.
[00:18:15.693 --> 00:18:19.216]  All of your filtration in one system, portable, on-the-go.
[00:18:19.336 --> 00:18:23.739]  No more do you have two or three filters to just reduce sodium fluoride.
[00:18:23.859 --> 00:18:29.863]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:18:29.983 --> 00:18:40.850]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:18:40.990 --> 00:18:43.612]  It is the only one that does it and out of the gate.
[00:18:43.832 --> 00:18:47.273]  We have it discounted at 10% off with promo code WATER.
[00:18:47.453 --> 00:19:04.438]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:19:04.778 --> 00:19:10.079]  Get your Pro-Pure with the new Pro-1 filters today at InfoWarsTore.com or by calling 888-253-3139.
[00:19:17.438 --> 00:19:24.019]  Well, joining us today is Dan Dix from Press for Truth, and he's produced a lot of documentary films that we carry at Infowarsstore.com.
[00:19:24.720 --> 00:19:26.640]  The most recent one is The Turning Point.
[00:19:26.900 --> 00:19:30.341]  It was about the 2012 Bilderberg in Virginia.
[00:19:31.001 --> 00:19:34.301]  We've also got the Toronto hearings on 9-11.
[00:19:34.562 --> 00:19:37.502]  That was, I think, about 2011 that you did that, didn't you, Dan?
[00:19:38.002 --> 00:19:42.343]  Then Into the Fire, which is a story about the G-20 in Toronto.
[00:19:42.983 --> 00:19:46.224]  And then United We Fall, which is about the North American Union.
[00:19:46.900 --> 00:19:49.022]  So you've got quite a bit of variety here, Dan.
[00:19:49.222 --> 00:19:49.503]  Welcome.
[00:19:49.823 --> 00:19:50.704]  Yeah, thank you for having me.
[00:19:51.004 --> 00:19:52.586]  Tell us a little bit about Press for Truth.
[00:19:52.666 --> 00:19:57.191]  That's your organization that you've got on your website as well as your documentaries.
[00:19:58.027 --> 00:20:08.094]  Yeah, Press for Truth is an independent media outlet that I started back in 2006, basically just covering events that the mainstream media often fails to report on.
[00:20:08.854 --> 00:20:20.102]  So I just began covering various events like protests and started coming across some very interesting protests and finding out, you know, riot footage and different kinds of rallies.
[00:20:20.903 --> 00:20:23.925]  So it just began as documenting certain events just
[00:20:24.565 --> 00:20:26.146]  To put videos out on YouTube.
[00:20:26.786 --> 00:20:33.210]  And that eventually grew into making full-length, feature-length documentary films eventually.
[00:20:34.150 --> 00:20:36.211]  So that's pretty much it in a nutshell.
[00:20:36.251 --> 00:20:42.995]  Press for Truth is just me and a couple other guys basically covering everything we can from the Canadian perspective.
[00:20:43.755 --> 00:20:48.918]  I find sometimes that's not necessarily getting covered enough, so I tend to focus on that.
[00:20:48.958 --> 00:20:54.081]  It's not exclusively for Canadians, but that's somewhat of the focus there with press.
[00:20:54.101 --> 00:20:57.983]  I noticed that we had, we were talking just before we started the interview, several
[00:20:58.988 --> 00:21:02.610]  Short documentaries submitted for Operation Paul Revere from Andrew Demeter.
[00:21:02.870 --> 00:21:04.551]  And he always had Press for Truth there.
[00:21:04.571 --> 00:21:06.572]  So how's he associated with your organization?
[00:21:06.592 --> 00:21:07.832]  Those were good documentaries.
[00:21:07.872 --> 00:21:08.633]  Yeah, yeah.
[00:21:08.793 --> 00:21:10.954]  Andrew Demeter is doing great work.
[00:21:11.094 --> 00:21:11.914]  Young 15-year-old.
[00:21:11.954 --> 00:21:12.155]  Really?
[00:21:12.255 --> 00:21:12.415]  Only 15?
[00:21:12.455 --> 00:21:13.135]  15 years old.
[00:21:15.296 --> 00:21:15.536]  Wow.
[00:21:15.976 --> 00:21:16.957]  Doing amazing stuff.
[00:21:17.157 --> 00:21:17.757]  Yes.
[00:21:17.817 --> 00:21:25.961]  So I put out a call a while back about bringing on some correspondents and I saw that Andrew was doing great work so I wanted to get him involved with what I'm doing.
[00:21:26.781 --> 00:21:31.063]  So he's been putting together some excellent video reports for Press for Truth.
[00:21:31.083 --> 00:21:32.404]  He covered a variety of topics.
[00:21:32.464 --> 00:21:36.866]  Now your stuff seems to be kind of more focused on globalism and the global elites.
[00:21:38.294 --> 00:21:46.606]  Globalization, the whole New World Order agenda, basically, is what we focus on, which encompasses a whole lot of things.
[00:21:47.267 --> 00:21:50.331]  That's why we went to cover Bilderberg.
[00:21:50.752 --> 00:21:52.795]  First, I covered Bilderberg three times now.
[00:21:53.616 --> 00:22:00.318]  Yeah, first time was back in 2006, and then we did it again in Chantilly, and then again this year in London.
[00:22:01.218 --> 00:22:10.141]  So we focus on organizations like that as well, obviously, and put together the turning point to show what's going on with those guys.
[00:22:10.521 --> 00:22:10.721]  Good.
[00:22:11.002 --> 00:22:14.783]  Now, one of the ones I'm interested in here, too, that I haven't seen is the Toronto hearings on 9-11.
[00:22:16.544 --> 00:22:19.065]  You present a lot of evidence to a panel of experts.
[00:22:19.626 --> 00:22:24.229]  I was just talking to a fellow in the UK, Tony Rook, who's looking to do that.
[00:22:24.489 --> 00:22:33.294]  His background, his father was a police officer, and so he did a documentary about a police officer who woke up to 9-11 and what happened to him.
[00:22:33.334 --> 00:22:37.137]  Basically, he got booted out of the police service.
[00:22:37.877 --> 00:22:51.207]  He wanted to present that evidence to police and to judges because it's been his experience that a lot of them who are just ordinary, honest cops, once they're presented with the evidence, they're absolutely astounded because they just haven't seen it.
[00:22:51.287 --> 00:22:53.069]  What was your experience with Toronto 9-11?
[00:22:53.089 --> 00:22:56.151]  What kind of panel of experts did you have that you were presenting that to?
[00:22:56.482 --> 00:23:07.967]  Well, this was a four-day event where there were expert eyewitnesses, architects, engineers, scientists who were presenting their information to a whole panel.
[00:23:10.088 --> 00:23:17.831]  Ten years, eleven years at that point of research have gone into these guys' work and it was a four-day event and we documented the entire thing.
[00:23:18.531 --> 00:23:22.134]  And I got an opportunity to interview all of the people who are speaking there.
[00:23:22.214 --> 00:23:24.716]  So this is not so much a documentary.
[00:23:24.756 --> 00:23:33.483]  It's a six-hour long informational DVD package, basically, of kind of all the latest information on what's going on with... All different disciplines.
[00:23:34.043 --> 00:23:38.946]  All different disciplines of people studying 9-11 for the past 11 years, basically.
[00:23:39.887 --> 00:23:42.208]  So it was, like I said, a four-day event.
[00:23:42.248 --> 00:23:50.853]  We managed to condense it all down to six hours, so that particular DVD is just jam-packed with the latest info on all the stuff going on with 9-11.
[00:23:51.073 --> 00:23:53.135]  And it's amazing, because as I go through it,
[00:23:54.116 --> 00:23:55.797]  Everybody's got some level of expertise.
[00:23:56.897 --> 00:24:00.399]  Even if they don't have a level of expertise, they've seen building demolitions before.
[00:24:01.619 --> 00:24:06.361]  They can also understand, you know, two planes, three buildings, that doesn't add up, right?
[00:24:06.441 --> 00:24:09.723]  But it's interesting to see people who have expertise in a particular area.
[00:24:10.983 --> 00:24:11.704]  Absolutely.
[00:24:30.097 --> 00:24:30.557]  Absolutely.
[00:24:30.617 --> 00:24:36.241]  Sometimes we'll have people who, when this is sensitive, who'll say, well I was there, you know, you weren't.
[00:24:36.301 --> 00:24:44.886]  And like you said, you don't necessarily have to have been there to be able to study this event and to know that the official story just simply does not add up.
[00:24:45.066 --> 00:24:49.408]  And that's another thing about the DVD is we left speculation at the door.
[00:24:49.448 --> 00:24:51.149]  There's no, it's just pure
[00:24:52.310 --> 00:24:52.710]  Facts.
[00:24:53.171 --> 00:25:00.635]  You know, this is kind of coming from a scientific kind of a stance, so we left opinion and that sort of thing at the door.
[00:25:00.775 --> 00:25:02.936]  And being there doesn't really do anything.
[00:25:02.996 --> 00:25:19.746]  I mean, you know, being an eyewitness to it, you can see the plane crash into the building, but when you have a pilot who has flown these planes for decades, who has instructed people on how to fly these planes for decades, when he says that you can't control a plane at that altitude, at that speed,
[00:25:20.586 --> 00:25:21.707]  That's important.
[00:25:21.727 --> 00:25:25.048]  That's something that even if you're an eyewitness to it, you don't know that when you first see that.
[00:25:25.108 --> 00:25:30.991]  That's something that comes out over a period of time as experts come forth and say, you know, this shit really doesn't add up.
[00:25:31.491 --> 00:25:31.872]  That's right.
[00:25:32.052 --> 00:25:32.372]  That's right.
[00:25:32.392 --> 00:25:40.496]  And it's the same with all the demolition experts who can see that this falls in line with controlled demolitions.
[00:25:41.596 --> 00:25:47.339]  And you had people on the very day saying over and over again, wow, that just looked like a controlled demolition of a building.
[00:25:47.359 --> 00:25:48.860]  You had news anchors who were saying that.
[00:25:50.161 --> 00:25:50.862]  You could see that.
[00:25:51.863 --> 00:25:52.844]  Well, that's very interesting.
[00:25:52.884 --> 00:25:57.369]  Now, you're here today in studio because you're working on another documentary.
[00:25:57.469 --> 00:26:03.717]  You're working on the next InfoWars documentary and you've been traveling all over the country getting B-roll footage.
[00:26:03.737 --> 00:26:04.638]  Tell us a little bit about that.
[00:26:04.898 --> 00:26:09.100]  That's right, yeah, I've been helping out Alex with the Obama Deception Part 2.
[00:26:09.960 --> 00:26:16.363]  So I've been going to a number of states, just covering some stuff in Washington, D.C., some stuff in New York.
[00:26:17.024 --> 00:26:25.708]  We were out to Philadelphia and Mount Vernon in Virginia, and basically just shooting B-roll for the film, and so now I'm here.
[00:26:26.408 --> 00:26:32.778]  In Austin, Texas, to sit down with you guys for a couple days to kind of help edit the shots together of all the stuff that we... I mean, it sounds like fun.
[00:26:32.818 --> 00:26:39.709]  It sounds like you're having a great vacation, except people who haven't shot in these locations don't know the kind of hassles that you get from
[00:26:40.481 --> 00:26:42.322]  The authorities, from the powers that be.
[00:26:42.342 --> 00:26:44.163]  Tell us a little about some of that, I'm sure you've had.
[00:26:44.283 --> 00:26:48.025]  Far from a vacation, we've been putting in 14, 15 hour days of filming.
[00:26:48.786 --> 00:26:50.327]  Definitely getting hassled.
[00:26:50.347 --> 00:26:52.268]  A good example is in Washington, D.C.
[00:26:52.908 --> 00:26:55.710]  We'd often get hassled about having a tripod.
[00:26:56.370 --> 00:27:05.875]  And, you know, when we'd end up talking to these police officers, we'd eventually realize that if we collapsed the three legs together into a monopod, they'd say, well, that's okay.
[00:27:06.336 --> 00:27:08.197]  And the one police officer even said to me,
[00:27:08.937 --> 00:27:11.800]  Well, you know, that's because it's not going to be as steady as a shot.
[00:27:11.880 --> 00:27:13.622]  It's not going to be as crisp and as smooth.
[00:27:14.263 --> 00:27:19.288]  Because then, they know that they should be selling you a permit for it, but it's all ridiculous.
[00:27:19.308 --> 00:27:20.089]  Yeah, that's right.
[00:27:20.169 --> 00:27:21.130]  Well, there's ways around that.
[00:27:21.431 --> 00:27:25.235]  You know, they even have the monopods now with the little feet that come out, so... Exactly.
[00:27:25.415 --> 00:27:25.976]  How does that fall?
[00:27:25.996 --> 00:27:26.596]  Is that a tripod?
[00:27:26.636 --> 00:27:27.317]  Is that a tripod?
[00:27:27.337 --> 00:27:27.517]  Exactly.
[00:27:27.537 --> 00:27:29.500]  Is that kind of micromanagement of the rules?
[00:27:30.400 --> 00:27:32.582]  What about New York, Bloomberg land?
[00:27:32.882 --> 00:27:36.325]  Yeah, New York, we ran into a couple of issues.
[00:27:36.365 --> 00:27:38.147]  We were down at the New York Stock Exchange.
