[00:00:21.169 --> 00:00:23.012]  It's Tuesday, September 17th.
[00:02:39.712 --> 00:02:53.643]  They don't want to concentrate on SSRI drugs, mainly because the corporate news networks receive millions of dollars a year in advertising from the very pharmaceutical giants involved in producing those drugs.
[00:02:53.683 --> 00:02:55.505]  They don't want to bite the hand that feeds them.
[00:02:56.414 --> 00:03:02.364]  But now it's coming clear that Alexis, this mass shooter, was on this medication.
[00:03:02.404 --> 00:03:03.807]  It's yet to be confirmed, but again...
[00:03:05.713 --> 00:03:07.414]  90% of school shooters were on these drugs.
[00:03:07.894 --> 00:03:13.155]  Dozens of cases and massacres over the last 25 years of these shooters being on drugs.
[00:03:13.715 --> 00:03:17.016]  More and more Americans are taking SSRIs every year.
[00:03:17.296 --> 00:03:31.800]  There's no real pushback against it, specifically because after every mass shooting, the media lies by omission by failing to make the clear connection between violence, mass shootings and psychiatric drugs.
[00:03:31.840 --> 00:03:34.141]  And that connection has emerged once again.
[00:03:35.333 --> 00:03:38.875]  Mass shootings fuel fear, account for fraction of murders.
[00:03:38.895 --> 00:03:40.376]  This is a report out of Bloomberg.
[00:03:40.816 --> 00:03:41.456]  Mass U.S.
[00:03:41.496 --> 00:03:52.563]  shootings such as the bloody rampage at the Washington Navy Yard spur safety concerns and garner intense media attention while statistically accounting for few of the total murders reported worldwide.
[00:03:53.343 --> 00:04:14.391]  So, in this article which breaks down the research of James Alan Fox, a professor of criminology at Boston's Northeastern University, proves documents that there is no recent epidemic of mass shootings in the United States and that the fraction, the percentage, of mass shootings in terms of murders is extremely small.
[00:04:15.495 --> 00:04:18.379]  Now, again, it's perception over reality.
[00:04:18.419 --> 00:04:29.376]  The mainstream media's obsession over these incidents, again, in relation to their gun control agenda, manipulates Americans into thinking they're becoming more commonplace.
[00:04:29.496 --> 00:04:30.778]  Same with gun crime.
[00:04:31.298 --> 00:04:34.481]  Violent crime is decreasing rapidly in the United States.
[00:04:34.581 --> 00:04:35.862]  Gun homicides in the U.S.
[00:04:35.902 --> 00:04:41.066]  are down 49% since 1993, according to the Justice Department's own figures.
[00:04:41.627 --> 00:04:55.298]  But because the political establishment has organized this agenda to eviscerate the Second Amendment, it relies on the corporate press to provide the emotional theater necessary to elicit support from the American people for gun control.
[00:04:55.778 --> 00:05:01.740]  Support, which would be far lower if Americans were cognizant of the actual facts.
[00:05:02.300 --> 00:05:13.583]  Now, while on the subject of the Second Amendment, we're going to go to a report by Gigi Ornette about Maryland's attempt to secede from the Union to escape high taxes and draconian gun laws.
[00:05:13.623 --> 00:05:14.063]  Here it is.
[00:05:18.149 --> 00:05:23.433]  Add Maryland to the list of states that have counties in them that want to form their own state.
[00:05:24.053 --> 00:05:26.435]  It's the race for the 51st state.
[00:05:26.715 --> 00:05:35.160]  Maryland is dominated by politicians imposing lofty taxes that profit the bigger cities, leaving Western Maryland to foot the bill with little in return.
[00:05:35.781 --> 00:05:47.869]  Much like Colorado and Southeast California, Western Maryland's traditional lifestyles aren't reflected in the political leadership, hence tipping the state laws to benefit the enlarged, lethargic government.
[00:05:48.429 --> 00:05:51.452]  I mean, we don't need a big, one-size-fits-all policy here.
[00:05:51.812 --> 00:05:59.898]  And after decades of what I would call oppressive and abusive treatment from Annapolis, Maryland, the people in the five western counties are sick and tired.
[00:06:00.098 --> 00:06:04.541]  Earlier this year, InfoWars reported on counties in Colorado that were in line for secession.
[00:06:05.462 --> 00:06:13.166]  In those counties, there was Weld, Sedgwick, Phillips, Washington, Kit Carson, Yuma, Morgan, and Cheyenne counties.
[00:06:13.566 --> 00:06:24.471]  They've all expressed being a part of a new Northern Colorado, mainly because of recent changes to the gun laws and the push of renewable energy standards that the rural areas could not fiscally sustain.
[00:06:25.131 --> 00:06:30.012]  Note that recently in Colorado, two lawmakers were ousted out because of their strict gun laws.
[00:06:30.252 --> 00:06:32.653]  So the people in Colorado had their voice heard.
[00:06:33.293 --> 00:06:37.394]  In Northern California, they're talking about creating a state called Jefferson.
[00:06:37.694 --> 00:06:42.776]  Inclusive of Jefferson would be the rural counties of Northern California and Southern Oregon.
[00:06:43.316 --> 00:06:50.318]  Exhausted from an overbearing centralized government, the counties are pushing back so they can be free from the suffocating regulations of the government.
[00:06:50.638 --> 00:06:54.841]  We have a situation where this country has been driven by the Tea Party for the last number of years.
[00:07:19.577 --> 00:07:27.204]  When I was in school, I studied government, and I learned about the anarchists.
[00:07:28.225 --> 00:07:33.110]  Now, they were different than the Tea Party, because they were violent.
[00:07:33.711 --> 00:07:38.395]  But they were anarchists because they did not believe in government on any level, and they acknowledged it.
[00:07:38.856 --> 00:07:40.998]  The Tea Party kind of hides that.
[00:07:42.049 --> 00:07:44.549]  They don't say we're against government, that's what it all amounts to.
[00:07:44.990 --> 00:07:51.711]  They're not doing physically destructive things to buildings and people, directly.
[00:07:52.031 --> 00:07:56.151]  But they are doing everything they can to throw a monkey wrench into any form of government.
[00:07:56.472 --> 00:08:01.812]  Whether it's local, whether it's state or federal government.
[00:08:01.932 --> 00:08:02.833]  That's what it's all about.
[00:08:03.673 --> 00:08:10.654]  And so, anything they can do to throw a monkey wrench in the wheels of government, they're happy doing that.
[00:08:11.263 --> 00:08:30.002]  So if you stand up for what is good for we the people against an overpaid, bloated, lethargic government that whips the people with their regulations that they don't even abide by themselves, or even read, for example, Obamacare, then you're a terrible, non-violent, anarchist Tea Party member.
[00:08:32.116 --> 00:08:35.858]  The government needs to be on a regulations diet.
[00:08:36.678 --> 00:08:39.800]  The fight for the title of 51st state has created a trend.
[00:08:40.200 --> 00:08:51.066]  A massive wave of resistance to tyranny that could absolutely foil Agenda 21 and cut off the tentacles of this lecherous globalist machine.
[00:08:51.566 --> 00:08:52.607]  Help fight the tyranny.
[00:08:52.687 --> 00:08:58.630]  Sign up for PrisonPlanet.tv today and give your username and password to up to 10 people.
[00:08:59.190 --> 00:09:02.151]  I'm Gigi Ornette with this InfoWars Nightly News Report.
[00:09:04.251 --> 00:09:10.312]  The Telegraph reports Aaron Alexis, Washington Navy Yard gunman, obsessed with violent video games.
[00:09:10.792 --> 00:09:20.514]  The Washington Navy Yard gunman Aaron Alexis played violent video games including Call of Duty for up to 16 hours at a time and friends believe it could have pushed him towards becoming a mass murderer.
[00:09:20.974 --> 00:09:26.475]  They've got quotes from his friends in this article saying, I think games might be what pushed him that way.
[00:09:27.463 --> 00:09:38.009]  Now, as we talked about earlier today on the Alex Jones Show, the usual response whenever I raise this issue of video games and mass shootings is, you know, I play violent video games.
[00:09:38.069 --> 00:09:39.069]  I'm not a mass murderer.
[00:09:39.389 --> 00:09:41.670]  Millions of people play video games worldwide.
[00:09:41.711 --> 00:09:42.591]  They're not all violent.
[00:09:43.371 --> 00:09:44.412]  But that's not the issue.
[00:09:44.492 --> 00:09:51.916]  The issue, the question that we're asking is, does an obsession with violent video games make it more likely for an already unstable person
[00:09:53.004 --> 00:09:59.387]  to cause violence especially in connection in addition to these SSRI drugs that we just talked about.
[00:09:59.887 --> 00:10:08.171]  Now to be fair, most of the actual studies have not found a relationship between video games and actual violence generally in society.
[00:10:08.931 --> 00:10:24.399]  Well, I think it's obvious that there needs to be more research into this connection between mass shooters, already unstable people on psychiatric drugs, you know, Anders Breivik, Harrison Kleibold, Adam Lanza, now the Navy shooter, all obsessed with violent video games.
[00:10:25.171 --> 00:10:32.513]  There's been very little research into that specific link, and I don't think it's unreasonable that we should study that connection in more depth.
[00:10:33.013 --> 00:10:41.336]  But even more importantly, as NBC News reported, quote, increasingly, the Pentagon is joining forces with the video games industry
[00:10:41.976 --> 00:10:43.938]  To train and recruit soldiers.
[00:10:43.978 --> 00:10:44.398]  The U.S.
[00:10:44.519 --> 00:10:51.465]  Army considers such simulators vital for recruits who've been weaned on shoot-'em-up games.
[00:10:51.945 --> 00:10:57.770]  So, just like Hollywood, the military is using these games as a recruiting tool to train killers.
[00:10:58.471 --> 00:10:59.292]  Actual killers.
[00:10:59.932 --> 00:11:08.620]  So, is it any surprise that, you know, when we habitually see mass shooters being obsessed with these video games, that there's also the same connection?
[00:11:09.491 --> 00:11:12.353]  We're not calling for banning video games.
[00:11:12.393 --> 00:11:20.257]  I understand that to a lot of young people, and we're even alienating a lot of our audience in slamming video games and their link to violence.
[00:11:20.698 --> 00:11:21.738]  You know, it's a religion.
[00:11:22.739 --> 00:11:24.080]  But we're not saying we're going to ban them.
[00:11:24.180 --> 00:11:26.021]  We're not going to take away people's addiction.
[00:11:26.761 --> 00:11:29.343]  And we're not saying that video games aren't fun.
[00:11:29.383 --> 00:11:36.327]  You know, we all need a release, but 16 hours a day playing Call of Duty, I don't think that's going to be healthy for anyone.
[00:11:37.341 --> 00:11:41.063]  And is it any wonder that, you know, childhood obesity is through the roof?
[00:11:41.283 --> 00:11:45.905]  It's more than doubled in children, tripled in adolescents over the past thirty years.
[00:11:46.365 --> 00:11:51.467]  Is it any wonder that kids are growing up now with increasingly less social skills?
[00:11:52.487 --> 00:12:01.011]  You know, this level of, you know, obsession for video games is not healthy in a physical sense, and it's not healthy for society.
[00:12:01.051 --> 00:12:03.232]  I don't think anyone could argue with that.
[00:12:04.485 --> 00:12:09.649]  Moving on, CIA employee who refused to sign non-disclosure on Benghazi suspended.
[00:12:10.029 --> 00:12:24.319]  A CIA employee who refused to sign a non-disclosure agreement barring him from discussing the September 11, 2012 terrorist attack in Benghazi, Libya, has been suspended as a result and forced to hire legal counsel, according to a top House lawmaker.
[00:12:25.280 --> 00:12:46.187]  Of course, as was recently revealed, which we reported on, the White House is trying to keep these CIA agents quiet because they don't want them blowing the whistle on the real story behind Benghazi, which was obviously the secret transfer of heavy weaponry to FSA rebels and al-Qaeda terrorists in Syria.
[00:12:46.847 --> 00:13:13.863]  So, we're being told by the Obama administration to believe them on intelligence that proves Assad was behind the chemical weapons attack in Syria, simply because, as John Kerry said, we know, while the administration simultaneously blocks CIA agents in Benghazi from telling the truth about weapons transfers to Syria by subjecting them to these forced polygraph tests on a routine basis,
[00:13:14.503 --> 00:13:23.369]  So forgive me for actually using my brain, but why should we trust the White House on Syria when they've already been actively covering up what happened at Benghazi?
[00:13:23.929 --> 00:13:31.494]  Initially, of course, stupidly attempting to blame it on a YouTube video, and they've been running that cover-up for over a year.
[00:13:32.952 --> 00:13:34.353]  Moving on, RT reports...
[00:13:50.879 --> 00:13:54.460]  And this, of course, is being done under the Arms Export Control Act.
[00:13:54.540 --> 00:14:06.005]  So, Obama is exploiting a tenuous loophole within this law which forbids supplying weapons to terrorists in order to supply weapons to terrorists.
[00:14:06.385 --> 00:14:16.249]  But don't worry, because those weapons are only going to the moderate rebels, you know, like FSA commander Abu Sakar, who likes to cut out people's hearts and eat them on camera.
[00:14:16.349 --> 00:14:17.029]  He's the moderate.
[00:14:18.893 --> 00:14:24.498]  The terrorists, the jihadists, are only a tiny minority of the opposition militants in Syria, right?
[00:14:25.139 --> 00:14:37.930]  Well, wrong, because as The Telegraph reported on Sunday, quote, almost half of Syrian rebel fighters are jihadists or hardline Islamists, according to a new report by London intelligence and defence consultancy IHS Jane's.
[00:14:38.271 --> 00:14:43.396]  So those weapons which Obama is creating a loophole for will be going to the terrorists.
[00:14:44.363 --> 00:14:46.965]  Moving on to Fukushima news, this is at Zero Hedge.
[00:14:46.985 --> 00:14:50.708]  TEPCO releases typhoon water into ocean, says it was safe.
[00:14:51.449 --> 00:15:00.315]  The always truthful and ever trustworthy Tokyo Electric Power Company has released a statement that says typhoon Manyi caused no major damage at Fukushima.
[00:15:00.616 --> 00:15:05.039]  That's great news, if true, but the follow-up to that is perhaps a little more concerning.
[00:15:05.339 --> 00:15:13.326]  As Kyodo News reports, TEPCO has released the excess rainwater that's collected between the barriers around radioactive storage tanks into the ocean.
[00:15:13.926 --> 00:15:25.133]  We're reassured, though, that cumulative rainwater was below allowable limits at 30 becquerels per litre, except the Tokyo Times reports that some was emitting 170,000 per litre.
[00:15:25.153 --> 00:15:25.833]  All good, then.
[00:15:29.454 --> 00:15:39.121]  Because, you know, it's not like Tepco admitted earlier this month that the radiation leak out of Fukushima was 18 times higher than they've been telling us for two and a half years.
[00:15:39.581 --> 00:15:47.447]  It's not as if their radiation detectors could only measure a maximum of 100 MSV per hour when the leaks were actually 1800 MSV per hour.
[00:15:49.949 --> 00:16:02.878]  You know, I guess we're just going to have to trust them that the water they released into the Pacific Ocean after this typhoon, like the 300 tons of radioactive water which they admitted to releasing recently, is perfectly safe.
[00:16:03.898 --> 00:16:04.899]  Final story tonight.
[00:16:04.999 --> 00:16:11.023]  Federal government routinely hires internet trolls, shills, to monitor chat rooms, disrupt article comment sections.
[00:16:11.043 --> 00:16:12.024]  This is out of Natural News.
[00:16:13.291 --> 00:16:16.013]  And again, this is no longer a conspiracy theory, it's totally omitted.
[00:16:16.613 --> 00:16:32.885]  The NSA, the Pentagon, the CIA, the Israeli government, along with a host of major corporations, including Monsanto, are hiring individuals whose sole purpose is to troll the comment sections of news websites, including Infowars.com, in an attempt to sway public opinion.
[00:16:33.526 --> 00:16:39.790]  As the AP reported last month, Israel is also hiring students straight out of university to
[00:16:41.011 --> 00:16:45.696]  Go into social media networks and post pro-Israel messages.
[00:16:46.197 --> 00:16:56.427]  Of course, we also had the story out of CTV in Canada, where government shills wade into social media and comment sections to, quote, correct misinformation about political issues.
[00:16:57.299 --> 00:17:05.383]  So, government shills being paid to troll social media and comment sections on news websites with status propaganda.
[00:17:05.403 --> 00:17:07.244]  It's now completely commonplace.
[00:17:07.504 --> 00:17:11.786]  I'm going to wonder every time I post online, is someone from the federal government watching what I'm saying?
[00:17:12.166 --> 00:17:16.868]  Do I have to change the temper or the tone of my argument simply because I worry that I'm being watched?
[00:17:17.069 --> 00:17:17.969]  It is a little bit scary.
[00:17:18.009 --> 00:17:21.371]  We've been talking about this risk, this online risk, for so long.
[00:17:21.431 --> 00:17:26.493]  Now that the government is wading into it, I think it needs to be very conscious of the potential for those fierce comments.
[00:17:26.957 --> 00:17:40.392]  I've also seen a recent trend where these fake profiles of attractive women wearing anonymous masks on Facebook, they'll try to friend you, they'll try to get you to send them an email, and it sounds like a form of entrapment.
[00:17:41.095 --> 00:17:47.421]  We know that the DHS is monitoring social media closely, targeting people who use certain keywords.
[00:17:48.302 --> 00:17:52.947]  And these forums, again, they've been used for entrapment many times in the past.
[00:17:53.007 --> 00:17:58.693]  So we've got trolls, government shills wading into social media comments on websites.
[00:17:59.335 --> 00:18:02.757]  It's committed and it seems to be increasing in frequency.
[00:18:03.617 --> 00:18:10.481]  Look out for a special report on the move towards a Chinese-style real-name registration internet in America.
[00:18:10.901 --> 00:18:12.402]  That's coming up tomorrow.
[00:18:13.062 --> 00:18:14.023]  That's it for the news.
[00:18:14.603 --> 00:18:23.808]  Stay tuned, though, because Leanne McAdoo speaks to comedy troupe Joy Camp about how they're reaching out and waking up people via the medium of satire.
[00:18:24.008 --> 00:18:25.849]  This is InfoWars Nightly News.
[00:18:25.909 --> 00:18:26.429]  Stay tuned.
[00:18:53.177 --> 00:19:02.640]  InfoWarsStore.com, a conscious and involved distributor of independently made products that support a healthy and aware community.
[00:19:04.961 --> 00:19:09.963]  Dive into cleaner waters with your own ProPure system and Pro1D filter.
[00:19:10.783 --> 00:19:13.264]  Save 10% with the promo code WATER.
[00:19:15.345 --> 00:19:20.967]  We've handpicked a veritable treasure trove of the best non-GMO seed banks on the market.
[00:19:21.994 --> 00:19:28.379]  And our selection of films showcases a wealth of knowledge outdone only by our books.
[00:19:29.661 --> 00:19:32.403]  Check for combo packs to multiply your savings.
[00:19:34.785 --> 00:19:38.708]  Wear your colors proudly with one of these conversation starters.
[00:19:39.989 --> 00:19:41.471]  Now available in pink.
[00:19:43.092 --> 00:19:46.635]  Get prepared and fund the revolution at InfoWarsStore.com
[00:19:55.037 --> 00:19:57.938]  Our guest today is Kevin Kostelnik of Joy Camp.
[00:19:58.098 --> 00:20:02.499]  You may remember Joy Camp's entry in our Operation Paul Revere film contest.
[00:20:03.179 --> 00:20:11.541]  Their YouTube channel pushes out a lot of pro-liberty-minded comedy, and so far it hasn't gotten them suicided or killed.
[00:20:12.502 --> 00:20:13.942]  Alright, well welcome to the show, Kevin.
[00:20:13.962 --> 00:20:15.783]  Thank you for having me.
[00:20:16.463 --> 00:20:23.945]  So Joy Camp is really good at taking serious political issues and then twisting them into a warped
[00:20:25.422 --> 00:20:36.692]  Yeah, that's sort of the aim that we do over here, is we try to take the truth and make it funny so that people can digest it a little bit easier.
[00:20:36.712 --> 00:20:37.733]  Well, we say they're right.
[00:20:37.793 --> 00:20:39.594]  There shouldn't be any room for humor in this world.
[00:20:39.614 --> 00:20:42.077]  It should be all serious, all the time, non-stop.
[00:20:51.242 --> 00:21:06.751]  No, seriously though, we would say that, well, Benny and I, I'm sorry Benny couldn't be here with me today, he sends his hellos to all of you, but we're big fans of Manley P. Hall, and Manley P. Hall has a great understanding of it.
[00:21:06.831 --> 00:21:15.296]  He says that there can be no great philosophy of life without a sense of humor, and there can be no sense of humor without a great philosophy of life.
[00:21:15.916 --> 00:21:25.861]  So, that's sort of our take on it, and we also really like the Oscar Wilde quote, which is, if you're going to tell somebody the truth, you better make them laugh, otherwise they'll kill you.
[00:21:26.401 --> 00:21:31.284]  So, I would tell those people that in the interest of our lives, comedy is necessary.
[00:21:32.084 --> 00:21:39.588]  Well, especially after one of your latest videos, I'm sure you're going to get some death threats after your take on World War III.
[00:21:40.368 --> 00:21:41.529]  Let's look at that video now.
[00:21:44.634 --> 00:21:48.899]  Assad also issued a stern warning about Western retaliation.
[00:21:49.079 --> 00:21:51.221]  Chaos and extremism will spread.
[00:21:51.622 --> 00:21:56.267]  The risk of a regional war exists.
[00:21:56.467 --> 00:21:59.390]  Welcome back to the World War Three pregame show.
[00:21:59.671 --> 00:22:02.354]  Another showdown in the Middle East for America.
[00:22:02.694 --> 00:22:09.002]  This, of course, piggybacking on classic matchups with Iraq, Afghanistan, and most recently, Libya.
[00:22:09.442 --> 00:22:17.271]  The undefeated America is steamrolling its way to world domination, and the question is, will anyone be able to stop them?
[00:22:17.592 --> 00:22:21.637]  Will Syria represent the revival the Arabs have been looking for?
[00:22:22.037 --> 00:22:23.738]  Reverend G, what are your thoughts?
[00:22:24.078 --> 00:22:26.439]  Well, first of all, praise the Lord, okay?
[00:22:26.459 --> 00:22:27.920]  Another war is on the horizon.
[00:22:27.980 --> 00:22:29.441]  I could not be more excited.
[00:22:30.281 --> 00:22:31.942]  Let's take a look at America's track record.
[00:22:31.982 --> 00:22:33.083]  We've had to overcome a lot.
[00:22:33.643 --> 00:22:36.644]  We've got conspiracy theorists just popping up left and right.
[00:22:36.944 --> 00:22:37.845]  And, of course, terrorism.
[00:22:37.865 --> 00:22:41.467]  Threatening our freedom every single day.
[00:22:41.687 --> 00:22:45.529]  But the wild card here that nobody saw coming and not a lot of people are talking about is...
[00:22:46.619 --> 00:22:47.159]  Israel.
[00:22:47.580 --> 00:22:49.261]  Their involvement in all of this.
[00:22:49.301 --> 00:22:51.682]  I mean, come on guys, we all saw what happened in Palestine.
[00:22:51.722 --> 00:22:54.004]  What they're doing in Palestine.
[00:22:54.184 --> 00:22:54.744]  Right?
[00:22:55.245 --> 00:22:56.465]  Absolutely.
[00:22:56.505 --> 00:22:58.427]  It's ruthless stuff going on over there, folks.
[00:22:58.447 --> 00:22:59.667]  You know, they're acting like beasts.
[00:22:59.888 --> 00:23:00.408]  They're beasts.
[00:23:00.848 --> 00:23:01.168]  Alright?
[00:23:01.449 --> 00:23:06.132]  Now, with Israel's support from the sidelines, Syria's in some real hot water here.
[00:23:06.392 --> 00:23:08.273]  KK, how do you see this one playing out?
[00:23:08.533 --> 00:23:10.954]  Well, B-Man, I am glad you asked.
[00:23:11.274 --> 00:23:12.735]  You see, it can go down like this.
[00:23:13.255 --> 00:23:13.955]  If the U.S.
[00:23:14.015 --> 00:23:20.677]  goes on the offensive and attacks Syria, then Syria's only option will be to launch a Hail Mary downfield to Israel.
[00:23:21.017 --> 00:23:25.959]  But we all know that Israel has one of the best defenses in the world.
[00:23:26.279 --> 00:23:31.301]  And Big Ben Netanyahu says he's prepared for any scenario.
[00:23:31.841 --> 00:23:33.242]  Israel will respond.
[00:23:33.922 --> 00:23:35.903]  And they will respond with strength.
[00:23:39.761 --> 00:23:44.643]  Well, Kevin, you are really rooting for America, so you agree that we are exceptional.
[00:23:45.543 --> 00:23:46.143]  Absolutely.
[00:23:46.163 --> 00:23:49.985]  I think actually, secretly, all of us in the video were rooting for America.
[00:23:50.005 --> 00:23:53.026]  I think that everybody is rooting for America, secretly.
[00:23:53.686 --> 00:24:00.188]  But, um, no, but seriously, we, um, we're not really rooting for World War III.
[00:24:00.629 --> 00:24:01.889]  World War III, yes.
[00:24:01.909 --> 00:24:04.410]  Hopefully people understand that that was a joke.
[00:24:05.063 --> 00:24:06.063]  Well, you'd be surprised.
[00:24:06.984 --> 00:24:07.284]  I know.
[00:24:07.304 --> 00:24:14.086]  We actually do get surprised, to be honest, with how many people think that what we're doing is serious or that it's not a laughing matter.
[00:24:14.166 --> 00:24:18.067]  And I mean, for a moment of seriousness, we really do.
[00:24:18.907 --> 00:24:20.008]  We're truth seekers.
[00:24:20.828 --> 00:24:21.548]  At the end of the day.
[00:24:21.568 --> 00:24:23.470]  And we just love comedy.
[00:24:23.830 --> 00:24:24.730]  We love George Carlin.
[00:24:24.750 --> 00:24:25.551]  We love Bill Hicks.
[00:24:25.991 --> 00:24:26.871]  We love Dave Chappelle.
[00:24:26.891 --> 00:24:29.613]  We love these people that have figured out Russell Brand.
[00:24:29.633 --> 00:24:32.395]  He had a great interview with Alex Jones recently.
[00:24:32.875 --> 00:24:42.380]  And we just love the way that these people are able to convey the truth in a nice package for people that otherwise wouldn't really pay that much attention to it.
[00:24:43.061 --> 00:24:45.422]  It's one thing to sort of preach to the choir, which is great.
[00:24:45.983 --> 00:24:47.548]  Our videos give a sense of relief.
[00:24:47.588 --> 00:24:52.603]  We offer a sense of relief to people who are aware of these subjects, but to other people, like...
[00:24:53.444 --> 00:24:56.367]  People of my family and people that we're friends with.
[00:24:56.987 --> 00:25:03.173]  This is a great way to enlighten them about a subject and make them laugh at the same time.
[00:25:03.213 --> 00:25:06.235]  Because we've realized that once you make somebody laugh, their guard is down.
[00:25:06.495 --> 00:25:09.418]  And at that point, you can pretty much plant the seed of truth.
[00:25:09.578 --> 00:25:13.702]  And then you just kind of let the rest work itself out.
[00:25:14.062 --> 00:25:18.066]  And hopefully they'll let that seed grow and nurture inside of them.
[00:25:18.086 --> 00:25:20.207]  And that's about as much as we can do.
[00:25:21.224 --> 00:25:24.565]  Masking the truth in laughter is a very, very powerful thing.
[00:25:25.225 --> 00:25:25.766]  Definitely.
[00:25:25.786 --> 00:25:31.467]  It gets really heavy sometimes in the news studio, so sometimes it's nice to be able to lighten the mood.
[00:25:32.268 --> 00:25:32.728]  Oh, I agree.
[00:25:32.768 --> 00:25:34.368]  Somebody wrote us recently on Facebook.
[00:25:34.388 --> 00:25:47.033]  They told us that they go to InfoWars and Red Ice and all these other websites to get their information, to get the real information, and then they come over to Joy Camp to get
[00:25:48.753 --> 00:25:50.714]  A little sense of imbalance in their life.
[00:25:50.774 --> 00:25:59.259]  You know, they digest a lot of really intense information and they have to find some type of relief, some type of outlet.
[00:25:59.319 --> 00:26:02.300]  So at Joy Camp, that's really what we're offering.
[00:26:03.361 --> 00:26:14.527]  Beyond spreading the information to people who might not otherwise be all about it, we also offer this sort of sense of relief and balance for people that are all about it.
[00:26:15.899 --> 00:26:18.941]  How do you guys narrow down the conspiracies?
[00:26:19.122 --> 00:26:20.983]  There's so much material to work with.
[00:26:21.143 --> 00:26:24.225]  How do you pick the conspiracy of the day?
[00:26:24.245 --> 00:26:32.352]  Honestly, well, we have a whiteboard in our living room, which is like our joy cam studios, where we film almost everything here in Los Angeles.
[00:26:33.152 --> 00:26:36.374]  And anytime we come up with an idea, we usually jot it down.
[00:26:36.734 --> 00:26:45.578]  We're trying to be better about being more timely because we understand that people generally share things on their sites when it fits in the news cycle.
[00:26:46.238 --> 00:26:52.160]  But every now and then, we just can't help ourselves when we come up with some ridiculously silly idea that we have to do.
[00:26:52.401 --> 00:26:57.443]  And the sort of like the bittersweet, fortunate and unfortunate thing about
[00:26:58.163 --> 00:27:19.397]  Being in the realm of conspiracies is that there is an endless supply of them because there's always something in the news cycle every day that needs to be um that attention a flashlight needs to be shined on it and sometimes it's just so ridiculous that honestly I feel like our best sketches kind of write themselves
[00:27:20.257 --> 00:27:30.361]  Um, so something pops up in the news cycle, it's unavoidable, we have to, we can't tackle everything, so we sort of pick and choose, and then it just, it happens organically.
[00:27:30.421 --> 00:27:34.162]  We just sit down, start writing, and, you know, a couple days later we got a video.
[00:27:35.433 --> 00:27:40.895]  So it's not like Joy Camp takes on where you're supplying yourself with wine.
[00:27:41.735 --> 00:27:46.276]  Sometimes it is, and Joy Camp takes on that we were visiting Oakland for a couple of days.
[00:27:46.677 --> 00:27:57.240]  This is one of our more recent videos as well, and that one we spent, I think, three days trying to figure out what the heck we wanted to make a video about while we were house-sitting this really beautiful house in Oakland.
[00:27:57.660 --> 00:28:05.607]  And we just could not agree on anything until the end when Benny was like, well, why don't we just make that video?
[00:28:05.627 --> 00:28:08.550]  And if you haven't seen it, you can see it on the channel.
[00:28:08.610 --> 00:28:13.254]  And I think we cover like 115 conspiracies in under five minutes in that video.
[00:28:13.555 --> 00:28:15.136]  Yeah, I was really impressed.
[00:28:15.196 --> 00:28:17.538]  I was like, oh my gosh, I need to start doing some stories.
[00:28:17.879 --> 00:28:19.861]  I was getting source material from you guys.
[00:28:21.517 --> 00:28:23.818]  Oh good, I'm glad it can be a point of reference.
