[00:00:01.849 --> 00:00:06.913]  From the front lines of the Information War, it's Alex Jones.
[00:08:47.495 --> 00:08:51.178]  Well, in many ways, we're over the cliff in that we're not going to retrace ourselves.
[00:08:51.218 --> 00:08:54.580]  If you're over a cliff, you just don't have a chance to climb back up.
[00:08:54.920 --> 00:08:55.760]  And we really don't.
[00:08:55.800 --> 00:09:00.924]  We're not going to have enough people in Congress in the next go-around, or do we have them now?
[00:09:00.944 --> 00:09:03.986]  We have better people now, and we're going to have some people speaking for us.
[00:09:04.546 --> 00:09:12.030]  But we can't go back and all of a sudden balance our budget, remove the regulations, and protect our liberties.
[00:09:12.090 --> 00:09:14.851]  All we have to do is listen to our president, what his plans are.
[00:09:15.371 --> 00:09:26.937]  But the Republicans aren't doing a whole lot more because we're facing a situation where it took a hundred years for our governments and our schools
[00:09:26.977 --> 00:09:27.377]  I'm good.
[00:09:44.095 --> 00:09:47.577]  And I think we have to address the subject, what should the role of government be?
[00:09:47.597 --> 00:09:49.258]  The founders made an attempt at it.
[00:09:49.618 --> 00:09:50.839]  They wrote a constitution.
[00:09:50.879 --> 00:09:51.719]  We don't obey it.
[00:09:51.799 --> 00:10:02.305]  And to me, if we would accept the notion that the role of government is to protect our freedoms, provide some national defense for us, provide a sound currency, and protect our liberties.
[00:10:03.926 --> 00:10:06.648]  There would be no warfare state and there would be no welfare state.
[00:10:07.148 --> 00:10:09.690]  And nobody wants to address that.
[00:10:09.710 --> 00:10:17.275]  You know, in all this talk, neither Republicans or Democrats would even suggest about cutting the militarism.
[00:10:18.056 --> 00:10:22.899]  The only talk was, should we increase the military expenditures by 18% or 20%.
[00:10:22.979 --> 00:10:23.960]  The people who wanted 18% were
[00:10:27.022 --> 00:10:27.102]  Sure.
[00:10:47.014 --> 00:10:53.836]  Congressman, you've talked about globalism, the Bilderberg Group, people like that, but it's now in the Financial Times of London.
[00:10:53.876 --> 00:11:00.258]  It's in hundreds of papers, but we can probably pull some up and put them on screen, where they announce global government by the six megabanks.
[00:11:00.798 --> 00:11:14.622]  And I listened to Bloomberg Financial on XM, and they brag that they've conquered Europe with debt, they've signed the Europeans onto derivatives, they've got them dependent on socialism, but most of the debt is actually the central bank's debt that are really private.
[00:11:15.422 --> 00:11:23.048]  And now I see them wrecking us, Congressman, on purpose to make us debt slaves while also making us dependent.
[00:11:23.088 --> 00:11:25.210]  I mean, surely they know the facts.
[00:11:25.370 --> 00:11:28.953]  Even the Congressional Budget Office, as you know, three or four years ago said we were bankrupt.
[00:11:29.453 --> 00:11:31.815]  All these other government economists have admitted this.
[00:11:31.855 --> 00:11:36.058]  So you're not just somebody who studied economics, you're also a medical doctor.
[00:11:36.379 --> 00:11:38.921]  It's kind of like a patient that's got cancer all over their body.
[00:11:39.261 --> 00:11:40.962]  This is already a done deal.
[00:11:42.203 --> 00:11:48.205]  What's your take on my statement that we've been maneuvered into rack and ruin by loan sharks?
[00:11:48.525 --> 00:11:51.726]  I mean, I think it's important to not just say they're a bunch of buffoons in D.C.
[00:11:52.826 --> 00:11:53.886]  Goldman Sachs, J.P.
[00:11:53.906 --> 00:12:03.409]  Morgan and others, in my research, are just mafia organizations that want us as basically debt slaves on a sharecropping plantation.
[00:12:03.769 --> 00:12:10.353]  I think it's partially true, but it also involves indoctrination through education.
[00:12:10.374 --> 00:12:14.917]  It's just not 10 or 15 people who get together and all of a sudden they can change people's minds.
[00:12:15.297 --> 00:12:16.738]  People endorse Keynesianism.
[00:12:16.798 --> 00:12:18.219]  They endorse the Federal Reserve.
[00:12:18.519 --> 00:12:22.261]  They endorse us being the police of the world and we should have these wars in the Middle East.
[00:12:22.622 --> 00:12:25.083]  So they have been indoctrinated.
[00:12:25.103 --> 00:12:27.325]  And yes, there are a few who are going to benefit.
[00:12:27.385 --> 00:12:29.967]  You know, I can't read into their minds.
[00:12:30.007 --> 00:12:30.687]  I don't know.
[00:12:30.747 --> 00:12:33.589]  They sit back and say, you know what, we're going to bankrupt the country and cause
[00:12:33.609 --> 00:12:33.749]  Sure.
[00:13:03.629 --> 00:13:10.415]  Sure, I'm talking about... I don't think they're smart enough to, on a daily basis, say what we're going to do A and B is going to be resolved.
[00:13:10.455 --> 00:13:16.261]  I think they're mostly unintended consequences that occur and they react.
[00:13:16.541 --> 00:13:18.423]  I'd like to get people to react differently.
[00:13:18.843 --> 00:13:34.729]  I agree with you that at the mid-level and even the upper levels, obviously, it's just a corrupt system people have been born into now, but I'm talking about the 112-point plan that got leaked out of the World Bank when Joseph Stiklitz resigned the Nobel Prize winner in economics in 2002.
[00:13:35.190 --> 00:13:41.092]  It talked about how they manipulated third-world countries into bankruptcy to take control, and it discussed doing it to the West.
[00:13:41.632 --> 00:13:45.854]  So, at Bilderberg, from our sources, but also at Davos,
[00:13:46.995 --> 00:13:52.041]  I've got Herman Von Ruppe, head of the EU, saying we're going to use the financial crisis to bring in the new world order.
[00:13:53.062 --> 00:14:01.152]  That may be, and I don't know every individual who makes these plans, but I do know that I meet a lot of people who believe.
[00:14:01.172 --> 00:14:02.934]  I mean, you take a guy like Bernanke.
[00:14:03.434 --> 00:14:05.377]  I think Bernanke actually believes that.
[00:14:05.817 --> 00:14:16.142]  You know, I think he really believes that he's been sent here by the Creator to make sure we never have a Great Depression before because they didn't print the money fast enough.
[00:14:16.562 --> 00:14:25.647]  I don't think he sits and says, and goes much further than this, because he has invested a lifetime into proving this ideology.
[00:14:26.147 --> 00:14:27.108]  I think he's wrong.
[00:14:27.528 --> 00:14:29.109]  He's determined to prove he's right.
[00:14:29.449 --> 00:14:31.950]  He creates trillions and trillions of dollars.
[00:14:32.410 --> 00:14:33.111]  There's different factions.
[00:14:51.247 --> 00:14:58.553]  I agree with you, there's different factions who only care about themselves and together they're the perfect storm, but you're saying he thinks he's right, you think you're right.
[00:14:58.633 --> 00:15:09.381]  Sir, I watched a speech that's in our film Matrix of Evil you gave in 2003 at McKinney-Ruff's right outside Austin, here in South Austin, and you laid out everything that was going to happen.
[00:15:09.762 --> 00:15:19.029]  How they'd use the drones here, how they'd have the NSA spy on us, how they would use the Patriot Act on the citizens, how when they collapse things they would use that to take full control.
[00:15:19.409 --> 00:15:20.951]  How the derivatives bubble would work.
[00:15:20.991 --> 00:15:22.512]  It's like you're a prophet, but you're not.
[00:15:22.793 --> 00:15:23.894]  You were in there in the committees.
[00:15:23.914 --> 00:15:24.634]  You've studied history.
[00:15:24.654 --> 00:15:25.355]  You know what was going to happen.
[00:15:25.816 --> 00:15:28.018]  You said the stimulus wouldn't work.
[00:15:28.098 --> 00:15:30.400]  You said all these things wouldn't work.
[00:15:30.440 --> 00:15:33.644]  You said that the Republicans would vote to raise taxes.
[00:15:34.224 --> 00:15:37.488]  $1 of cuts for every 41 in spending increases.
[00:15:37.508 --> 00:15:40.471]  77% of Americans with tax increases on payroll.
[00:15:40.971 --> 00:15:49.293]  I mean, it's like the lying and... What's happened is we've been eased into this tyranny, and so now you're here saying, well, we'll see who's gonna be proven right.
[00:15:49.593 --> 00:15:51.154]  You've been proven right, Congressman!
[00:15:51.374 --> 00:15:52.574]  Toot your own horn!
[00:15:54.815 --> 00:15:58.816]  We'll be right back with the conclusion of our important interview with Congressman Ron Paul.
[00:16:02.336 --> 00:16:08.178]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:16:09.085 --> 00:16:14.989]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:16:15.849 --> 00:16:25.915]  Our most popular silver-based products are the 32-ounce Nano-Silver solutions, our 2-ounce Nano-Silver nasal applicators, as well as our all-natural silver soaps.
[00:16:26.796 --> 00:16:30.098]  Just released is our 100% natural silver gel.
[00:16:30.938 --> 00:16:37.122]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:16:37.862 --> 00:16:48.285]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:16:49.105 --> 00:16:56.808]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[00:16:57.868 --> 00:17:00.809]  That's www.silverlungs.com
[00:17:01.414 --> 00:17:05.296]  Looking back on 2012, we ask ourselves, how did we ever survive?
[00:17:05.416 --> 00:17:12.639]  From natural disasters like Hurricane Sandy and the devastating summer drought, to the family hardships brought on by a disastrous economy.
[00:17:12.919 --> 00:17:15.320]  Our hearts go out to those that have lost everything.
[00:17:15.620 --> 00:17:21.983]  At eFoods Direct, we hear from customers every day that are fortunate enough to weather life's storm by having a supply of food on hand.
[00:17:22.223 --> 00:17:23.344]  After Hurricane Sandy,
[00:17:23.624 --> 00:17:32.274]  Danny from New York City wrote, almost all of the grocery stores are closed, but I managed to get my e-foods just in time to be able to help my sister and niece.
[00:17:32.654 --> 00:17:36.419]  It is better to be prepared ten years too early than one day too late.
[00:17:36.639 --> 00:17:38.501]  I can warn you, but I can't feed you.
[00:17:38.681 --> 00:17:40.863]  Heed the warnings and do what Alex has done.
[00:17:40.984 --> 00:17:48.392]  Call 800-409-5633 today or go to efoodsdirect.com slash Alex and build your food supply.
[00:17:48.612 --> 00:17:52.396]  It's the best tasting non-GMO long-term storable food on the planet.
[00:17:52.536 --> 00:17:54.278]  Call 800-409-5633 or efoodsdirect.com slash Alex.
[00:17:54.458 --> 00:17:56.500]  You can bet your life on eFoodsDirect.
[00:18:01.289 --> 00:18:04.010]  Alex Jones here with a message to fellow freedom lovers.
[00:18:04.310 --> 00:18:09.133]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:18:09.313 --> 00:18:16.496]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:18:16.636 --> 00:18:22.061]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:18:22.261 --> 00:18:26.005]  These are items that I did research on, that I personally use.
[00:18:26.305 --> 00:18:30.809]  We've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:18:31.029 --> 00:18:36.234]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:18:36.474 --> 00:18:39.555]  Strategic Relocation 3rd Edition by Joel Scalzin.
[00:18:39.715 --> 00:18:41.956]  When Disaster Strikes by Matthew Stein.
[00:18:42.216 --> 00:18:46.798]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:18:46.978 --> 00:18:49.419]  Hand cranked shortwave AM FM radios.
[00:18:49.859 --> 00:18:56.862]  Everything that we've researched and found to be the best is available at InfoWarshop.com and your purchase makes our InfoWar possible.
[00:18:57.062 --> 00:18:58.103]  We're getting prepared.
[00:18:58.343 --> 00:18:58.764]  Are you?
[00:18:59.004 --> 00:19:00.786]  Infowarsshop.com.
[00:19:01.246 --> 00:19:05.291]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:19:05.371 --> 00:19:06.472]  Don't be one of them.
[00:19:06.592 --> 00:19:12.138]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:19:12.298 --> 00:19:18.284]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria.
[00:19:18.604 --> 00:19:19.365]  I'm good.
[00:19:33.462 --> 00:19:42.166]  New technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:19:42.306 --> 00:19:45.748]  The Science Digest Journal says silver is our mightiest germ fighter.
[00:19:45.968 --> 00:19:49.650]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:19:49.810 --> 00:19:56.073]  Go to SupernaturalSilver.com today and use the promo code silver2012 for 20% off.
[00:19:56.193 --> 00:19:59.655]  That's SupernaturalSilver.com and like us on Facebook.
[00:20:02.389 --> 00:20:05.233]  Coast to Coast, direct from Austin.
[00:20:05.994 --> 00:20:09.198]  You're listening to the Alex Jones Broadcasting Network.
[00:20:20.719 --> 00:20:22.420]  And I'm not taking this moment to bash Glenn Beck.
[00:20:22.500 --> 00:20:26.002]  I've tried to be nice to him, but he says he's now the leader of the libertarian movement.
[00:20:26.022 --> 00:20:26.942]  Yes, I saw that.
[00:20:27.422 --> 00:20:28.343]  I'll have to check him out.
[00:20:28.383 --> 00:20:29.403]  I wonder what he believes in.
[00:20:30.124 --> 00:20:34.946]  Yeah, because he told me that your supporters four years ago were going to blow us up with bombs and that we did Oklahoma City.
[00:20:35.446 --> 00:20:38.608]  And then he keeps, you know, saying that we shouldn't get in the government's face.
[00:20:38.988 --> 00:20:43.090]  I mean, my only deal with Glenn Beck is he says I'm dangerous and basically shouldn't be on the air.
[00:20:43.770 --> 00:20:45.431]  Piers Morgan basically says that as well.
[00:20:45.491 --> 00:20:47.512]  And then now he tells me that he's my leader.
[00:20:48.093 --> 00:20:51.021]  And that he's now going to become Ron Paul and Alex Jones, I guess, mixed.
[00:20:51.061 --> 00:20:52.023]  Do you have any comments on that?
[00:20:52.709 --> 00:20:56.250]  Not too much, because I don't know exactly what he's talking about.
[00:20:56.270 --> 00:21:07.632]  All I can do is speak for myself on what I believe in and what I'm trying to do, and I've been pretty much upfront on, you know, what the principles are and in which direction we should go and effort.
[00:21:09.012 --> 00:21:18.034]  I think I do one thing differently than others, and that is I try to stick to, you know, ideas rather than personalities.
[00:21:18.254 --> 00:21:22.035]  And, of course, we've already mentioned the President, and I mentioned George Bush.
[00:21:22.415 --> 00:21:25.816]  But over the years, I basically don't attack the individuals.
[00:21:25.876 --> 00:21:27.757]  I don't generally attack Bernanke.
[00:21:27.777 --> 00:21:31.738]  Sure, but you did call him a demagogue when he said that your supporters wanted to blow up buildings.
[00:21:32.058 --> 00:21:33.158]  Yeah, that's for sure.
[00:21:33.598 --> 00:21:37.419]  But generally speaking, I don't do the personality thing.
[00:21:37.459 --> 00:21:44.381]  As a matter of fact, if you do the personality thing, you get a lot more attention, but I don't want it to distract.
[00:21:44.881 --> 00:21:49.583]  People will try to entice me to say, what should we do with Bernanke?
[00:21:49.643 --> 00:21:50.583]  How should we punish him?
[00:21:51.443 --> 00:21:54.184]  Remember what our governor said that we should do with it.
[00:21:54.684 --> 00:21:56.164]  I might agree with it.
[00:21:56.264 --> 00:22:00.846]  I might even say things along that way, but most of the time I'll go and say it's the system.
[00:22:00.906 --> 00:22:02.486]  It's the system of the Federal Reserve.
[00:22:02.526 --> 00:22:02.846]  No, no, no.
[00:22:03.086 --> 00:22:03.627]  I agree.
[00:22:03.647 --> 00:22:04.007]  I agree.
[00:22:04.187 --> 00:22:04.607]  I agree.
[00:22:04.827 --> 00:22:06.367]  And that is what I want to concentrate.
[00:22:06.667 --> 00:22:08.688]  Some people will concentrate on different things.
[00:22:08.728 --> 00:22:12.289]  They'll have different tactics and different viewpoints, and I think that's fine.
[00:22:12.509 --> 00:22:15.731]  No, no, listen, I think Glenn Beck does a lot of great work and has gotten better and better.
[00:22:16.111 --> 00:22:18.073]  He is just systematically, I don't infight.
[00:22:18.133 --> 00:22:21.215]  You'll never hear my show talking about other people that are in the Liberty Movement.
[00:22:21.535 --> 00:22:29.300]  He just routinely says, he said I made up the 1.6 billion bullets, even though that's AP Reuters direct federal purchases.
[00:22:29.620 --> 00:22:31.281]  You know, I'm making up the police state.
[00:22:31.581 --> 00:22:33.182]  I'm making up NSA spying.
[00:22:33.683 --> 00:22:35.604]  Your supporters want to blow buildings up.
[00:22:37.405 --> 00:22:45.209]  He is trying to gatekeep, and I'm just warning you that unless you join with Soran, Dr. Paul, he's going to stab you in the back.
[00:22:45.469 --> 00:22:49.491]  And I'm only saying that kind of like a chart when you're coming into a bay in a boat.
[00:22:49.691 --> 00:22:51.932]  I'm just marking the chart, Dr. Paul, but you're a smart guy.
[00:22:52.252 --> 00:22:52.693]  You know that.
[00:22:52.893 --> 00:22:54.894]  We've only got about six, seven minutes left in closing.
[00:22:55.414 --> 00:23:03.198]  Sandy Hook and now the Feinstein Bill and others to make us physically turn them in, not just go back and re-register with the ATF at their pleasure.
[00:23:04.058 --> 00:23:07.819]  Now they want to just open where they decide, law-abiding citizens turning their guns in.
[00:23:08.159 --> 00:23:09.199]  What is your take on that?
[00:23:09.299 --> 00:23:12.880]  And are you concerned about a purge or persecution of gun owners?
[00:23:13.320 --> 00:23:15.521]  Well, I'm concerned about their inconsistency.
[00:23:16.041 --> 00:23:18.982]  They want to get rid of guns because somebody used a gun and did some violence.
[00:23:19.622 --> 00:23:27.484]  But we all know that more people are getting killed with hammers and fists and knives.
[00:23:27.504 --> 00:23:28.984]  So they're not very consistent.
[00:23:29.004 --> 00:23:30.185]  They see an opportunity.
[00:23:32.125 --> 00:23:33.546]  And they want to get rid of the guns.
[00:23:33.626 --> 00:23:51.353]  Some people believe they're dangerous and want to get rid of them, and other people want to get rid of them because they know that guns can resist a government tyranny, and some people like the idea that governments become tyrants and they should run things as long as the government kills children, it's okay, so they want to protect that.
[00:23:51.673 --> 00:23:59.777]  You know, all that scandal and outcry, which much of it was justified seeing kids getting killed, it's a horror.
[00:24:00.317 --> 00:24:07.539]  But at the same time, how about those people who are saying, okay, this is an excuse to take away the rights of people who use guns to defend their family.
[00:24:08.020 --> 00:24:18.003]  How many of them are shouting and screaming about the children that our drones are killing on a daily basis because they're Muslim kids in different color and they're overseas?
[00:24:21.644 --> 00:24:24.165]  We can do it by directing drones from this country.
[00:24:24.565 --> 00:24:26.026]  That doesn't even count.
[00:24:26.426 --> 00:24:37.210]  So that's what their whole goal is, is to distract us from some of the horrors that governments perpetuate and the way they destroy our liberties and they perpetuate the violence.
[00:24:37.250 --> 00:24:44.132]  I mean, compared to the violence that governments have perpetuated on the people versus what the people do to each other, there's no contest.
[00:24:44.372 --> 00:24:46.533]  Historically, government's the number one killer, as you know.
[00:24:46.593 --> 00:24:49.575]  University studies out of Hawaii and others.
[00:24:49.955 --> 00:24:53.557]  292 million people killed by 20th century non-military combatants.
[00:24:53.798 --> 00:24:56.379]  We have a red alert, sir, that just came out while you were on with us.
[00:24:56.699 --> 00:24:59.981]  DrudgeReport.com, Weekly Standard, AP, you name it.
[00:25:00.702 --> 00:25:01.122]  Obama...
[00:25:01.862 --> 00:25:05.883]  White House threatens executive action to physically confiscate the firearms.
[00:25:06.444 --> 00:25:08.144]  Biden has now given a speech, sir.
[00:25:09.504 --> 00:25:11.825]  They've got a bunch of state reps and federal reps.
[00:25:11.845 --> 00:25:13.246]  I've literally got over 10 articles.
[00:25:13.266 --> 00:25:15.186]  They're all calling for executive orders.
[00:25:15.886 --> 00:25:20.148]  And Obama is saying now that he'll do everything in his power, including executive orders.
[00:25:21.148 --> 00:25:22.989]  Ladies and gentlemen, this is what we feared.
[00:25:23.609 --> 00:25:26.730]  Congressman, constitutionally, that's beyond a constitutional crisis.
[00:25:26.790 --> 00:25:30.971]  As a constitutional expert, sir, if he signs an order, ordering we turn in our guns,
[00:25:31.691 --> 00:25:33.012]  What does that mean?
[00:25:33.413 --> 00:25:36.655]  Well, it should go without saying that he's gone way too far.
