[00:00:05.738 --> 00:00:06.938]  They fled from tyranny.
[00:02:26.659 --> 00:02:30.822]  Then, Planned Parenthood is suing to perform webcam abortions.
[00:02:31.716 --> 00:02:36.787]  And a special report from Alex Jones and the Nightly News premiere of Battle for the Republic.
[00:02:37.428 --> 00:02:41.075]  All that and more coming up on the Info Wars Nightly News.
[00:02:51.926 --> 00:02:56.428]  Well, Sarah Palin is under attack for talking about DHS bullet purchases.
[00:02:56.908 --> 00:03:18.077]  In an article from Paul Joseph Watson entitled, Democratic Group Labels Talk of DHS Bullet Buys Extremist, he writes, a prominent Democratic Party lobby group is targeting users of AOL's email service with ads demanding they sign a petition calling on Sarah Palin to retract dangerous rhetoric about the federal government stockpiling ammunition in preparation for civil unrest.
[00:03:18.740 --> 00:03:22.562]  Well, what is that dangerous rhetoric that Sarah Palin put on her Facebook post?
[00:03:23.182 --> 00:03:31.806]  She said, if we're going to wet our proverbial pants over 0.3% in annual spending cuts when we're running up trillion-dollar annual deficits, then we're done.
[00:03:32.406 --> 00:03:33.106]  Put a fork in us.
[00:03:33.446 --> 00:03:33.967]  We're finished.
[00:03:34.587 --> 00:03:36.188]  We're going to default eventually.
[00:03:36.748 --> 00:03:40.990]  That's why the feds are stockpiling bullets in case of civil unrest.
[00:03:41.906 --> 00:03:45.609]  Well, Sarah Palin was absolutely right in this particular instance.
[00:03:46.049 --> 00:03:48.712]  This is a story that was broken by Paul Joseph Watson.
[00:03:48.752 --> 00:03:54.476]  He did the research and he reported it based on government documents, government bids, government RFPs.
[00:03:55.197 --> 00:03:59.240]  And if anyone is paranoid or dangerous, it's the government.
[00:04:00.401 --> 00:04:02.843]  This is absolutely unprecedented what they're doing here.
[00:04:03.264 --> 00:04:07.027]  But basically what they've done is they're, people in the mainstream media,
[00:04:07.822 --> 00:04:10.823]  have attacked this with a series of escalating lies.
[00:04:10.943 --> 00:04:16.005]  First, when we broke the story and Drudge reported it, they lied about the existence of these bids.
[00:04:16.605 --> 00:04:19.907]  But you know, facts are stubborn things, and we can link to those things on the Internet.
[00:04:19.927 --> 00:04:23.668]  So the next thing that they did was they lied about the size of these purchases.
[00:04:24.288 --> 00:04:32.611]  When the government went out and bought an unprecedented amount of ammunition, 200 million bullets, they pointed to another purchase of only about 170,000.
[00:04:34.730 --> 00:04:39.314]  So they talked about something that was 1,000th of the size of what we were talking about.
[00:04:40.095 --> 00:04:43.418]  And that's, you know, Sarah Palin was talking about 0.3% in cuts.
[00:04:43.458 --> 00:04:48.162]  Well, that's 0.1% of the purchases that the government was making.
[00:04:48.877 --> 00:04:52.920]  And when that didn't work, they went out and they bought, they doubled down on that.
[00:04:52.980 --> 00:05:04.668]  They went from 200 million purchases to 450 million was the next one, then 750 million, then another 200 million, and on and on to where they're up to about 2 billion right now.
[00:05:05.329 --> 00:05:10.232]  But, you know, so it kind of didn't work for them to talk about a few hundred thousand.
[00:05:10.773 --> 00:05:15.016]  So then what the next thing that they talked about was the fact this is going to be used for target practice.
[00:05:15.723 --> 00:05:25.830]  Now, David Ortiz and I talked about this in great detail, and it's on Prison Planet TV, but basically, these are hollow-point bullets, and you don't use hollow-point bullets for target practice.
[00:05:25.910 --> 00:05:27.411]  You use them as anti-personnel.
[00:05:27.451 --> 00:05:29.012]  They're banned by Geneva Convention.
[00:05:29.813 --> 00:05:38.819]  The other thing is, is that if they were going to buy these things for target practice, at the rate that they're using it, you're talking about about a hundred years worth of target practice.
[00:05:39.723 --> 00:05:42.324]  They said, of course, we're buying them in large quantities to save money.
[00:05:42.364 --> 00:05:47.767]  Well, you don't buy a hundred years worth of stuff at Costco in order to save a little bit of money.
[00:05:47.847 --> 00:05:50.969]  So, all these series of lies just don't hold up.
[00:05:51.069 --> 00:05:55.191]  So, now what they're doing is they're attacking Sarah Palin, anybody who notices this.
[00:05:55.431 --> 00:05:57.772]  And, actually, it's being noticed by quite a few people.
[00:05:57.872 --> 00:05:59.533]  Even Forbes is talking about it now.
[00:05:59.633 --> 00:06:04.695]  So, a lot of the mainstream media is even asking questions and saying, we need to have a dialogue.
[00:06:04.955 --> 00:06:07.917]  Why is the government taking this unprecedented action?
[00:06:09.395 --> 00:06:25.966]  Well, just reporting on what the government is doing is enough to get you labeled as an extremist, and the Southern Poverty Law Center wants to now label you not only an extremist, but a terrorist, if you are somebody who is concerned about this or concerned about the Second Amendment.
[00:06:26.847 --> 00:06:31.810]  In an article by Kurt Nemo, he says, the LA Times announces that white men are terrorists.
[00:06:33.048 --> 00:06:38.311]  There's an increasingly frightening numbers of cells of angry men, says the Southern Poverty Law Center.
[00:06:38.371 --> 00:06:44.615]  Well, actually, this is the LA Times mimicking what the Southern Poverty Law Center has said.
[00:06:44.635 --> 00:06:47.277]  It says that they're preparing for combat with the U.S.
[00:06:47.337 --> 00:06:47.757]  government.
[00:06:48.237 --> 00:06:49.618]  They're usually heavily armed.
[00:06:50.194 --> 00:06:53.957]  Blinded by an intractable hatred, often motivated by religious zeal.
[00:06:54.517 --> 00:06:58.120]  Now, this is a script that was basically created by the Southern Poverty Law Center.
[00:06:58.140 --> 00:07:00.682]  It's been parroted by the LA Times op-ed piece.
[00:07:01.662 --> 00:07:05.865]  MSNBC is hopping in there and doing their part, as well as the New York Times.
[00:07:06.726 --> 00:07:09.268]  The New York Times said, they're not jihadists.
[00:07:09.548 --> 00:07:15.212]  They are white, right-wing Americans, nearly all of them with an obsessive attachment to guns.
[00:07:15.973 --> 00:07:20.676]  Who may represent a greater danger to the lives of American civilians than international terrorists.
[00:07:21.276 --> 00:07:22.377]  See, that's what they're doing now.
[00:07:23.237 --> 00:07:31.442]  After telling everybody that they are creating this massive militarized police state against these people who are outsiders.
[00:07:31.683 --> 00:07:34.064]  You know, the Auslanders, as the Nazis would call them.
[00:07:34.824 --> 00:07:36.465]  Now they're starting to turn inward.
[00:07:36.605 --> 00:07:40.368]  We're starting to see the military-industrial complex become the police-industrial complex.
[00:07:40.768 --> 00:07:43.970]  And of course, the enemy is going to be anybody who is armed.
[00:07:44.697 --> 00:07:51.921]  And the other tactic that they're going to use is trying to divide people by along racial lines, by ethnic groups, and that sort of thing.
[00:07:51.981 --> 00:07:55.643]  And Aaron Dykes has a report on that following the news tonight.
[00:07:55.723 --> 00:07:58.104]  He's got a special bulletin report talking about that.
[00:08:00.177 --> 00:08:08.640]  And this is important because under the NDAA, labeling somebody an extremist or a terrorist, which is pretty vaguely defined, can be a death sentence.
[00:08:09.000 --> 00:08:12.641]  Or it can be a sentence to being renditioned out of the country and tortured.
[00:08:12.881 --> 00:08:20.543]  And we have an interview tonight with Carl Mayer, who is leading the legal fight against the NDAA, so stay tuned for that, that's very important.
[00:08:21.144 --> 00:08:25.485]  Well, as Jesse Ventura pointed out, first they assassinate your character, then they assassinate you.
[00:08:26.255 --> 00:08:33.419]  All this talk about white people being terrorists and also the Tea Party, calling the Tea Party tea baggers.
[00:08:34.059 --> 00:08:36.281]  And so Rand Paul had a little bit of something to say about that.
[00:08:36.321 --> 00:08:42.124]  He said the Tea Party is like the American Revolution and the Occupy movement is more like the French Revolution.
[00:08:42.724 --> 00:08:45.566]  He said the Tea Party, I always say, is more like the American Revolution.
[00:08:45.626 --> 00:08:47.747]  Occupy Wall Street is more like the French Revolution.
[00:08:48.227 --> 00:08:51.669]  We, that is the Tea Party, harkens back to a sort of rules, he said.
[00:08:52.470 --> 00:08:54.871]  We weren't unhappy with people just because they were rich.
[00:08:55.586 --> 00:09:01.051]  We weren't happy with you if you were making money off of our taxes, and we were bailing you out.
[00:09:01.631 --> 00:09:09.798]  If you were making $100 million, your bank goes bankrupt, and all of a sudden we bail you out, and you're still making $100 million, well, that upsets us.
[00:09:10.859 --> 00:09:20.727]  Well, it seems to me that both groups, both the Tea Party and the Occupy movement, realized how they're getting ripped off by the government and its crony capitalism with large corporations and large banks.
[00:09:21.679 --> 00:09:25.501]  And the whole idea is summed up in the idea that someone would be too big to fail.
[00:09:26.141 --> 00:09:34.484]  The privatizing of profits, the socializing of losses, both groups understood that there was something that really stunk there.
[00:09:35.205 --> 00:09:43.187]  But the difference is that the Tea Party understands that free markets are different from a kind of crony capitalism.
[00:09:43.907 --> 00:09:46.487]  And the Occupy movement doesn't seem to make that distinction.
[00:09:46.867 --> 00:09:54.429]  But hopefully, we can all agree to come together on liberty and not divide in some kind of a false left-right paradigm.
[00:09:54.789 --> 00:10:02.711]  Because as we see on the gun issue, the Democrats and Republicans tend to come together on issues that they think are important.
[00:10:02.751 --> 00:10:04.271]  And one of those is gun control.
[00:10:07.788 --> 00:10:15.769]  Right after Newtown, there was a view that maybe the right place that we could all come together on was background checks.
[00:10:16.410 --> 00:10:26.271]  Because background checks, unlike some of the other proposals here which I support, do not interfere with the law-abiding citizen's right to bear arms.
[00:10:28.172 --> 00:10:28.552]  Okay.
[00:10:28.772 --> 00:10:34.573]  Now, background checks had absolutely nothing to do with Sandy Hook, even if you buy the official story.
[00:10:35.487 --> 00:10:39.531]  Understand that background checks are code name for gun registration.
[00:10:40.251 --> 00:10:41.713]  That's what it's always been about.
[00:10:42.313 --> 00:10:46.096]  Now, in this article from Kurt Nimmo, listen to what he says in the very first paragraph.
[00:10:46.116 --> 00:10:51.261]  He says, Dianne Feinstein's assault weapon ban now appears to be little more than decoy.
[00:10:51.861 --> 00:10:52.322]  Decoy.
[00:10:52.982 --> 00:10:59.148]  Sent out to be shot down while the real work on gun legislation is hammered out by Democrats, Republicans and the NRA behind closed doors.
[00:10:59.986 --> 00:11:05.411]  Feinstein is doing the same thing with all her talk about confiscation that she did back with the NDAA.
[00:11:05.451 --> 00:11:23.466]  If you remember, there was a Feinstein-Lee Amendment, and the purpose of that amendment was to try to assuage some civil libertarians that they were really going to support the rule of law, that people were going to have their day in court, that we weren't going to a completely martial law scenario here.
[00:11:24.088 --> 00:11:26.849]  But that amendment really didn't say anything.
[00:11:26.949 --> 00:11:38.173]  What that amendment did was actually, if you read the text of it, as many people pointed out, as Stuart Rhodes with Oath Keepers pointed out, it actually assumed some powers for Congress that they don't have.
[00:11:38.813 --> 00:11:41.634]  But apart from that, what it did was it was a head fake.
[00:11:41.754 --> 00:11:46.195]  It gave cover to what was going on and they got unanimous approval from the Senate.
[00:11:46.735 --> 00:11:51.817]  And then when the Senate and the House met in joint committee, McCain and Levin just threw it out.
[00:11:52.438 --> 00:11:53.179]  It just disappeared.
[00:11:53.600 --> 00:11:55.943]  So, it was simply a head fake to deceive people.
[00:11:56.444 --> 00:11:59.428]  That's what I believe Feinstein is doing with all this talk of confiscation.
[00:11:59.468 --> 00:12:04.575]  Before they can do effective confiscation, they have to have more comprehensive registration.
[00:12:05.140 --> 00:12:15.749]  And I think if you look at the narrative of the whole gun control thing, it goes back, if you look to Fast and Furious, as well as the UN Arms Trade Treaty, that they've been working on these things for quite some time.
[00:12:16.330 --> 00:12:23.316]  Both of those are trying to get people concerned about the transfer of arms across international borders.
[00:12:23.396 --> 00:12:25.718]  And of course, the only way that you can stop the transfer of arms
[00:12:26.258 --> 00:12:32.381]  They believe that they're selling to us is to go in and register everything so that you know where it came from.
[00:12:32.401 --> 00:12:34.002]  That you can follow everybody.
[00:12:34.022 --> 00:12:35.062]  That's the way it's going to be sold.
[00:12:35.542 --> 00:12:36.623]  And that's what they're working on.
[00:12:37.330 --> 00:12:43.074]  Now, background checks, in terms of safety, background checks have never, and never will, save anybody.
[00:12:43.114 --> 00:12:44.615]  They had nothing to do with Sandy Hook.
[00:12:44.635 --> 00:12:50.279]  They were, and they're not going to keep any dangerous criminals or insane people from getting guns.
[00:12:50.339 --> 00:12:57.084]  The only thing that you can do to protect against that is to make sure that the population is armed as widely as possible.
[00:12:57.124 --> 00:13:02.047]  That sane people, that law-abiding citizens, have the arms to protect themselves.
[00:13:02.728 --> 00:13:04.769]  Nobody did a background check on Davy Crockett.
[00:13:05.170 --> 00:13:07.131]  Nobody did one on Colonel Travis.
[00:13:07.531 --> 00:13:09.332]  Nobody did one on George Washington either.
[00:13:10.033 --> 00:13:11.614]  And it's not in the Constitution.
[00:13:11.914 --> 00:13:21.000]  So we need to fight background checks and realize that registration is code, that background checks are code name for registration and it's going to all lead to gun confiscation.
[00:13:21.480 --> 00:13:23.982]  And there's a link to the full article on InfoWars.com.
[00:13:25.054 --> 00:13:32.910]  Now, speaking of gun control, Aaron Dykes has a special bulletin about America's second best gun salesman after Obama, Mayor Bloomberg.
[00:13:40.450 --> 00:13:43.771]  Aaron Dykes here for Infowars.com and a quick news bulletin.
[00:13:44.091 --> 00:13:54.415]  Now, it came out today in Politicker how after Aurora, Mayor Bloomberg made his plans for the next massacre and how he was going to use it to push gun control.
[00:13:54.795 --> 00:13:55.756]  Well, no duh!
[00:13:55.796 --> 00:13:58.537]  We saw this coming, but it's good to have it documented now.
[00:13:58.897 --> 00:14:07.400]  And it details how in just a few hours after the Aurora massacre, he began flagging Obama, who was then a candidate for re-election,
[00:14:07.800 --> 00:14:10.284]  Romney saying, what are you going to do about guns?
[00:14:10.464 --> 00:14:23.861]  Reviving his whole Mayors Against Illegal Guns, which itself is a fraudulent group, misdirecting on the real issue of gun violence, which really comes from gun control policies within cities, and making it seem like an individual problem.
[00:14:24.602 --> 00:14:25.442]  A big misdirection.
[00:14:39.728 --> 00:14:48.615]  And just simply exploited it with all the dead children and used it to move forward the agenda they've been stealthily planning for years and years and years.
[00:14:48.675 --> 00:15:01.905]  Feinstein herself was admittedly working on her assault weapons ban legislation on the days leading up to the election and had nothing to do specifically with Adam Lanza or how he got his weapons or what allegedly happened there.
[00:15:02.245 --> 00:15:12.767]  It had to do with them waiting for any kind of tragedy to happen, and just using their propaganda on the backs of it, making people feel guilty for those deaths, and trying to take away everyone's rights.
[00:15:13.088 --> 00:15:27.911]  Signing off for InfoWars.com, I'm Aaron Dykes, and I want to remind you that at InfoWars.com slash newsletter, you can sign up for free for our electronic newsletter, and also get a free subscription to the electronic version of the very popular InfoWars magazines.
[00:15:37.119 --> 00:15:48.775]  Now, when we see Republicans and Democrats working together to betray their base, Republicans on gun control, Obama on civil liberties, you gotta wonder why Americans are suspicious about their government.
[00:15:48.835 --> 00:15:53.101]  Well, we've got 30% of Americans are the only ones who trust government.
[00:15:53.121 --> 00:15:53.382]  70% don't.
[00:15:55.128 --> 00:15:57.129]  And you have to ask yourself, what's wrong with those other 30%?
[00:15:58.489 --> 00:16:06.812]  As it says in Washington's blog article, people see that we have socialism for the rich, but we have cutthroat sink or swim capitalism for everyone else.
[00:16:07.473 --> 00:16:21.458]  They see that we have a malignant synergism between DC politicians and giant companies, and at the same time the government spies on virtually all Americans and has threatened to assassinate or indefinitely detain American citizens on US soil.
[00:16:22.265 --> 00:16:26.067]  Again, going back to the NDAA, don't forget we have that interview coming up.
[00:16:26.768 --> 00:16:34.712]  But also, some of us are seeing some other things too, like massive ammunition purchases, or tanks and drones being bought.
[00:16:35.233 --> 00:16:37.554]  We see the militarization of the police.
[00:16:38.235 --> 00:16:45.559]  And we even see DARPA working on these massive research projects, one after the other, to create some kind of a robot army.
[00:16:46.407 --> 00:16:50.588]  And so we all kind of have a kind of a sinking feeling about where that's all leading.
[00:16:50.628 --> 00:16:54.029]  And the question is, what's the matter with those 30% of people that they trust the government?
[00:16:54.670 --> 00:16:57.331]  And it's not just the federal government, it's at local level as well.
[00:16:57.371 --> 00:17:02.392]  We have a New Jersey woman who was arrested for reciting the Constitution at a tax meeting.
[00:17:03.012 --> 00:17:11.495]  Now, interesting thing is that they have an actually a private company that is doing the tax appraisals for this particular county.
[00:17:12.256 --> 00:17:23.942]  And residents have complained that the assessment program violates the Fourth Amendment because in order to make re-evaluation assessments and determine the tax value of a property, company inspectors must enter the home and inspect them.
[00:17:24.462 --> 00:17:31.065]  If not allowed to do so, that company often assesses higher values on homes leading to increased taxes.
[00:17:31.795 --> 00:17:37.117]  So basically, this woman went down and complained about the fact that she would have to have her house searched without a warrant.
[00:17:37.537 --> 00:17:51.964]  And as part of the complaint, she read from the Constitution, presumably the Fourth Amendment, and they got very upset with her, arrested her, and demanded, as a condition of getting a reasonable bond, that she hand over her handguns.
[00:17:53.004 --> 00:17:56.886]  And she questioned as to how they knew that she had these handguns.
[00:17:57.106 --> 00:17:58.987]  She had legally purchased them, but
[00:18:00.137 --> 00:18:02.358]  It was never mentioned at the meeting that she had guns.
[00:18:02.978 --> 00:18:05.799]  So that's also another troubling aspect of that.
[00:18:05.819 --> 00:18:14.503]  Now Melissa Melton has done a special report on a new, unusual practice, something called webcam abortions.
[00:18:14.823 --> 00:18:21.105]  And Planned Parenthood, in her article, she says, Planned Parenthood is suing to perform webcam abortions.
[00:18:21.845 --> 00:18:28.748]  After Wisconsin amended a law last year to ban the practice of webcam abortions, Planned Parenthood sued the state and federal court and lost
[00:18:29.423 --> 00:18:34.029]  Now the organization has refiled that suit and another bid to overturn the law.
[00:18:34.910 --> 00:18:36.352]  Now, she's done a special report.
[00:18:36.392 --> 00:18:41.899]  Let's let Melissa Melton tell you exactly what this new thing called a webcam abortion is.
[00:18:50.723 --> 00:18:53.046]  I'm Melissa Melton reporting for InfoWars Nightly News.
[00:18:53.727 --> 00:19:00.957]  Planned Parenthood is currently fighting the state of Wisconsin in court to reinstate its ability to perform webcam abortions.
[00:19:01.750 --> 00:19:09.716]  In more than 60 Iowa counties, you won't find one obstetrician or gynecologist and certainly no one performing abortions.
[00:19:09.956 --> 00:19:15.600]  That's a problem for Planned Parenthood and a major reason it's investing in telemed abortions.
[00:19:15.900 --> 00:19:25.566]  During this procedure, which Planned Parenthood refers to as a telehealth procedure instead of what it really is, a woman consults with a doctor over the internet in place of an in-person physical exam.
[00:19:25.746 --> 00:19:30.510]  Once the conditions are met, the doctor simply presses a button and a drawer pops open in the room.
[00:19:31.050 --> 00:19:33.993]  Allowing the woman access to abortion pills such as RU486.
[00:19:34.113 --> 00:19:36.396]  What's wrong?
[00:19:36.456 --> 00:19:37.517]  Nothing, nothing really.
[00:19:37.597 --> 00:19:39.859]  Take four red capsules.
[00:19:40.039 --> 00:19:41.681]  In ten minutes, take two more.
[00:19:42.061 --> 00:19:43.283]  Help is on the way.
[00:19:43.763 --> 00:19:52.232]  A drug pushed through the FDA approval process under the Clinton administration using foreign data and with the help of the Rockefeller Foundation's Population Council.
[00:19:52.652 --> 00:19:59.834]  RU486, otherwise known as Mifeprex, kills the fetus, while a second prostaglandin expels the dead child.
[00:20:00.075 --> 00:20:05.896]  Wisconsin has already passed a law joining Arizona, Nebraska, Kansas, and South Dakota in banning the practice.
[00:20:06.177 --> 00:20:19.501]  Five other states, including Missouri, Mississippi, Iowa, Alabama, and Indiana, are also in the process of passing bills that would require a doctor to physically be present in the room to examine patients before prescribing abortion-inducing drugs.
[00:20:19.801 --> 00:20:29.545]  Not only does this process further dehumanize an already dehumanizing procedure, but it would leave the women without any access to the abortionist should she have complications.
[00:20:29.885 --> 00:20:35.988]  Abortions via pill are touted as a natural alternative to surgical abortion, like inducing a miscarriage.
[00:20:36.188 --> 00:20:47.413]  But in fact, RU486 complications were detailed by the FDA in a 2011 report showing that over 2,200 adverse reactions had been reported, including over 600 hospitalizations,
[00:20:48.494 --> 00:20:57.840]  339 women requiring blood transfusions, 256 infections with 48 severe infections, and 14 women have even died in the U.S.
[00:20:57.880 --> 00:20:58.701]  since 2000.
[00:20:59.001 --> 00:21:09.268]  In fact, on the FDA medication guide, between 5 and 8 percent of women who take RU486 will still require a surgical procedure to end the pregnancy or stop too much bleeding.
[00:21:09.469 --> 00:21:15.153]  Just listen to one young woman detail her incredibly painful account of trying to end her pregnancy using RU486 at six weeks.
[00:21:17.054 --> 00:21:21.816]  Hours later, I writhed in my twin bed, suffering from debilitating convulsing cramps.
[00:21:22.136 --> 00:21:24.557]  The pain made me scream in torturous wails.
[00:21:25.157 --> 00:21:30.239]  I writhed, twisted, and contorted my body, praying that either I would die or the pain would stop.
[00:21:30.459 --> 00:21:33.880]  I called the emergency number they gave me and told them the painkillers were not working.
[00:21:34.540 --> 00:21:40.325]  They said very callously that there was nothing more they could do for me, informing me that this is normal and to just wait it out.
[00:21:40.665 --> 00:21:48.151]  Weeks later, the girl ended up in the ER where she was given two pints of blood, a DNC, and told if she had not arrived, she would have died.
[00:21:48.692 --> 00:21:57.019]  Margaret Sanger, founder of Planned Parenthood, was pro-eugenics and wrote extensively on the fact that she felt the genetic makeup of the poor and minorities was inferior.
[00:21:57.179 --> 00:22:03.104]  One of her greatest influences, eugenicist Dr. Havlock Ellis, with whom she reportedly had an affair that ended her marriage,
[00:22:03.744 --> 00:22:08.128]  Even if you're for abortion, you need to understand that it was created by eugenicists who wanted to kill black people.
[00:22:18.211 --> 00:22:20.913]  That is modern abortion, Planned Parenthood, Margaret Sanger.
[00:22:21.313 --> 00:22:23.494]  They said, how do we kill these black weeds?
[00:22:23.514 --> 00:22:24.315]  You can read her quotes.
[00:22:24.375 --> 00:22:24.995]  It's on record.
[00:22:25.035 --> 00:22:25.435]  Look it up.
[00:22:25.675 --> 00:22:27.376]  And they said, we hire liberal blacks.
[00:22:28.037 --> 00:22:29.618]  We get them to be our front people.
[00:22:29.658 --> 00:22:30.938]  We sell it as women's rights.
[00:22:31.399 --> 00:22:33.040]  That's how we'll reduce the population.
[00:22:33.360 --> 00:22:34.501]  Hitler was for abortion.
[00:22:35.741 --> 00:22:38.323]  I just want you to know where the modern movement comes from.
[00:22:39.022 --> 00:22:43.964]  Even today, Planned Parenthoods are typically located in disproportionately high minority and poor neighborhoods.
[00:22:44.485 --> 00:22:49.347]  So it should be no surprise these webcam abortions are being touted as something that helps low-income women.
[00:22:49.587 --> 00:22:55.089]  The practice of webcam abortions has allowed Planned Parenthood to expand its abortion services and generate more revenue.
[00:22:55.249 --> 00:23:05.474]  While telehealth can help people in rural locales receive legitimate medical care, especially in emergency situations, abortion is an elective procedure and these webcam abortions can put women in serious danger.
[00:23:05.674 --> 00:23:09.597]  Beyond that it's sad I even have to stand here and say the phrase webcam abortions.
[00:23:10.197 --> 00:23:12.819]  This just further dehumanizes the act of killing.
[00:23:13.140 --> 00:23:20.906]  Just like our unconstitutional illegal drone wars in other countries where we end up striking down thousands of innocent women and children.
[00:23:21.766 --> 00:23:24.729]  These women don't even have to see a doctor in real life.
[00:23:25.409 --> 00:23:28.311]  All they have to do to kill their babies is talk to a screen.
[00:23:29.392 --> 00:23:31.594]  For InfoWars Nightly News, I'm Melissa Melton.
[00:23:41.311 --> 00:23:42.631]  Wow, that's quite a report.
[00:23:43.331 --> 00:23:49.553]  Even if you support abortion, I think you should be concerned about this dangerous practice of webcam abortions.
[00:23:51.153 --> 00:23:52.853]  That leads us to our quote of the day.
[00:23:53.994 --> 00:24:00.175]  Five enemies of peace inhabit with us, avarice, ambition, envy, anger, and pride.
[00:24:00.375 --> 00:24:04.496]  If these were to be banished, we should infallibly enjoy perpetual peace.
[00:24:04.576 --> 00:24:05.616]  That's from Petrarch.
[00:24:06.917 --> 00:24:14.052]  Well, coming up right after the break, we've got that interview I've been talking about with Carl Mayer, who is leading the fight against the NDAA.
[00:24:14.373 --> 00:24:14.914]  Stay tuned.
[00:24:19.306 --> 00:24:25.270]  I'm Darren McBreen and these are some of the new items that are available now at Infowarsshop.com.
[00:24:25.410 --> 00:24:30.833]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:24:30.953 --> 00:24:34.656]  Obama's joker face on the front and come and take it on the back.
[00:24:34.816 --> 00:24:38.798]  It's time to publicly call him out for what he is, a tyrant.
[00:24:38.878 --> 00:24:42.721]  Defend the second amendment with our top seller come and take it t-shirt.
[00:24:42.841 --> 00:24:46.983]  And look at that, women's cut tank tops and t-shirts now available.
[00:24:47.124 --> 00:24:47.604]  Nice hat.
[00:24:47.904 --> 00:24:49.985]  Plus, the Don't Tread On Me flag.
[00:24:50.025 --> 00:24:54.106]  And now, you can become a micro-distributor of the InfoWars magazine.
[00:24:54.146 --> 00:24:58.147]  Plus, get your own copy delivered right to your door each and every month.
[00:24:58.687 --> 00:25:07.309]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:25:07.629 --> 00:25:13.651]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:25:15.382 --> 00:25:19.319]  So join the revolution at infowarshop.com.
[00:25:24.508 --> 00:25:28.531]  InfoWars Magazine is more than just our answer to the internet kill switch.
[00:25:29.192 --> 00:25:43.083]  We're also going back to the roots of this country, when our founders, for a decade before 1776, known as the Pamploteers, with hundreds of little printing presses in every colony, got out the real news, the real information, and countered the system.
[00:25:43.423 --> 00:25:48.227]  This is tailored design, with the truth, to wake up your friends and family.
[00:25:48.487 --> 00:25:51.550]  This is the 21st century version of the Pamploteers.
[00:25:52.110 --> 00:25:55.531]  Get them at Infowarshop.com or Infowarsstore.com.
[00:25:55.992 --> 00:25:57.232]  Sign up and buy them in bulk.
[00:25:57.712 --> 00:26:03.755]  Sign up and be a micro-distributor for a full year to buy them in bulk and get one of the new stands added.
[00:26:04.375 --> 00:26:08.496]  Or sign up and get 12 issues delivered to your door or give a gift subscription.
