[00:00:00.009 --> 00:00:01.755]  Just direct from Austin.
[00:03:30.088 --> 00:03:32.871]  If humanity survives and moves forward.
[00:03:33.091 --> 00:03:34.953]  Because time really is relative, isn't it?
[00:03:34.993 --> 00:03:37.435]  We're all basically in the past, the present and the future.
[00:03:37.615 --> 00:03:40.538]  We're all part of creation, all part of reality.
[00:03:40.818 --> 00:03:44.581]  And it's important to remember the universe and the individual mind.
[00:03:45.322 --> 00:03:57.757]  Is bigger than all the bureaucrats and all the sandcastles they build that will crumble into the sea eventually, to quote the great Jimi Hendrix, the great poet Jimi Hendrix.
[00:03:58.078 --> 00:04:00.901]  And off in the distance, the Wildcats were approaching.
[00:04:02.743 --> 00:04:04.525]  And they heard the Wildcats howl.
[00:04:05.717 --> 00:04:07.658]  Because the writers were approaching.
[00:04:08.358 --> 00:04:10.679]  To paraphrase and butcher Jimi Hendrix.
[00:04:11.160 --> 00:04:16.182]  Because it is teleprompter, talking point, free radio, TV, ladies and gentlemen.
[00:04:16.742 --> 00:04:17.683]  Alright, when we come back...
[00:04:18.715 --> 00:04:31.060]  We are going to have an original premiere here of InfoWars review of It's a Wonderful Life with Jimmy Stewart with our own David Knight.
[00:04:31.660 --> 00:04:32.880]  So that is coming up.
[00:04:33.020 --> 00:04:34.681]  And then, oh, I forgot it.
[00:04:34.701 --> 00:04:46.466]  Will you guys bring me my print off of the text of It was the night before Christmas when all through the house, not a creature was stirring, not even a genetically engineered mouse.
[00:04:47.526 --> 00:04:49.849]  So that is coming up as well.
[00:04:50.249 --> 00:04:54.353]  And then we've got some big interviews the last month or so that we're going to be re-airing as well.
[00:04:54.373 --> 00:04:57.136]  I want to commend the great crew for coming in to get all this done as well.
[00:04:57.456 --> 00:05:00.339]  And of course you, the listeners, spending time with us on Christmas.
[00:05:00.700 --> 00:05:02.802]  Merry Christmas to all of you.
[00:05:09.716 --> 00:05:18.748]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:05:18.808 --> 00:05:26.919]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:27.199 --> 00:05:31.902]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:05:32.082 --> 00:05:38.807]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:05:38.867 --> 00:05:45.952]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:05:46.052 --> 00:05:52.936]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:05:53.076 --> 00:05:57.039]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:05:57.079 --> 00:06:02.982]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:06:03.002 --> 00:06:04.643]  Guess what else is in the halogen family?
[00:06:22.392 --> 00:06:23.092]  Fluoride.
[00:06:23.272 --> 00:06:25.073]  Ladies and gentlemen, Alex Jones here.
[00:06:25.193 --> 00:06:31.515]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:06:31.776 --> 00:06:34.617]  It's the good halogen on the periodic table.
[00:06:34.717 --> 00:06:36.577]  And the results are on record.
[00:06:36.697 --> 00:06:42.820]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:06:43.020 --> 00:06:45.181]  Bottom line, iodine is important.
[00:06:45.441 --> 00:06:48.082]  Unbound, clean, in a glycerin base.
[00:06:48.382 --> 00:06:51.743]  Nascent iodine was the answer for myself and my family.
[00:06:51.863 --> 00:06:57.091]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:06:57.311 --> 00:07:02.118]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:07:02.419 --> 00:07:03.460]  I take it every day.
[00:07:03.601 --> 00:07:04.903]  That's InfoWarsLife.com.
[00:07:05.383 --> 00:07:06.465]  Or call toll-free 888-253-9000.
[00:07:09.549 --> 00:07:11.190]  Introducing Pro-1.
[00:07:11.450 --> 00:07:14.974]  All of your filtration in one system, portable, on-the-go.
[00:07:15.094 --> 00:07:19.518]  No more do you have two or three filters to just reduce sodium fluoride.
[00:07:19.638 --> 00:07:25.644]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:07:25.744 --> 00:07:27.005]  Advanced manufacturing technology.
[00:07:27.085 --> 00:07:27.786]  We're good to go.
[00:07:49.884 --> 00:08:00.217]  Chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:08:00.538 --> 00:08:05.864]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:08:10.498 --> 00:08:18.065]  This is false crime.
[00:08:18.506 --> 00:08:20.688]  He aligns himself with the truth.
[00:08:21.068 --> 00:08:23.450]  And it's time for you to choose a side.
[00:08:23.491 --> 00:08:24.111]  This is illegal.
[00:08:24.131 --> 00:08:26.433]  You're listening to Alex Jones.
[00:08:29.582 --> 00:08:33.704]  The government is God.
[00:08:33.804 --> 00:08:39.266]  The state and the bureaucrats that run it are king.
[00:08:40.826 --> 00:08:42.087]  Christ?
[00:08:42.667 --> 00:08:43.547]  Call the FCC!
[00:08:43.607 --> 00:08:51.991]  You're not allowed to speak nasty, dirty words that sting in the ears of our beloved Lord and Savior, Satan.
[00:08:53.596 --> 00:09:01.427]  Pull down the Christmas trees, destroy the churches, and Al Qaeda spread throughout the world, not just Syria, and take on our enemies.
[00:09:02.228 --> 00:09:07.795]  This satanic broadcast brought to you by Barack H. Obama and trendy loving liberalness.
[00:09:09.317 --> 00:09:18.023]  No, ladies and gentlemen, it's actually brought to you by the Infowar, and only a satanic, pig-like government would try to restrict free speech and attack Christianity.
[00:09:18.783 --> 00:09:22.746]  But why is the system always after Christians?
[00:09:23.307 --> 00:09:25.208]  Why is that happening?
[00:09:25.668 --> 00:09:27.349]  Why is that going on?
[00:09:27.910 --> 00:09:30.532]  It's because the tyrants fear liberty.
[00:09:31.132 --> 00:09:35.637]  And if they can pull down the icons of our culture, they can replace it with anything.
[00:09:35.958 --> 00:09:41.484]  And any conquered people have their religion destroyed and overwritten by the usurpers.
[00:09:42.045 --> 00:09:44.848]  And so we are here speaking out against this today.
[00:09:45.509 --> 00:09:47.431]  Again, it is the night before Christmas.
[00:09:48.112 --> 00:09:51.536]  And I'm going to give you my rendition of the Night Before Christmas, literally unscripted.
[00:09:51.576 --> 00:09:56.121]  I'm just going to read it and then make my little comments on it as we go.
[00:09:56.201 --> 00:10:04.189]  But first, we have a review by the great David Knight of Infowars Nightly News of It's a Wonderful Life with Jimmy Stewart.
[00:10:04.730 --> 00:10:09.415]  And so he's going to parallel this Christmastime special about the banksters, the gangsters,
[00:10:10.315 --> 00:10:10.795]  A.K.A.
[00:10:10.815 --> 00:10:16.418]  the 100-year anniversary of the Federal Reserve that just passed yesterday and their occupational rule over us.
[00:10:16.798 --> 00:10:22.941]  And then we're going to come back and I will give you my night before Christmas right off the top.
[00:10:23.441 --> 00:10:24.402]  This is going to be original.
[00:10:24.442 --> 00:10:25.142]  You know I do it.
[00:10:25.602 --> 00:10:27.203]  And so that's coming up as well.
[00:10:27.243 --> 00:10:30.164]  Thank you for joining us on this Christmas Eve.
[00:10:30.204 --> 00:10:34.546]  Here is David Knight and his review of the great Christmastime special.
[00:10:34.726 --> 00:10:36.207]  If you haven't seen it, I suggest you watch it.
[00:10:36.607 --> 00:10:37.808]  It's a wonderful life.
[00:10:40.239 --> 00:10:48.166]  Over the last 100 years, the Federal Reserve has created bubbles and burst them, enslaved us with debt, and destroyed our purchasing power through inflation.
[00:10:49.007 --> 00:10:52.130]  Yes, it's been a wonderful lie for the bankers.
[00:10:52.770 --> 00:10:59.996]  There are striking parallels in Frank Capra's It's a Wonderful Life to the lies and tricks that real bankers use to create the Federal Reserve.
[00:11:00.477 --> 00:11:01.658]  Human nature doesn't change.
[00:11:02.603 --> 00:11:09.186]  And the greedy elite of 1913 and 2013 look and act a lot like Potter, the banker in the movie.
[00:11:09.606 --> 00:11:16.430]  And many Americans are left like George Bailey, staring into the abyss as their dreams collapse and they face financial ruin.
[00:11:16.670 --> 00:11:19.891]  Do we live in a country that looks a lot more like Pottersville than Bedford Falls?
[00:11:20.271 --> 00:11:23.453]  What does Frank Capra's film show us about how we got here?
[00:11:24.133 --> 00:11:26.836]  I've never really seen one, but that's got all the earmarks of being a run!
[00:11:38.266 --> 00:11:41.807]  The panic of 1907 was used to shape public support for the Fed.
[00:11:42.227 --> 00:11:47.269]  The panic was triggered by rumors that two major banks were about to become insolvent, just as we see in the movie.
[00:11:47.569 --> 00:11:51.711]  George, there is a rumor around town that you've closed your doors.
[00:11:51.791 --> 00:11:52.591]  Is that true?
[00:11:52.611 --> 00:11:56.372]  I am going all out to help in this crisis.
[00:11:57.212 --> 00:12:01.594]  I have just guaranteed the banks sufficient funds to meet their needs.
[00:12:02.414 --> 00:12:05.335]  They will close up for a week and then reopen.
[00:12:06.596 --> 00:12:07.456]  Just took over the bank.
[00:12:08.889 --> 00:12:13.731]  I may lose a fortune, but I am willing to guarantee your people, too.
[00:12:14.311 --> 00:12:19.193]  Just tell them to bring their shares over here, and I will pay 50 cents on the dollar.
[00:12:19.494 --> 00:12:21.374]  Boy, you never miss a trick, do you, Potter?
[00:12:21.875 --> 00:12:22.615]  Unfortunately, J.P.
[00:12:23.075 --> 00:12:28.998]  Morgan got away with the deception, and was able to shut down competitors and snapped up assets at fire sale prices.
[00:12:29.278 --> 00:12:31.899]  Now, take during the Depression, for instance.
[00:12:32.539 --> 00:12:34.980]  You and I were the only ones that kept our heads.
[00:12:35.680 --> 00:12:37.001]  You saved a billion long,
[00:12:38.010 --> 00:12:39.071]  I saved all the rest.
[00:12:39.691 --> 00:12:42.212]  Yes, well, most people say you stole all the rest.
[00:12:42.432 --> 00:12:44.353]  The envious ones say that, George.
[00:12:44.433 --> 00:12:45.274]  The suckers!
[00:12:45.574 --> 00:12:46.734]  Charles Lindbergh Sr.
[00:12:46.794 --> 00:12:54.798]  warned people at the time of the creation of the Federal Reserve that it would not stop booming bus cycles, but would actually create them in order to benefit its private owners.
[00:12:55.158 --> 00:12:55.939]  Here's what he said.
[00:12:56.259 --> 00:13:00.801]  To cause high prices, all the Federal Reserve Board will do will be to lower the re-discount rate.
[00:13:01.221 --> 00:13:04.304]  Producing an expansion of credit and a rising stock market.
[00:13:04.564 --> 00:13:10.708]  Then, when businessmen are adjusted to these conditions, it can check prosperity in mid-career by arbitrarily raising the rate of interest.
[00:13:11.049 --> 00:13:18.534]  It can cause a pendulum of a rising and falling market to swing gently back and forth, or cause violent fluctuations by greater rate variation.
[00:13:19.315 --> 00:13:26.661]  And in either case, it will possess inside information as to the financial conditions and advanced knowledge of the coming change, either up or down.
[00:13:27.472 --> 00:13:34.394]  This is the strangest, most dangerous advantage ever placed in the hands of a special privileged class by any government that ever existed.
[00:13:34.895 --> 00:13:41.077]  The system is private, conducted for the sole purpose of obtaining the greatest possible profits from the use of other people's money.
[00:13:41.437 --> 00:13:45.858]  They know in advance when to create panics to their advantage, and they know when to stop panic.
[00:13:46.699 --> 00:13:51.300]  Inflation and deflation work equally well for them when they control the finance.
[00:13:51.920 --> 00:13:56.222]  As we see in the movie, not all lending institutions have the same motivations.
[00:13:57.185 --> 00:14:00.048]  Now, you take this loan here to Ernie Bishop.
[00:14:00.608 --> 00:14:06.273]  You know, that fellow that sits around all day on his brains in his taxi, you know?
[00:14:06.934 --> 00:14:10.177]  I happen to know the bank turned down this loan.
[00:14:10.257 --> 00:14:14.941]  But he comes here, and we're building him a house worth $5,000!
[00:14:17.668 --> 00:14:17.988]  Why?
[00:14:18.148 --> 00:14:19.809]  Well, I handled that, Mr. Potter.
[00:14:20.109 --> 00:14:22.590]  You have all the papers there, his salary, insurance.
[00:14:22.670 --> 00:14:24.191]  I can personally vouch for his character.
[00:14:24.411 --> 00:14:25.032]  Friend of yours?
[00:14:25.312 --> 00:14:25.832]  Yes, sir.
[00:14:27.113 --> 00:14:32.115]  You see, if you shoot pool with some employee here, you can come and borrow money.
[00:14:33.316 --> 00:14:34.656]  What does that get us?
[00:14:35.016 --> 00:14:39.979]  A discontented, lazy rabble instead of a thrifty working class.
[00:14:40.399 --> 00:14:47.942]  As a former FDIC chair said, all too often the large banks use their models and their algorithms and if you don't fit in their boxes, you don't get the loan.
[00:14:48.423 --> 00:14:53.745]  And Dodd-Frank legislation is tying the hands of small lenders, shutting out buyers and shutting down lenders.
[00:14:54.045 --> 00:14:58.207]  Today there are fewer lenders than at any time the government has kept records.
[00:14:58.227 --> 00:14:59.707]  10,000 banks disappeared between 1984 and 2011.
[00:14:59.827 --> 00:15:07.971]  This town needs this measly one-horse institution if only to have some place where people can come without crawling the potter.
[00:15:09.890 --> 00:15:16.073]  In the movie, George gets to see what happens to the small town if Potter didn't have competition from credit unions and smaller lenders.
[00:15:16.613 --> 00:15:20.615]  If it hadn't been for you... Yeah, if it hadn't been for me, everybody would be a lot better off.
[00:15:20.655 --> 00:15:25.837]  My wife and my kids and my friends and my... Look, little fella, why don't you go off and haunt somebody else?
[00:15:26.077 --> 00:15:30.379]  Yeah, so you still think killing yourself would make everyone feel happier, eh?
[00:15:32.220 --> 00:15:33.161]  Oh, I don't know.
[00:15:33.201 --> 00:15:34.061]  I guess you're right.
[00:15:36.488 --> 00:15:38.629]  It's both been better if I'd never been born at all.
[00:15:39.030 --> 00:15:41.071]  The only businesses thriving are vice.
[00:15:42.151 --> 00:15:42.912]  People are angry.
[00:15:43.372 --> 00:15:46.574]  The town is filled with signs like, keep moving, keep off the grass.
[00:15:47.575 --> 00:15:52.037]  Bert the cop actually shoots at George when he's running away and is no threat to anyone.
[00:15:52.057 --> 00:15:52.998]  Stand back!
[00:15:58.243 --> 00:16:01.306]  Pottersville, everyone is a renter, no one has a stake.
[00:16:01.727 --> 00:16:04.550]  Now you're Arnie Bishop and you live in Bailey Park with your wife and kid.
[00:16:04.670 --> 00:16:05.891]  Look bud, what's the idea?
[00:16:05.992 --> 00:16:07.533]  I live in a shack in Pottersville.
[00:16:07.573 --> 00:16:11.478]  My wife ran away three years ago and took the kid and I ain't never seen you before in my life, see?
[00:16:11.698 --> 00:16:16.123]  Private property and everyone having a stake is the antidote to Pottersville.
[00:16:16.563 --> 00:16:18.084]  Here, you're all businessmen here.
[00:16:18.184 --> 00:16:20.865]  Doesn't make them better citizens, doesn't make them better customers.
[00:16:21.145 --> 00:16:27.728]  But whether it's the Trans-Pacific Partnership or a global carbon tax, the global elite don't see you as a stakeholder.
[00:16:27.948 --> 00:16:31.389]  They want to turn us all into serfs and treat us like cattle.
[00:16:31.749 --> 00:16:38.552]  Just remember this, Mr. Potter, that this rabble you're talking about, they do most of the working and paying and living and dying in this community.
[00:16:39.192 --> 00:16:42.974]  Well, is it too much to have them work and pay and live and die in a couple of decent rooms and a bath?
[00:16:43.634 --> 00:16:45.155]  Anyway, my father didn't think so.
[00:16:46.405 --> 00:16:50.906]  People were human beings to him, but to you, a warped, frustrated old man, they're cattle.
[00:16:51.806 --> 00:16:54.087]  Well, in my book, he died a much richer man than you'll ever be.
[00:16:54.387 --> 00:16:55.927]  I'm not interested in your book.
[00:16:56.047 --> 00:16:58.548]  I'm talking about the building and loan.
[00:16:58.828 --> 00:17:00.528]  I know very well what you're talking about.
[00:17:00.548 --> 00:17:02.669]  You're talking about something you can't get your fingers on.
[00:17:03.129 --> 00:17:07.930]  Speaking of riches, do you find the salary amounts amusing when Potter tries to buy George off?
[00:17:08.090 --> 00:17:09.231]  Let's look at your side.
[00:17:10.991 --> 00:17:12.351]  Young man, 27, 28, married.
[00:17:16.053 --> 00:17:17.714]  Make me say 40 a week.
[00:17:17.735 --> 00:17:17.714]  45.
[00:17:17.755 --> 00:17:17.714]  45.
[00:17:17.855 --> 00:17:20.657]  45.
[00:17:17.975 --> 00:17:20.657]  George, I'll start you out at $20,000 a year.
[00:17:20.677 --> 00:17:21.438]  $20,000 a year?
[00:17:33.320 --> 00:17:36.143]  You wouldn't mind living in the nicest house in town?
[00:17:36.704 --> 00:17:38.746]  Buying your wife a lot of fine clothes?
[00:17:39.307 --> 00:17:41.929]  A couple of business trips to New York a year?
[00:17:42.210 --> 00:17:43.751]  Maybe once in a while Europe?
[00:17:44.132 --> 00:17:45.593]  You wouldn't mind that, would you, John?
[00:17:45.773 --> 00:17:46.174]  Would I?
[00:17:46.977 --> 00:17:52.883]  Even if George had saved a lot of his $20,000 salary, would it have bought much a couple of decades later?
[00:17:53.283 --> 00:18:01.631]  By even the government's very conservative estimate of inflation, the dollar has lost 90% of its value since 1947, when the movie was made.
[00:18:01.891 --> 00:18:07.477]  The Fed's deliberate inflation is devastating to anyone trying to accumulate wealth through hard work and saving.
[00:18:08.183 --> 00:18:15.388]  So what is the answer to all the George Baileys out there a hundred years after the government gave control of our money supply to private bankers like Potter?
[00:18:15.748 --> 00:18:20.771]  Well, Potter had more money than he could spend, but would any of you want to be Potter?
[00:18:21.192 --> 00:18:25.975]  You sit around here and you spin your little webs and you think the whole world revolves around you and your money.
[00:18:26.015 --> 00:18:27.196]  Well, it doesn't, Mr. Potter.
[00:18:28.677 --> 00:18:33.440]  In the whole vast configuration of things, I'd say you were nothing but a scurvy little spider.
[00:18:33.979 --> 00:18:41.226]  George Bailey finally sees how rich his own life is, as he sees the fruits of relationship, honesty, and compassion.
[00:18:41.507 --> 00:18:42.087]  Hey!
[00:18:43.008 --> 00:18:45.030]  Merry Christmas, Mr. Barr!
[00:18:45.370 --> 00:18:46.772]  Happy New Year to you!
[00:18:47.232 --> 00:18:48.013]  In jail!
[00:18:48.133 --> 00:18:50.375]  Go on home, they're waiting for you!
[00:18:51.256 --> 00:18:53.719]  And if the public can awaken to the lies of the Federal Reserve...
[00:18:54.364 --> 00:18:57.847]  If it could even be audited... Well, hello, Mr. Bank Examiner!
[00:18:58.787 --> 00:19:02.010]  It would be a huge step to breaking the chains that enslave all of us.
[00:19:02.390 --> 00:19:05.993]  But ultimately, it is God that changes minds and changes hearts.
[00:19:06.493 --> 00:19:11.637]  God hates oppression, and we can and should confidently pray that he will stop it.
[00:19:12.518 --> 00:19:14.599]  I owe everything to George Bailey.
[00:19:15.520 --> 00:19:17.922]  Help him, dear father.
[00:19:17.942 --> 00:19:22.986]  Joseph, Jesus, and Mary, help my friend, Mr. Bailey.
[00:19:23.988 --> 00:19:26.470]  Help my son George tonight?
[00:19:27.150 --> 00:19:29.031]  He never thinks about himself, God.
[00:19:29.071 --> 00:19:30.132]  That's why he's in trouble.
[00:19:31.013 --> 00:19:32.113]  George is a good guy.
[00:19:32.133 --> 00:19:34.515]  Give him a break, God.
[00:19:35.656 --> 00:19:36.476]  I love him, dear Lord.
[00:19:37.097 --> 00:19:38.077]  Watch over him tonight.
[00:19:38.858 --> 00:19:40.239]  Please, God!
[00:19:40.259 --> 00:19:42.440]  Something's the matter with Daddy!
[00:19:43.160 --> 00:19:46.523]  Please bring Daddy back!
[00:19:46.563 --> 00:19:53.167]  Dear Father in Heaven... I'm not a praying man, but...
[00:20:00.756 --> 00:20:02.641]  No way.
[00:20:02.681 --> 00:20:08.476]  For the InfoWars Nightly News, I'm David Knight.
[00:20:09.901 --> 00:20:18.930]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:20:19.010 --> 00:20:27.237]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:20:27.398 --> 00:20:32.062]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:20:32.262 --> 00:20:39.004]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:20:39.064 --> 00:20:46.147]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:20:46.227 --> 00:20:53.109]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:20:53.269 --> 00:20:57.611]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:20:57.731 --> 00:21:00.952]  Available in original or with our immune support infusion blend.
[00:21:01.132 --> 00:21:07.256]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:21:07.416 --> 00:21:09.617]  Available at Infowarslife.com.
[00:21:10.137 --> 00:21:11.418]  There's a reason why the U.S.
[00:21:11.458 --> 00:21:15.180]  government is conducting emergency drills simulating the collapse of the U.S.
[00:21:15.220 --> 00:21:16.101]  electrical grid.
[00:21:16.141 --> 00:21:17.822]  Northeast Corridor, offline.
[00:21:18.022 --> 00:21:18.943]  They're getting prepared.
[00:21:19.403 --> 00:21:21.184]  Will you be prepared when it shuts down?
[00:21:21.204 --> 00:21:23.625]  A massive power outage.
[00:21:23.805 --> 00:21:25.166]  The Cyber Pearl Harbor.
[00:21:25.186 --> 00:21:27.808]  The evacuation procedures are working.
[00:21:28.508 --> 00:21:32.069]  The Grid Eraser and Grid Eraser Maximus portable solar generators.
[00:21:32.489 --> 00:21:34.970]  Available exclusively on OffTheGrid.com.
[00:21:35.810 --> 00:21:38.191]  The strongest, longest lasting solar generators.
[00:21:38.651 --> 00:21:41.152]  Dollar for dollar, watt for watt, on the market.
[00:21:41.612 --> 00:21:44.193]  Double the size and output, but not double the price.
[00:21:45.133 --> 00:21:46.494]  Oh yeah, one more thing.
[00:21:47.294 --> 00:21:52.498]  You only pay $10 for shipping for the Grid Eraser and Grid Eraser Maximus at OffTheGrid.com.
[00:21:53.279 --> 00:21:56.662]  Actually, shipping is just $10 for any order at OffTheGrid.com.
[00:21:57.162 --> 00:22:06.009]  Before you spend your hard-earned cash on a solar generator, do yourself a favor and check out the Grid Eraser and Grid Eraser Maximus at OffTheGrid.com.
[00:22:06.690 --> 00:22:08.852]  Solar generators with an attitude.
[00:22:09.652 --> 00:22:13.094]  It's been said, those who control the food, control the people.
[00:22:13.314 --> 00:22:17.036]  Are you concerned about GMO foods making you sick and affecting your mind?
[00:22:17.136 --> 00:22:23.060]  Many people suffer from lack of energy, insomnia, loss of stamina, weight gain, and the inability to think clearly.
[00:22:23.320 --> 00:22:27.082]  Genetically modified crops, processed foods, and toxic chemicals can
[00:22:27.182 --> 00:22:33.405]  Compromise your health and are silently destroying your digestive system, which accounts for 80% of your immune system.
[00:22:33.525 --> 00:22:37.987]  Take back control of your health with Pro-EM1 Probiotic from Terragenics.
[00:22:38.187 --> 00:22:47.192]  Pro-EM1 Probiotic helps protect your body against irritable bowel syndrome, constipation, Crohn's disease, celiac disease, diabetes, the common cold.
[00:22:47.412 --> 00:22:48.173]  And much more.
[00:22:48.353 --> 00:22:59.861]  And including a powerful probiotic like Pro-EM1 as part of your daily routine puts you back in control and prevents you from becoming a mindless zombie manipulated by the pharmaceutical and GMO agendas.
[00:23:00.041 --> 00:23:04.704]  Call Terragenics at 866-369-3678 or visit Terragenics.com.
[00:23:04.724 --> 00:23:05.825]  T-E-R-A-G-A-N-I-X dot com.
[00:23:10.314 --> 00:23:14.277]  Yes, family and friends are gathering to give gifts and wish health and security.
[00:23:14.498 --> 00:23:18.901]  But why not enhance telephone and wireless device security all year with Block It Pocket?
[00:23:19.141 --> 00:23:23.305]  A family-owned, American business, we now have two spectacular holiday specials.
[00:23:23.625 --> 00:23:30.350]  Find them now at our new website, BlockItPocket.com or call 888-315-9618.
[00:23:31.151 --> 00:23:33.313]  Hurry, holiday special ends Christmas Day.
[00:23:33.513 --> 00:23:36.435]  Give the gift of security from BlockItPocket.com.
[00:23:36.595 --> 00:23:38.617]  Wishing you health, freedom and liberty.
[00:23:38.957 --> 00:23:41.959]  You've spent precious time and money preparing for emergencies.
[00:23:42.159 --> 00:23:43.681]  Your generator is good to go.
[00:23:43.781 --> 00:23:49.385]  You have plenty of extra fuel stored, but you're never truly ready without PRI Fuel Stabilizers.
[00:23:49.405 --> 00:23:53.368]  More than half of generator failures occur because the fuel has gone bad.
[00:23:53.388 --> 00:23:58.352]  PRI Fuel Stabilizers keep your fuel fresh and keep you ready for any disaster.
[00:23:58.392 --> 00:24:01.474]  That's why the pros rely on it and why you need it.
[00:24:01.574 --> 00:24:03.535]  Call 888-776-9373 or visit PRIProducts.com for the dealer nearest you.
[00:24:14.838 --> 00:24:16.503]  Oh no, Sting likes Christmas too?
[00:24:17.445 --> 00:24:18.007]  Racist!
[00:24:18.609 --> 00:24:19.130]  Racist!
[00:24:26.028 --> 00:24:30.211]  Defending the Republic from enemies, foreign and domestic.
[00:24:30.351 --> 00:24:33.334]  It's Alex Jones.
[00:24:33.374 --> 00:24:35.055]  Look, I'll just be honest with everybody.
[00:24:35.075 --> 00:24:37.617]  This is a short segment, you know, five, six minutes long.
[00:24:37.937 --> 00:24:44.543]  I wanted to do some type of play on words about the police state and Obama and the New World Order with the night before Christmas.
