[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[00:02:34.557 --> 00:02:35.278]  Mr. Matt Owl.
[00:02:35.338 --> 00:02:36.139]  No, no, no, no, no.
[00:02:36.820 --> 00:02:38.081]  Pat from Saturday Night Live.
[00:02:38.141 --> 00:02:39.503]  Okay, that's wrong to do that.
[00:02:40.453 --> 00:02:42.735]  Rachel Maddow, Ms.
[00:02:42.895 --> 00:02:45.957]  Maddow, Ms.
[00:02:46.897 --> 00:02:48.318]  Maddow, Ms.
[00:02:48.358 --> 00:03:03.429]  Teleprompter, went on a 14-minute tirade against myself and the Drudgenator and others, and says it's a conspiracy that First Lady visited this guy when it's on record she did.
[00:03:05.945 --> 00:03:13.788]  And you got the Saudi ambassador, or the foreign ministry, more powerful, running around that night in emergency meetings with Obama, with the PUTIS.
[00:03:14.609 --> 00:03:18.130]  By the way, I saw on YouTube people commenting, going, it's POTUS, not PUTIS.
[00:03:18.650 --> 00:03:20.811]  That's a joke, ladies and gentlemen.
[00:03:20.931 --> 00:03:21.972]  I know it's not PUTIS.
[00:03:23.203 --> 00:03:31.428]  I mean, I gotta make a joke here, when the media, two days ago, and they're still doing it worldwide, saying Alex Jones influenced the Bombers.
[00:03:31.908 --> 00:03:40.333]  Who, by the way, the one living who had his larynx cut out, his vocal cords chopped on, and he climbs out of the boat, and, come on over here, buddy, you know, get the scalpel ready.
[00:03:40.933 --> 00:03:43.795]  Maybe they should use a chainsaw on him, like Buzzsaw from The Running Man.
[00:03:45.575 --> 00:03:49.898]  But this is all falling apart like nothing I've ever seen.
[00:03:50.839 --> 00:03:54.241]  And she gets up there and just says that it's all a conspiracy theory.
[00:03:54.761 --> 00:03:59.505]  And then uses a clip out of context where I talk about a secret space program and thousands of dead astronauts.
[00:03:59.945 --> 00:04:02.347]  To be technical, I've talked to three different NASA guys.
[00:04:02.487 --> 00:04:12.774]  One of them agreed to come on air, who was in Air Force Intelligence in Vietnam, then was on the front line of the Houston program, ran the cameras on the moon, and then he choked up on air and wouldn't say at all.
[00:04:13.988 --> 00:04:20.995]  I guess that national security conditioning, I've been over to his house, I've seen it all, you know, the big presidential awards, he's got like that highest award you can get.
[00:04:22.196 --> 00:04:24.158]  That's one of the guys, two other guys confirmed it.
[00:04:24.478 --> 00:04:30.203]  I've also talked, I guess four guys, one of them, two are on record, Dr. Bob Bowman, former head of the Star Wars program.
[00:04:31.264 --> 00:04:37.787]  And the point is, when I said thousands, I've talked to people that were in programs where they knew hundreds had died.
[00:04:38.047 --> 00:04:40.387]  Like 98% of the space program is secret.
[00:04:40.648 --> 00:04:41.748]  They tell you 90% is.
[00:04:41.788 --> 00:04:42.068]  It's like 98.
[00:04:43.189 --> 00:04:44.549]  What you see is for show.
[00:04:45.149 --> 00:04:47.170]  I mean, hundreds of test pilots died.
[00:04:47.190 --> 00:04:53.652]  And what I've been told is they compartmentalize know of dozens per program.
[00:04:53.732 --> 00:04:54.793]  And there's hundreds of programs.
[00:04:56.857 --> 00:05:08.184]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China, there has never been a more crucial time to support your immune system.
[00:05:08.484 --> 00:05:21.371]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver, and is powerful enough to help protect you and your family.
[00:05:21.712 --> 00:05:25.694]  Supernatural Silver is scientifically supported, highly effective,
[00:05:25.794 --> 00:05:26.214]  I think so.
[00:05:56.154 --> 00:06:03.135]  A little over a year ago, I began to do a lot of research into why, even though I had a pretty good-sized meal, that I was still starving.
[00:06:03.376 --> 00:06:20.999]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[00:06:21.259 --> 00:06:25.360]  I then searched out the best vitamin and mineral company out there.
[00:06:25.660 --> 00:06:27.221]  And discovered Young-Jevity.
[00:06:27.422 --> 00:06:35.268]  The Young-Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[00:06:35.588 --> 00:06:41.653]  I've lost 37 pounds in two months, simply getting the vitamins and minerals I need.
[00:06:41.894 --> 00:06:42.954]  Check it out for yourself.
[00:06:43.175 --> 00:06:43.915]  It's incredible.
[00:06:44.055 --> 00:06:53.083]  Go to InfoWarsTeam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[00:06:53.263 --> 00:06:55.507]  That's infowarsteam.com.
[00:06:55.847 --> 00:06:57.490]  Introducing ProOne.
[00:06:57.750 --> 00:07:01.256]  All of your filtration in one system, portable, on the go.
[00:07:01.396 --> 00:07:05.803]  No more do you have two or three filters to just reduce sodium fluoride.
[00:07:05.983 --> 00:07:08.287]  You have a system that cuts out the sodium fluoride.
[00:07:08.507 --> 00:07:11.911]  And up to 95% of hydrofluorosilicic acid.
[00:07:12.031 --> 00:07:22.882]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:07:23.042 --> 00:07:25.725]  It is the only one that does it and out of the gates!
[00:07:25.885 --> 00:07:29.327]  We have it discounted at 10% off with promo code WATER.
[00:07:29.507 --> 00:07:46.496]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:07:46.836 --> 00:07:52.139]  Get your ProPure with the new Pro1 filter today at InfoWarsTore.com or by calling 888-253-3139.
[00:08:01.550 --> 00:08:07.113]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:07.573 --> 00:08:10.215]  You're listening to the Alex Jones Show!
[00:08:10.235 --> 00:08:25.803]  Ladies and gentlemen, you'll remember a few weeks ago Mark Dice did a man on the street and every person he talked to but two women
[00:08:27.193 --> 00:08:31.255]  Agreed that all guns should be confiscated and gun owners should be arrested in California.
[00:08:31.515 --> 00:08:32.796]  They signed a petition to do that.
[00:08:33.236 --> 00:08:42.261]  We had our crew out in California to interview Professor Griff of Public Enemy when he was being inducted into the Rock and Roll Hall of Fame and some other people for an upcoming film.
[00:08:42.581 --> 00:08:43.802]  I'll just tell you, Obama Deception 2.
[00:08:45.269 --> 00:08:49.574]  And we said, why not just go see Mark Dice and go back out and ask some of our questions on top of it?
[00:08:49.895 --> 00:08:53.759]  So we said, should we turn California over to Nazi Germany?
[00:08:54.660 --> 00:09:00.246]  And people signed a petition for that, to go under Nazi rule and to get rid of the police force and confiscate the guns.
[00:09:02.529 --> 00:09:07.392]  We basically followed MSNBC's script of, it's for the earth, for the children, and the people did sign.
[00:09:08.192 --> 00:09:08.932]  I'm not joking.
[00:09:09.132 --> 00:09:09.773]  I'm not kidding.
[00:09:10.373 --> 00:09:11.354]  We're going to premiere that.
[00:09:11.394 --> 00:09:12.714]  It has not aired on the Nightly News.
[00:09:12.934 --> 00:09:15.396]  We're going to premiere that today here.
[00:09:16.294 --> 00:09:18.936]  You have to understand, this is the majority of Californians.
[00:09:18.956 --> 00:09:22.017]  We did not go to a mental institution.
[00:09:22.058 --> 00:09:25.440]  We did not go to a place with people that have had brain injuries.
[00:09:26.100 --> 00:09:26.960]  God bless their soul.
[00:09:27.301 --> 00:09:37.927]  This was real people that could talk, being told, we're going to put gun owners in camps, we're going to inject children with mercury, we're going to turn America over to Nazis, and they signed petitions to do it.
[00:09:39.868 --> 00:09:43.851]  Now, that is the... and by the way, we're going to go even more outrageous here in Austin.
[00:09:44.605 --> 00:09:48.727]  We've had people sign, everyone in Austin signed to ban water for the earth.
[00:09:49.988 --> 00:09:53.850]  And we're going to go out and say, execute children for the earth.
[00:09:53.870 --> 00:09:56.211]  We're going to say, put children in microwaves for the earth.
[00:09:56.991 --> 00:10:02.814]  And because if you do it in an NPR voice and say, I'm a liberal, let's murder children, they will sign.
[00:10:03.134 --> 00:10:03.714]  I'm predicting.
[00:10:04.395 --> 00:10:05.375]  Next week we're doing that.
[00:10:06.436 --> 00:10:07.256]  And they will sign.
[00:10:07.276 --> 00:10:10.658]  We're going to go to the University of Texas to murder the children of America.
[00:10:11.718 --> 00:10:12.618]  You think I'm joking?
[00:10:13.298 --> 00:10:14.979]  You don't understand how evil these people are.
[00:10:15.019 --> 00:10:16.439]  This is a cult of sickos.
[00:10:17.159 --> 00:10:19.960]  If they hear something evil, they're for it.
[00:10:21.800 --> 00:10:25.881]  I mean, remember what Bill Maher said a few months ago.
[00:10:25.901 --> 00:10:29.322]  He said, I want more death, more abortion, more killing, more shootings.
[00:10:29.682 --> 00:10:32.663]  But he wants your guns for the children of Sandy Hook.
[00:10:34.023 --> 00:10:36.564]  See, in a rare moment of... You think I'm joking?
[00:10:36.584 --> 00:10:37.604]  This is not satire.
[00:10:38.885 --> 00:10:45.377]  The Attorney General owns abortion clinics in America that do a partial birth abortion, where they're shoving babies into toilets to drown.
[00:10:48.120 --> 00:10:53.665]  These people are... I mean, look at the Nazis, look at the Soviets, look at the Romans, look at the Aztecs.
[00:10:53.985 --> 00:10:58.749]  When you let scum get control, giant black pyramids get built and human sacrifice starts.
[00:10:59.309 --> 00:11:01.231]  People ask, what's at the bottom of the rabbit hole?
[00:11:01.531 --> 00:11:02.672]  Pyramids and human sacrifice.
[00:11:03.553 --> 00:11:05.875]  I don't know why, that's what's at the bottom of the rabbit hole.
[00:11:06.375 --> 00:11:07.737]  That is history.
[00:11:08.497 --> 00:11:09.878]  That is what goes on.
[00:11:10.179 --> 00:11:13.882]  And yes, it sounds crazy to people that haven't read history books.
[00:11:14.362 --> 00:11:16.284]  But if you know reality, if you know history,
[00:11:17.990 --> 00:11:20.155]  You know what happens when we become subservient.
[00:11:20.295 --> 00:11:28.713]  Good people have to band together and say no to bullies and corrupt, or the very worst of the corrupt will get in control and turn the world into a playground.
[00:11:29.923 --> 00:11:38.689]  You know, you think of being able to go to Tahiti for two weeks and skin dive and lay on the beach, you know, drinking rum and cokes.
[00:11:39.709 --> 00:11:45.113]  Or you think of being able to go around and see horse races all over the world, whatever you're into.
[00:11:45.133 --> 00:11:48.635]  Or you think of being able to go and see the most beautiful art of the Louvre.
[00:11:49.796 --> 00:11:55.039]  Or you think the most wonderful thing in the world would be to go mountain climbing whenever you want.
[00:11:55.540 --> 00:11:56.681]  You're a normal person.
[00:11:57.501 --> 00:11:58.662]  You like to garden.
[00:11:58.742 --> 00:12:00.063]  You like to go to church.
[00:12:00.123 --> 00:12:01.564]  You like to help people.
[00:12:01.604 --> 00:12:02.705]  You like to visit your family.
[00:12:03.165 --> 00:12:04.926]  But see, you don't like to be in power.
[00:12:06.027 --> 00:12:07.248]  So you're not in power.
[00:12:07.468 --> 00:12:09.749]  People that want power are in power.
[00:12:11.410 --> 00:12:13.332]  And they always finally go, what else can I do?
[00:12:13.352 --> 00:12:14.312]  Everybody does whatever I say.
[00:12:14.653 --> 00:12:16.033]  Give me your firstborn kids.
[00:12:18.395 --> 00:12:26.661]  You know, you read the Bible, which has been documented to be very historical, one of the best history books out there, because they've dug up the Roman histories, the Greek histories, the
[00:12:27.714 --> 00:12:31.376]  Babylonian histories, the Egyptian histories, and the stuff the Bible says was in there.
[00:12:31.416 --> 00:12:31.876]  Wow!
[00:12:31.956 --> 00:12:32.877]  Keeps getting confirmed.
[00:12:33.357 --> 00:12:38.720]  And every culture would demand, uh, by the way, bring your kids by.
[00:12:38.740 --> 00:12:41.261]  We're gonna, we're gonna burn them on an altar next week.
[00:12:42.081 --> 00:12:42.962]  All firstborn.
[00:12:42.982 --> 00:12:45.203]  I mean, every culture does this.
[00:12:45.923 --> 00:12:47.024]  Every culture.
[00:12:47.484 --> 00:12:48.384]  And see, I'm here.
[00:12:48.685 --> 00:12:52.667]  They can play clips of me saying this on the national news, like they do, and go, look at this crazy person.
[00:12:52.827 --> 00:12:57.049]  But anybody who has history or anthropology or sociology knows this is true.
[00:12:58.479 --> 00:13:07.907]  So see, I know where big government leads, and this video we're going to premiere in the third hour after Gerald Solenstein joins us in the second hour is extremely powerful.
[00:13:08.868 --> 00:13:12.571]  And you have to understand, we're going to show you the few people that didn't want to turn their guns in.
[00:13:13.993 --> 00:13:15.934]  We're showing you what we went out and got.
[00:13:17.756 --> 00:13:18.697]  We're showing you everything.
[00:13:18.737 --> 00:13:21.199]  If a few people didn't respond and walked off, we're not showing them.
[00:13:23.234 --> 00:13:25.875]  In Austin, every person signed a petition.
[00:13:25.975 --> 00:13:29.236]  One said no and walked off.
[00:13:29.256 --> 00:13:33.137]  But every other person signed a petition to ban water for the earth.
[00:13:33.457 --> 00:13:34.658]  It's for the earth, ban water.
[00:13:34.718 --> 00:13:35.358]  Yes, ban water.
[00:13:37.658 --> 00:13:38.319]  And that's nothing.
[00:13:39.399 --> 00:13:43.180]  We're going to go out and say, yeah, Journal of Bioethics said kill children up to age 3 for the earth.
[00:13:44.321 --> 00:13:46.801]  Yeah, we're going to start post-birth abortions.
[00:13:47.802 --> 00:13:48.662]  And they're going to sign.
[00:13:49.787 --> 00:13:53.312]  They're going to sign, and we're going to show you who they are.
[00:13:55.034 --> 00:13:55.675]  They are weak.
[00:13:55.795 --> 00:13:56.516]  They are pathetic.
[00:13:56.556 --> 00:13:57.397]  They are mindless.
[00:13:57.478 --> 00:13:58.799]  They are servants of this evil.
[00:13:59.040 --> 00:14:00.382]  They are MSNBC viewers.
[00:14:01.758 --> 00:14:24.295]  Now, speaking of MSNBC, a disheveled looking, weak, panicked, pathetic, mouse that roared, sitting on top of her tiny megaphone, in an act of confidence man behavior, the MSNBC host with her dwindling audience, I mean we're talking on a good night 600, 700,000 viewers,
[00:14:27.921 --> 00:14:33.102]  A bunch of arrogant social engineering authoritarians posing as liberals.
[00:14:33.242 --> 00:14:34.143]  You are no liberal.
[00:14:34.823 --> 00:14:37.143]  Thomas Jefferson was a liberal, ma'am.
[00:14:37.863 --> 00:14:38.324]  Ms.
[00:14:38.464 --> 00:14:43.165]  Maddow, you are no liberal.
[00:14:43.925 --> 00:14:45.305]  And the video's up on InfoWars.com.
[00:14:45.325 --> 00:14:48.826]  We're going to be playing this at the bottom of the hour.
[00:14:51.127 --> 00:14:55.848]  Rachel Maddow froths over Boston false flag and Alex Jones.
[00:14:57.419 --> 00:15:02.460]  And just realizes, hey lady, let's be conservative lately.
[00:15:03.140 --> 00:15:04.221]  All the different videos you look them up.
[00:15:04.241 --> 00:15:08.481]  We're getting about 5 million viewers a day on YouTube.
[00:15:09.802 --> 00:15:12.502]  We have probably now 6 million listeners a day right now.
[00:15:13.162 --> 00:15:16.043]  We're trying to gauge some of the instant numbers coming in, but it's about double.
[00:15:16.463 --> 00:15:18.724]  Web traffic's been about 10 times what it usually is.
[00:15:18.764 --> 00:15:20.284]  Now it's only about 5 times right now.
[00:15:22.284 --> 00:15:22.985]  Let's be conservative.
[00:15:23.005 --> 00:15:24.645]  We used to reach 15 million people a week.
[00:15:25.515 --> 00:15:28.016]  It's probably been about 50 million a week lately.
[00:15:29.257 --> 00:15:30.138]  Mouse that roared.
[00:15:30.158 --> 00:15:39.303]  Who sits there on your little teleprompter pedestal trying to convince your dwindling audience of cult members
[00:15:40.287 --> 00:15:50.153]  That if we go out and repeat their lines of, yeah, racist Tea Party people want guns, we want to confiscate them and arrest them, every Californian, oh yes, arrest, you don't have to tell me, buddy, let's arrest them, oh yeah.
[00:15:50.373 --> 00:15:52.174]  They put us in FEMA camps so fast.
[00:15:52.374 --> 00:16:07.703]  I mean, Obama was trained by the Weathermen, who had came out in federal court, planned to take over America, bring in the communist Chinese, they want to make Mexico go communist, and put 50 million conservatives in forced labor camps, and they estimate 25 million of us will have to be killed.
[00:16:08.103 --> 00:16:08.543]  That was in the 1970s.
[00:16:09.824 --> 00:16:10.785]  You mean to play those clips?
[00:16:12.846 --> 00:16:15.288]  You got seven czars quoting Mao Tse Tung?
[00:16:15.609 --> 00:16:22.054]  I mean, folks, when your government's quoting Mao Tse Tung, that's time to run down the street screaming, you know, the body snatchers are here.
[00:16:22.074 --> 00:16:27.358]  You know, at the end of Body Snatchers, the 50s version, where the guy's running around the street going, they're in danger!
[00:16:27.378 --> 00:16:28.519]  Run, everybody!
[00:16:28.599 --> 00:16:31.321]  And he jumps to the back of a truck and he sees more of the pods.
[00:16:31.361 --> 00:16:32.262]  He's like, ugh!
[00:16:34.093 --> 00:16:39.818]  But then he goes, and he's a doctor, and he talks to the doctor, he talks to the police, and they actually listen to him and say, let's get the army on the phone.
[00:16:40.838 --> 00:16:41.979]  I'm like, wow, a happy ending.
[00:16:42.219 --> 00:16:50.526]  But see, in the real world, if pod people landed folks and took over MSNBC, they would say, go to the local sports stadium where you will be given your pod.
[00:16:50.846 --> 00:16:51.767]  They would go and do that.
[00:16:51.827 --> 00:16:54.229]  That's how cult-like these people are.
[00:16:54.809 --> 00:16:55.730]  They will do anything.
[00:16:56.451 --> 00:17:02.675]  I mean, we said we're gonna have the Nazis take over and put people in camps, and they, no, put conservatives in camps?
[00:17:04.548 --> 00:17:07.529]  You're like, you just signed a petition to put people in a Nazi camp.
[00:17:07.729 --> 00:17:08.310]  Thank you very much.
[00:17:09.430 --> 00:17:10.250]  God bless you for that.
[00:17:12.591 --> 00:17:19.534]  I mean, these people, I'm telling you, the way to bring them down, I shouldn't laugh, it's just so sick, the way to bring them down is to show who they are.
[00:17:19.994 --> 00:17:21.755]  A frickin' cult of people.
[00:17:22.115 --> 00:17:23.816]  You ever watch MSNBC and CNN?
[00:17:24.076 --> 00:17:28.098]  All they do is talk about how smart progressives are, how smart liberals are.
[00:17:28.298 --> 00:17:30.159]  You're not progressives, you're not liberals.
[00:17:30.839 --> 00:17:33.400]  Progress is Benjamin Franklin.
[00:17:34.602 --> 00:17:36.703]  Progress is Henry Ford.
[00:17:37.244 --> 00:17:39.145]  Progress is splitting the atom.
[00:17:39.525 --> 00:17:43.587]  Progress is increasing IQs, increasing longevity.
[00:17:44.488 --> 00:17:45.849]  I haven't even gotten to the big news yet.
[00:17:47.608 --> 00:17:50.309]  When we come back, I'm going to try to discipline myself and go over this.
[00:17:51.129 --> 00:17:53.410]  I can't believe how right we were, and I'm not tooting my horn.
[00:17:53.510 --> 00:17:54.610]  It is incredibly dangerous.
[00:17:54.630 --> 00:18:00.232]  It is incredibly scary to have national media, the old vestigial eye of Sauron coming after us.
[00:18:00.292 --> 00:18:05.233]  Even though it's weakened, it still shows the power behind it is very evil and very weaponized.
[00:18:06.614 --> 00:18:13.316]  It is confirmed that the Saudi Arabian terror suspect al-Harabi
[00:18:14.289 --> 00:18:16.050]  Visited the White House numerous times.
[00:18:16.750 --> 00:18:19.891]  One time, if I read this correctly, was there more than six hours.
[00:18:19.971 --> 00:18:24.253]  What's, uh... And by the way, this is on the White House website.
[00:18:26.214 --> 00:18:31.876]  And it turns out that Michelle Obama, here it is right here, I need to curtain him over the whole bowl now with all this in one spot.
[00:18:32.417 --> 00:18:35.138]  Michelle Obama did indeed go visit this guy.
[00:18:38.337 --> 00:18:41.779]  And by the way, what is their response to this guy that was on the terrorist watch list?
[00:18:42.480 --> 00:18:50.325]  Janet Napolitano, the Janet Reno look-alike, or clone, was a bad clone.
[00:18:50.345 --> 00:18:51.566]  That's why she's got the white streak in her hair.
[00:18:51.586 --> 00:18:53.047]  I'm being sarcastic, but might as well be a clone.
[00:18:53.988 --> 00:19:02.193]  The power-tripping, narcissistic nutball up there who says that, you know, oh, I read an 800-page bill, I read a 300-page bill in a couple hours, yes.
[00:19:02.293 --> 00:19:04.435]  You know, just lying to Congress constantly.
[00:19:04.755 --> 00:19:06.016]  Disdainful, arrogant,
[00:19:07.210 --> 00:19:08.510]  Radiating criminal energy.
[00:19:08.550 --> 00:19:09.310]  I mean, just look at her.
[00:19:09.330 --> 00:19:10.151]  I mean, just run!
[00:19:10.851 --> 00:19:11.291]  Run!
[00:19:11.411 --> 00:19:12.491]  Danger Will Robinson!
[00:19:13.111 --> 00:19:15.011]  She goes, drudge is not credible.
[00:19:15.452 --> 00:19:19.192]  Just like Hillary got all arrogant about Benghazi, caught red-handed lying about all that.
[00:19:19.692 --> 00:19:20.833]  She acts all disdainful.
[00:19:21.013 --> 00:19:22.053]  It's a confidence game.
[00:19:23.333 --> 00:19:24.233]  They're caught red-handed.
[00:19:24.253 --> 00:19:26.514]  It's like walking in front of the guy on top of your wife.
[00:19:27.694 --> 00:19:28.954]  There's no sheets, anything there.
[00:19:29.014 --> 00:19:29.654]  It's going on.
[00:19:30.534 --> 00:19:33.135]  And he gets off and says, hey, I wasn't doing that.
[00:19:34.138 --> 00:19:36.061]  It's like catching your kid with a hand in the cookie jar.
[00:19:36.582 --> 00:19:38.084]  And they look at you and say, I wasn't stealing cookies.
[00:19:39.886 --> 00:19:41.709]  And she says, no, there's no watch list.
[00:19:42.030 --> 00:19:42.971]  There's no person of interest.
[00:19:42.991 --> 00:19:43.892]  We're not deporting him.
[00:19:44.593 --> 00:19:45.995]  All lies.
[00:19:46.676 --> 00:19:47.678]  All lies.
[00:19:48.018 --> 00:19:49.340]  Perjury before Congress.
[00:19:50.865 --> 00:19:52.166]  And you think it's fun going up against her?
[00:19:52.186 --> 00:19:56.088]  I mean, if she can carry out fast and furious and kill all those people, she'll do anything.
[00:19:56.688 --> 00:20:00.230]  Digestive health is the key to wellness and elimination of toxins.
[00:20:00.570 --> 00:20:01.271]  That bears repeating.
[00:20:01.591 --> 00:20:05.113]  Digestive health is the key to wellness and elimination of toxins.
[00:20:05.473 --> 00:20:09.716]  And Pro-EM-1 Daily Probiotic Cleanse is the key to digestive health.
[00:20:10.036 --> 00:20:15.499]  Pro-EM-1 is a powerful liquid probiotic, strong enough to cleanse, gentle enough to use every day.
[00:20:15.879 --> 00:20:18.100]  Pro-EM1 is dairy, wheat, and soy free.
[00:20:18.340 --> 00:20:20.621]  Contains all natural and certified organic ingredients.
[00:20:20.841 --> 00:20:22.742]  Contains no preservatives or animal products.
[00:20:23.002 --> 00:20:24.943]  Supports a healthy digestive and immune system.
[00:20:25.083 --> 00:20:25.823]  Supports weight loss.
[00:20:26.103 --> 00:20:27.624]  Improves absorption of food nutrients.
[00:20:27.904 --> 00:20:29.305]  Aids in controlling yeast infections.
[00:20:29.565 --> 00:20:30.805]  Is never freeze-dried.
[00:20:31.145 --> 00:20:35.027]  And uses three groups of live, viable, beneficial microbes to cleanse and remove toxins.
[00:20:35.367 --> 00:20:38.810]  Order Pro-EM1 Daily Probiotic Cleanse at Terragonics.com.
[00:20:39.150 --> 00:20:42.753]  Spelled T-E-R-A-G-A-N-I-X dot com.
[00:20:43.053 --> 00:20:44.194]  Terragonics dot com.
[00:20:44.574 --> 00:20:45.395]  Or call toll free 866-369-3678.
[00:20:45.415 --> 00:20:45.755]  That's 866-369-3678.
[00:20:45.795 --> 00:20:46.956]  Pro-EM1, the raw probiotic.
[00:20:57.563 --> 00:21:00.425]  Ceramic body armor is rated to stop six hits.
[00:21:00.706 --> 00:21:01.867]  But what about the seventh?
[00:21:02.087 --> 00:21:06.130]  Unlike ceramic or Kevlar, Infidel body armor is proven to take hit after hit.
[00:21:06.350 --> 00:21:07.671]  And it just won't quit.
[00:21:07.892 --> 00:21:14.397]  Reasonably priced and designed for the smart civilian prepper, Infidel stops hundreds of hits from small arms to high-powered rifles.
[00:21:14.597 --> 00:21:16.559]  That means safety and peace of mind.
[00:21:16.759 --> 00:21:19.141]  Buy yours at InfidelBodyArmor.com.
[00:21:19.181 --> 00:21:23.064]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:21:23.184 --> 00:21:24.425]  Infidel Body Armor.
[00:21:24.665 --> 00:21:25.486]  Just won't quit.
[00:21:25.626 --> 00:21:34.892]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:21:34.952 --> 00:21:35.693]  This capitalism?
[00:21:35.753 --> 00:21:41.897]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:42.037 --> 00:21:42.797]  Hi, Ted Anderson.
[00:21:42.837 --> 00:21:45.920]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:21:45.980 --> 00:21:46.920]  Call for your copy 800-686-2237.
[00:21:46.940 --> 00:21:47.961]  It's time to understand the system.
[00:21:47.981 --> 00:21:48.261]  Call 800-686-2237.
[00:21:48.321 --> 00:21:48.641]  That's 800-686-2237.
[00:21:56.006 --> 00:21:57.928]  In the last two years alone, the U.S.
[00:21:57.948 --> 00:22:00.189]  has seen huge losses to our food supply.
[00:22:00.349 --> 00:22:06.333]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[00:22:06.353 --> 00:22:09.535]  In 2012, we saw the largest drought in the country in more than 50 years.
[00:22:09.795 --> 00:22:13.538]  You may think out of sight, out of mind, and so you don't think you will be affected.
[00:22:13.698 --> 00:22:14.879]  The fact is, you are.
[00:22:15.079 --> 00:22:15.859]  We all are.
