[00:00:10.350 --> 00:00:11.792]  We are on the march.
[00:09:19.619 --> 00:09:24.144]  Of all people, George W. Bush blocked Dick Cheney from doing it.
[00:09:24.994 --> 00:09:26.335]  And there's hundreds of other examples.
[00:09:26.355 --> 00:09:36.761]  So the point is, state-run media like MSNBC, CNN, they're going to be aghast that we point out some of the tell-tale signs of this perhaps being a staged event.
[00:09:37.847 --> 00:09:39.128]  Boston bombing, if you remember.
[00:09:39.748 --> 00:09:40.688]  Totally hands down.
[00:09:40.748 --> 00:09:45.510]  Both brothers, government operatives, one of them publicly on CIA payroll, protected for years.
[00:09:45.930 --> 00:09:48.772]  Part of a drill we know they were having, that was even the Boston Club.
[00:09:49.372 --> 00:09:54.954]  Our reporters went and covered it, were threatened by Secret Service, who weren't even around the President there, they were just there to threaten people.
[00:09:55.274 --> 00:09:58.656]  Covering up Saudi nationals, clearly involved, and so much more.
[00:09:59.836 --> 00:10:05.158]  And for exposing that, they then had MSNBC and others come out with no evidence.
[00:10:05.178 --> 00:10:06.058]  We played this clip here.
[00:10:06.699 --> 00:10:09.900]  And you can just type in MSNBC says Alex Jones behind the Boston bombing.
[00:10:10.600 --> 00:10:14.261]  And on quite a few TV shows, they say I am behind it and then show no evidence.
[00:10:14.762 --> 00:10:20.384]  My lawyer says I could clearly win a lawsuit for defamation hands down, but I mean, they're so discredited anyways.
[00:10:21.104 --> 00:10:25.306]  And MSNBC gets government stimulus money, so just be taxpayer money.
[00:10:26.007 --> 00:10:31.550]  My goal is not to win a multi-million dollar lawsuit, it's just to discredit these people.
[00:10:31.850 --> 00:10:35.532]  But the point is they're very upset about us exposing them, so we're going to be getting into that in a moment.
[00:10:36.713 --> 00:10:43.156]  There it is, MSNBC blames Boston Bombing on deeply racist Alex Jones, and then showed no clips of me being racist, and no
[00:10:45.748 --> 00:11:08.734]  No clips of me connected to the Boston bombing in any way except for my reporter asking questions at stage press conferences about the drill at the Boston Globe and a local TV station admitted and the still photos by the thousands of men in military outfits with black backpacks running around during and after the bombing and all the rest of it.
[00:11:11.983 --> 00:11:18.866]  And the fact that Al-Qaeda in Chechnya is run by the CIA on record, and the older brother was on the CIA payroll, but I'm already digressing.
[00:11:19.466 --> 00:11:21.367]  We just see this over and over again.
[00:11:21.387 --> 00:11:29.510]  In fact, let me just cover this now, then I'll get into huge developments on Obamacare, huge developments in the Middle East, big developments on the NSA front.
[00:11:30.310 --> 00:11:33.832]  Obama is now bragging that he's, quote, really good at killing people.
[00:11:34.312 --> 00:11:37.193]  That's big news, so give him another Peace Prize for that.
[00:11:37.573 --> 00:11:38.734]  He's really macho and tough.
[00:11:39.540 --> 00:11:45.164]  Very gangster, so we're going to be breaking that down, but let's first just get into the whole false flag situation.
[00:11:46.845 --> 00:11:50.048]  Hitler firebombed his own Reichstag in February 27, 1933.
[00:11:51.769 --> 00:11:59.255]  He was already elected as the leader of the country, but he wanted to abolish their Bill of Rights and Constitution in the Weimar Republic.
[00:12:00.180 --> 00:12:12.950]  And to have Kaiser Wilhelm step down, so he did get that done using the destroying of their own Capitol building, their firebombing of the Capitol building, of the Reichstag, to get that job done.
[00:12:14.636 --> 00:12:20.340]  And it had always been rumored to be a false flag, but a couple years ago it was declassified.
[00:12:20.360 --> 00:12:22.001]  I don't know why the West declassified that.
[00:12:22.402 --> 00:12:24.663]  Well, actually, I know why they don't want you thinking about things like that.
[00:12:25.023 --> 00:12:27.245]  That it was indeed a staged event by Hermann Goering.
[00:12:27.985 --> 00:12:30.327]  Then we even know more about Operation Himmler.
[00:12:31.388 --> 00:12:40.514]  You wonder how Nazi Germany with its high-tech military in 1939-1940 attacked Poland that had horse-drawn carriages and was a World War I style army.
[00:12:41.937 --> 00:12:54.148]  Well, they attack Nazi bases along the German-Polish border in Operation Himmler that was declassified in the Nuremberg Trials.
[00:12:55.330 --> 00:13:01.696]  And in Operation Himmler, they attack bases at Gleiwitz and others, and even dress up local concentration camp victims in
[00:13:05.034 --> 00:13:05.314]  All right.
[00:13:24.636 --> 00:13:32.238]  Whatever a tenth of a mark was, and then you would also get 30 minutes of Hitlerian propaganda newsreels before, as they were called.
[00:13:32.258 --> 00:13:35.039]  We got that here as well, just our form of propaganda.
[00:13:35.979 --> 00:13:38.440]  And they said, how dare the Poles attack us?
[00:13:38.460 --> 00:13:39.380]  And then the rest is history.
[00:13:39.400 --> 00:13:45.642]  So the point is, when the media acts all aghast at this, it's like being aghast at the sun coming up in the morning.
[00:13:46.262 --> 00:13:48.243]  This is a standard operating procedure.
[00:13:50.004 --> 00:13:51.145]  to do these type of things.
[00:13:51.846 --> 00:14:06.639]  And the fact is we have criminal elements in our government that blew up the main in 1898 to get us in the Spanish-American War, that staged massacres in Cuba to then blame it on the forces there to invade in 1898 as well.
[00:14:07.660 --> 00:14:13.264]  And then just since then it was declassified a decade ago that Bobby Kennedy went to his brother and wanted to blow up U.S.
[00:14:14.629 --> 00:14:19.430]  Consulates in the South America as a pretext to invade there.
[00:14:20.390 --> 00:14:22.951]  Because the Pentagon had been coming to him as well, wanting to push that.
[00:14:23.951 --> 00:14:25.711]  Because Kennedy had said no, they went to his brother.
[00:14:26.191 --> 00:14:28.492]  So the fact is, you're just knee deep in this.
[00:14:29.332 --> 00:14:32.353]  Actually up to your eyeballs in examples of false flags.
[00:14:32.713 --> 00:14:36.794]  And you've got the TSA wanting to roll out armed agents on the streets of America.
[00:14:36.854 --> 00:14:37.494]  It's already begun.
[00:14:38.519 --> 00:14:42.583]  Uh, wanting to set up checkpoints on highways, wanting to set up checkpoints outside the airport.
[00:14:42.863 --> 00:14:45.725]  They already search your car if you park it in long-term parking without a warrant.
[00:14:46.446 --> 00:14:54.393]  They're now shifting from saying Al-Qaeda's the reason, because everybody knows that's a hoax and a fraud, and our government publicly runs them in Libya and Syria and Egypt and everywhere else.
[00:14:55.677 --> 00:14:56.578]  So that's mainstream news.
[00:14:56.598 --> 00:15:01.602]  So now they're segwaying in the news saying, oh no, it's veterans, gun owners, libertarians, conservatives.
[00:15:02.182 --> 00:15:03.583]  They're going to attack us.
[00:15:03.963 --> 00:15:05.885]  And they had 20 drills in the last couple months.
[00:15:05.905 --> 00:15:12.050]  We had an article five days ago showing all these drills where the TSA is attacked by libertarians.
[00:15:12.530 --> 00:15:16.934]  And I'm going to show you some articles about that and play some news clips, not just us saying it.
[00:15:16.954 --> 00:15:22.658]  We're going to show you that they go, OK, the libertarians are going to come shoot us now and they're the new enemy, OK?
[00:15:22.678 --> 00:15:23.519]  It's not al Qaeda.
[00:15:24.179 --> 00:15:27.660]  It's the gun owners and the returning veterans and libertarians, alright?
[00:15:27.940 --> 00:15:31.881]  Who don't want us setting up checkpoints on the highway and totally taking over as an actual police force.
[00:15:32.081 --> 00:15:32.901]  They're gonna attack!
[00:15:33.441 --> 00:15:34.281]  Oh my goodness!
[00:15:34.961 --> 00:15:40.102]  Somebody dressed up like a TSA agent came in and shot some people.
[00:15:40.402 --> 00:15:41.382]  We don't know what happened.
[00:15:41.402 --> 00:15:52.085]  And it turns out, I said Friday, it may not be a false flag, maybe a mentally ill person or maybe somebody going postal, but I said if they have a drill and if they were dressed up like TSA, it's a false flag.
[00:15:52.345 --> 00:15:53.305]  Well, there was a drill.
[00:15:54.065 --> 00:15:56.635]  Dressed up like TSA, it's probably a false flag.
[00:15:56.695 --> 00:15:57.980]  I mean, I'm an expert on false flags.
[00:15:58.261 --> 00:15:59.144]  Looks like a big giant.
[00:15:59.345 --> 00:15:59.726]  False flag.
[00:16:01.860 --> 00:16:06.963]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:16:07.323 --> 00:16:15.808]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:16:16.229 --> 00:16:23.533]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:16:24.053 --> 00:16:31.438]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:16:31.938 --> 00:16:35.339]  I personally store and use their high-quality products.
[00:16:35.900 --> 00:16:39.541]  It tastes great, and it's easy to store for up to 25 years.
[00:16:40.081 --> 00:16:46.664]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:16:47.244 --> 00:16:53.966]  Visit mypatriotsupply.com forward slash alex today with the new world order making rapid advances on every front.
[00:16:54.446 --> 00:16:58.488]  It is essential to prepare with My Patriot Supply today.
[00:17:00.905 --> 00:17:05.489]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:17:05.649 --> 00:17:08.611]  Why do we have the highest cancer rates on the planet?
[00:17:08.752 --> 00:17:13.996]  The highest rates of diabetes, autism, and every other major disease.
[00:17:14.316 --> 00:17:15.978]  It all comes down to one thing.
[00:17:16.258 --> 00:17:17.539]  We are what we eat.
[00:17:17.879 --> 00:17:22.200]  Our food is devoid of nutrition and processed with poisons and additives.
[00:17:22.540 --> 00:17:26.521]  Our water is filled with toxic poisons and Big Pharma runoff.
[00:17:26.761 --> 00:17:29.082]  All of this has been engineered by design.
[00:17:29.322 --> 00:17:35.243]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:17:35.544 --> 00:17:38.304]  To learn more, visit InfoWarsHealth.com.
[00:17:38.524 --> 00:17:45.346]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:17:45.566 --> 00:17:51.415]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:17:51.635 --> 00:17:57.584]  When you visit Infowarshealth.com, be sure and check out the catalog with nearly 400 life-changing products.
[00:17:57.825 --> 00:18:00.309]  And get free shipping when you sign up for AutoShip.
[00:18:00.889 --> 00:18:03.970]  Alex Jones here with a very important announcement for truth seekers.
[00:18:04.370 --> 00:18:10.071]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[00:18:10.311 --> 00:18:16.692]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[00:18:16.892 --> 00:18:22.293]  And that's Dreams from My Real Father by Joel Gilbert, available at Infowars.com.
[00:18:22.573 --> 00:18:26.214]  This film exposes the fraud that Obama is like nothing I've seen.
[00:18:26.414 --> 00:18:29.975]  If you want to know who Obama's real daddy is, this is the film for you.
[00:18:30.215 --> 00:18:34.596]  Don't forget, your purchase supports our broadcast and our growing media network.
[00:18:34.816 --> 00:18:37.136]  You'll also find it at infowarshop.com.
[00:18:37.296 --> 00:18:40.837]  None Dare Call a Conspiracy by Gary Allen, the book that woke me up.
[00:18:41.157 --> 00:18:45.438]  We're also carrying Behind the Green Mask, UN Agenda 21, by Rosa Corey.
[00:18:45.598 --> 00:18:48.219]  This book is coffin nails to the globalist takeover.
[00:18:48.539 --> 00:18:55.090]  The Greater Good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[00:18:55.391 --> 00:18:59.638]  These titles and a lot more are all available at infowarshop.com.
[00:19:01.189 --> 00:19:07.435]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:19:07.835 --> 00:19:10.237]  Renowned author and expert, Joel Skousen.
[00:19:10.317 --> 00:19:10.617]  The U.S.
[00:19:10.677 --> 00:19:14.801]  isn't building huge underground bases and bunkers because of some terrorist threat.
[00:19:14.921 --> 00:19:17.504]  They know that a massive nuclear attack is coming.
[00:19:17.884 --> 00:19:19.125]  They want that attack to come.
[00:19:19.365 --> 00:19:25.551]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:19:25.931 --> 00:19:28.395]  What I tell people is that you do have time.
[00:19:28.615 --> 00:19:33.403]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:19:33.563 --> 00:19:41.015]  My personal experience about being in every one of these states, most people won't even be ready, won't be able to get out of town, because there'll be absolute panic.
[00:19:41.315 --> 00:19:43.876]  There is no preparedness without strategy.
[00:19:44.076 --> 00:19:46.716]  This Christmas, give the gift of preparedness.
[00:19:47.156 --> 00:19:51.437]  Strategic Relocation the Film with Joel Skousen and Alex Jones.
[00:19:51.718 --> 00:19:56.799]  Available only at InfoWarsShop.com or by calling 888-253-3139.
[00:19:57.139 --> 00:20:03.320]  Coast to Coast.
[00:20:03.700 --> 00:20:05.081]  Direct from Austin.
[00:20:05.761 --> 00:20:08.962]  You're listening to the Alex Jones Broadcasting Network.
[00:20:18.030 --> 00:20:28.956]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[00:20:33.138 --> 00:20:35.920]  You're listening to the Alex Jones Show.
[00:20:39.582 --> 00:20:46.666]  So, if you go up to InfoWars.com, you can see the article, TSA Shooting Narrative Disintegrates.
[00:20:47.907 --> 00:20:54.354]  And again, if you question known liars who've been caught staging events over and over again, you're a conspiracy theorist.
[00:20:54.414 --> 00:21:03.444]  But everybody in history, including our founding fathers especially, knew that you don't trust big government, big corporations, big powerful institutions.
[00:21:03.465 --> 00:21:07.809]  You've got to hold them to task, because historically they're the most dangerous things around.
[00:21:08.530 --> 00:21:14.815]  Government in the 20th century, according to the University of Hawaii study, killed 262 million people in the last century alone.
[00:21:15.275 --> 00:21:17.276]  The term is democide, if you'd like to look it up.
[00:21:17.497 --> 00:21:19.358]  That's non-military deaths.
[00:21:19.958 --> 00:21:24.722]  Not military bombing London, or bombing Dresden, or bombing Tokyo.
[00:21:25.522 --> 00:21:28.405]  Not the Allies attacking Germany, or Germany attacking England.
[00:21:29.480 --> 00:21:29.821]  No, no.
[00:21:30.622 --> 00:21:34.488]  Government's lining people up, or hanging them, civilians.
[00:21:34.969 --> 00:21:36.471]  Cold-bloodedly executing them, 262 mil.
[00:21:39.929 --> 00:21:41.270]  So it's always the biggest threat.
[00:21:41.650 --> 00:21:44.051]  But you say, hey, we better keep this government under control.
[00:21:44.411 --> 00:21:50.854]  Hey, the deficit's $17 trillion, and that's more than our GDP every year, and every economist says we're in deep trouble, basically.
[00:21:51.254 --> 00:21:54.896]  But Obama says if you raise the debt ceiling, that doesn't raise the debt.
[00:21:54.916 --> 00:21:57.397]  And if you built a business, you didn't build that.
[00:21:57.457 --> 00:21:59.618]  And by the way, you're going to be able to keep your insurance.
[00:21:59.638 --> 00:22:00.919]  Don't listen to anybody that tells you that.
[00:22:01.581 --> 00:22:02.523]  Remember all these lies?
[00:22:03.244 --> 00:22:07.190]  And we'd say, actually the bill says you can't keep your insurance in most cases and it's going to double it.
[00:22:07.611 --> 00:22:08.592]  Shut up, racist!
[00:22:09.434 --> 00:22:09.834]  Literally!
[00:22:09.854 --> 00:22:11.497]  And you're like, what's that have to do with race?
[00:22:11.798 --> 00:22:12.899]  That's what all racists say.
[00:22:13.641 --> 00:22:16.225]  They just change the subject because it's a criminal takeover.
[00:22:18.069 --> 00:22:34.618]  So you've got the TSA that is outside of sworn officers, outside of esprit de corps, outside of military history, outside of the JAG culture, which isn't perfect, but compared to just a whole new agency and a whole new enforcement arm, that's what every dictator did.
[00:22:34.798 --> 00:22:37.520]  Lenin, Stalin, Mao, Hitler.
[00:22:38.544 --> 00:22:39.204]  Pol Pot.
[00:22:39.805 --> 00:22:43.787]  Every... Caesar, when he took over, set up his own new internal police force.
[00:22:44.087 --> 00:22:56.233]  You always set up a new group that doesn't have cliques, that doesn't have infighting, which is a good thing, separation of powers, that doesn't have any good guys in it, that doesn't have any checks and balances.
[00:22:56.553 --> 00:22:59.415]  You create your SS, your SA.
[00:23:01.266 --> 00:23:05.971]  And that's what the TSA is, and you laugh at them and go, waddling around searching people?
[00:23:06.011 --> 00:23:07.693]  Well now it's armed, on the streets.
[00:23:08.114 --> 00:23:09.175]  Now it's armored vehicles.
[00:23:09.235 --> 00:23:13.520]  Now it's, you see, that's how this Praetorian Guard gets set up.
[00:23:13.760 --> 00:23:16.543]  And they always do it smartly, as a non-threatening thing.
[00:23:17.084 --> 00:23:18.705]  So many people, I'll show you throughout history,
[00:23:19.626 --> 00:23:28.636]  You can study it as well with like, say, we're gonna have a port security force, just 10 guys, and then 10 years later, 20 years later, it's 5,000 troops.
[00:23:29.296 --> 00:23:36.103]  I mean, I'm just using one example from the Byzantine Empire and one account I read of some local governor that created his own army that way.
[00:23:36.684 --> 00:23:37.745]  This is mission creep.
[00:23:38.826 --> 00:23:40.288]  And this is what these agencies do.
[00:23:41.434 --> 00:23:48.176]  This is what all the military industrial complex, most of them foreign bank owned, are setting up is a militarization of everything.
[00:23:48.576 --> 00:23:52.178]  Where everything spies on us, everything tracks us, and we've got to pay for it.
[00:23:52.578 --> 00:23:56.179]  We've got to pay for our car to have all these boxes taxing us and tracking us.
[00:23:56.419 --> 00:24:01.241]  We've got to pay for the smart meter that dials into all our digital devices and surveils us on record.
[00:24:01.441 --> 00:24:03.782]  We pay for our own enslavement.
[00:24:04.122 --> 00:24:09.924]  We pay in the phone bill for fees under national security that paid since the Telecommunications Act of 96.
[00:24:11.840 --> 00:24:14.602]  To have the NSA grids put in.
[00:24:14.883 --> 00:24:16.444]  You pay for your own enslavement.
[00:24:16.944 --> 00:24:28.895]  And so I'm sitting here seeing the TSA have drills all over the United States of gun owners attacking them.
[00:24:28.935 --> 00:24:30.236]  Libertarians attacking them.
[00:24:30.556 --> 00:24:31.697]  That way they can demonize their enemy.
[00:24:32.037 --> 00:24:34.379]  Oh, the people that don't like us are coming here and shoot us!
