[00:00:00.029 --> 00:00:00.590]  It's Alex Jones!
[00:02:39.227 --> 00:02:40.708]  It wasn't very coordinated, which is good.
[00:02:41.896 --> 00:02:42.797]  Because it's organic.
[00:02:42.958 --> 00:02:47.483]  And they were just everywhere tearing down the wired shut barricades.
[00:02:48.004 --> 00:02:51.107]  Tearing them down, removing them, piling them up in big neat stacks.
[00:02:52.248 --> 00:02:54.992]  And then they said let's march on the White House and go protest there.
[00:02:55.452 --> 00:02:57.274]  No one is allowed to protest around the White House.
[00:02:57.314 --> 00:02:58.276]  It's a free speech zone.
[00:03:01.102 --> 00:03:01.702]  I think so.
[00:03:26.232 --> 00:03:28.534]  So it's a pretty serious situation.
[00:03:28.574 --> 00:03:38.060]  I'm telling you, all it's going to take is some of these fed goons to start beating up veterans, and then you won't see tens of thousands of Oath Keepers there.
[00:03:38.080 --> 00:03:39.441]  And by the way, that's mainly who's there.
[00:03:40.882 --> 00:03:41.822]  You won't see that.
[00:03:41.943 --> 00:03:51.389]  In fact, it shows veterans marching with pieces of gates that they've taken, barricades that they've taken, I guess, as spoils of victory against the tyrants.
[00:03:51.709 --> 00:03:52.970]  And people could say, oh, big deal.
[00:03:53.250 --> 00:03:55.692]  This is how it began in Romania against Ceausescu.
[00:03:56.818 --> 00:04:01.121]  And he began to have veterans and other people protesting against the dictator in Romania.
[00:04:01.841 --> 00:04:08.105]  And then as soon as they started abusing and shooting people, hundreds of thousands showed up when there had only been hundreds at first.
[00:04:08.525 --> 00:04:13.288]  And then they started shooting at them, so hundreds of thousands more showed up, and then the police just stood down.
[00:04:14.148 --> 00:04:17.050]  And the military stood down and hours later, you know what happened to Ceausescu.
[00:04:17.451 --> 00:04:20.313]  I don't want that to happen to Puppet Obama, because that'll turn him into a hero.
[00:04:20.833 --> 00:04:23.995]  I want him to be held accountable for all the treason against this republic.
[00:04:24.275 --> 00:04:25.596]  We come back, all the big news.
[00:04:26.197 --> 00:04:29.860]  And then in the second hour, the second hour today,
[00:04:31.260 --> 00:04:47.228]  We're going to talk about the missing nuclear weapons from Dyess Air Force Base and the number one nuke general and number two nuke general have now been fired along with two other generals that now we learned got fired with almost no media coverage and and and what's really behind this.
[00:04:47.248 --> 00:04:49.069]  So breaking news on that front.
[00:04:49.470 --> 00:04:49.890]  Stay with us.
[00:04:50.350 --> 00:04:55.954]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:04:56.154 --> 00:05:03.378]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:05:03.539 --> 00:05:06.761]  Radioactive contamination is now in most of the food supply.
[00:05:06.901 --> 00:05:08.662]  There's only two ways to avoid this.
[00:05:08.922 --> 00:05:13.487]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:05:13.587 --> 00:05:16.350]  Looking to protect my family, I've done deep research.
[00:05:16.490 --> 00:05:22.276]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:05:22.456 --> 00:05:25.919]  It's made right here in the USA completely non-GMO.
[00:05:26.120 --> 00:05:31.165]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:05:31.365 --> 00:05:34.408]  Exclusively available at Infowarslife.com.
[00:05:34.588 --> 00:05:40.453]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:05:40.573 --> 00:05:42.574]  Survival Shield Nascent Iodine.
[00:05:42.735 --> 00:05:48.159]  Secure your super high quality Nascent Iodine today at Infowarslife.com.
[00:05:48.259 --> 00:05:49.620]  That's Infowarslife.com.
[00:06:10.703 --> 00:06:13.765]  We're live, ladies and gentlemen, broadcasting worldwide!
[00:06:13.945 --> 00:06:17.328]  It's Sunday, and the Vets have taken D.C.
[00:06:20.070 --> 00:06:26.154]  We now take you live to the Central Texas Command Center, in the heart of the Resistance.
[00:06:26.554 --> 00:06:28.976]  You're listening to Alex Jones.
[00:06:38.689 --> 00:06:40.451]  Ladies and gentlemen, we're live.
[00:06:40.551 --> 00:06:42.212]  It is the 13th day.
[00:06:43.753 --> 00:06:45.935]  The 13th day of October 2013.
[00:06:46.696 --> 00:06:47.997]  I am your host, Alex Jones.
[00:06:48.017 --> 00:06:49.999]  We're here every Sunday, 4 to 6 p.m.
[00:06:50.059 --> 00:06:53.962]  Central, just as we are back weekdays, 12 noon to 3 p.m.
[00:06:54.002 --> 00:06:54.723]  Eastern, 11 a.m.
[00:06:54.843 --> 00:06:55.363]  to 2 p.m.
[00:06:55.403 --> 00:06:55.783]  Central.
[00:06:56.304 --> 00:07:00.347]  And I am so glad I do a live Sunday show on days like this.
[00:07:01.328 --> 00:07:03.250]  Quite frankly, so much happens over the weekend.
[00:07:03.270 --> 00:07:04.711]  I always start doing a Saturday show.
[00:07:04.751 --> 00:07:05.552]  I'm thinking about it.
[00:07:06.325 --> 00:07:15.854]  But before I horrify the crew out there, I may just do a Skype-only PrisonPlanet.TV Saturday evening live transmission, and when I can't do it, I'll have some of the other crew do it.
[00:07:16.174 --> 00:07:23.100]  I'm telling you, we need seven-day-a-week coverage with what is going on in this world, my friends.
[00:07:24.041 --> 00:07:27.845]  Besides, why not work seven days a week, 14, 15 hours a day?
[00:07:28.305 --> 00:07:30.587]  I can't stop thinking about politics and world events.
[00:07:31.428 --> 00:07:44.979]  I'm sorry I can't get into football and sing my team's anthem and cry if they lose or have celebrations if they win because none of that matters compared to the real game of life and huge world events that are happening right now.
[00:07:45.740 --> 00:07:47.541]  What's up on Infowars.com?
[00:07:48.082 --> 00:07:49.683]  What's up on DrudgeReport.com?
[00:07:50.724 --> 00:07:54.327]  What's up on the Libertarian Patriot News sites right now?
[00:07:56.124 --> 00:08:10.768]  My friends, just minutes ago, riot police began attacking peaceful veterans, including folks that look like they're at least 75 years old, with batons, because they dare march without a permit past the White House.
[00:08:11.208 --> 00:08:17.629]  And the veterans, I couldn't believe it, footage of these old men, began basically beating up the police and shoving them back down on the ground.
[00:08:17.649 --> 00:08:20.710]  I don't think the police have ever dealt with somebody who isn't scared to be hit with a baton.
[00:08:21.070 --> 00:08:24.111]  Everybody else just rolls over onto the ground in total fear.
[00:08:24.491 --> 00:08:33.175]  That footage is up on Infowars.com from NBC local breaking riot police confront veterans as they liberate memorials.
[00:08:33.235 --> 00:08:39.457]  Kit Daniels, who's working this weekend, one of our writers, he's about to post an article on this with other footage that's coming in.
[00:08:39.497 --> 00:08:44.859]  Footage so crazy that I was seeing right before we went live from live feeds online that I can't even believe it.
[00:08:46.124 --> 00:08:51.869]  Because it showed the riot police, there's a bunch of footage of this, trying to come up and tell people they can't be in front of the White House.
[00:08:52.349 --> 00:08:56.893]  I have been there many times with national TV crews and gone over to get our own B-roll.
[00:08:56.913 --> 00:09:00.676]  In fact, we've shown this footage for films I'm making of the White House.
[00:09:01.316 --> 00:09:06.220]  And you can be in the park a hundred yards away in the Secret Service in police uniforms.
[00:09:06.240 --> 00:09:07.401]  We'll come over and say you can't do it.
[00:09:07.721 --> 00:09:11.845]  And then security guards and regular police will come over and say, I don't care what the law says.
[00:09:12.165 --> 00:09:14.127]  I'm going to arrest you if you don't move along.
[00:09:14.767 --> 00:09:19.972]  And I'm like, well, we have this on footage that you're showing this is in America, but I don't feel like being arrested today.
[00:09:19.992 --> 00:09:23.155]  You're violating my rights, but I'm going to go ahead and go on down the road now.
[00:09:23.195 --> 00:09:28.980]  And then they follow you on bicycles, in one case, two miles, as we walk getting B-roll footage.
[00:09:29.901 --> 00:09:30.982]  And I'm like, you know who I am?
[00:09:31.002 --> 00:09:32.203]  They're like, yeah, we know who you are.
[00:09:33.188 --> 00:09:34.709]  And I'm like, you know I'm not threatening anybody.
[00:09:34.749 --> 00:09:35.250]  Doesn't matter!
[00:09:35.390 --> 00:09:35.790]  Ha ha!
[00:09:36.250 --> 00:09:37.631]  They want me to know I'm their slave.
[00:09:37.651 --> 00:09:39.333]  And they do it to families with kids.
[00:09:39.953 --> 00:09:41.434]  You've heard my pet peeve about this.
[00:09:41.895 --> 00:09:43.136]  I've talked about this a lot.
[00:09:43.596 --> 00:09:45.958]  That I've been to third world countries, folks, and they don't act like this.
[00:09:47.359 --> 00:09:50.081]  And by the way, it's not the Secret Service in the suits.
[00:09:50.181 --> 00:09:51.041]  I've run into a lot of them.
[00:09:51.082 --> 00:09:51.962]  Most of them are listeners.
[00:09:51.982 --> 00:09:52.783]  In fact, off record,
[00:09:54.957 --> 00:09:59.762]  Well, it's not off-record that a lot of Secret Service agents are listeners, but off-record, I won't say their names, obviously.
[00:10:00.163 --> 00:10:06.389]  Off-record, you know, the names, but there's some senior folks at the White House that are listeners, and I'm sure the NSA knows that.
[00:10:06.890 --> 00:10:11.515]  In fact, most people in the Secret Service are actually patriotic and are very upset about what's going on.
[00:10:11.535 --> 00:10:12.215]  I'll just leave it at that.
[00:10:13.120 --> 00:10:13.880]  I'll just leave it at that.
[00:10:13.900 --> 00:10:22.085]  It's not just Bongino, the former head of the Foreign Details for the President, who's a listener of the show, you've heard on the show, exposing what's happening, running for Congress in Maryland.
[00:10:22.486 --> 00:10:23.346]  It's most of them.
[00:10:23.907 --> 00:10:24.907]  And he said that on air.
[00:10:25.147 --> 00:10:26.888]  Most of them are totally freaked out.
[00:10:27.128 --> 00:10:34.473]  They have these special Secret Service security guards that come out and mess with the families and get in everybody's face and act like total jerks.
[00:10:35.073 --> 00:10:40.957]  And they've got federal forces in these weird blue UN-colored uniforms
[00:10:43.430 --> 00:10:46.971]  Coming up to veterans who want to stand there and chant at the gates of the White House.
[00:10:46.991 --> 00:10:53.012]  I mean, they got Secret Service in there with stinger missiles, automatic weapons, flamethrowers, you name it.
[00:10:53.292 --> 00:11:02.614]  Nobody's going to really climb over and do anything, and nobody was trying to, so they send goons out to intimidate the veterans, and the veterans start fighting back.
[00:11:03.114 --> 00:11:09.996]  And believe me, if they have their way, they'll try to arrest those veterans, and when they get hit with a baton, shove the cops back up against the wall.
[00:11:11.414 --> 00:11:16.176]  But I'm telling you, these cops look like a bunch of nanny state commies to me.
[00:11:16.236 --> 00:11:20.198]  Because that's who they hire now, federally, to be their little security guard minion types.
[00:11:20.758 --> 00:11:29.341]  And they've got their little metal truncheons, they've got their little extendable carbide steel batons that break bones.
[00:11:29.361 --> 00:11:33.223]  I mean, these are not your old wooden batons out there that they're using on people.
[00:11:33.663 --> 00:11:35.664]  And go ahead, kill one of these vets.
[00:11:36.224 --> 00:11:41.890]  I predicted two weeks ago that when all this started up, I said they're going to attack veterans with batons.
[00:11:41.930 --> 00:11:44.552]  They will attack elderly vets with batons.
[00:11:45.173 --> 00:11:48.836]  And I said, even though that's a PR disaster, they can't help it.
[00:11:48.917 --> 00:11:50.758]  They hate veterans so much.
[00:11:51.319 --> 00:11:56.264]  And they hate gun owners and libertarians and real conservatives and constitutionals so much, they will.
[00:11:57.426 --> 00:12:03.231]  I predicted it over and over again the last two weeks, over and over again, on record, that you would see this start.
[00:12:03.531 --> 00:12:20.285]  And now I predict, after the veterans at the Iwo Jima memorial that was shut down, the Tomb of the Unknown Soldier that they wouldn't let anybody get near, the World War II giant memorial that's out in a public mall, they didn't shut down the other ones, they let the illegal aliens have demonstrations anytime they want.
[00:12:20.565 --> 00:12:22.347]  They only blocked the veterans' memorials
[00:12:24.245 --> 00:12:40.622]  To just set the precedent, we can do whatever we want, and did arrest veterans, and did beat people up, but when they showed up by the tens of thousands today, they backed off, but then the veterans said, let's push it, let's march down to Barry Sotero's outfit.
[00:12:41.342 --> 00:12:44.426]  And by the way, I heard Obama left today, pulled out of Dodge.
[00:12:45.404 --> 00:12:52.149]  I mean this is, I guess he didn't want to hear people chanting outside, and now his goons are there trying to stop people.
[00:12:52.189 --> 00:12:55.672]  This is all up on Infowars.com right now.
[00:12:56.292 --> 00:12:57.673]  Unbelievable.
[00:12:58.494 --> 00:13:01.757]  And the footage is just now pouring in of them batoning.
[00:13:03.258 --> 00:13:06.060]  But when they start batoning the veterans,
[00:13:07.813 --> 00:13:16.844]  And again, it's what these cowardly federal troops do, is they love to target old people, including folks in wheelchairs, because somehow they think that's like an easy target.
[00:13:18.005 --> 00:13:19.768]  But they don't understand how this is going to backfire on them.
[00:13:19.788 --> 00:13:21.670]  This is how out of touch these goons are.
[00:13:22.671 --> 00:13:27.096]  So they single out the old people first, thinking that, oh, they'll be easy to push over.
[00:13:28.192 --> 00:13:31.635]  And then the old people actually fight back and shove the cops back.
[00:13:33.737 --> 00:13:35.358]  This image is worth $10 billion.
[00:13:35.438 --> 00:13:44.026]  I mean, I'm telling you, the cops yelling and screaming and threatening the veterans and saying, we want to fight with you is pathetic.
[00:13:44.126 --> 00:13:51.612]  I mean, it just shows the essence of tyranny, the essence of cowardice, the essence of weakness, the essence of patheticness.
[00:13:52.313 --> 00:13:54.135]  And the fear in the police's eyes.
[00:13:54.175 --> 00:13:57.077]  They should be afraid because you're working for a criminal system.
[00:13:57.317 --> 00:13:59.299]  You're defending a fraud and you know it.
[00:14:00.285 --> 00:14:05.186]  How's your socialist ideology doing for you now, you idiots, that supported Obamacare?
[00:14:05.206 --> 00:14:11.788]  It was written by offshore banks, select insurance companies who shut down other insurance companies, and HMOs that weren't globalist.
[00:14:12.128 --> 00:14:17.850]  It was meant to lower the standard of care, double the prices, and absolutely take over society.
[00:14:18.430 --> 00:14:26.552]  I had top experts on, I read the subsections of the bills, I had constitutional lawyers on, I had medical doctors on who have studied it.
[00:14:28.567 --> 00:14:36.718]  And I went through and read the minutes of the lobbying meetings that were published from Capitol Hill meetings three years ago when they got it passed.
[00:14:36.999 --> 00:14:39.001]  I told you everything.
[00:14:39.827 --> 00:14:40.567]  That was in it.
[00:14:41.087 --> 00:14:47.009]  Because when I had an expert on, I would have the 10,000-plus page writers and the 3,000-page bill up on the computer screen.
[00:14:47.029 --> 00:14:49.549]  I would sub-search the subsection, they said.
[00:14:49.569 --> 00:14:50.629]  I would go look at it.
[00:14:50.850 --> 00:14:55.130]  And we wrote hundreds of articles with the subsections telling you, I know what's in the bill.
[00:14:55.531 --> 00:14:56.311]  I did research.
[00:14:56.471 --> 00:14:57.191]  I'm informed.
[00:14:57.491 --> 00:14:58.211]  I'm not an idiot.
[00:14:58.351 --> 00:14:59.091]  I'm not lazy.
[00:14:59.191 --> 00:14:59.992]  I'm not a moron.
[00:15:00.192 --> 00:15:01.152]  I'm not bragging here.
[00:15:02.110 --> 00:15:12.104]  But these Democrats think that it's because it's their opinion and they laugh at me and call me a right winger when I'm really a libertarian freedom lover that somehow it makes me wrong when I'm informed.
[00:15:12.405 --> 00:15:15.269]  Of course no one's been able to sign up at healthcare.gov.
[00:15:16.547 --> 00:15:18.669]  They've been able to sign up through exchanges on the phone.
[00:15:19.550 --> 00:15:24.956]  The 10% in a Reuters article four days ago that thought they'd signed up, turned out they thought they'd signed up.
[00:15:25.176 --> 00:15:26.398]  None of them were able to sign up.
[00:15:27.018 --> 00:15:32.925]  The Miami Herald has an article out today saying, looking for the mythical Obamacare enrollee.
[00:15:33.205 --> 00:15:34.246]  They can't find one.
[00:15:34.827 --> 00:15:35.027]  One.
[00:15:35.608 --> 00:15:36.128]  Okay?
[00:15:38.396 --> 00:15:40.679]  You see, I live in the real world with facts.
[00:15:41.139 --> 00:15:43.182]  You live in the real world of La La Land.
[00:15:43.302 --> 00:15:46.906]  You really think foreign banks wanted to give you free healthcare, dummy?
[00:15:47.747 --> 00:15:48.148]  Dummy?
[00:15:48.508 --> 00:15:50.611]  You're poor because you're lazy and stupid.
[00:15:51.656 --> 00:16:02.804]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[00:16:03.424 --> 00:16:14.591]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[00:16:14.872 --> 00:16:21.096]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:16:21.536 --> 00:16:24.538]  You're getting soap products twice as good as what you're using now.
[00:16:25.079 --> 00:16:29.502]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:16:29.742 --> 00:16:36.807]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:16:37.107 --> 00:16:41.210]  Alex and his staff have used these earth friendly pure soaps for years.
[00:16:41.750 --> 00:16:46.594]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:16:51.991 --> 00:16:54.752]  Protecting your home with a security system is a must.
[00:16:54.992 --> 00:17:01.015]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[00:17:01.375 --> 00:17:07.738]  Listen, there was some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[00:17:08.158 --> 00:17:10.119]  Not with SimpliSafe Home Security.
[00:17:10.459 --> 00:17:11.499]  They're the good guys.
[00:17:11.799 --> 00:17:14.480]  You can trust SimpliSafe to protect your family.
[00:17:14.860 --> 00:17:19.161]  SimpliSafe was created by a Harvard Business School engineer, and it's revolutionary.
[00:17:19.361 --> 00:17:22.642]  You'll get 24-hour protection for just $14.99 a month.
[00:17:22.902 --> 00:17:25.643]  There are no hidden fees and no contracts.
[00:17:25.843 --> 00:17:26.804]  You'll save thousands.
[00:17:27.064 --> 00:17:30.105]  Plus, you're protected by their 100% money-back guarantee.
[00:17:30.445 --> 00:17:33.506]  Protect yourself against home invasions and break-ins.
[00:17:33.886 --> 00:17:37.807]  Order your SimpliSafe system now and receive a wireless keychain remote.
[00:17:38.087 --> 00:17:40.011]  A $25 gift, free.
[00:17:40.432 --> 00:17:43.056]  So don't waste your time dealing with scum.
[00:17:43.417 --> 00:17:50.110]  Visit GetSimplySafe.com GetSimplySafe.com GetSimplySafe.com
[00:17:51.929 --> 00:17:57.050]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:17:57.390 --> 00:18:05.873]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:18:06.293 --> 00:18:13.595]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:18:14.115 --> 00:18:21.497]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:18:22.017 --> 00:18:25.419]  I personally store and use their high-quality products.
[00:18:25.959 --> 00:18:29.601]  It tastes great, and it's easy to store for up to 25 years.
[00:18:30.161 --> 00:18:36.745]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:18:37.305 --> 00:18:44.048]  Visit mypatriotsupply.com forward slash alex today with the new world order making rapid advances on every front.
[00:18:44.509 --> 00:18:48.551]  It is essential to prepare with My Patriot Supply today.
[00:18:51.089 --> 00:18:52.070]  Ben Swan here.
[00:18:52.310 --> 00:18:53.451]  We are winning.
[00:18:53.511 --> 00:19:00.736]  Alternative media is challenging and beating mainstream media, and it's imperative for the liberty movement to continue this momentum.
[00:19:01.216 --> 00:19:07.801]  However, independent media cannot win without the support of sponsors and advertisers like Diamond Gusset Jeans.
[00:19:08.241 --> 00:19:13.605]  For over 26 years, Diamond Gusset has been owned by patriots with products designed for patriots.
[00:19:14.105 --> 00:19:19.610]  When I put on a pair of Diamond Gusset jeans, I enjoy the quality, comfort, durability, and style.
[00:19:20.131 --> 00:19:22.953]  Most importantly, my wife really likes them as well.
[00:19:23.454 --> 00:19:30.640]  From the cotton to the last stitch, Diamond Gusset bucks the industry standard by producing a 100% all-American product.
[00:19:30.960 --> 00:19:32.362]  Another reason for my endorsement.
[00:19:32.902 --> 00:19:37.105]  So, Ben Swan is asking you to go visit DiamondLiberty.com right now.
[00:19:37.425 --> 00:19:44.070]  With promo code BEN, you will receive a 20% off discount on a pair of male or female Diamond Gusset jeans.
[00:19:44.550 --> 00:19:50.454]  Remember, DiamondLiberty.com, and you are directly supporting the growth of independent media.
[00:19:52.556 --> 00:19:53.736]  Coast to Coast.
[00:19:54.097 --> 00:19:55.398]  Direct from Austin.
[00:19:56.138 --> 00:19:59.360]  You're listening to the Alex Jones Broadcasting Network.
[00:20:12.278 --> 00:20:14.620]  The Empire is on the run.
[00:20:15.420 --> 00:20:19.143]  Alex Jones and the GCN Radio Network.
[00:20:20.084 --> 00:20:27.570]  And the Empire is a bunch of kleptocratic, corrupt special interests that want to run government to not be productive but to feed on folks.
[00:20:28.070 --> 00:20:36.236]  There are a lot of poor people that are poor because they were brought up in a bad area, never had any advantages that some others have had.
[00:20:36.737 --> 00:20:38.278]  Some people have disabilities, but
[00:20:39.418 --> 00:21:03.579]  Overall, historically, when you have a big nanny state, it creates a bunch of entitled, spoiled, out-of-control people, who then go create positions for themselves in the government, to declare the producers the enemy, and then enslave the producers, and then the prosperity totally collapses, but they don't care, because they have an instinct to hate the people they're feeding off of.
[00:21:04.680 --> 00:21:05.641]  And they're so ignorant.
[00:21:06.610 --> 00:21:07.671]  Again, the studies are out there.
[00:21:07.691 --> 00:21:09.032]  You can pull them up all day long.
[00:21:09.072 --> 00:21:10.593]  They've been around for decades.
[00:21:11.214 --> 00:21:21.341]  That if you have a 3% guaranteed investment yearly on the amount of money they take from you in Social Security, you would get at least double, on average, what you get from Social Security in an investment.
[00:21:21.361 --> 00:21:26.185]  And then there's the argument, well, we can't trust people to invest their own money.
[00:21:26.465 --> 00:21:31.769]  Let's invest it with the government instead, run by the worst special interest that stole it all.
[00:21:32.630 --> 00:21:34.011]  So now it's all bankrupt.
[00:21:34.881 --> 00:21:43.388]  No, you have the free market and diversification, so the best companies with the best names, the most trustworthy long-term, that's who everybody invests with.
[00:21:43.708 --> 00:21:45.049]  Instead, we've done the opposite.
[00:21:45.069 --> 00:21:53.635]  We've had special interest in government take over and then guarantee their corrupt operations and their Ponzi schemes, and then tied the taxpayer to that.
[00:21:54.836 --> 00:21:58.880]  It's bankrupt, folks, by design, and we're going over the edge of the cliff right now.
[00:21:59.955 --> 00:22:13.825]  And I just started having flashbacks of the callers the last few months going, aha, Obamacare's going in, I'm a social worker, you're just a right-wing racist, and because you're against Obamacare, you don't want to turn your guns in, you're a racist.
[00:22:13.885 --> 00:22:16.667]  And I'm like, what does this have to do with being racist?
[00:22:17.227 --> 00:22:20.709]  A, I'm not, B, you are obsessed with it, C,
[00:22:21.790 --> 00:22:23.492]  This is a giant con job.
[00:22:23.512 --> 00:22:26.794]  They're like, no, Obama wants to redistribute the wealth.
[00:22:26.814 --> 00:22:27.575]  He loves me.
[00:22:27.895 --> 00:22:31.018]  That's why he's run by Goldman Sachs, JP Morgan and Wells Fargo.
[00:22:31.858 --> 00:22:36.802]  Wells Fargo, on record, the biggest drug money laundering operation in the world.
[00:22:37.283 --> 00:22:40.345]  Bloomberg, AP, Reuters, hundreds of billions a year.
[00:22:40.866 --> 00:22:45.349]  Warren Buffett, who wrote the laws to exempt himself from taxes 20 years ago.
[00:22:45.770 --> 00:22:47.851]  Lobbying to raise taxes on poor people.
[00:22:48.752 --> 00:22:53.315]  So he gets bailout money and he tells the poor people, oh, raise your taxes, we'll get the rich guy!
[00:22:53.796 --> 00:22:56.758]  And the poor people go, oh yeah, I want to soak the rich guy!
[00:22:57.038 --> 00:23:00.981]  The guy that owns a restaurant or a car dealership that gives you jobs, dummy!
[00:23:01.561 --> 00:23:04.843]  The guy making five million dollars a year, you ought to be licking his boots!
[00:23:05.404 --> 00:23:08.046]  Those are the people that actually hire and run companies and do things.
[00:23:08.286 --> 00:23:15.531]  The kleptocrat bankers, Warren Buffett people, the biggest recipient of the banker bailout, I use him as a poster boy,
[00:23:16.707 --> 00:23:18.148]  They game the whole deal!
[00:23:18.168 --> 00:23:19.228]  They're mafia!
[00:23:20.568 --> 00:23:32.772]  And by the way, they've had federal rulings, they've had congressional hearings that what Brookshire Hathaway and Wells Fargo and Bank of America and Goldman Sachs and JP Morgan, what they did in their investment banks is totally illegal.
[00:23:33.953 --> 00:23:37.534]  And instead of going to jail, they get bailed out by us, holding us hostage.
[00:23:37.574 --> 00:23:41.555]  And I don't mean to get off into a rant about this, but man, I study finance.
[00:23:41.615 --> 00:23:43.136]  I have all the top experts on.
[00:23:45.683 --> 00:23:52.208]  Nobel Prize winners from Joseph Stiklitz to the former head of the Treasury, father to Reaganomics, the whole nine yards, folks.
[00:23:53.209 --> 00:23:54.290]  And they all concur.
[00:23:54.691 --> 00:23:56.152]  It's not like this is my opinion.
[00:23:56.432 --> 00:23:58.293]  You're being told exactly how things work.
[00:23:58.634 --> 00:24:00.475]  You're being told exactly how they operate.
[00:24:00.695 --> 00:24:06.720]  You're being told that you have been totally scammed and you either listen to us or you become even bigger chumps.
[00:24:06.781 --> 00:24:07.501]  And here's the problem.
[00:24:07.781 --> 00:24:10.624]  I can't just step aside where you run off the cliff like lemmings.
[00:24:12.912 --> 00:24:23.876]  The problem is you do run things, the giant mass of 47% or whatever you are, that really think you're going to not work and forever just be given free stuff by the globalists.
[00:24:25.457 --> 00:24:27.658]  They're only doing that to bring in a total tyranny.
[00:24:27.958 --> 00:24:32.260]  And once they got their system in place, they're going to turn off all the chicken feed.
[00:24:34.659 --> 00:24:37.583]  So you better get that through your brain right now.
[00:24:38.004 --> 00:24:38.965]  I love this country.
