[00:00:06.752 --> 00:00:08.453]  Something has happened in the motorcade group.
[00:02:05.650 --> 00:02:14.754]  In a story today from InfoWars, it's a reprint from Washington Post, it says, the IRS targeted groups that criticize the government, reports the Inspector General.
[00:02:15.526 --> 00:02:24.274]  Political action type organizations involved in limiting, expanding government, educating on the Constitution, the Bill of Rights, social, economic reform movements were targeted.
[00:02:24.754 --> 00:02:27.997]  Issues criteria were also used, found the Inspector General.
[00:02:28.498 --> 00:02:39.208]  Scrutiny was given to references about government spending, government debt or taxes, education of the public via advocacy and lobbying to make America a better place to live.
[00:02:39.708 --> 00:02:42.590]  And statements in the case file that criticize how the country is being run.
[00:02:42.950 --> 00:02:49.974]  And under these criteria, more than 100 exempt organizations were identified, according to the Inspector General's office.
[00:02:50.475 --> 00:02:51.235]  Now imagine that.
[00:02:52.216 --> 00:03:00.961]  People who advocate educating others about the Constitution and the Bill of Rights, or even worse, talking about making America a better place.
[00:03:01.661 --> 00:03:04.543]  Those are people that the state considers to be their enemies.
[00:03:04.643 --> 00:03:07.165]  Most specifically, the Obama administration.
[00:03:08.294 --> 00:03:14.380]  It's kind of like what Stalin said, or at least his assistant said, bring me the man and I'll find the crime.
[00:03:14.400 --> 00:03:16.963]  And that's what we have under the IRS tax codes.
[00:03:17.003 --> 00:03:25.471]  We've got a tax code that is so complex, as somebody else once said, if you have a complex enough law, it's the same as having no law at all.
[00:03:25.891 --> 00:03:30.536]  And essentially that's what we have with the tax code, even people who try to comply with it.
[00:03:32.497 --> 00:03:35.118]  Let's go back and look at how this all started with a timeline.
[00:03:35.558 --> 00:03:41.882]  This all started, amazingly enough, back in January of 2010 with Citizens United.
[00:03:42.462 --> 00:03:50.426]  Now that Supreme Court decision actually removed a lot of legal barriers for people, for groups that were participating in politics.
[00:03:50.626 --> 00:03:55.789]  But instead of actually reducing the scrutiny, it actually increased the scrutiny.
[00:03:56.329 --> 00:04:07.597]  The reason for that is because it was perceived by Obama and the Democrats that the groups that were organizing under Citizens United, under the new freedoms that were there, were going to be opposed to them.
[00:04:08.237 --> 00:04:13.060]  So we see that a lot of grassroots organizations that were kind of leaning Republican are targeted.
[00:04:13.100 --> 00:04:18.544]  And so, just two months later, the IRS starts searching for the terms Tea Party and Patriot.
[00:04:19.401 --> 00:04:25.406]  And we see that in November 2010, Tea Party activists helped Republicans win control of the House.
[00:04:26.006 --> 00:04:27.988]  And the IRS steps up harassment.
[00:04:28.448 --> 00:04:35.953]  IRS Commissioner and other officials were actually called before Congress five times between November 18, 2011 and June 15, 2012.
[00:04:37.214 --> 00:04:41.858]  And they lied every time about auditing these groups.
[00:04:41.898 --> 00:04:43.239]  Now they knew they were being audited.
[00:04:43.699 --> 00:04:53.587]  Because they were not only not only were they being audited but they were given extremely detailed questionnaires asking them questions that organizations typically are not asked.
[00:04:53.607 --> 00:05:05.797]  So they knew something was up and they contacted the representatives and they in turn pulled IRS officials as well as the Commissioner before congressional committees and they lied five times in that period of time.
[00:05:06.558 --> 00:05:06.958]  And in
[00:05:08.987 --> 00:05:24.058]  In 2011, they actually had Democrat Chuck Schumer, a group of senators, Republican senators, actually sent a letter in 2012 stating that they wanted to get some information from the IRS.
[00:05:24.098 --> 00:05:25.499]  They wanted the IRS to back off.
[00:05:25.960 --> 00:05:35.527]  And Chuck Schumer said at the time that that letter was an unsubtle threat, clearly designed to put a chilling effect on the IRS agency's enforcement.
[00:05:36.465 --> 00:05:38.747]  But it was the IRS that was threatening.
[00:05:39.267 --> 00:05:41.969]  It wasn't that the Senators were threatening the IRS.
[00:05:42.249 --> 00:05:46.792]  The Senators are basically telling the IRS not to make these people into a political enemies list.
[00:05:47.113 --> 00:05:55.118]  And yet you see Schumer saying that the IRS is being intimidated, the IRS is being threatened, the IRS is having a chilling effect put on them.
[00:05:55.518 --> 00:06:01.563]  But it was actually these organizations that were being threatened, that were being bullied and intimidated by the IRS.
[00:06:02.659 --> 00:06:10.145]  And then you see that in November 2012, a lot of Tea Party politicians lost their re-election.
[00:06:10.265 --> 00:06:13.247]  People who won their first term in 2010 lost.
[00:06:13.267 --> 00:06:15.208]  So it was actually effective.
[00:06:15.549 --> 00:06:25.656]  And during that time that the IRS was lying about whether there was any special scrutiny going on, you actually, it would have been to the detriment of Obama if this would have come out.
[00:06:26.196 --> 00:06:33.080]  That the IRS is actually targeting groups that might be opposed to him or groups that would be in support of limited government.
[00:06:34.161 --> 00:06:44.627]  And then finally after the election, the Commissioner, Shulman, steps down and we have someone else there and a few months later he admits that they were doing what they denied they were doing all along.
[00:06:45.225 --> 00:06:51.407]  And so the question is, are they going to actually be called before the Congress?
[00:06:51.487 --> 00:06:53.727]  Is there going to be anyone who's going to be fired for this?
[00:06:54.287 --> 00:07:10.052]  The Commissioner has already left his post, so perhaps, as we see with police brutality and with so many other areas where the government steps over the line, breaks the law, we don't see anybody being impeached, we don't see any bureaucrats being fired, we don't see anybody going to jail.
[00:07:10.132 --> 00:07:11.552]  That rarely happens anymore.
[00:07:12.273 --> 00:07:19.705]  But another question comes up, and that is, how were these organizations being damaged besides being intimidated?
[00:07:19.825 --> 00:07:26.535]  It turns out that data, information about them that the IRS had was actually being leaked to their opponents.
[00:07:27.643 --> 00:07:39.698]  Uh, it says in a article that we have here that there is little question that one or more employees at the IRS stole our confidential tax return and leaked it to our political enemies in violation of federal law.
[00:07:40.058 --> 00:07:42.141]  Now this is the National Organization for Marriage.
[00:07:42.501 --> 00:07:46.386]  The President Brian Brow said in a prepared statement, the only questions are
[00:07:46.966 --> 00:07:47.406]  Who did it?
[00:07:47.826 --> 00:07:55.048]  And whether there was any knowledge or coordination between people in the White House, the Obama re-election campaign, and the human rights campaign.
[00:07:55.488 --> 00:07:57.949]  We and the American people deserve answers.
[00:07:58.709 --> 00:08:01.890]  So the question is, who did this?
[00:08:01.910 --> 00:08:06.431]  It's not a question of whether or not it was done, but it was a question of who did it and who knew about it.
[00:08:06.752 --> 00:08:09.312]  Because it was definitely to the advantage of Obama.
[00:08:09.712 --> 00:08:11.093]  So this is essentially like what
[00:08:12.352 --> 00:08:25.884]  What Nixon did is kind of a combination of his Watergate break-in, where they were looking for dirt and things that they could use politically in the campaign at the Watergate Hotel, as well as Nixon's enemies list that he had.
[00:08:25.964 --> 00:08:30.388]  And one of the things that he did to his enemies was to attack them with the IRS.
[00:08:31.189 --> 00:08:36.853]  If we look at the Detroit News article here, it says, this is Enemies List 2.0.
[00:08:37.554 --> 00:08:42.137]  Yes, everyone is familiar with Nixon's Enemies List.
[00:08:42.257 --> 00:08:51.704]  And it says here, for anyone over 50, this news couldn't help but stir memories of Richard Nixon's political enemies project, which, according to a staff's own memo, sought to, and this is a quote,
[00:08:52.464 --> 00:08:58.429]  Maximize our incumbency in dealing with persons known to be active in their opposition to our administration.
[00:08:58.969 --> 00:09:06.895]  Stated a bit more bluntly, and this is still quoting, how can we use the available federal machinery to screw our political enemies?
[00:09:07.756 --> 00:09:10.298]  Well, the IRS was part of that machinery.
[00:09:11.397 --> 00:09:17.944]  And all we're hearing today from the IRS and from the administration is silly stuff like, mistakes were made.
[00:09:17.964 --> 00:09:27.474]  And when you hear somebody say mistakes were made, you know that nobody is going to take any responsibility and they're trying to dodge any responsibility for what's going on with that.
[00:09:28.175 --> 00:09:29.416]  But there's actually a long list.
[00:09:29.457 --> 00:09:32.920]  It's not just Richard Nixon who used the IRS to attack political enemies.
[00:09:32.940 --> 00:09:34.261]  There's a very long list.
[00:09:34.822 --> 00:09:37.665]  Newsmax has an article talking about that.
[00:09:38.306 --> 00:09:46.474]  And they say that even going back to FDR, which is right after the income tax was initiated, and before really it was even used,
[00:09:47.867 --> 00:09:56.310]  To go after wages, Elliot Roosevelt, one of FDR's sons, wrote that other men's tax returns fascinated his father in the 1930s.
[00:09:56.330 --> 00:10:06.113]  So here you have a setting president who has access to other people's private tax returns, and he gets a kick out of just going through them.
[00:10:06.413 --> 00:10:08.014]  But we know that he did even more than that.
[00:10:08.454 --> 00:10:16.722]  Because in the 1930s, he actually went against a congressman who was a Republican congressman, Hamilton Fish, in his district of New York.
[00:10:16.782 --> 00:10:26.071]  And he had a particular dislike for this guy, because not only was he a Republican, but he was also a Republican who was the congressman from FDR's district.
[00:10:26.131 --> 00:10:28.394]  So, FDR had a particular dislike for him.
[00:10:28.834 --> 00:10:29.755]  And what he did was...
[00:10:31.152 --> 00:10:35.637]  He made sure that the IRS punished him and went after him for $5,000 in back taxes.
[00:10:36.177 --> 00:10:42.023]  Now, that was a great deal of money back in the 1930s, and he was eventually exonerated.
[00:10:42.404 --> 00:10:50.892]  And he said that it cost the government many thousands of dollars as it attempted to make me pay money, which, if I had agreed, would have besmirched my reputation.
[00:10:51.933 --> 00:10:57.197]  And they essentially eventually lost and even had to give a tax return to Fish of $80.
[00:10:58.638 --> 00:11:02.481]  We see this surfacing again pretty egregiously with John F. Kennedy.
[00:11:02.981 --> 00:11:06.984]  He used the IRS Commissioner Mortimer Kaplan to go after political enemies.
[00:11:07.425 --> 00:11:10.187]  He went after Richard Nixon, actually.
[00:11:10.747 --> 00:11:14.130]  And Richard Nixon's campaign manager, Robert Finch, were both audited in 1961.
[00:11:16.091 --> 00:11:34.325]  And a story is related that Stephen Shadegg, I guess that's S-H-A-D-E-G-G, who was a political advisor to Barry Goldwater, and I guess he conceived Goldwater was an up-and-coming rival at the time, that fellow actually was being audited by the IRS and
[00:11:35.206 --> 00:11:53.701]  His son says that his father's secretary was in a meeting and when John Kennedy was assassinated and they brought the news in, the room fell silent and after a long pause without a word, the IRS agents began closing their notebooks and the lead agent then said, well, I guess that ends this discussion, doesn't it?
[00:11:54.321 --> 00:11:54.942]  And they left.
[00:11:55.422 --> 00:11:59.206]  In other words, they were there just to punish him politically.
[00:11:59.406 --> 00:12:00.927]  And they were using the IRS to do this.
[00:12:01.007 --> 00:12:10.115]  So we see that FDR, we see JFK, we see Richard Nixon famously using the IRS to punish their political opponents.
[00:12:10.196 --> 00:12:11.417]  It's nothing new.
[00:12:11.657 --> 00:12:14.680]  It's a long-standing tradition of corruption.
[00:12:15.520 --> 00:12:23.884]  And it's easy to do because the IRS is one of these agencies that is, and actually it was really kind of a pioneering agency, doing what the TSA is doing today.
[00:12:23.904 --> 00:12:34.030]  And that is bluffing and intimidating the public, telling them that they have to surrender constitutional rights, that they have no business and no legal authority to tell you to surrender those rights.
[00:12:34.510 --> 00:12:38.352]  And we have allowed the IRS to do this for decades, for nearly a hundred years now.
[00:12:39.132 --> 00:12:46.437]  And it has set up a pattern of abuse that we see being echoed in many other agencies because we didn't stop it with the IRS.
[00:12:46.798 --> 00:12:56.965]  And not only that, but when you look at the complexity of the tax code, we see that many other agencies, like the EPA, and we see this also happening with Obamacare.
[00:12:57.405 --> 00:13:01.208]  It is also happening with the Dodd-Frank banking bill that's coming up.
[00:13:01.708 --> 00:13:05.311]  In all of these cases, you have situations like Nancy Pelosi said,
[00:13:05.991 --> 00:13:09.152]  With Obamacare, we have to pass the bill so we can find out what's in it.
[00:13:09.852 --> 00:13:27.119]  Well, actually, that wasn't as absurd a statement as it sounded like on the face of it, because Nancy Pelosi and other congressmen give broad sweeping powers to these agencies and then allow them to write their own rules and write their own laws, and that's where the devil is, is in those details.
[00:13:27.619 --> 00:13:32.561]  The Congress has abdicated its authority to write law to these bureaucracies.
[00:13:33.141 --> 00:13:43.671]  And what they do, like we're going to see possibly with this IRS case, if they do anything about it, Congress will probably come in and pass some little feel-good bill that really won't do anything.
[00:13:44.152 --> 00:13:54.822]  They come in like they're the cavalry to save the day, when in reality, if they had passed the laws and people were doing this sort of thing, they would basically take the responsibility for it.
[00:13:55.223 --> 00:13:57.044]  So not only do we see the IRS
[00:13:57.745 --> 00:14:03.808]  Creating a complex tax code that allows them to easily punish anyone as a political enemy.
[00:14:04.328 --> 00:14:07.230]  But we also see the Congress allowing them to do that.
[00:14:07.530 --> 00:14:14.133]  And only coming in when it's to their benefit to grandstand and talk about how wonderful it is they're going to protect us from this.
[00:14:14.633 --> 00:14:16.394]  So we'll wait and see what will happen with that.
[00:14:16.474 --> 00:14:22.817]  But perhaps the best thing that could come out of this is if we look at Wall Street Journal talked about
[00:14:23.398 --> 00:14:27.585]  In 2009, right after Obama took office, he cracked a joke.
[00:14:27.846 --> 00:14:29.148]  And they wrote an article about that.
[00:14:29.208 --> 00:14:31.793]  It said, tax audits are no laughing matter.
[00:14:31.813 --> 00:14:33.155]  And this is what Obama said.
[00:14:34.363 --> 00:14:39.827]  He said in a speech, I learned never to pick another team over the Sun Devils in my NCAA brackets.
[00:14:40.247 --> 00:14:45.831]  President Michael Crow and the Board of Regents will soon learn all about being audited by the IRS.
[00:14:45.851 --> 00:14:54.177]  In other words, he did something that kind of backfired and he was saying that these people at this university were going to get audited for complaining about it.
[00:14:55.171 --> 00:15:00.215]  And the Wall Street Journal says, a president shouldn't even joke about abusing IRS power.
[00:15:00.275 --> 00:15:07.361]  When it comes instead to be seen as merely politics, as just politics, then the moral component of the system will be gone.
[00:15:07.921 --> 00:15:11.864]  For the system to work, people have to believe that it is fundamentally fair.
[00:15:12.365 --> 00:15:15.587]  So I can just hear Hillary Clinton saying, what difference does it make?
[00:15:16.388 --> 00:15:21.492]  Or Nancy Pelosi, when somebody asked her about the constitutionality of Obamacare, saying, are you serious?
[00:15:22.461 --> 00:15:29.125]  They really don't take the Constitution seriously, except to try to attack people who do take the Constitution seriously.
[00:15:29.665 --> 00:15:45.755]  Perhaps the best thing that could come out of this is not that we're going to see some IRS officials go to jail, but maybe the best thing that could come out of this is that people could basically wake up to this whole scam and really see what this whole tax code has evolved into and understand
[00:15:46.195 --> 00:15:56.424]  Now, the Wall Street Journal wants people to believe that this is a fundamentally fair system, but perhaps the best thing that could come out of this is for Americans to understand that it is fundamentally unfair.
[00:15:57.004 --> 00:16:03.170]  It is a complex system that is used to entrap and punish anyone that the government chooses to go after.
[00:16:03.690 --> 00:16:05.992]  And it's fundamentally unconstitutional.
[00:16:06.893 --> 00:16:12.818]  We have a report coming up here from Millie Weaver, who talks about corruption in the Supreme Court.
[00:16:16.471 --> 00:16:19.157]  I'm Millie Weaver with this InfoWars report.
[00:16:23.266 --> 00:16:37.272]  All too often, we find ourselves going about our daily routine when all of the sudden our lives are interrupted by some kind of government fine, fee, court appearance, or even threat of jail.
[00:16:37.552 --> 00:16:45.276]  Knowing our courts are typically corrupt, we're left hopeless and singled out to suffer unnecessary consequences.
[00:16:45.796 --> 00:16:52.339]  Are you tired of corrupt government officials and judges breaking the law and making you pay for their crimes?
[00:16:53.197 --> 00:16:58.279]  Ever wonder why judges seem to rule in the favor of private interests and profiteers?
[00:16:59.019 --> 00:17:02.200]  Well, it's because these judges are sponsored.
[00:17:02.760 --> 00:17:07.902]  Yes, ladies and gentlemen, just like in NASCAR, these judges are sponsored.
[00:17:08.422 --> 00:17:12.663]  And when you see the documented proof, things really start to add up.
[00:17:13.583 --> 00:17:16.324]  Do you want to know who's paying for your justice?
[00:17:16.804 --> 00:17:22.006]  Let's head down to the pits and see which judges are sponsored by private interests.
[00:17:26.030 --> 00:17:32.273]  Here we are at the Form 700 where judges are revving their engines and slamming their gavels.
[00:17:32.333 --> 00:17:35.454]  Let's find out who's running our courts.
[00:17:36.054 --> 00:17:40.476]  These are the Form 700 forms that are for the state of California.
[00:17:41.056 --> 00:17:45.478]  I took the liberty to contact the Fair Political Practices Commission.
[00:17:46.278 --> 00:17:50.080]  So we're going to go further and discover what's in here.
[00:17:51.198 --> 00:17:53.660]  Let's take a look at our judges' sponsors.
[00:17:54.321 --> 00:18:07.272]  First we go to Honorable John Vineyard with sponsors such as Bank of America, Visa, Walt Disney Company, General Electric Company, Pepsi, Inc., and Verizon, Inc.
[00:18:07.933 --> 00:18:08.733]  Holy smokes!
[00:18:09.033 --> 00:18:12.697]  I never realized how much our judges are laced up by sponsors.
[00:18:13.197 --> 00:18:13.597]  Wow!
[00:18:14.918 --> 00:18:21.603]  Our next judge is Honorable Pamela Thatcher, who's sponsored by PepsiCo Inc.
[00:18:21.744 --> 00:18:27.048]  Beverages, General Electric Corp., Berenstern's Co., U.S.
[00:18:27.108 --> 00:18:33.113]  Band Corp., Bank of Hapolium, Bank of America, and Goldman Sachs Group.
[00:18:33.593 --> 00:18:33.973]  Wow!
[00:18:34.214 --> 00:18:43.161]  If I was making money like that, I'd be out on my yacht hitting some beach sun and some waves, not on a bench dealing with traffic for it.
[00:18:44.862 --> 00:18:49.804]  Something just doesn't seem to be adding up here, but let's go to our next judge.
[00:18:50.784 --> 00:19:08.529]  Our next judge is Honorable Judge Paulette Berkley, who's sponsored by Amelin Pharmaceuticals, Boeing Company, Burlington North-Santa Fe Railway, Canadian Pacific Railway, Cenovus Energy Corporation, Disney,
[00:19:10.470 --> 00:19:30.053]  In Canada, General Electric, Headwaters, Intel, International Business Machines, Merrick Co., Mobile Mini, Oshkosh Truck, Peabody Energy, Sonosite, and Walmart.
[00:19:31.573 --> 00:19:37.838]  Having financial interests in large corporations does not necessarily mean corruption.
[00:19:38.359 --> 00:19:40.220]  There is nothing illegal about it.
[00:19:40.861 --> 00:19:48.847]  But ask yourself, if these judges have the private interests of corporations at heart, do you really think they have yours?
[00:19:50.829 --> 00:19:55.552]  Would you like to see who your local government officials and judges are sponsored by?
[00:19:55.973 --> 00:19:56.873]  Well, here's how.
[00:19:57.984 --> 00:20:05.974]  All judges, government officials, and politicians are required by law to fill out a Statement of Economic Interest.
[00:20:06.575 --> 00:20:10.019]  Local government, state government, and federal government.
[00:20:10.620 --> 00:20:16.847]  Here are some benefits in obtaining a government official's Statement of Economic Interest form.
[00:20:17.728 --> 00:20:21.529]  You get to hold government officials to higher standards.
[00:20:21.769 --> 00:20:24.650]  You can investigate your local officials.
[00:20:25.270 --> 00:20:28.691]  You can report suspicious activity on their form.
[00:20:29.291 --> 00:20:30.851]  They wanted citizen spies?
[00:20:31.111 --> 00:20:32.291]  Well, let's give it to them.
[00:20:32.752 --> 00:20:38.973]  You can have government officials removed, fired, discharged, or retired if they lied on their form.
[00:20:39.573 --> 00:20:46.555]  You can stop any unjust action by filing a complaint against an official to your state ethics commission.
[00:20:47.839 --> 00:20:55.061]  Contact your State Ethics Commission to find out more about which form correctly fits your state.
[00:20:55.541 --> 00:20:59.362]  I guarantee every single one of these forms is available to you.
[00:20:59.562 --> 00:21:03.603]  In California, this form is known as the Form 700.
[00:21:04.143 --> 00:21:06.323]  In Texas, this form is known as Form CIS.
[00:21:08.544 --> 00:21:13.529]  In other states, this form is just simply known as a Statement of Economic Interest.
[00:21:14.110 --> 00:21:15.531]  For California, call 1-866-275-3772.
[00:21:15.551 --> 00:21:18.254]  For Texas, call 1-800-TX-AUDIT.
[00:21:18.334 --> 00:21:23.298]  For all other states, simply contact your State Ethics Commission and visit their website.
[00:21:32.662 --> 00:21:43.089]  We, as citizens of the United States of America, are the regulatory agency that is responsible for regulating our courts and our government officials.
[00:21:44.090 --> 00:21:49.853]  When we neglect our duties as citizens, we start to get a government that feels exempt from the law.
[00:21:50.454 --> 00:21:58.079]  And then, if left untended for too long, government starts to break the laws that are in place to protect our rights.
[00:21:59.395 --> 00:22:09.040]  Many people falsely believe that we have to wait for election time or that we have to rely on elected officials in Washington to get our remedy.
[00:22:09.660 --> 00:22:11.762]  This couldn't be farther from the truth.
[00:22:12.222 --> 00:22:19.366]  What they don't want you to know is that our remedies are one phone call and one complaint form away.
[00:22:19.526 --> 00:22:22.067]  All you have to do is pick up a phone and call.
[00:22:22.567 --> 00:22:26.870]  Government agencies are standing by all for the wonderful price of free.
[00:22:27.950 --> 00:22:29.853]  Exercise your rights today.
[00:22:30.814 --> 00:22:33.418]  I'm hot on the trail for these corrupt judges.
[00:22:33.878 --> 00:22:38.385]  And for my next report, let's see if we can pin one of these corrupt judges down.
[00:22:40.007 --> 00:22:42.751]  I'm Millie Weaver, signing off with InfoWars.com.
[00:22:45.609 --> 00:22:50.858]  Well, it's not just Tea Party and Patriot groups that are being targeted by the IRS as a scandal.
[00:22:51.379 --> 00:22:58.430]  We just had today information that the Justice Department is coming after the Associated Press' phones.
[00:22:59.258 --> 00:23:02.859]  In this article here, Justice Department secretly obtained AP phone records.
[00:23:02.879 --> 00:23:18.644]  We learn that the Justice Department secretly obtained two months of telephone records of reporters and editors for the AP in what the News Cooperative's top executive called a, quote, massive and unprecedented intrusion, unquote, and how news organizations gather the news.
[00:23:19.184 --> 00:23:38.427]  The records obtained by the Justice Department listed incoming and outgoing calls and the duration of each call for the work and the personal phone number of individual reporters, general AP office numbers in New York, Washington, and Hartford, Connecticut, and the main number for AP reporters in the House of Representatives Press Gallery, according to attorneys for the AP.
[00:23:39.611 --> 00:23:43.853]  Well, maybe the AP needs to be reminded who the political boss is.
[00:23:44.513 --> 00:24:01.640]  But it's really shocking to see that not only we know that the government is tapping everybody's phones and recording all of our conversations digitally, but it's amazing to see how bold they are that they would actually come after the AP, which is not engaged in any criminal operation.
[00:24:01.740 --> 00:24:03.120]  It's merely reporting the news.
[00:24:03.581 --> 00:24:04.521]  So I believe that
[00:24:05.140 --> 00:24:15.867]  When you look at the fact that they're collecting everybody's phone calls and information as it is, when they go in and do this openly, it must be just open intimidation of that news organization.
[00:24:17.392 --> 00:24:22.938]  Now on the Benghazi front, it looks like Republicans are starting to throw cold water on this scandal.
[00:24:23.458 --> 00:24:30.865]  We see in an article here on the Benghazi probe, GOP's Daryl Issa says, Hillary Clinton is not a target.
[00:24:31.486 --> 00:24:41.016]  A top GOP critic pushed back Sunday on charges that Republican efforts to investigate last year's Benghazi attack are designed to inflict political damage on former Secretary of State Hillary Clinton.
[00:24:41.556 --> 00:24:50.855]  Hillary Clinton is not a target, said House Oversight and Government Reform Committee Chairman Darrell Issa on NBC's Meet the Press, and President Obama is not a target.
[00:24:51.849 --> 00:25:14.987]  Well, the interesting thing about that is that we see that there was a criminal cover-up of information that was certainly more extensive than what Richard Nixon did, and there are questions that some people have that there was even criminal actions in committing and basically causing, ordering the military to stand down and directly causing the deaths of the people at the Benghazi compound.
[00:25:16.008 --> 00:25:21.313]  But we also see that former Defense Secretary Gates is also pushing back on this.
[00:25:21.353 --> 00:25:22.814]  And he's not necessarily a Republican.
[00:25:23.154 --> 00:25:27.137]  He was both Bush's SecDef as well as Obama's.
[00:25:27.398 --> 00:25:32.482]  He says, some Benghazi critics have a cartoonish view of military capability.
[00:25:34.003 --> 00:25:36.705]  It's kind of amazing to think that
[00:25:38.601 --> 00:25:42.327]  That these Republicans are really pushing back on this thing right now.
[00:25:42.928 --> 00:25:46.594]  They're very intent to use it, content to use it for political gain.
[00:25:47.239 --> 00:25:50.240]  But they don't want to take it really any farther.
[00:25:50.660 --> 00:25:55.661]  Because they really don't want people asking why we were in Libya in the first place.
[00:25:56.121 --> 00:26:02.343]  Why we were putting our terrorists, our main terrorist enemy, Al-Qaeda, why are we putting them in power?
[00:26:02.403 --> 00:26:03.623]  Why are we giving them arms?
[00:26:04.163 --> 00:26:07.164]  They really, I believe, don't want a full investigation of it.
[00:26:07.224 --> 00:26:13.166]  They just want to use it, unfortunately, for political power and to try to score some political points.
[00:26:13.905 --> 00:26:19.989]  Now, just like Daryl Gates is not necessarily a Republican, he's spanned many different administrations.
[00:26:20.729 --> 00:26:24.671]  And just like the bureaucrats in the IRS, they just stay forever.
[00:26:24.972 --> 00:26:26.472]  And even congressmen stay forever.
[00:26:26.492 --> 00:26:27.793]  There's no term limits on them.
[00:26:28.293 --> 00:26:36.859]  And so some people are saying, well, just like there's no term limits on the bureaucrats or on Congress, maybe we should remove the term limits from the President as well.
[00:26:37.419 --> 00:26:42.562]  Here's a special report from Gigi Ernetta about the 22nd Amendment and efforts to get rid of it.
[00:26:45.424 --> 00:26:48.887]  Hi, I'm Gigi Ornette with your InfoWars Nightly News Alert.
[00:26:50.008 --> 00:26:51.349]  Try, try, try again.
[00:26:51.369 --> 00:26:52.950]  You may have heard this before.
[00:26:53.290 --> 00:26:56.593]  It comes from an old legend of Robert the Bruce.
[00:26:57.454 --> 00:26:59.716]  He was a 14th century King of Scotland.
[00:27:00.676 --> 00:27:07.342]  He kept failing, but one day, after seven attempts, he actually beat the King of England to regain Scotland.
[00:27:08.325 --> 00:27:13.650]  Well, there's a possibility Representative Jose E. Serrano of New York came from the same school of thought.
[00:27:14.230 --> 00:27:16.632]  In January of this year, he proposed to get H.J.
[00:27:16.692 --> 00:27:17.393]  Res.
[00:27:17.413 --> 00:27:19.515]  15 passed committee for the ninth time.
[00:27:20.035 --> 00:27:23.198]  He's reintroduced it every congressional session since 1997.
[00:27:25.680 --> 00:27:31.543]  None of these resolutions ever made it to a floor vote, but try, try, try again.
[00:27:31.563 --> 00:27:31.603]  H.J.
[00:27:32.903 --> 00:27:33.523]  Res.
[00:27:33.543 --> 00:27:38.746]  15 proposes repealing the 22nd Amendment to the Constitution, which sets term limits on the presidency.
[00:27:39.246 --> 00:27:43.908]  The last and only president to serve more than two terms was Franklin D. Roosevelt.
[00:27:44.948 --> 00:27:54.355]  In 1945, a few months after the inauguration for his fourth term of office, Roosevelt died, and in 1951, term limits on the presidency were preserved.
[00:27:54.635 --> 00:28:01.940]  Some, like Cokie Roberts, feel like we should get rid of the 22nd Amendment, and then we wouldn't have lame duck presidencies, like the one that we have now.
[00:28:02.360 --> 00:28:07.964]  The power of the presidency, regardless of whom occupies the White House, is enormous.
[00:28:08.384 --> 00:28:11.866]  And this question is always asked, and the truth is the president is a lame duck.
[00:28:12.266 --> 00:28:14.368]  The 22nd Amendment is a terrible idea.
