[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[00:03:45.052 --> 00:03:55.521]  These are people who have retired a few years ago, still alive, criticizing how far we have gone into despotism.
[00:03:56.081 --> 00:04:02.947]  In another article that's on Infowars.com, we have this from Paul Craig Roberts, and he calls it coup d'etat.
[00:04:04.013 --> 00:04:10.421]  He said, Americans are ruled by usurpers who claim that the executive branch is above the law, that the U.S.
[00:04:10.441 --> 00:04:12.703]  Constitution is merely a scrap of paper.
[00:04:13.404 --> 00:04:17.990]  And he points out, an unconstitutional government is an illegitimate government.
[00:04:18.010 --> 00:04:23.916]  He says, Americans are oppressed by illegitimate government rulings, not by law or by the Constitution.
[00:04:24.617 --> 00:04:27.780]  And they, by laws and naked force, is how they rule.
[00:04:27.940 --> 00:04:29.581]  And he doesn't miss any words.
[00:04:29.601 --> 00:04:34.566]  He says, the South African Apartheid regime was more legitimate than the regime in Washington.
[00:04:34.846 --> 00:04:37.808]  The Apartheid Israeli regime in Palestine is more legitimate.
[00:04:38.088 --> 00:04:39.870]  The Taliban, more legitimate.
[00:04:40.631 --> 00:04:42.933]  Gaddafi, Saddam Hussein, more legitimate.
[00:04:43.886 --> 00:04:44.847]  Absolutely true.
[00:04:45.288 --> 00:04:50.974]  If you don't follow the Constitution that you swear allegiance to, you become merely dictators.
[00:04:51.014 --> 00:04:58.402]  We're going to be talking about that, and we've got some guests coming up that are going to talk about some local solutions to this tyranny coming out of Washington.
[00:04:58.422 --> 00:04:58.843]  Stay tuned.
[00:04:58.863 --> 00:04:59.464]  We'll be right back.
[00:05:09.893 --> 00:05:19.737]  Now is the perfect time to spring clean your body with Supernatural Silver, a non-toxic disinfectant for the body that can be used internally or externally.
[00:05:19.997 --> 00:05:25.499]  It helps the immune system by killing the bacteria, viruses and mold that cause disease.
[00:05:25.779 --> 00:05:33.562]  This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge.
[00:05:33.842 --> 00:05:37.624]  Supernatural Silver can help combat over 300 different conditions,
[00:05:37.944 --> 00:05:43.891]  And it has the ability to kill over 143 types of bacteria, viruses, mold, and yeast.
[00:05:44.171 --> 00:05:59.948]  Supernatural Silver's patented technology includes advanced scientific research with over 180 scientific studies conducted at independent universities, hospitals, research institutions, and nursing homes to see how Supernatural Silver can change your life!
[00:06:00.208 --> 00:06:08.229]  Go to SupernaturalSilver.com Use the promo code SILVER2013 for 20% off and like us on Facebook!
[00:06:09.580 --> 00:06:13.223]  Are we choosing our own destiny or has it been pre-selected for us?
[00:06:13.463 --> 00:06:18.728]  As we've moved through history, every great leader has had to understand the potential of information.
[00:06:18.968 --> 00:06:26.514]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[00:06:26.714 --> 00:06:35.822]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[00:06:36.002 --> 00:06:43.030]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[00:06:43.170 --> 00:06:46.053]  All of this is happening so fast, you need to be ahead of the game.
[00:06:46.073 --> 00:06:53.000]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[00:06:53.701 --> 00:06:54.582]  Oh, there's another one!
[00:06:54.602 --> 00:06:55.502]  Another plane just hit!
[00:07:09.330 --> 00:07:10.970]  Introducing Pro-1.
[00:07:11.211 --> 00:07:14.731]  All of your filtration in one system, portable, on-the-go.
[00:07:14.871 --> 00:07:19.273]  No more do you have two or three filters to just reduce sodium fluoride.
[00:07:19.393 --> 00:07:25.394]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:07:25.514 --> 00:07:36.277]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:07:36.497 --> 00:07:39.180]  It is the only one that does it and out of the gates!
[00:07:39.360 --> 00:07:42.803]  We have it discounted at 10% off with promo code WATER.
[00:07:43.003 --> 00:07:57.738]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:07:58.158 --> 00:08:03.684]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:08:24.534 --> 00:08:26.055]  Welcome back to the Alex Jones Show.
[00:08:26.155 --> 00:08:27.796]  I'm David Knight, filling in for Alex.
[00:08:28.456 --> 00:08:38.883]  And just before we went to the break, we were talking about just the former generation of leaders in this country, talking about how illegitimate our government is.
[00:08:39.283 --> 00:08:41.825]  I mean, these are former senators, former presidents.
[00:08:42.505 --> 00:08:48.309]  Paul Craig Roberts, who is the father of Reaganomics, former head of policy at the Department of Treasury,
[00:08:49.514 --> 00:08:55.958]  They're all pointing out that we have basically had the federal government cut itself loose from the chains that bind them down.
[00:08:56.299 --> 00:08:59.921]  They've cut themselves loose from the document that they swear allegiance to.
[00:08:59.981 --> 00:09:07.026]  Understand that when they take office, the oath to the Constitution is essentially an oath to a superior power.
[00:09:07.507 --> 00:09:08.087]  To the law.
[00:09:08.427 --> 00:09:09.488]  The law is king.
[00:09:09.788 --> 00:09:10.449]  Lex Rex.
[00:09:11.129 --> 00:09:16.212]  What they're doing is swearing allegiance to a king and then ignoring and subverting that king.
[00:09:16.792 --> 00:09:25.177]  Now, we've got an article that's linked on Drudge Report from Jimmy Carter where he says, basically, America has no functioning democracy.
[00:09:25.217 --> 00:09:36.104]  And as I mentioned just before the break, Paul Craig Roberts said, the American government is an unconstitutional government and an illegitimate government because they no longer pay any attention to the Constitution.
[00:09:36.844 --> 00:09:45.328]  Now, also breaking yesterday from The Guardian, there was an email exchange between Ed Snowden and former GOP Senator Gordon Humphrey.
[00:09:45.829 --> 00:09:52.352]  And he said, I believe you have done the right thing in exposing what I regard to be a massive violation of the U.S.
[00:09:52.412 --> 00:09:53.192]  Constitution.
[00:09:53.933 --> 00:09:55.693]  And so when they got this message,
[00:09:57.014 --> 00:10:03.957]  Glenn Greenwald contacted the former senator just to make sure that it was not a prank, that it was actually there.
[00:10:04.017 --> 00:10:06.538]  And what he did was he essentially clarified it and doubled down.
[00:10:06.578 --> 00:10:08.238]  This is what he said in the follow-up message.
[00:10:08.278 --> 00:10:13.420]  He said, this is a senator, former senator, writing to Glenn Greenwald.
[00:10:13.500 --> 00:10:20.683]  He says, yes, it was I who sent the email message to Ed Snowden thanking him for exposing astonishing violations of the U.S.
[00:10:20.723 --> 00:10:25.225]  Constitution and encouraging him to persevere in the search for asylum.
[00:10:25.945 --> 00:10:28.047]  He talked about him being a courageous whistleblower.
[00:10:28.507 --> 00:10:48.142]  And he said that no effort, he's very concerned, that there is no effort being made to identify and to remove from office and bring to justice officials who have abused power seriously and repeatedly violated the Constitution of the United States and the rights of millions of unsuspecting citizens.
[00:10:48.542 --> 00:10:49.623]  And that's the whole point.
[00:10:50.243 --> 00:10:54.907]  All you see, discussed on the talk show host, how do we keep this from happening again?
[00:10:56.030 --> 00:11:05.695]  Andrea Mitchell was interviewing a Democrat from, I think it was Montana, and they were talking about how they could vet security clearances better so this doesn't happen again.
[00:11:06.747 --> 00:11:11.892]  Nothing at all about making the government obey the Constitution.
[00:11:12.632 --> 00:11:13.713]  Where are we headed with this?
[00:11:14.374 --> 00:11:30.207]  Well, actually, James Madison pointed out, and we read this quote last night in the nightly news, he pointed out a long time ago what was going to happen if we didn't follow the Constitution anymore, and if we didn't understand the traditions that led to the writing of that document.
[00:11:30.888 --> 00:11:35.670]  He says, do not separate text, that would be the text of the Constitution, from historical background.
[00:11:35.730 --> 00:11:45.473]  If you do, you will have perverted and subverted the Constitution, which can only end in a distorted, bastardized form of illegitimate government.
[00:11:45.593 --> 00:11:52.135]  Same words being used by the previous generation of politicians and government officials at the federal level.
[00:11:52.955 --> 00:11:56.036]  Now, in the second hour, we're going to be talking to
[00:11:57.279 --> 00:12:01.042]  Uh, Stan Linick, and if you remember, he was the, uh, deputy.
[00:12:01.222 --> 00:12:07.948]  You might remember this, uh, when we had the opt-out-in-film campaign with Ashley, Jessica, and Jason Bermas, they went to a New York airport.
[00:12:08.508 --> 00:12:10.730]  And they were handing out literature, not bothering anybody.
[00:12:11.370 --> 00:12:13.052]  And they had the police called on them.
[00:12:13.452 --> 00:12:17.095]  And fortunately, the deputy sheriff who showed up was Stan Linick.
[00:12:17.135 --> 00:12:18.236]  There's a little video of that.
[00:12:18.356 --> 00:12:19.357]  We're gonna be talking to him.
[00:12:19.737 --> 00:12:21.539]  He stood up for their constitutional rights.
[00:12:22.259 --> 00:12:31.646]  He refused to bully them because this fellow with the airport, and the fellow who was trying to get the police to bully them, should have known better.
[00:12:31.706 --> 00:12:33.547]  He was formerly somebody who worked in the media.
[00:12:33.567 --> 00:12:40.272]  Now that's Stan Linick that we're going to be talking to, and he was Deputy Sheriff of the Year by the Constitutional Sheriffs and Peace Officers Association.
[00:12:40.772 --> 00:12:45.776]  So we're going to talk to him because, you know, we need to have people who have legitimate authority.
[00:12:46.596 --> 00:12:52.999]  People who have legitimate authority, or people who put themselves under the Constitution, like Deputy Linick did.
[00:12:53.399 --> 00:12:56.881]  So we want to talk to him, and in the third hour, we're going to be talking to Kirsten Tynan.
[00:12:57.401 --> 00:12:59.802]  And she's with the Fully Informed Jury Association.
[00:13:00.202 --> 00:13:01.883]  Because that is where you come in.
[00:13:02.463 --> 00:13:05.945]  That's where every one of you can come in, because you can stand in the gap.
[00:13:06.585 --> 00:13:09.407]  Against bad laws, against oppressive government.
[00:13:09.447 --> 00:13:13.530]  You can stand in the gap and make sure that your fellow citizen gets justice.
[00:13:14.051 --> 00:13:16.432]  And that unjust laws are not enforced.
[00:13:16.592 --> 00:13:18.013]  And that's a very important thing.
[00:13:18.074 --> 00:13:21.116]  Most people don't understand where that power comes from.
[00:13:21.196 --> 00:13:22.557]  They don't understand the tradition of that.
[00:13:22.937 --> 00:13:28.141]  They don't understand the... Judges will basically tell juries lies.
[00:13:28.181 --> 00:13:33.144]  They will suppress information about what the rights and the duties of the jury truly are.
[00:13:34.085 --> 00:13:36.126]  But let's think about where this is really headed.
[00:13:36.786 --> 00:13:40.027]  Let's look at somebody who actually lived under the Stasi.
[00:13:40.927 --> 00:13:49.570]  There was an amazing article that was translated into English and I tried to get this guy to come on so we can interview him but unfortunately he doesn't speak English.
[00:13:50.290 --> 00:13:59.793]  This is a pastor who lived under the Stasi in East Germany and he has something that all Americans should really think about.
[00:14:00.213 --> 00:14:01.614]  He talked about living there for
[00:14:02.754 --> 00:14:05.617]  For most of his life, up until about 20 years ago when it fell.
[00:14:06.217 --> 00:14:15.586]  He says, we all recall the fall of 1989 when thousands of people all over German Democratic Republic marched from churches to streets and squares.
[00:14:16.206 --> 00:14:17.487]  Now this fellow was a pastor.
[00:14:18.328 --> 00:14:24.413]  And one of the things that he had done, and he was surprised to find that the Stasi didn't know anything about it, he actually had smuggled in from the West
[00:14:25.254 --> 00:14:30.657]  A miniature lab, and he was doing testing of the water because he knew they were putting chemicals into it.
[00:14:31.418 --> 00:14:38.702]  Not openly, like our government puts fluoride and other things that we know are harmful, things that are banned in Europe.
[00:14:39.583 --> 00:14:46.527]  They were putting other chemicals in as well as that into the water, and he was doing testing and giving information out about that.
[00:14:47.508 --> 00:14:50.770]  And they didn't know about that, but they pretty much knew about everything else.
[00:14:51.210 --> 00:14:53.832]  And one of the things to remember is that it was the clergy
[00:14:54.812 --> 00:15:02.580]  Uh, who were instrumental in giving people their freedom in East Germany, just like they were very instrumental in giving people their freedom here in America.
[00:15:03.100 --> 00:15:06.023]  They called them the Black Regiment during the Revolutionary War.
[00:15:06.503 --> 00:15:17.134]  And what happened in East Germany was the pastors organized people in the churches, and the churches marched en masse to the wall, to the spots where they would shoot people if they got too close.
[00:15:18.271 --> 00:15:21.434]  And the soldiers finally refused to fire.
[00:15:22.034 --> 00:15:29.140]  And it was that kind of a peaceful stand-down, en masse, that essentially brought down the fall of the Stasi and the East German government.
[00:15:29.180 --> 00:15:33.043]  But I want you to think about what it's like to live under the Stasi.
[00:15:33.443 --> 00:15:34.444]  And this is what he tells us.
[00:15:34.484 --> 00:15:40.709]  He said, how did a state keep this population of 17 million in check for 40 years?
[00:15:41.229 --> 00:15:41.790]  The answer?
[00:15:42.050 --> 00:15:45.393]  Through surveillance, incarceration, and terror.
[00:15:45.993 --> 00:15:48.036]  The wheels of terror were implanted in every brain.
[00:15:48.396 --> 00:15:52.542]  The moment a critical thought took shape, the wheels of terror started turning.
[00:15:53.202 --> 00:15:55.245]  Who would be able to hear this and make note of it?
[00:15:55.626 --> 00:15:57.128]  Which file would it land in?
[00:15:57.608 --> 00:15:58.770]  What could be the consequences?
[00:15:58.870 --> 00:16:00.172]  What reprisals would be taken?
[00:16:00.212 --> 00:16:04.137]  Could there be an impact on the children's schooling, on their apprenticeship position?
[00:16:04.497 --> 00:16:05.558]  Or their college placement.
[00:16:05.658 --> 00:16:09.340]  Even preschoolers and kindergartners had internalized that.
[00:16:09.761 --> 00:16:13.543]  And he said, the guarantor for terror and order was the Stasi, state security.
[00:16:13.863 --> 00:16:17.166]  They called it, in German, Ease, Drop and Peek.
[00:16:17.946 --> 00:16:19.707]  Now that's what our government is doing to us today.
[00:16:19.727 --> 00:16:25.291]  And I find it so disturbing that Americans can come out and say, I don't care.
[00:16:25.692 --> 00:16:27.233]  They can look, I don't have anything to hide.
[00:16:27.913 --> 00:16:30.878]  Well, the people in East Germany didn't have anything to hide either.
[00:16:31.418 --> 00:16:33.161]  But nothing was able to be hidden.
[00:16:33.361 --> 00:16:35.885]  And listen to what happens when you know you're being watched.
[00:16:36.786 --> 00:16:38.288]  Hardly anything went undetected.
[00:16:39.366 --> 00:16:47.873]  Like a fungus, surveillance permeated all of social life and the, quote, service of socialism to protect the country from the imperialistic class enemy.
[00:16:48.214 --> 00:16:49.235]  See, they had a different enemy.
[00:16:49.275 --> 00:16:50.856]  It's always necessary to have an enemy.
[00:16:51.356 --> 00:16:53.638]  Our enemy, of course, is now Al-Qaeda.
[00:16:53.859 --> 00:16:56.901]  Used to be the communists, when that was no longer a credible threat.
[00:16:57.362 --> 00:16:59.864]  Now they're holding up these boogeymen in caves.
[00:17:00.364 --> 00:17:02.446]  And we're going to talk a little bit more about that in just a moment.
[00:17:03.687 --> 00:17:20.738]  He says, during demonstrations, and this is how pervasive the threat of the Stasi was, that even when they started to have demonstrations that led up to the fall of the government in 1989, he said a huge crowd of people marched through downtown Eisenach in the state of Thuringia, where I live, chanting.
[00:17:20.798 --> 00:17:26.122]  But the moment the train of protesters passed the headquarters of the Stasi, they fell silent.
[00:17:26.882 --> 00:17:28.023]  Nobody shouted anything.
[00:17:28.063 --> 00:17:30.364]  So here you've got a crowd of people who are
[00:17:31.445 --> 00:17:44.999]  In defiance of this communist regime and demonstrating, but they are afraid of the Stasi because the Stasi knows everything about them, records everything about them, uses that to control their lives, to control their futures.
[00:17:45.380 --> 00:17:49.464]  That's what total information awareness is about.
[00:17:50.505 --> 00:17:52.246]  It's a means of control.
[00:17:52.466 --> 00:17:54.326]  It's a means, and that's what surveillance leads to.
[00:17:54.406 --> 00:17:55.667]  People need to understand this.
[00:17:56.407 --> 00:18:02.869]  He says, listen to this, the Stasi not only surveyed the everyday life of citizens, but also influenced our lives.
[00:18:02.909 --> 00:18:09.032]  In my case, the Stasi sought to document my underground political activities with the goal of gathering enough material to take me to court.
[00:18:09.492 --> 00:18:12.433]  But they didn't wish to wait until I'd made a mistake worthy of prosecution.
[00:18:13.093 --> 00:18:20.519]  Instead, they used snitches to plant rumors in my parish and to strip me of the backing of my superiors in the church.
[00:18:20.579 --> 00:18:24.082]  They even tried to set up an informer on my wife to destroy our marriage.
[00:18:24.782 --> 00:18:30.587]  Snitches provoked me, engaged me in topical conversations, intercepted letters, intercepted personal contacts.
[00:18:31.187 --> 00:18:33.569]  Indirectly influencing and manipulating my life.
[00:18:34.050 --> 00:18:42.617]  And he goes on to say that whenever they would have a meeting, whenever the church would get together, any function, they always knew that there were Stasi members, Stasi informers that were present.
[00:18:43.017 --> 00:18:48.822]  Then he said they would even cynically extend a welcome to those who, quote, had to be here professionally, unquote.
[00:18:49.543 --> 00:18:54.967]  So they knew, and he said he never said anything at a meeting that he wasn't willing to go to jail for.
[00:18:55.828 --> 00:18:56.869]  Is that the way you want to live?
[00:18:57.369 --> 00:19:05.915]  Because what we're going to see in America is something far more pervasive, something far more dangerous than anything that ever happened with Astazi.
[00:19:06.875 --> 00:19:11.738]  You can see pictures of rooms full of files, paper files on people.
[00:19:11.998 --> 00:19:14.840]  They had no way to data mine most of that.
[00:19:14.980 --> 00:19:20.144]  They collected so much information on people that they really couldn't put it all together.
[00:19:20.884 --> 00:19:24.847]  But we now have this massive data center that's being built in Utah.
[00:19:25.507 --> 00:19:40.044]  That is going to use enough water, just, it's so massive, so incredibly massive, so much data storage, so much heat being generated, that they're going to use enough water that they could supply thousands of homes, and that's a big issue out in Utah.
[00:19:41.018 --> 00:19:42.119]  But that's where we're headed.
[00:19:42.259 --> 00:19:45.583]  We're headed for a complete and total surveillance state.
[00:19:45.723 --> 00:19:49.126]  We're headed for something that is far worse than the Stasi ever did.
[00:19:49.186 --> 00:19:52.670]  Something that is far worse than George Orwell ever imagined in 1984.
[00:19:53.891 --> 00:19:56.874]  And the American public just shrugs many of them.
[00:19:57.354 --> 00:20:01.078]  Those of us who are aware have to wake up the others to the dangers that are coming.
[00:20:01.098 --> 00:20:03.560]  And we're going to be talking more about that in just a few minutes.
[00:20:03.580 --> 00:20:04.001]  Stay tuned.
[00:20:09.864 --> 00:20:13.966]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[00:20:14.626 --> 00:20:16.767]  I want you to know some very important information.
[00:20:17.648 --> 00:20:25.992]  In 1985, President Ronald Reagan requested that carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[00:20:26.632 --> 00:20:31.535]  Now, 27 years later, carnivora capsules are used around the world to keep people healthy.
[00:20:32.165 --> 00:20:43.136]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[00:20:43.537 --> 00:20:50.544]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[00:20:51.224 --> 00:20:55.489]  Call 1-866-VENUSFLY or order from carnivora.com.
[00:20:55.529 --> 00:20:58.692]  That's C-A-R-N-I-V-O-R-A dot com.
[00:20:59.132 --> 00:21:06.079]  That's 1-866-836-8735, 1-866-VENUSFLY or visit carnivora.com.
[00:21:06.399 --> 00:21:07.380]  Protect your immune system.
[00:21:07.661 --> 00:21:08.702]  It's the only one you've got.
[00:21:09.142 --> 00:21:18.387]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:21:18.447 --> 00:21:19.167]  This capitalism?
[00:21:19.247 --> 00:21:25.350]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:25.410 --> 00:21:29.052]  Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[00:21:29.112 --> 00:21:30.033]  Call for your copy 800-686-2237.
[00:21:30.053 --> 00:21:31.093]  It's time to understand the system.
[00:21:31.113 --> 00:21:31.713]  Call 800-686-2237.
[00:21:31.753 --> 00:21:32.034]  That's 800-686-2237.
[00:21:38.977 --> 00:21:43.760]  If you want to approach companies with your invention, the first step is to secure your patent rights.
[00:21:44.100 --> 00:21:50.684]  We are Russ Weinzimmer and Associates, a national law firm dedicated to helping you get strong protection for your invention.
[00:21:50.944 --> 00:21:53.186]  Already selling a product based on your invention?
[00:21:53.426 --> 00:21:55.627]  There may still be time to lock in your rights.
[00:21:55.967 --> 00:22:02.371]  Just call us at 800-621-3654 for your confidential, free consultation.
[00:22:02.671 --> 00:22:04.772]  Or visit strategicpatentlaw.com.
[00:22:05.093 --> 00:22:06.814]  That's strategicpatentlaw.com.
[00:22:08.632 --> 00:22:12.174]  Digestive health is the key to wellness and elimination of toxins.
[00:22:12.514 --> 00:22:13.234]  That bears repeating.
[00:22:13.535 --> 00:22:17.076]  Digestive health is the key to wellness and elimination of toxins.
[00:22:17.417 --> 00:22:21.679]  And Pro-EM1 Daily Probiotic Cleanse is the key to digestive health.
[00:22:21.979 --> 00:22:27.462]  Pro-EM1 is a powerful liquid probiotic, strong enough to cleanse, gentle enough to use every day.
[00:22:27.822 --> 00:22:30.043]  Pro-EM1 is dairy, wheat, and soy free.
[00:22:30.303 --> 00:22:32.565]  Contains all natural and certified organic ingredients.
[00:22:32.805 --> 00:22:34.706]  Contains no preservatives or animal products.
[00:22:34.946 --> 00:22:36.907]  Supports a healthy digestive and immune system.
[00:22:37.047 --> 00:22:37.788]  Supports weight loss.
[00:22:38.068 --> 00:22:39.569]  Improves absorption of food nutrients.
[00:22:39.889 --> 00:22:41.250]  Aids in controlling yeast infections.
[00:22:41.530 --> 00:22:42.771]  Is never freeze-dried.
[00:22:43.091 --> 00:22:46.973]  And uses three groups of live, viable, beneficial microbes to cleanse and remove toxins.
[00:22:47.313 --> 00:22:50.757]  Order Pro-EM1 Daily Probiotic Cleanse at Terragonics.com.
[00:22:51.097 --> 00:22:54.701]  Spelled T-E-R-A-G-A-N-I-X dot com.
[00:22:55.001 --> 00:22:56.142]  Terragonics dot com.
[00:22:56.543 --> 00:22:57.364]  Or call toll free 866-369-3678.
[00:22:57.384 --> 00:22:57.804]  That's 866-369-3678.
[00:22:57.824 --> 00:22:59.005]  Pro-EM1, the raw probiotic.
[00:23:08.311 --> 00:23:13.192]  There are those curious about bitcoins and those using and making money with bitcoins.
[00:23:13.672 --> 00:23:14.852]  What are bitcoins?
[00:23:15.293 --> 00:23:21.374]  A bitcoin is the first decentralized currency that can be easily transferred from person to person over the internet.
[00:23:21.794 --> 00:23:23.234]  No bank needed.
[00:23:23.614 --> 00:23:28.895]  This means lower fees and accounts can never be frozen, limited or closed.
[00:23:29.296 --> 00:23:31.076]  You are in control of your money.
[00:23:31.556 --> 00:23:32.337]  And the best part?
[00:23:32.717 --> 00:23:35.960]  You can start earning and making money with bitcoins right away.
[00:23:36.340 --> 00:23:43.747]  No computer or expertise is required to earn money with bitcoins and a growing number of merchants now accept bitcoins.
[00:23:44.207 --> 00:23:47.891]  Plus, they're easily exchanged for dollars, euros and more.
[00:23:48.231 --> 00:23:59.756]  Learn more about the easiest, cheapest, most profitable way to enter the Bitcoin market and get paid every two weeks by one of the fastest growing Bitcoin miners in the world at cloudhashing.com.
[00:24:00.237 --> 00:24:03.078]  Just like it sounds, cloudhashing.com.
[00:24:03.478 --> 00:24:05.399]  That's cloudhashing.com.
[00:24:05.799 --> 00:24:07.360]  We mine your business.
[00:24:10.041 --> 00:24:12.242]  He's the T-Rex of political talk.
[00:24:12.803 --> 00:24:15.524]  Alex Jones on the GCN Radio Network.
[00:24:21.946 --> 00:24:23.347]  Welcome back to the Alex Jones Show.
[00:24:23.407 --> 00:24:33.310]  I'm David Knight, filling in for Alex today, and we were just talking before the break about the Stasi, life under the Stasi, and a lot of information is coming out about that right now.
