[00:00:08.069 --> 00:00:12.172]  Lieutenant Colonel Robert Bateman had some chilling words in a recent Esquire article.
[00:04:25.447 --> 00:04:26.548]  You're asking me hypothetically.
[00:04:27.149 --> 00:04:28.230]  Yes, that's my problem.
[00:04:29.091 --> 00:04:29.412]  Would you?
[00:04:30.714 --> 00:04:33.758]  Again, I can't even begin to guess what I would do.
[00:04:33.978 --> 00:04:39.706]  Bateman is only the latest to join the ever-expanding Rogues Gallery antagonizing the Second Amendment.
[00:04:40.106 --> 00:04:46.391]  I know it's really cool to go on YouTube and talk about your chest rig and about your hollow points and all this and that, and it's fine if you want to have that.
[00:04:46.791 --> 00:04:49.633]  My issue is, that's not going to stop the current legislation.
[00:04:49.873 --> 00:04:56.959]  You need to pick up the phone, you need to call a constitutional sheriff, you need to get on regulations.gov and tell the ATF you don't want these measures.
[00:04:57.399 --> 00:05:07.667]  If your mayor and your mayors-to-be are not a part of Bloomberg's gun-grabbing group, make sure that they don't join Bloomberg's gun-grabbing group, or you get a situation just like we have right here in Austin, Texas.
[00:05:08.390 --> 00:05:14.554]  I've got a proclamation on behalf of the Mayor and City Council that we want to present, but I want to say a couple of words, and I'll be brief.
[00:05:15.335 --> 00:05:26.122]  First of all, to the gentleman that's dying for attention, someone needs to inform him that there is no gun ban currently, but because of the work that we're doing here today,
[00:05:26.998 --> 00:05:28.939]  We will make your side legitimate shortly.
[00:05:56.818 --> 00:05:59.481]  I'm Jakari Jackson for the Info Wars Nightly News.
[00:06:01.323 --> 00:06:07.089]  One thing that I think is clear with young people and with adults as well is that we just have to be repetitive about this.
[00:06:07.129 --> 00:06:11.754]  It's not enough to simply have a catchy ad on a Monday and then only do it every Monday.
[00:06:11.814 --> 00:06:18.702]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[00:06:20.373 --> 00:06:30.824]  Hi, I'm InfoWars reporter Leigh-Anne McAdoo, and as we age, it is inevitable that we may experience a slowdown in vitality, energy, sexual drive, and overall well-being.
[00:06:31.324 --> 00:06:40.574]  The reality is that in addition to the natural aging process, the experts admit that our body is continually being hit with a barrage of what's known as gender-bending chemicals.
[00:06:40.894 --> 00:06:42.155]  And that's just for starters.
[00:06:42.656 --> 00:06:45.678]  So avoiding these chemicals has always been really important to me.
[00:06:45.959 --> 00:06:50.182]  And that's why I was so excited to speak with Dr. Edward Group about what's really going on.
[00:06:50.623 --> 00:06:53.465]  Specifically, to find a solution to the root issue.
[00:06:54.106 --> 00:07:00.952]  And what I found was that as experts around the world are now revealing, core hormone levels in many men and women are dropping.
[00:07:01.272 --> 00:07:02.293]  But especially men.
[00:07:02.793 --> 00:07:07.377]  Testosterone, growth hormone, DHEA, all are being affected.
[00:07:08.038 --> 00:07:08.719]  We're good to go.
[00:07:23.154 --> 00:07:29.756]  Super Male Vitality is designed to aid the body in ways that may support normal testosterone levels in men.
[00:07:30.136 --> 00:07:35.038]  Focus on improving your sexual vitality with the stimulation of libido and sex drive.
[00:07:35.358 --> 00:07:40.920]  Deliver hard-hitting benefits while completely free of GMOs, gluten, and harmful ingredients.
[00:07:41.400 --> 00:07:45.284]  And it's all made here in the USA and supports our operation.
[00:07:45.785 --> 00:07:46.386]  Single men.
[00:07:46.886 --> 00:07:47.487]  Married men.
[00:07:47.967 --> 00:07:53.273]  I recommend that you get a hold of Infowarslife.com's Super Male Vitality today.
[00:07:53.293 --> 00:07:55.556]  And your woman won't be disappointed.
