[00:00:17.534 --> 00:00:19.376]  You want to fight?
[00:17:26.801 --> 00:17:35.807]  And finally, one last story on our government brainwashing camps as a father wants to change the school dress code after his son is asked to remove his Marines t-shirt.
[00:17:35.827 --> 00:17:39.869]  Apparently an Illinois father wants a school district to reconsider the dress code and
[00:17:40.209 --> 00:17:46.536]  After his kid was threatened with suspension for wearing a Marines t-shirt that had two interlocking rifles on the front.
[00:17:46.837 --> 00:17:50.421]  The rifles were considered problematic and had to be removed from sight.
[00:17:50.801 --> 00:17:54.826]  So they told the kid they would suspend him unless he turned his t-shirt inside out.
[00:17:55.226 --> 00:18:08.631]  And he's worn the t-shirt to school many times before without any incident, but now that they're changing their tune after Sandy Hook, now all guns in schools are bad, and schools are just going to brainwash on whatever the establishment's new agenda is this week.
[00:18:08.971 --> 00:18:14.553]  And actually, for more on that after this break, I'll be talking with Dr. Kathryn Albrecht about the RFID programs in schools.
[00:18:14.893 --> 00:18:17.554]  But first, let's look at the quote of the day.
[00:18:18.474 --> 00:18:23.996]  By the 2030s, the non-biological portion of our intelligence will predominate.
[00:18:25.186 --> 00:18:30.568]  Geez, well I think by 2030 there'll just be a giant floating Zardoz head spitting guns out everywhere.
[00:18:31.848 --> 00:18:42.712]  How about it's 2013 and we revel in our humanity and basically keep fighting against these crazy globalist technocrats and their sad disdain for humanity, which just pretty much makes me sick.
[00:18:43.252 --> 00:18:45.472]  And that's it for tonight's portion of the main news.
[00:18:45.512 --> 00:18:46.993]  Stick around after the break for the interview.
[00:18:51.237 --> 00:18:54.519]  ProPure is introducing ProOne.
[00:18:55.140 --> 00:18:59.283]  All of your filtration in one system, portable, on the go.
[00:19:00.044 --> 00:19:03.766]  This is the ProOne by ProPure.
[00:19:04.046 --> 00:19:05.267]  You wanted it, you got it.
[00:19:05.648 --> 00:19:10.551]  No more do you have two or three filters to just reduce sodium fluoride.
[00:19:11.052 --> 00:19:17.597]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:19:18.417 --> 00:19:30.485]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:19:31.386 --> 00:19:34.648]  It cuts out the acid derivative of fluoride.
[00:19:34.988 --> 00:19:42.453]  It is the only one that does it and out of the gates we have it discounted at 10% off with promo code water.
[00:19:43.334 --> 00:20:01.981]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:20:02.561 --> 00:20:05.603]  This is a revolution against the tyrants.
[00:20:05.923 --> 00:20:11.487]  They love putting the toxic acid base of fluoride into your water.
[00:20:11.527 --> 00:20:18.912]  They love the fact that it's an adjuvant supercharging the trace Prozac in the water and the hormones and the other chemicals.
[00:20:19.453 --> 00:20:27.799]  By cutting out fluoride, you cut out the turbocharger in all the poison being artificially introduced into your body.
[00:20:28.499 --> 00:20:29.619]  This is what I use.
[00:20:30.100 --> 00:20:30.920]  It's a win-win.
[00:20:31.260 --> 00:20:33.401]  You get a high-quality product at the lowest price.
[00:20:33.681 --> 00:20:34.961]  You support the Infowar.
[00:20:35.282 --> 00:20:41.084]  Get your Pro-Pure with the new Pro-1 filters today at InfowarStore.com or by calling 888-253-3139.
[00:20:48.277 --> 00:20:52.439]  InfoWars.com is proud to introduce the new InfoWars skateboards by Alien Workshop.
[00:20:52.979 --> 00:20:54.980]  Skaters have always been against the grain socially.
[00:20:55.280 --> 00:20:56.621]  Now wake up your friends politically.
[00:20:56.961 --> 00:20:58.562]  Just go to InfoWarsStore.com.
[00:20:58.862 --> 00:21:00.623]  We have Divide and Conquer or Brainwashing.
[00:21:01.043 --> 00:21:06.486]  Then take your deck to your local skate shop, pick out your own trucks, your own wheels, and then hit the streets and wake some people up.
[00:21:06.866 --> 00:21:08.667]  Here is legendary skateboarder Jake Nunn.
[00:21:09.087 --> 00:21:11.388]  This one has a lot more concave than I have on my board.
[00:21:11.628 --> 00:21:12.469]  And I like concave.
[00:21:12.789 --> 00:21:14.670]  It makes it easier to turn and feel the board.
[00:21:15.450 --> 00:21:15.930]  It's pretty cool.
[00:21:15.990 --> 00:21:17.351]  I mean, it's almost the same shape as mine.
[00:21:18.291 --> 00:21:19.992]  It's not really a sport, and it's not really art.
[00:21:20.672 --> 00:21:22.333]  It's just kind of freedom, you know?
[00:21:22.633 --> 00:21:25.834]  I've listened to Alex Jones for a long time, and I love what InfoWars does.
[00:21:26.194 --> 00:21:27.555]  I've always loved the Alien Workshop, too.
[00:21:27.575 --> 00:21:29.296]  I think it's kind of cool you guys got together.
[00:21:30.296 --> 00:21:31.077]  This one's pretty nice.
[00:21:31.097 --> 00:21:34.378]  Definitely one for the wall, one for the collection.
[00:21:35.158 --> 00:21:35.899]  Also good to skate.
[00:21:36.619 --> 00:21:40.321]  Get these limited edition decks at InfoWarsStore.com.
[00:21:41.021 --> 00:21:41.641]  This is Jake Nunn.
[00:21:41.941 --> 00:21:44.983]  Get these beautiful new skateboards at InfoWars.com.
[00:21:45.523 --> 00:21:46.824]  Alien Workshop collaboration.
[00:21:47.124 --> 00:21:47.544]  Good stuff.
[00:21:52.185 --> 00:21:57.707]  We are back and I'm here with Dr. Kathryn Albrecht of the Dr. Kathryn Albrecht Show from 4 to 6 p.m.
[00:21:57.807 --> 00:22:00.047]  Eastern on the Genesis Communications Network.
[00:22:00.527 --> 00:22:15.091]  She's a dynamic radio personality and she's written six books and videos including the best-seller Spy Chips, How Major Corporations and Government Plan to Track Your Every Move with RFID, and The Spy Chips Threat, Why Christians Should Resist RFID and Electronic Surveillance.
[00:22:15.691 --> 00:22:17.292]  So, thanks for joining us today.
[00:22:17.312 --> 00:22:17.632]  Thank you, Lissa.
[00:22:17.672 --> 00:22:19.332]  I'm really happy to be here in Austin.
[00:22:19.472 --> 00:22:21.593]  It's a lot of fun to be in Texas right now.
[00:22:21.653 --> 00:22:24.735]  A lot of things are going on in this state.
[00:22:24.775 --> 00:22:28.137]  It looks like on Monday you went to a public forum about the RFID.
[00:22:28.357 --> 00:22:38.043]  Yeah, unfortunately, as much as I love Texas, you guys are at the epicenter of a pretty nasty attack that's going on right now, and that is the tagging of school kids with
[00:22:38.203 --> 00:22:38.563]  We're good.
[00:22:58.488 --> 00:22:58.908]  We're good.
[00:23:17.462 --> 00:23:21.586]  And we were given a three-hour interview and tour of their facilities.
[00:23:21.726 --> 00:23:22.847]  Very small facilities.
[00:23:22.907 --> 00:23:24.648]  It sounds like it's a big manufacturing plant.
[00:23:24.668 --> 00:23:25.289]  It actually wasn't.
[00:23:26.470 --> 00:23:33.456]  During that, we actually got to see, he pulled up, Mike White, the creator of this product, pulled up a screen.
[00:23:33.476 --> 00:23:39.601]  And I have to tell you, Melissa, it was one of the most frightening things I think I've ever seen in terms of what the future's going to look like.
[00:23:40.201 --> 00:23:41.862]  So let me tell you what the future looks like.
[00:23:42.362 --> 00:23:49.345]  So each of these children is wearing a battery, button battery containing RFID transmitting beacon.
[00:23:49.425 --> 00:23:50.666]  It's active RFID.
[00:23:51.006 --> 00:23:59.510]  So unlike the other RFID that I've been fighting all these years that doesn't have a battery in it and you have to have a reader to pick it up, this actually transmits a signal.
[00:23:59.870 --> 00:24:08.923]  So every 25 seconds it sends out a little burst of electromagnetic energy that contains a unique ID signal in it.
[00:24:08.983 --> 00:24:10.044]  So it's a unique ID number.
[00:24:10.605 --> 00:24:15.092]  This pulse that goes out from these children has anywhere from a 75 foot to a 300 foot read range.
[00:24:16.934 --> 00:24:22.056]  So each child is sitting in the center of their own sort of electromagnetic cloud of data.
[00:24:22.096 --> 00:24:24.978]  But they're also getting rained on by the other children they're sitting next to.
[00:24:25.038 --> 00:24:25.618]  Exactly.
[00:24:25.818 --> 00:24:29.360]  So the entire school has now become this sort of emitting, you know, from a health perspective.
[00:24:29.380 --> 00:24:30.840]  You're just being bathed in energy all the time.
[00:24:30.860 --> 00:24:33.141]  It certainly raises real issues from a health perspective.
[00:24:33.161 --> 00:24:35.823]  And actually, let me address this really quickly while we're talking about it.
[00:24:36.463 --> 00:24:39.924]  As your viewers may be aware, I am a breast cancer survivor.
[00:24:39.944 --> 00:24:43.366]  I went through a very difficult two-year journey battling breast cancer.
[00:24:43.706 --> 00:24:44.006]  Thank you.
[00:24:59.196 --> 00:25:07.205]  Who are wearing an electromagnetic beacon literally between their developing breasts that is sending out this pulse every 25 seconds throughout the day.
[00:25:07.726 --> 00:25:13.472]  We calculated, I'm trying to remember how many hundreds of thousands of exposures this wound up to be but it was an immense number.
