[00:00:02.981 --> 00:00:05.382]  Ah, Christmas music!
[00:01:57.439 --> 00:02:03.925]  And I am here to let you all know that I agree with restricting the First Amendment
[00:02:06.198 --> 00:02:31.329]  On this Christmas day, now that country bumpkin, pumpkin-headed, redneck, filthy, gigantic, ape-like Texan, who looks like a gorilla at feeding time at the zoo, has seen a giant bucket full of bananas, as he desires to be free upon the land, living in liberty, and not in my greater dungeon.
[00:02:33.596 --> 00:02:37.922]  I heard that, that poor scene.
[00:02:37.922 --> 00:02:42.167]  Pimp of freedom, promoting the night before Christmas.
[00:02:43.956 --> 00:02:59.124]  And so I have demanded of my slave that he complete the night before Christmas and come back to you live on the other side of this Christmas Day audition the 25th of December 2013.
[00:02:59.124 --> 00:03:03.106]  And know that in 2014 we will get your guns.
[00:03:03.106 --> 00:03:05.768]  There will be more stage shootings.
[00:03:05.768 --> 00:03:07.609]  We will start more wars.
[00:03:07.609 --> 00:03:10.811]  We will fund out kind of gut every Christian in Africa.
[00:03:11.591 --> 00:03:15.613]  North Africa into the Maghreb of the Middle East.
[00:03:15.613 --> 00:03:19.115]  And our hellish forces will rise.
[00:03:19.115 --> 00:03:21.456]  And we will talk in a trendy voice.
[00:03:21.456 --> 00:03:24.138]  So that you think we're non-threatening.
[00:03:24.138 --> 00:03:27.960]  That our true aim is total domination.
[00:03:27.960 --> 00:03:29.160]  Excuse me.
[00:03:29.160 --> 00:03:32.522]  I'm trendy and genteel.
[00:03:32.522 --> 00:03:35.704]  And in the firearms.
[00:03:35.704 --> 00:03:37.705]  So that we might be trendy.
[00:03:39.626 --> 00:03:41.808]  Okay, my friend.
[00:03:41.808 --> 00:03:47.433]  Let me bound your arms and legs, excuse me, so that we might be friendly.
[00:03:47.433 --> 00:03:52.498]  And so that we won't be turning off our arms in the palace structure.
[00:03:52.498 --> 00:03:55.741]  We won't be backing off at the least in any way.
[00:03:58.624 --> 00:04:02.168]  Again, as I said, we're going to give you a break in a moment.
[00:04:02.168 --> 00:04:04.310]  And just remember, the state is God.
[00:04:04.310 --> 00:04:08.634]  Don't resist, don't speak up, don't get angry or raise your voice.
[00:04:08.634 --> 00:04:09.916]  Oh, that discredits you!
[00:04:09.916 --> 00:04:11.577]  Don't do that!
[00:04:11.577 --> 00:04:13.579]  That is exactly what will defeat us.
[00:04:13.579 --> 00:04:17.563]  I mean, excuse me, a rare truthfulness.
[00:04:17.563 --> 00:04:20.787]  I should have had Alex back on, but I didn't because we defeated him so badly.
[00:04:20.787 --> 00:04:21.788]  Record ratings for us.
[00:04:22.348 --> 00:04:25.955]  We didn't have him back on because he discredited himself so well!
[00:04:25.955 --> 00:04:28.640]  And we don't want to have him discredit himself again!
[00:04:30.643 --> 00:04:31.704]  No, no.
[00:04:31.704 --> 00:04:32.464]  No, no.
[00:04:32.464 --> 00:04:35.026]  Not more of that blasphemous music.
[00:04:35.026 --> 00:04:36.927]  Turn it off!
[00:04:36.927 --> 00:04:37.867]  Now!
[00:04:37.867 --> 00:04:41.089]  That is a dera... You there in the control room!
[00:04:41.089 --> 00:04:51.216]  I will shut that racist, bigoted... Knives on a chalkboard, shut it down!
[00:04:51.216 --> 00:04:55.338]  There's nothing worse than a redneck pumpkinhead...
[00:04:57.099 --> 00:04:58.140]  The facts are in.
[00:04:58.140 --> 00:04:59.520]  The studies are legion.
[00:04:59.520 --> 00:05:07.044]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:05:07.044 --> 00:05:10.866]  So why are the social engineers adding it to the water?
[00:05:10.866 --> 00:05:11.447]  Simple.
[00:05:11.447 --> 00:05:16.169]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:05:16.169 --> 00:05:21.612]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:05:21.892 --> 00:05:27.416]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield formulation.
[00:05:27.416 --> 00:05:38.204]  Fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:05:38.204 --> 00:05:40.045]  Let's take a stand against the globalists.
[00:05:40.185 --> 00:05:42.787]  By blocking their poisons with Fluoride Shield.
[00:05:42.787 --> 00:05:44.948]  I use Fluoride Shield everyday.
[00:05:44.948 --> 00:05:50.492]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:05:50.492 --> 00:05:54.896]  Let's start cleansing our bodies now and support the Info War at the same time.
[00:05:54.896 --> 00:05:56.177]  That's InfoWarsLife.com
[00:05:56.957 --> 00:06:02.761]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:06:02.761 --> 00:06:10.146]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:06:10.146 --> 00:06:13.508]  Radioactive contamination is now in most of the food supply.
[00:06:13.508 --> 00:06:15.249]  There's only two ways to avoid this.
[00:06:15.529 --> 00:06:20.172]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:06:20.172 --> 00:06:23.094]  Looking to protect my family, I've done deep research.
[00:06:23.094 --> 00:06:29.059]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:06:29.059 --> 00:06:32.721]  It's made right here in the USA, completely non-GMO.
[00:06:32.721 --> 00:06:37.985]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:06:37.985 --> 00:06:40.967]  Exclusively available at Infowarslife.com.
[00:06:41.187 --> 00:06:47.174]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:06:47.174 --> 00:06:49.336]  Survival Shield Nascent Iodine.
[00:06:49.336 --> 00:06:54.863]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:06:54.863 --> 00:06:56.244]  That's InfoWarsLife.com.
[00:06:57.165 --> 00:07:06.249]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:07:06.249 --> 00:07:14.672]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:14.672 --> 00:07:19.334]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:19.534 --> 00:07:26.318]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:26.318 --> 00:07:33.482]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:33.482 --> 00:07:40.526]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:40.526 --> 00:07:44.869]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:45.009 --> 00:07:45.870]  Is this Christmas music?
[00:08:05.492 --> 00:08:06.774]  This is censored.
[00:08:06.774 --> 00:08:08.576]  This is illegal.
[00:08:08.576 --> 00:08:10.719]  The Alex Jones Show.
[00:08:10.719 --> 00:08:12.741]  Because there is a war on.
[00:08:12.741 --> 00:08:14.684]  For your mind.
[00:08:14.684 --> 00:08:18.128]  Oh come, oh come, Emmanuel.
[00:08:21.909 --> 00:08:27.155]  Report this to her man security immediately.
[00:08:27.155 --> 00:08:34.064]  If they are allowed to have any culture pre-globalist, they will resist us.
[00:08:34.064 --> 00:08:39.450]  We must eradicate everything until they only worship corporate media.
[00:08:39.450 --> 00:08:40.531]  Kanye West.
[00:08:41.684 --> 00:08:47.007]  And anything other than mindlessness must be banned.
[00:08:47.007 --> 00:08:54.612]  Justin Bieber must be the signet, the hero.
[00:08:54.612 --> 00:09:02.757]  If they look upwards to the stars, if they honor trailblazers, they will escape us undoubtedly.
[00:09:08.397 --> 00:09:12.727]  Oh, we just broke in there, ladies and gentlemen, took over from the New World Order.
[00:09:12.727 --> 00:09:18.880]  That's part of our fairness doctrine, though, is to give them some of their own time.
[00:09:21.035 --> 00:09:27.841]  To let the establishment come out and basically promote their own ideas.
[00:09:27.841 --> 00:09:34.266]  And then we'll go back into promoting our ideas, which are liberty, freedom, human empowerment, and the fact that you have free will.
[00:09:34.266 --> 00:09:40.632]  Doesn't mean I have to agree with your lifestyle or what you stand for, as long as you don't try to control my life and tell me what to do.
[00:09:41.232 --> 00:09:53.295]  The problem is, in the name of equality, the system has created an incredible police state where they can hide their failures, cover up their lies, and then demonize those that are engaged in any type of opposition to what they're up to.
[00:09:53.295 --> 00:09:55.756]  You know, I talked about this yesterday.
[00:09:55.756 --> 00:09:58.937]  It is, by the way, again, Christmas Day, ladies and gentlemen.
[00:09:59.724 --> 00:10:05.050]  And if you were listening in the last segment, that was not really Piers Morgan, that was yours truly.
[00:10:05.050 --> 00:10:20.105]  Having a little bit of fun, because when I end up taping these special broadcasts for days like Christmas, we're not live, but at least it's original, I tend to do it at night after I've been working a long day, and well, I'm a little bit less
[00:10:21.204 --> 00:10:23.725]  Inhibited in the evening and have some fun.
[00:10:23.725 --> 00:10:26.705]  Because you've got to have gallows humor with all of this.
[00:10:26.705 --> 00:10:30.826]  You've got to do it or you would literally go crazy.
[00:10:30.826 --> 00:10:34.387]  But I see articles like this that I mentioned yesterday from Reuters.
[00:10:34.387 --> 00:10:37.068]  Super bug bacteria widespread in U.S.
[00:10:37.068 --> 00:10:38.188]  chicken.
[00:10:38.188 --> 00:10:46.870]  Consumer group has done a study and shows about half of the raw chicken breasts in nationwide sampling carried antibiotic resistant super bug bacteria.
[00:10:48.502 --> 00:10:49.002]  A U.S.
[00:10:49.002 --> 00:10:55.804]  consumer group said on Thursday, calling for stricter limits on the use of medicines on livestock.
[00:10:55.804 --> 00:11:08.208]  It could make it more difficult to treat people if they became ill after eating chicken with antibiotic-resistant bacteria, said Consumer Reports, which describes itself as the world's largest independent product testing organization.
[00:11:08.208 --> 00:11:11.169]  And let me just give you this gift on Christmas here.
[00:11:11.169 --> 00:11:13.890]  I'm thankful for a lot of things.
[00:11:13.890 --> 00:11:14.310]  And it's this.
[00:11:16.806 --> 00:11:31.209]  The globalists know full well what they're doing and they're trying to produce super plagues naturally through antibiotics and over vaccination that they can then blame basically on a organic outbreak.
[00:11:31.209 --> 00:11:33.570]  That is a natural outbreak.
[00:11:33.570 --> 00:11:39.671]  So they don't get the final comeuppance and don't get the karmic weight of it.
[00:11:39.671 --> 00:11:42.212]  And again, that's their mindset, their view of it.
[00:11:43.550 --> 00:11:48.853]  A lot of them have written this, but they say the super plugs are coming and it's going to wipe everything out.
[00:11:48.853 --> 00:11:56.136]  And my issue is, I have had a cousin die, my uncle be extremely ill in the hospital for weeks.
[00:11:56.136 --> 00:12:00.739]  And I've seen a lot of people outside of Texas I know die.
[00:12:00.739 --> 00:12:02.760]  And they've done the actual swabs.
[00:12:03.945 --> 00:12:09.089]  And sent them off to all different private groups, you name it, the CDC won't return them.
[00:12:09.089 --> 00:12:20.838]  I've talked to the doctors, I won't tell them what it is, but private labs have tested it, and it's some type of drug-resistant, antibiotics-resistant, microplasm, or microscopic, micro-microbacteria, basically.
[00:12:20.838 --> 00:12:23.280]  Protobacteria.
[00:12:23.280 --> 00:12:29.985]  And then I'm seeing articles saying, oh, it's flu, we think it's the flu, but then I even know people in the hospitals they're talking about.
[00:12:31.158 --> 00:12:34.984]  In Tyler, Texas, outside Houston and other places.
[00:12:34.984 --> 00:12:37.908]  So South Texas, Northeast Texas, Tyler.
[00:12:39.002 --> 00:12:40.643]  I have family and friends that are in these.
[00:12:40.643 --> 00:12:41.884]  I know they've done the test.
[00:12:41.884 --> 00:12:43.265]  They do the flu test a couple days.
[00:12:43.265 --> 00:12:44.425]  They didn't the flu.
[00:12:44.425 --> 00:12:45.846]  They can't find regular bacteria.
[00:12:45.846 --> 00:12:47.287]  They can't find other viruses.
[00:12:47.287 --> 00:12:48.988]  It's a microplasm.
[00:12:48.988 --> 00:12:52.330]  And then I'm reading, oh my gosh, you know, it's the flu.
[00:12:52.330 --> 00:12:55.672]  Go get the flu shot, which only lowers your immune system in the major studies.
[00:12:55.672 --> 00:12:58.094]  They never guess a year before the right flu.
[00:12:58.094 --> 00:13:00.655]  And if you don't guess the right one, it doesn't do anything.
[00:13:00.655 --> 00:13:01.276]  It's a fraud.
[00:13:02.145 --> 00:13:07.408]  This is a government caught in all this secret testing against the population over and over and over again.
[00:13:07.408 --> 00:13:12.551]  So why on earth would we believe anything they say or do now?
[00:13:12.551 --> 00:13:25.940]  And then, I read about how half the chicken, that means you leave it on your countertop, you touch it, whatever, it makes salmonella look tame, have bacteria where the chickens have been fed the most powerful antibiotics to even make their kidneys fail.
[00:13:27.228 --> 00:13:44.556]  So that in these infested, hellish, giant facilities where they can have a million birds in one building, where the people that work there wear respirators because of all the ammonia, the urine, and the feces, and these animals in hellish conditions, all of this factory farming is going to come back on us, the humans.
[00:13:44.556 --> 00:13:52.460]  You create an artificial environment where they're even breeding chickens that don't have beaks, they're cutting their beaks off, they don't even have proper legs, they're in tiny cages being force-fed.
[00:13:53.325 --> 00:14:00.930]  You know, and you pay a dollar less or something for a chicken that's bred like this and live like this instead of getting an open range one?
[00:14:00.930 --> 00:14:06.153]  And I'm not some big animal rights activist, but I'm telling you folks, what you do to little things comes back on you.
[00:14:06.153 --> 00:14:11.256]  And I am for humane raising them, animals, open air, and then humane slaughter.
[00:14:11.256 --> 00:14:13.498]  And that's something that you can say that's truly liberal.
[00:14:14.582 --> 00:14:15.623]  You reap what you sow.
[00:14:15.623 --> 00:14:18.364]  What you do to things comes back on you.
[00:14:18.364 --> 00:14:25.008]  And now they are feeding them these antibiotics to stop the super plagues of bacteria, viruses, mites.
[00:14:25.008 --> 00:14:30.971]  I mean, I have been in turkey plants because I work for large animal vets and stuff and had buddies that worked at them.
[00:14:30.971 --> 00:14:32.072]  They would say, look at this.
[00:14:32.072 --> 00:14:33.553]  And I mean, I've been inside of them.
[00:14:33.553 --> 00:14:36.895]  And it is a concentration camp from hell.
[00:14:38.217 --> 00:14:46.243]  I mean, and look, I'm somebody that's been in a cow slaughterhouse, and they bring them in, they're all scared, they hit them with big gas-powered, you know, air-powered jacks in the head.
[00:14:46.243 --> 00:14:50.466]  That I can handle, because we're slaughtering animals, we're eating them, at least they die in a few minutes.
[00:14:50.466 --> 00:14:53.749]  And that's still inhumane, and I don't like it.
[00:14:53.749 --> 00:14:57.872]  It's a lot better on the farm, where you take a cow, they don't know it's coming, you shoot them in the head, haul them up, and butcher them.
[00:14:57.872 --> 00:14:58.653]  They die instantly.
[00:15:00.069 --> 00:15:05.111]  But the issue here is they want to ban that instead of all the big factory farms.
[00:15:05.111 --> 00:15:14.694]  And it's the factory farms actually lobbying in Europe and here to shut down regular family farms, the regulations, which is more humane so their operations can operate.
[00:15:14.694 --> 00:15:17.795]  And I'm telling you, that's where this type of plague is coming from.
[00:15:19.753 --> 00:15:22.254]  I want to be thankful on Christmas Day.
[00:15:22.254 --> 00:15:24.055]  I want to be thankful for my family.
[00:15:24.055 --> 00:15:25.816]  I want to be thankful for my health.
[00:15:25.816 --> 00:15:29.878]  I want to be thankful to my God and Creator, Jesus Christ, for consciousness.
[00:15:29.878 --> 00:15:39.383]  I want to be thankful for my forebearers who weren't perfect, but were trailblazers in liberty and brought us the freest, most wealthy country in world history, that of course got overrun by the corrupt.
[00:15:39.383 --> 00:15:42.425]  They always take over whatever's the most powerful to use as their own system.
[00:15:43.959 --> 00:15:49.646]  And I want to be thankful for all of you out there that have supported us over the years, and we just couldn't do any of this without you.
[00:15:49.646 --> 00:16:02.041]  And I am a cracked and failed vessel in many levels, but I'm still willing, and I'm stupid and ignorant like Private Joker, but I've got guts, and guts is enough to quote Full Metal Jacket and the great Stanley Kubrick.
[00:16:03.064 --> 00:16:05.605]  So, to all of you, I hope you've had a great Christmas.
[00:16:05.605 --> 00:16:06.645]  Spend it with your family.
[00:16:06.645 --> 00:16:09.066]  I'm honored you're tuning in on Christmas Day.
[00:16:09.066 --> 00:16:18.088]  To all our friends in the alternative media, and you know who you are, thank you so much for all you've done for us, and the pitiful things I'm up to half the time.
[00:16:18.088 --> 00:16:30.711]  But everyone's recognized that infowars and our crew, though pitiful at times, have also reached the heights of the stars in human liberty, and have really been uncensored and unscripted, and have done some amazing things together.
[00:16:31.613 --> 00:16:40.939]  And so I have just been absolutely, incredibly, dynamically honored to be here and to talk to you.
[00:16:40.939 --> 00:16:45.462]  And 2013 has been a great year for liberty, but a horrible year for tyranny.
[00:16:45.462 --> 00:16:47.263]  The best of times, the worst of times.
[00:16:47.263 --> 00:16:49.785]  For every action, there's an equal and opposite reaction.
[00:16:49.785 --> 00:16:52.927]  And we've seen all of that demonstrated here this year.
[00:16:54.147 --> 00:17:02.871]  And we're really seeing the authoritarianism of the so-called left right now, who are about as left, about as liberal as Hitler.
[00:17:02.871 --> 00:17:04.652]  Who, by the way, was a socialist.
[00:17:04.652 --> 00:17:05.752]  These terms mean nothing.
[00:17:05.752 --> 00:17:06.833]  It's about freedom.
[00:17:06.833 --> 00:17:08.234]  It's about slavery.
[00:17:08.234 --> 00:17:12.115]  It's about authoritarians and it's about libertarians.
[00:17:12.115 --> 00:17:15.917]  It's about autocrat control freaks and it's about people lovers.
[00:17:15.917 --> 00:17:17.318]  Man, I love people.
[00:17:18.306 --> 00:17:19.607]  I love black people.
[00:17:19.607 --> 00:17:21.268]  I love old people.
[00:17:21.268 --> 00:17:22.548]  I love white people.
[00:17:22.548 --> 00:17:24.069]  I love young people.
[00:17:24.069 --> 00:17:25.370]  I love people from Europe.
[00:17:25.370 --> 00:17:27.070]  I love people from Asia.
[00:17:27.070 --> 00:17:28.791]  I love people from Latin America.
[00:17:28.791 --> 00:17:31.853]  I love people from the North Pole.
[00:17:31.853 --> 00:17:32.953]  I love straight people.
[00:17:32.953 --> 00:17:34.394]  I love gay people.
[00:17:34.394 --> 00:17:36.015]  I like everybody.
[00:17:36.015 --> 00:17:42.618]  But I don't like the system claiming it represents different groups and playing us off against each other.
[00:17:42.618 --> 00:17:47.581]  And I have had enough of people trying to govern my life and your life.
[00:17:47.961 --> 00:17:50.903]  And I'm just here, not claiming I got all the answers.
[00:17:50.903 --> 00:17:54.626]  But I'm here to tell you, the establishment has the answers.
[00:17:54.626 --> 00:17:59.270]  The answer to their technotronic, technological, technocratic takeover.
[00:17:59.270 --> 00:18:01.631]  And it's an answer that we aren't part of.
[00:18:01.631 --> 00:18:03.673]  It's an equation we don't exist in.
[00:18:03.673 --> 00:18:04.534]  And it's a fraud.
[00:18:05.194 --> 00:18:10.596]  And these people are the last individuals that should be running our society.
[00:18:10.596 --> 00:18:21.261]  So whether you're an atheist or an agnostic, Jewish, Muslim, Christian, Zoroaster, Hindu, Buddhist, or a
[00:18:23.151 --> 00:18:26.674]  Globalist Minion, I care about you and want you to have a future.
[00:18:26.674 --> 00:18:42.726]  But if you're a transhumanist, anti-human, technocrat, control freak that thinks they're better than everybody, and has an overriding instinct to dominate and destroy diversity in the name of diversity, and override us with your plastic corporate garbage, I got some news for you.
[00:18:42.726 --> 00:18:49.191]  As for me and mine, we know who you are, we know where you come from, and we know where you live.
[00:18:49.191 --> 00:18:51.332]  Just like you know where we live with the NSA.
[00:18:52.253 --> 00:18:55.896]  It's a small world and everybody knows where everybody lives.
[00:18:55.896 --> 00:18:58.878]  And you're not gonna turn something like this loose.
[00:18:58.878 --> 00:19:03.100]  You're not gonna bring in a tyranny like this and get away with it.
[00:19:03.100 --> 00:19:12.307]  And in your bones, and in your guts, and in your sinew, you know that that is the case.
[00:19:12.307 --> 00:19:14.068]  And as one human to another,
[00:19:14.804 --> 00:19:17.265]  Man to man, I'm telling you!
[00:19:17.265 --> 00:19:18.945]  Stop cheating humanity!
[00:19:18.945 --> 00:19:21.186]  Stop cheating your ancestors!
[00:19:21.186 --> 00:19:23.387]  Stop cheating this species!
[00:19:23.387 --> 00:19:28.628]  Because you will NEVER get away with the crap you've pulled!
[00:19:28.628 --> 00:19:42.613]  InfoWars.com on this Christmas Day, worldwide edition, playing the sacrilegious Christian music that makes the statist and their god of the state and all its devilish
[00:19:43.633 --> 00:19:46.778]  Production, all its devilish fruit, get angry.
[00:19:46.778 --> 00:19:49.622]  Yesterday, I only read about a third of The Night Before Christmas.
[00:19:49.622 --> 00:19:54.449]  When we come back, I'll attempt to read the whole thing unfettered, with limited commentary.
[00:19:54.449 --> 00:19:55.310]  Straight ahead!
[00:19:57.512 --> 00:19:58.533]  The facts are in.
[00:19:58.533 --> 00:19:59.933]  The studies are legion.
[00:19:59.933 --> 00:20:07.437]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:20:07.437 --> 00:20:11.279]  So why are the social engineers adding it to the water?
[00:20:11.279 --> 00:20:11.860]  Simple.
[00:20:11.860 --> 00:20:16.562]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:20:16.562 --> 00:20:22.305]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:20:22.305 --> 00:20:25.147]  I am extremely excited to announce the exclusive info
[00:20:25.467 --> 00:20:26.327]  We're good to go.
[00:20:40.592 --> 00:20:43.193]  By blocking their poisons with fluoride shield.
[00:20:43.193 --> 00:20:45.354]  I use fluoride shield every day.
[00:20:45.354 --> 00:20:50.896]  Secure your fluoride shield and other pioneering formulations at InfoWarsLife.com today.
[00:20:50.896 --> 00:20:55.297]  Let's start cleansing our bodies now and support the Info War at the same time.
[00:20:55.297 --> 00:20:57.078]  That's InfoWarsLife.com.
[00:20:57.854 --> 00:21:04.480]  Ladies and gentlemen, America is more dangerous than ever, with 9 million property crimes last year.
[00:21:04.480 --> 00:21:06.963]  Crimes are happening every day.
[00:21:06.963 --> 00:21:09.985]  Be proactive, and protect your home and family.
[00:21:09.985 --> 00:21:15.070]  SimpliSafe home security system helps guard against criminals, thugs, and thieves.
[00:21:15.070 --> 00:21:20.395]  Listen, SimpliSafe is the absolute best alarm system and company in America today.
[00:21:20.735 --> 00:21:21.797]  Here's why.
[00:21:21.797 --> 00:21:24.400]  We offer a 60-day money-back guarantee.
[00:21:24.400 --> 00:21:29.926]  It's affordable, no contracts to sign, and is built with the latest wireless technology.
[00:21:29.926 --> 00:21:35.693]  SimpliSafe protects the ones you love the most, even if a criminal cuts your power and phone lines.
[00:21:35.973 --> 00:21:40.859]  When you order today, you'll receive a 10% discount along with a free keychain remote.
[00:21:40.859 --> 00:21:41.519]  Don't wait!
[00:21:41.519 --> 00:21:44.242]  This offer is only valid through January 31st.
[00:21:44.242 --> 00:21:48.828]  Take advantage of this special discount offer at GetSimplySafe.com.
[00:21:48.828 --> 00:21:51.070]  That's GetSimplySafe.com.
[00:21:51.070 --> 00:21:55.115]  Protect your home and family now at GetSimplySafe.com.
[00:21:57.017 --> 00:22:02.222]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:22:02.222 --> 00:22:11.592]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:22:11.592 --> 00:22:19.780]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria,
[00:22:20.000 --> 00:22:20.360]  We're good.
[00:22:34.997 --> 00:22:35.477]  Go Berkey!
[00:22:57.702 --> 00:23:05.447]  That's the sound of a .44 Magnum and TraumaMaxx, a high-tech hybrid Kevlar bulletproof vest from InfidelBodyArmor.com.
[00:23:05.447 --> 00:23:07.929]  We'll stop it and most pistol rounds.
[00:23:07.929 --> 00:23:14.754]  TraumaMaxx is a major breakthrough in pistol-rated body armor, and prices start at just $170 per insert.
[00:23:14.754 --> 00:23:19.998]  More protection, more stopping power, more mobility, and it weighs less than 5 pounds.
[00:23:19.998 --> 00:23:22.659]  Get details at InfidelBodyArmor.com.
[00:23:22.659 --> 00:23:25.822]  That's I-N-F-I-D-E-L-BodyArmor.com.
[00:23:26.662 --> 00:23:31.943]  The challenge, creating delicious GMO-free foods with a 25-year shelf life.
[00:23:31.943 --> 00:23:36.544]  The solution, Numena Foods, a pioneer in healthy, storable foods.
[00:23:36.544 --> 00:23:44.126]  Our meals are GMO and gluten-free, contain no MSG, aspartame, or high fructose corn syrup, and we never use chemicals or preservatives.
[00:23:44.126 --> 00:23:46.567]  Just good, healthy food at great prices.
[00:23:46.567 --> 00:23:49.748]  Call us today at 888-597-0775 or visit GMOFreeFoodStorage.com.
[00:23:49.748 --> 00:23:51.788]  That's GMOFreeFoodStorage.com.
[00:24:07.107 --> 00:24:11.928]  Defending the Republic from enemies foreign and domestic.
[00:24:11.928 --> 00:24:13.629]  It's Alex Jones.
[00:24:13.629 --> 00:24:20.971]  Oh, it's hard to turn music like that off.
[00:24:20.971 --> 00:24:27.373]  Even if you don't like Christmas or Christianity, don't you like beauty?
[00:24:27.373 --> 00:24:32.074]  I can go hear some Hindu song or some Jewish song or that Middle Eastern music.
[00:24:32.074 --> 00:24:32.794]  I love that stuff.
[00:24:32.794 --> 00:24:34.375]  I mean, I'm like, oh, that's offensive.
[00:24:34.375 --> 00:24:35.075]  Turn that off.
[00:24:40.802 --> 00:24:44.185]  I love Christmas.
[00:24:44.185 --> 00:24:47.908]  You know, for so long, I was so focused on fighting the New World Order.
[00:24:47.908 --> 00:24:50.491]  They commercialized Christmas so much, I turned my back on it.
[00:24:50.491 --> 00:24:53.793]  But now, more than ever, the older I get, the more I love sentimentality.
[00:24:53.793 --> 00:24:55.975]  The more I love memories.
[00:24:55.975 --> 00:24:58.197]  The family and everything that happens.
[00:24:58.197 --> 00:24:59.118]  Remember...
[00:25:05.711 --> 00:25:07.332]  Alright, look, I butchered this yesterday.
[00:25:07.332 --> 00:25:10.514]  I did about a third of The Night Before Christmas and went into a histrionic rant.
