[00:00:00.089 --> 00:00:07.235]  I'm here.
[00:03:49.431 --> 00:03:54.897]  It's bought and paid for by the very same people at every level.
[00:03:57.840 --> 00:04:05.289]  And Mitt Romney, with the big insurance companies, a decade ago or more, wrote what became Obamacare.
[00:04:07.970 --> 00:04:13.853]  I mean, heaven help us, it's all about rah-rah, I'm in the winning camp, I'm a Democrat, and my guy's in power.
[00:04:13.893 --> 00:04:17.155]  And when a Republican's in power, rah-rah, my guy's in, I'm winning.
[00:04:17.435 --> 00:04:25.359]  Meanwhile, foreign special interests are gutting this country up one side and down the other.
[00:04:26.840 --> 00:04:28.420]  That's what's going on in this nation.
[00:04:28.820 --> 00:04:29.641]  That's what's happening.
[00:04:32.578 --> 00:04:42.666]  And America has just gotten in a position of a bunch of TV-head, iPod-surfing, iPad-surfing people who cannot take action to even save their own future.
[00:04:42.966 --> 00:04:45.548]  There is not an initiative in this country.
[00:04:45.568 --> 00:04:48.230]  101 million people don't work in this country.
[00:04:49.330 --> 00:04:50.571]  Of the supposed workforce.
[00:04:51.692 --> 00:04:55.415]  Basically, close to half the country doesn't work in this country.
[00:04:55.675 --> 00:04:59.438]  And they're now saying, hey, let's enslave the other group and make them serve us.
[00:04:59.478 --> 00:05:00.579]  We'll be back with all the big news.
[00:05:03.658 --> 00:05:09.503]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:05:10.416 --> 00:05:16.300]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:05:17.160 --> 00:05:27.246]  Our most popular silver-based products are the 32-ounce Nano-Silver solutions, our 2-ounce Nano-Silver nasal applicators, as well as our all-natural silver soaps.
[00:05:28.127 --> 00:05:31.409]  Just released is our 100% natural silver gel.
[00:05:32.249 --> 00:05:38.453]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:05:39.173 --> 00:05:49.595]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:05:50.415 --> 00:05:58.137]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[00:05:59.177 --> 00:06:02.118]  That's www.silverlungs.com
[00:06:03.348 --> 00:06:11.612]  Devastating events like earthquakes, tornadoes, floods, hurricanes, or the threat of martial law have highlighted the need for Americans to prepare for emergencies.
[00:06:11.892 --> 00:06:15.354]  As a result, millions are stockpiling food, gold, and weapons.
[00:06:15.574 --> 00:06:19.736]  But how will these items help if you or one of your loved ones becomes ill?
[00:06:20.036 --> 00:06:24.798]  Supernatural silver is the ultimate tool to prepare you for a medical emergency.
[00:06:25.078 --> 00:06:32.582]  Supernatural silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles, and fungus.
[00:06:32.822 --> 00:06:37.424]  And is remarkable for wound care, taken internally or used topically.
[00:06:37.624 --> 00:06:40.406]  It can help keep you safe from deadly pathogens.
[00:06:40.626 --> 00:06:49.190]  Supernatural Silver has over 500 different uses and a long-term shelf life, making it the number one choice of preppers across the country.
[00:06:49.410 --> 00:06:56.373]  To find out how this amazing new technology can help you be prepared, go to SupernaturalSilver.com.
[00:06:56.653 --> 00:07:00.555]  Use the promo code PREPARED for 20% off your entire order.
[00:07:00.775 --> 00:07:01.936]  And like us on Facebook.
[00:07:03.226 --> 00:07:06.269]  You prepare by purchasing gold, food, and firearms.
[00:07:06.629 --> 00:07:12.094]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[00:07:12.674 --> 00:07:15.877]  When you're sleeping or away from home, who's watching out for intruders?
[00:07:16.558 --> 00:07:17.819]  Check out SimpliSafe.
[00:07:18.139 --> 00:07:22.022]  It's a new do-it-yourself home security system that is completely wireless.
[00:07:22.603 --> 00:07:24.645]  Go to GetSimpliSafe.com.
[00:07:25.305 --> 00:07:27.706]  SimpliSafe is independent and off the grid.
[00:07:28.047 --> 00:07:31.829]  It runs on battery power, so even if the grid goes down, you're protected.
[00:07:32.409 --> 00:07:38.552]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[00:07:39.073 --> 00:07:40.574]  Get SimpliSafe.com
[00:07:41.394 --> 00:07:45.598]  SimplySafe is also ridiculously easy to install yourself in under 20 minutes.
[00:07:46.059 --> 00:07:48.241]  So there's no need to let a stranger into your home.
[00:07:48.781 --> 00:07:52.365]  If you move or need to relocate, you can take the system with you wherever you go.
[00:07:52.866 --> 00:07:59.312]  You aren't always at home, but SimplySafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[00:07:59.872 --> 00:08:02.035]  Again, that's GetSimplySafe.com
[00:08:05.990 --> 00:08:08.975]  Crashing through the lies and disinformation.
[00:08:09.576 --> 00:08:13.722]  It's Alex Jones on the GCN Radio Network.
[00:08:25.706 --> 00:08:28.529]  We have a full raft of guests joining us.
[00:08:28.549 --> 00:08:41.284]  Dr. Steve Pichanek, who is on the DMZ, will be with us for about 10 minutes at the bottom of the hour with any updates on the North Korea-South Korea crisis that's continuing to basically escalate.
[00:08:43.120 --> 00:08:50.388]  And then we've got Dan Bongino, the Secret Service agent on, who's gone public defending the Second Amendment.
[00:08:50.429 --> 00:08:53.052]  We've got him popping in on the broadcast.
[00:08:53.812 --> 00:08:57.877]  We've got Mike Glenn, who's obviously known as the Stinger, a very famous basketball player.
[00:08:58.798 --> 00:09:07.160]  To talk about, you know, the real black history and a lot of really interesting things that he's written about in his books and how it ties into modern day things that are happening.
[00:09:07.620 --> 00:09:11.401]  He's also involved with EnforceTeam.com, EnforceHealth.com.
[00:09:11.901 --> 00:09:25.264]  And then I'm going to go into overdrive today with Antonio Buehler, you know, the West Point grad, no criminal record, filmed police grabbing on women and so he simply went over to film it and they got in his face
[00:09:26.449 --> 00:09:27.351]  Grabbed on him.
[00:09:27.931 --> 00:09:30.174]  They've now had a grand jury indict him.
[00:09:31.516 --> 00:09:32.097]  A year later.
[00:09:32.898 --> 00:09:35.822]  Why don't they go indict George Washington or the Bill of Rights?
[00:09:36.283 --> 00:09:38.085]  How about you indict a newborn baby?
[00:09:40.748 --> 00:09:42.689]  You know, cut its spinal cord with a pair of scissors.
[00:09:42.749 --> 00:09:44.851]  I mean, that's what they do every hour in this country.
[00:09:45.231 --> 00:09:49.734]  Babies that are born, out on the table, nine months old, people begging to adopt it, just kill it.
[00:09:51.356 --> 00:09:53.577]  I say, indict all the babies and put them on death row.
[00:09:55.158 --> 00:10:05.626]  Again, you've got the cops going around with high-def sunglasses, videoing us, government breaking into our computers, Google breaking into our computers, all of it illegal.
[00:10:06.306 --> 00:10:10.613]  But they're trying to put people in prison for life in Illinois who film or tape the police.
[00:10:10.894 --> 00:10:12.637]  This is the upside-down world.
[00:10:12.677 --> 00:10:19.308]  By the way, I heard that a police chief, Art Acevedo, wants to come on the broadcast.
[00:10:20.766 --> 00:10:25.748]  Because I guess he heard me talking about how he should move back to Cuba, where they take the guns from the general citizens.
[00:10:25.768 --> 00:10:42.316]  He supposedly fled there as a child with his parents from the tyranny of Cuba, and now he says you shouldn't be able to have a 15-round mag, shut down the gun shows, and he said in his speech, you either go along with this or you're with the criminals.
[00:10:42.596 --> 00:10:47.978]  Hey Art, crimes dropped 49% because of the proliferation of firearms since 1991, FBI's own numbers.
[00:10:50.162 --> 00:10:57.806]  Stop putting out the Southern Poverty Law Center, ADL, Million Mom, you know, 13 Bureaucrat March, 14 Bureaucrat March.
[00:10:57.826 --> 00:10:58.867]  I've been out to these in Austin.
[00:10:59.267 --> 00:11:01.328]  Stop sitting there with all your fake bluster.
[00:11:01.969 --> 00:11:03.510]  You bet I want you to come in here.
[00:11:03.950 --> 00:11:07.352]  Whenever you want this week, come in the studio.
[00:11:07.932 --> 00:11:09.013]  I can't wait.
[00:11:10.080 --> 00:11:10.701]  I can't wait.
[00:11:10.801 --> 00:11:11.542]  Come in studio.
[00:11:11.882 --> 00:11:13.063]  Came up to Jakari Jackson.
[00:11:13.083 --> 00:11:21.050]  They were out there at the 15th bureaucrat and 14th communist march down at the Capitol demonizing the Second Amendment here in Austin, Texas.
[00:11:21.671 --> 00:11:26.716]  And Arte Saavedra came over and said that, you know, he wants to come on and confront me.
[00:11:26.756 --> 00:11:27.456]  Well, come on!
[00:11:27.476 --> 00:11:30.119]  That'll make some good radio, I tell you.
[00:11:30.359 --> 00:11:31.600]  And he's a nice guy, you know.
[00:11:31.640 --> 00:11:31.961]  He's like,
[00:11:33.288 --> 00:11:35.469]  Hey, here's my car and I live over here by you.
[00:11:35.569 --> 00:11:38.150]  You ought to come over to the house and have a beer sometime.
[00:11:38.170 --> 00:11:39.671]  And I'm like, come over and have a beer?
[00:11:39.731 --> 00:11:40.512]  What, drive home?
[00:11:40.532 --> 00:11:42.673]  He said, no, of course not.
[00:11:42.713 --> 00:11:43.373]  Wait a few hours.
[00:11:44.494 --> 00:11:46.014]  Anyways, I like to have a beer.
[00:11:47.335 --> 00:11:55.499]  It's just all anthropology, sociology, as he's here trying to calm the natives and get us to turn in our boomsticks and go on the reservation.
[00:11:55.539 --> 00:11:57.080]  He's going to pat me on the head.
[00:11:57.460 --> 00:11:58.841]  He's definitely a slick one.
[00:12:00.313 --> 00:12:02.013]  A Fed, if I've ever seen one.
[00:12:02.834 --> 00:12:05.414]  And so, we will certainly get him in here.
[00:12:05.514 --> 00:12:07.155]  I'm looking forward to that.
[00:12:09.275 --> 00:12:12.396]  So let's call his office and tell him, Art wants to come in here now.
[00:12:12.856 --> 00:12:13.916]  Bring him in!
[00:12:14.036 --> 00:12:14.936]  Bring him in!
[00:12:15.336 --> 00:12:16.196]  Bring him in!
[00:12:17.977 --> 00:12:24.998]  Speaking of Second Amendment news, Obama to bring some Sandy Hook families on Air Force One.
[00:12:25.038 --> 00:12:27.379]  He had to pimp out the dead children some more.
[00:12:29.065 --> 00:12:32.146]  Or to bring on people that sit there and look and act like actors.
[00:12:32.326 --> 00:12:35.087]  You know, they're sitting there laughing while watching this.
[00:12:35.608 --> 00:12:42.750]  Two seconds later... I mean, it's like, wow, man, my kids have been killed like this.
[00:12:42.870 --> 00:12:47.472]  I'd be saying, you know, why was Adam Lanza on all these psychotropic drugs, which has now come out.
[00:12:47.792 --> 00:12:49.393]  And of course, it's now come out again.
[00:12:49.433 --> 00:12:51.574]  People said last week, oh, it's breaking.
[00:12:51.914 --> 00:12:53.955]  He was on seven psychotropics.
[00:12:54.835 --> 00:12:56.896]  Holmes, the supposed Batman shooter.
[00:12:58.766 --> 00:13:02.092]  Remember, I shot a video saying I thought they'd pull false flags with triggers in the movie.
[00:13:02.453 --> 00:13:05.659]  Then the media asked, why does Alex connect Batman to the last two shootings?
[00:13:06.000 --> 00:13:08.144]  I connected it before it happened!
[00:13:10.233 --> 00:13:13.355]  And it turned out that he was on seven drugs.
[00:13:13.395 --> 00:13:18.938]  That came out early on, but finally it was in the LA Times last week, so now it's official.
[00:13:19.399 --> 00:13:26.683]  Seven psychotropic drugs and then under government psychiatric care with a top Air Force officer.
[00:13:28.584 --> 00:13:30.225]  And he was in a DARPA program.
[00:13:32.327 --> 00:13:37.470]  That was in computer mind interface virtual reality mind control.
[00:13:38.496 --> 00:13:43.841]  And then his dad was involved with the big six megabanks writing key software.
[00:13:43.881 --> 00:13:46.803]  I mean, just talk about the same history, Harris and Kleibold's parents.
[00:13:47.203 --> 00:13:48.464]  They're both involved with DARPA.
[00:13:50.386 --> 00:13:50.987]  Look that up.
[00:13:51.887 --> 00:13:52.668]  Man, I tell you.
[00:13:53.489 --> 00:13:55.911]  Who knows if any of this is even real or true?
[00:13:57.182 --> 00:14:06.066]  By the way, Adan Salazar found two different people from the Batman shooting that are admitted actors.
[00:14:06.407 --> 00:14:10.088]  In fact, some of them are in pretty good-sized movies that were official victims in it.
[00:14:10.829 --> 00:14:11.509]  They're in Aurora.
[00:14:12.449 --> 00:14:15.051]  And I told him back at the time, I said, don't do that report.
[00:14:15.451 --> 00:14:19.253]  We don't need to get off into that because the public just isn't ready for it.
[00:14:21.374 --> 00:14:23.315]  But I want him to go dig those up again.
[00:14:24.577 --> 00:14:30.780]  You've got the promo reels, and it's not like people are saying, hey, this guy's an actor, hey, that guy's an actor, hey, this guy looks alike.
[00:14:30.940 --> 00:14:36.062]  There's a lot of schizophrenics out there that think, you know, I'm Bill Hicks, or whatever, when I'm actually a reptoid.
[00:14:36.102 --> 00:14:37.683]  I mean, come on, we all know the truth.
[00:14:39.564 --> 00:14:44.886]  But expanding, expanding on this, these are people that are admitted actors.
[00:14:45.946 --> 00:14:47.667]  And I don't mean just all these wannabe actors.
[00:14:48.007 --> 00:14:49.248]  I mean, they're really actors.
[00:14:51.138 --> 00:14:53.240]  And they're on the news going, look, I have my pay stub.
[00:14:53.280 --> 00:14:54.661]  Yes, I saw it all.
[00:14:55.221 --> 00:14:57.062]  One guy acted alone.
[00:14:57.523 --> 00:14:59.184]  We need to restrict the Second Amendment.
[00:15:00.004 --> 00:15:04.788]  I mean, they've even had Al-Qaeda out there, you know, with a...
[00:15:07.341 --> 00:15:10.283]  Cut, okay, roll, take three on CNN.
[00:15:10.923 --> 00:15:14.885]  And the Russians were able to de-scramble it and put it out where they're literally going, okay, ready, action.
[00:15:15.605 --> 00:15:18.447]  Okay, soon as I say action, start firing the guns.
[00:15:19.067 --> 00:15:20.388]  Okay, action.
[00:15:20.448 --> 00:15:21.288]  Are you ready, CNN?
[00:15:21.908 --> 00:15:22.609]  Okay, okay.
[00:15:22.629 --> 00:15:25.310]  You know, amateur actors, amateur CIA guys.
[00:15:25.750 --> 00:15:27.091]  We need an actor, Gary.
[00:15:27.471 --> 00:15:28.332]  Right out of Team America.
[00:15:28.792 --> 00:15:29.212]  Hold on.
[00:15:29.352 --> 00:15:30.493]  Okay, I'm ready to go.
[00:15:31.803 --> 00:15:36.287]  Yes, we are here in Syria, where Assad is hurting the children.
[00:15:36.607 --> 00:15:38.749]  And as you can hear, pow, pow, pow, pow, pow, pow, pow.
[00:15:39.309 --> 00:15:40.450]  There are dead here.
[00:15:40.530 --> 00:15:42.112]  Yes, they are killing us.
[00:15:42.412 --> 00:15:43.733]  Help us, America.
[00:15:44.254 --> 00:15:45.535]  Help us, America.
[00:15:45.555 --> 00:15:50.499]  I mean, we did reports on that a year ago.
[00:15:53.933 --> 00:16:06.578]  Where they've got all these fake people out there, just like the babies in the incubators in 1990, and just like all the other lies, where they have the daughter of the PR firm come in there and say that Koresh molested them.
[00:16:06.678 --> 00:16:15.141]  I mean, it just goes on and on and on, to the point of they say, OK, we're going to burn down Dorner, get the fire, set the fire, burn him up.
[00:16:15.261 --> 00:16:16.742]  I want that cabin burnt down.
[00:16:16.962 --> 00:16:17.702]  We have the fire.
[00:16:18.142 --> 00:16:19.083]  We have placed the fire.
[00:16:19.123 --> 00:16:19.983]  The fire is ignited.
[00:16:20.003 --> 00:16:20.723]  We have a fire.
[00:16:21.063 --> 00:16:22.084]  All right, good job, team.
[00:16:23.143 --> 00:16:24.643]  That does not mean we burn that down.
[00:16:24.683 --> 00:16:25.784]  That's a conspiracy theory.
[00:16:26.804 --> 00:16:30.165]  That sounds like the ravings of a fascist.
[00:16:32.085 --> 00:16:33.306]  You guys have got to stop that.
[00:16:33.326 --> 00:16:34.626]  Please, that is funny.
[00:16:39.727 --> 00:16:42.308]  Oh man, you know what sounds like the ravings of a fascist?
[00:16:43.588 --> 00:16:46.589]  Let's queue up this Colorado State Rep.
[00:16:49.036 --> 00:16:54.359]  Where they're giving Secret Service the power to engage in police actions against citizens.
[00:16:55.140 --> 00:16:57.201]  That's federal police with a state bill.
[00:16:57.522 --> 00:16:58.963]  The state being fully federalized.
[00:16:59.523 --> 00:17:00.403]  SB 13-013.
[00:17:00.564 --> 00:17:07.188]  ATF of course has got giant spy databases they're setting up.
[00:17:08.089 --> 00:17:09.830]  Army says evangelicals and
[00:17:11.175 --> 00:17:14.780]  Catholics, period, are extremists, and put them on a map next to Al-Qaeda.
[00:17:14.800 --> 00:17:15.221]  Yeah, there it is.
[00:17:16.182 --> 00:17:20.808]  A member of the state legislature, Diane DeGette,
[00:17:23.380 --> 00:17:28.882]  She says that, and we talked about this last week, but I just got to play this clip again.
[00:17:29.763 --> 00:17:34.604]  She says, hey, we've got to get rid of the magazines, because after you use them, you can only use them once.
[00:17:35.265 --> 00:17:42.287]  So again, a lot of this is just the people that are anti-liberty are dumber than a sack of bricks.
[00:17:43.468 --> 00:17:51.451]  I mean, they are dumber than a dead possum that's been dead for five days on the side of the road that's got bureaucrats crawling all over it.
[00:17:52.290 --> 00:17:55.094]  I mean, these people are as dumb as the day is long.
[00:17:55.134 --> 00:17:57.497]  They are, they are, they are stupid!
[00:17:59.019 --> 00:18:00.942]  And that's who the globalists get to run for office.
[00:18:00.982 --> 00:18:06.149]  Just the dumbest, stupidest morons out there.
[00:18:07.153 --> 00:18:13.479]  Okay, so let's go ahead and go to this clip of her saying we gotta ban the magazines because then they're no good after you use them once.
[00:18:13.719 --> 00:18:14.140]  Here it is.
[00:18:14.420 --> 00:18:16.362]  I do think that we can pass those.
[00:18:16.562 --> 00:18:23.469]  And just very briefly to your last question, what's the efficacy of banning these magazine clips?
[00:18:23.829 --> 00:18:27.733]  I will tell you, these are ammunition.
[00:18:27.893 --> 00:18:28.514]  They're bullets.
[00:18:28.894 --> 00:18:32.455]  So the people who have those now, they're going to shoot them.
[00:18:32.855 --> 00:18:45.960]  And so if you ban them in the future, the number of these high-capacity magazines is going to decrease dramatically over time because the bullets will have been shot and there won't be any more available.
[00:18:49.932 --> 00:18:56.356]  The road to hell is paved with useful idiot morons, and this woman wins the Grand Idiot Award.
[00:18:56.716 --> 00:19:03.541]  The grand, dupe, sucker, schmuck, fool, dumbass, I have to use that term, it's the only way to describe it.
[00:19:04.421 --> 00:19:06.123]  And listen, they got legions of these people.
[00:19:07.063 --> 00:19:10.525]  I've had a carpet cleaner in my house saw a gun case and started to call the police.
[00:19:11.086 --> 00:19:13.908]  And I had to call their manager and say, stop them, stop them, they're mentally ill.
[00:19:16.584 --> 00:19:18.808]  I mean, that's America, ladies and gentlemen.
[00:19:19.049 --> 00:19:23.457]  Dumber than a box of rocks, thinking Obama's going to give them free health care.
[00:19:26.345 --> 00:19:33.167]  And you want to talk about the ravings of a control freak authoritarian, the ravings of a fascist, this story's up on DrudgeReport.com.
[00:19:33.567 --> 00:19:39.169]  MSNBC host, four kids belong to the collectivist on the left-hand side of DrudgeReport.com.
[00:19:39.649 --> 00:19:41.690]  It's an InfoWars.com story, but it scrolled off.
[00:19:41.710 --> 00:19:42.190]  It's from yesterday.
[00:19:42.210 --> 00:19:47.271]  I'm going to get it posted back up on InfoWars.com, where she says, your kids belong to us.
[00:19:47.311 --> 00:19:49.432]  And this is an MSNBC promo video.
[00:19:50.572 --> 00:19:51.993]  They're not gonna stop, okay?
[00:19:52.473 --> 00:20:01.557]  They're gonna raise your taxes till you live in a 200 square foot coffin box with government pedos in there teaching your kids, like Jocelyn Elder said, how to masturbate.
[00:20:01.817 --> 00:20:02.598]  That's who these people are.
[00:20:03.078 --> 00:20:08.100]  We all know that Berkey Water Purification Systems are the most trusted name in water filtration.
[00:20:08.301 --> 00:20:17.425]  As an authorized Berkey dealer for over six years in serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey Water Filtration Systems.
[00:20:17.645 --> 00:20:31.716]  The Berkey Light Systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:20:31.997 --> 00:20:39.903]  Order the Berkey Light System today complete with two black Berkey elements for only $231 and the Berkey guy will ship your order free of charge.
[00:20:40.103 --> 00:20:45.686]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:20:46.566 --> 00:20:49.247]  That's over 30% off the retail price.
[00:20:49.448 --> 00:20:50.368]  Call the Berkey Guy at 1-877-886-3653.
[00:20:50.388 --> 00:20:50.588]  That's 1-877-886-3653.
[00:20:58.712 --> 00:20:59.332]  We're good to go.
[00:21:22.378 --> 00:21:22.838]  Yes, only $37.95.
[00:21:23.699 --> 00:21:26.281]  That's 70% less than our competitors.
[00:21:26.521 --> 00:21:29.703]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:21:29.923 --> 00:21:36.407]  The Survival Seed Vault from MyPatriotsupply.com includes detailed planting and seed saving instructions and ships same day.
[00:21:36.567 --> 00:21:38.168]  Plus, all orders over $49 ship free.
[00:21:39.369 --> 00:21:45.034]  MyPatriotSupply.com is American-owned by Patriots like you, passionate about freedom and preparedness.
[00:21:45.274 --> 00:21:48.117]  Call now, 866-229-0927.
[00:21:48.437 --> 00:21:50.459]  That's 866-229-0927.
[00:21:50.619 --> 00:21:57.165]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:21:57.285 --> 00:21:58.265]  Choose the original.
[00:21:58.386 --> 00:22:01.949]  Choose the survival seed vault at MyPatriotSupply.com.
[00:22:02.429 --> 00:22:15.015]  For those who know the benefits of silver, for those who know the healing history of silver, and for those who want to be prepared, now there's SilverGauze, a nylon elastic wrap with silver bonded to each individual fiber.
[00:22:15.435 --> 00:22:20.937]  SilverGauze is a long-lasting, washable, and reusable must-have for any emergency kit.
[00:22:21.157 --> 00:22:27.280]  Get yours today at SilverGauze.com, spelled Silver, G-A-U-Z-E, dot com.
[00:22:27.780 --> 00:22:31.162]  SilverGauze is what your emergency kit is missing.
[00:22:31.855 --> 00:22:32.936]  Hi, this is Ted Anderson.
[00:22:33.096 --> 00:22:37.479]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:37.659 --> 00:22:43.383]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:43.483 --> 00:22:46.885]  Gold has outperformed paper investments, yet no word about IRAs.
[00:22:47.105 --> 00:22:49.727]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:49.827 --> 00:22:54.750]  Don't get left behind by rising inflation and low returns.
[00:22:54.890 --> 00:22:55.131]  Call 800-686-2237.
[00:22:55.191 --> 00:22:56.532]  Secure your future and call 1-800-686-2237.
[00:23:02.115 --> 00:23:05.717]  Gardeners, here comes another growing season, but don't use last year's soil.
[00:23:06.057 --> 00:23:09.278]  Maximize yields in your survival garden with EM1 from Terragamics.
[00:23:09.618 --> 00:23:19.282]  EM1 is an organic soil conditioner, fertilizer amendment, and compost accelerant that provides a broad spectrum of beneficial microorganisms, enzymes, trace minerals, vitamins, and various organic acids.
[00:23:19.722 --> 00:23:24.807]  EM-1 helps regulate the soil's pH level and its soil microbes, improving moisture retention and drought tolerance.
[00:23:25.067 --> 00:23:26.508]  Remember last year's dry conditions?
[00:23:27.029 --> 00:23:31.633]  EM-1 from Terragonics is safe, chemical-free, and certified for use on all organic farms.
[00:23:31.893 --> 00:23:38.900]  It improves plant quality, size, color, flavor, and gives up to 20% more nutrient value in fruits and vegetables, and greatly increases shelf life.
[00:23:39.200 --> 00:23:42.163]  And EM-1 is so simple to use, just mix with water and apply.
[00:23:42.603 --> 00:23:47.067]  This year, prepare your crisis garden for maximum yields with EM1 from Terragonics.com.
[00:23:47.348 --> 00:23:51.392]  Order now at T-E-R-A-G-A-N-I-X dot com.
[00:23:51.612 --> 00:23:52.673]  Or call toll free 866-369-3678.
[00:23:52.693 --> 00:23:53.173]  That's 866-369-3678.
[00:23:53.353 --> 00:23:53.914]  Terragonics.
[00:23:53.954 --> 00:23:54.575]  Life's getting better.
[00:24:32.833 --> 00:24:39.739]  All right, Alex Jones here back live.
[00:24:39.759 --> 00:24:44.183]  Dr. Pachinick's popping in for like 10 minutes from the DMZ with the latest on North Korea.
[00:24:44.203 --> 00:24:44.884]  We'll get into that.
[00:24:46.667 --> 00:24:50.128]  But here's the headline, MSNBC host, your kids belong to the collective.
[00:24:50.148 --> 00:24:54.570]  And there she is with this arrogant, lisping, crazed look in her eye.
[00:24:55.110 --> 00:24:56.131]  These are dominators.
