[00:00:00.090 --> 00:00:00.614]  You've got it.
[00:06:42.590 --> 00:06:46.591]  And so if that fish breaks the line, I won't be too sad.
[00:06:46.591 --> 00:06:50.613]  But if I get it in the boat, we're going to display it here on air.
[00:06:50.613 --> 00:06:52.394]  Just know that.
[00:06:52.394 --> 00:06:53.034]  Just know that.
[00:06:53.034 --> 00:06:55.195]  It should be Wednesday or Thursday.
[00:06:56.940 --> 00:07:02.366]  You know, I don't usually even tell you when something big's coming, but it's big.
[00:07:02.366 --> 00:07:09.154]  In the words of Mike Adams, he knows about it, it could bring down Skynet.
[00:07:09.154 --> 00:07:13.499]  Alright, the point is, it's pretty bad.
[00:07:13.499 --> 00:07:13.999]  It's pretty bad.
[00:07:14.978 --> 00:07:18.982]  That said, separately, there's some big surprises Tuesday.
[00:07:18.982 --> 00:07:25.988]  And it's not just Michael Savage, second, third, you can debate, most popular talk show host in the country after Rush Limbaugh.
[00:07:25.988 --> 00:07:26.809]  Is it George Norie?
[00:07:26.809 --> 00:07:27.029]  Is it...
[00:07:28.223 --> 00:07:29.124]  Is it Michael Savage?
[00:07:29.124 --> 00:07:30.926]  The point is, very interesting person.
[00:07:30.926 --> 00:07:40.915]  Had a chance to, I reached out to him, his people reached out to us, and we had a nice talk a couple days ago on Thursday for about 25 minutes.
[00:07:40.915 --> 00:07:44.739]  Just as intelligent and thought-provoking on the phone, probably more so.
[00:07:44.739 --> 00:07:46.761]  It was pretty wild talking to Michael Savage.
[00:07:46.761 --> 00:07:47.601]  That is exciting.
[00:07:48.470 --> 00:07:49.170]  Very exciting.
[00:07:49.170 --> 00:07:53.272]  So he's going to be on the show breaking some big suppressed news as well on Tuesday.
[00:07:53.272 --> 00:07:56.333]  And something else is happening on Tuesday just as big.
[00:07:56.333 --> 00:07:57.993]  But I'm going to leave it.
[00:07:57.993 --> 00:08:01.395]  Next week is just absolutely jam-packed.
[00:08:01.395 --> 00:08:10.118]  InfoWars.com, PrisonPlanet.com and the video stream site for the nightly news and the video we feed on the radio show, PrisonPlanet.tv.
[00:08:10.118 --> 00:08:12.518]  Okay.
[00:08:12.518 --> 00:08:13.619]  Where to start?
[00:08:15.202 --> 00:08:16.263]  Where to start?
[00:08:16.263 --> 00:08:27.293]  This news is so big we're about to cover that I don't even feel worthy to bring you this information.
[00:08:27.293 --> 00:08:30.016]  That's all I can say.
[00:08:30.016 --> 00:08:31.077]  I have in front of me here
[00:08:33.769 --> 00:08:39.272]  For those watching on TV, but this is all posted up at InfoWars.com, let me just read to you a few headlines here.
[00:08:39.272 --> 00:08:39.812]  How about that?
[00:08:39.812 --> 00:08:43.614]  Let me just have the headlines say it for themselves.
[00:08:43.614 --> 00:08:44.594]  And this is official.
[00:08:44.594 --> 00:08:46.195]  The NRA has released this.
[00:08:46.195 --> 00:08:52.278]  The Justice Department has responded, saying, well, yeah, that is what our experts are recommending.
[00:08:52.278 --> 00:08:54.559]  Total gun ban of the American people.
[00:08:54.559 --> 00:08:55.860]  All guns to be turned in.
[00:08:57.042 --> 00:08:59.704]  They go on and admit assault weapons aren't even used in a lot of crimes.
[00:08:59.704 --> 00:09:03.226]  30-something people died in actual mass shootings.
[00:09:03.226 --> 00:09:11.631]  If you want to stop all gun violence, I guess technically, if no one had guns, 5,000 years ago there wasn't any gun crime, just ban all guns.
[00:09:11.631 --> 00:09:13.872]  So that's what they officially want to do.
[00:09:13.872 --> 00:09:19.696]  And a lot of people say, well, we knew Obama as a state senator wrote this in the Chicago Tribune in an interview.
[00:09:20.396 --> 00:09:23.979]  Where he had to send in his answers to their questions in a candidate forum.
[00:09:23.979 --> 00:09:25.801]  He did it in three other papers.
[00:09:25.801 --> 00:09:28.643]  Said just abolition of firearms, nobody should be able to buy them.
[00:09:28.643 --> 00:09:36.730]  The current Attorney General, as Deputy Attorney General under Clinton, said he believed in an abolition, that means total banning, of civilian ownership of firearms.
[00:09:36.730 --> 00:09:38.011]  That's a quote.
[00:09:38.011 --> 00:09:40.272]  I can play for you, Dianne Feinstein.
[00:09:41.093 --> 00:09:48.057]  I can play for you clips back in the early 90s when he wrote the bill that would ban all semi-autos.
[00:09:48.057 --> 00:09:51.578]  And of course, that's the current vice president, who was a senator at the time.
[00:09:51.578 --> 00:09:53.920]  A senator.
[00:09:53.920 --> 00:09:56.681]  Biden wrote that and said that.
[00:09:56.681 --> 00:10:00.983]  And we'll play some of those clips so people are going to be like, well, we already know this, Alex.
[00:10:00.983 --> 00:10:03.024]  Well, here's the deal.
[00:10:03.024 --> 00:10:04.405]  Here's the deal.
[00:10:04.405 --> 00:10:06.266]  The general public doesn't know that.
[00:10:06.266 --> 00:10:10.528]  They think Obama really wants to save kids at that school and was really crying.
[00:10:12.025 --> 00:10:15.568]  They don't know they've done this worldwide and taken the guns to enslave people.
[00:10:15.568 --> 00:10:19.871]  They don't know that the UN Treaty says it's so the state is all-powerful.
[00:10:19.871 --> 00:10:26.076]  Quote, the civilian ownership of firearms threatens the legitimate power monopoly of the state.
[00:10:26.076 --> 00:10:34.363]  Therefore, there must be a total abolition worldwide of individuals outside of government having any type of firearm.
[00:10:34.363 --> 00:10:36.424]  I mean, it's July 7th, 2001, UNIDIR, UN website.
[00:10:41.734 --> 00:10:47.900]  And the treaty they're trying to pass in a month, in a couple days, next March.
[00:10:47.900 --> 00:11:02.672]  The treaty is very open-ended like Obamacare, but then you have to read the interpretations of, in the code, just like we said, hey, there's death panels in here, hey, there's a giant increase in payroll tax for anybody who works, $22,000 and up.
[00:11:05.093 --> 00:11:08.214]  Hey, it does let the government cut healthcare.
[00:11:08.214 --> 00:11:11.335]  Hey, it does double premiums the first year.
[00:11:11.335 --> 00:11:12.455]  All that's now happening.
[00:11:12.455 --> 00:11:17.517]  It was written by a bunch of foreign insurance companies to gang-rape you.
[00:11:17.517 --> 00:11:19.317]  All of healthcare doubling this year.
[00:11:19.317 --> 00:11:21.758]  Just type in, premiums double on average in 2013.
[00:11:21.758 --> 00:11:23.318]  AP Reuters.
[00:11:23.318 --> 00:11:25.219]  And they say it's a good thing.
[00:11:25.219 --> 00:11:25.979]  It's a rip-off.
[00:11:25.979 --> 00:11:29.780]  It's not free healthcare, unless you're an illegal alien who's here to drive down the wages.
[00:11:31.986 --> 00:11:34.248]  So, that's what's going on.
[00:11:34.248 --> 00:11:38.991]  And so understand, I'm so sick of hearing, oh, you're a conspiracy theorist.
[00:11:38.991 --> 00:11:39.912]  It's not that bad.
[00:11:39.912 --> 00:11:41.253]  I was at Academy today.
[00:11:43.126 --> 00:11:46.567]  Big sporting goods store chain in Texas, if you live outside Texas.
[00:11:46.567 --> 00:11:50.649]  Because my parents were coming over to do some .22 shooting with the children I live out in the country.
[00:11:50.649 --> 00:11:52.469]  And I just didn't have a lot of .22 ammo.
[00:11:52.469 --> 00:11:53.570]  I was like, wow.
[00:11:53.570 --> 00:11:55.991]  I left it out at my parents' ranch in East Texas.
[00:11:55.991 --> 00:11:57.411]  Big case of it.
[00:11:57.411 --> 00:12:04.694]  And so, I went to Academy, and I'm walking along, and I'm looking at air protection and stuff, some extra air protection, some extra targets.
[00:12:04.694 --> 00:12:07.275]  And I hear around the corner, people going, yeah, no, my...
[00:12:08.499 --> 00:12:09.059]  My cousin.
[00:12:09.059 --> 00:12:11.160]  No, I heard Alex Jones talk about it, but I called my cousin.
[00:12:11.160 --> 00:12:13.221]  Just got the letter saying he has to turn his guns in.
[00:12:13.221 --> 00:12:14.102]  He's a veteran.
[00:12:14.102 --> 00:12:16.783]  Hasn't even been adjudicated mentally ill.
[00:12:16.783 --> 00:12:20.144]  Or what's the term they use in the official memo going out to many veterans?
[00:12:20.144 --> 00:12:27.368]  It looks like a large percentage of veterans from World War II right through to current serving people that have just gotten out.
[00:12:27.368 --> 00:12:28.688]  It's a purge of the military.
[00:12:28.688 --> 00:12:29.969]  They're done with your service now.
[00:12:30.689 --> 00:12:32.470]  You fought for the empire long enough.
[00:12:32.470 --> 00:12:34.871]  So I hear the guy going, you know, no, it's true.
[00:12:34.871 --> 00:12:39.293]  Uh, yeah, no, he, he got the letter from the VA, which is official.
[00:12:39.293 --> 00:12:41.714]  It's in the news saying, you know, turn your guns in now.
[00:12:41.714 --> 00:12:45.936]  Uh, you have been ruled.
[00:12:45.936 --> 00:12:47.837]  You have been, what's the exact quote?
[00:12:47.837 --> 00:12:50.198]  Determination of incompetence.
[00:12:50.198 --> 00:12:50.458]  Yes.
[00:12:50.458 --> 00:12:52.158]  So, so you've been ruled incompetent.
[00:12:52.158 --> 00:12:57.381]  If you get disability, even like a hurt back, now you can't have a gun.
[00:12:58.103 --> 00:12:59.763]  And you're like, well, there's no law to do that.
[00:12:59.763 --> 00:13:00.684]  They don't care.
[00:13:00.684 --> 00:13:02.564]  They want to start a civil war.
[00:13:02.564 --> 00:13:04.765]  So I'm all over the map here at the start of the broadcast.
[00:13:04.765 --> 00:13:06.045]  I mean, it is blowing me away.
[00:13:06.045 --> 00:13:10.086]  So I hear him talking, and then I walk around, and nobody knows I'm there.
[00:13:10.086 --> 00:13:20.709]  And I'm sitting there, and the gun counter's up and around the corner, but I hear people talking, and I'm looking at some other stuff, putting some shotgun shells and other stuff in my cart, and some .22 shells were behind the counter.
[00:13:22.085 --> 00:13:26.088]  And so all that's going on and I hear somebody going, oh, it's not that bad.
[00:13:26.088 --> 00:13:29.670]  This is just a panic is why everybody's almost sold out of guns and ammo.
[00:13:29.670 --> 00:13:30.611]  It's not that bad.
[00:13:30.611 --> 00:13:33.653]  And I hear the other two guys on the counter go, no, no, no, no.
[00:13:33.653 --> 00:13:39.077]  They've got bills introduced all over the country at the state and federal level to ban all semi autos.
[00:13:39.077 --> 00:13:41.719]  And I walk around the corner and there's like 14, 15 people.
[00:13:43.874 --> 00:13:46.615]  They're trying to buy guns and ammo.
[00:13:46.615 --> 00:13:49.876]  A couple Hispanic families with their grandma, they're buying guns.
[00:13:49.876 --> 00:13:52.957]  A couple white families, an old black guy buying guns.
[00:13:52.957 --> 00:13:53.677]  And guess what?
[00:13:53.677 --> 00:13:55.457]  They were all listeners.
[00:13:55.457 --> 00:14:00.119]  They were all having this big debate up there.
[00:14:00.119 --> 00:14:01.379]  And I'm not bragging about the show.
[00:14:01.379 --> 00:14:08.881]  It's just getting amazing when everyone but one guy behind the counter who seemed pretty freaked out that
[00:14:10.230 --> 00:14:12.891]  I mean, I started talking to him, saying, can I see that shotgun?
[00:14:12.891 --> 00:14:15.892]  He was like, oh, oh, oh.
[00:14:15.892 --> 00:14:17.012]  It was really weird.
[00:14:17.012 --> 00:14:18.213]  I was like, oh, never mind.
[00:14:18.213 --> 00:14:20.954]  This guy was speechless in my presence.
[00:14:20.954 --> 00:14:25.795]  But that went on today.
[00:14:25.795 --> 00:14:27.536]  At Academy.
[00:14:27.536 --> 00:14:30.777]  And then a manager came over and said he was a listener as I was leaving.
[00:14:31.519 --> 00:14:32.739]  But that's not the big news.
[00:14:32.739 --> 00:14:36.260]  The point is, people are talking about the gun confiscation move.
[00:14:36.260 --> 00:14:39.861]  And so the government wants to leave it ambiguous, like, is it happening?
[00:14:39.861 --> 00:14:40.921]  Is that the goal?
[00:14:40.921 --> 00:14:48.022]  The point is, you could probably argue some gun restrictions, you know, for people to be safer, hypothetically.
[00:14:48.022 --> 00:14:50.302]  If they didn't really want to just take our guns.
[00:14:50.302 --> 00:14:53.783]  See, the issue is, they want to confiscate them, so they're disingenuous.
[00:14:53.783 --> 00:14:55.463]  That's why no more gun laws.
[00:14:55.463 --> 00:14:56.684]  Repeal the ones that are there.
[00:14:56.684 --> 00:14:58.124]  They only affect law-abiding citizens.
[00:15:08.315 --> 00:15:28.749]  Alright, so do I get apologies from people that said I was fear-mongering and the federal government wasn't going to try to confiscate our guns and that Obama wouldn't try to take the guns in a second term?
[00:15:30.339 --> 00:15:40.184]  Because socialists and authoritarians throughout the last 200 years have always taken the firearms from any group they want to enslave.
[00:15:40.184 --> 00:15:41.524]  And only the U.S.
[00:15:41.524 --> 00:15:49.448]  and Switzerland have a real, bonafide, Second Amendment-style right to keep and bear arms.
[00:15:49.448 --> 00:15:53.510]  Everywhere else, they've taken them, and they have an exact blueprint.
[00:15:53.510 --> 00:15:55.291]  And so when you're historically informed,
[00:15:56.869 --> 00:16:01.612]  And the media's up there going, nobody wants your guns, that's ridiculous.
[00:16:01.612 --> 00:16:10.917]  As the legislation is introduced, in now 15 states to ban all semi-autos and make you turn them in.
[00:16:10.917 --> 00:16:22.504]  New York has passed bills where they're setting up checkpoints and they have license plate readers and they're ransacking veterans' vehicles with no criminal records and finding over 10 round mags, you're charged with felonies.
[00:16:22.504 --> 00:16:23.365]  That's in the news.
[00:16:24.525 --> 00:16:27.408]  So, when the globalists get a chance, who do they target?
[00:16:27.408 --> 00:16:33.654]  Law-abiding people with no criminal records, the morning after the governor signed that bill.
[00:16:33.654 --> 00:16:36.097]  He signed it the day it passed last month.
[00:16:37.233 --> 00:16:41.337]  And they were instantly on the road wanting to make examples out of people.
[00:16:41.337 --> 00:16:43.199]  It was in the news, in New York News.
[00:16:43.199 --> 00:16:45.221]  We covered it a few weeks ago.
[00:16:45.221 --> 00:16:49.246]  Just type in veterans being arrested in New York for guns and clips.
[00:16:49.246 --> 00:16:51.588]  And they say, we want to make examples.
[00:16:51.588 --> 00:16:53.130]  Yeah, we knew they wouldn't know.
[00:16:53.130 --> 00:16:54.091]  Doesn't matter.
[00:16:56.021 --> 00:16:59.345]  You know, three felony counts for three magazines.
[00:16:59.345 --> 00:17:02.869]  They want law-abiding citizens in their gulags.
[00:17:02.869 --> 00:17:05.231]  Now, a lot of police, now over 400 sheriffs.
[00:17:05.231 --> 00:17:06.973]  It was 300-something last week.
[00:17:07.975 --> 00:17:09.975]  Oath Keepers has got a list on their site.
[00:17:09.975 --> 00:17:12.076]  Over 400 sheriffs.
[00:17:12.076 --> 00:17:19.158]  We've got a clip coming up from a sheriff interview this week in Milwaukee County that made national news, where he said, look, it's going to be the second American Revolution.
[00:17:19.158 --> 00:17:21.238]  And he's not going to be part of taking the guns.
[00:17:21.238 --> 00:17:24.039]  A, because he'll get shot, and his deputies will.
[00:17:24.039 --> 00:17:29.660]  But B, and most importantly, because it's in the Bill of Rights, Constitution, Declaration of Independence.
[00:17:32.142 --> 00:17:33.042]  So it's amazing.
[00:17:33.042 --> 00:17:39.944]  Now, if you just joined us, let me just read these headlines to you and then get to these audio and video clips for everybody out there to back up what I'm saying.
[00:17:39.944 --> 00:17:44.806]  DOJ memo, outlaw and confiscate all firearms.
[00:17:44.806 --> 00:17:48.807]  When you read the memo, it says, look, assault weapons aren't what are causing the problem.
[00:17:48.807 --> 00:17:50.087]  It's guns, period.
[00:17:50.087 --> 00:17:53.028]  And it's time to have a forced buyback of everything.
[00:17:53.028 --> 00:17:56.129]  And it describes how they did it in Australia.
[00:17:56.129 --> 00:17:58.489]  Up at InfoWars.com right now.
[00:17:58.489 --> 00:18:00.070]  And it's also in the Associated Press.
[00:18:01.092 --> 00:18:07.797]  In fact, guys, I hit print out there right before the show, there's a bunch of articles that are still in the printer, if I can have those, the AP article, thank you.
[00:18:07.797 --> 00:18:18.266]  Because the AP's like, yeah, the NRA is attacking the President, saying this memo proves that gun control doesn't work.
[00:18:18.266 --> 00:18:19.767]  They spin the whole thing.
[00:18:19.767 --> 00:18:26.653]  In the memo, they say, well, assault weapons, you can go read it right now, it's only three pages long, assault weapons really aren't used in many crimes.
[00:18:26.653 --> 00:18:27.954]  Let's just ban everything.
[00:18:27.954 --> 00:18:29.515]  And that's our recommendation.
[00:18:29.515 --> 00:18:30.716]  And this is how we need to do it.
[00:18:34.096 --> 00:18:35.637]  I mean, it is incredible.
[00:18:35.637 --> 00:18:38.058]  So here are the headlines.
[00:18:38.058 --> 00:18:39.279]  DOJ memo.
[00:18:39.279 --> 00:18:43.801]  Outlaw and confiscate all Americans' guns.
[00:18:43.801 --> 00:18:45.102]  All Americans' guns.
[00:18:45.102 --> 00:18:45.962]  Yeah.
[00:18:45.962 --> 00:18:48.223]  Everything's fine, though.
[00:18:48.223 --> 00:18:48.604]  Here it is.
[00:18:48.604 --> 00:18:53.406]  Summary of Select Firearm Violence Prevention Strategy.
[00:18:53.406 --> 00:18:56.388]  National Institute of Justice Deputy Director.
[00:18:56.388 --> 00:18:58.869]  This is for the President's Task Force.
[00:19:00.638 --> 00:19:03.299]  And this is what their real plan has always been.
[00:19:03.299 --> 00:19:06.801]  This is a regurgitation of everything they tried before.
[00:19:06.801 --> 00:19:07.541]  Okay?
[00:19:07.541 --> 00:19:10.723]  So we're going to be getting into that today and reading over the sections.
[00:19:10.723 --> 00:19:12.884]  Let's look at this little stack here.
[00:19:12.884 --> 00:19:15.385]  Feds buy 2 billion rounds of ammunition.
[00:19:15.385 --> 00:19:17.066]  That's from Breitbart and WorldNet Daily.
[00:19:17.066 --> 00:19:19.507]  Yeah, it's up from 1.6 billion to now over 2 billion.
[00:19:22.148 --> 00:19:30.833]  Two billion rounds of ammunition in the last 14 months, armored vehicles, and they're hollow points that are illegal for warfare under the Geneva Convention.
[00:19:30.833 --> 00:19:32.774]  They've got to be ball ammo.
[00:19:32.774 --> 00:19:38.238]  And they're for the American people, and the military is training for Homeland Security domestic operations.
[00:19:38.238 --> 00:19:39.578]  And then remember this story.
[00:19:39.578 --> 00:19:42.240]  We broke last Monday, and people didn't believe it.
[00:19:42.240 --> 00:19:46.582]  It didn't become national news until Wednesday, when the company put out a press release.
[00:19:46.582 --> 00:19:47.143]  We called them.
[00:19:47.683 --> 00:19:49.644]  The rest of the media just said it can't be true.
[00:19:49.644 --> 00:20:01.447]  Pregnant women, five-year-old children, old people, women in the shower, and it says no hesitation for the new target.
[00:20:01.447 --> 00:20:08.990]  All of them white, all of them not traditional criminals, you know, like the bad guy, whether they're white, black, whatever, with a gun to a woman's head.
[00:20:08.990 --> 00:20:13.751]  No, it's now saying that it is the general public.
[00:20:15.310 --> 00:20:19.917]  And that would be like if somebody said, well Obama might hypothetically commit a crime.
[00:20:19.917 --> 00:20:21.599]  Let's have Obama shooting targets.
[00:20:21.599 --> 00:20:26.526]  If I said that, and said I was proposing that, the Secret Service would show up here tomorrow.
[00:20:26.526 --> 00:20:28.188]  Guaranteed.
[00:20:28.188 --> 00:20:29.510]  And by the way, I'm not proposing that.
[00:20:30.419 --> 00:20:47.704]  But the issue is, just like the WWE came out last week and said, you know, that basically the Tea Party's racist and their new bad guy is a Tea Partier who wants to have national sovereignty in the Constitution, and the good guy is a Mexican from Mexico who defeats him.
[00:20:47.704 --> 00:20:50.165]  And the WWE came out with a press release this week and said, yeah.
[00:20:51.041 --> 00:20:59.751]  Yeah, the new villain is not the Iraqi Iron Sheik, it's not the Ayatollah Khomeini, it's white southern gun owners.
[00:20:59.751 --> 00:21:00.773]  What did Al Sharpton say?
[00:21:03.499 --> 00:21:05.741]  What did Congressman Rangel say just two, three weeks ago?
[00:21:05.741 --> 00:21:10.845]  They both said, we've got to overcome the Second Amendment, the Constitution, and Southerners.
[00:21:10.845 --> 00:21:15.589]  And they're branding it like only Southerners, and who are white, want the Second Amendment.
[00:21:15.589 --> 00:21:17.771]  What do the Homeland Security memos say?
[00:21:17.771 --> 00:21:22.615]  The number one terror threat is returning veterans, then it's constitutionalists.
[00:21:23.550 --> 00:21:29.872]  Libertarians, Republicans, Christians who believe in the second coming of Christ.
[00:21:29.872 --> 00:21:30.772]  I'm not making this up.
[00:21:30.772 --> 00:21:32.492]  You know that's been on the news for years.
[00:21:32.492 --> 00:21:39.514]  We broke it when a federal marshal and then the state police separately, out of Missouri in one case, sent me the documents.
[00:21:39.514 --> 00:21:41.715]  People didn't believe that for five days.
[00:21:41.715 --> 00:21:42.575]  It was so bombshell.
[00:21:44.076 --> 00:21:52.579]  We now have official Department of Justice memo recommendations for total gun ban and banning them and making you hand in your guns.
[00:21:52.579 --> 00:21:54.139]  Forget just the semi-auto.
[00:21:54.139 --> 00:21:55.180]  Turn them all in.
[00:21:55.180 --> 00:21:56.680]  Go read the memo.
[00:21:56.680 --> 00:21:58.701]  Go read it right now.
[00:21:58.701 --> 00:22:00.541]  And it's not even a big media issue.
[00:22:00.541 --> 00:22:02.662]  This broke Friday after I was on the air.
[00:22:02.662 --> 00:22:05.003]  I didn't even hear about it until yesterday.
[00:22:06.150 --> 00:22:09.532]  And I went and read the memo and it's worse than what the NRA is even saying.
[00:22:09.532 --> 00:22:15.877]  I'm going to play their video by their executive director Chris Cox where he breaks this down and says, look...
[00:22:16.843 --> 00:22:18.763]  This isn't about reducing gun violence.
[00:22:18.763 --> 00:22:21.224]  They want to ban our guns for control.
[00:22:21.224 --> 00:22:22.604]  Absolutely.
[00:22:22.604 --> 00:22:24.965]  Remember, it's all disingenuous.
[00:22:24.965 --> 00:22:35.887]  In fact, we had a poster up, we'll find it during the break, Paul Watson wrote about it Friday, of a 1918 communist takeover of Russia sign where it said, comrades, turn your guns in.
[00:22:35.887 --> 00:22:39.048]  And it shows a soldier having the citizens turn their guns in.
[00:22:40.236 --> 00:22:43.399]  And then Lenin killed about 10 million people in the next five years.
[00:22:43.399 --> 00:22:46.102]  And then another 8 or 9 million in the next 10 years.
[00:22:46.102 --> 00:22:48.645]  And then Stalin got in.
[00:22:48.645 --> 00:22:50.026]  Whoa!
[00:22:50.026 --> 00:22:51.327]  35 million people conservatively.
[00:22:52.236 --> 00:22:53.717]  By then it was a death penalty.
[00:22:53.717 --> 00:22:59.040]  It was just 5 years hard labor, 10 years hard labor, depending on if you got caught with a gun.
[00:22:59.040 --> 00:23:00.341]  Citizens.
[00:23:00.341 --> 00:23:04.843]  People in Siberia with wolves and polar bears couldn't have a gun.
