[00:00:04.349 --> 00:00:07.771]  We are joined now in this segment by Dr. Russell Blaylock, MD.
[00:05:00.923 --> 00:05:08.308]  But, you know, the other thing people need to understand is that the Soviet Union switched from its gulag system, in other words, its mass prisons,
[00:05:09.428 --> 00:05:15.414]  They switched to psychiatric units as their new gulags, psychiatric gulags.
[00:05:15.954 --> 00:05:33.269]  And so they put their so-called enemies of the state, those who disagreed with the communist government, in mental institutes and forced them to take these psychotropic medications with the idea of making them enter a state in which they could no longer think logically.
[00:05:34.209 --> 00:05:36.330]  Then they're helpless and they're controlled by the state.
[00:05:36.450 --> 00:05:42.751]  Some were converted by these drugs to virtually become agents of the state.
[00:05:43.511 --> 00:05:50.552]  But in the Soviet Union, what they did, they just declared anybody who disagreed with the state as mentally ill.
[00:05:50.592 --> 00:05:51.573]  That was the definition.
[00:05:51.673 --> 00:05:54.933]  Because how could anyone be opposed to utopia?
[00:05:55.073 --> 00:05:58.354]  Therefore, that's promiscuous evidence.
[00:05:58.574 --> 00:06:02.655]  We're seeing that again today with the Department of Homeland Security saying that liberty lovers
[00:06:03.235 --> 00:06:03.576]  I think so.
[00:06:21.855 --> 00:06:21.935]  Yes.
[00:06:38.275 --> 00:06:46.038]  They upgraded their black box warning on these SSRI antidepressant medications to that specific age group because there was a higher increase of suicide.
[00:06:46.418 --> 00:07:02.165]  And we know that in a lot of these mass shootings that have been highly publicized, such as Columbine, such as the Aurora shooting, and this new one in Newtown, these people were all in that age group and they were all, all these suspected shooters and shooters were in that age group and they were all on these kinds of medications.
[00:07:02.785 --> 00:07:08.447]  So, it's pretty amazing they're saying they're giving us all the information when they're really giving us the exact opposite of that.
[00:07:08.467 --> 00:07:09.628]  It seems like propaganda.
[00:07:10.548 --> 00:07:11.888]  Well, it's pure propaganda.
[00:07:11.928 --> 00:07:26.093]  And what we know in terms of neuroscience is that the prefrontal lobes, that is the front part of the brain, is what controls our ability to operate within a society.
[00:07:26.113 --> 00:07:30.035]  In other words, to resist doing destructive social acts.
[00:07:30.655 --> 00:07:41.498]  And that as a period of adolescence is when that part of the brain is not fully developed, and that person's at the greatest risk of becoming a risk to society.
[00:07:41.959 --> 00:07:57.263]  Well, in certain individuals, they have very little development at that stage, and if you put them on these drugs, it further impairs development, further impairs their ability to control their emotions, and so they tend to act impulsively, like a psychopath.
[00:07:57.303 --> 00:07:58.784]  That's what happens to the psychopath.
[00:07:59.324 --> 00:08:01.105]  The psychopath has no emotions.
[00:08:01.925 --> 00:08:04.286]  They feel nothing towards their victims.
[00:08:04.326 --> 00:08:05.206]  They have no shame.
[00:08:05.246 --> 00:08:06.186]  They have no conscience.
[00:08:06.787 --> 00:08:11.568]  And the reason is because that prefrontal cortex of the brain is dysfunctional.
[00:08:12.649 --> 00:08:15.770]  Well, this is what you're probably doing with these drugs.
[00:08:15.810 --> 00:08:21.392]  You're also producing abnormalities in the development, maturation of that part of the brain.
[00:08:21.452 --> 00:08:27.974]  So in a certain number of people, you're going to push them into psychopathic behavior.
[00:08:29.471 --> 00:08:30.512]  Yeah, it's pretty amazing.
[00:08:30.532 --> 00:08:40.359]  We're all going to be spending $10 million for the CDC to write a paper on how all these shootings are caused by a video game, and they're not going to talk for even two seconds about these medications.
[00:08:40.900 --> 00:08:49.186]  But switching gears, I want to also ask you about this flu pandemic, because it seems like the media is really stirring up a huge panic right now that we all need to rush out
[00:08:49.426 --> 00:08:49.786]  I think so.
[00:09:12.267 --> 00:09:29.834]  Well, you know, if you look at the Mortality and Morbidity Weekly report, which is the main report by the CDC on the flu, the latest one, says that the vaccine's not moderately effective, it says modestly effective.
[00:09:30.054 --> 00:09:30.614]  Modestly.
[00:09:30.894 --> 00:09:32.415]  They just keep changing the adjectives, huh?
[00:09:33.061 --> 00:09:36.564]  Not even effective in a third of people.
[00:09:36.624 --> 00:09:39.146]  So two-thirds, it has no effectiveness.
[00:09:39.266 --> 00:09:45.712]  Now there's even more shocking news, which the public has never heard of, the vast majority of physicians have never heard of.
[00:09:45.732 --> 00:09:53.539]  It came out last year and was reported as a series of articles in the Journal of Virology, the chief journal of virology.
[00:09:55.260 --> 00:10:12.621]  And what this article found, what this study found, it was done in the Netherlands, was that children who have yearly flu vaccine are unable to produce cell-mediated immunity that protects them against pandemic virus.
[00:10:13.524 --> 00:10:13.664]  I think.
[00:10:34.049 --> 00:10:37.493]  Now, that's a major protection against pandemics in the world.
[00:10:37.993 --> 00:10:43.619]  Well, they found that if you were getting the flu vaccine every year, you cannot mount that immunity.
[00:10:44.119 --> 00:10:50.525]  And therefore, for instance, if the bird flu comes, and that's one they tested, you cannot develop immunity against it.
[00:10:51.326 --> 00:11:00.733]  If you develop H1N1 exposure, you cannot develop immunity against it because it paralyzes this particular type of immune system.
[00:11:01.674 --> 00:11:06.977]  No one's talking about that, but this is a major protection against pandemics.
[00:11:07.038 --> 00:11:15.304]  Now, let's say 90% of the children starting at six months of age every year gets this vaccine and a pandemic does hit.
[00:11:16.104 --> 00:11:22.566]  Those children are going to have severe damage and a lot of them are going to die unnecessarily.
[00:11:23.066 --> 00:11:30.668]  Children who have never been vaccinated with these flu vaccines are going to be able to have very mild reactions to it.
[00:11:30.808 --> 00:11:31.568]  This has been done.
[00:11:31.588 --> 00:11:38.490]  You know, the ferret is an animal that we use to test viruses because their immune system is very much like humans.
[00:11:39.150 --> 00:11:40.612]  And so all viruses are tested.
[00:11:40.632 --> 00:11:53.024]  And they found in ferrets, the ones who had just natural flu infections every year, not the vaccine, that when they were exposed to the bird flu, they had very mild reactions.
[00:11:53.345 --> 00:11:56.588]  Their brain was barely affected at all or not at all.
[00:11:56.768 --> 00:11:58.330]  And their lungs looked pretty good.
[00:11:58.830 --> 00:12:09.736]  But the ones who got seasonal flu vaccines every year in these ferrets had devastating brain destruction and devastating lung destruction.
[00:12:10.356 --> 00:12:21.422]  So the fact that these children are getting these vaccines every year and being frightened into it actually is making them infinitely more vulnerable to these pandemic viruses.
[00:12:21.522 --> 00:12:22.763]  This happened with H1N1.
[00:12:22.823 --> 00:12:24.424]  I don't know if people remember.
[00:12:25.084 --> 00:12:42.429]  With H1N1, the Canadian virologist reported that people who had taken the seasonal flu vaccine actually not only had a higher rate of infection by the virus, but had a worse reaction, were more likely to be hospitalized and more likely to die.
[00:12:43.069 --> 00:12:48.370]  The ones who ever had a flu vaccine were quite resistant to these damaging effects.
[00:12:48.410 --> 00:12:49.451]  Now that's big news.
[00:12:51.171 --> 00:12:52.112]  That's huge news.
[00:12:52.433 --> 00:12:57.178]  It's very much like the chicken pox vaccination being linked to all of these cases of shingles.
[00:12:57.898 --> 00:13:02.343]  It kills your natural immunities to shingles to give all these people weakened chicken pox virus.
[00:13:02.864 --> 00:13:09.510]  And after the chicken pox virus came out and was mandated, I think shingles cases went up 90% in the following three years.
[00:13:10.191 --> 00:13:11.512]  And they knew that when they made it.
[00:13:11.612 --> 00:13:14.775]  They were able to come in and make two vaccines and make double the money off of it.
[00:13:14.795 --> 00:13:15.856]  It's just, it's amazing.
[00:13:16.156 --> 00:13:19.559]  And you have all of these institutes coming out and different organizations.
[00:13:19.579 --> 00:13:28.307]  We have like the Institute of Medicine came out and they reviewed the children's vaccine schedule here in America and they said that it is great and that the benefits outweigh the risks.
[00:13:28.927 --> 00:13:35.593]  And we also have the American Academy of Pediatrics going on record to say we need to put thimerosal back in our vaccinations.
[00:13:35.613 --> 00:13:36.654]  Have you read about that?
[00:13:37.458 --> 00:14:04.244]  Yes, and if you look at the largest study done on the effectiveness of flu vaccine, which is done by the highly prestigious Cochrane database, they looked at 51 major studies, over 260,000 children, and what they found is children less than two years of age, the flu vaccine had no better effectiveness than a placebo.
[00:14:07.008 --> 00:14:16.071]  Children over two years of age, at best, a third of them developed antibody titers to the virus, but that's still not protection.
[00:14:16.471 --> 00:14:21.473]  You see, and this is one of the tricks they use, and this is how the CDC works as a propaganda network.
[00:14:21.793 --> 00:14:25.614]  They don't say the flu vaccine protects you against the flu.
[00:14:25.994 --> 00:14:33.157]  What they're saying is that you develop antibodies that should protect you against the flu.
[00:14:33.217 --> 00:14:33.817]  Semantics!
[00:14:34.568 --> 00:14:37.370]  Because that's not your major protection against viruses.
[00:14:37.790 --> 00:14:38.810]  It's cellular immunity.
[00:14:38.830 --> 00:14:46.215]  And as I pointed out, the studies show that the vaccine actually powerfully suppresses cellular immunity.
[00:14:46.315 --> 00:14:50.737]  And cellular immunity is what protects you against cancer as well and degenerative brain disorder.
[00:14:51.277 --> 00:14:53.799]  So then you'll have to rely on the medical community even more.
[00:14:54.597 --> 00:15:02.661]  Yeah, well, they've been pushing, the CDC really pushing, they have huge media campaigns for this that they've put out, pushing flu vaccines on pregnant women now.
[00:15:02.701 --> 00:15:06.523]  They didn't used to give vaccines to pregnant women, but they're pushing it on them.
[00:15:06.583 --> 00:15:16.668]  And what I have never understood, even at the most logical sense on this, is that on their own website, the CDC says that children six months of age or younger are not to get the flu vaccine.
[00:15:17.028 --> 00:15:21.991]  So how is it that an unborn fetus being exposed to the vaccine is somehow okay?
[00:15:23.231 --> 00:15:23.872]  Makes no sense.
[00:15:24.736 --> 00:15:41.256]  If you actually look at the research and so the nonsense propaganda put out by CDC and these people promoting the vaccines, if you actually look at the research, it clearly shows that if you stimulate immunity during pregnancy or shortly thereafter,
[00:15:41.776 --> 00:15:45.879]  It can produce devastating abnormal development of the brain.
[00:15:46.940 --> 00:15:52.804]  In fact, it drastically increases the incidence of autism and schizophrenia, both.
[00:15:52.884 --> 00:16:03.932]  And I warned before on Alex's program that if you start vaccinating pregnant women with multiple vaccines, you're going to see a dramatic increase in the incidence of schizophrenia.
[00:16:03.992 --> 00:16:07.694]  Well, schizophrenia reaches its peak during adolescence.
[00:16:08.295 --> 00:16:10.016]  So there's going to be... Antidepressants!
[00:16:11.186 --> 00:16:16.730]  There's going to be a time span between the vaccination program and the dramatic rise in schizophrenia.
[00:16:16.790 --> 00:16:18.471]  And they're going to do just like autism.
[00:16:18.491 --> 00:16:25.876]  They're going to say, well, we don't know why schizophrenia has increased so dramatically in the last five or 10 years.
[00:16:26.616 --> 00:16:27.176]  Exactly.
[00:16:27.196 --> 00:16:36.041]  Research clearly shows you could produce schizophrenia by immune stimulation with vaccines during pregnancy and shortly afterward.
[00:16:36.241 --> 00:16:42.024]  Well, children are getting massive numbers of vaccines during the most intense period of brain development.
[00:16:43.145 --> 00:16:46.767]  Which, if you look in the scientific literature and actually look at the science, that's insane.
[00:16:47.007 --> 00:16:47.867]  That's absolutely insane.
[00:16:47.887 --> 00:16:49.028]  Sounds like eugenics to me.
[00:16:50.407 --> 00:17:00.010]  Well, it's worse than that because you're damaging the developing brain of hundreds of millions of children, which is going to change them for the rest of their life.
[00:17:00.030 --> 00:17:09.333]  They're going to have trouble thinking, they're going to be socially disrupted, and it's going to be permanent.
[00:17:10.253 --> 00:17:13.136]  It's going to be very difficult to alter that and change it.
[00:17:13.796 --> 00:17:17.359]  But parents are not looking to people who know the literature.
[00:17:17.719 --> 00:17:20.842]  They're looking to people who are just listening to propaganda.
[00:17:20.922 --> 00:17:24.184]  I mean, your pediatrician, for the most part, never researches this.
[00:17:24.425 --> 00:17:29.108]  He gets material from his union, the American Academy of Pediatrics, which is a union.
[00:17:29.128 --> 00:17:30.289]  Exactly.
[00:17:30.509 --> 00:17:32.471]  And the pharmaceutical company.
[00:17:32.816 --> 00:17:42.020]  I've done research into the American Academy of Pediatrics and a lot of their fellows actually work for organizations like Monsanto and Dow and it's pretty horrifying.
[00:17:43.040 --> 00:17:50.603]  Now you mentioned the American Academy of Pediatrics saying they want to put mercury back in the vaccines because it's safe.
[00:17:51.023 --> 00:17:51.824]  What's the nonsense?
[00:17:52.244 --> 00:18:01.428]  There are over 2,000 studies that were done years ago that showed that the mercury is a tremendous brain toxin.
[00:18:02.388 --> 00:18:05.712]  And I've written about it in numerous articles published in the literature.
[00:18:06.253 --> 00:18:06.934]  Others have.
[00:18:07.554 --> 00:18:11.639]  And so their response is, well, it's the methyl mercury that's dangerous.
[00:18:11.659 --> 00:18:12.800]  It's methyl, not ethyl.
[00:18:12.820 --> 00:18:14.202]  Like, that somehow makes it better.
[00:18:14.222 --> 00:18:19.588]  The amount of mercury in the brain is higher with ethyl mercury than it is with methyl mercury.
[00:18:19.608 --> 00:18:21.290]  That's what I've read in the studies, yeah.
[00:18:21.986 --> 00:18:40.719]  And it's converted to a type of mercury, inorganic mercury, which never leaves the brain, which is the most damaging part of all mercury, and it is consistently shown to produce aggressiveness and abnormal development of the brain and chronic inflammation of the brain that can last a lifetime.
[00:18:41.299 --> 00:18:47.944]  Now, the dose of the mercury in these studies that's producing these effects is in nanograms.
[00:18:48.584 --> 00:18:52.705]  So we're talking about extremely small concentrations of mercury doing it.
[00:18:53.185 --> 00:18:55.866]  Now, how did they justify the mercury being safe?
[00:18:56.246 --> 00:19:06.209]  They used some phony studies, which were shown and pointed out by the people that are real experts in mercury, to be nothing but concocted studies.
[00:19:06.829 --> 00:19:14.651]  That were totally misinterpreted when actually the study said that it impaired the brain, the developing brain of children.
[00:19:15.052 --> 00:19:20.313]  So the American Academy of Pediatrics, like the CDC, has become a propaganda network.
[00:19:20.673 --> 00:19:23.754]  It no longer has anything to do with science.
[00:19:25.075 --> 00:19:25.735]  They're phonies.
[00:19:26.815 --> 00:19:34.400]  One of their other recommendations had to do with the fact that organic food is not healthier for you, and this is a quote from one of the co-authors of their quote study.
[00:19:34.880 --> 00:19:42.625]  He said that it was not better for you because there have been no long-term studies to show that eating less pesticide is healthier for you.
[00:19:42.645 --> 00:19:43.886]  That's actually what he said.
[00:19:46.396 --> 00:19:59.302]  I wrote one of my recent newsletters on pesticides and poods and the effect of pesticide herbicides on the tremendous increase in hematologic malignancies, which I've been astounded how fast they've increased.
[00:19:59.342 --> 00:20:00.863]  They just increased enormously.
[00:20:01.563 --> 00:20:13.914]  And when you look at the variables of what could have changed to produce this tremendous increase in lymphomas and lymphosarcomas, leukemias, the number one culprit is herbicides and pesticides.
[00:20:14.214 --> 00:20:23.823]  When you look at the dramatic increase in neurological diseases, particularly in the United States, it's directly connected to pesticide, herbicide exposure.
[00:20:24.463 --> 00:20:32.349]  So, it's just another example of how they defy the science and they become a ministry of propaganda.
[00:20:32.389 --> 00:20:34.270]  They're lying to the American public.
[00:20:34.450 --> 00:20:35.051]  Definitely.
[00:20:35.291 --> 00:20:36.052]  It's amazing.
[00:20:36.092 --> 00:20:41.355]  It's like saying there's no long-term study on setting myself on fire and running around in traffic is better for me or not.
[00:20:41.876 --> 00:20:43.977]  Well, there are long-term studies.
[00:20:43.997 --> 00:20:46.059]  There's short-term, there's long-term studies.
[00:20:46.199 --> 00:20:47.260]  So, they're lying.
[00:20:47.360 --> 00:20:48.561]  They're just outright lying.
[00:20:49.401 --> 00:20:49.801]  Definitely.
[00:20:49.841 --> 00:20:59.888]  Well, actually, I just saw yesterday the FDA approved a new flu vaccine, and this one says it's made out of insect viruses and recombinant DNA technology.
[00:20:59.928 --> 00:21:03.431]  Doesn't that sound like something straight out of a B-grade science fiction movie?
[00:21:05.276 --> 00:21:07.357]  Well, you talk about lack of long-term studies.
[00:21:07.457 --> 00:21:09.258]  None of that has had long-term studies.
[00:21:09.338 --> 00:21:11.319]  Most of this stuff is being fast-tracked.
[00:21:11.579 --> 00:21:13.380]  That means they don't do adequate studies.
[00:21:13.720 --> 00:21:15.621]  There's zero long-term studies.
[00:21:16.021 --> 00:21:19.503]  They never do long-term studies on just childhood vaccinations.
[00:21:19.903 --> 00:21:22.485]  The longest the study they do is a month.
[00:21:23.745 --> 00:21:25.026]  A month?
[00:21:25.186 --> 00:21:25.506]  Wow.
[00:21:25.646 --> 00:21:28.828]  They don't do long-term studies because they know what they'll find.
[00:21:30.593 --> 00:21:40.617]  And many of the neurological diseases, in fact, do not appear for as much as four to five years after the vaccination has been done.
[00:21:40.677 --> 00:21:47.779]  In fact, one of the big secrets of mercury toxicity is that the brain damaging effects can be delayed as much as five or six years.
[00:21:48.379 --> 00:21:52.341]  So most of the studies are cut off before that time, so they won't show the damage.
[00:21:53.921 --> 00:21:55.562]  It's all manipulation of the data.
[00:21:56.886 --> 00:21:57.646]  It's amazing.
[00:21:57.686 --> 00:22:00.588]  Well, I just have one last question for you I'm curious about.
[00:22:00.648 --> 00:22:06.390]  We here at InfoWars a lot of times get ridiculed for our beliefs and putting this information out there.
[00:22:06.530 --> 00:22:15.474]  I was just curious, what are some of the ways that the mainstream media and the medical community has ridiculed you for coming out against these things and speaking the truth?
[00:22:17.128 --> 00:22:18.708]  Well, I don't pay any attention to them.
[00:22:18.888 --> 00:22:20.689]  You know, the science is on my side.
[00:22:20.709 --> 00:22:22.570]  None of them argue directly with me.
[00:22:23.610 --> 00:22:28.391]  I'm published in the literature, in the scientific literature.
[00:22:28.411 --> 00:22:30.652]  I can back up everything I say.
[00:22:31.632 --> 00:22:35.093]  For instance, they make all these statements.
[00:22:35.293 --> 00:22:41.895]  Offit, for instance, says there's no mechanism to explain how vaccinations could cause autism.
[00:22:42.535 --> 00:22:47.801]  And later in the interview, he says, well, I don't know anything about neurology.
[00:22:48.081 --> 00:22:49.583]  You'll have to ask a neurologist.
[00:22:50.123 --> 00:22:52.206]  Well, then how can I describe the mechanism?
[00:22:52.386 --> 00:22:54.568]  I've described the mechanism in the literature.
[00:22:54.608 --> 00:22:55.349]  I've published it.
[00:22:56.370 --> 00:22:57.251]  And it's well known.
[00:22:57.271 --> 00:23:01.236]  It's a well-demonstrated mechanism by which vaccines can produce this effect.
[00:23:01.676 --> 00:23:18.027]  So, you know, you have these people who know absolutely nothing about the brain, the effect of systemic immune stimulation on the brain, about brain development, about toxicity, the various agents like aluminum and mercury, and they're lying.
[00:23:18.127 --> 00:23:22.210]  It's just nothing but pure propaganda and outright lies.
[00:23:23.571 --> 00:23:25.552]  Well, thank you so much for your time today, Russell.
[00:23:25.672 --> 00:23:27.113]  Dr. Blalock, I really appreciate it.
[00:23:27.674 --> 00:23:28.114]  You're welcome.
[00:23:30.080 --> 00:23:36.166]  And if you or somebody you know gets vaccines and believes the CDC's propaganda, you need to get The Greater Good.
[00:23:36.186 --> 00:23:47.798]  It is an in-depth analysis of what the medical tyranny of vaccines really are doing in this country, doing to our children, and you need to pick that up today at TheInfoWarshop.com.
[00:23:48.906 --> 00:23:50.588]  And that's it for tonight's broadcast.
[00:23:50.648 --> 00:23:55.393]  If you like what you saw, please do not hesitate to go to PrisonPlanet.tv and subscribe.
[00:23:56.034 --> 00:23:59.818]  One subscription is, I believe, ten people now can log in with one subscription.
[00:24:00.779 --> 00:24:04.123]  And you'll get all of our in-depth analysis on these kinds of topics.
[00:24:05.044 --> 00:24:06.545]  And that's it for tonight's show.
[00:24:06.625 --> 00:24:08.407]  Please join us again tomorrow at 7 p.m.
[00:24:08.427 --> 00:24:08.728]  Central.
