[00:00:15.964 --> 00:00:17.525]  You want to fight?
[00:03:04.250 --> 00:03:07.092]  Now, in contrast to our last story, we have our next story.
[00:03:07.472 --> 00:03:11.575]  Milwaukee County Sheriff, don't wait for the police, arm yourself.
[00:03:11.915 --> 00:03:12.975]  Very wise words.
[00:03:12.995 --> 00:03:13.536]  We'll take a look.
[00:03:13.956 --> 00:03:16.337]  Milwaukee County Sheriff David A. Clark Jr.
[00:03:16.738 --> 00:03:19.039]  has a message for residents in his jurisdiction.
[00:03:19.339 --> 00:03:21.801]  You can't rely on him anymore, arm yourself.
[00:03:21.861 --> 00:03:24.502]  Similar to what we heard police say in Detroit.
[00:03:24.883 --> 00:03:27.504]  Crime is relatively rare in Clark's jurisdiction.
[00:03:27.864 --> 00:03:33.668]  In 2010, the Sheriff's Department reported two burglaries, nine robberies, and zero murders.
[00:03:34.268 --> 00:03:40.996]  Even though he lives in such a low-crime area, this police chief has a sense to still tell his citizens to arm themselves.
[00:03:41.016 --> 00:03:42.317]  And I like this quote from the mayor.
[00:03:42.798 --> 00:03:55.152]  Apparently, Sheriff David Clark is auditioning for the next Dirty Harry movie, and the police chief comes back and says the mayor was beaten nearly to death years back with, I believe it was some type of iron rod.
[00:03:55.692 --> 00:03:57.633]  Now, I like this police chief.
[00:03:57.693 --> 00:04:00.435]  I'm glad to see these sheriffs and these police chiefs speaking out.
[00:04:00.735 --> 00:04:13.801]  But the only thing I disagree with Sheriff Clark on is at the end of the article you can see he says that he wants an armed, tactically trained officer in every school and public building.
[00:04:14.322 --> 00:04:19.204]  And that's a little too police state-ish for my taste.
[00:04:19.264 --> 00:04:20.425]  I don't want somebody
[00:04:20.945 --> 00:04:25.268]  You know, asking me for my ID when I walk in the gas station or whatever the case may be.
[00:04:25.328 --> 00:04:27.669]  I'm not saying he's for, you know, going that far.
[00:04:27.989 --> 00:04:34.833]  But I think overall he has some good ideas and glad to see people like this Milwaukee County Sheriff standing up for your Second Amendment rights.
[00:04:34.853 --> 00:04:35.894]  We'll go on to our next story.
[00:04:36.374 --> 00:04:38.956]  Now this goes in the epic fail category of the night.
[00:04:39.396 --> 00:04:40.016]  Backfire.
[00:04:40.296 --> 00:04:42.758]  Seattle gun buyback turns into gun show.
[00:04:43.542 --> 00:04:51.386]  I'm waiting for this to happen in the city of Austin so I can say, hey Alex, I need an advance and I'm going to go out there and I'm going to buy everything I can.
[00:04:51.586 --> 00:04:54.448]  I'm not going to end up with 50 guns like he has, but you know, whatever.
[00:04:54.768 --> 00:04:55.568]  Anyway, let's take a look.
[00:04:56.189 --> 00:05:04.433]  Police stood in awe as gun enthusiasts and collectors waved wads of cash for guns being held by those standing in line for the buyback program.
[00:05:04.953 --> 00:05:16.518]  Police officers in Seattle, Washington held their first gun buyback program in 20 years this weekend and soon found that private gun collectors were working the large crowds as little makeshift gun shows.
[00:05:16.998 --> 00:05:27.602]  People that had arrived to trade in their weapons for $102 buyback gift cards soon realized that gun collectors were there and able to pay top dollar for collectible firearms.
[00:05:28.487 --> 00:05:29.488]  Now this is what's going to happen.
[00:05:29.868 --> 00:05:40.173]  First, they're going to say, hey, you can voluntarily turn in your guns, and then it's going to be like, you have to turn in your guns, and we'll give you this little dinky $200 buy-back card.
[00:05:40.514 --> 00:05:43.535]  These things are valuable and cheap, some of them.
[00:05:43.775 --> 00:05:50.099]  I mean, some of them are still fully functioning weapons, but these people are giving away their grandpa's musket he probably fought in some war with because
[00:05:50.459 --> 00:05:53.721]  I mean, if somebody breaks into your house and steals a musket, he's not going to go into mass shootings.
[00:05:54.041 --> 00:05:56.342]  Little Prozac here won't even know how to load the thing.
[00:05:56.822 --> 00:06:05.466]  But, let's see, the police chief, John Diaz, said he wasn't pleased that people were selling their guns, and he preferred that they wouldn't sell them.
[00:06:06.813 --> 00:06:08.974]  Oh, you can prefer what you'd like to.
[00:06:09.294 --> 00:06:15.457]  Now, this past weekend, myself and some other guys from the crew had a chance to go out to the Austin Gun Show, and there were many people there.
[00:06:15.957 --> 00:06:19.459]  If anybody, you know, in the local Austin area saw the news, you saw the news people.
[00:06:19.519 --> 00:06:23.881]  They got there at the very end of the gun show, where there's like two people standing outside.
[00:06:24.301 --> 00:06:26.223]  And it's like, yeah, this is the Austin Gun Show and nobody showed up.
[00:06:26.503 --> 00:06:30.646]  But you can see there, clearly, I didn't take that picture, but I went to the Austin Gun Show.
[00:06:30.666 --> 00:06:32.868]  I probably got there about 10 or so a.m.
[00:06:32.988 --> 00:06:33.689]  on Saturday.
[00:06:34.089 --> 00:06:39.073]  There was a bare minimum 500 people waiting outside to get into this gun show.
[00:06:39.453 --> 00:06:42.816]  It was a huge event and it really wasn't even a big building, but people didn't care.
[00:06:43.136 --> 00:06:44.037]  It was cold outside.
[00:06:44.077 --> 00:06:45.598]  People said, hey, I want my guns.
[00:06:45.638 --> 00:06:46.239]  I want my rights.
[00:06:46.479 --> 00:06:48.981]  And they showed up to that gun show to fight for their freedom.
[00:06:49.281 --> 00:06:52.283]  So you know it's bad when the police are telling you that you need a gun.
[00:06:52.303 --> 00:06:54.905]  Not just saying that we'll come protect you, but you need a gun yourself.
[00:06:55.166 --> 00:06:56.226]  So definitely keep that in mind.
[00:06:56.246 --> 00:07:03.332]  We'll switch gears now to Father of Oregon Terror Suspect says teens suffered identity crisis when brainwashed by the FBI.
[00:07:03.652 --> 00:07:06.914]  Now of course we're referring to the Portland Christmas tree bomber of 2010.
[00:07:08.729 --> 00:07:17.778]  Osman Bar, the father of Somali-American terrorist suspect Mohamed Mohamed, said he was concerned for his son's safety when he contacted the FBI in 2009.
[00:07:18.559 --> 00:07:29.791]  Bar said Mohamed told him that he was planning to fly to Yemen to learn Arabic at a time when Bar was frightened by news of accounts of Somali-American teenagers joining the Mujahideen in Somalia.
[00:07:30.501 --> 00:07:38.243]  The stories led the father to contact the FBI, but Barr testified Monday that he now thinks it was an elaborate sting that brainwashed his son.
[00:07:38.643 --> 00:07:40.584]  And when people make claims like this, they don't believe them.
[00:07:40.624 --> 00:07:45.686]  Just like the father of the Reddit founder last week, he said, hey, the government killed my son.
[00:07:45.726 --> 00:07:47.286]  People said, oh, shut up, conspiracy theorists.
[00:07:47.586 --> 00:07:49.147]  And they're trying to do the same thing to this guy.
[00:07:49.167 --> 00:07:55.071]  Now, I'm not saying they did or they didn't, but I think people should definitely take this into account if this is what the father believes.
[00:07:55.151 --> 00:07:56.752]  It definitely needs to be investigated.
[00:07:57.092 --> 00:07:59.714]  And InfoWars has been reporting on this since the very beginning.
[00:07:59.734 --> 00:08:02.215]  We'll go back at some throwback articles, if you will.
[00:08:02.695 --> 00:08:06.438]  Clueless Patsy set up by FBI in Christmas tree bombing plot.
[00:08:06.718 --> 00:08:08.099]  We'll take a look at just one section here.
[00:08:08.619 --> 00:08:09.420]  We're good to go.
[00:08:30.094 --> 00:08:30.615]  We're good.
[00:08:41.405 --> 00:08:42.985]  And yes, they do like to do that.
[00:08:43.066 --> 00:08:43.726]  It's nothing new.
[00:08:44.046 --> 00:08:46.466]  And hopefully that father can get some justice for his son.
[00:08:46.907 --> 00:08:47.727]  Now, we'll move on now.
[00:08:47.987 --> 00:08:50.568]  You guys have probably heard about the new immigration reform.
[00:08:51.008 --> 00:08:58.070]  And in Illinois, we have this headline, Governor Quinn signs a bill that lets illegal immigrants get driver's licenses.
[00:08:58.130 --> 00:08:58.650]  That's right.
[00:08:58.710 --> 00:08:59.850]  They're doing it in California.
[00:08:59.890 --> 00:09:03.371]  They're doing it in Illinois as well, as well as trying to take away your gun rights.
[00:09:03.751 --> 00:09:06.632]  Tried to run through two bills twice in one week, once on a Sunday.
[00:09:06.852 --> 00:09:08.433]  And this was actually signed on a Sunday, too.
[00:09:08.453 --> 00:09:08.953]  Let's take a look.
[00:09:09.673 --> 00:09:18.915]  The signing of the bill Sunday allowed illegal immigrants to obtain driver's licenses, attracted dozens of potential motorists, and a pack of top Illinois politicians.
[00:09:19.435 --> 00:09:21.595]  Now, we'll slide down here to an example.
[00:09:22.156 --> 00:09:26.897]  Carmen Castello, 52, witnessed the event and plans to apply for a license.
[00:09:27.477 --> 00:09:32.898]  She looks forward to finally being able to relax behind the wheel instead of constantly being afraid of the police.
[00:09:33.438 --> 00:09:38.919]  Her first joy is to go to the church, which, you know, I'm definitely happy this lady can go to the church.
[00:09:39.710 --> 00:09:54.445]  My problem with this is as we reported a few, I guess a few months ago now, when they award people in California, you know, same thing, same privileges and rights of a driver's license, you're, I mean, people don't like to say it, but these people are, you know, criminals.
[00:09:54.505 --> 00:09:55.627]  You can call them low-grade criminals.
[00:09:56.147 --> 00:09:56.327]  That's
[00:10:15.959 --> 00:10:19.581]  You sneak past the border and you can get so far and then you get a free license.
[00:10:19.601 --> 00:10:21.542]  So if you can make it to Illinois, you get your free license.
[00:10:21.862 --> 00:10:25.304]  That's like saying if you break out of jail and you make it past county line, they just let you go.
[00:10:25.724 --> 00:10:27.585]  You know, it's pretty much the same thing.
[00:10:27.966 --> 00:10:30.267]  And the article goes on to say just one thing I'd like to point out.
[00:10:30.807 --> 00:10:37.371]  Illinois will not require applicants to be fingerprinted for fear that would discourage immigrants from applying.
[00:10:38.539 --> 00:10:38.840]  Wow.
[00:10:39.100 --> 00:10:40.702]  You know, I'm not a biometric guy.
[00:10:41.443 --> 00:10:45.109]  You know, I had to come here and get my Texas license to get my fingerprints taken.
[00:10:45.129 --> 00:10:47.011]  I didn't have to get my fingerprints taken in Oklahoma.
[00:10:47.252 --> 00:10:49.295]  When I came down to Texas, I had to get my fingerprints taken.
[00:10:49.575 --> 00:10:54.863]  But they're afraid of scaring away these illegal immigrants because of the fingerprinting
[00:10:55.720 --> 00:10:59.121]  You know, but sneak past the border, get X-Miles, and you get a free license.
[00:10:59.161 --> 00:11:00.121]  That just doesn't make sense to me.
[00:11:00.401 --> 00:11:06.083]  Why do we have ICE and Border Patrol, especially Border Patrol out there risking their lives day in and day out?
[00:11:06.403 --> 00:11:08.603]  Brian Terry, I believe, was the guy killed in Fast and Furious.
[00:11:08.943 --> 00:11:13.924]  Why do we have these guys and these government organizations set up if we're just going to award the people that can sneak past them?
[00:11:14.045 --> 00:11:15.445]  That makes no sense to me.
[00:11:15.465 --> 00:11:19.306]  But why have the CIA track down drug dealers when the CIA flies the dope in?
[00:11:20.714 --> 00:11:21.615]  Kind of world we're living in.
[00:11:21.976 --> 00:11:23.418]  We'll move now to U.S.
[00:11:23.458 --> 00:11:26.482]  plans to add drone base in West Africa.
[00:11:26.502 --> 00:11:27.303]  Let's take a look.
[00:11:27.683 --> 00:11:34.132]  The new drone base in Africa that would expand its surveillance of Al Qaeda fighters and other militants in northern Mali.
[00:11:34.741 --> 00:11:42.524]  Two Obama administration officials said military planners are eyeing the West African country of Niger as a base for the unarmed Predator drones.
[00:11:42.564 --> 00:11:44.564]  But I assure you, it's nothing to arm these things.
[00:11:45.045 --> 00:11:45.405]  A U.S.
[00:11:45.425 --> 00:11:47.886]  defense official called the plan preliminary.
[00:11:48.466 --> 00:11:59.189]  If approved, the plan could fill a gap in the Pentagon's military capabilities over the Sahara, which remains beyond the reach of its drone bases in East Africa and Southern Europe.
[00:11:59.970 --> 00:12:00.810]  So think about this.
[00:12:01.360 --> 00:12:09.611]  Now later on this week, I believe, David Ortiz, he'll have a report where he goes out to the street and he asks people, what do you think about a fully mechanized robotic military?
[00:12:09.631 --> 00:12:10.232]  And people laugh.
[00:12:10.773 --> 00:12:12.876]  That's completely ridiculous.
[00:12:12.976 --> 00:12:15.399]  How do you get your information from InfoWars?
[00:12:15.419 --> 00:12:17.362]  I watch MSNBC, they told me not to listen to you.
[00:12:18.222 --> 00:12:22.083]  And the thing about this is we have drones not just based here in the U.S.
[00:12:22.123 --> 00:12:23.044]  They're flying the U.S.
[00:12:23.224 --> 00:12:25.825]  border, U.S.-Mexico border, U.S.-Canada border.
[00:12:26.205 --> 00:12:27.285]  They have drones in the sky.
[00:12:27.325 --> 00:12:29.146]  They have the Robocod in the sea.
[00:12:29.506 --> 00:12:33.587]  They have walking tanks in DARPA that look like the big walking tanks from Star Wars.
[00:12:33.607 --> 00:12:35.148]  That stuff is where we've shown you the clips.
[00:12:36.849 --> 00:12:41.253]  But the thought of a fully mechanized, you know, military people think is laughable.
[00:12:41.313 --> 00:12:43.554]  It's very real and it's coming.
[00:12:44.015 --> 00:12:45.616]  Just like the, what is it, Iron Man 2.
[00:12:45.816 --> 00:12:47.818]  That's what, you know, the subtext of Iron Man 2.
[00:12:48.238 --> 00:12:52.561]  The guy created a fully mechanized military, you know, of robot drones.
[00:12:52.622 --> 00:12:54.063]  I mean, the stuff is everywhere.
[00:12:54.503 --> 00:12:56.004]  So yeah, it's real, it's coming.
[00:12:58.315 --> 00:13:02.138]  Don't just jump up and down about kids getting shot, which that is a tragedy.
[00:13:02.158 --> 00:13:03.419]  Don't let me downplay that.
[00:13:03.759 --> 00:13:11.766]  But Obama, if you're going to take your gun policy from children, why don't you ask those same kids on the stage how they feel about little kids being killed in drone attacks.
[00:13:12.066 --> 00:13:13.127]  Kids getting their faces blown off.
[00:13:13.147 --> 00:13:13.948]  You didn't ask them that.
[00:13:14.008 --> 00:13:15.149]  I don't imagine.
[00:13:15.729 --> 00:13:17.311]  And we'll go to our last story of the night.
[00:13:18.071 --> 00:13:21.855]  Over 40 children paralyzed by vaccines in one village.
[00:13:22.015 --> 00:13:22.395]  One village.
[00:13:22.675 --> 00:13:23.136]  Let's take a look.
[00:13:23.672 --> 00:13:33.481]  Christina England reports that on December 20th, 2012, a vaccination tragedy hit a small village in Goro, located in northern Chad, Africa.
[00:13:33.901 --> 00:13:45.591]  According to the newspaper Laveau, out of 500 children who received the new meningitis vaccine, MenAvvac, at least 40 of them between the ages of 7 and 18 have become paralyzed.
[00:13:45.992 --> 00:13:49.695]  Those children also suffered hallucinations and convulsions.
[00:13:50.165 --> 00:14:00.709]  But it's not the vaccine's fault, according to the pharmaceutical agencies, according to those names out there, guys like Bill Gates, who's pushing these vaccines, and many other people as well.
[00:14:01.310 --> 00:14:07.052]  But, you know, these things are supposed to protect you from these, you know, deadly viruses or flus or whatever the case may be.
[00:14:07.890 --> 00:14:12.652]  But, when you get sick from it, it's everybody's, it's everything's fault except the vaccine.
[00:14:13.132 --> 00:14:27.497]  So, please educate yourself, educate before you vaccinate on any type of vaccine, any type of vaccine, any type of vaccine, before you give this not only to yourself, but to your children who have a much more difficult time fighting it off.
[00:14:27.918 --> 00:14:29.978]  Now, we'll move now to our quote of the day.
[00:14:30.599 --> 00:14:32.979]  This one from Daniel T. Gushing.
[00:14:33.019 --> 00:14:34.300]  Let's see what he has to say.
[00:14:34.952 --> 00:14:38.795]  Let us control the money of a country, and we care not who makes its laws.
[00:14:39.396 --> 00:14:45.221]  This is the maxim of the House of the Rothschilds, and is the foundation principle for European banks.
[00:14:45.782 --> 00:14:54.329]  If a country and its people are mortgaged for the assessed value of their property, and the bankers control the money, the bondholders and not the people own that country.
[00:14:54.730 --> 00:14:58.373]  It makes no difference whether you call it a republic or a monarchy.
[00:14:58.833 --> 00:15:01.776]  Definitely some cold, cold words to live by.
[00:15:02.256 --> 00:15:04.017]  Now, that does it for our news portion.
[00:15:04.277 --> 00:15:08.519]  Right after this break, I'll be back with Yuri and Masan of ExplosiveReports.com.
[00:15:08.939 --> 00:15:14.883]  But since you're here, if you want to support this broadcast, go over to the InfoWars store and check out our latest video.
[00:15:14.903 --> 00:15:16.643]  Well, not our latest video, but a good video.
[00:15:16.944 --> 00:15:20.225]  The greater good, exposing the scourge that is vaccines.
[00:15:20.245 --> 00:15:21.626]  You guys heard us talk about the kids.
[00:15:21.766 --> 00:15:23.427]  If you are receiving this transmission, you are the resistance.
[00:15:51.775 --> 00:15:58.801]  Fellow freedom lovers, Alex Jones here with the biggest contest announcement we've ever made.
[00:15:59.342 --> 00:16:01.984]  This is so incredibly exciting.
[00:16:02.124 --> 00:16:05.788]  We are launching Operation Paul Revere.
[00:16:06.724 --> 00:16:07.785]  What did Paul Revere do?
[00:16:08.325 --> 00:16:16.131]  He rode through the countryside in New England saying, to arms, to arms, the Redcoats are coming.
[00:16:16.531 --> 00:16:18.032]  Oneth by land, twoth by sea.
[00:16:18.633 --> 00:16:22.936]  And all that evil men and tyrancy deflourish is that good men and women do nothing.
[00:16:23.136 --> 00:16:24.757]  Let me officially announce
[00:16:25.157 --> 00:16:28.080]  Operation Paul Revere.
[00:16:28.480 --> 00:16:35.727]  A $100,000 cash first place winner to be judged by yours truly, Alex Jones.
[00:16:36.167 --> 00:16:39.210]  The film can be three minutes, it can be up to two hours.
[00:16:39.330 --> 00:16:43.014]  It can be fiction, non-fiction, documentary, drama.
[00:16:43.434 --> 00:16:44.916]  It's got to promote liberty,
[00:16:46.958 --> 00:16:50.000]  And it's not just people in the U.S.
[00:16:50.020 --> 00:16:50.541]  that can enter.
[00:16:50.641 --> 00:16:51.862]  It's folks worldwide.
[00:16:52.182 --> 00:16:56.647]  The rules, the details are at infowars.com forward slash contest.
[00:16:56.767 --> 00:17:00.731]  You have to read the rules and officially sign up for this because it's a $100,000 prize, first place.
[00:17:00.751 --> 00:17:01.151]  $10,000, second place.
[00:17:05.455 --> 00:17:05.895]  $5,000 third place.
[00:17:35.855 --> 00:17:38.896]  One of them alone has reached more than 40 million people on YouTube and Google Video.
[00:17:39.156 --> 00:17:42.637]  The Obama Deception, Endgame, Fall of the Republic, Road to Tyranny.
[00:17:43.777 --> 00:17:47.198]  Films are the most effective thing I do, but they're very time-consuming.
[00:17:47.979 --> 00:17:51.740]  And so I want to turn the power of We the People loose here.
[00:17:51.800 --> 00:17:56.381]  And your art, your research, your ideas are unstoppable.
[00:17:56.601 --> 00:17:58.882]  We're officially kicking the contest off.
[00:17:59.682 --> 00:18:00.763]  This Friday.
[00:18:00.783 --> 00:18:04.806]  And you've got a little more than three months until April 30th.
[00:18:04.886 --> 00:18:11.091]  Just a little more than three months to produce your documentary or your film and get it out.
[00:18:11.291 --> 00:18:14.714]  And it will absolutely reach tens of millions of people.
[00:18:14.874 --> 00:18:17.997]  Our normal contests get about 500 entries.
[00:18:18.037 --> 00:18:18.877]  That's what $10,000 prizes.
[00:18:19.278 --> 00:18:20.319]  This is 10 times that.
[00:18:20.679 --> 00:18:22.320]  $100,000 for first place.
[00:18:22.420 --> 00:18:24.162]  That's one of the biggest contests out there.
[00:18:24.702 --> 00:18:27.725]  In fact, it's the biggest next to Doritos that has $100,000.
[00:18:28.585 --> 00:18:30.727]  This is huge, ladies and gentlemen.
[00:18:30.807 --> 00:18:38.293]  $115,000 in cash prizes and a shot to have your film produced and financed by InfoWars.com.
[00:18:38.473 --> 00:18:47.701]  Edit it, upload it to YouTube and one other alternate public video site and send your entry to PaulRevere at InfoWars.com.
[00:18:47.901 --> 00:18:53.407]  The animating contest of liberty that Thomas Jefferson talked about is happening right now.
[00:18:53.848 --> 00:18:57.212]  The modern battlefield is in the mind more than ever.
[00:18:57.492 --> 00:19:00.275]  We use truth, the globalists use lies and deception.
[00:19:00.716 --> 00:19:04.180]  The corruption and oppression and high-tech police state is in our face.
[00:19:04.600 --> 00:19:05.941]  But the controllers are scared.
[00:19:06.301 --> 00:19:09.683]  They intended to use the internet to dominate and control humanity and surveil us.
[00:19:09.943 --> 00:19:12.064]  But we've turned their system against them.
[00:19:12.464 --> 00:19:15.686]  This is a historic crossroads that we have reached.
[00:19:16.326 --> 00:19:23.410]  And I ask you to ride in the year 2013 just as one of the founders of this republic did back in 1775.
[00:19:25.171 --> 00:19:32.234]  I'm calling you to arms in the Info War because the pen and the video camera is mightier than the sword.
[00:19:32.494 --> 00:19:38.977]  Let's go in there and rescue humanity and awaken them and set brush fires in the minds of men and women everywhere.
[00:19:39.277 --> 00:19:40.357]  Be part of this contest.
[00:19:40.457 --> 00:19:41.378]  You've got three months.
[00:19:41.698 --> 00:19:42.818]  Put your hat in the ring.
[00:19:42.958 --> 00:19:45.900]  Be part of the solution to the corruption and oppression.
[00:19:46.260 --> 00:19:48.441]  Be part of the resistance to tyranny.
[00:19:48.481 --> 00:19:54.063]  We're looking for the Paul Reveres that will drive a stake through the New World Order's wicked heart.
[00:19:59.721 --> 00:20:03.003]  ProPure is introducing ProOne.
[00:20:03.643 --> 00:20:07.786]  All of your filtration in one system, portable, on the go.
[00:20:08.527 --> 00:20:12.289]  This is the ProOne by ProPure.
[00:20:12.529 --> 00:20:13.770]  You wanted it, you got it.
[00:20:14.150 --> 00:20:19.053]  No more do you have two or three filters to just reduce sodium fluoride.
[00:20:19.554 --> 00:20:23.996]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:20:26.898 --> 00:20:38.985]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:20:39.885 --> 00:20:43.147]  It cuts out the acid derivative of fluoride.
[00:20:43.467 --> 00:20:50.952]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:20:51.812 --> 00:21:10.495]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:21:11.036 --> 00:21:14.099]  This is a revolution against the tyrants.
[00:21:14.419 --> 00:21:19.984]  They love putting the toxic acid base of fluoride into your water.
[00:21:20.024 --> 00:21:27.411]  They love the fact that it's an adjuvant supercharging the trace Prozac in the water and the hormones and the other chemicals.
[00:21:27.932 --> 00:21:36.299]  By cutting out fluoride, you cut out the turbocharger in all the poison being artificially introduced into your body.
[00:21:37.000 --> 00:21:38.122]  This is what I use.
[00:21:38.582 --> 00:21:39.424]  It's a win-win.
[00:21:39.744 --> 00:21:41.887]  You get a high quality product at the lowest price.
[00:21:42.188 --> 00:21:43.450]  You support the InfoWar.
[00:21:43.790 --> 00:21:49.599]  Get your Pro Pure with the new Pro One filters today at InfoWarStore.com or by calling 888-253-3139.
[00:21:58.214 --> 00:22:02.738]  Alex Jones here with a message that could revolutionize health in this country.
[00:22:03.018 --> 00:22:08.863]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:22:09.263 --> 00:22:13.046]  Erin Dykes lost 92 pounds.
[00:22:13.066 --> 00:22:14.888]  We're going to show you some before and afters.
[00:22:15.288 --> 00:22:17.070]  Aaron, break down what happened.
[00:22:17.110 --> 00:22:17.650]  Your story.
[00:22:17.930 --> 00:22:22.995]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:22:23.055 --> 00:22:23.915]  It just didn't happen.
[00:22:24.216 --> 00:22:26.798]  Then I saw what you were doing with Infowarsteam.com.
[00:22:27.298 --> 00:22:31.101]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:22:31.141 --> 00:22:32.082]  I wanted that nutrition.
[00:22:32.102 --> 00:22:33.083]  Didn't even understand.
[00:22:33.183 --> 00:22:37.606]  I don't know how that could kickstart my own weight loss goals, but the products did that for me.
[00:22:37.946 --> 00:22:45.731]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods, and they don't even advertise it as weight loss!
[00:22:46.031 --> 00:22:55.358]  I want to challenge our radio listeners to go to infowarsteam.com, sign up as a distributor, and get wholesale pricing discounts at infowarsteam.com.
[00:23:37.173 --> 00:23:37.794]  And welcome back.
[00:23:38.215 --> 00:23:39.797]  Our guest tonight is Urien Massan.
[00:23:40.078 --> 00:23:45.246]  He is an investigative writer for ExplosiveReports.com and also contributes to InfoWars.com.
[00:23:45.266 --> 00:23:46.508]  He joins us now via Skype.
[00:23:46.949 --> 00:23:47.970]  Welcome to the show, Urien.
[00:23:48.731 --> 00:23:48.952]  Thanks.
[00:23:49.654 --> 00:23:54.459]  Okay, now Yuri, we have several things we want to talk about with you tonight, but I want to start with one particular one.
[00:23:54.479 --> 00:23:56.481]  You wrote an article just recently.
[00:23:56.942 --> 00:23:58.964]  It was about the Rothschilds hoarding gold.
[00:23:58.984 --> 00:23:59.324]  Here it is.
[00:23:59.664 --> 00:24:03.688]  Headline, House of Rothschild hoarding gold in face of coming collapse.
[00:24:04.229 --> 00:24:07.192]  Now, why would the Rothschilds be doing something like hoarding gold?
[00:24:08.579 --> 00:24:24.453]  Well, they've been doing it for quite some centuries now, hoarding the gold and selling those assets of gold to the kinds of nations they want to control or they want to have as engine for their own agenda.
[00:24:25.673 --> 00:24:40.298]  My thesis in that article is that they are hoarding the gold and redistributing the gold towards the East, towards China particularly, so they can use China as their new economic engine for the world.
[00:24:41.978 --> 00:24:42.198]  Okay.
[00:24:42.919 --> 00:24:50.961]  Now, when you hear people say, you know, if you're hoarding gold or if you're interested in gold, if you're, you know, prepping or whatever the term is, they say, oh, you're some crazy conspiracy theorist.
[00:24:51.608 --> 00:24:58.898]  So, if you're a conspiracy theorist for having a little bit of gold, maybe you go out and you spend a little bit every paycheck, but the Rothschilds are clearly hoarding gold.
[00:24:58.918 --> 00:25:00.580]  As you say, you've been doing it for centuries.
[00:25:01.321 --> 00:25:02.442]  How does that logic line up?
[00:25:02.482 --> 00:25:05.747]  Why wouldn't somebody want to have a little bit of gold stored up for their own personal use?
[00:25:07.091 --> 00:25:21.974]  Well, gold is especially valuable, of course, and most libertarians and people of the Austrian School of Economics know this, and they accurately describe gold as the most valuable asset you can have.
[00:25:22.435 --> 00:25:22.795]  We're good to go.
[00:25:42.186 --> 00:25:42.567]  Thank you!
[00:25:57.783 --> 00:25:57.903]  Okay.
