[00:00:00.880 --> 00:00:01.382]  You got it.
[00:02:10.787 --> 00:02:12.828]  It's clearly in the Constitution that that is the Congress.
[00:02:14.029 --> 00:02:21.552]  We're going to play that clip later, but there's a new clip where he said that the odds of the government going into automatic cuts are very high.
[00:02:21.592 --> 00:02:22.613]  Well, he's a big insider.
[00:02:23.913 --> 00:02:31.276]  And that's because it's cuts on benefits, not cuts to the banker bailouts.
[00:02:31.416 --> 00:02:34.778]  I want to explain all that and break down the economy today.
[00:02:34.838 --> 00:02:41.681]  Americans, financial downfall citizens, are now desperately raiding 401k plans to pay bills
[00:02:42.717 --> 00:02:44.098]  Long before retirement.
[00:02:44.818 --> 00:02:48.160]  We're going to be going over all of that today.
[00:02:48.540 --> 00:02:54.844]  We're going to look at G20 Summit to focus on currency war, threat to the economy, and a lot more.
[00:02:54.984 --> 00:02:55.905]  And I ran across
[00:02:58.064 --> 00:03:13.801]  Another article out of Forbes, dealing with John Paul DeGioia, the individual worth over four million dollars, started Paul Mitchell, and also Patron Tequila, a truly self-made guy who was once homeless after he got out of the Navy.
[00:03:15.916 --> 00:03:21.899]  And he said, you know what, Obama, Obama, people don't need to not hire, but yeah, it's going to hurt the economy.
[00:03:22.499 --> 00:03:28.923]  It's a Forbes article because Obama is raising taxes, not just on the rich, but middle class and poor with the payroll taxes.
[00:03:29.403 --> 00:03:33.625]  But he said, you know what, I hope he wakes up that it's going to hurt the economy and comes to Jesus.
[00:03:34.105 --> 00:03:36.386]  You know, I know he doesn't really want to hurt America on purpose.
[00:03:37.487 --> 00:03:41.289]  Now, either this gentleman is naive or that's a diplomatic way of saying it.
[00:03:42.182 --> 00:03:48.725]  They want you poor, except for the select insiders that are tax-exempt, like the Facebook pump-and-dump.
[00:03:49.205 --> 00:03:57.469]  It's not enough the government let them do a pump-and-dump that no one else could be allowed to do, because it's insider and they attended Bilderberg Group, Zuckerberg and others.
[00:03:59.030 --> 00:04:06.113]  It's that now they're basically being given tax forgiveness on the profits from the pump-and-dump
[00:04:07.492 --> 00:04:13.274]  2012.
[00:04:07.792 --> 00:04:13.274]  And it's the same thing with trillions of dollars outside the country that's tax-exempt.
[00:04:13.914 --> 00:04:17.735]  They allow the select corporations to bring it back in, basically tax-free.
[00:04:19.095 --> 00:04:19.915]  And it's incredible.
[00:04:19.955 --> 00:04:21.736]  I mean, you could be a self-made billionaire.
[00:04:22.156 --> 00:04:24.437]  You're going to pay around 40% federal tax a year.
[00:04:25.497 --> 00:04:32.879]  But if you're an insider, if you're part of the good old boy club, you're not going to have any place at that table.
[00:04:33.339 --> 00:04:36.560]  And the globalists at a certain point aren't going to let you be self-made.
[00:04:38.789 --> 00:04:44.991]  Like the gentleman that created Paul Mitchell and Patron Tequila and so much more.
[00:04:45.631 --> 00:04:47.551]  And it started dozens of other successful businesses.
[00:04:47.851 --> 00:04:53.113]  All right, when we come back, we'll get into the latest on the asteroid and leading geneticists.
[00:04:53.133 --> 00:04:54.793]  Human intelligence is slowly declining.
[00:04:55.213 --> 00:04:57.274]  Who urges vigilance over new SARS virus?
[00:05:00.166 --> 00:05:07.028]  It's no secret that pathogens such as bacteria, viruses, moles, and fungus can inflict severe damage in the human body.
[00:05:07.188 --> 00:05:11.610]  Fortunately, a new and vastly improved silver solution has been developed.
[00:05:11.810 --> 00:05:22.413]  Supernatural Silver is a revolutionary, broad-spectrum, antibacterial, antiviral, antifungal solution that can be used inside the body as well as on the skin.
[00:05:22.613 --> 00:05:27.875]  Supernatural Silver is unique and superior to colloidal and ionic silvers.
[00:05:28.095 --> 00:05:36.221]  Using a patented technology that is highly effective against colds, flus, infections, food poisoning, and yeast, in addition to many other pathogens.
[00:05:36.541 --> 00:05:45.328]  Supernatural Silver is scientifically supported, extremely safe, and is the number one choice of thousands of people for immune system support.
[00:05:45.408 --> 00:05:48.951]  Find out how Supernatural Silver could change your life.
[00:05:49.071 --> 00:05:53.034]  Go to SupernaturalSilver.com and use the promo code HEALTHY
[00:05:53.274 --> 00:05:54.415]  We are on the march.
[00:05:54.575 --> 00:05:55.956]  The empire is on the run.
[00:05:56.156 --> 00:06:03.963]  Alex Jones and the GCN Radio Network.
[00:06:22.443 --> 00:06:23.628]  We are locked and loaded.
[00:06:23.669 --> 00:06:25.034]  We are live!
[00:06:25.496 --> 00:06:25.878]  Launch!
[00:06:26.986 --> 00:06:29.568]  It is Sunday, the 17th day of February 2013.
[00:06:30.608 --> 00:06:53.684]  I am your host Alex Jones, the founder of Oath Keepers Constitutional, Yale award-winning constitutional lawyer and former Army paratrooper Stuart Rhodes, the founder of Oath Keepers, will be joining us in the second hour to break down not one, not two, not three, not four, not five, not six, not seven, not eight, not nine, not ten, fourteen states, and I've got a list of them here,
[00:06:54.244 --> 00:07:00.573]  have introduced legislation to ban physically all semi-autos and make you hand them in.
[00:07:01.474 --> 00:07:09.545]  And it has the full Democratic Party behind them from Missouri to New York State to Washington State.
[00:07:10.509 --> 00:07:11.530]  Those are just a few of them.
[00:07:11.570 --> 00:07:12.691]  California, you name it.
[00:07:13.231 --> 00:07:33.609]  And we have a bizarro clip, bizarro because they're so honest about it, with a major police chief leading a press conference in California, saying because of the alleged, I mean I think he was probably behind it because they burned him up, you'll never know, Chris Dorner rampage, that the citizens should have all their guns taken because only the government should have guns.
[00:07:33.629 --> 00:07:36.872]  And it's just bizarre they'd be so honest about it, but again,
[00:07:37.692 --> 00:07:45.537]  They play that double game of you're a conspiracy theorist if you say we want your guns, but at the same time we do want your guns and we're going to take them.
[00:07:46.797 --> 00:07:51.680]  And there's also an article out of the Associated Press, it was carried by Fox News, you name it.
[00:07:52.200 --> 00:07:55.002]  Why is the Department of Homeland Security buying so many bullets?
[00:07:56.022 --> 00:07:58.544]  And it says online rumors about big government
[00:07:59.761 --> 00:08:01.903]  Munitions purchases are true, sort of.
[00:08:02.384 --> 00:08:10.474]  And it goes in to say the conspiracy theorist Alex Jones, who's just crazy, he says they're buying the bullets.
[00:08:10.514 --> 00:08:14.259]  Well, it's true, but it's no big deal, and so he's discredited.
[00:08:14.540 --> 00:08:16.102]  And they never say how I'm discredited.
[00:08:16.909 --> 00:08:21.895]  And then I have Atlantic Magazine going, Alex Jones said that the U.S.
[00:08:21.915 --> 00:08:30.386]  was attacking Russia with the meteorite that hit Friday morning, the meteor that came into the atmosphere, and Alex Jones is discredited.
[00:08:31.886 --> 00:08:41.875]  And they linked to an article carried by DrudgeReport.com that clearly we were saying rumors and reports that the U.S.
[00:08:41.915 --> 00:08:48.140]  attacked Russia and that Russia shot it down spread and we go on to say we believe it's a piece of the stone meteorite.
[00:08:49.181 --> 00:08:50.802]  Was it DA14 that went by?
[00:08:50.822 --> 00:08:50.862]  DA14.
[00:08:54.987 --> 00:08:58.409]  And that it was not a weapons attack on Russia.
[00:08:58.469 --> 00:09:03.032]  So we write an article reporting on what's all over the Russian news.
[00:09:04.333 --> 00:09:05.093]  We post it.
[00:09:05.113 --> 00:09:06.114]  It goes viral.
[00:09:06.234 --> 00:09:09.356]  One of the biggest stories on Friday, according to the sites that track that.
[00:09:09.376 --> 00:09:11.317]  I'm going to cover that later on the list here.
[00:09:12.413 --> 00:09:19.237]  And then they just tell their readers, Alex Jones said this and Alex Jones is discredited when we said the opposite.
[00:09:19.918 --> 00:09:23.660]  And more and more, the propaganda against us doesn't even make sense.
[00:09:24.500 --> 00:09:29.984]  Unless you think your readers have IQs below room temperature.
[00:09:31.255 --> 00:09:36.479]  And of course, 76 is room temperature, 76 is also considered mentally retarded.
[00:09:37.220 --> 00:09:41.584]  And that's how they treat their readers, and it's very insulting.
[00:09:42.144 --> 00:09:47.168]  But I guess it's working, I mean, because some people are still buying into this.
[00:09:47.629 --> 00:09:55.996]  But I mean, I've got like five articles today where mainstream media, and I don't want to spend the whole show defending myself, but when it's illustrative,
[00:09:56.576 --> 00:10:03.140]  When it can be constructive to show people how establishment propaganda organs and systems work.
[00:10:04.160 --> 00:10:05.161]  I mean, it's just amazing.
[00:10:05.321 --> 00:10:07.102]  Oh, look at Alex!
[00:10:07.122 --> 00:10:10.584]  He said that the US attacked Russia.
[00:10:12.265 --> 00:10:17.688]  And then the article in question, we were saying that it was clearly a spur from DA14.
[00:10:19.349 --> 00:10:22.031]  And there were other fireballs that came in over California, over
[00:10:25.091 --> 00:10:28.675]  Areas of Cuba, obviously stone meteorites in the daytime.
[00:10:28.695 --> 00:10:30.957]  I've been an amateur astronomer for a long time.
[00:10:31.237 --> 00:10:34.841]  The big rocks come in, they heat up, they have gas inside the rock, they explode.
[00:10:35.321 --> 00:10:39.305]  And then shoot a bunch of little pieces down that injure over a thousand people in Russia.
[00:10:40.106 --> 00:10:41.688]  It's just so bizarre!
[00:10:42.088 --> 00:10:45.409]  To have an article saying the Russian government, one member saying the U.S.
[00:10:45.449 --> 00:10:54.913]  attacked them, they're also saying it was a weapons test, you know, this appears to be a stone meteorite coming in, probably a spur of DA-14.
[00:10:56.054 --> 00:11:08.039]  Generally, when large asteroids get knocked out of the asteroid belt or further out the Kuiper belt, some other comet or large object hitting them cause them to be ejected on their trajectory and normally carry other rocks from the initial impact.
[00:11:08.879 --> 00:11:15.763]  With them, that's just standard astronomy from the top astronomers we've interviewed, like Shoemaker and Levy and others.
[00:11:16.983 --> 00:11:24.727]  We wrote a well-balanced article, and I covered it on the radio, and now I said, well, it's like they say, that I said the end of the world was 2012.
[00:11:25.979 --> 00:11:33.481]  I spent 15 years of 17 years on air being asked about that as a real pet peeve by listeners getting mad at me because I didn't think it'd be the end of the world.
[00:11:34.081 --> 00:11:37.082]  And then they still run news articles everywhere saying I said it'd be the end of the world.
[00:11:37.582 --> 00:11:40.003]  And again, they know that's not my position.
[00:11:40.303 --> 00:11:41.603]  This isn't about Alex Jones.
[00:11:41.623 --> 00:11:47.225]  This is about the establishment media thinking you are stupid.
[00:11:47.705 --> 00:11:48.465]  That's what they think.
[00:11:49.525 --> 00:11:55.248]  I don't think you're stupid, so we just lay the facts out here as best as I've researched them and understand them.
[00:11:55.448 --> 00:12:06.294]  It doesn't mean I'm right about everything, but my analysis is pretty darn dead on, and then it's up to you to do an analysis of what I'm covering from your own perspective and decide if I'm overall accurate or not.
[00:12:06.715 --> 00:12:06.975]  Okay?
[00:12:07.275 --> 00:12:08.896]  I don't condescend down to you.
[00:12:11.057 --> 00:12:13.939]  Now, let me tell you what's coming up on the broadcast today.
[00:12:14.399 --> 00:12:17.581]  I really want to spend the first few segments on the economy because it's a big deal.
[00:12:18.789 --> 00:12:20.230]  And we can fix the economy.
[00:12:21.370 --> 00:12:36.598]  But I was reading, what made me do this, I was reading a Forbes article that was quoting a speech that the true entrepreneur, founder of Paul Mitchell and Patron Tequila, a guy that was homeless and pulled himself up by his bootstraps with good ideas.
[00:12:38.418 --> 00:12:40.799]  He was saying, you know, I hope Obama doesn't keep raising taxes.
[00:12:40.859 --> 00:12:43.661]  It will impoverish people and shut down the economy.
[00:12:44.421 --> 00:12:45.521]  I don't think Obama's bad.
[00:12:46.042 --> 00:12:51.964]  I just think he needs to wake up and come to Jesus financially and realize that lower taxes does create more jobs.
[00:12:53.385 --> 00:12:56.166]  And either he's ignorant, which I doubt, or he's being diplomatic.
[00:12:56.206 --> 00:12:57.547]  And I'm sorry, that's not going to work anymore.
[00:12:58.587 --> 00:13:00.468]  The people running the Democratic Party
[00:13:01.838 --> 00:13:07.539]  want monopolies and are run by foreign mega banks that can create all the derivative fiat money they ever want.
[00:13:07.999 --> 00:13:20.622]  And they're in competition against the systems of true free market that empowered interesting creative minds like John Paul DeGiorgio.
[00:13:21.602 --> 00:13:27.844]  So I'm going to be going over that when we come back from the break because it makes me angry to see our economy shut down
[00:13:28.920 --> 00:13:38.835]  It makes me angry to know that the payroll tax of people making $22,000... Guys, you queue up Obama promising not to raise the payroll tax on anybody under a quarter million a year.
[00:13:40.453 --> 00:13:44.915]  And then we have the articles where people making $22,000 a year more have their payroll tax raised.
[00:13:45.135 --> 00:13:49.137]  And you maybe making half a million dollars a year and you're like, oh, what's the big deal?
[00:13:49.157 --> 00:13:52.178]  $60 out of every paycheck for somebody making $22,000 a year.
[00:13:52.718 --> 00:14:02.782]  Somebody making $22,000 a year, hanging on, not going on welfare and food stamps, hanging on, working two, three jobs, busting their butt, counting every cent.
[00:14:03.662 --> 00:14:04.863]  There goes grocery money, folks.
[00:14:04.903 --> 00:14:05.883]  Forget going out to eat.
[00:14:06.143 --> 00:14:07.384]  Forget going and buying new shoes.
[00:14:08.655 --> 00:14:10.857]  It impoverishes them.
[00:14:11.157 --> 00:14:14.920]  $120 a month, $60 on average, it's about $61 per pay period.
[00:14:15.300 --> 00:14:17.762]  It is a brutal assault.
[00:14:18.403 --> 00:14:26.429]  So when I see some poor woman pulled over with four kids in her car, in a broke-down car, and a cop's writing her a ticket, I get a nauseous feeling.
[00:14:27.189 --> 00:14:30.352]  Because all the big multi-billionaire globalists
[00:14:31.581 --> 00:14:36.765]  Who aren't like the creator Paul Mitchell who got their money from insider government contracts and monopoly deals.
[00:14:37.306 --> 00:14:40.669]  That's how most billionaires like Carlos Slim in Mexico and others made their money.
[00:14:41.609 --> 00:14:43.571]  Out of a cell phone monopoly given to him.
[00:14:44.532 --> 00:14:51.398]  People like that absolutely are at odds with those of us that want to paint an oil painting and go sell it.
[00:14:52.722 --> 00:14:55.164]  You know, when I was in college, I went and sold paintings on the street.
[00:14:55.644 --> 00:14:57.326]  I said, I'm going to do the true entrepreneurial thing.
[00:14:57.726 --> 00:15:04.632]  And people actually came to me on 6th Street, and I got a little art showing, and I made some connections, and suddenly I was selling paintings for $3,000, $4,000 a piece.
[00:15:05.112 --> 00:15:06.093]  And I didn't even have time!
[00:15:06.313 --> 00:15:07.434]  I was already successful!
[00:15:07.955 --> 00:15:08.455]  Oil painting!
[00:15:08.495 --> 00:15:10.497]  And I had to quit to fight the New World Order!
[00:15:11.177 --> 00:15:14.520]  I guarantee you, I would have galleries all over the country, ladies and gentlemen.
[00:15:14.880 --> 00:15:16.962]  I'd be selling paintings for $100,000 a piece right now.
[00:15:17.182 --> 00:15:21.145]  But I'm fighting the New World Order, and I built a media system that reaches 3 million
[00:15:22.082 --> 00:15:23.363]  People plus a day.
[00:15:24.464 --> 00:15:30.510]  And you know how frustrating it is to sit there and research the taxes and the regulations and all the garbage?
[00:15:32.292 --> 00:15:33.694]  When we come back, I'm going to play that Obama clip.
[00:15:34.695 --> 00:15:42.803]  You know how frustrating it is to watch Obama pose as a liberal and then to watch libertarians and self-made men go, oh, he must just be ignorant.
[00:15:43.343 --> 00:15:44.484]  Obama, you're going to hurt people.
[00:15:45.936 --> 00:15:48.879]  John Paul DeGioia, let me explain something.
[00:15:48.899 --> 00:15:52.984]  You're not a bad person, so you don't imagine people are evil, okay?
[00:15:53.304 --> 00:15:55.086]  Obama and his controllers are evil.
[00:15:55.447 --> 00:15:58.930]  They want to bankrupt and make us poor and dependent on government, okay?
[00:15:59.171 --> 00:15:59.491]  We'll be back.
[00:16:04.955 --> 00:16:05.876]  Tyranny is here.
[00:16:06.216 --> 00:16:09.697]  The grim future foretold in 1984 has become reality.
[00:16:09.737 --> 00:16:12.339]  It really says that the state is God.
[00:16:12.359 --> 00:16:17.822]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:16:18.242 --> 00:16:24.505]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:16:24.905 --> 00:16:30.468]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:16:30.888 --> 00:16:34.550]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:16:35.050 --> 00:16:39.031]  Prepare to enter the secretive world of emergency dictatorship.
[00:16:39.331 --> 00:16:45.253]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:16:45.293 --> 00:16:48.254]  It's only the beginning of the New World Order's hellish plan.
[00:16:48.835 --> 00:16:50.255]  The police state isn't coming.
[00:16:50.815 --> 00:16:51.335]  It's here.
[00:16:51.956 --> 00:16:58.738]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:17:00.532 --> 00:17:02.153]  Introducing Pro-1.
[00:17:02.414 --> 00:17:05.916]  All of your filtration in one system, portable, on the go.
[00:17:06.056 --> 00:17:10.480]  No more do you have two or three filters to just reduce sodium fluoride.
[00:17:10.600 --> 00:17:16.584]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:17:16.724 --> 00:17:27.513]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:17:27.733 --> 00:17:30.355]  It is the only one that does it and out of the gate.
[00:17:30.555 --> 00:17:33.997]  We have it discounted at 10% off with promo code water.
[00:17:34.197 --> 00:17:51.184]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia, and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:17:51.504 --> 00:17:56.807]  Get your ProPure with a new Pro1 filter today at InfoWarsTore.com or by calling 888-253-3139.
[00:18:00.328 --> 00:18:03.070]  Alex Jones here with a message to fellow freedom lovers.
[00:18:03.350 --> 00:18:08.174]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:18:08.374 --> 00:18:15.540]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:18:15.680 --> 00:18:21.085]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:18:21.325 --> 00:18:24.948]  These are items that I did research on, that I personally use.
[00:18:25.349 --> 00:18:29.873]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:18:30.073 --> 00:18:35.278]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:18:35.538 --> 00:18:38.621]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:18:38.761 --> 00:18:41.023]  When Disaster Strikes by Matthew Stein.
[00:18:41.263 --> 00:18:45.847]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:18:46.027 --> 00:18:48.510]  Hand crank shortwave AM FM radios.
[00:18:48.910 --> 00:18:55.956]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:18:56.116 --> 00:18:57.157]  We're getting prepared.
[00:18:57.398 --> 00:18:57.818]  Are you?
[00:18:58.058 --> 00:18:59.159]  Infowarshop.com
[00:19:02.296 --> 00:19:09.983]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:19:10.403 --> 00:19:14.046]  Alex and his staff have used these pure soap products for years.
[00:19:14.486 --> 00:19:21.312]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:19:21.793 --> 00:19:24.615]  See them on the web at 5starsoap.com.
[00:19:24.815 --> 00:19:29.318]  Or call 800-340-7091 for a free catalog.
[00:19:29.638 --> 00:19:35.301]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:19:35.581 --> 00:19:40.684]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:19:40.984 --> 00:19:42.605]  This is an amazing deal.
[00:19:42.985 --> 00:19:47.588]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:19:48.208 --> 00:19:51.350]  See them on the web at 5starsoap.com or call
[00:19:51.510 --> 00:19:55.852]  800-340-7091 for a free catalog.
[00:20:01.695 --> 00:20:02.876]  Coast to Coast.
[00:20:03.236 --> 00:20:04.637]  Direct from Austin.
[00:20:05.297 --> 00:20:08.498]  You're listening to the Alex Jones Broadcasting Network.
[00:20:13.294 --> 00:20:16.302]  Crashing through the lies and disinformation.
[00:20:16.884 --> 00:20:21.035]  It's Alex Jones on the GCN Radio Network.
[00:20:28.410 --> 00:20:31.531]  Coming up, we're going to get into the close-miss with the meteorite DA14.
[00:20:31.571 --> 00:20:35.652]  We're going to break down the incredible assaults on the Second Amendment.
[00:20:36.392 --> 00:20:38.932]  Drones now officially taking to the skies in the U.S.
[00:20:39.613 --> 00:20:39.833]  L.A.
[00:20:39.873 --> 00:20:46.274]  Times has revealed the American people, including large Pentagon-funded and directed predators and reapers.
[00:20:46.294 --> 00:20:49.475]  I thought I was a conspiracy theorist telling you a decade ago that was coming.
[00:20:50.015 --> 00:20:54.496]  Actually, I just read Army Times and the Defense Quarterly publications.
[00:20:55.939 --> 00:20:56.940]  What MIT was saying.
[00:20:57.320 --> 00:20:58.120]  Just thought I'd warn you.
[00:20:58.140 --> 00:20:59.701]  But again, it's bad to be informed.
[00:20:59.741 --> 00:21:00.141]  I forgot.
[00:21:00.461 --> 00:21:02.562]  The establishment will just call you a conspiracy theorist.
[00:21:03.603 --> 00:21:09.165]  I mean, if you said 10,000 years ago, hey, let's create a wheel, it'll be easier to actually roll stuff on it.
[00:21:09.185 --> 00:21:11.366]  They'd probably call you a conspiracy theorist.
[00:21:11.406 --> 00:21:14.788]  But that's just a way to get you to sit down and shut up and be lazy.
[00:21:15.748 --> 00:21:18.910]  Jupiter's Europa moon likely is to have life on it.
[00:21:19.510 --> 00:21:22.512]  New images of that we're going to be going over here for the radio audience.
[00:21:22.532 --> 00:21:24.953]  We have it all linked up at InfoWars.com.
[00:21:28.732 --> 00:21:38.800]  We're also going to get to several other extremely important reports on a host of issues.
[00:21:39.780 --> 00:21:40.741]  It's really weird.
[00:21:40.801 --> 00:21:42.422]  We just changed the studio around.
[00:21:43.243 --> 00:21:45.625]  I'm getting audio from in there, out here.
[00:21:45.705 --> 00:21:46.506]  It's really wild.
[00:21:47.426 --> 00:21:51.569]  Really interesting, whatever the new changes are on some of these new computers down here on the floor.
[00:21:52.150 --> 00:21:57.274]  Okay, let's go ahead and get into the economy here.
[00:21:58.339 --> 00:22:00.821]  Let's go ahead and break this down.
[00:22:01.302 --> 00:22:03.304]  America's financial downfall.
[00:22:03.404 --> 00:22:10.510]  Citizens now desperately raiding their 401k plans to pay bills long before retirement.
[00:22:11.852 --> 00:22:14.854]  And let's go ahead and play that clip of Obama.
[00:22:15.788 --> 00:22:30.116]  This is Obama, four years ago, during the campaign, saying he wouldn't raise any taxes on people that made under $250,000 a year, but they've raised payroll taxes on people making below $30,000 a year, even.
[00:22:30.656 --> 00:22:38.220]  And they've raised all these other taxes that get passed on to consumers, and here's the CNBC headline, higher taxes put the bankers on
[00:22:39.872 --> 00:22:41.192]  I can make a firm pledge, under my plan,
[00:23:09.893 --> 00:23:17.797]  No family making less than $250,000 a year will see any form of tax increase.
[00:23:18.217 --> 00:23:25.001]  Not your income tax, not your payroll tax, not your capital gains taxes, not any of your taxes.
[00:23:26.982 --> 00:23:28.483]  And I can make a firm pledge.
[00:23:28.743 --> 00:23:29.363]  Let's play it again.
[00:23:30.584 --> 00:23:32.485]  No family making
[00:23:33.363 --> 00:23:38.453]  Less than $250,000 a year, we'll see any form of tax increase.
[00:23:38.894 --> 00:23:45.646]  Not your income tax, not your payroll tax, not your capital gains taxes, not any of your taxes.
[00:23:47.395 --> 00:23:54.620]  Okay, so let's go ahead now and just go over some of the headlines I have here just from today on this Sunday edition.
[00:23:55.020 --> 00:24:00.064]  We also have the weekday broadcast, 12 noon Eastern, audio feeds at Infowars.com.
[00:24:00.524 --> 00:24:02.386]  America's financial downfall.
[00:24:02.426 --> 00:24:07.850]  Citizens now desperately writing 401k plans to pay bills long before retirement.
[00:24:08.490 --> 00:24:15.856]  And coming up, I have Alan Greenspan saying, don't worry on CNBC Friday, don't worry about the rest of the economy.
[00:24:15.996 --> 00:24:17.618]  Only the stock market matters.
[00:24:18.914 --> 00:24:19.194]  Really?
[00:24:19.435 --> 00:24:36.832]  Yeah, don't worry about small businesses, don't worry about mom and pops, don't worry about the average population's income, just worry about a bunch of global corporations that are too big to fail and who make the profits private but make the losses public.
[00:24:37.673 --> 00:24:41.356]  In chronic slow economic growth and rising poverty, writes J.D.
[00:24:41.396 --> 00:24:42.377]  Hayes at Natural News,
[00:24:43.274 --> 00:24:49.357]  The new normal for America and Americans, unfortunately for an increasing number of people, the answer is yes.
[00:24:50.757 --> 00:24:53.818]  Chronic, slow economic growth that doesn't even keep up with inflation.
[00:24:53.838 --> 00:24:57.940]  So that's actually poverty, my friends, being expanded.
[00:24:58.200 --> 00:25:09.005]  According to recent reports, a large and growing portion of American workers who are having trouble making ends meet because of rising costs are being forced to raid their retirement accounts for non-retirement needs.
[00:25:10.231 --> 00:25:18.815]  And it just goes over the different links to mainstream news articles, breaking that down out of USA Today and others.
[00:25:19.735 --> 00:25:31.000]  And what you have is worldwide, all the major governments, China, Japan, the United States, Germany, France, England, they're all coordinatedly devaluing their currencies.
[00:25:31.040 --> 00:25:36.222]  And here's the headline of the London Independent G20 Summit to focus on currency war.
[00:25:37.489 --> 00:25:38.850]  Threat to economy.
[00:25:39.610 --> 00:25:51.115]  Japan's aggressive attempts to spur on its struggling economy were set to escape censure from the G20 nations today as bickering in Moscow kept alive fears of a currency war.
[00:25:51.535 --> 00:25:56.838]  France's ministers of the G20 gathering are understood to have pulled back from an explicit criticism of Japan.
[00:25:57.138 --> 00:26:06.642]  This Prime Minister has embarked on a huge program of monetary and fiscal stimulus to jumpstart the world's third largest economy out of its third recession in five years.
[00:26:07.222 --> 00:26:12.866]  Japan has kept a stiff of her lip, but they have been in a depression since the 90s.
[00:26:13.666 --> 00:26:23.733]  And again, it megabanks created all this fiat derivatives to buy up real estate and companies worldwide with the fraudulent paper that would make Bernie Madoff blush.
[00:26:24.574 --> 00:26:29.237]  Then, when it all went down, they had the public prop it up.
[00:26:31.277 --> 00:26:37.440]  In the mid-1990s, early 1990s, when it got bad by the mid-1990s, they've been in recession slash depression since then.
