[00:00:09.795 --> 00:00:12.537]  Who controls the past, controls the future.
[00:02:56.641 --> 00:03:00.186]  You know, where they pepper spray students who are peacefully demonstrating.
[00:03:00.226 --> 00:03:01.607]  I'm sure that was an incentive for her.
[00:03:02.769 --> 00:03:06.094]  And it's interesting to note that here we are
[00:03:06.974 --> 00:03:16.777]  About a decade, a little over a decade after the creation of Homeland Security, and it is now a degree program, a major, for most of the universities that have law enforcement programs.
[00:03:16.837 --> 00:03:25.719]  So this is a very big business, and the universities are where you want to go if you want to capture people's hearts and minds, to essentially use mind control.
[00:03:26.279 --> 00:03:30.901]  As we pointed out when we talked about the new documentary that InfoWars is selling, Mind Control,
[00:03:31.841 --> 00:03:46.405]  It is a case that it's not just what we typically think of with like MKUltra, but the broader, more subtle areas of mind control where you really control the general public through the media, through academia, through the educational system.
[00:03:46.906 --> 00:03:49.646]  That is really where the documentary starts and builds on that.
[00:03:49.686 --> 00:03:55.328]  Of course, it talks about the more obvious types of mind control, but it's really the educational system.
[00:03:55.388 --> 00:04:00.890]  And so it's a perfect place for someone who has spent their life in Homeland Security to go to.
[00:04:01.650 --> 00:04:21.714]  But the real legacy, the real issue, probably why Janet Napolitano is leaving and she doesn't want to talk about it, are the multiple reported lawsuits going on accusing lesbian political appointees of harassing male heterosexuals who actually have law enforcement experience.
[00:04:22.134 --> 00:04:28.875]  Whereas most of these political appointees were, at most, lawyers like Janet Napolitano before she went to Homeland Security.
[00:04:30.330 --> 00:04:53.298]  Now, speaking of the Stasi, speaking of East Germany and the tactics that our government is using, it was just a few days ago that the Obama administration sent out a memo to federal employees to really scrutinize each other, pay close attention to personal habits and everything that your other employees are doing, so you can report that to Big Sis, to the government.
[00:04:54.833 --> 00:05:02.437]  Now World Net Daily, WND reports in an article Spy vs. Spy, Feds now want reports from retailers.
[00:05:02.497 --> 00:05:03.017]  That's right.
[00:05:03.837 --> 00:05:15.623]  A video which appeared Thursday on YouTube carries a message that terrorists are just around the corner and all Americans need to keep an eye on their friends, their family, and their neighbors, just like federal employees need to spy on their co-workers.
[00:05:16.283 --> 00:05:20.485]  Those who are in retail, it says, are specifically positioned to derail terror plans.
[00:05:20.805 --> 00:05:27.108]  The video, which was prepared by the FBI, suggests a customer is suspicious if he's vague about the use of his purchase.
[00:05:27.429 --> 00:05:29.270]  So we should explain that to all the retailers.
[00:05:29.870 --> 00:05:33.131]  Or if there's unusual preoccupation with a product's chemical composition.
[00:05:33.172 --> 00:05:34.392]  Now, don't look for any GMO.
[00:05:35.072 --> 00:05:36.793]  Or the customer is new or unknown.
[00:05:36.893 --> 00:05:39.074]  Or the buyer is unwilling to provide ID.
[00:05:39.515 --> 00:05:42.196]  We need to provide ID now when we buy things at retail.
[00:05:42.656 --> 00:05:45.318]  Or, even worse, if you're paying in cash.
[00:05:46.688 --> 00:05:49.910]  For the purchase of unusual quantities or something that's out of season.
[00:05:49.931 --> 00:05:54.093]  You know, we don't want to get snow blowers in the summer when we can get them at a discount, right?
[00:05:54.113 --> 00:05:55.474]  That might be suspicious.
[00:05:55.855 --> 00:05:57.616]  We might get reported as being terrorists.
[00:05:58.476 --> 00:06:01.118]  And it's not just, it's not just retailers.
[00:06:01.218 --> 00:06:02.519]  It's not just the federal government.
[00:06:02.579 --> 00:06:12.226]  We have people creating smart apps that encourage everyone in society to become informants and to spy on each other, especially gun owners.
[00:06:16.127 --> 00:06:17.147]  Watch out, America!
[00:06:17.287 --> 00:06:20.289]  The Snoop Society has a new gun-grabbing tool.
[00:06:20.749 --> 00:06:26.851]  This one is an app that hopes to crowdsource your busybody neighbors and build a de facto gun registry.
[00:06:27.151 --> 00:06:34.654]  Gun Geomarker is a new tattle app for Android that allows users to flag any sites with a dangerous gun and its owner.
[00:06:35.355 --> 00:06:43.078]  In complete defiance of the Second Amendment, the app suggests marking the locations of any unlocked, loaded, or carelessly stored weapons.
[00:06:43.678 --> 00:06:49.021]  Are you a first-time gun owner or someone who hasn't yet taken the basic gun safety training?
[00:06:49.382 --> 00:06:56.306]  Well, GunGeoMarker considers you a real and present danger to the community and your location will be marked right away.
[00:06:56.886 --> 00:06:57.386]  But wait!
[00:06:57.546 --> 00:07:05.311]  You're not a bad guy, but a well-meaning person who probably just bought your gun out of fear or lack of a sense of personal strength.
[00:07:05.571 --> 00:07:11.295]  Well, the app suggests its users confront and educate you on gun safety before flagging your house.
[00:07:11.795 --> 00:07:24.150]  However, if you are unable to recite these four basic rules, or even if you just become angry with your neighbor for asking you to do this task, well the gun geomarker says they better mark your house ASAP.
[00:07:24.570 --> 00:07:29.396]  People who stockpile large arsenals or numerous assault weapons are likely a concern.
[00:07:29.696 --> 00:07:35.201]  Now just having an NRA bumper sticker or other public displays supporting gun ownership aren't a big deal.
[00:07:35.561 --> 00:07:50.214]  But the app says when combined with radical anti-government propaganda, like that Ron Paul bumper sticker or flying a don't tread on me flag outside your home, well these owners and their locations may well be worth flagging as a warning to others.
[00:07:50.714 --> 00:07:57.757]  The app also wants you to provide clear reasons why you may be concerned about the mental health of a gun-owning individual.
[00:07:58.297 --> 00:08:09.101]  So not only is the citizen Gestapo telling the world where you keep your guns, but they're also letting them know the state of your mental health, or really actually it's their opinion on the state of your mental health.
[00:08:10.021 --> 00:08:17.103]  Okay, so the app developer just wants to protect the kids around unlocked guns and label homes where dangerous criminals live, right?
[00:08:17.663 --> 00:08:18.003]  False.
[00:08:18.643 --> 00:08:30.766]  Although the app promises user anonymity, it suggests that if you're dealing with a really dangerous neighbor, or a home you're certain is involved in organized crime, you should just tell the authorities, rather than marking the home.
[00:08:31.026 --> 00:08:36.668]  Proving once again, it's not criminals who will be affected by a gun registry, but law-abiding citizens.
[00:08:37.128 --> 00:08:44.835]  In fact, those criminals might even actually benefit from the app by knowing exactly which houses to rob when it's time to restock their gun cash.
[00:08:45.636 --> 00:08:47.818]  But wait, it's an anonymous app, so what gives?
[00:08:48.318 --> 00:08:53.143]  Well, the GunGeo marker only allows you to tag a site at which you are physically present.
[00:08:53.683 --> 00:09:05.387]  So you must feel comfortable standing there in front of the home for up to a minute while the geotag registers, without fear of being spotted and then probably shot at by your gangster, gun-toting neighbor.
[00:09:05.767 --> 00:09:06.768]  Another flaw with the app?
[00:09:06.888 --> 00:09:10.909]  There is no opt-out option or way to challenge an erroneous marking.
[00:09:11.329 --> 00:09:19.532]  Although the developer raises the important issue of unsupervised children around unlocked guns, the app's purpose is clearly stated on the website.
[00:09:19.992 --> 00:09:30.898]  If enough members of your community take the time to mark dangerous gun sites and owners, then this crowd-sourced data may serve to save a life, or perhaps even influence national policy.
[00:09:31.658 --> 00:09:39.423]  Sorry, but I don't think flagging 1600 Pennsylvania Avenue is going to do anything to change the policy of those with malicious intent.
[00:09:40.023 --> 00:09:50.173]  To learn more about the bottom line issue of gun control and the leaders who've embraced it, visit the InfoWars store and pick up a copy of The Magic of Gun Control by Sheriff Mack.
[00:09:50.934 --> 00:09:53.297]  For the InfoWars Nightly News, I'm Leanne McAdoo.
[00:09:55.677 --> 00:10:00.381]  Well, in our surveillance state, it's not just the federal government who is spying on you.
[00:10:00.441 --> 00:10:03.703]  It's not just retailers who are being encouraged to spy on you.
[00:10:04.183 --> 00:10:10.308]  And it's not even people who are being encouraged to report on their neighbors being gun owners.
[00:10:10.528 --> 00:10:13.010]  It's also now your appliances.
[00:10:13.510 --> 00:10:17.874]  Things in your house are turning into items of espionage.
[00:10:18.803 --> 00:10:20.704]  Kurt Nimmo has an article on InfoWars.
[00:10:20.924 --> 00:10:26.308]  Microsoft's smart cities are an ideal template for the Stasi police state.
[00:10:27.348 --> 00:10:36.094]  If CityNext, that's the name of their project, succeeds, cities will improve efficiency by installing Microsoft products that harness the cloud and big data.
[00:10:36.114 --> 00:10:41.678]  Remember, big data was what they talked about at Bilderberg this year, writes Michael Endler for Information Week.
[00:10:44.025 --> 00:10:50.067]  So-called smart cities, as designed by corporations like IBM and Cisco, will utilize the Internet of Things.
[00:10:50.328 --> 00:10:52.569]  It's also got an acronym, IOT.
[00:10:53.049 --> 00:11:02.853]  A system of objects networked with RFID, the end result being a, quote, world where every object, from jumbo jets to sewing needles, is linked to the Internet.
[00:11:04.002 --> 00:11:26.377]  As Helen Deuce, the RFID Technology Auto-ID European Center at the University of Cambridge envisions it, Microsoft, as Curt Nemo points out, you might recall, has a great and long-standing relationship with government law enforcement, even intelligence agencies, in the form of helping to fund fusion centers, as well as providing fusion center technology.
[00:11:26.918 --> 00:11:31.021]  And it's not just InfoWars pointing that out, that's a quote from Network World.
[00:11:31.954 --> 00:11:51.173]  And if you remember, when the slides about the PRISM program were released, of course, Microsoft was the very first company to join in that bit of espionage, turning over all of your electronic information, everything on the cloud, everything on big data, turning that over to the NSA and the CIA to spy on you.
[00:11:52.168 --> 00:12:10.302]  Well, actually Yahoo was one of the companies there, and unlike the other companies who denied, had very carefully worded denials saying that they did not hand over any customer information to the NSA, Yahoo is now trying in court to get their name cleared.
[00:12:11.050 --> 00:12:14.634]  Yahoo wants FISA objections to be revealed, reports The Guardian.
[00:12:14.654 --> 00:12:17.616]  Yahoo has called on FISA, the secret U.S.
[00:12:17.636 --> 00:12:28.947]  surveillance court, to let it publish its legal argument against a case that gave the government, quote, powerful leverage, see that powerful leverage, in persuading tech companies to operate with controversial data gathering program.
[00:12:29.628 --> 00:12:49.300]  Quote from Yahoo, release of this court's decision and the party's briefing is necessary to inform the growing public debate about how this court, the secretive FISA court, considers and examines the government's use of directives, Yahoo said in a filing to the FISA court, which rules on surveillance orders sought by the federal government.
[00:12:49.740 --> 00:12:55.444]  And they go on to say courts have long recognized the public has a right to access court records.
[00:12:56.212 --> 00:13:14.942]  Disclosure of the directives and the briefs in this case would also allow Yahoo to demonstrate that it objected strenuously to the directives that are now the subject of debate and objected at every stage of the proceedings, but that these objections were overruled and its request for stay was denied, said Yahoo.
[00:13:16.877 --> 00:13:28.665]  Now what Yahoo is doing is they're pointing out, unlike the other companies that were part of the PRISM program, that they strenuously objected, that they were basically being forced to participate.
[00:13:28.985 --> 00:13:30.706]  And how were they being forced to participate?
[00:13:31.467 --> 00:13:34.268]  By the proceedings of a secretive court.
[00:13:34.969 --> 00:13:37.871]  Understand that the FISA court is not only secretive,
[00:13:38.431 --> 00:13:40.171]  But there is no opposition.
[00:13:40.231 --> 00:13:45.393]  Typically in a court that you think of, there is someone arguing on each side of the issue.
[00:13:45.453 --> 00:13:47.213]  Someone in a defense position.
[00:13:47.273 --> 00:13:49.514]  And yet, that doesn't happen in the FISA courts.
[00:13:50.214 --> 00:13:52.794]  They make their ruling with just a single judge.
[00:13:52.994 --> 00:13:56.635]  No jury, no defense attorney, no one arguing the other side.
[00:13:57.055 --> 00:14:00.196]  And those decisions that they make are classified.
[00:14:00.236 --> 00:14:00.856]  They're secret.
[00:14:00.956 --> 00:14:01.976]  We're not allowed to see them.
[00:14:02.216 --> 00:14:04.037]  That's what this lawsuit is about from Yahoo.
[00:14:05.097 --> 00:14:11.869]  Furthermore, they maintain the legal fiction that these secretive rulings by a single judge
[00:14:13.086 --> 00:14:40.411]  have an effect of a Supreme Court ruling which they believe I believe erroneously we all know that the Supreme Court does not modify the Constitution but they're saying that they believe that just like the Supreme Court they believe modifies the Constitution with their rulings they say that FISA has constitutional implications and sets precedence even though these rulings are secretive and there's no jury there's no argument for the other side so basically they go in and have a star chamber hearing
[00:14:41.323 --> 00:14:48.431]  Create a ruling that is secretive and then say, this supersedes our Constitution and our written public law.
[00:14:48.471 --> 00:14:49.853]  That's the way our government operates now.
[00:14:51.235 --> 00:14:55.940]  Well, Washington is being vilified in Egypt by both sides of the debate.
[00:14:56.843 --> 00:15:00.008]  This article from the Chicago Tribune has a great photo in it.
[00:15:00.048 --> 00:15:04.654]  It actually shows people holding up a sign that says, Obama is supporting terrorism.
[00:15:04.674 --> 00:15:11.104]  It says, no matter which side you talk to in Egypt, where people have been polarized by a violent political crisis, the U.S.
[00:15:11.164 --> 00:15:12.886]  President is cast as the villain.
[00:15:13.786 --> 00:15:15.948]  Somebody should tell that to Rachel Maddow.
[00:15:15.988 --> 00:15:17.989]  Maybe she should interview some people in Egypt.
[00:15:18.509 --> 00:15:22.032]  Because she doesn't believe that our government is behind terrorism.
[00:15:22.092 --> 00:15:24.534]  She doesn't believe that we fund terrorists like Al-Qaeda.
[00:15:24.974 --> 00:15:27.416]  And in reality, we're probably funding both sides.
[00:15:27.476 --> 00:15:33.260]  We fund not only the terrorist rebels, but we also fund the dictators and the military coup.
[00:15:34.000 --> 00:15:35.862]  And that's being done illegally.
[00:15:36.542 --> 00:15:37.743]  It's actually blowback.
[00:15:37.803 --> 00:15:40.265]  This is what Ron Paul talks about so much, blowback.
[00:15:40.865 --> 00:15:43.407]  Creating animosity on both sides of the issue.
[00:15:43.447 --> 00:15:51.532]  We have to get involved in every conflict, typically supporting both sides, both criminals, because that makes the most money for the military-industrial complex.
[00:15:52.533 --> 00:16:02.780]  But it's not just that we get blowback, it's not just that we make enemies of people, but it's actually something that is being done by design, as I said, so that the military-industrial complex can sell the most amount of weapons.
[00:16:04.488 --> 00:16:13.833]  Now, the journalistic practices of the Washington Post and Walter Pincus are being called into question by an article on The Guardian written by Glenn Greenwald.
[00:16:14.234 --> 00:16:21.678]  This is pretty amazing because in this article, and what's interesting about this, it just shows just how corrupt the mainstream media is.
[00:16:21.698 --> 00:16:32.304]  It shows how they manipulate public opinion because the person who wrote these opinion pieces attacking Glenn Greenwald and the Washington Post is actually Walter Pincus.
[00:16:33.103 --> 00:16:34.004]  Who is Walter Pincus?
[00:16:34.024 --> 00:16:38.669]  Well, Walter Pincus is the national security reporter for the Washington Post.
[00:16:38.689 --> 00:16:39.550]  That's his specialty.
[00:16:40.130 --> 00:16:42.433]  And, of course, he has a lot of experience in that.
[00:16:42.933 --> 00:16:46.637]  This is a man who was a co-intel in the Army.
[00:16:47.560 --> 00:16:56.032]  He also wrote, uh, How I Traveled Abroad on CIA Subsidy, where he recounts how he spied on American students abroad for the U.S.
[00:16:56.052 --> 00:16:56.413]  government.
[00:16:56.913 --> 00:17:02.982]  And then he went to work for the Washington Post, mainstream media promoting the government's narrative.
[00:17:03.803 --> 00:17:05.724]  And now he is attacking Glenn Greenwald.
[00:17:05.744 --> 00:17:14.890]  We've seen a lot of attacks on Glenn Greenwald in the press, as well as in the government, calling for him to be arrested, accusing him of treason.
[00:17:15.031 --> 00:17:20.954]  And in this particular case, I'll let Greenwald, I'll quote from his article here.
[00:17:20.995 --> 00:17:25.898]  He says, the article concocted a frenzied and inane conspiracy theory.
[00:17:25.978 --> 00:17:27.159]  There we go, conspiracy theory.
[00:17:27.799 --> 00:17:37.411]  That it was WikiLeaks and Julian Assange working in secret with myself and Laura Poitras who masterminded the Snowden leaks ahead of time and directed Snowden's behavior and then Assange.
[00:17:37.992 --> 00:17:42.818]  Rather than have WikiLeaks publish the documents itself, they generously directed them to the Guardian.
[00:17:43.279 --> 00:17:46.583]  To peddle this tale, Pincus, in lieu of any evidence,
[00:17:46.783 --> 00:17:50.065]  Spouted all sorts of accusatory innuendo masquerading as questions.
[00:17:50.385 --> 00:17:56.549]  Said things like, did Edward Snowden decide on his own to seek out journalists and then a job at Booz Allen Hamilton's Hawaii facility?
[00:17:56.949 --> 00:18:00.531]  Did Assange and Wicked League personnel help or direct Snowden to those journalists?
[00:18:01.292 --> 00:18:09.337]  He's pointing out that the technique that he's using here is to basically raise questions without any supporting evidence.
[00:18:10.103 --> 00:18:21.866]  Now, Infowars is accused all the time of being conspiracy theorists, and that phrase was first used to attack people who questioned the government's official story about the JFK assassination.
[00:18:22.346 --> 00:18:31.368]  If you didn't believe the magic bullet, or if you saw videos that indicated that he was being shot from the front, you know, you were just a conspiracy theorist.
[00:18:32.088 --> 00:18:38.070]  Well, when we talk about things we have to, that the mainstream media is not talking about, we know we're going to be ridiculed.
[00:18:38.511 --> 00:18:44.173]  So we carefully document what we report, unlike the tactics that the Washington Post uses.
[00:18:44.893 --> 00:18:50.015]  And what he says is that, in part of the debate that is out right now as to what is journalism?
[00:18:50.435 --> 00:18:53.497]  You know, should journalists be licensed by the government?
[00:18:53.577 --> 00:18:55.798]  Should only journalists have freedom of speech?
[00:18:56.138 --> 00:18:58.719]  He said, they jump into this debate and they give us an example.
[00:18:59.279 --> 00:19:01.540]  They answer it this way, they say, what is journalism?
[00:19:02.332 --> 00:19:16.347]  Glenn Greenwald said the Washington Post says, well, you fill up articles on topics you don't know the first thing about with nothing but idle speculation and rank innuendo and evidence-free accusations all under the guise of, quote, just asking questions.
[00:19:17.219 --> 00:19:23.422]  And then he finishes up, the last quote I'll read from him, he says, But shoddy journalism from the Washington Post is far too common to be worth noting.
[00:19:23.943 --> 00:19:33.848]  What was far worse was that Pincus's wild conspiracy theorizing was accomplished only by asserting blatant, easily demonstrated falsehoods.
[00:19:33.928 --> 00:19:35.929]  So he really takes that apart.
[00:19:36.009 --> 00:19:37.170]  It's a great article.
[00:19:37.530 --> 00:19:40.632]  And they took a very long time, very reluctantly,
[00:19:41.393 --> 00:19:48.887]  Uh, doing retractions of the false statements that were put out there, as well as the slander and the innuendo against Glenn Greenwald.
[00:19:51.231 --> 00:19:53.033]  Now, take a look at this next video.
[00:19:53.413 --> 00:19:58.098]  This is another example of what DARPA is working on.
[00:19:58.678 --> 00:20:10.949]  First, it starts out with the Pet Man Project, and now we've got this robot, Atlas, that stands 6'2", is 330 pounds, possibly the most advanced humanoid robot ever built.
[00:20:11.932 --> 00:20:16.013]  And this is part of a contest that is being sponsored by DARPA.
[00:20:16.473 --> 00:20:28.037]  And if you want to know what they are going to use these robots for, what the military industrial complex and the police industrial complex is going to use these robots for, just take a look at the trailer for Elysium.
[00:20:28.757 --> 00:20:29.918]  This is what it's going to look like.
[00:20:30.078 --> 00:20:48.129]  Police robots questioning people and brutalizing them in ways that we're seeing our human robots now in the police departments doing, but it'll be much easier to do that with real robots than it is with police, you know, because the real robots aren't going to develop a conscience.
[00:20:48.509 --> 00:20:50.971]  And maybe the police that we've got won't develop it either.
[00:20:52.423 --> 00:21:01.867]  On a more positive note, we see some pushback from the Tea Party on a petition to prosecute Eric Holder.
[00:21:02.848 --> 00:21:05.249]  And it's gotten over a million signatures.
[00:21:05.289 --> 00:21:06.629]  This is reported on InfoWars.
[00:21:06.729 --> 00:21:12.112]  Actually, theteaparty.net is the site where you can find this petition.
[00:21:13.081 --> 00:21:15.784]  A Tea Party group that launched a petition drive to prosecute U.S.
[00:21:15.824 --> 00:21:22.431]  Attorney General Eric Holder reported on its Facebook page that it has nearly a million signers and the movement is growing by the minute.
[00:21:22.871 --> 00:21:24.613]  This is a quote from the petition.
[00:21:25.254 --> 00:21:27.777]  A person is supposed to be innocent until proven guilty.
[00:21:27.857 --> 00:21:34.324]  That's not the case, however, in Obama's America, when he needs to manipulate the people for his own political expediency.
[00:21:35.148 --> 00:21:37.090]  Who can he always rely on to be his hatchet man?
[00:21:37.330 --> 00:21:39.431]  None other than Attorney General Eric Holder.
[00:21:40.072 --> 00:21:42.854]  Do you stand with us in calling for his resignation and prosecution?
[00:21:43.395 --> 00:21:45.656]  And nearly a million people have answered yes.
[00:21:46.397 --> 00:21:48.298]  And it's not just that pushback.
[00:21:48.719 --> 00:21:54.263]  But we also now have some of the people who are being victimized and having their freedom of religion.
[00:21:54.303 --> 00:21:55.444]  Not freedom from religion.
[00:21:55.804 --> 00:21:58.627]  The First Amendment gives us freedom of religion.
[00:21:59.287 --> 00:22:01.809]  And some of the people who are being persecuted by the U.S.
[00:22:01.849 --> 00:22:07.612]  military are now working to get an amendment, a good amendment, put into the next NDAA.
[00:22:07.632 --> 00:22:09.313]  You know, we all talk about the NDAA.
[00:22:09.593 --> 00:22:17.398]  Nobody had ever heard of it until we had the section that takes and has indefinite detention and warrantless trials for people.
[00:22:21.178 --> 00:22:28.983]  Now we have the Family Research Center who has been the target of vilification from the Southern Poverty Law Center as well as the U.S.
[00:22:29.043 --> 00:22:42.291]  military and they have a coalition of conservative leaders and congressmen who gathered on Capitol Hill July 9th to lend their support to an amendment offered in the National Defense Authorization Act that is designed to protect the religious freedoms of U.S.
[00:22:42.351 --> 00:22:43.291]  military personnel.
[00:22:43.832 --> 00:22:47.334]  That's right, you don't lose your First Amendment protections when you join the military.
[00:22:48.220 --> 00:22:57.009]  The effort was led by Family Research Council, which recently released a report documenting incidences of hostility towards religious expression in the military.
[00:22:57.629 --> 00:23:05.917]  And of course, the Family Research Center itself was attacked by a would-be gunman who fortunately was stopped by a security guard.
[00:23:06.378 --> 00:23:12.764]  The gunman pointed out that he was attacking them because he'd been told by the Southern Poverty Law Center that they were a hate group.
[00:23:13.735 --> 00:23:23.443]  And they've been told that now, they've been labeled that by Pentagon memos and memos from people who were lieutenant colonels and others, high-ranking officials.
[00:23:23.984 --> 00:23:29.689]  And in this article, it points out several different incidences where there's been persecution of Christians.
[00:23:29.749 --> 00:23:36.714]  In 2011, officials at the National Cemetery in Houston banned Christian prayers at funeral services for military personnel.
[00:23:37.715 --> 00:23:48.184]  There was an ethics course that's been part of the training for nuclear missile officers at California's Vandenberg Air Force Base for 20 years that was pulled from the curriculum because it had Christian content.
[00:23:49.145 --> 00:23:58.593]  And in 2012, a Pennsylvania Army Reserve equal opportunity training brief on extremism included evangelical Christianity and Catholicism
[00:23:59.153 --> 00:24:06.235]  As examples of religious extremism along with Al Qaeda, Hamas, Islamophobia, and the Ku Klux Klan.
[00:24:06.255 --> 00:24:15.997]  That's what they're doing is they're trying to take mainstream Christians and mainstream Christian groups and link them with proven hate groups and front groups.
[00:24:16.097 --> 00:24:19.337]  Actually, the Ku Klux Klan is a front group for the U.S.
[00:24:19.417 --> 00:24:22.698]  government now doing COINTEL operations.
[00:24:23.752 --> 00:24:34.874]  But linking them with known real hate groups and just basically guilt by association, as long as they can keep associating them with the Ku Klux Klan, eventually people are going to see them as the same as the Ku Klux Klan.
[00:24:36.015 --> 00:24:43.256]  Now, in a rare instance of candor, Wells Fargo has expressed the truth about fiat currency.
[00:24:43.296 --> 00:24:46.997]  Take a look at this sign that they have in the Wells Fargo banks.
[00:24:47.737 --> 00:24:52.378]  It actually points out that your money is going to be worth a lot less in the future.
[00:24:53.018 --> 00:24:53.819]  So invest it now.
[00:24:54.419 --> 00:24:58.343]  The problem is they're telling you to invest it in dollar-denominated investments.
[00:24:58.703 --> 00:25:03.587]  The cognitive dissonance about the dollar never fails to amaze me, it says on this InfoWars article.
[00:25:03.927 --> 00:25:10.272]  People know in their bones that their dollars will be worth a lot less in the future, yet they continue to trust and cling to the dollar as a store of values.
[00:25:10.953 --> 00:25:22.241]  Commodities like copper with an industrial demand may fall in price even drastically in the midst of a global depression, but the 30% or so drop in the price of something like copper will be running hard against the U.S.
[00:25:22.261 --> 00:25:24.383]  government's need to inflate away the value of the U.S.
[00:25:24.403 --> 00:25:28.586]  dollar by having the Fed create new money to buy up more and more government debt.
[00:25:29.386 --> 00:25:29.806]  That's right.
[00:25:29.886 --> 00:25:35.048]  You're going to need to have your money in something that is not a dollar-denominated fiat currency.
[00:25:35.088 --> 00:25:37.068]  If you're worried about it, runaway inflation.
[00:25:37.509 --> 00:25:47.752]  Right now, for quite some time, the government has been engaged, the Federal Reserve has been engaged, not the government, but the private Federal Reserve, has been engaged in a policy of quantitative easing.
[00:25:48.192 --> 00:25:51.093]  And they've created massive amounts of currency.
[00:25:51.393 --> 00:25:57.735]  That currency is still on deposit, largely, at the banks, where they are earning more money than they would if they'd lend it out.
[00:25:58.681 --> 00:26:04.826]  If interest rates go up and they start lending that money out, you can expect to see some massive inflation.
[00:26:04.886 --> 00:26:10.011]  So you might want to invest your money in gold or even in brass and lead.
[00:26:10.751 --> 00:26:12.633]  Something that is going to retain its value.
[00:26:12.653 --> 00:26:22.702]  And besides investing in commodities, you might want to invest in helping to wake people up and inform them about the Federal Reserve and other issues that the mainstream press ignores.
[00:26:22.762 --> 00:26:25.024]  Now you can get a membership, Prison Planet TV,
[00:26:26.118 --> 00:26:29.502]  Up to 10 other people can watch the news simultaneously.
[00:26:29.562 --> 00:26:31.303]  It's a great way to spread the information.
[00:26:31.323 --> 00:26:33.846]  It's a great way to inform people and to wake them up.
[00:26:34.607 --> 00:26:36.969]  Well, that's it for the news portion tonight.
[00:26:37.069 --> 00:26:38.451]  Stay tuned right after the break.
[00:26:39.091 --> 00:26:44.437]  Alex Jones was a special guest this last weekend in Austin at an event held by TexMars.
[00:26:44.477 --> 00:26:47.019]  And we thought the speech was so good, you'd want to see it.
[00:26:47.079 --> 00:26:48.361]  So stay tuned right after the break.
[00:26:48.581 --> 00:26:49.382]  We've got that for you.
[00:26:54.249 --> 00:26:58.771]  Now you can watch the InfoWars Nightly News streaming live as it happens for free.
