[00:00:03.652 --> 00:00:05.702]  You're listening to GCN.
[00:04:15.787 --> 00:04:16.528]  Then it would have been okay.
[00:04:16.828 --> 00:04:25.613]  Hey, Mike Tyson could go into women's boxing and he could put a wig on and smoke a cigar and that's the end of it.
[00:04:25.713 --> 00:04:26.954]  I mean, you know, why?
[00:04:27.034 --> 00:04:27.674]  I mean, you know what?
[00:04:27.854 --> 00:04:31.756]  I think I'm going to go out for the Olympic
[00:04:34.932 --> 00:04:35.372]  I don't know.
[00:04:36.033 --> 00:04:37.774]  How about curling or something?
[00:04:37.794 --> 00:04:43.498]  And I'm going to go out and go against a weight division lower than me, too, of women, and then just, that's it.
[00:04:43.518 --> 00:04:46.260]  As long as I wear a wig, say I'm a woman, that's the end of it.
[00:04:46.280 --> 00:04:47.121]  People go, oh, you're being mean.
[00:04:47.141 --> 00:04:48.882]  People say they think they're women.
[00:04:49.182 --> 00:04:55.526]  The point is, ladies and gentlemen, this famous African runner that was beating all the women, it turned out he had huevos.
[00:04:56.127 --> 00:04:57.228]  He had testosterone.
[00:04:57.468 --> 00:04:57.948]  He was obvious.
[00:04:57.968 --> 00:04:58.949]  Everybody said, that's a man.
[00:04:58.969 --> 00:05:00.090]  They said, how dare you, bigot.
[00:05:00.510 --> 00:05:02.952]  The guy's got six packs and looks like Arnold Schwarzenegger.
[00:05:03.732 --> 00:05:05.056]  Either that or he's juicing!
[00:05:05.618 --> 00:05:06.981]  And of course it turned out it was a man!
[00:05:07.001 --> 00:05:09.167]  Okay, I mean, that's all I'm saying here.
[00:05:10.578 --> 00:05:14.220]  Are we choosing our own destiny or has it been pre-selected for us?
[00:05:14.440 --> 00:05:19.722]  As we've moved through history, every great leader has had to understand the potential of information.
[00:05:19.962 --> 00:05:27.505]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[00:05:27.685 --> 00:05:36.809]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[00:05:37.009 --> 00:05:43.993]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[00:05:44.174 --> 00:05:47.035]  All of this is happening so fast, you need to be ahead of the game.
[00:05:47.055 --> 00:05:54.000]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[00:05:54.560 --> 00:05:55.461]  Oh, there's another one!
[00:05:55.502 --> 00:05:56.563]  Another plane just hit!
[00:06:11.147 --> 00:06:18.453]  Dozens of diseases ranging from the common cold and flu to MRSA and pneumonia are all caused by infectious pathogens.
[00:06:18.894 --> 00:06:22.697]  Fortunately, a simple, safe and effective alternative exists.
[00:06:23.157 --> 00:06:36.709]  Supernatural Silver is a new and vastly improved type of silver solution that is safe and extremely effective against 143 types of bacteria, both forms of viruses, mold and yeast, and a limited number of parasites.
[00:06:37.269 --> 00:06:39.191]  It can even purify water!
[00:06:39.731 --> 00:06:44.413]  Supernatural Silver comes in both liquid and gel for internal or external use.
[00:06:44.853 --> 00:06:56.338]  With over 180 scientific studies by independent universities, hospitals, research institutions and nursing homes, Supernatural Silver is a powerful weapon in the fight against disease.
[00:06:56.639 --> 00:07:04.502]  To see how Supernatural Silver can give you and your loved ones protection and peace of mind, go to SupernaturalSilver.com.
[00:07:04.922 --> 00:07:08.904]  Use the promo code PROTECTED for 20% off and like us on Facebook.
[00:07:10.407 --> 00:07:21.575]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[00:07:22.195 --> 00:07:33.363]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[00:07:33.643 --> 00:07:39.868]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:07:40.288 --> 00:07:43.310]  You're getting soap products twice as good as what you're using now.
[00:07:43.851 --> 00:07:48.274]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:07:48.514 --> 00:07:55.579]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:07:55.879 --> 00:07:59.982]  Alex and his staff have used these earth-friendly pure soaps for years.
[00:08:00.522 --> 00:08:05.366]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:08:20.876 --> 00:08:24.358]  Resistance to tyrants is obedience to God.
[00:08:24.958 --> 00:08:26.799]  It's Alex Jones.
[00:08:31.321 --> 00:08:34.962]  Ladies and gentlemen, it is already Friday, the 16th day of August.
[00:08:39.912 --> 00:08:42.654]  2013.
[00:08:39.952 --> 00:08:42.654]  We're here Monday through Friday 11 a.m.
[00:08:42.674 --> 00:08:43.154]  to 2 p.m.
[00:08:43.194 --> 00:08:43.595]  Central.
[00:08:44.095 --> 00:08:46.016]  Back Sundays with a live transmission.
[00:08:46.037 --> 00:08:48.338]  I'll be live this Sunday 4 to 6 p.m.
[00:08:48.398 --> 00:08:50.059]  Central Standard Time as well.
[00:08:50.700 --> 00:08:54.142]  Websites are InfoWars.com and PrisonPlanet.com.
[00:08:54.683 --> 00:08:59.967]  Well, let me just get into the news right now, at least the headlines, as best I can.
[00:09:02.130 --> 00:09:03.711]  And then we're going to break down who's coming up.
[00:09:03.731 --> 00:09:06.573]  We're popping in at the bottom of the hour.
[00:09:06.633 --> 00:09:08.575]  We have James Nabors and Dallas Thurman.
[00:09:09.195 --> 00:09:21.864]  They're launching again a national program to have people show up on overpasses across the nation calling for the impeachment of Obama for his violations of the Second Amendment and the Fourth Amendment with the NSA.
[00:09:22.845 --> 00:09:27.127]  Kevin Booth, who is exclusively allowing us to distribute on DVD.
[00:09:27.147 --> 00:09:29.108]  It's about to air on cable next month.
[00:09:29.689 --> 00:09:32.950]  His new film, American Drug War II, that's even better than the first, that's award-winning.
[00:09:33.311 --> 00:09:35.432]  Wall Street Journal calls it a game changer.
[00:09:36.155 --> 00:09:37.976]  I mean, it's an amazingly powerful film.
[00:09:37.996 --> 00:09:44.378]  It gets into the CPS, the drugging of kids, big pharma, how they're persecuting people taking their kids if they smoke marijuana.
[00:09:45.318 --> 00:09:48.959]  That is all coming up in the second hour with my old friend Kevin Booth.
[00:09:49.319 --> 00:09:50.900]  And then I'm going to see if I can get Mike Adams on.
[00:09:50.940 --> 00:09:58.122]  He's broken some big news about more Gellin-style fibers, in his words, in a food lab they've basically set up.
[00:09:58.662 --> 00:10:04.164]  You know, they've done a lot of testing in the past through other companies, but they're doing it now, of bizarre hair-like fibers in the
[00:10:05.504 --> 00:10:06.768]  McImaginary Chicken.
[00:10:07.931 --> 00:10:10.979]  So, the McWienus Chicken or whatever you want to call it.
[00:10:11.500 --> 00:10:13.385]  So, uh, I guess that's the...
[00:10:15.623 --> 00:10:15.963]  Never mind.
[00:10:16.283 --> 00:10:22.188]  The point is, is that, we'll see when we get him to pop in as well, that news is up on InfoWars.com, right now on the nuggets from NaturalNews.com.
[00:10:22.688 --> 00:10:24.489]  Wow, where to start here?
[00:10:25.490 --> 00:10:28.392]  This is the type of videos and news articles I have.
[00:10:28.732 --> 00:10:33.356]  SWAT team ties up students, blows out tires during bus hijacking drill.
[00:10:34.096 --> 00:10:37.219]  And like many of the drills, many of the children were not warned of what was going to happen.
[00:10:37.859 --> 00:10:39.401]  So just absolute terrorizing.
[00:10:39.961 --> 00:10:41.983]  Again, Chicken McNuggets contains strange fibers.
[00:10:42.023 --> 00:10:44.185]  Microscopic forensic investigation by the Health Ranger.
[00:10:44.966 --> 00:10:53.815]  Ron Paul says the drug companies and insurance companies are the ones who hate and who write the laws, like the health care law.
[00:10:54.963 --> 00:10:57.404]  I had a Freudian slip, I was going to say, who hate us.
[00:10:58.045 --> 00:10:59.205]  I have Freudian slips all the time.
[00:10:59.285 --> 00:11:03.107]  It's like, I'll call Obama Hitler and then I'll do it.
[00:11:03.807 --> 00:11:08.390]  Again, Ron Paul, the drug companies and the insurance companies are the ones who write these laws.
[00:11:08.430 --> 00:11:09.310]  He breaks down the truth.
[00:11:09.330 --> 00:11:13.152]  I mean, that's not a joke.
[00:11:13.172 --> 00:11:14.593]  I mean, that's not even our opinion.
[00:11:15.053 --> 00:11:16.634]  I know it sounds crazy.
[00:11:17.697 --> 00:11:22.881]  Because Obama's like, we're going to get the insurance companies and the rich guys and the rich people with this health care law.
[00:11:22.941 --> 00:11:23.641]  Communism!
[00:11:24.061 --> 00:11:24.762]  Forward!
[00:11:25.482 --> 00:11:26.583]  Socialist soldiers!
[00:11:26.823 --> 00:11:28.044]  Using terms like forward.
[00:11:28.625 --> 00:11:30.526]  MSNBC, your kids belong to the state.
[00:11:32.327 --> 00:11:35.309]  No, your kids belong to the foreign corporations that are above the law and tax exempt.
[00:11:35.329 --> 00:11:40.273]  95-year-old vet died after resisting medical treatment.
[00:11:41.155 --> 00:11:41.435]  I think?
[00:11:59.784 --> 00:12:08.634]  Some other very important news, obviously, geopolitically dealing with what's happening over in Egypt in just a moment.
[00:12:09.255 --> 00:12:11.037]  Some of the big news up on
[00:12:12.173 --> 00:12:14.534]  Infowars.com right now.
[00:12:14.774 --> 00:12:15.074]  U.S.
[00:12:15.314 --> 00:12:23.396]  Army buys nearly 600,000 Soviet AK-47 magazines.
[00:12:23.476 --> 00:12:31.678]  Now, this is one of the least expensive, most readily available, well-functioning guns that the American Patriot has gotten.
[00:12:32.398 --> 00:12:36.720]  Because the AK-47 and its variants are made in over a hundred countries.
[00:12:37.480 --> 00:12:44.724]  It's a 1940s design, based off a German design partially, but perfected by the Russians by Kalashnikov.
[00:12:45.544 --> 00:12:48.646]  It is the most famous gun probably in history.
[00:12:49.466 --> 00:12:51.748]  And I own like five of them myself.
[00:12:51.948 --> 00:12:55.091]  I've shot deer, wild hogs with them at hundreds of yards, open sights.
[00:12:55.131 --> 00:12:56.692]  They're just amazing little firearms.
[00:12:58.874 --> 00:13:01.196]  They've really been perfecting the M4.
[00:13:01.617 --> 00:13:03.999]  I didn't used to like the M4, but now I like it.
[00:13:04.039 --> 00:13:05.040]  It works pretty good.
[00:13:06.561 --> 00:13:14.828]  I don't know which rifle's my favorite, but for the cost, an AK-47 is the gun, in my humble opinion.
[00:13:15.788 --> 00:13:18.250]  And the 7.6239 round that it fires.
[00:13:18.851 --> 00:13:26.077]  You could buy these 20 years ago from Norinco for $100, and I've got a couple that I bought still that are great.
[00:13:26.497 --> 00:13:29.339]  You could buy Bulgarian for a couple hundred dollars, even better.
[00:13:29.800 --> 00:13:31.461]  You could buy Russian for a couple hundred dollars.
[00:13:31.501 --> 00:13:39.468]  They're now $500, $600, $700, over $1,000 in some cases because of Clinton's import ban that then expired under Bush.
[00:13:39.968 --> 00:13:41.810]  Now they've brought it back by fiat.
[00:13:43.766 --> 00:13:51.363]  Chinese regulations outside of law to block them coming in, but we reported on the Pentagon buying millions of the guns last month.
[00:13:52.844 --> 00:14:09.295]  Just about 18 days ago, right at the end of July, millions, what it was almost 4 million AK-47s and SKSs, like 3,100,000 AK-47s and almost another 900,000 SKSs.
[00:14:09.615 --> 00:14:10.976]  Kit Daniels wrote about that.
[00:14:11.396 --> 00:14:19.842]  Well, Kit Daniels, who just weekly goes and looks at the Federal Registrar and to see where on the Fed.biz site the bids are being put out,
[00:14:21.841 --> 00:14:29.826]  They have bought now 600,000 on top of the millions they just bought of the mags with the guns.
[00:14:30.327 --> 00:14:31.968]  More mags to dry those up.
[00:14:32.248 --> 00:14:33.969]  So this is every few weeks this is going on.
[00:14:34.309 --> 00:14:40.053]  They're buying tens of millions of rounds of the 7.6239 and we found purchases last year.
[00:14:40.453 --> 00:14:42.975]  And by the way, he looked into this about a month ago.
[00:14:43.615 --> 00:15:02.840]  When we're getting tips from gun manufacturers and ammo depots, and then I made some phone calls and confirmed that indeed they're not getting the 7.6239 ammo, just like they're not getting all the other NATO rounds, because the Pentagon and Homeland Security will buy whatever anybody can make.
[00:15:02.940 --> 00:15:08.562]  Basically, if you can make it, they'll put an order in so big that you can only sell them for a year, two, three years.
[00:15:09.842 --> 00:15:12.263]  If you up the size of your factory, they'll go four years out.
[00:15:14.494 --> 00:15:35.567]  So this is unbelievable, ladies and gentlemen, that they are stockpiling millions and millions and millions and millions of rounds of ammo that, here's the key, the Pentagon, Homeland Security, all these domestic armies now, have never used and do not use.
[00:15:38.408 --> 00:15:40.810]  And it was hitting me last night,
[00:15:46.900 --> 00:15:59.250]  It hit me last night that, wow, I need to sit back and really think about the extremeness of all of this.
[00:15:59.711 --> 00:16:11.140]  7,000 plus giant war wagons, or it's like 2,300 a year in the last five years, I don't know, I guess that, I keep using a number a couple years old, I guess it's probably, I don't know, it's 2,300 for five years.
[00:16:14.921 --> 00:16:15.282]  It's over 10,000.
[00:16:16.323 --> 00:16:21.029]  The point is, is that they're buying thousands and thousands of giant new armored vehicles.
[00:16:23.972 --> 00:16:26.736]  They have used Iraq and other wars
[00:16:31.886 --> 00:16:41.992]  Like Afghanistan, on record, MIT and the Pentagon admit this, to battle-harden the military for domestic operations against the American people.
[00:16:42.733 --> 00:16:46.795]  Some years they buy 2,300 of these vehicles, other years it's 2,700.
[00:16:47.176 --> 00:16:52.339]  The point is, is that the Bradley fighting vehicles are being pre-deployed all over the country.
[00:16:53.959 --> 00:16:56.520]  Abrams are being pre-deployed around the country.
[00:16:57.621 --> 00:17:02.523]  Warrior fighting vehicles are being pre-deployed around the country.
[00:17:02.843 --> 00:17:15.248]  And then I read yesterday, out of the New Hampshire newspapers, where the police chiefs are getting Homeland Security grants, and in the grants it says, for combat with sovereign citizens, militia, and the Tea Party.
[00:17:16.528 --> 00:17:21.350]  And the Army War College came out last year, we reported on it, Washington Times, to their credit, picked up on it.
[00:17:23.544 --> 00:17:26.685]  They had the image of a flag with a teapot on it with bullet holes in it.
[00:17:27.305 --> 00:17:29.786]  And the headline that Pentagon prepares for war with Tea Party.
[00:17:29.806 --> 00:17:31.367]  Let's show TV viewers that.
[00:17:31.427 --> 00:17:33.207]  Radio listeners can just look it up.
[00:17:34.008 --> 00:17:35.148]  And I know I harp on this.
[00:17:35.248 --> 00:17:36.129]  It's just wow.
[00:17:36.189 --> 00:17:37.329]  It's unconstitutional.
[00:17:37.909 --> 00:17:38.669]  It's illegal.
[00:17:39.250 --> 00:17:41.030]  It's historically incredibly dangerous.
[00:17:41.490 --> 00:17:42.791]  It's incredibly obvious.
[00:17:44.523 --> 00:17:47.786]  And they're trying to train the cops to have this arrogant bearing towards the public.
[00:17:47.806 --> 00:17:51.370]  They've got face scanning and license plate scanning cameras going up everywhere.
[00:17:51.790 --> 00:17:58.737]  All the official training manuals for police say it's for gun owners, returning veterans, conservatives, libertarians, in the fetters.
[00:17:59.177 --> 00:18:00.499]  I mean, this is open treason!
[00:18:02.475 --> 00:18:15.547]  And now they're saying every rodeo clown in Missouri has got to take $300 to $500 to $1,000, depending on who you go to, mandated federal classes and sensitivity or you'll be fined through the state by the feds.
[00:18:15.587 --> 00:18:19.270]  I mean, it's just authoritarianism because one guy wore an Obama mask.
[00:18:19.630 --> 00:18:21.492]  I mean, it's like North Korea or something.
[00:18:21.832 --> 00:18:24.234]  Talk bad about Kim Jong-un or his stupid daddy or his...
[00:18:25.135 --> 00:18:29.240]  His stupid father, you know, grandpa, the hereditary dictator, and you disappear.
[00:18:29.320 --> 00:18:30.982]  I mean, that's what we're getting close to here.
[00:18:31.282 --> 00:18:32.424]  They run TV ads.
[00:18:33.765 --> 00:18:35.187]  Put out by the police in Missouri.
[00:18:35.207 --> 00:18:35.988]  We've played these here.
[00:18:36.328 --> 00:18:38.951]  Going, if you talk bad about Obama, we're going to arrest you.
[00:18:38.991 --> 00:18:39.452]  Is that clear?
[00:18:40.447 --> 00:18:44.990]  We decide what isn't true, or we decide what's not respectful.
[00:18:45.490 --> 00:18:46.971]  You will respect your dictator.
[00:18:47.072 --> 00:18:49.353]  I mean, even the Russian newspapers.
[00:18:49.413 --> 00:18:53.496]  I've got articles here and there going, man, America is like the old Soviet Union.
[00:18:53.616 --> 00:18:54.817]  What is going on here?
[00:18:57.150 --> 00:18:59.212]  And I'll tell you what's going on, ladies and gentlemen.
[00:18:59.232 --> 00:19:11.541]  We've got authoritarians trying to take over, and most of the Republican leadership, like Lindsey Graham and Karl Rove and all the rest of them, are lined up behind it because they're part of the very same foreign banking takeover.
[00:19:12.142 --> 00:19:16.925]  They're just going to use leftist ideology as the cutting-edge front of this takeover.
[00:19:18.106 --> 00:19:26.973]  And that's why they get up on MSNBC and say, Alex Jones, but not just him, he's the prophet of the libertarians that carried out the Boston bombing.
[00:19:29.124 --> 00:19:29.646]  Think about that.
[00:19:29.706 --> 00:19:36.184]  Now the Czarnev brothers, Zohar and Tamerlan, are
[00:19:37.304 --> 00:19:38.065]  Libertarians.
[00:19:38.385 --> 00:19:40.947]  Not only are they convicted, even though they're obvious patsies.
[00:19:40.987 --> 00:19:43.209]  Killed one, killed their friends, shot up the other.
[00:19:43.670 --> 00:19:44.611]  He's pled not guilty.
[00:19:44.631 --> 00:19:45.952]  On the news they say he did it.
[00:19:46.592 --> 00:19:47.573]  But now we did it.
[00:19:47.673 --> 00:19:49.135]  See, we're the enemy, folks.
[00:19:49.575 --> 00:19:53.879]  And that's why they're on the news saying it should be illegal to criticize this government.
[00:19:54.299 --> 00:19:57.242]  Because this government is illegitimate and is occupied.
[00:19:57.542 --> 00:19:58.623]  And this is not a game.
[00:19:58.663 --> 00:19:59.344]  It's not a joke.
[00:20:00.506 --> 00:20:03.069]  And they want to start a civil war in this country.
[00:20:03.529 --> 00:20:05.331]  Stage false flags and blame it on us.
[00:20:05.791 --> 00:20:07.072]  And they're preparing for war.
[00:20:07.473 --> 00:20:09.315]  Now we can lay down and die or stand up.
[00:20:10.720 --> 00:20:12.541]  You've thought about it for years.
[00:20:12.721 --> 00:20:14.221]  Well, the time is now.
[00:20:14.421 --> 00:20:17.662]  You need a secret bunker, and you need it deep and strong.
[00:20:17.862 --> 00:20:21.344]  Atlas Survival Shelters should be your first and only choice.
[00:20:21.564 --> 00:20:28.706]  The experts at Atlas can help you choose a shelter that has all the comforts of your home, and is 11 times stronger than square box shelters.
[00:20:28.946 --> 00:20:31.487]  Call Atlas at 1-855-4BUNKERS.
[00:20:31.507 --> 00:20:33.588]  1-855-4BUNKERS.
[00:20:33.908 --> 00:20:35.949]  Or visit iwantthatbunker.com.
[00:20:36.229 --> 00:20:37.609]  Atlas Survival Shelters.
[00:20:37.989 --> 00:20:39.950]  Better prepared than scared.
[00:20:40.430 --> 00:20:42.791]  Can you go without a good meal for three days?
[00:20:43.091 --> 00:20:45.332]  Is your pantry prepared for what's around the corner?
[00:20:45.572 --> 00:20:49.154]  At PantryPrepared.com, we offer gourmet meals for any budget.
[00:20:49.234 --> 00:20:53.596]  They're GMO-free, contain no MSG, and have a 25-year shelf life.
[00:20:53.816 --> 00:20:55.537]  Gluten-free meals are also available.
[00:20:55.737 --> 00:21:00.380]  Order this week and get free shipping and a free cube stove that heats up to 1200 degrees.
[00:21:00.540 --> 00:21:04.602]  To learn more about a free one-year supply package, visit pantryprepared.com.
[00:21:04.662 --> 00:21:07.743]  That's pantryprepared.com or call 801-913-1441.
[00:21:08.344 --> 00:21:15.328]  There are those curious about bitcoins and those using and making money with bitcoins.
[00:21:15.808 --> 00:21:16.988]  What are bitcoins?
[00:21:17.449 --> 00:21:23.452]  A bitcoin is the first decentralized currency that can be easily transferred from person to person over the internet.
[00:21:23.912 --> 00:21:25.353]  No bank needed.
[00:21:25.733 --> 00:21:31.015]  This means lower fees and accounts can never be frozen, limited or closed.
[00:21:31.415 --> 00:21:33.235]  You are in control of your money.
[00:21:33.696 --> 00:21:34.496]  And the best part?
[00:21:34.856 --> 00:21:38.077]  You can start earning and making money with Bitcoins right away.
[00:21:38.477 --> 00:21:45.860]  No computer or expertise is required to earn money with Bitcoins and a growing number of merchants now accept Bitcoins.
[00:21:46.340 --> 00:21:50.042]  Plus, they're easily exchanged for dollars, euros, and more.
[00:21:50.382 --> 00:22:01.889]  Learn more about the easiest, cheapest, most profitable way to enter the Bitcoin market and get paid every two weeks by one of the fastest growing Bitcoin miners in the world at cloudhashing.com.
[00:22:02.369 --> 00:22:05.231]  Just like it sounds, cloudhashing.com.
[00:22:05.631 --> 00:22:07.552]  That's cloudhashing.com.
[00:22:07.952 --> 00:22:09.473]  We mine your business.
[00:22:09.953 --> 00:22:11.115]  Hello, I'm Alex Jones.
[00:22:11.395 --> 00:22:21.828]  Myself, my family, the InfoWars.com team want to relay to you and your families that we are intensifying our efforts against the globalists on every front.
[00:22:22.069 --> 00:22:26.154]  InfoWars.com is leading the fight against the technocrats.
[00:22:26.494 --> 00:22:28.936]  But we can't do that without your help.
[00:22:29.257 --> 00:22:40.087]  By getting the films, bumper stickers, and t-shirts at InfoWars.com, you will wake up people in your area and support our operation as we move to the next level.
[00:22:40.528 --> 00:22:43.691]  We need your help to spread the word like never before.
[00:22:44.011 --> 00:22:49.676]  They wish to hide themselves during this tectonic battle between the forces of freedom and darkness.
[00:22:50.156 --> 00:22:59.664]  You are the response to the globalist technocrats and their program of global eugenics dehumanization and ultimate extermination.
[00:23:00.064 --> 00:23:01.225]  The war is here.
[00:23:01.545 --> 00:23:02.946]  It's an info war.
[00:23:03.447 --> 00:23:05.108]  The spirit of 1776 versus the mindset of 1984.
[00:23:09.992 --> 00:23:11.213]  Don't throw away leftovers.
[00:23:11.553 --> 00:23:17.355]  Instead, throw all your leftovers, vegetable peels, eggshells, coffee grounds, pizza crusts, and more into the Bokashi!
[00:23:17.635 --> 00:23:22.997]  If you love to garden and compost, but don't like the hassle of turning a compost bin or the smell, then check out the E.M.
[00:23:23.037 --> 00:23:25.559]  Bokashi Food Waste Recycling System from Terragonics.
[00:23:25.839 --> 00:23:31.281]  Finally, a way to recycle all your food and plant waste safely and effectively and stop using fertilizers.
[00:23:31.481 --> 00:23:31.941]  The E.M.
[00:23:31.961 --> 00:23:33.702]  Bokashi Food Waste Recycling System.
[00:23:34.002 --> 00:23:43.769]  Rather than decomposition, the Bokashi system uses fermentation to break down waste, so it takes less time to create nutrient-dense humus for crops or gardens, with no turning and no obnoxious odors.
[00:23:44.069 --> 00:23:48.912]  To learn more and order your Bokashi online, visit terragonics.com and click on the orange button.
[00:23:49.133 --> 00:23:54.136]  That's terragonics.com, spelled T-E-R-A-G-A-N-I-X dot com.
[00:23:54.316 --> 00:23:54.757]  Or call 866-369-3678.
[00:23:54.777 --> 00:23:55.017]  That's 866-369-3678.
[00:24:01.221 --> 00:24:06.626]  Recycle all your food wastes in about six weeks with the Bokashi Food Waste Recycling System from Terragonics.com.
[00:24:06.866 --> 00:24:07.487]  Terragonics.
[00:24:07.827 --> 00:24:08.528]  Life's getting better!
[00:24:16.664 --> 00:24:18.644]  Alright folks, Alex Jones here back live.
[00:24:18.724 --> 00:24:23.366]  Thank you for joining us on this Friday Worldwide Broadcast.
[00:24:23.506 --> 00:24:39.309]  I think what I'm trying to get across to everybody is that I have a sense of urgency like I've never had, a sense of foreboding, but also an optimistic sense of human potential and destiny in all of us to really shine in these dark times that we've entered.
[00:24:40.549 --> 00:24:42.930]  Because this is a great awakening that's happening right now.
[00:24:43.792 --> 00:24:58.082]  And just because the globalists have control of the central banks, just because they have control of the corrupt federal government, just because they have control of the centralized military, does not mean they have control of the hearts and the minds of the people.
[00:24:59.523 --> 00:25:01.905]  Congress has a 10% approval rating.
[00:25:02.706 --> 00:25:06.248]  Obama, with his supporters, has what, like a 45% approval rating.
[00:25:09.585 --> 00:25:13.446]  On many fronts, and is hemorrhaging out, and it doesn't matter.
