[00:00:06.280 --> 00:00:07.581]  Hey, I'm Christy Hightower.
[00:02:36.727 --> 00:02:36.987]  Yeah.
[00:02:37.147 --> 00:02:38.688]  And people were like, this isn't true.
[00:02:39.089 --> 00:02:40.030]  Why don't you show us?
[00:02:40.070 --> 00:02:41.311]  Well, I was in Galveston.
[00:02:41.431 --> 00:02:41.631]  Right.
[00:02:41.791 --> 00:02:43.332]  You know, we have free speech zones.
[00:02:43.352 --> 00:02:46.935]  We have people being arrested all over the country for filming police in public.
[00:02:47.636 --> 00:02:49.878]  And then we've got people still in denial.
[00:02:50.218 --> 00:02:51.900]  And that's why this tyranny is getting so bad.
[00:02:52.160 --> 00:02:53.501]  When we first had a story.
[00:02:54.762 --> 00:03:01.286]  On Sunday, about how they were announcing that they were going to take 10% out of people's bank accounts in Cyprus, across the board.
[00:03:02.467 --> 00:03:07.810]  Again, InfoWars had links to the foreign press, and people were saying, you're a liar, it's not happening.
[00:03:08.191 --> 00:03:10.152]  And then of course, now that it's admitted, we're still liars.
[00:03:10.692 --> 00:03:16.876]  And it just shows that people are totally in denial, and that's what's encouraging all this tyranny.
[00:03:17.196 --> 00:03:24.900]  That's what encourages the former Press Secretary Robert Gibbs to lie and say there is no international drone program, even though it was a program on record.
[00:03:25.121 --> 00:03:25.501]  Absolutely.
[00:03:25.541 --> 00:03:35.127]  That's what encourages them to say there's no two billion bullets, is that it is now a sacrament or a shield of ignorance in America to value your ignorance.
[00:03:35.747 --> 00:03:39.009]  And you're not winning by living in a delusional la-la land.
[00:03:39.429 --> 00:03:48.717]  I want you out of Alice in Wonderland, the media system, the dinosaur media deception system, and to go and start researching and waking up and getting out of your trance.
[00:03:48.737 --> 00:03:50.498]  I mean, you talk to people.
[00:03:50.578 --> 00:03:51.359]  Are they connected?
[00:03:51.439 --> 00:03:52.039]  Are they awake?
[00:03:52.099 --> 00:03:53.060]  Are you able to talk to them?
[00:03:53.420 --> 00:03:54.421]  Or are they just not even real?
[00:03:56.559 --> 00:03:57.319]  In their own world.
[00:03:57.919 --> 00:03:59.080]  And that's really our problem.
[00:03:59.200 --> 00:04:00.040]  In America!
[00:04:00.320 --> 00:04:05.761]  Then I had people going in and out of the South by Southwest buildings coming over and going, Get a life, Alex!
[00:04:06.181 --> 00:04:07.962]  You shouldn't be down here to us and stuff.
[00:04:07.982 --> 00:04:14.763]  So you're on notice while you're in your make-believe movie star crap in your local Austin Chronicle Mafia!
[00:04:15.503 --> 00:04:19.364]  I came back to Austin because you told my crew that you had Alzheimer's disease.
[00:04:19.664 --> 00:04:21.465]  I've got to wake up and go to the doctor.
[00:04:22.785 --> 00:04:23.526]  I pay taxes.
[00:04:23.606 --> 00:04:24.627]  I live here in Austin.
[00:04:25.207 --> 00:04:28.990]  I can't hand out magazines about freedom in America?
[00:04:29.471 --> 00:04:32.053]  And then some people are like, OK, it's bad, but what's the big deal?
[00:04:32.573 --> 00:04:35.736]  Well, then, I mean, there are no rights, then, if you're just going to say, what's the big deal?
[00:04:35.796 --> 00:04:37.377]  So that's why we did it.
[00:04:37.497 --> 00:04:41.641]  And the March issue is almost sold out in bulk in groups of 10 up to 100.
[00:04:41.681 --> 00:04:42.842]  Buy it at cost.
[00:04:43.182 --> 00:04:44.783]  Big, glossy, color magazine.
[00:04:45.544 --> 00:04:50.269]  And I'm just so thrilled to be getting these out to people, exposing the deep dark secrets of the New World Order.
[00:04:50.709 --> 00:04:59.038]  This is so important for you to wake up, friends and family, because now that print is going out, there's now a nostalgia forming and people are really into it.
[00:04:59.178 --> 00:05:00.680]  Just like records.
[00:05:00.720 --> 00:05:02.582]  Just like records, exactly.
[00:05:02.602 --> 00:05:04.103]  You've got to hit the trendies with that, Alex.
[00:05:04.123 --> 00:05:05.645]  Make it cool to be in paper again.
[00:05:05.885 --> 00:05:07.707]  Yeah, well I'm predicting...
[00:05:09.068 --> 00:05:12.490]  I mean, I predicted a while ago that would happen, and it's actually happening.
[00:05:12.770 --> 00:05:17.013]  You can also get a subscription at InfoWarsTore.com, but enough of that.
[00:05:17.354 --> 00:05:18.834]  We are financed by your support.
[00:05:19.115 --> 00:05:21.676]  With this, it's just pure love, because we put it out at cost.
[00:05:22.277 --> 00:05:24.618]  But get us a yearly subscription, or get them in bulk.
[00:05:25.259 --> 00:05:28.861]  Now, that's my little thing up front with Ask Christy, as we call it.
[00:05:29.261 --> 00:05:30.082]  Truly Ask Alex.
[00:05:30.282 --> 00:05:31.342]  That's the joke around the office.
[00:05:31.382 --> 00:05:32.262]  Like, let's ask Christy.
[00:05:32.302 --> 00:05:33.923]  I'm like, I don't know everything, Alex.
[00:05:33.963 --> 00:05:35.623]  You're the one that everyone wants to talk to.
[00:05:35.883 --> 00:05:38.924]  Alex, you seem to be a bit of a space nerd sometimes.
[00:05:39.144 --> 00:05:40.264]  I like how they started.
[00:05:41.224 --> 00:05:43.344]  Have you looked into the Mars One mission at all?
[00:05:43.585 --> 00:05:46.525]  And I just got my hoodie and coffee mug in the mail.
[00:05:46.565 --> 00:05:51.406]  It seems as though the foundation legitimately wants to start sending immigrants to Mars by 2023.
[00:05:52.526 --> 00:05:53.846]  So I think this is a noble endeavor.
[00:05:53.866 --> 00:05:55.207]  And what do you think of this group?
[00:05:55.267 --> 00:05:56.287]  Have you heard of them either?
[00:05:56.747 --> 00:06:00.749]  Man, I'm going to have to start reading this stuff to show how ignorant I am.
[00:06:00.810 --> 00:06:02.250]  Here, I'll search it right now.
[00:06:02.270 --> 00:06:05.853]  The Foundation Mars.
[00:06:06.433 --> 00:06:08.634]  Let me see if I... The Mars One Mission.
[00:06:08.814 --> 00:06:10.395]  Yeah, I've been seeing this everywhere as well.
[00:06:10.776 --> 00:06:16.619]  Oh no, well I've heard about the mission where they want to send people there, but I didn't know about a group that's going to fund it.
[00:06:16.659 --> 00:06:17.820]  I thought it was going to be NASA.
[00:06:19.605 --> 00:06:21.606]  So, nope, can't answer that question either.
[00:06:21.626 --> 00:06:23.847]  Alright, well we'll have to come back to it.
[00:06:24.027 --> 00:06:33.593]  Alright, so this is from Tim Gunnison, and he says, I just watched the video with Melissa Melton, women arrested for attempting to block smart meter installation.
[00:06:33.653 --> 00:06:34.813]  And I know this was a few weeks ago.
[00:06:34.853 --> 00:06:36.094]  Made people really angry.
[00:06:36.134 --> 00:06:37.775]  It's still very relevant, and this is why.
[00:06:37.835 --> 00:06:44.879]  This person actually reveals, it says, and I was starting to wonder, maybe I feel so bad because the smart meters are on my apartment.
[00:06:45.659 --> 00:06:49.464]  Um, to tell you the truth, I have a ground floor apartment at the end of the building with all of the smart meters.
[00:06:49.524 --> 00:06:50.385]  And I don't know if you do.
[00:06:50.425 --> 00:06:50.625]  Oh my God.
[00:06:50.785 --> 00:06:53.989]  But I've seen this at apartment complexes too, at my apartment complex.
[00:06:54.189 --> 00:06:55.971]  Oh listen, we ought to go out.
[00:06:56.031 --> 00:07:01.517]  You see all these apartment buildings, or business parks, with all the antennas and cell phones right on top.
[00:07:01.857 --> 00:07:04.940]  And then when you go up to the signs up next to them, it says, don't get close to this.
[00:07:05.001 --> 00:07:05.201]  Yeah.
[00:07:05.461 --> 00:07:13.466]  In fact, I shot a video just last week on YouTube showing it over by Opal Devines, you know, down from it at the park there.
[00:07:14.067 --> 00:07:17.909]  There's one and it's got signs, don't get near it, but right next to it's the office park.
[00:07:18.770 --> 00:07:20.771]  And they know they've been linked to cancer.
[00:07:20.791 --> 00:07:23.453]  They know it's been linked to all these problems.
[00:07:23.953 --> 00:07:25.855]  And again, people say, well, why do you have a cell phone?
[00:07:25.875 --> 00:07:27.196]  They know it's incredibly convenient.
[00:07:28.436 --> 00:07:29.177]  I know what's going on.
[00:07:29.217 --> 00:07:30.438]  I try not to use it too much.
[00:07:31.358 --> 00:07:32.759]  But we are just bathed in this.
[00:07:32.839 --> 00:07:35.201]  And undoubtedly, the GMO, the additives,
[00:07:36.082 --> 00:07:37.162]  The frequency pollution.
[00:07:37.963 --> 00:07:41.246]  Just the new light bulbs they've mandated.
[00:07:41.366 --> 00:07:49.993]  I mean, you go in a place with them and you get a headache, and it gives out on average something like 40,000 times the amount of radiation that an old light bulb gave out.
[00:07:51.214 --> 00:07:54.617]  So yes, we are being bathed, and people say, well, the sun bathes you in that.
[00:07:54.917 --> 00:07:58.901]  But certain frequencies we're accustomed to, and then you get too much, it burns your nose off.
[00:07:59.449 --> 00:08:02.630]  I mean, you know, that's an example of what all this stuff is doing to us.
[00:08:02.830 --> 00:08:04.371]  Well, that was some of the symptoms.
[00:08:04.611 --> 00:08:06.491]  Those were some of the symptoms that this person lists.
[00:08:06.571 --> 00:08:10.833]  It says, I've gone to the doctor with rashes, with lumps, that they seem to come and go.
[00:08:10.853 --> 00:08:15.654]  I feel like my heart is in my throat, but the doctors always check me out as fine.
[00:08:15.754 --> 00:08:17.775]  Sounds like it's time to move.
[00:08:18.135 --> 00:08:19.216]  Yeah, exactly.
[00:08:19.516 --> 00:08:29.402]  Well, it's mainly a lot of mothers around the country, including middle class, people in high-end neighborhoods, notice that as soon as they go in, suddenly their family starts getting sick.
[00:08:29.442 --> 00:08:29.683]  Yeah.
[00:08:30.123 --> 00:08:31.304]  And listen, it's not just that.
[00:08:31.364 --> 00:08:34.186]  The smart meters dial in and break in
[00:08:35.026 --> 00:08:40.648]  To all of the different appliances in your house that are all designed to be hijacked by them.
[00:08:40.908 --> 00:08:42.409]  And they brag about this.
[00:08:42.549 --> 00:08:46.691]  So it's a robot attached to the side of your house, an imperial probe droid.
[00:08:46.711 --> 00:08:49.332]  And you know what Chewbacca did to that?
[00:08:49.352 --> 00:08:53.033]  We need to copyright some of your phrases.
[00:08:53.654 --> 00:08:56.515]  No, but I am a space nerd.
[00:08:56.555 --> 00:08:59.276]  I mean, the planet's tiny compared to all this stuff around us.
[00:08:59.316 --> 00:09:00.716]  And I find it really, really interesting.
[00:09:01.217 --> 00:09:04.458]  And I'm ashamed I don't know what the Mission to Mars Foundation is.
[00:09:04.955 --> 00:09:06.196]  Well, uh... Here, you find it.
[00:09:06.556 --> 00:09:06.957]  What is it?
[00:09:06.977 --> 00:09:07.517]  I don't know.
[00:09:07.537 --> 00:09:09.238]  Now it's gonna... I can't find anything.
[00:09:09.299 --> 00:09:10.459]  Well, I say I don't look at these.
[00:09:11.140 --> 00:09:13.082]  Maybe I should look at these so I can sound really smart.
[00:09:13.562 --> 00:09:15.724]  Truthfully, that's not a gimmick that I don't read these first.
[00:09:16.024 --> 00:09:17.165]  I'm too busy to read them first.
[00:09:17.205 --> 00:09:17.705]  Yeah, that's true.
[00:09:17.745 --> 00:09:18.105]  I did it.
[00:09:18.666 --> 00:09:20.647]  First go around, I tried to make him read them, but...
[00:09:23.846 --> 00:09:29.910]  Yeah, we went to Big Ben, there was no frequency pollution, nothing, cell phones didn't work, we felt great!
[00:09:30.570 --> 00:09:32.192]  It's true, it's true.
[00:09:32.712 --> 00:09:33.232]  No, thank you!
[00:09:33.252 --> 00:09:34.293]  No, no, we'll leave that in the piece.
[00:09:34.313 --> 00:09:35.153]  That was Rob Dew behind the camera.
[00:09:35.173 --> 00:09:36.254]  Rob Dew, come on over here with me.
[00:09:36.274 --> 00:09:36.735]  Thank you.
[00:09:36.995 --> 00:09:39.036]  There he is, Rob Dew.
[00:09:39.076 --> 00:09:40.737]  You know Marcos Morales, his nickname for him?
[00:09:40.777 --> 00:09:41.157]  Hi!
[00:09:41.478 --> 00:09:43.219]  Here, come on, go ahead and tell people about it.
[00:09:43.519 --> 00:09:52.605]  Well, when the first crew started and we started doing the nightly news, you know, I had to tell people several times to do things, and after a while I kind of donned
[00:09:53.075 --> 00:09:56.518]  Captains here, Monica, started yelling at people.
[00:09:56.878 --> 00:09:57.739]  Not bad.
[00:09:57.759 --> 00:10:03.423]  You're now accusing me of teaching you that?
[00:10:03.483 --> 00:10:03.983]  I think.
[00:10:04.524 --> 00:10:06.785]  Kirsten, you ever heard me yell?
[00:10:07.226 --> 00:10:07.706]  Be honest.
[00:10:07.826 --> 00:10:09.367]  Am I supposed to lie?
[00:10:10.008 --> 00:10:10.788]  What, one time?
[00:10:10.808 --> 00:10:11.449]  Once or twice.
[00:10:11.469 --> 00:10:12.830]  I've seen you break a phone before.
[00:10:12.850 --> 00:10:13.770]  That was interesting.
[00:10:14.791 --> 00:10:16.993]  Now wait a minute, when did I break a phone?
[00:10:17.093 --> 00:10:20.135]  It was one of those wireless ones and you just cracked it right in half.
[00:10:20.195 --> 00:10:21.216]  Oh, I remember that.
[00:10:21.256 --> 00:10:25.139]  We'll leave that in because it makes me sound powerful.
[00:10:25.199 --> 00:10:36.128]  I mean, a lot of it is frustration and technology not working or certain things don't work right or people aren't doing what they're supposed to do and then it all wells up by the end of the day and you're under the gun.
[00:10:36.228 --> 00:10:36.508]  Yeah.
[00:10:36.588 --> 00:10:39.350]  And anyway, they started, Marco started calling me Ducifer.
[00:10:40.291 --> 00:10:41.852]  And so that is stuck.
[00:10:41.892 --> 00:10:45.495]  I got a nameplate with it and now Jones says that to me on the air sometimes.
[00:10:45.915 --> 00:10:46.275]  It's true.
[00:10:46.295 --> 00:10:47.276]  We got Ducifer here.
[00:10:47.596 --> 00:10:48.497]  Say something.
[00:10:48.537 --> 00:10:49.678]  We better stop that though.
[00:10:50.458 --> 00:10:56.522]  We have revealed Ducifer today and we are going to retire him, exorcise him today.
[00:10:56.542 --> 00:10:57.923]  It's more like a tell-all.
[00:10:59.244 --> 00:11:01.226]  I'm breaking phones, your name's Ducifer?
[00:11:02.040 --> 00:11:02.860]  People love this.
[00:11:03.001 --> 00:11:03.541]  I know I do.
[00:11:03.561 --> 00:11:04.962]  I watch them and I laugh.
[00:11:05.602 --> 00:11:10.304]  Alright, so Alex, you mentioned doping the kids up on... What is it that Milchristie makes me act goofy?
[00:11:12.165 --> 00:11:17.128]  We're here, I mean, everything is very, very serious all day long and it just feels good to laugh sometimes.
[00:11:17.368 --> 00:11:18.468]  And run around crazy.
[00:11:18.788 --> 00:11:21.130]  Yeah, and you know, throw boots in the air.
[00:11:21.150 --> 00:11:24.571]  Yeah, make Harlem Shake videos.
[00:11:25.392 --> 00:11:25.852]  Was that fun?
[00:11:27.535 --> 00:11:29.156]  That was well done, I'm not gonna lie.
[00:11:29.176 --> 00:11:31.718]  And I don't think anybody realized that it said, with the terrorists.
[00:11:31.758 --> 00:11:33.319]  Like, I don't think anybody realized that.
[00:11:33.339 --> 00:11:37.041]  And I don't think people got that, that that's us running around doing that.
[00:11:37.061 --> 00:11:38.242]  I'm the guy with the skull mask.
[00:11:38.502 --> 00:11:42.685]  So we're gonna replay just the Harlem Shake part right now for you.
[00:11:43.306 --> 00:11:43.806]  Here it is.
[00:12:13.846 --> 00:12:24.493]  And by the way, if you watch there where the guy in the steel skull mask goes rolling, I trip over dude who's like the giant cigarette box or whatever it was.
[00:12:25.434 --> 00:12:26.575]  Yeah, the Obama head.
[00:12:26.595 --> 00:12:28.436]  He went and got a box out of the back and did that.
[00:12:28.456 --> 00:12:29.777]  And that's real where I roll.
[00:12:30.597 --> 00:12:30.978]  Anyways.
[00:12:31.932 --> 00:12:33.313]  All right, continuing, next question.
[00:12:33.333 --> 00:12:37.175]  All of the techno Alex role.
[00:12:37.255 --> 00:12:38.096]  Yeah, cut that out.
[00:12:38.116 --> 00:12:38.516]  No, I'm kidding.
[00:12:38.536 --> 00:12:49.443]  All right, so Alex, you mentioned doping the kids all the time on Ritalin, and obviously Ritalin isn't the drug that's readily used anymore, but what are some of the harmful side effects slash long term?
[00:12:49.463 --> 00:13:01.470]  And you talk about this all the time, but I think it's really valuable to bring back up because he suggests, he's like, perhaps the more underlying question, do you think ADD and ADHD are real or fictional diseases?
[00:13:01.750 --> 00:13:11.316]  No, they just take problems in society and general things like young boys not minding running around hyperactive, beating each other up, and then they list that as abnormal.
[00:13:11.836 --> 00:13:25.104]  Whereas you take any mammal species, especially like male dogs, puppies, they're biting each other, they're biting you, they're running around chewing the carpet, and now actually they put them on serotonin reuptake inhibitors.
[00:13:25.565 --> 00:13:26.925]  They put dogs on antidepressants.
[00:13:27.406 --> 00:13:29.227]  If your six-month-old puppy is teething,
[00:13:29.807 --> 00:13:31.628]  And wanting to go outside and craps on the floor?
[00:13:31.648 --> 00:13:32.468]  Well, just drug your dog.
[00:13:33.249 --> 00:13:35.350]  Because everybody knows dogs have always, you know, done that.
[00:13:35.410 --> 00:13:36.170]  Had to have drugs.
[00:13:36.210 --> 00:13:38.751]  So, going back like 10 years ago, I'd say, you know what?
[00:13:39.172 --> 00:13:40.232]  Puppies act like this.
[00:13:40.312 --> 00:13:41.132]  We don't drug them.
[00:13:41.393 --> 00:13:42.473]  Right.
[00:13:42.533 --> 00:13:43.594]  But now they actually do it.
[00:13:43.754 --> 00:13:45.274]  So, I shouldn't give them ideas.
[00:13:45.995 --> 00:13:49.757]  But if I was to give my puppy, let's say a Coca-Cola,
[00:13:50.777 --> 00:13:52.118]  It would act like a demonic demon.
[00:13:52.338 --> 00:13:52.979]  Absolutely.
[00:13:53.119 --> 00:13:55.961]  And so children are on all these dyes, these additives.
[00:13:56.261 --> 00:13:59.924]  It's a wonder that they're even operating at any functional level.
[00:14:00.364 --> 00:14:01.585]  And then they go to school.
[00:14:02.306 --> 00:14:04.968]  I remember when I was a kid, the vending machines were Twinkies and Coca-Cola.
[00:14:05.288 --> 00:14:07.770]  And I remember, like an hour after I did it, I'd feel horrible.
[00:14:07.830 --> 00:14:08.490]  I want another one.
[00:14:08.730 --> 00:14:09.811]  Well, it's designed to do that.
[00:14:10.192 --> 00:14:11.472]  And so we don't get them off Twinkies.
[00:14:11.493 --> 00:14:12.493]  We don't get them off Coca-Cola.
[00:14:12.513 --> 00:14:14.555]  We don't get them off GMO, aspartame.
[00:14:14.575 --> 00:14:15.556]  We don't get them off fluoride.
[00:14:15.956 --> 00:14:16.796]  We just say, oh,
[00:14:17.637 --> 00:14:19.038]  This 10-year-old seems depressed.
[00:14:19.058 --> 00:14:20.319]  He's got zits all over his face.
[00:14:20.959 --> 00:14:22.540]  Looks like a concentration camp victim.
[00:14:23.261 --> 00:14:24.221]  It's not his nutrition.
[00:14:25.102 --> 00:14:27.784]  Or it's not he's watching TV 7-8 hours a day and video games.
[00:14:27.844 --> 00:14:29.585]  It's not that the parents are working till late at night.
[00:14:29.605 --> 00:14:31.086]  It's not that the family's been broken up.
[00:14:31.486 --> 00:14:38.010]  It's that you need a drug made by a big drug company, who by the way knew that people died and committed suicide in the trials.
[00:14:38.431 --> 00:14:41.473]  Then when there's suicides and deaths, the answer is put more kids on drugs.
[00:14:41.653 --> 00:14:42.854]  Then there's more suicide deaths.
[00:14:43.034 --> 00:14:44.555]  Then the answer is more suicide deaths.
[00:14:44.983 --> 00:14:45.123]  Yeah.
[00:14:45.143 --> 00:14:46.183]  And it answers more drugs.
[00:14:46.403 --> 00:14:48.084]  And it says on the insert, makes you do this.
[00:14:48.324 --> 00:14:48.544]  Right.
[00:14:48.764 --> 00:14:52.505]  But in the land of mindlessness, that's a crime to admit that.
[00:14:53.125 --> 00:14:54.606]  Yeah, well said.
[00:14:54.866 --> 00:14:55.326]  Absolutely.
[00:14:56.046 --> 00:14:58.207]  Alright, so the next question.
[00:14:58.447 --> 00:15:11.071]  Can we know for sure that the backlog of gun orders is caused by the people getting them for themselves and not by the government-induced gun shortage, like the mass DHS ammo purchases?
[00:15:11.751 --> 00:15:14.652]  How do we know that it's not civilians buying up guns and not
[00:15:14.972 --> 00:15:20.315]  Well, number one, people always call us civilians, and the government, the government, the government's civilians, they're citizens.
[00:15:20.656 --> 00:15:24.458]  Which is why that distinction... It's like, exactly, it's like, you're a civilian now.
[00:15:24.838 --> 00:15:29.061]  Mayors call people civilians, you know, I'm an official, you're a civilian.
[00:15:29.081 --> 00:15:29.962]  There's like ten people right now.
[00:15:30.002 --> 00:15:31.783]  You're a citizen, that means you pay me money.
[00:15:33.944 --> 00:15:35.865]  But no, I mean, it's a cocktail of things.
[00:15:35.945 --> 00:15:37.647]  People are always, is it this or is it that?
[00:15:37.887 --> 00:15:38.067]  Yeah.
[00:15:38.467 --> 00:15:41.388]  What do you think of this psychological field or that psychological field?
[00:15:41.408 --> 00:15:42.488]  Well, there's something in all of them.
[00:15:44.068 --> 00:15:53.491]  I'm into unifying field theory because there's a lot of good information basically in anything out there, but you've got to take from it what has worked for you in the world, what you've found to be true.
[00:15:54.451 --> 00:15:57.192]  It's all about scientists saying they discovered something.
[00:15:57.952 --> 00:16:06.202]  You'll always see these British explorers saying, I discovered this Incan temple up on top of this Peruvian plateau.
[00:16:06.222 --> 00:16:12.029]  And then you go up there and there's villagers living in the ruins and they're the ones that told them, there's ruins on top of mountain.
[00:16:13.630 --> 00:16:19.293]  And then you'll find out some Spanish explorer really found it for Westerners 500 years before, but they'll just spin it like that.
[00:16:19.333 --> 00:16:30.659]  So everyone has their own little fields of science saying this is the way it is, like it's religions fighting with each other, instead of just more discovery and science and ideas and renaissance growing.
[00:16:32.432 --> 00:16:36.216]  When they ask the question, how do we know it's not the citizens buying ammo that's causing the shortage?
[00:16:36.596 --> 00:16:48.207]  Citizens buying ammo is part of the shortage, but government placing orders for two billion rounds, a billion of which have been delivered, and then a billion rounds out in the next year and more orders, that's causing the run on it.
[00:16:49.187 --> 00:16:51.488]  And so when you do have the run on something, then hoarding starts.
[00:16:51.729 --> 00:16:51.969]  Yeah.
[00:16:52.769 --> 00:16:53.850]  But it's also good business.
[00:16:54.510 --> 00:17:03.496]  You know, if you go out and buy a bunch of ammo, like a lot of people knew would happen, knowing Obama would come after it a few years ago, those people are now at the gun show saying, yeah, I'm the only one that has it left.
[00:17:03.876 --> 00:17:04.837]  I'm a free market guy.
[00:17:04.937 --> 00:17:07.999]  I waited till, you know, they tried to restrict all this.
[00:17:08.039 --> 00:17:10.120]  And now the .50 Cal I bought for $5,000, selling for $20,000.
[00:17:10.180 --> 00:17:11.201]  Wow.
[00:17:11.341 --> 00:17:12.802]  Or now the box of .223 I bought for $5 is now $30.
[00:17:14.963 --> 00:17:18.125]  Do you think it's worth it for those guys to sell it right now?
[00:17:18.165 --> 00:17:23.168]  Because if the value of the dollar is going to go down, what's the point of getting 15 grand for your gun that you bought at 5,000 now?
[00:17:24.571 --> 00:17:26.872]  Well, it's all a balance and it's all what you do.
[00:17:28.033 --> 00:17:28.793]  It's all objective.
[00:17:29.093 --> 00:17:29.974]  Okay.
[00:17:30.014 --> 00:17:32.735]  I mean, they can now digitally just take all your money out of your bank account.
[00:17:32.755 --> 00:17:33.716]  They're saying they may do it.
[00:17:33.936 --> 00:17:34.997]  People say, well, then what do you do?
[00:17:35.037 --> 00:17:35.537]  Gold and silver.
[00:17:35.557 --> 00:17:36.457]  Well, they could confiscate that.
[00:17:36.797 --> 00:17:39.899]  That's many layers more hard to actually get it from.
[00:17:39.919 --> 00:17:40.399]  Yeah.
[00:17:40.639 --> 00:17:43.181]  So it's all just, people say, well, they could still get that.
[00:17:43.201 --> 00:17:45.202]  Well, then just roll over in a ditch then, you know?
[00:17:45.602 --> 00:17:46.242]  Yeah.
[00:17:46.503 --> 00:17:47.563]  People say it's a terrible world.
[00:17:47.583 --> 00:17:48.284]  Why are you having kids?
[00:17:48.304 --> 00:17:48.884]  Well, I haven't given up.
[00:17:49.304 --> 00:17:51.565]  Yeah, well that's good.
[00:17:51.905 --> 00:17:53.346]  Next question.
[00:17:54.386 --> 00:18:07.871]  What correlations do you believe there to be with recent revolutions and past revolutions, such as the French Revolution and the subsequent terror, and do you believe it is the fate of all revolutions to be hijacked by moneyed interests?
