[00:00:04.093 --> 00:00:04.774]  And welcome back.
[00:03:12.256 --> 00:03:22.499]  And now they're considering this, that you're gonna put us in that same area to help those people who want to kill us.
[00:03:23.700 --> 00:03:24.661]  Doesn't make sense.
[00:03:25.582 --> 00:03:29.705]  Now, Evan, I've come to the knowledge that not everybody in the military feels the same way that you do.
[00:03:29.745 --> 00:03:32.668]  You know, you said you have a good majority, 60-40 or so, you said.
[00:03:33.208 --> 00:03:35.510]  But we have this graphic we're going to show our viewers.
[00:03:35.550 --> 00:03:40.774]  I know you can't see it, but this is a graphic of a soldier who definitely does not share your views and opinions.
[00:03:41.215 --> 00:03:43.497]  He's saying you don't join to say I refuse.
[00:03:43.537 --> 00:03:44.297]  Maybe you've seen this.
[00:03:44.357 --> 00:03:45.178]  I'm not sure if you have.
[00:03:45.538 --> 00:03:49.542]  But he says, you know, stop making your signs and get the F back to work.
[00:03:50.222 --> 00:03:51.003]  What do you think about that?
[00:03:52.254 --> 00:03:59.440]  Um, that one right there, there's a blatant difference between blindly following and loyally serving.
[00:03:59.701 --> 00:04:01.682]  And that guy is a blind follower.
[00:04:02.343 --> 00:04:10.630]  He will be the person who, when they order you to fire on American citizens, God forbid, he's going to be the kind of guy who's going to pull that trigger.
[00:04:11.131 --> 00:04:13.753]  Instead of looking back and going, are you serious?
[00:04:13.953 --> 00:04:16.635]  And questioning that completely unlawful order.
[00:04:17.376 --> 00:04:18.517]  That's who that guy is.
[00:04:19.147 --> 00:04:29.012]  And you'll notice, of all the pictures that you see out there, he's, I'm pretty sure, because I've looked at him, I think he's the only one who's made something like that.
[00:04:29.452 --> 00:04:30.813]  Yes, that's the only one I've seen.
[00:04:30.853 --> 00:04:34.255]  You know, I'm sure there are many posts at many places, but that's the only one I've seen.
[00:04:34.555 --> 00:04:35.255]  But it's not just him.
[00:04:35.275 --> 00:04:36.316]  We also have these articles.
[00:04:36.356 --> 00:04:37.456]  Here's one from the Huffington Post.
[00:04:37.897 --> 00:04:47.982]  Tea Party troops, and if you have any type of different opinion, you're automatically in a tea party, but tea party troops protest serious strike on Facebook, raise questions about military code of conduct.
[00:04:48.582 --> 00:04:55.066]  And, you know, this is, you know, some writers, and not just here, but many other places, people are questioning your views and your stance.
[00:04:55.086 --> 00:05:00.648]  You know, we see all these people that said, I didn't join to serve Al Qaeda, to be Al Qaeda's air force, and so forth.
[00:05:00.989 --> 00:05:04.150]  So what are your thoughts about that when you see these from these type of publications?
[00:05:06.271 --> 00:05:09.613]  Well, I mean, everybody is entitled to their point of view and their opinion.
[00:05:10.754 --> 00:05:16.397]  And you'll also see that there's the exact opposite of that with the group Oath Keepers.
[00:05:17.298 --> 00:05:18.282]  I don't think so.
[00:05:24.153 --> 00:05:28.297]  Military from all branches, police, fire department, the Oath Keepers.
[00:05:28.397 --> 00:05:34.382]  These are people who swore an oath and they're going to defend and uphold that oath to their dying breath.
[00:05:34.482 --> 00:05:40.307]  So you've got the Tea Party people who are being accused of saying that they're feeling this way about it.
[00:05:40.327 --> 00:05:42.929]  And then you've got on the other side, the Oath Keepers.
[00:05:43.510 --> 00:05:50.796]  You've got those people who are willing to uphold that oath and they understand that there's a priority set in there.
[00:05:51.260 --> 00:05:59.006]  That when you take that oath, the first part of it is that you will uphold and defend the Constitution against enemies both foreign and domestic.
[00:05:59.706 --> 00:06:05.390]  And then the next part of it is that you will follow the orders of the President and offers appointed over you.
[00:06:06.411 --> 00:06:12.555]  So, the precedence there is to uphold and defend the Constitution, and then to follow orders.
[00:06:13.416 --> 00:06:19.140]  And if those orders aren't lawful and legal, you have a moral obligation to disobey.
[00:06:20.239 --> 00:06:42.379]  So, if the Tea Party people, and I'm not saying they're bad, I'm not saying they're good, if they find it outrageous or offensive that there are people who are willing to actually understand that the oath they took has multiple parts to it and an order of precedence, then perhaps they should re-read, if they've ever taken that oath, they should re-read it and understand a little better.
[00:06:43.226 --> 00:06:44.887]  How that oath is meant
[00:07:06.577 --> 00:07:12.542]  And you know, it always ends up with the old cliche that this is how you get a Nazi Germany, this is how you get a Stalinist Russia.
[00:07:13.383 --> 00:07:14.223]  Does this concern you?
[00:07:16.625 --> 00:07:22.970]  With the gradual turn of our police forces into literally police state.
[00:07:24.111 --> 00:07:27.674]  I mean, look what happened after the Tsarnaev brothers bombed Boston.
[00:07:27.774 --> 00:07:31.217]  You know, you saw armed men going door to door to door.
[00:07:33.328 --> 00:07:38.752]  Not asking for permission, just boom, going in, saying, hey, we're coming in, we're looking out.
[00:07:38.772 --> 00:07:45.877]  And not just that, they're running around the streets pointing firearms at journalists, putting them in their faces, you know, and other channels saying that never happened.
[00:07:45.897 --> 00:07:53.803]  We have it on camera from several different angles, you know, people being escorted out of their house by gunpoint, you know, and they're like, well, they volunteered to leave.
[00:07:53.823 --> 00:07:55.284]  Yeah, they volunteered to leave.
[00:07:55.464 --> 00:07:58.005]  They didn't fight you when you pointed a gun in their face.
[00:07:59.765 --> 00:08:04.534]  I'd volunteer to move too if I had somebody's gun pointed in my face and I didn't have a means of defending myself.
[00:08:04.614 --> 00:08:06.358]  Yeah, I'd voluntarily move too.
[00:08:07.843 --> 00:08:08.943]  Now, Evan, let me ask you this.
[00:08:08.963 --> 00:08:12.684]  You know, there's a lot of people out there and they're saying, you know, what's the big deal about the war in Syria?
[00:08:12.704 --> 00:08:14.705]  You know, it's just, it's just another country.
[00:08:14.845 --> 00:08:26.128]  You know, Obama got on TV and said they have chemical weapons without showing any real evidence other than the video that had the Al Qaeda logo suspiciously in the corner, but saying that was the Assad regime.
[00:08:26.528 --> 00:08:30.569]  But, you know, from your opinion and your views, you know, is it a good deal to go into Syria?
[00:08:30.589 --> 00:08:32.530]  Should we have any type of intervention in Syria?
[00:08:34.288 --> 00:08:43.573]  On Syria, you know, the interesting thing, Syria is a sovereign nation state, and one of the more interesting facts about them is that they're not under the IMF.
[00:08:43.974 --> 00:08:48.276]  They don't fall under the big bankers that relatively control the rest of the world.
[00:08:49.297 --> 00:08:57.681]  And then, also, you've got a civil war that's been going on for some time now that has absolutely nothing to do with us.
[00:08:58.242 --> 00:08:59.062]  It's their civil war.
[00:09:00.828 --> 00:09:07.092]  You know, that's not our fight to get into, and we have no real logical reason to do so.
[00:09:07.112 --> 00:09:15.979]  You know, the international laws state that you don't go and interfere in somebody else's civil war unless they ask you to.
[00:09:16.779 --> 00:09:25.205]  And as the rebels are not a recognized state, they do not have a governmental authority, they can't do that.
[00:09:25.325 --> 00:09:27.707]  We can't go in and say, hey, we're gonna help these guys now,
[00:09:28.679 --> 00:09:31.922]  Uh, because we're going to support them and provide them money and weapons.
[00:09:32.382 --> 00:09:33.163]  We can't do that.
[00:09:33.263 --> 00:09:35.405]  It violates international law in itself.
[00:09:36.626 --> 00:09:39.808]  Now, if Assad said, hey, I need some help here.
[00:09:40.008 --> 00:09:41.650]  Which is not happening, but yeah, go ahead.
[00:09:42.190 --> 00:09:43.371]  I know I haven't been the best guy.
[00:09:43.411 --> 00:09:45.713]  I'm a bit of a dictator, but I could use some help here.
[00:09:46.013 --> 00:09:48.155]  He has the international legal authority to do that.
[00:09:49.236 --> 00:09:51.898]  Oh, and then you look at the rebels and the makeup of them.
[00:09:52.198 --> 00:09:52.799]  Who they are.
[00:09:53.279 --> 00:09:54.340]  Radical Islamists.
[00:09:55.177 --> 00:10:03.381]  Some moderate Islamists, as Secretary of State Kerry has pointed, and John McCain has said, these are moderates.
[00:10:03.801 --> 00:10:07.643]  Even though he goes out there and hangs out with the people and says, I was never hanging out with no terrorists.
[00:10:08.004 --> 00:10:12.166]  Those people who are hanging out with their actual identified terrorists, yeah.
[00:10:12.406 --> 00:10:16.768]  I saw that too, kind of a chuckle there, but at the same time, I mean, look at who he is.
[00:10:17.709 --> 00:10:22.351]  And a good portion of those, they're a bit more than just radical
[00:10:22.867 --> 00:10:27.829]  Their Al-Qaeda, their CIA and FBI terrorist watch list groups.
[00:10:28.369 --> 00:10:28.829]  Al-Qaeda.
[00:10:29.450 --> 00:10:30.690]  The Al-Nusra Front.
[00:10:31.310 --> 00:10:33.871]  Blatantly murdering and killing civilians.
[00:10:34.672 --> 00:10:47.617]  And then, you know, the other day the video came up and it hit, I believe the New York Times published a picture right on their front page of seven men laying face down in the dirt who were then executed and left in an unmarked grave.
[00:10:48.615 --> 00:10:52.217]  Those are by John McCain and John Kerry standards.
[00:10:52.257 --> 00:10:56.258]  Those are apparently the moderates who are dealing with over there.
[00:10:56.839 --> 00:10:57.959]  Exactly, exactly.
[00:10:59.180 --> 00:11:00.300]  No, Evan, our time is short.
[00:11:00.320 --> 00:11:02.921]  Can you give us your last closing thoughts?
[00:11:04.582 --> 00:11:14.106]  I would hope that the citizens of our nation will look deeply into the truth and what's actually happening.
[00:11:14.690 --> 00:11:24.658]  Look into their conscience and realize that, uh, yes, some of these events are tragic and what happened is, is not a good thing, but also that it's not our place to police the world.
[00:11:25.578 --> 00:11:41.751]  And I would hope that they would urge their, their representatives and senators in, in DC and, and, uh, over there at the white house, uh, let them know that, Hey, we, we don't approve and that, uh, for 200 plus years, our government has worked for us.
[00:11:42.637 --> 00:11:49.803]  And we don't work for them, and that they have the obligatory requirement to listen to the will of the people.
[00:11:50.183 --> 00:11:53.205]  And if the people have spoken, then that's it.
[00:11:53.846 --> 00:11:58.729]  If the people say, by majority, don't do it, then you can't do it.
[00:11:59.370 --> 00:12:00.811]  And our representatives need to listen.
[00:12:01.451 --> 00:12:05.615]  If we say don't do it, then your vote is no, my people have spoken.
[00:12:06.315 --> 00:12:06.996]  Simple as that.
[00:12:07.936 --> 00:12:08.777]  Wake up, America.
[00:12:09.397 --> 00:12:10.939]  Your government works for you.
[00:12:11.829 --> 00:12:12.890]  Not the other way around.
[00:12:13.270 --> 00:12:15.672]  That's exactly what they don't want you to know, the big government.
[00:12:15.912 --> 00:12:23.277]  And also, Evan, what would you say to anybody who's in the military and they don't like this war and they want to speak out, what would you say to them to give them the courage that you have?
[00:12:26.299 --> 00:12:26.879]  Take a stand.
[00:12:27.700 --> 00:12:28.540]  Do the right thing.
[00:12:29.861 --> 00:12:35.525]  General Schwarzkopf said it's not always the easiest thing to do, the right thing.
[00:12:36.365 --> 00:12:44.111]  You know, I forget the phrasing exactly on it, but those of us in the military, you know what Schwarzkopf said, and follow it.
[00:12:44.912 --> 00:12:50.577]  Because doing the moral, right thing is all we can do.
[00:12:51.137 --> 00:12:52.999]  Otherwise, we become part of the problem.
[00:12:53.019 --> 00:12:58.163]  Alright, thank you Evan, and I definitely appreciate your time and appreciate your courage and your service.
[00:12:58.784 --> 00:12:59.064]  Thank you.
