[00:00:35.926 --> 00:00:37.388]  It's Monday, April 8, 2013.
[00:05:55.729 --> 00:05:57.610]  Looking for drugs the government shipped in.
[00:05:57.830 --> 00:06:02.994]  It's all about TSA, groping your wife, your kids, dragging your crying kid off to a private rape room.
[00:06:03.854 --> 00:06:04.915]  This is what they are.
[00:06:05.295 --> 00:06:09.638]  Just a cult of nobody scum that enjoys dominating everybody.
[00:06:09.658 --> 00:06:11.159]  And I, for one, am breaking out of the Matrix.
[00:06:11.779 --> 00:06:12.199]  I'm done.
[00:06:12.500 --> 00:06:14.261]  Speaking of criminals,
[00:06:16.633 --> 00:06:18.974]  Let's go ahead and go to the next guy.
[00:06:18.994 --> 00:06:25.417]  Sorry, I have trouble talking teleprompter free when I see stuff like that.
[00:06:25.437 --> 00:06:30.019]  Illegal we do immediately, Kissinger said.
[00:06:30.439 --> 00:06:32.160]  Unconstitutional takes a little longer.
[00:06:32.520 --> 00:06:41.724]  Kissinger and new WikiLeaks documents, 1.7 million documents have been released and it's just Kissinger and others foaming at the mouth about
[00:06:42.344 --> 00:06:49.068]  Different types of criminal activities they were involved in, like, you know, adding poison to your tap water to dumb you down.
[00:06:49.128 --> 00:06:54.671]  I mean, just anything you can imagine to carry out criminal operations against the American people.
[00:06:54.711 --> 00:06:57.573]  In this case, it was Turkish and people in Cyprus.
[00:06:58.553 --> 00:06:59.574]  So, there you go.
[00:07:02.222 --> 00:07:02.702]  I'm sorry.
[00:07:03.483 --> 00:07:05.003]  Get that off the screen.
[00:07:05.023 --> 00:07:08.024]  If you knew about Bohemian Grove, folks, you know how funny that really is.
[00:07:08.525 --> 00:07:10.305]  Kissinger would probably actually pay extra for that.
[00:07:10.845 --> 00:07:11.346]  Okay.
[00:07:11.366 --> 00:07:14.587]  I hadn't seen that.
[00:07:15.067 --> 00:07:16.328]  Marcos, did you make that?
[00:07:16.348 --> 00:07:17.928]  Oh my God.
[00:07:19.189 --> 00:07:20.309]  Let's move along here.
[00:07:20.449 --> 00:07:21.390]  Margaret Thatcher.
[00:07:22.410 --> 00:07:36.660]  Dies at 87 after stroke, and a lot of people demonize her, and I don't think she was perfect by a long stretch, but Jim Tucker knew her and talked to her, and she said she hated Bilderberg, and that it was great that Bilderberg targeted her and got her kicked out of office.
[00:07:36.700 --> 00:07:42.264]  So, interesting there on the case of Margaret Thatcher dying of a stroke at 87.
[00:07:45.714 --> 00:07:53.904]  The Iron Lady, as she was known, has gone on to meet her maker at the Guru Dhammarong, Ragnarok.
[00:07:54.878 --> 00:07:56.599]  All right, shifting gears.
[00:07:56.919 --> 00:08:00.400]  Hail Britannia, Britannia rule the waves.
[00:08:02.101 --> 00:08:04.922]  England taking over as the command base of the New World Order a long time ago.
[00:08:05.222 --> 00:08:10.104]  Not the British people, but the corrupt city of London within London is the model for global governance today.
[00:08:10.504 --> 00:08:11.444]  And what do they not like?
[00:08:11.504 --> 00:08:14.946]  They like gold themselves, but they tell you that you shouldn't be into gold.
[00:08:15.226 --> 00:08:17.587]  But Bloomberg reports trust in gold
[00:08:18.587 --> 00:08:19.868]  Not Bernanke, as U.S.
[00:08:19.908 --> 00:08:24.311]  states promote bullying and distrust of the federal government and concerns that U.S.
[00:08:24.371 --> 00:08:30.655]  dollars may become worthless are fueling a push in more than a dozen states to recognize gold and silver as legal tender.
[00:08:31.556 --> 00:08:33.357]  Arizona, Utah, the list goes on and on.
[00:08:33.457 --> 00:08:35.198]  I guess everyone's becoming extremist.
[00:08:35.758 --> 00:08:38.500]  Even if the ADL says we're all bad, we're not listening to them.
[00:08:39.081 --> 00:08:46.826]  Well, we are listening to them and realizing that all the anti-American garbage coming out of there just shows how late things have gotten.
[00:08:47.666 --> 00:09:06.844]  And finally, before we go to break and come back with a thought criminal arrested for filming police in Austin in an interview that Jakari Jackson is chomping at the bit to do here in a moment, Obamacare takes friendly fire, delays in implementing popular pieces of Obamacare, which you're never going to get implemented,
[00:09:09.285 --> 00:09:10.666]  Are hurting it with Democrats.
[00:09:11.146 --> 00:09:15.368]  And of course now it's coming out that it doubles the cost of health care, doesn't cover pre-existing conditions.
[00:09:15.848 --> 00:09:26.033]  But still the die-hard faithful don't understand that big foreign mega-banks control the insurance companies and own most of them and wrote Obamacare with Romney.
[00:09:27.051 --> 00:09:36.675]  So, beautifully done, scam job, the fix is in, the whole thing's scripted, and now the eugenics care is taking over with the death panels.
[00:09:37.095 --> 00:09:41.516]  First there wasn't death panels, and then of course they now admit there are death panels.
[00:09:41.656 --> 00:09:42.737]  Of course, it's in the bill.
[00:09:43.902 --> 00:09:45.103]  That, oh, you're above 65?
[00:09:45.183 --> 00:09:45.983]  No eye surgery.
[00:09:46.464 --> 00:09:47.685]  Oh, you need that knee taken care of?
[00:09:47.905 --> 00:09:48.345]  Oh, no.
[00:09:48.926 --> 00:09:51.367]  We all pay into the collective now, and we decide you don't.
[00:09:51.407 --> 00:09:58.993]  And, by the way, let's kill children up to age three, Journal of Bioethics, and let's, uh, you know, let's do all that, because we care.
[00:09:59.053 --> 00:10:00.434]  It's not because we're authoritarians.
[00:10:00.794 --> 00:10:02.135]  I mean, we got a Peace Prize.
[00:10:02.195 --> 00:10:03.816]  I mean, it's liberal.
[00:10:03.916 --> 00:10:04.877]  Everything's okay.
[00:10:05.477 --> 00:10:06.798]  Unbelievable information.
[00:10:06.818 --> 00:10:12.202]  All right, I want to give you the Daily Quote here by Martin Luther King, who said we should be colorblind.
[00:10:12.942 --> 00:10:16.185]  MSNBC obsesses on color all day as part of Divide and Conquer.
[00:10:16.485 --> 00:10:23.571]  The ultimate tragedy is not the oppression and cruelty by the bad people, but the silence over that by the good people.
[00:10:23.611 --> 00:10:25.392]  Yes, Martin Luther King was right.
[00:10:25.472 --> 00:10:26.813]  That is what enables that.
[00:10:28.479 --> 00:10:33.743]  All right, ladies and gentlemen, we are going to go to break and come back with the police state rolling forward.
[00:10:34.243 --> 00:10:41.868]  I just want to remind all the great viewers on InfoWars Nightly News, all the viewers on InfoWarsNews.com, PrisonPlanet.tv,
[00:10:43.607 --> 00:10:51.954]  That the fact that you're subscribers and the fact that your membership is good for 11 people with that username and passcode to log in simultaneously.
[00:10:51.974 --> 00:11:00.441]  I want to remind you that you're funding much of our news division and future films we're making and much of the radio side of things.
[00:11:00.461 --> 00:11:02.623]  You're reaching millions of new people every week.
[00:11:03.443 --> 00:11:04.885]  15 million total one way or another.
[00:11:05.605 --> 00:11:09.748]  Most of them regular listeners, but several million every week in different ways.
[00:11:09.868 --> 00:11:14.492]  And so thank you for being subscribers and being part of Operation Awake I'm a Sleeping Giant.
[00:11:15.192 --> 00:11:18.695]  And make sure you have a unique username passcode just for prisonplanet.tv.
[00:11:18.715 --> 00:11:22.277]  You can change it on there, call customer service if you need that done.
[00:11:23.238 --> 00:11:27.659]  Make sure you don't give your username and passcode to people if it's one you use for other stuff.
[00:11:27.959 --> 00:11:31.260]  Create a unique one and send it as a gift to friends and family.
[00:11:31.280 --> 00:11:35.922]  Hey, go watch this film, The Obama Deception, in high def at prisonplanet.tv.
[00:11:36.302 --> 00:11:37.482]  Endgame in high def.
[00:11:38.042 --> 00:11:45.065]  See the nightly news in decent quality stream res or in high def once it's archived each day.
[00:11:45.425 --> 00:11:49.166]  And more than 50 films, like Strategic Relocation, are latest.
[00:11:50.026 --> 00:11:50.766]  I don't
[00:12:06.974 --> 00:12:08.695]  Are you checking out the documentaries?
[00:12:08.715 --> 00:12:13.498]  Tell them, hey, hardcore, powerful information that Big Brother doesn't want you to know.
[00:12:14.459 --> 00:12:17.281]  It's all up there on PrisonPlanet.tv.
[00:12:17.441 --> 00:12:23.105]  And even better, if you've got the money and want to support us, go buy five or six memberships that are master memberships.
[00:12:23.885 --> 00:12:26.589]  You know, six memberships would be, you know, sixty-something memberships.
[00:12:26.629 --> 00:12:27.511]  Buy ten memberships.
[00:12:27.871 --> 00:12:30.055]  That'd be a hundred-plus memberships.
[00:12:30.355 --> 00:12:34.602]  And then give it to people you know and say, hey, this is really eleven memberships.
[00:12:35.003 --> 00:12:35.904]  Share this with people.
[00:12:36.205 --> 00:12:37.527]  Here's the username passcode.
[00:12:38.317 --> 00:12:50.661]  And then you wake up a bunch of people with hardcore info, and you fund us getting more reporters, video editors, camera people, researchers, proofreaders, just all of it.
[00:12:50.701 --> 00:12:55.943]  So again, this is something really special we're all doing together, and I want to thank all the PrisonPlanet.TV members.
[00:12:56.263 --> 00:13:03.946]  If you're watching us, because this gets posted the next day to YouTube, or most of it does, YouTube's doing everything they can to kick us off YouTube.
[00:13:05.419 --> 00:13:12.263]  And our goal is to reach people, so I'm pleased as punch that millions of people a week watch us on YouTube one way or another.
[00:13:12.904 --> 00:13:22.950]  But that may not always be there, so support the original platform, and if you are a YouTube viewer, be sure and get a PrisonPlanet.tv membership.
[00:13:24.231 --> 00:13:29.255]  I mean, look at the trolls, look at the attacks, look at the White House attacking us and attacking Drudge Report.
[00:13:29.595 --> 00:13:34.880]  Because we're the only opposition, and we're strong opposition, and we cheerfully go forward against the enemy.
[00:13:35.280 --> 00:13:38.042]  Here on the very front lines, ladies and gentlemen, this is the real deal.
[00:13:38.783 --> 00:13:45.188]  That's why they go, oh, there's not bullets, there's not a New World Order, you know, there's not 50 million people on food stamps.
[00:13:45.769 --> 00:13:46.810]  They think you're stupid.
[00:13:48.129 --> 00:13:49.810]  I know otherwise, so spread the word.
[00:13:50.470 --> 00:13:50.991]  Spread the word.
[00:13:51.111 --> 00:13:52.712]  Operation Awaking the Sleeping Giant.
[00:13:52.732 --> 00:13:54.493]  We'll be right back with Jakari Jackson.
[00:13:58.675 --> 00:14:01.617]  Jakari Jackson here, and I want to talk to you for a second about water.
[00:14:02.257 --> 00:14:09.662]  You know about ProPure, our flagship water purification system, but check out some of our portable water filter products at infowarstore.com.
[00:14:10.242 --> 00:14:11.923]  The Clearly Filtered Water Pitcher.
[00:14:12.683 --> 00:14:16.706]  Also, for those of you on the go, we have the Athlete Edition Filtered Water Model.
[00:14:17.586 --> 00:14:18.747]  And the R.A.D.
[00:14:18.847 --> 00:14:22.090]  Eliminator Pro-Filtered Sports Bottle that removes radiation.
[00:14:22.570 --> 00:14:25.512]  And keep in mind we have replacement filters for all of these products.
[00:14:26.113 --> 00:14:29.135]  The ever-popular grab-and-go bag favorite, the LifeStraw.
[00:14:29.755 --> 00:14:31.817]  The Crystal Quest Shower Filter System.
[00:14:32.938 --> 00:14:35.840]  And the Aquapod Kit, great for mass storage of water.
[00:14:37.386 --> 00:14:42.292]  And while you're at the InfoWars shop, pick up a copy of our latest book, 31 Days to Survival.
[00:14:42.892 --> 00:14:48.579]  You can find all this and more at the InfoWarsStore.com, and don't forget it's your support that funds our operation.
[00:14:48.999 --> 00:14:53.104]  Sign up for our free newsletter at InfoWars.com forward slash newsletter.
[00:14:57.964 --> 00:15:03.927]  I'm Darren McBreen and these are some of the new items that are available now at InfoWarsShop.com.
[00:15:04.067 --> 00:15:09.490]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:15:09.630 --> 00:15:13.312]  Obama's joker face on the front and come and take it on the back.
[00:15:13.472 --> 00:15:17.414]  It's time to publicly call him out for what he is, a tyrant.
[00:15:17.534 --> 00:15:21.396]  Defend the Second Amendment with our top seller come and take it t-shirts.
[00:15:21.516 --> 00:15:25.639]  And look at that, women's cut tank tops and t-shirts now available.
[00:15:25.779 --> 00:15:26.259]  Nice hat.
[00:15:26.559 --> 00:15:28.661]  Plus, the Don't Tread On Me flag.
[00:15:28.681 --> 00:15:32.745]  And now, you can become a micro-distributor of the Info Wars magazine.
[00:15:32.785 --> 00:15:36.828]  Plus, get your own copy delivered right to your door each and every month.
[00:15:37.349 --> 00:15:45.996]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:15:46.296 --> 00:15:52.322]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:15:54.031 --> 00:15:58.034]  So join the revolution at Infowarshop.com.
[00:16:06.861 --> 00:16:13.305]  Our guest tonight is Antonio Beeler, a local Austin activist, and he'll be joining us to talk about his recent indictment for filming police.
[00:16:13.666 --> 00:16:14.846]  He joins us now in studio.
[00:16:15.227 --> 00:16:16.348]  Thanks for joining us, Antonio.
[00:16:16.568 --> 00:16:16.988]  My pleasure.
[00:16:17.088 --> 00:16:17.328]  Thank you.
[00:16:17.368 --> 00:16:19.350]  Okay, now tell us about your recent indictment.
[00:16:20.114 --> 00:16:41.162]  Well, so I was arrested last New Year's Day 2012 and it took them over a year to take the case to the grand jury and then about four weeks ago the grand jury finally convened and it took them four weeks for them to finally come out with a decision and the grand jury ultimately decided not to indict me on the felony charge
[00:16:41.862 --> 00:16:50.406]  Basically, every charge that they initially threw at me, and they ended up indicting me on four Class C misdemeanors, each one for failure to obey a lawful order.
[00:16:50.426 --> 00:16:54.708]  Okay, now for our viewers who may not be familiar with your case, can you go through the specifics of that?
[00:16:55.048 --> 00:16:55.268]  Sure.
[00:16:55.388 --> 00:16:58.830]  On New Year's Day 2012, I was the designated driver.
[00:16:58.870 --> 00:16:59.970]  I was driving my buddy home.
[00:17:00.250 --> 00:17:07.674]  We were going to fill up with gas, and we pulled into a 7-Eleven in downtown Austin, and we saw a DUI stop in progress.
[00:17:08.354 --> 00:17:13.380]  We observed the DUI stop-and-progress, but there was no reason for us to stick around once we were finished filling up.
[00:17:13.800 --> 00:17:22.730]  And so we were getting ready to leave, and that's when Robert Snyder yanked the woman, who was a female passenger in the car, out of the car and threw her to the ground.
[00:17:22.790 --> 00:17:23.931]  She had committed no crime.
[00:17:24.552 --> 00:17:26.474]  And then Patrick Aborski joined in.
[00:17:26.734 --> 00:17:29.317]  They started twisting her arms behind her back in a torture move.
[00:17:29.995 --> 00:17:38.640]  I tried to take pictures with my BlackBerry, she saw me, and then she begged me to please record it, and so I started yelling at the cops, stop assaulting her, she didn't do anything wrong.
[00:17:39.520 --> 00:17:47.705]  And Patrick Aborski then assaulted me, and ultimately claimed that I spit in his face, which is a third degree felony, carries two to ten years.
[00:17:48.425 --> 00:17:56.330]  Now about how far, when you first saw the incident, how far were you when you first observed it, and then when you started to engage the officers verbally, about how far do you think you were?
[00:17:57.612 --> 00:17:58.793]  Maybe 30 feet away.
[00:17:58.813 --> 00:18:06.801]  Okay, so you weren't in direct interference, like maybe you were, you know, shouting at them, but you weren't directly, physically interfering with the investigation.
[00:18:06.841 --> 00:18:07.281]  That's right.
[00:18:07.301 --> 00:18:07.922]  We were there.
[00:18:08.542 --> 00:18:17.070]  They took no issue with us being there filming, or filling up the truck, and it was only once I started yelling at the cops that they took issue with it.
[00:18:17.924 --> 00:18:18.204]  Okay.
[00:18:18.645 --> 00:18:20.105]  And you said she was being tortured.
[00:18:20.165 --> 00:18:21.786]  Can you explain the torture move?
[00:18:21.907 --> 00:18:22.967]  Yeah, it's called stripedo.
[00:18:23.207 --> 00:18:28.771]  And that's basically when you twist someone's arms behind their back and lift them up from the wrist area.
[00:18:29.291 --> 00:18:33.894]  And it tends to rip, you know, the rotator cuff.
[00:18:34.494 --> 00:18:36.856]  And they've done this, you know, throughout history.
[00:18:37.296 --> 00:18:41.559]  The Spanish Inquisition, for example, they do this as a way of torturing people.
[00:18:41.579 --> 00:18:42.419]  Okay.
[00:18:42.800 --> 00:18:44.601]  Now, how did you first hear about the indictment?
[00:18:45.648 --> 00:18:49.895]  I got a call from a local radio station and they wanted to do an interview.
[00:18:50.517 --> 00:18:52.079]  So is there any protocol?
[00:18:52.099 --> 00:18:54.704]  Are you supposed to be contacted by the police or the state?
[00:18:55.908 --> 00:18:57.909]  Is there any way that you're supposed to be contacted?
[00:18:58.029 --> 00:18:58.910]  Yeah, I don't know.
[00:18:58.930 --> 00:19:00.231]  I don't know the answer to that.
[00:19:00.471 --> 00:19:04.214]  And this was a pretty high-profile case, so I was able to be contacted.
[00:19:04.254 --> 00:19:07.956]  I guess most people find out through their lawyer after the fact.
[00:19:08.417 --> 00:19:11.198]  And the reality is, is most people get indicted, right?
[00:19:11.258 --> 00:19:17.843]  Most people, you know, they don't ever have their charges no-billed, so my case was unique in a lot of ways.
[00:19:18.684 --> 00:19:22.026]  So what do you think the response has been, you know, public perception?
[00:19:23.294 --> 00:19:29.998]  Well, it's interesting because I think that the public has been supportive of me and what we've been doing through the Peaceful Streets Project.
[00:19:30.318 --> 00:19:36.222]  Most people were pretty happy that I wasn't indicted on a felony, but they were pretty upset that I was indicted on a bunch of misdemeanors.
[00:19:36.662 --> 00:19:43.186]  And that Norma, who was the one who was assaulted that night, was indicted on resisting arrest, even though it was an illegal arrest.
[00:19:43.286 --> 00:19:44.967]  But most people were pretty supportive.
[00:19:45.888 --> 00:19:49.410]  One local newspaper did write their article in such a way which
[00:19:49.870 --> 00:19:54.716]  It made it look like I was the criminal and they even put a mug shot up of me.
[00:19:55.637 --> 00:19:57.078]  Most people aren't taking that seriously.
[00:19:57.419 --> 00:20:02.304]  People are really supportive of us and people really don't like what's going on with the Austin Police Department.
[00:20:02.724 --> 00:20:08.731]  And speaking of the Austin Police Department, I believe the police chief addressed you directly in a press conference, is that correct?
[00:20:08.891 --> 00:20:28.082]  Yeah, he issued a press release, and his press release was essentially, well here you go, you can't go around breaking the law, you're going to be held accountable for it, and he referenced me supposedly failing to obey lawful orders and Norma resisting her illegal arrest, but of course he didn't say anything about the fact
[00:20:28.462 --> 00:20:40.313]  That he knows that he has two cops that night who lied in their official affidavits, who perjured themselves on the stand, who assaulted two peaceful people who had committed no crime, but he doesn't want to hold them accountable.
[00:20:40.814 --> 00:20:43.176]  Has any action been taken against those two officers?
[00:20:43.729 --> 00:20:43.929]  No.
[00:20:44.810 --> 00:20:47.813]  We filed our complaints through the Office of the Police Monitor.
[00:20:47.853 --> 00:20:54.119]  We've done everything that we were supposed to do to respect the system, to play by the rules as they've set up.
[00:20:54.699 --> 00:21:01.246]  And they've been completely covered for, even though there's glaring evidence of their criminal activity.
[00:21:02.367 --> 00:21:06.170]  It's been long decided that they're not going to face any punishment for what they've done.
[00:21:07.131 --> 00:21:10.155]  So we'll continue and we'll go ahead and file lawsuits against them.
[00:21:10.555 --> 00:21:15.721]  And we'll continue to engage in direct action to expose them for their criminal acts.
[00:21:16.081 --> 00:21:20.166]  But the Thin Blue Line has essentially rallied behind these guys and they're going to protect them.
[00:21:20.643 --> 00:21:21.544]  Let me ask you this, Antonio.
[00:21:21.564 --> 00:21:23.666]  Did you have any prior criminal record?
[00:21:24.166 --> 00:21:24.346]  No.
[00:21:24.567 --> 00:21:32.113]  Before New Year's Day 2012, I've never had a negative incident, you know, with regards to law enforcement.
[00:21:32.674 --> 00:21:39.580]  Since New Year's Day, I have had multiple instances where cops have gone in my face, pushed me around, and even arrested me.
[00:21:40.000 --> 00:21:44.885]  So, seeing that you have no prior offenses, why do you think that you were indicted on these charges?
[00:21:46.075 --> 00:21:58.744]  Well I think, well this is interesting and people may disagree, but there was a case here in Austin two years ago where a young man named Byron Carter was murdered by cops and he had done nothing wrong.
[00:21:58.784 --> 00:22:09.032]  He was a passenger in a car and he was leaving downtown and the cops claimed that the driver of the car had assaulted them with their car so they had to shoot and they ended up killing this guy.
[00:22:09.512 --> 00:22:11.593]  Well, the driver of the car was not indicted.
[00:22:11.653 --> 00:22:12.613]  They took that to the grand jury.
[00:22:12.673 --> 00:22:13.313]  He was indicted.
[00:22:13.574 --> 00:22:15.914]  And then the police were not indicted for killing this kid.
[00:22:16.174 --> 00:22:19.936]  And so all of a sudden, everyone's like, whoa, if no one's been indicted, why is there a dead kid?
[00:22:20.316 --> 00:22:20.496]  Right?
[00:22:20.796 --> 00:22:24.497]  And so I think that they took that lesson and carried it over into this one.
[00:22:24.898 --> 00:22:29.239]  And they didn't want to indict me because there's a half dozen witnesses that say the cops lied.
[00:22:29.439 --> 00:22:30.760]  There's video and there's audio.
[00:22:31.120 --> 00:22:34.441]  And there's the proof that the cops lied through his own affidavit.
[00:22:34.961 --> 00:22:35.182]  I think so.
[00:22:53.764 --> 00:23:03.367]  More frequently here in Austin, at least around the holiday times, your Fourth of July's and so forth, they have the no refusal DUI weekends where you can have your blood drawn without your consent.
[00:23:03.447 --> 00:23:08.909]  Now, I do believe they take you to some type of medical clinic or whatnot, but you can have your blood drawn without your consent.
[00:23:08.929 --> 00:23:09.729]  What do you think about that?
[00:23:10.293 --> 00:23:13.076]  Well, it's just a perfect example of the police state, right?
[00:23:13.136 --> 00:23:18.280]  If they can kidnap you and draw blood out of your system against your will, are you really free?
[00:23:18.841 --> 00:23:24.265]  And the thing about it is, the No Refusal Weekend, that's every single day of the week.
[00:23:24.566 --> 00:23:25.987]  They can do that every single day of the week.
[00:23:26.027 --> 00:23:28.009]  I had a friend who I was driving with.
[00:23:28.329 --> 00:23:29.050]  He was a driver.
[00:23:29.150 --> 00:23:30.411]  He got pulled over on Wednesday.
[00:23:30.511 --> 00:23:31.912]  It was not a No Refusal Weekend.
[00:23:31.932 --> 00:23:32.773]  Oh yeah, I know they do that.
[00:23:32.833 --> 00:23:37.477]  I believe it's year-round in places like San Antonio as well as other places of the U.S., not just Texas.
[00:23:37.617 --> 00:23:41.098]  Yeah, and Austin, they can get the warrant if they want.
[00:23:41.398 --> 00:23:46.540]  And he blew a zero point, or when they drew his blood against his will, it was a zero point zero zero.
[00:23:47.120 --> 00:23:50.081]  And so they dropped it, but they do this to people all the time.
[00:23:50.281 --> 00:23:54.862]  And we don't live in a free nation if you can be kidnapped and you can't have your blood drawn against your will.
[00:23:55.302 --> 00:23:55.802]  Exactly.
[00:23:56.243 --> 00:24:01.406]  So I had a chance this weekend to meet the police chief himself, Art Acevedo, and we were talking about guns.
[00:24:01.426 --> 00:24:08.470]  He was at a, I don't want to say an anti-gun rally, but a pro-gun restriction rally, I guess I used to say.
[00:24:08.930 --> 00:24:11.331]  And he was talking about things such as universal background checks.
[00:24:11.351 --> 00:24:17.835]  Now this is a little off topic, but what are your thoughts on, you know, things such as universal background checks, banning high-capacity magazines, and so forth?
[00:24:18.155 --> 00:24:27.406]  Well, what people don't realize is that when they take away your rights to some portions of, you know, your right to defend yourself, is that they're just chipping away at it.
[00:24:27.767 --> 00:24:34.535]  And when I was actually arrested for my so-called felony of spitting in a cop's face, I lost my Second Amendment rights.
[00:24:34.896 --> 00:24:37.539]  I was trying to get a concealed handgun license and I lost it.
[00:24:37.859 --> 00:24:38.039]  I don't
[00:24:57.503 --> 00:25:02.248]  I'm glad you mentioned that list because military veterans are not on that list and you have military experience yourself, don't you?
