[00:00:10.211 --> 00:00:11.751]  First, congratulations.
[00:18:01.080 --> 00:18:08.383]  $13.6 million to Planned Parenthood and they got undercover meetings at restaurants?
[00:18:10.418 --> 00:18:15.241]  We're Planned Parenthood's talking about buying themselves Ferraris for all the babies they sell?
[00:18:17.063 --> 00:18:32.654]  And now the mRNA vaccines don't just have part of babies in them, they have the entire genome, the Pfizer one does, of a dead boy that they've been cloning since 1966.
[00:18:38.032 --> 00:18:46.516]  You know, I remember I got on air 27 years ago and I'd be reading BBC articles about human animal cloning began 20 plus years ago and they would list where it began.
[00:18:46.536 --> 00:18:49.578]  And I remember even back then it was in the news.
[00:18:50.518 --> 00:18:52.359]  So I'd go, well, wait a minute, that's 27 years ago and it's 1995 or 1994, 1996.
[00:18:52.439 --> 00:18:56.281]  Then, you know, we're talking, this has been going on now 50 years.
[00:19:07.332 --> 00:19:11.955]  But they know because of the church and people's morals and common sense that people would want that outlawed.
[00:19:11.975 --> 00:19:16.819]  But it's all been going on right beneath the surface.
[00:19:20.081 --> 00:19:20.741]  I'm going to go to break.
[00:19:21.762 --> 00:19:22.963]  Too long segment's coming up.
[00:19:24.164 --> 00:19:30.208]  And I'm going to go right to your phone calls, Rick and Danny and Scott and Austin and Brian and many others, 877-789-2539.
[00:19:30.668 --> 00:19:36.352]  I want to hear from you about what President Trump needs to do, what you're going to be doing, what you expect next year.
[00:19:37.233 --> 00:19:38.914]  What happens if they do force Biden in?
[00:19:39.894 --> 00:19:43.416]  But let me tell you, there's a lot more election fraud coming out and big movements.
[00:19:43.736 --> 00:19:45.417]  Here's two of them we'll cover right now.
[00:19:45.917 --> 00:19:49.419]  Vice President Pence cancels planned January 6 trip to Israel.
[00:19:49.439 --> 00:19:51.160]  I've been harping on this for two days.
[00:19:51.840 --> 00:19:52.721]  Just now getting attention.
[00:19:53.181 --> 00:19:55.202]  He was going to be gone on vacation.
[00:19:56.442 --> 00:20:03.426]  But now he's going to be back to oversee the debate in the Senate that could go on potentially not just for two hours, but for days.
[00:20:06.587 --> 00:20:11.295]  Somebody seize control of the Walmart account and attack Senator Josh Hawley.
[00:20:13.334 --> 00:20:14.715]  I don't think so.
[00:20:36.912 --> 00:20:50.358]  But Hawley is defending his decision to launch the contestant and to contest the election of Joe Biden by contesting the Electoral College results and blast Dems over their hypocrisy.
[00:20:52.299 --> 00:20:53.699]  So this all ties together.
[00:20:56.040 --> 00:20:57.901]  All right, we are going to go to break.
[00:20:57.921 --> 00:20:59.262]  We're going to come back and hit all this.
[00:20:59.302 --> 00:21:01.843]  But let me tell you about some very, very exciting things that are happening.
[00:21:02.944 --> 00:21:06.025]  We have four big products, really five big products that are back in stock.
[00:21:07.452 --> 00:21:12.614]  We have the Fluoride Free High Quality Concentrated Activated Charcoal Toothpaste.
[00:21:13.434 --> 00:21:15.314]  Activated Charcoal Toothpaste is super popular.
[00:21:15.374 --> 00:21:15.974]  It's exploding.
[00:21:15.995 --> 00:21:22.576]  It's the fastest growing toothpaste because it really, really works great and we believe we've got one of the best ones out there.
[00:21:22.937 --> 00:21:25.537]  Doesn't have the fillers, doesn't have the garbage, doesn't have the chemicals.
[00:21:25.657 --> 00:21:26.217]  It's amazing.
[00:21:26.578 --> 00:21:27.538]  It's super strong.
[00:21:28.621 --> 00:21:29.722]  And super concentrated.
[00:21:30.202 --> 00:21:34.185]  It's Dr. Jones Naturals Activated Charcoal Toothpaste.
[00:21:34.385 --> 00:21:34.905]  25% off.
[00:21:34.965 --> 00:21:36.066]  Infowarstore.com.
[00:21:36.606 --> 00:21:38.988]  Also back in stock for the New Year, Pollen Block!
[00:21:39.904 --> 00:21:43.226]  Specially fed quail in France, proprietary.
[00:21:44.007 --> 00:21:49.731]  Their eggs then produce some type of natural antihistamine, they believe, that works really, really good for most people.
[00:21:49.791 --> 00:21:50.992]  Works a little for everybody.
[00:21:51.352 --> 00:21:52.493]  Works amazingly for me.
[00:21:52.533 --> 00:21:55.575]  It knocks out my seasonal discomfort, my allergies by about 80%.
[00:21:56.296 --> 00:22:00.379]  You chew up the pills, they're naturally sweetened, and that's it.
[00:22:00.879 --> 00:22:04.121]  Take two of them in the morning, if your allergies are really bad, go two of them in the evening.
[00:22:04.582 --> 00:22:05.282]  It is amazing.
[00:22:05.342 --> 00:22:06.003]  PollenBlock.
[00:22:06.483 --> 00:22:07.564]  Infowarsstore.com.
[00:22:09.190 --> 00:22:11.153]  It's got rave reviews as well.
[00:22:11.173 --> 00:22:13.155]  25% off.
[00:22:13.536 --> 00:22:16.459]  Then, Super Mill Vitality.
[00:22:16.559 --> 00:22:19.403]  Cold-pressed, known herbs and compounds.
[00:22:20.384 --> 00:22:23.728]  One of the top facilities in Utah that we have the special proprietary blend made.
[00:22:24.565 --> 00:22:31.951]  Where they cold press it, takes three to four to five times, depending on the batch, of the herbs to make it, and it's really living.
[00:22:31.991 --> 00:22:33.091]  It's like a fine wine.
[00:22:33.592 --> 00:22:36.214]  It's next level stamina, libido, energy, very, very strong.
[00:22:36.554 --> 00:22:37.795]  Good for men and women.
[00:22:38.315 --> 00:22:41.758]  We have Superfemale Vitality, it's a similar formula, but a lot of women like this, but others are female.
[00:22:41.998 --> 00:22:42.759]  It works for both men and women.
[00:22:43.019 --> 00:22:48.363]  It's 50% off back in stock for a limited time at that price at infowarestore.com.
[00:22:49.924 --> 00:22:55.346]  And we've also got some of the other great products back in, like this baby everybody should get.
[00:22:55.766 --> 00:22:57.807]  Living Defense and X2 is back.
[00:22:58.247 --> 00:23:00.768]  X2, the ultimate deep earth crystal source of iodine.
[00:23:11.891 --> 00:23:14.012]  We'll meet again.
[00:23:15.413 --> 00:23:16.373]  Don't know where.
[00:23:17.853 --> 00:23:18.914]  Don't know when.
[00:23:20.379 --> 00:23:26.564]  But I know we'll meet again some sunny day.
[00:23:31.628 --> 00:23:38.573]  Keep smiling through just like you always do.
[00:23:40.316 --> 00:24:08.782]  Till the blue skies drive the dark clouds far away And will you please say hello to the folks that I know Tell them that I won't be long And they'll be happy to know that as you saw me go I was singing this song
[00:24:11.605 --> 00:24:14.447]  We'll meet again.
[00:24:15.107 --> 00:24:16.168]  Don't know where.
[00:24:17.589 --> 00:24:18.889]  Don't know when.
[00:24:20.250 --> 00:24:26.214]  But I know we'll meet again some sunny day.
[00:24:26.694 --> 00:24:29.956]  Want a piece of me?
[00:24:29.996 --> 00:24:32.497]  You got it!
[00:24:32.577 --> 00:24:33.718]  Yeah, we'll meet again.
[00:24:35.499 --> 00:24:36.419]  I don't know where.
[00:24:37.860 --> 00:24:38.881]  And I don't know when.
[00:24:40.774 --> 00:24:45.895]  But I do know that we'll meet again some sunny day.
[00:24:46.915 --> 00:24:48.215]  Give me the keys to daylight.
[00:24:48.335 --> 00:24:50.776]  That's all I need.
[00:24:52.216 --> 00:24:55.417]  So honey, keep on smiling through.
[00:24:57.837 --> 00:24:59.578]  Just like you always do.
[00:25:01.538 --> 00:25:06.899]  Till the blue skies drive the dark clouds far away.
[00:25:11.534 --> 00:25:39.643]  And would you please say hello To all the folks that I know And tell them I won't be long They'll be happy to know That as you saw me go I was singing this song We'll meet again Don't know where Don't know how
[00:25:41.704 --> 00:25:48.137]  But I know we'll meet again some sunny day.
[00:25:57.774 --> 00:26:00.777]  Wow, that's a powerful video that our own Darren McBrain put together.
[00:26:01.057 --> 00:26:03.339]  Again, for Radio listeners, you've got to hear a great Johnny Cash song.
[00:26:03.979 --> 00:26:05.260]  I want to go to your phone calls now.
[00:26:05.340 --> 00:26:06.441]  I am your host, Alex Jones.
[00:26:06.461 --> 00:26:11.445]  We've got Steve, we've got Rick, we've got Danny, we've got Scott, Austin, Charles, Robert, Kevin, and so many others.
[00:26:12.046 --> 00:26:22.455]  Austin's mother teaches nursing, got the Pfizer COVID vaccine, he's got a report to give us, and then we've got a wife is a doctor, hospitals raking in millions on COVID.
[00:26:23.171 --> 00:26:35.202]  I don't just have to believe Robert, even USA Today says $53,000 on top of what you get paid by the insurance or whatever, or by their payment, when you've got a COVID patient, you intubate.
[00:26:35.943 --> 00:26:43.770]  When you intubate, you get higher death rates, but there are 75 people, I kept saying 77, I don't know why, the statistics, as of a few days ago when I covered it, 77
[00:26:45.831 --> 00:26:46.571]  Was the number I said.
[00:26:46.591 --> 00:26:57.234]  75 is what the CDC reported and the Austin American Station reported in the town I live of almost 2 million people in the hospital with COVID.
[00:26:57.254 --> 00:26:57.234]  75.
[00:26:57.574 --> 00:27:03.016]  And they're saying the hospitals are full, everyone's dead, run for the hills, my God, don't ever leave your house again!
[00:27:04.079 --> 00:27:05.640]  Hey Alex, thanks so much for taking my call.
[00:27:05.660 --> 00:27:07.701]  I hope everybody's having a good New Year's Eve.
[00:27:33.933 --> 00:27:35.795]  Yeah, you touched on it a little bit earlier, Alex.
[00:27:35.975 --> 00:27:39.679]  My mother, she teaches nursing at a Division I university in Tennessee.
[00:27:39.739 --> 00:27:44.003]  I won't go too much further into that, just because I do want to protect her identity.
[00:27:44.583 --> 00:27:47.546]  But she has been in the nursing field for over 25 years.
[00:27:47.566 --> 00:27:54.633]  She has her doctorate, she teaches nursing, and she works in the emergency room here in the COVID unit.
