[00:00:09.747 --> 00:00:10.169]  Oh, no.
[00:04:07.963 --> 00:04:14.367]  We must begin the work of dismantling the whole system of oppression wherever we find it.
[00:04:14.967 --> 00:04:33.761]  And who says this country sucked when it scooped her up out of the most hellish country in Africa, probably the world, where they have sex slavery for women and their main system is still slavery and piracy and we save her and we elect her and she attacks us!
[00:04:33.761 --> 00:04:43.469]  Never stop saying, not only do we need to disinvest foreign police, but we need to completely dismantle the Minneapolis Police Department.
[00:04:53.182 --> 00:04:58.744]  The Minneapolis Police Department is rotten to the root.
[00:04:58.744 --> 00:05:05.807]  And so when we dismantle it, we get rid of that cancer and we allow for something beautiful to rise.
[00:05:05.807 --> 00:05:06.828]  Oh, like Somalia?
[00:05:06.828 --> 00:05:13.250]  And that reimagining allows us to figure out what public safety looks like for us.
[00:05:13.250 --> 00:05:14.751]  That means her in charge of the police.
[00:05:16.340 --> 00:05:17.802]  You talk about frightening.
[00:05:17.802 --> 00:05:19.964]  You talk about delusional, crazy people.
[00:05:19.964 --> 00:05:21.946]  All funded by Gates, the UN.
[00:05:21.946 --> 00:05:23.908]  Replacement migration.
[00:05:23.908 --> 00:05:26.591]  This is just a nightmare scenario, ladies and gentlemen.
[00:05:26.591 --> 00:05:36.281]  And see, it's Stockholm Syndrome to love it and think it's your friend and to go along with it, when all it's doing is creating a post-human world.
[00:05:37.995 --> 00:05:39.877]  And that's why we're taught to hate ourselves.
[00:05:39.877 --> 00:05:41.759]  It's why we're taught that America sucks.
[00:05:41.759 --> 00:05:43.821]  It's why you're taught that humans are bad.
[00:05:43.821 --> 00:05:51.069]  So an evil group of people will have you just basically commit cultural suicide and stand down so they rule you.
[00:05:51.069 --> 00:05:51.890]  So they can get rid of you.
[00:05:55.731 --> 00:05:56.972]  We're live, ladies and gentlemen.
[00:05:56.972 --> 00:05:59.614]  There's been a giant explosion in Beirut.
[00:05:59.614 --> 00:06:02.417]  The latest on that and so much more.
[00:06:02.417 --> 00:06:04.659]  Stage 4 lockdown being announced.
[00:06:04.659 --> 00:06:06.160]  This is the battle for humanity.
[00:06:06.160 --> 00:06:11.144]  This is the AI takeover.
[00:06:11.144 --> 00:06:12.585]  I've been on air 26 years.
[00:06:12.585 --> 00:06:19.691]  Starting about 24 years ago, I began to get calls from major Hollywood directors, producers, actors.
[00:06:19.691 --> 00:06:20.912]  They wanted to meet with me.
[00:06:20.912 --> 00:06:22.854]  And they said, what is your formal education?
[00:06:23.425 --> 00:06:25.446]  I said, well, really nothing but a few years of college.
[00:06:25.446 --> 00:06:32.069]  They said, well, how are you one of the best science fiction or cultural writers we've ever heard?
[00:06:32.069 --> 00:06:35.851]  The stuff you come up with is just unbelievable.
[00:06:35.851 --> 00:06:36.852]  We'd like you to be in movies.
[00:06:36.852 --> 00:06:38.113]  We'd like you to write with us.
[00:06:38.113 --> 00:06:40.054]  We'd like you to do voiceovers.
[00:06:40.054 --> 00:06:41.274]  You're just a Renaissance man.
[00:06:41.274 --> 00:06:44.876]  Folks know I was in some movies and Harry Shearer made statements like that and a lot of others.
[00:06:44.876 --> 00:06:46.257]  I'm not bragging.
[00:06:46.257 --> 00:06:47.217]  I kept explaining to them.
[00:06:47.217 --> 00:06:49.178]  I said, do you understand?
[00:06:49.178 --> 00:06:50.679]  I didn't come up with any of this.
[00:06:51.289 --> 00:06:58.538]  I'm reading globalist MIT white papers and futurist documents, and they would just laugh at me and say, oh, no way.
[00:06:58.538 --> 00:07:00.340]  Then I would give them the documents.
[00:07:00.340 --> 00:07:04.825]  They would get very, very scared the next time I saw them in a few months and say, man, you're right.
[00:07:04.825 --> 00:07:06.006]  This is just topic.
[00:07:06.006 --> 00:07:08.730]  Folks, I didn't make any of this up, OK?
[00:07:08.730 --> 00:07:09.370]  It's real.
[00:07:09.370 --> 00:07:09.791]  It's real.
[00:07:33.547 --> 00:07:35.528]  It is Tuesday, August 4th, the year is 2020.
[00:07:35.528 --> 00:07:38.329]  We are 9-0.
[00:07:38.329 --> 00:07:43.231]  90 Earth rotations out from this incredible election.
[00:07:43.231 --> 00:07:45.272]  Strap yourselves in.
[00:07:45.272 --> 00:07:52.995]  There's been a giant explosion in Beirut in a huge mushroom cloud that some thought might have been an atomic or hydrogen bomb.
[00:07:52.995 --> 00:07:54.835]  Going off, it could be seen from 30, 40 miles.
[00:07:56.816 --> 00:08:26.205]  Away going as high as 40,000 feet in the air that incredible still shot from AFP TV viewers can see on screen But the good news is it's bad news, but not that bad there was a fire at the port a fireworks factory blew up and So that is what caused that Very ominous looking Explosion that obviously still a lot of people so it's bad news, but the good news is it was not a terrorist attack
[00:08:28.215 --> 00:08:33.438]  Just 20 minutes ago it was terrifying mystery blast, shockwave filmed over Beirut, now they know it's fireworks.
[00:08:33.438 --> 00:08:36.879]  The BBC is reporting.
[00:08:36.879 --> 00:08:41.922]  Now, let's get into it here.
[00:08:41.922 --> 00:08:44.643]  Let's lay out the news.
[00:08:44.643 --> 00:08:50.206]  You know, I think the best thing for me to do is something I did yesterday, and I did a pretty good job, and that was in the first segment.
[00:08:51.374 --> 00:08:58.401]  Doing nothing but reading headlines and then coming back after that and getting into the headlines in specifics in detail.
[00:08:58.401 --> 00:09:00.964]  Because that just gives you the flavor of what's going on.
[00:09:00.964 --> 00:09:03.886]  So let's go ahead and do that right now.
[00:09:03.886 --> 00:09:10.493]  New York Times op-ed suggests scrapping the 2020 presidential debates.
[00:09:10.493 --> 00:09:14.317]  Because when you're running a corpse, you can't actually have it on television.
[00:09:16.567 --> 00:09:19.788]  Trump claims authority to issue order on mail-in votes.
[00:09:19.788 --> 00:09:20.508]  Executive order.
[00:09:20.508 --> 00:09:24.329]  Associated Press.
[00:09:24.329 --> 00:09:24.990]  Good news.
[00:09:24.990 --> 00:09:29.231]  Trump is registering more new votes than Democrats in key swing states.
[00:09:29.231 --> 00:09:33.752]  GatewayPundit.com.
[00:09:33.752 --> 00:09:38.274]  New Nevada law allows Democrats to enter nursing homes.
[00:09:38.274 --> 00:09:39.554]  Fox News is reporting.
[00:09:39.554 --> 00:09:42.955]  Vote for dementia patients without their signature.
[00:09:42.955 --> 00:09:44.916]  Actual video of it and the law.
[00:09:48.747 --> 00:09:49.827]  It's all political.
[00:09:49.827 --> 00:10:00.170]  New Mexico Dem Governor says protests are okay, but knocking on doors or register voters is not the definition of hypocrisy and fraud.
[00:10:00.170 --> 00:10:02.571]  Trump questions Epstein's suicide.
[00:10:02.571 --> 00:10:05.011]  Was he killed?
[00:10:05.011 --> 00:10:07.512]  Explained what he was talking about with Ghazaleen Maxwell.
[00:10:07.512 --> 00:10:08.392]  He said he wishes her well.
[00:10:08.392 --> 00:10:09.432]  He doesn't want her to die.
[00:10:09.432 --> 00:10:11.813]  He wants her to live a long time so she can testify.
[00:10:13.100 --> 00:10:20.398]  Trump fires CEO of Tennessee Valley Authority for outsourcing jobs to foreign workers after meeting with U.S.
[00:10:20.398 --> 00:10:21.100]  tech workers.
[00:10:21.100 --> 00:10:21.822]  Talk about listening.
[00:10:22.779 --> 00:10:24.020]  To your base.
[00:10:24.020 --> 00:10:30.226]  Singapore to attack visitors with electronic monitoring devices to ensure COVID-19 quarantine compliance.
[00:10:30.226 --> 00:10:35.952]  But don't worry, when you're in the country, they've got the database on your phone, which is the New World Order plan.
[00:10:35.952 --> 00:10:42.578]  Singapore will give residents wearable tokens that track the people they interact with in new effort to contain COVID-19.
[00:10:43.951 --> 00:10:51.058]  And now city parks in Austin are making you register and give them a digital number at the beginning of this to be able to use Barton Springs and other areas.
[00:10:51.058 --> 00:10:56.183]  I am going to lead a march where we go into Barton Springs and we swim, and we'll probably get arrested!
[00:10:56.183 --> 00:10:58.805]  Because we're not shooting at police or something.
[00:10:58.805 --> 00:11:03.470]  But we've got to start having our civil rights movement, our human rights movement against this, ladies and gentlemen.
[00:11:03.470 --> 00:11:07.294]  This is an admitted takeover where you have to be tracked to go outside.
[00:11:09.417 --> 00:11:11.017]  And remember who else was pushing this a month ago?
[00:11:11.017 --> 00:11:11.918]  This is Jerusalem Post.
[00:11:11.918 --> 00:11:16.999]  Benjamin Netanyahu suggests microchipping kids slammed by experts.
[00:11:16.999 --> 00:11:18.579]  Bill Gates is announcing it.
[00:11:18.579 --> 00:11:23.720]  Your phone is spying on you and companies are generating secret surveillance scores based on info.
[00:11:23.720 --> 00:11:27.441]  A big detailed report from Michael Snyder at InfoWars.com.
[00:11:27.441 --> 00:11:30.161]  I suggest you read that and share that because it all ties into this.
[00:11:30.161 --> 00:11:31.241]  And look at this photo.
[00:11:31.241 --> 00:11:32.242]  You're a TV viewer.
[00:11:32.242 --> 00:11:33.822]  Radio listeners can go to InfoWars.com.
[00:11:33.822 --> 00:11:35.442]  It's a Paul Joseph Watson article.
[00:11:35.442 --> 00:11:37.263]  Houston mayor orders $250 fines
[00:11:40.333 --> 00:11:56.787]  For people who refuse to wear a mask, and he wears a mask that says, I can't breathe on it, even though major studies are coming out, on record showing that they don't help you, they don't keep you safe, and they cause health problems.
[00:11:56.787 --> 00:11:57.648]  Like not being able to breathe.
[00:11:59.022 --> 00:12:05.543]  We have video where doctors report pharmacies are refusing to fill HCQ totally legal prescriptions.
[00:12:05.543 --> 00:12:09.584]  And Ohio and Michigan have reversed bans on it after outcry by doctors.
[00:12:09.584 --> 00:12:12.645]  But now the pharmacies are good little globalists.
[00:12:12.645 --> 00:12:18.066]  They're going to refuse the people with medical degrees, because Bill Gates said so.
[00:12:18.066 --> 00:12:21.807]  He's not a doctor, but he does run them.
[00:12:21.807 --> 00:12:25.088]  AP, Spain's new wave of infections hits the young middle age.
[00:12:25.088 --> 00:12:26.548]  You read the statistics, it's all made up.
[00:12:27.267 --> 00:12:32.509]  FDA shifting standards for Chinese face mask fuel confusion.
[00:12:32.509 --> 00:12:34.350]  I can't effing breathe under this thing.
[00:12:34.350 --> 00:12:36.531]  LSU linebacker identifies flaw.
[00:12:36.531 --> 00:12:37.211]  Flaw?
[00:12:37.211 --> 00:12:41.533]  It's actually a space helmet in new coronavirus helmets.
[00:12:41.533 --> 00:12:45.754]  It's a space helmet without an oxygen tube.
[00:12:45.754 --> 00:12:51.696]  But if they can get us to wear a bag over our head and asphyxiate ourselves, why not?
[00:12:51.696 --> 00:12:53.017]  You know they're laughing at you.
[00:12:55.578 --> 00:13:05.283]  Meanwhile, Trump says, crazy Nancy Pelosi, slow rolling coronavirus aid, only interested in bailing out radical leftists, which she admits, she says, everybody else is collateral damage.
[00:13:05.283 --> 00:13:09.885]  The leader of the American Communist Party has endorsed Biden.
[00:13:09.885 --> 00:13:13.367]  Then, of course, the really big news has come up at the bottom of the hour.
[00:13:13.367 --> 00:13:15.368]  There is a major move to crash the dollar.
[00:13:15.368 --> 00:13:17.949]  I'll explain what's behind that and how to stop it.
[00:13:17.949 --> 00:13:18.869]  And yes, we're fiat.
[00:13:18.869 --> 00:13:23.712]  Yes, we're over financial territory that we shouldn't be.
[00:13:24.878 --> 00:13:33.763]  But I'm going to explain the big picture and what's really going on and why they have all these so-called conservatives out there saying America's over, the dollar's dead, you know, everything's going to collapse.
[00:13:33.763 --> 00:13:38.745]  It's because they're invested in China and they're invested with the globalists, who's even more inflated than us.
[00:13:38.745 --> 00:13:41.007]  So I'll be explaining all that at the bottom of the hour.
[00:13:41.007 --> 00:13:44.969]  Back into the hydroxychloroquine area, you're going to really need to see these articles.
[00:13:46.158 --> 00:13:58.545]  COVID-19, Dr. Zelenko, 150,000 Americans and many more around the world are dead because HCQ stood in the way of making trillions for Fauci, Gates, and others.
[00:13:58.545 --> 00:14:05.770]  These two charts should land Dr. Fauci in prison and shows the countries that use hydroxychloroquine had almost no deaths.
[00:14:05.770 --> 00:14:14.435]  Those that didn't use it had the highest deaths because it is a zinc deficiency in the cells, which the NIH website admits.
[00:14:15.794 --> 00:14:23.563]  Exclusive New York Health Commissioner Zucker won't provide number of elderly who went from nursing homes and then died in hospitals.
[00:14:23.563 --> 00:14:29.469]  Reportedly the only state not to gather this data, but we know they had the most deaths in any state in the nursing homes.
[00:14:29.469 --> 00:14:30.931]  The land with no face mask.
[00:14:32.096 --> 00:14:42.502]  Daily Mail, Holland's top scientists say there's no solid evidence coverings work, that they actually spread the disease and make you sick, and well, but then that's what the science shows.
[00:14:42.502 --> 00:14:47.545]  And of course they have some of the lowest numbers in the world, just like Sweden.
[00:14:47.545 --> 00:14:48.606]  But it's an act of submission.
[00:14:49.511 --> 00:14:50.531]  Unbelievable.
[00:14:50.531 --> 00:14:52.452]  A new interview, Bobby Kennedy Jr.
[00:14:52.452 --> 00:14:59.594]  claims, he doesn't claim, it's right there in the documents, Dr. Fauci will make millions on coronavirus vaccine and owns half the patent.
[00:14:59.594 --> 00:15:01.535]  We reported that six months ago, folks.
[00:15:01.535 --> 00:15:17.100]  Bill and Melinda Gates Foundation own at least three patents, two of them with Fauci, on a COVID-19 type Chimaera virus that's been developed for animals, but in the patent it says will work in humans as well.
[00:15:18.072 --> 00:15:21.656]  Oh, turns out they've already been doing some secret testing.
[00:15:21.656 --> 00:15:33.648]  Las Vegas gambler removed from famous Fort Queens casino in handcuffs after he went in without wearing a mask, but the illegal aliens come across with drug-resistant TB and a million point four die, but that's no big deal.
[00:15:33.648 --> 00:15:37.132]  The police want a virtue signal and grab someone not submitting properly.
[00:15:40.356 --> 00:15:41.678]  Continuing, ladies and gentlemen.
[00:15:41.678 --> 00:15:46.583]  Lockdown 2.0 looks like harsher rules, deeper confusion.
[00:15:46.583 --> 00:15:51.929]  They're now admitting that Australia and Spain will be the model for the United States next.
[00:15:51.929 --> 00:15:56.714]  And they're going to be coming in your homes with the contact tracers.
[00:15:56.714 --> 00:16:00.459]  So the same group that says abolish the police, they will have the police do their dirty work.
[00:16:02.196 --> 00:16:05.278]  And the UN says, oh, we're in for a rocky ride.
[00:16:05.278 --> 00:16:06.359]  Oh, it's only going to get worse.
[00:16:06.359 --> 00:16:07.740]  Coronavirus will never go away.
[00:16:07.740 --> 00:16:19.748]  Give up all your rights because they can take any death statistic they want and add it and rise COVID or lower COVID to lock you down when they want and make you accept total tracking, total control, total enslavement.
[00:16:19.748 --> 00:16:23.631]  We're going to go through more of this when we come back.
[00:16:23.631 --> 00:16:27.734]  I've only covered two of the stats I have.
[00:16:29.338 --> 00:16:40.258]  Seven, eight other stacks here, and I think what I'll do is next segment, I'll finish up the hydroxychloroquine and the COVID-19 worldwide martial law lockdown news, and then I'll get into the police.
[00:16:41.283 --> 00:16:42.804]  Stand down news.
[00:16:42.804 --> 00:16:43.684]  Then I'll get into the U.N.
[00:16:43.684 --> 00:16:45.344]  power grab takeover news.
[00:16:45.344 --> 00:16:47.545]  And I'll get into the election power grab news.
[00:16:47.545 --> 00:16:49.346]  The election fraud news.
[00:16:49.346 --> 00:16:54.948]  And then at the bottom of the hour, the biggest new threat, the plan that's now admitted to crash the U.S.
[00:16:54.948 --> 00:16:56.088]  dollar, destroy U.S.
[00:16:56.088 --> 00:16:58.489]  dominance forever, and put Communist China and the E.U.
[00:16:58.489 --> 00:16:59.749]  in the driver's seat.
[00:16:59.749 --> 00:17:04.131]  America and the world fighting against the new dark age of globalist tyranny.
[00:17:04.131 --> 00:17:05.731]  This couldn't be more critical.
[00:17:05.731 --> 00:17:07.432]  I'm Alex Jones, faithful to humanity.
[00:17:07.432 --> 00:17:07.892]  Stay with us.
[00:17:09.281 --> 00:17:21.487]  States cracking down on social gatherings, says CNN, because Fauci says if we don't, we'll see further surges in coronavirus positives.
[00:17:21.487 --> 00:17:30.491]  Because they're only ramping up the testing, and because the tests have been designed at the Wuhan lab, it turns out, to be completely fraudulent.
[00:17:30.491 --> 00:17:38.234]  They cooked the whole thing up offshore in a communist dictatorship with Fauci, Bill Gates, and the Chai Koms to be
[00:17:38.314 --> 00:18:04.572]  Directed by the UN as a giant planetary power grab and now it's all over the news that indeed Bill Gates has developed digital tattoos under your skin and so is Google and they're deploying them at the airports next year where you'll have to have it to be able to travel oh and then soon to leave your house or go in a grocery store and the contact tracers work for Bill and Melinda Gates and the Clintons and they're gonna come to your house and make sure you're inoculated.
[00:18:04.572 --> 00:18:07.213]  Yes, we're now inside the mark of the beast.
[00:18:07.213 --> 00:18:08.234]  Resist or be enslaved.
[00:18:08.754 --> 00:18:23.741]  Another part of the Great Awakening that's taking place is people that haven't even been religious or Christian now see how evil is out in the open, how hundreds of churches have been burned in Europe and the U.S., hundreds of Christian icons have been burned and destroyed.
[00:18:24.361 --> 00:18:29.145]  Jesus has had their heads cut off all over the country, all over the Philippines, all over Europe.
[00:18:29.145 --> 00:18:30.666]  Virgin Marys are getting torn down.
[00:18:30.666 --> 00:18:32.708]  I mean, crosses are being torn down.
[00:18:32.708 --> 00:18:37.892]  It's absolutely out of control, but people now understand that evil was always real.
[00:18:37.892 --> 00:18:44.298]  It is spiritual, and it was just waiting to make its move, building beneath the surface, and now it's emerged.
[00:18:44.778 --> 00:18:47.559]  That's why when I ask listeners and viewers for your prayer, I mean it.
[00:18:47.559 --> 00:18:48.640]  I'm praying for America.
[00:18:48.640 --> 00:18:49.520]  I'm praying for you.
[00:18:49.520 --> 00:18:52.661]  And I know the power of prayer is real and God hears it.
[00:18:52.661 --> 00:18:55.663]  We need to come together and pray for an even greater awakening.
[00:18:55.663 --> 00:18:58.064]  Pray for Donald Trump to be protected.
[00:18:58.064 --> 00:19:05.607]  Pray for him to win in a landslide and pray for the people under deception of the globalists to awaken and join us in liberty and freedom.
[00:19:05.607 --> 00:19:06.307]  God bless you all.
[00:19:06.307 --> 00:19:07.508]  Please pray for him for us as well.
[00:19:12.651 --> 00:19:29.336]  You're listening to the Alex Jones Show.
[00:19:29.336 --> 00:19:33.797]  Alex Jones, the cure to fake news.
[00:19:33.797 --> 00:19:37.038]  Coming to you live from Austin, Texas.
[00:19:51.866 --> 00:19:56.169]  Ladies and gentlemen, we are back live broadcasting worldwide.
[00:19:56.169 --> 00:19:57.250]  I am your host, Alex Jones.
[00:19:57.250 --> 00:20:18.164]  And what I'm going to do for the rest of this segment is read through these headlines and break down what our enemies in the New World Order are doing and how they're building this giant cashless society system that tracks our every move and controls where we can do and what we can do according to
[00:20:20.586 --> 00:20:28.368]  Social engineering, which is designed to only tighten the noose further.
[00:20:28.368 --> 00:20:39.030]  And so the more that we comply, the more that we submit, the worse things get.
[00:20:39.030 --> 00:20:49.612]  That's why they're announcing right now, oh, the UN's advising Australia and Spain on level four lockdown.
[00:20:51.308 --> 00:21:16.135]  And so the very bioweapons labs, the very UN program that dumped this out on the planet, that owns the patents to the vaccines, that's standing at all this power and money and control, are the very people that then censor all these medical doctors and all these scientists around the world that are simply coming out and reporting what's known real medical science.
[00:21:16.135 --> 00:21:18.456]  But see, that known consensus
[00:21:20.202 --> 00:21:42.648]  By the actual professionals is under attack by the big tech technocracy that's merged with big pharma that is turning doctors into nothing but janitors who will oversee the robots and the computers and the AI systems that are programmed by the eugenicist to carry out the orderly extermination of the people of the earth.
[00:21:42.648 --> 00:21:48.310]  And so we've got a giant planetary Tuskegee level experiment
[00:21:53.717 --> 00:22:15.086]  Going on against humanity right now, and you've got all these compliant sheeple that don't want to hear about how Fauci lied about everything, that don't want to hear about how COVID was made in a lab, who don't want to hear about the contact tracing and the apps on the phones, and who don't want to hear about the digital microchips and digital tattoos.
[00:22:17.054 --> 00:22:34.146]  They actually think that by submitting they are part of the power structure and that they are basking in the glow of the system when they're nothing but useful, idiot, schmuck, sucker, Marx, fools, sheep.
[00:22:34.146 --> 00:22:37.809]  So again, when they come up to you and say, wear your mask, don't respond back.
[00:22:37.809 --> 00:22:42.772]  Because they're expecting you to do that, then they start yelling at you, don't listen.
[00:22:42.772 --> 00:22:46.375]  When they say, oh, you have nothing to say, you say, yes, I don't believe in cruelty to animals.
[00:22:48.803 --> 00:22:54.307]  And when they get mad at that, and say, what are you saying, I'm a bitch?
[00:22:54.307 --> 00:22:58.850]  Are you saying I'm a... No, I'm saying you're a sheep.
[00:22:58.850 --> 00:23:15.741]  Because when the system organizes the sheep in mob rule, in a giant stampede of lemmings, of cattle, to overrun us, we have a responsibility to tell those dumb cows that they better get out of your way.
[00:23:16.852 --> 00:23:20.994]  Because they're not going to listen to reason, they're not going to listen to science, they're not going to listen to facts.
[00:23:20.994 --> 00:23:30.597]  They're going to listen when they throw hot coffee on you when you break their nose.
[00:23:30.597 --> 00:23:36.519]  They're going to listen when they come to your table and try to embarrass you when you go over and get in their face.
[00:23:36.519 --> 00:23:39.460]  Because that's what it takes is standing up to them.
[00:23:39.460 --> 00:23:41.361]  When you bow down to sheeple
[00:23:42.964 --> 00:23:48.627]  When you grovel to sheeple, it only makes them more emboldened.
[00:23:48.627 --> 00:23:59.331]  It only makes them more out of control, because finally, they believe they can go out and have personal power over people, because they believe in the power of the sheep.
[00:23:59.331 --> 00:24:00.752]  Now, the crew's great.
[00:24:00.752 --> 00:24:01.952]  I kind of get in the zone here.
[00:24:01.952 --> 00:24:09.896]  And during the break, I was going to get some documents and do some research, and I got talked to in the hall by my son.
[00:24:11.508 --> 00:24:24.417]  Who brought up another story to me, and then I go back, he works here now, and he was like, look at this article, look at this story, and I just can't do it.
[00:24:24.417 --> 00:24:28.159]  Because I'm totally in the zone about this COVID thing, and I was loaded for bear to come in here and cover that.
[00:24:28.159 --> 00:24:32.702]  And now I just got distracted off.
[00:24:32.702 --> 00:24:36.265]  The rule is, don't talk to me in the hallway, folks, everybody knows that.
[00:24:36.265 --> 00:24:39.567]  And I begged Rex to stop it, so I'll do it on air, and maybe he'll hear it that way.
[00:24:48.120 --> 00:24:53.082]  You know, I had my attention span destroyed by television, but it's nothing compared to the young people now.
[00:24:53.082 --> 00:24:57.464]  And, you know, we sit here and we watch the enemy just wreck our minds and turn us against each other.
[00:24:57.464 --> 00:24:58.425]  It's just so damn sad.
[00:24:58.425 --> 00:25:04.468]  And, you know, the more prepared I get for a broadcast, the harder it is to do.
[00:25:04.468 --> 00:25:13.172]  Because I could talk for hours and hours and hours about one of these stories.
[00:25:13.172 --> 00:25:14.052]  And I just can't do it anymore.
[00:25:18.117 --> 00:25:43.981]  People think that I should be really happy right now because I've been vindicated, and I'm not happy about that because I'm sitting here watching scientific evil take over society, take over civilization, and I know it's all 100% certified and the enemies that are running it say they want to kill me and my family.
[00:25:46.041 --> 00:25:55.830]  And even the most hardcore people that are awake, myself included, still don't take this as seriously as we should.
[00:25:55.830 --> 00:26:00.074]  It is outrageous to get into Barton Springs City Park.
[00:26:00.074 --> 00:26:04.338]  It's a damned up spring they got downtown that I've been swimming in since I was born.
[00:26:05.799 --> 00:26:20.611]  That you've got to give them contact tracing info and your phone number and your driver's license so you can be contact traced when they test somebody else and then they come up as infected.
[00:26:20.611 --> 00:26:29.158]  They can then count 15 random people around you under NIH-UN guidelines and then you get counted as having COVID.
[00:26:29.158 --> 00:26:34.783]  And again, it's all based on fraud because the system is a fraud and it wants you to accept total fraud.
[00:26:36.178 --> 00:26:38.179]  And so what do we do?
[00:26:38.179 --> 00:26:40.541]  I call for the lifeguards to all be fired.
[00:26:40.541 --> 00:26:44.203]  I call for Barton Springs to have its fences torn down.
[00:26:44.203 --> 00:26:47.225]  I call for the bureaucracy to be shut down.
[00:26:47.225 --> 00:26:49.126]  I call for the mayor to be gotten rid of.
[00:26:49.126 --> 00:26:50.247]  You know who isn't essential?
[00:26:50.247 --> 00:26:51.768]  That mayor.
[00:26:51.768 --> 00:26:57.551]  Anytime leftist globalists get control of your city, they ruin everything.
[00:26:57.551 --> 00:26:58.712]  They call in the homeless.
[00:26:58.712 --> 00:27:00.173]  They sell the fentanyl.
[00:27:00.173 --> 00:27:02.875]  There's feces everywhere.
[00:27:02.875 --> 00:27:04.816]  And then there's all these little city employees
[00:27:06.445 --> 00:27:11.607]  That line up and go along with the bureaucracy, including the police more and more around the country and the world.
[00:27:11.607 --> 00:27:15.629]  They enforce the fake mask ordinances and they enforce all the crap.
[00:27:15.629 --> 00:27:17.970]  They're not getting rid of the police.
[00:27:17.970 --> 00:27:22.832]  They're getting rid of the police doing regular police work now.
[00:27:22.832 --> 00:27:34.718]  Because now they're going to swing into being social workers that control and run our lives.
[00:27:34.718 --> 00:27:35.198]  And that's all.
[00:27:36.570 --> 00:27:42.174]  It's about controlling you, and when they say jump, you ask how high.
[00:27:42.174 --> 00:27:45.737]  And so again, everything is about non-compliance now.
[00:27:45.737 --> 00:27:47.158]  I'm serious.
[00:27:47.158 --> 00:27:49.600]  They've broken the social contract.
[00:27:49.600 --> 00:27:51.942]  All blue cities and blue states are not American.
[00:27:51.942 --> 00:27:52.842]  They're globalists.
[00:27:52.842 --> 00:27:53.943]  They're enemies of the country.
[00:27:53.943 --> 00:27:54.804]  They don't believe it should exist.
[00:27:54.804 --> 00:28:00.248]  And they're nothing but criminals trying to bring it down, and they see us as collateral damage, as Nancy Pelosi said.
[00:28:00.248 --> 00:28:01.889]  And that's it.
[00:28:01.889 --> 00:28:04.631]  I'm gonna try to get refocused and come back.
[00:28:04.631 --> 00:28:05.012]  Stay with us.
[00:28:07.119 --> 00:28:17.085]  Alex Jones here and I'm very excited to introduce to you a new line of high quality products developed by my father, a retired dentist, Dr. David R. Jones.
[00:28:17.085 --> 00:28:22.269]  Dr. Jones Naturals, naturally fluoride free activated charcoal toothpaste.
[00:28:23.169 --> 00:28:27.492]  Which cleans your teeth, freshens your breath, and is enamel safe.
[00:28:27.492 --> 00:28:28.973]  This is a concentrated toothpaste.
[00:28:28.973 --> 00:28:30.414]  It doesn't have all the fillers.
