[00:00:05.660 --> 00:00:06.160]  Hark!
[00:08:52.044 --> 00:08:53.785]  The president's going to be attending the rallies.
[00:08:54.266 --> 00:08:55.427]  He's announced he's going to be there.
[00:08:55.447 --> 00:08:56.908]  This is going to be mega massive.
[00:08:58.885 --> 00:09:08.708]  Continuing, Trump scorches dumbest ex-advisor Bolton over CNN interview about appalling idea to return election and rerun the election under martial law.
[00:09:10.469 --> 00:09:20.052]  And I've said this over and over again, you don't call it martial law, you call it a national emergency, and then it gets into the Constitution and different ways to do it.
[00:09:22.432 --> 00:09:23.773]  We're already under SHICOM control.
[00:09:23.793 --> 00:09:25.854]  We're already going under global receivership.
[00:09:25.874 --> 00:09:27.174]  We're being bankrupted by design.
[00:09:27.455 --> 00:09:40.061]  The blue cities and blue states are already under their own COVID cover martial law with the mask and the lockdowns and all that the Democrats and Communists and Socialists are bringing back in every country they control except for China.
[00:09:40.541 --> 00:09:43.043]  Because the globalists have all moved their factories to China.
[00:09:43.683 --> 00:09:50.207]  From Germany, from the UK, from France, from Canada, from Australia, from New Zealand, from the US.
[00:09:50.627 --> 00:09:54.009]  Hell, factories have left Mexico and gone to China.
[00:09:54.549 --> 00:09:56.751]  And so the globalists have made their investment there.
[00:09:57.151 --> 00:09:58.251]  We're all turned off.
[00:09:58.371 --> 00:10:00.653]  China's been open for six months plus completely.
[00:10:01.153 --> 00:10:03.554]  And they are getting all the business and all the jobs.
[00:10:03.895 --> 00:10:09.538]  Even Bloomberg reported on Friday, the biggest jump in China investment ever.
[00:10:11.820 --> 00:10:21.127]  Because we're under lockdown and China has had their top world leaders, their top political analysts, on national TV.
[00:10:21.167 --> 00:10:25.691]  We've played the clips, Tucker Carlson has, saying, America will never reopen.
[00:10:25.731 --> 00:10:27.352]  We control their top government people.
[00:10:27.793 --> 00:10:29.114]  COVID will kill them.
[00:10:30.135 --> 00:10:31.256]  It will kill their economy.
[00:10:31.356 --> 00:10:32.056]  They are over.
[00:10:33.037 --> 00:10:34.438]  America will no longer exist.
[00:10:35.399 --> 00:10:38.741]  Meaning the virus won't kill you, but the lockdown will.
[00:10:38.762 --> 00:10:40.343]  We've already played those clips five or six times.
[00:10:41.305 --> 00:10:42.666]  But think about that.
[00:10:42.846 --> 00:10:45.248]  And the average leftist wears a mask, doesn't go out.
[00:10:45.889 --> 00:10:47.029]  Wants their stimulus check.
[00:10:47.970 --> 00:10:49.752]  They've got a third round of stimulus checks.
[00:10:51.053 --> 00:10:52.954]  900 billion dollars they're trying to send out.
[00:10:54.275 --> 00:10:58.218]  While your real industry, your real jobs, is being destroyed.
[00:11:00.440 --> 00:11:02.261]  And Trump is striking back.
[00:11:02.561 --> 00:11:06.444]  Scoop, Axios, Pentagon, Holtz, Biden transition briefings.
[00:11:07.529 --> 00:11:11.250]  As he's under criminal investigation as being a communist Chinese spy along with his son.
[00:11:14.111 --> 00:11:17.012]  We told you this on Friday before it was even in the news about martial law.
[00:11:17.452 --> 00:11:18.272]  A storm is coming.
[00:11:18.312 --> 00:11:21.513]  Trump considers direct action against foreign interference in election.
[00:11:22.393 --> 00:11:24.014]  But the question is, is it martial law?
[00:11:24.134 --> 00:11:25.294]  Is it a national emergency?
[00:11:25.754 --> 00:11:27.114]  How is it implemented?
[00:11:28.355 --> 00:11:31.916]  President Trump signs bill to bar Chinese companies from U.S.
[00:11:31.936 --> 00:11:32.716]  stock exchange.
[00:11:32.756 --> 00:11:35.117]  I mean, it is on, on, on.
[00:11:38.860 --> 00:11:41.462]  So, this is a larger debate and a larger discussion.
[00:11:41.482 --> 00:11:45.664]  We'll talk about it with it with constitutional lawyer Robert Barnes next hour.
[00:11:47.746 --> 00:12:02.615]  But the larger question is, when you're already under multinational corporate banking martial law, when you're already being bankrupted, when you're already being told you got to have a world ID to travel outside your country because Xi Jinping says so and the UN's in charge and Bill Gates is your doctor and
[00:12:03.612 --> 00:12:04.713]  You're told you're not essential.
[00:12:05.073 --> 00:12:09.738]  And the federal government's basically halfway sold out, surrounded by traitors.
[00:12:10.179 --> 00:12:11.580]  The states don't know what's going on.
[00:12:12.161 --> 00:12:21.450]  Then if the president was to arrest a bunch of Chinese agents, like Swallow's Well, and the rest of them, would that be martial law because the Justice Department won't do its job?
[00:12:21.830 --> 00:12:24.193]  No, that would be the country surviving
[00:12:25.532 --> 00:12:31.117]  And standing up to an outside foreign threat, an existential threat, because we're already losing the country.
[00:12:31.497 --> 00:12:32.658]  The country's already going away.
[00:12:32.698 --> 00:12:34.359]  We're already under a form of martial law.
[00:12:36.661 --> 00:12:40.484]  And so I don't understand the debate and the discussion about what we're going to do.
[00:12:41.565 --> 00:12:52.294]  We'll either submit, they'll put Biden in, he'll keep the economy shut, we'll go totally bankrupt, we'll be completely domesticated, they'll continue racial and cultural division, and basically this country will be broken up.
[00:12:54.042 --> 00:12:55.483]  Underworld government.
[00:12:55.503 --> 00:13:14.662]  Or, we as a culture stop working with big corporations, we as a culture call out the shycoms, we as a people say no to the system, and come together and resist it peacefully through civil disobedience, and then hopefully other politicians and followers ride that wave to victory, but I don't expect to see leadership out of them.
[00:13:15.303 --> 00:13:17.365]  We've seen some leadership from Trump, but that's about it.
[00:13:18.550 --> 00:13:22.276]  Real leadership comes from the grassroots, and that's what we're doing here.
[00:13:22.696 --> 00:13:31.169]  You heard about world government, the CHICOMS, the New World Order, global lockdowns, lockstep, Disease X, controlled viral releases, here.
[00:13:32.261 --> 00:13:37.424]  You didn't hear about it on other shows because they're not actually reading the Rockefeller Foundation white papers.
[00:13:37.784 --> 00:13:40.605]  They're not actually researching how the real world works.
[00:13:40.666 --> 00:13:46.989]  They tune in, you know, to Hollywood shows and to HBO and think that all of that is what goes on in the world.
[00:13:47.489 --> 00:13:48.810]  What's the latest sporting event?
[00:13:50.327 --> 00:13:50.687]  You really?
[00:14:20.110 --> 00:14:22.411]  You're as cuddly as a cactus.
[00:14:22.491 --> 00:14:26.874]  You're as charming as an eel, Mr. Grinch.
[00:14:27.614 --> 00:14:40.401]  You're a bad banana with a greasy black peel.
[00:14:41.482 --> 00:14:42.423]  You're a monster.
[00:14:43.570 --> 00:14:49.613]  Mr. Grinch, your heart's an empty hole.
[00:14:50.354 --> 00:14:54.876]  Your brain is full of spiders, you've got garlic in your soul.
[00:14:54.996 --> 00:15:03.501]  Mr. Grinch, I wouldn't touch you with a 39 and a half foot pole.
[00:15:05.042 --> 00:15:06.163]  You're a vile one.
[00:15:06.403 --> 00:15:08.124]  Trump has been against the lockdowns.
[00:15:09.744 --> 00:15:17.167]  Trump got roped into supporting the vaccine, he believes it would end the fear and reopen the economy, which he knows is already starving millions of people to death in the third world.
[00:15:17.187 --> 00:15:19.487]  When we shut down, the third world dies.
[00:15:20.028 --> 00:15:22.749]  We go bankrupt, they starve to death.
[00:15:23.689 --> 00:15:37.714]  So I know why Trump did what he did, but I still think he got snookered big time on this, and now more and more he's saying that, but with 31 days out from the inauguration of himself or that communist Chinese frontman, Joe Biden.
[00:15:38.851 --> 00:15:46.016]  We need Trump to level with the American people about the Chinese virus, about the fear, about Bill Gates, about the New World Order.
[00:15:46.977 --> 00:15:52.440]  Now, you remember a month ago, a week ago, three days ago, I said, Trump is considering martial law.
[00:15:55.382 --> 00:15:57.724]  And I said, that doesn't mean martial law is a good thing.
[00:15:57.844 --> 00:15:58.845]  It's a lot of different things.
[00:15:59.746 --> 00:16:07.291]  But I said, if you're already occupied, if you're already overrun, that's when martial law is used, if it is what you call the good martial law.
[00:16:08.382 --> 00:16:10.464]  And it tends to never go away once you're under it.
[00:16:10.924 --> 00:16:15.807]  The problem is we're already under the medical tyranny of the globalists.
[00:16:17.108 --> 00:16:33.961]  And so after Trump met with General Flynn and others yesterday, and the story got leaked out about martial law as a trial balloon, he posed with photos of Andrew Jackson, President Jackson, President Lincoln, and Prime Minister Winston Churchill.
[00:16:35.009 --> 00:16:36.470]  Now, what does that tell you?
[00:16:36.530 --> 00:16:38.171]  It's pretty clear.
[00:16:39.631 --> 00:16:44.634]  But Trump has been telegraphing this for a long time.
[00:16:45.174 --> 00:16:46.474]  He counted on the Supreme Court.
[00:16:46.515 --> 00:16:47.655]  He counted on the systems.
[00:16:49.016 --> 00:16:50.136]  Now he has all the evidence.
[00:16:52.938 --> 00:17:00.441]  And a communist Chinese agent is about to be put in as the president who's totally compromised, and President Trump cannot allow that to happen.
[00:17:00.741 --> 00:17:01.902]  That's why they kept telling you
[00:17:03.288 --> 00:17:07.450]  That President Trump was a Russian agent because he wasn't a Russian agent.
[00:17:07.691 --> 00:17:09.011]  He doesn't even hire lobbyists.
[00:17:09.412 --> 00:17:10.472]  No one tells him what to do.
[00:17:11.713 --> 00:17:18.877]  With all these other modern presidents, they have committees that sit together and get bought off and then tell the president they control what to do.
[00:17:20.838 --> 00:17:21.999]  And so that's why they're so angry.
[00:17:22.079 --> 00:17:30.604]  And now we're at this point where we're discussing what the president should do and he's actually trial ballooning
[00:17:32.862 --> 00:17:42.524]  Using the military to go after Communist Chinese Agency in the United States and hold a new emergency election in these five states.
[00:17:43.804 --> 00:17:45.244]  They're the ones that stole the election.
[00:17:45.344 --> 00:17:46.604]  They're the ones that started this fight.
[00:17:46.965 --> 00:17:49.125]  They're the ones that did all of this.
[00:17:51.005 --> 00:18:00.507]  And so President Trump puts out the idea of martial law through his surrogates, then comes out and says, I'm not proposing it to CNN.
[00:18:03.100 --> 00:18:09.265]  But the truth is he understands the public doesn't understand where we're at and how we're being captured by a foreign power.
[00:18:10.265 --> 00:18:20.033]  If a foreign power is taking you over, if we were invaded by a foreign nation, what would the federal government do?
[00:18:20.053 --> 00:18:24.416]  It would declare a martial law in those areas and we would go to war with that foreign army.
[00:18:28.001 --> 00:18:41.886]  And so now we sit here playing games with this foreign takeover and say, oh, we're against martial law, we're against the police state, when it's the police state of the globalist, and the police state of the UN, and the police state of the CHICOMS that we're going under.
[00:18:43.987 --> 00:18:49.089]  The question is, do you trust President Trump to take action against that system?
[00:18:51.770 --> 00:18:53.670]  I don't think it's going to end up happening.
[00:18:53.710 --> 00:18:55.211]  I don't think he has the men willing to do it.
[00:18:55.953 --> 00:18:57.895]  So I don't think that's a problem you're going to have to worry about.
[00:18:57.935 --> 00:18:58.576]  Maybe I'm wrong.
[00:18:59.276 --> 00:19:15.852]  But why don't all you goody two-shoes, so upset that I even talk about America declaring an emergency to stop this foreign takeover, think about the fact that we're under a foreign takeover, and you will be under them January 20th, and they're never going to take that boot off your neck without a fight.
[00:19:19.568 --> 00:19:21.510]  Better the devil you know, the devil you don't know.
[00:19:21.610 --> 00:19:23.231]  And this isn't some lesser of two evils.
[00:19:23.852 --> 00:19:25.173]  Trump cares about America.
[00:19:25.213 --> 00:19:26.494]  He wants our own sovereignty.
[00:19:26.734 --> 00:19:27.555]  He's fought hard.
[00:19:27.755 --> 00:19:30.137]  When he gets the information, he makes the right decision.
[00:19:32.278 --> 00:19:33.139]  And they hate Trump.
[00:19:33.900 --> 00:19:35.041]  And they want to remove Trump.
[00:19:36.082 --> 00:19:37.923]  And they're training Chinese troops in Canada.
[00:19:38.263 --> 00:19:40.265]  But they won't have to have them invade.
[00:19:40.325 --> 00:19:41.766]  They'll be invited in.
[00:19:42.267 --> 00:19:46.690]  You know, we've recognized under Trump, the conservative that clearly won the election in Venezuela.
[00:19:49.875 --> 00:19:55.158]  Was blown away today whenever Joe Biden said, we don't recognize the conservative, we love the communist.
[00:19:57.980 --> 00:19:59.400]  So that's where this is going.
[00:20:00.101 --> 00:20:01.282]  And it's only going to get worse.
[00:20:02.302 --> 00:20:04.403]  And so that's the reality of where we are.
[00:20:04.483 --> 00:20:06.565]  We're under medical tyranny, martial law.
[00:20:08.706 --> 00:20:11.427]  They're bringing in the tracking apps, they're bringing in the control systems.
[00:20:11.808 --> 00:20:13.889]  Xi Jinping runs the planetary system.
[00:20:15.407 --> 00:20:17.949]  And we are inside of this right now.
[00:20:18.289 --> 00:20:19.230]  And so that's a discussion.
[00:20:19.250 --> 00:20:25.975]  When I host the new show tomorrow morning, when I'm going to take at least 50 calls over three hours, 8 a.m.
[00:20:25.995 --> 00:20:31.340]  to 11 a.m., American Journal, just like Washington Journal on C-SPAN, but
[00:20:32.242 --> 00:20:33.003]  National Journal.
[00:20:33.403 --> 00:20:37.265]  I take your phone calls from all the world, quite frankly, but it's mainly about the United States.
[00:20:37.285 --> 00:20:41.268]  And we'll be discussing all of this and what you think President Trump should do at 8 a.m.
[00:20:41.308 --> 00:20:46.231]  tomorrow, ahead of Owen Schroer, who's going to be hosting my show, the Alex Jones Show.
[00:20:46.631 --> 00:20:53.236]  And then I am going to take off a few days to get some rest and try to really focus on the decisions we've got to make.
[00:20:53.296 --> 00:20:59.360]  Because, as one of the crew members said before we went live today, we are in uncharted territory.
[00:21:00.100 --> 00:21:12.906]  And as dialed in as I am and as focused as I am, I need a little bit of time to turn my engine off and really get close to God and decide what I think is the best thing to do.
[00:21:12.926 --> 00:21:14.586]  And then I'll come on air and I'll tell you.
[00:21:15.467 --> 00:21:17.748]  But at this point, I don't think anybody knows what to do.
[00:21:18.228 --> 00:21:19.969]  We are all in above our heads.
[00:21:21.288 --> 00:21:24.029]  We're over our eyeballs and we're in uncharted territory.
[00:21:24.249 --> 00:21:25.469]  Uncharted territory.
[00:21:25.869 --> 00:21:32.791]  A foreign multinational global corporate government takeover of a bunch of corporate heads and people that have always been unaccountable.
[00:21:33.391 --> 00:21:35.592]  Unlike soldiers, they never face retribution.
[00:21:35.872 --> 00:21:37.172]  They never face actual threat.
[00:21:37.513 --> 00:21:43.514]  They just carry out their cold-blooded control and their manipulation of society with absolute impunity.
[00:21:44.575 --> 00:21:45.775]  So if I know one thing, it's this.
[00:21:46.715 --> 00:22:00.146]  The discussion about the Rockefellers and the Rothschilds and the Gateses and the Prince Charleses of the world that admit they're doing this lockdown to make us poor and admit they hate us and admit they want to depopulate us.
[00:22:00.687 --> 00:22:04.290]  As soon as we start realizing they're the ones behind everything happening.
[00:22:05.256 --> 00:22:18.265]  And as soon as we start speaking out against them, and as soon as we start saying we're not going to submit to them, and as soon as they get the blame for what they've done, and the millions that have already starved to death during this lockdown, is the sooner we're going to get relief.
[00:22:18.725 --> 00:22:31.655]  But they don't have skin in the game, and they don't even get political pressure for what they've done, and so they think they're invincible because they hide their modern warfare behind vaccines and 5G and GMO.
[00:22:32.540 --> 00:22:33.801]  But the world's waking up.
[00:22:34.342 --> 00:22:36.743]  Now wait till I get to this, not next segment, but the segment after.
[00:22:37.004 --> 00:22:37.704]  But let me hit.
[00:22:38.285 --> 00:22:48.413]  Major federal agency announces forced inoculations coming, and the first thing Trump needs to do tomorrow is sign an executive order on vaccine freedom saying no forced inoculations.
[00:22:48.653 --> 00:22:51.636]  He's said it in a lot of speeches, but I want to see it out of his mouth!
[00:22:55.495 --> 00:22:56.215]  Hey, check this out.
[00:22:56.256 --> 00:23:05.962]  There is a new app coming to a cell phone near you that will display and verify your coronavirus vaccine status.
[00:23:06.362 --> 00:23:10.865]  A green check mark on your profile ID means you're good to go.
[00:23:11.285 --> 00:23:16.068]  And this is being promoted as the end of the coronavirus lockdowns.
[00:23:16.508 --> 00:23:19.750]  Because they're saying this is going to allow everybody to get back to normal again.
[00:23:20.271 --> 00:23:24.433]  You can go back to restaurants and your bars and movie theaters.
[00:23:24.474 --> 00:23:27.976]  They're all going to open back up again to full capacity.
[00:23:28.496 --> 00:23:41.005]  And all they got to do is make sure that everyone inside or everyone that enters has proof that they got the vaccine and that it can be verified at the door with the app.
[00:23:42.025 --> 00:23:48.531]  And I think a lot of people who might be afraid to take the vaccine right now, they're going to go ahead and do it anyway.
[00:23:49.092 --> 00:23:51.674]  Because this way they're allowed to go places again.
[00:23:51.934 --> 00:23:55.878]  And we can all get back to normal and live our lives again.
[00:23:56.118 --> 00:23:57.700]  Business as usual, right?
[00:24:00.555 --> 00:24:02.596]  That's how they're promoting this anyway.
[00:24:02.656 --> 00:24:06.017]  And you understand, you're probably not going to be able to get a job without it.
[00:24:06.757 --> 00:24:13.119]  Or you're not going to be able to continue to work where you are right now unless you have proof that you've taken the vaccine.
[00:24:13.560 --> 00:24:15.040]  Now here's what they want you to do.
[00:24:15.240 --> 00:24:19.822]  First and foremost, they want you to get out there and go get the vaccine.
[00:24:20.502 --> 00:24:23.123]  It's your duty to save mankind!
[00:24:24.198 --> 00:24:27.341]  Next, they want you to download one of these apps.
[00:24:27.661 --> 00:24:29.442]  There's already a lot of them to choose from.
[00:24:29.502 --> 00:24:37.329]  You can get the MyGP app, they got the Common Pass, or here's one, the AOK Pass.
[00:24:37.729 --> 00:24:40.271]  Secure, private, and portable.
[00:24:40.731 --> 00:24:47.177]  And then, you allow these apps to download your medical records, and boom, just like that, you're good to go.
[00:24:48.117 --> 00:24:55.864]  You get a nice green checkmark on your ID, and businesses will now allow you to enter.
[00:24:56.785 --> 00:25:02.310]  Or, they will stop you at the door, deny you entrance if you don't have
[00:25:04.968 --> 00:25:11.090]  Labor and employment lawyer Helen Rella says your boss could force you to get a COVID-19 vaccine.
[00:25:11.110 --> 00:25:18.633]  There's going to be applied pressure on people who... Okay, so that's a report from last Wednesday by Darren McBrain.
[00:25:18.673 --> 00:25:19.573]  It's a banned-out video.
[00:25:19.593 --> 00:25:20.713]  I want to show you just part of it.
[00:25:20.733 --> 00:25:22.114]  That's just a small part of the report.
[00:25:22.614 --> 00:25:25.235]  The COVIDVAC verification app.
[00:25:25.295 --> 00:25:26.255]  Don't leave home without it.
[00:25:27.059 --> 00:25:30.081]  Well, ZZ Pink said 10 months ago, this will be the model of the world.
[00:25:30.381 --> 00:25:32.003]  You'll have apps on your phone and leave your house.
[00:25:32.083 --> 00:25:34.264]  It's the global social credit score.
[00:25:34.284 --> 00:25:36.026]  Again, I'm Alex Jones.
[00:25:36.046 --> 00:25:39.688]  Thank you so much for joining us on your local stations out there.
[00:25:40.329 --> 00:25:44.612]  We are broadcasting worldwide live on this Sunday transmission.
[00:25:46.544 --> 00:25:53.108]  But notice, just a few weeks ago, or just last week, we're telling you it's going to be mandatory through the employers.
[00:25:53.508 --> 00:25:54.629]  Oh, well that's not mandatory.
[00:25:55.109 --> 00:26:00.892]  But all the big banks, all the big corporations are already linking up saying it will be to get on a plane, to have a job.
