[00:00:25.951 --> 00:00:28.812]  Sunday, March 8th, 2020.
[00:04:29.119 --> 00:04:30.400]  None of it's going to be boring.
[00:04:30.400 --> 00:04:33.203]  It's going to be a wild year with only 239 days left.
[00:04:36.917 --> 00:04:42.880]  Until the historic election that has so much riding on it.
[00:04:42.880 --> 00:04:44.421]  And make no mistake, it's now clear.
[00:04:44.421 --> 00:04:49.084]  Whatever's really behind this virus, or however deadly it really is, it is synthetic.
[00:04:49.084 --> 00:04:51.325]  And it is designed to take down America.
[00:04:51.325 --> 00:04:55.067]  And it's the Qaikom response to them losing the trade war with the U.S.
[00:04:55.067 --> 00:04:56.688]  We'll be back in fullwars.com.
[00:05:01.508 --> 00:05:05.489]  It's really smart to get high quality, storable food at InfoWareStore.com.
[00:05:05.489 --> 00:05:09.230]  It's also smart to drink filtered water with an Alexa Pure system.
[00:05:09.230 --> 00:05:12.331]  It's one of the highest rated out there and extremely affordable.
[00:05:12.331 --> 00:05:17.192]  And it's just as important to have your immune system boosted during times like this.
[00:05:17.192 --> 00:05:25.275]  And DNA Force Plus with PQQ, CoQ10, and so many other amazing ingredients is the base foundation for your entire body.
[00:05:25.275 --> 00:05:29.916]  Your mitochondrial output inside your cells, your telomeres, and so much more.
[00:05:30.496 --> 00:05:37.598]  DNA Force is now, after four months of being sold out, back in the stock, 40% off.
[00:05:37.598 --> 00:05:39.659]  This is our flagship product.
[00:05:39.659 --> 00:05:42.820]  I'm so proud of it, and I had run out of it as well.
[00:05:42.820 --> 00:05:46.241]  So when I got it last week, when it came back in, I was so excited.
[00:05:46.241 --> 00:05:48.902]  It's now available at InfoWarstore.com.
[00:05:48.902 --> 00:05:54.664]  You're getting a wonderful formula, and it funds the information war with the important fight that we're carrying out
[00:05:54.964 --> 00:05:57.107]  We're not just the American people, but the people of the world.
[00:05:57.107 --> 00:05:59.970]  So please get your DNA Force Plus today at InfoWarsTore.com.
[00:06:11.653 --> 00:06:12.774]  Big Brother.
[00:06:12.774 --> 00:06:14.577]  Mainstream media.
[00:06:14.577 --> 00:06:16.459]  Government cover-ups.
[00:06:16.459 --> 00:06:18.161]  You want to stop tyranny?
[00:06:18.161 --> 00:06:19.822]  Well, so does he.
[00:06:19.822 --> 00:06:24.548]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:36.670 --> 00:06:45.937]  Welcome ladies and gentlemen, welcome to this live Sunday, March 8th, 2020 worldwide transmission with 239 days out from the election.
[00:06:48.530 --> 00:06:55.056]  There is no longer any doubt coronavirus is going to be a massive seismic event.
[00:06:55.056 --> 00:06:55.756]  It already is.
[00:06:55.756 --> 00:06:58.819]  It's going to be extremely destructive.
[00:06:58.819 --> 00:07:02.942]  And everybody better get buttoned down, as they say.
[00:07:02.942 --> 00:07:05.364]  Italy restricts quarter of their population.
[00:07:05.364 --> 00:07:06.285]  Travel chaos.
[00:07:06.285 --> 00:07:08.247]  CPAC virus nightmare.
[00:07:08.247 --> 00:07:10.509]  CDC has only tested 1,583 people.
[00:07:14.284 --> 00:07:19.886]  RevReport.com has some of the best wide-range reporting on what's going on.
[00:07:19.886 --> 00:07:21.806]  So does InfoWars.com and NewsWars.com.
[00:07:21.806 --> 00:07:28.508]  We're going to be covering all of that in detail and what I think is really going on and what's coming next in the next segment.
[00:07:28.508 --> 00:07:30.469]  Here's just some of the headlines on that front.
[00:07:30.469 --> 00:07:34.110]  This is the one headline you really have as a takeaway.
[00:07:34.110 --> 00:07:38.611]  Americans divided on party lines over risk from coronavirus.
[00:07:38.611 --> 00:07:40.732]  Reuters poll.
[00:07:40.732 --> 00:07:43.893]  So it's been made political from the beginning and I got to say it.
[00:07:45.276 --> 00:07:52.399]  Man, we called it like we had a crystal ball.
[00:07:52.399 --> 00:07:57.262]  So regardless of what's really going on with it, it's been made political.
[00:07:57.262 --> 00:08:02.744]  It was political from the beginning and it's pointed at America.
[00:08:02.744 --> 00:08:07.306]  And knowing that will be half the battle.
[00:08:07.306 --> 00:08:08.267]  So that is coming up.
[00:08:09.989 --> 00:08:11.290]  Next segment, the videos.
[00:08:11.290 --> 00:08:13.231]  It's like scenes from Mad Max movies.
[00:08:13.231 --> 00:08:16.773]  People clear shelves around the country.
[00:08:16.773 --> 00:08:18.174]  What'd I tell you?
[00:08:18.174 --> 00:08:23.937]  Six weeks ago, I said, you better buy storable food because it's five times less expensive than store-bought food.
[00:08:23.937 --> 00:08:25.017]  It's high quality.
[00:08:25.017 --> 00:08:26.738]  We have it in stock.
[00:08:26.738 --> 00:08:28.619]  And it's only going to go up in value.
[00:08:28.619 --> 00:08:31.881]  And a lot of folks ordered, so they've already gotten their food.
[00:08:31.881 --> 00:08:35.003]  All the other major storable food companies back then were sold out.
[00:08:35.003 --> 00:08:37.284]  We did some test orders with major names.
[00:08:37.284 --> 00:08:38.485]  Six weeks later, none of it came in.
[00:08:39.818 --> 00:08:48.288]  As our delivery time got longer, not because we don't have food, but because we have to package it and get it out at the big factories, I told you it was going to take six to eight weeks for delivery.
[00:08:48.288 --> 00:08:53.094]  It's really four to five weeks, but we say six to eight to under promise over deliver.
[00:08:55.845 --> 00:09:03.529]  The reason you have storable food is because of the economy and wars or asteroids or earthquakes or tornadoes.
[00:09:03.529 --> 00:09:06.211]  It's just something good you have that last 25 years.
[00:09:06.211 --> 00:09:10.734]  It's sealed up in big plastic tote containers inside, sealed bags inside.
[00:09:10.734 --> 00:09:12.995]  And just because of inflation, it's a good move to make.
[00:09:12.995 --> 00:09:16.437]  And I have the biggest, most successful storable food company in the world.
[00:09:17.358 --> 00:09:30.647]  It used to be like number two or number three and they explained to me, no, we're now number one and that's in the news they are because they have quality and they get it out to you and we're partnered with them and so that's when you order at InfoWars4.com off the full catalog, get the best deal on My Patriot Supply food.
[00:09:30.647 --> 00:09:42.155]  But like I told you, you're going to see what happened in China duplicated and spread across the world because it's a globalist political attack on the nation state.
[00:09:43.561 --> 00:09:48.824]  This is a globalist temper tantrum because of patriots getting elected from Brazil to the U.S.
[00:09:48.824 --> 00:09:50.044]  to the U.K.
[00:09:50.044 --> 00:09:51.705]  and the globalists being thrown out everywhere.
[00:09:51.705 --> 00:09:56.928]  This is their answer for a planetary corporate societal reset.
[00:09:56.928 --> 00:09:59.690]  Again, that's coming up next segment.
[00:09:59.690 --> 00:10:01.250]  But let me get to this right now.
[00:10:01.250 --> 00:10:07.774]  You know, I've talked a lot about the emblematic nature, the illustrative nature of Joe Biden and Bernie Sanders.
[00:10:09.011 --> 00:10:23.940]  Two aged 78-year-old men, I guess Bernie's even older, and 78, 79, and one of them has obvious dementia and cannot string a sentence together.
[00:10:23.940 --> 00:10:26.162]  The other is a con man and a flagrant liar.
[00:10:28.798 --> 00:10:33.240]  And he just is saying the most insane things by the minute.
[00:10:33.240 --> 00:10:35.021]  There's like six or seven of them today.
[00:10:35.021 --> 00:10:36.681]  I can't even get to them all.
[00:10:36.681 --> 00:10:38.402]  He says there's no way they're going to win the election.
[00:10:38.402 --> 00:10:40.463]  I'll get to that in a moment.
[00:10:40.463 --> 00:10:42.544]  He doesn't know Obama's name.
[00:10:42.544 --> 00:10:43.904]  He doesn't call God, God.
[00:10:43.904 --> 00:10:46.646]  He says that thing.
[00:10:46.646 --> 00:10:48.486]  He thinks his wife's his daughter.
[00:10:48.486 --> 00:10:52.208]  Well, I guess he does French kiss his children, so.
[00:10:53.919 --> 00:11:01.362]  But the fact that the establishment will be trying to run this guy and doesn't care what we think and is so disconnected, again, it's emblematic.
[00:11:01.362 --> 00:11:03.963]  Just like Bloomberg thought he spent $500 million.
[00:11:03.963 --> 00:11:04.724]  People love him.
[00:11:04.724 --> 00:11:05.884]  Everybody hates Michael Bloomberg.
[00:11:05.884 --> 00:11:08.986]  The guy's a joke.
[00:11:08.986 --> 00:11:11.907]  So, let's just play a few of these clips.
[00:11:13.407 --> 00:11:19.891]  Because again, this is a media and a corporate system and the Chi-Coms and Democrat constituents.
[00:11:19.891 --> 00:11:26.955]  This is who the Democrats and the Congressional Black Caucus and Kamala Harris are endorsing.
[00:11:26.955 --> 00:11:28.616]  As if their endorsement means anything.
[00:11:28.616 --> 00:11:32.178]  When you give Nobel Peace Prizes to warmongers, it becomes a joke.
[00:11:32.178 --> 00:11:34.800]  When you endorse a gibbering idiot, it makes you a joke.
[00:11:35.902 --> 00:11:36.662]  Biden.
[00:11:36.662 --> 00:11:38.963]  We can only re-elect Donald Trump.
[00:11:38.963 --> 00:11:42.225]  He goes on to say, there's no way we can get elected.
[00:11:42.225 --> 00:11:44.846]  This is announcing there's no way they can win.
[00:11:44.846 --> 00:11:46.667]  Here it is.
[00:11:46.667 --> 00:11:51.810]  Turn this primary from a campaign that's about negative attacks into one about what we're for.
[00:11:51.810 --> 00:11:54.271]  Because we cannot get re-elect.
[00:11:54.271 --> 00:11:56.752]  We cannot win this re-election.
[00:11:56.752 --> 00:12:00.894]  Excuse me, we can only re-elect Donald Trump.
[00:12:00.894 --> 00:12:01.955]  I mean, it's sad.
[00:12:01.955 --> 00:12:02.495]  I remember
[00:12:03.564 --> 00:12:18.515]  My grandma when she was like 92, once a week going and having dinner with her, sitting around the little table at her nursing home and watching her get to where she was half as addled as him.
[00:12:18.515 --> 00:12:21.236]  I mean, this is bad, folks.
[00:12:21.236 --> 00:12:24.079]  But again, it's that the Democrats have endorsed it.
[00:12:24.079 --> 00:12:24.939]  They're supporting it.
[00:12:24.939 --> 00:12:27.421]  They believe this is going to be successful for them.
[00:12:27.421 --> 00:12:29.262]  It's beyond amazing.
[00:12:29.262 --> 00:12:30.783]  Here's another one.
[00:12:30.783 --> 00:12:32.885]  He also forgot Barack Obama's name.
[00:12:34.244 --> 00:12:38.508]  And then there's another clip, again, where he... Well, we'll get to all of them.
[00:12:38.508 --> 00:12:41.570]  Here he is, not remembering Barack Obama's name.
[00:12:41.570 --> 00:12:48.917]  Because they invaded another country and annexed a significant portion of what's called Crimea.
[00:12:48.917 --> 00:12:53.160]  He's saying that it was President... My boss.
[00:12:53.160 --> 00:12:54.902]  It was his fault.
[00:12:56.857 --> 00:12:59.659]  And again, it's not out of context, it's constant.
[00:12:59.659 --> 00:13:03.801]  Here it is, Biden calls himself an O-Biden-Bama Democrat.
[00:13:03.801 --> 00:13:04.221]  Here it is.
[00:13:04.221 --> 00:13:14.347]  To all of Amy's folks, to all of Pete's folks, to all of Kamala's folks, to all the folks who have Beto's folks, I tell you what, what a gigantic difference it's made.
[00:13:14.347 --> 00:13:16.989]  We're going to unite this party and unite this country.
[00:13:22.008 --> 00:13:34.194]  If you want a nominated Democrat, a lifelong Democrat, a proud Democrat, an Obama Democrat, join us!
[00:13:34.194 --> 00:13:49.182]  If you want a nominee who will bring the party together, who will run on a positive, progressive vision for the future, not turn this primary into a campaign of negative attacks, because that will only re-elect Donald Trump if we go that route.
[00:13:49.182 --> 00:13:51.383]  If you want that, join us!
[00:13:54.858 --> 00:13:57.939]  So he's talking through another major stroke.
[00:13:57.939 --> 00:13:59.980]  He's had one that almost killed him before.
[00:13:59.980 --> 00:14:05.442]  But it's not just that the neurological control of his speech centers are out.
[00:14:05.442 --> 00:14:07.323]  The words are out too.
[00:14:07.323 --> 00:14:08.523]  So it's dementia.
[00:14:08.523 --> 00:14:11.044]  It's dementia on top of a stroke.
[00:14:11.044 --> 00:14:19.607]  And this is who they have walking into political machine gun fire of Donald Trump, who is going to massacre him.
[00:14:19.607 --> 00:14:20.868]  But politically.
[00:14:21.926 --> 00:14:22.606]  In the election.
[00:14:22.606 --> 00:14:26.928]  But all I can say is, truth is my North Star.
[00:14:26.928 --> 00:14:34.170]  Trump, about two years ago, slurred his words, acted exhausted, stumbled around for a couple weeks, and I thought they might have been drugging his food.
[00:14:34.170 --> 00:14:34.930]  Remember?
[00:14:34.930 --> 00:14:37.951]  And it turned out they thought that might have been going on.
[00:14:37.951 --> 00:14:38.851]  That's how you get away with it.
[00:14:38.851 --> 00:14:40.492]  Very small dosages.
[00:14:40.492 --> 00:14:47.314]  Well, he looks deflated and very tired and almost falling asleep at the podium.
[00:14:47.314 --> 00:14:48.674]  And my mom doesn't listen to my show.
[00:14:48.674 --> 00:14:49.494]  She can't handle it.
[00:14:49.494 --> 00:14:50.695]  So she didn't get this from me.
[00:14:50.695 --> 00:14:51.475]  She was over at the house.
[00:14:53.658 --> 00:14:55.419]  Friday night.
[00:14:55.419 --> 00:14:57.300]  And she said, man, he looks deflated.
[00:14:57.300 --> 00:14:59.862]  Like when people are giving speeches, he looks like he's falling asleep up there.
[00:14:59.862 --> 00:15:04.505]  So Trump is a million miles away from where Biden is.
[00:15:04.505 --> 00:15:08.288]  But at 73, my God, I'd be I'm exhausted today.
[00:15:08.288 --> 00:15:09.228]  I've been up since 4 a.m.
[00:15:09.228 --> 00:15:09.989]  working.
[00:15:09.989 --> 00:15:13.631]  I couldn't imagine being 73 at Trump's job, but I always worry about him.
[00:15:13.631 --> 00:15:22.717]  And he is really puffed up, gained some weight and needs to take some time off to work out and needs to sleep more than four hours a night.
[00:15:22.717 --> 00:15:23.158]  Don't we all?
[00:15:24.402 --> 00:15:25.669]  But I'm worried about Trump.
[00:15:25.669 --> 00:15:26.091]  He is...
[00:15:27.611 --> 00:15:30.332]  He is showing some signs of wear, and who wouldn't?
[00:15:30.332 --> 00:15:31.393]  But he's looking bad.
[00:15:31.393 --> 00:15:35.035]  We're not in a cult here, man, I'll tell you.
[00:15:35.035 --> 00:15:37.396]  Eight months ago, I said, Biden's clearly had another stroke.
[00:15:37.396 --> 00:15:38.097]  He can't talk.
[00:15:38.097 --> 00:15:39.658]  He'll never finish the race.
[00:15:39.658 --> 00:15:45.701]  And Facebook said, we're banning even using his name in a positive way, Alex Jones, because of that fake news.
[00:15:45.701 --> 00:15:46.741]  Give me a break.
[00:15:46.741 --> 00:15:50.083]  I called the Emperor's New Clothes, and I was right again.
[00:15:50.083 --> 00:15:56.387]  Infowars.com, Common Sense Today, and Tomorrow's News, a year early.
[00:15:56.387 --> 00:15:56.907]  We'll be back.
[00:16:00.234 --> 00:16:08.959]  I always promote DNA Force Plus with PQQ and CoQ10 that cleans out the cells and empowers the telomeres and the mitochondria.
[00:16:08.959 --> 00:16:14.682]  It's the most powerful formula out there sold over the counter that is known to energize the body.
[00:16:14.682 --> 00:16:18.264]  I'm not going to jack up prices during crisis, but I am going to end up running out.
[00:16:18.264 --> 00:16:26.068]  So fund the M4, boost your immune system, and get things like X2 and X3, the absolute building block of the whole body, clean iodine, atomic,
[00:16:26.408 --> 00:16:29.209]  Powerful, total booster in your whole life.
[00:16:29.209 --> 00:16:32.070]  Not just for immunity, but for libido, stamina, you name it.
[00:16:32.070 --> 00:16:35.231]  And you need to boost your immunity at InfoWarsTore.com.
[00:16:35.231 --> 00:16:40.253]  With bodies, with DNA Force Plus, with Vitamin Mineral Fusion, with Ultra 12 that's back in stock.
[00:16:40.253 --> 00:16:42.413]  And Turbo Force, by the way, just came back into stock.
[00:16:42.413 --> 00:16:43.614]  It just boosts everything.
[00:16:43.614 --> 00:16:44.874]  InfoWarsTore.com.
[00:16:44.874 --> 00:16:45.915]  You fund the Info War.
[00:16:45.915 --> 00:16:47.495]  You fund the rebellion against the globalists.
[00:16:47.495 --> 00:16:50.136]  You get great prices and you boost your immune system.
[00:16:50.136 --> 00:16:51.196]  A total 360 win.
[00:16:51.196 --> 00:16:51.797]  Take action.
[00:16:51.797 --> 00:16:53.137]  InfoWarsTore.com is a
[00:16:53.497 --> 00:16:55.558]  Everybody needs food.
[00:16:55.558 --> 00:17:01.882]  I'm proud we're selling high quality food.
[00:17:01.882 --> 00:17:07.225]  Elections, globalism, the economy, the bubble, this is something you need on your checklist to have done.
[00:17:07.225 --> 00:17:11.788]  But for me, it just is a bummer to know that everybody needs food.
[00:17:11.788 --> 00:17:20.073]  And I had long discussions this morning, over an hour long discussion with different individuals at different levels of this, right down to the folks running the plants to get the best idea we have.
[00:17:20.233 --> 00:17:23.834]  But they want me to say six to eight weeks, just so people aren't getting pissed.
[00:17:23.834 --> 00:17:30.096]  But understand, the last food company, the biggest food company, is now at hundreds of times their regular order.
[00:17:30.096 --> 00:17:34.698]  And they were having discussions with me about stopping the promotion of food sales next week.
[00:17:34.698 --> 00:17:36.578]  And at a certain point, just saying, we're done.
[00:17:36.578 --> 00:17:39.039]  Because people aren't going to take food orders out ten weeks.
[00:17:39.039 --> 00:17:42.860]  We don't want to sit on your money ten weeks, and then just all the weirdness that comes with that.
[00:17:42.860 --> 00:17:43.740]  Because we're honest.
[00:17:43.740 --> 00:17:45.321]  Under-promised, over-delivered.
[00:17:45.401 --> 00:17:51.089]  But technically it's going to be six to eight weeks and we want you to get a great deal and feel like we took care of you so you come back again.
[00:17:51.089 --> 00:17:52.532]  We want relationships with you.
[00:17:52.532 --> 00:17:53.553]  We're not Satanists.
[00:17:53.553 --> 00:17:54.254]  We're the opposite.
[00:17:54.254 --> 00:17:55.396]  We don't screw people over.
[00:17:55.396 --> 00:17:58.320]  We believe in Jesus Christ and we've been blessed by you.
[00:17:58.320 --> 00:17:59.242]  We're all in this together.
[00:18:00.447 --> 00:18:12.173]  If you understand why the globalists, why the servants of Satan, hate InfoWars, it's because we're awake, we're alive, we're passionate, and we're not giving up.
[00:18:12.173 --> 00:18:21.638]  That's why it's critical for those of us that are aware of the New World Order's plans to not get down when they attack us and they persecute us and they lie about us.
[00:18:21.638 --> 00:18:26.220]  That's what we should expect because we are hurting these scumbags.
[00:18:26.220 --> 00:18:27.381]  The globalists have literally
[00:18:27.381 --> 00:18:27.901]  We're good to go.
[00:18:47.614 --> 00:18:50.355]  They fear the fact that we are awake.
[00:18:50.355 --> 00:18:52.937]  They fear the fact that we are alive.
[00:18:52.937 --> 00:18:56.038]  They fear the fact that we love God.
[00:18:56.038 --> 00:18:59.460]  And that's all we ever have to know, is that God is in charge.
[00:19:01.312 --> 00:19:06.535]  Allergies, dander, asthma, germs, toxins.
[00:19:06.535 --> 00:19:10.817]  There are many reasons why we need to think about what is really in the air around us.
[00:19:10.817 --> 00:19:15.259]  We may not be able to stop breathing, but we can control what's in the air we breathe.
[00:19:15.259 --> 00:19:23.663]  The revolutionary Alexa Pure Breathe air filtration system is a powerful ally in the fight against the dangerous toxins and viruses in the air.
[00:19:23.663 --> 00:19:30.887]  Powerful, quiet, and effective, the Breathe uses a four-step purification process to help you breathe easier and cleaner.
[00:19:31.307 --> 00:19:34.908]  Similar systems could cost hundreds to even thousands of dollars.
[00:19:34.908 --> 00:19:40.230]  But the Alexa Pure Breeze air purification is the best and most affordable bar none.
[00:19:40.230 --> 00:19:48.293]  The breeze and the ion cluster patented technology used in the system eliminate up to 99.97% of airborne contaminants.
[00:19:48.293 --> 00:19:53.675]  Get the Alexa Pure Breeze today and save big on a world-class air filtration system for your home.
[00:19:53.675 --> 00:19:55.936]  Don't keep breathing toxic or dangerous air.
[00:19:55.936 --> 00:19:58.477]  Get this special today at Infowarsstore.com.
[00:20:03.857 --> 00:20:11.519]  You're listening to The Alex Jones Show.
[00:20:11.519 --> 00:20:32.524]  While you were sleeping They came and took it all away The lanes and the meadows The places where you used to play
[00:20:35.884 --> 00:20:39.846]  Welcome back, ladies and gentlemen.
[00:20:39.846 --> 00:20:45.809]  You know, I'm going to get into the coronavirus in the second half of this segment and into the next segment and the last segment of this hour.
[00:20:45.809 --> 00:21:00.596]  And then I do intend to open the phones up for first time callers on this Sunday to give you a chance to respond to what you really think is happening in the world, the Democratic Party and the economy and the attempts to blame America and Trump for the coronavirus and all the rest of it.
[00:21:00.596 --> 00:21:02.697]  But I want to get back to Joe Biden because
[00:21:04.414 --> 00:21:10.917]  You've got Joe Biden being endorsed by the Democratic Party, and you've got them clearly trying to steal it from Bernie Sanders again.
[00:21:10.917 --> 00:21:22.603]  But Bernie Sanders really represents who the Democrats are and all the free goodies that are being offered.
[00:21:22.603 --> 00:21:24.243]  But it's all delusion.
[00:21:24.243 --> 00:21:25.724]  It's all lies.
[00:21:25.724 --> 00:21:27.885]  And it only gets worse and worse from that point.
[00:21:27.885 --> 00:21:32.107]  But then, you look at Brian Williams, a big Democrat.
[00:21:32.107 --> 00:21:33.488]  He was on TV.
[00:21:35.399 --> 00:21:35.699]  I think?
[00:21:58.018 --> 00:22:02.002]  Twenty-seven million, and it turned out it was just a few dollars each person would get.
[00:22:02.002 --> 00:22:04.624]  But they defended it.
[00:22:04.624 --> 00:22:08.288]  The original article was in the Washington Post and said, who cares about math?
[00:22:08.288 --> 00:22:09.589]  Blah, blah, blah.
[00:22:09.589 --> 00:22:10.931]  That's done on purpose.
[00:22:12.469 --> 00:22:14.811]  That's psychological warfare.
[00:22:14.811 --> 00:22:40.832]  But if you're going to have a party of mentally handicapped people, a party of people of dementia and of people that have screen sickness and people that are in a mesmerized, sleep-like state and run the gamut from mentally retarded from all the fluoride to just flat out out of their minds from mental illness, well then you're going to have the leader of them being someone like them.
[00:22:42.025 --> 00:22:43.385]  You don't understand a word they say?
[00:22:43.385 --> 00:22:49.748]  Well, it doesn't matter if you can't understand what Joe Biden has to say, because his followers are idiots.
[00:22:49.748 --> 00:22:51.688]  And so, it just sounds like words to them.
[00:22:51.688 --> 00:23:04.913]  You know, take care of corn pop, and fly hairs, and black kids roaches, and you can't beat Trump, and that's not my wife, that's my daughter.
[00:23:04.913 --> 00:23:06.833]  I don't know who I am.
[00:23:06.833 --> 00:23:08.454]  I mean, those are real quotes, folks.
[00:23:10.063 --> 00:23:14.904]  And then you got Sanders going, white people don't know what it's like to be poor.
[00:23:14.904 --> 00:23:17.765]  We are going to take the rich people's money.
[00:23:17.765 --> 00:23:20.085]  Everything will be free.
[00:23:20.085 --> 00:23:21.305]  The rich people are offshore.
[00:23:21.305 --> 00:23:22.526]  You'll never get their money.
[00:23:22.526 --> 00:23:24.766]  They're funding socialism to control us.
[00:23:24.766 --> 00:23:31.707]  9% of their wealth is made up stock market numbers, leveraged.
[00:23:31.707 --> 00:23:36.008]  You take 2% out of any of these companies, they'll fold overnight.
[00:23:36.008 --> 00:23:38.469]  It's not real money.
[00:23:38.469 --> 00:23:38.969]  It's called
[00:23:40.216 --> 00:23:49.163]  Zimbabwean or Weimar Republic, where wheelbarrows of cash can't buy you a cup of coffee.
[00:23:49.163 --> 00:23:51.905]  And so that's where all this is headed.
[00:23:51.905 --> 00:23:55.308]  And the left wants to destroy the confidence in the Ponzi scheme to bring it down.
[00:23:55.308 --> 00:23:59.431]  And they think there's going to be some giant red terror crisis they're going to manage.
[00:23:59.431 --> 00:24:04.475]  It's going to give them all this power and control, but all their poop and needle and homeless ridden cities.
[00:24:06.069 --> 00:24:07.630]  Have been sucked dry by them already.
[00:24:07.630 --> 00:24:13.595]  They think they're going to manage the takeover of the biggest armed camp in the world of people that hate their guts?
[00:24:13.595 --> 00:24:21.302]  They are literally getting in a cave with a grizzly bear and swapping it upside the face over and over again.
[00:24:21.302 --> 00:24:26.566]  But again, they're a party led by a gibbering, lying, conman communist.
[00:24:29.087 --> 00:24:32.808]  Who said he dreams of raping 12-year-old girls and gang rapes.
[00:24:32.808 --> 00:24:34.188]  He writes news articles.
[00:24:34.188 --> 00:24:41.289]  I like to get what male doesn't think about gang raping with 20 men, a 12-year-old girl.
[00:24:41.289 --> 00:24:42.730]  I want to see her bound.
[00:24:42.730 --> 00:24:45.470]  I'm going to rape her.
[00:24:45.470 --> 00:24:51.011]  And Cink Uygur or Cink Uygur has made similar comments online.
[00:24:51.011 --> 00:24:52.312]  And so have all these people.
[00:24:52.312 --> 00:24:57.973]  It's like, no, dude, the average man doesn't think about tying down 12-year-old girls and gang raping them, dude.
[00:24:57.973 --> 00:24:58.693]  That's you, bro.
[00:25:00.186 --> 00:25:02.588]  I like raping little kids.
[00:25:02.588 --> 00:25:04.690]  It's what I do.
[00:25:04.690 --> 00:25:07.752]  We understand, bro.
[00:25:07.752 --> 00:25:11.835]  So speaking of that, it's a long video.
[00:25:11.835 --> 00:25:12.896]  It's like 30 minutes long.
