[00:00:05.603 --> 00:00:07.105]  Mark your calendars.
[00:01:57.477 --> 00:02:01.321]  CDC inflating COVID infection rates up to 16 times.
[00:02:05.169 --> 00:02:06.530]  And that's really some of it.
[00:02:06.530 --> 00:02:08.130]  That's just 20 to 30 times.
[00:02:08.130 --> 00:02:13.872]  We just say at least 16 times, but I wrote this this morning with the crew member very quickly.
[00:02:13.872 --> 00:02:22.656]  So let's just add the number at least 16 times because they count the person that has it and then they say on average 15 times.
[00:02:22.656 --> 00:02:23.776]  It's on video.
[00:02:23.776 --> 00:02:25.937]  We show you all the graphs.
[00:02:25.937 --> 00:02:27.818]  In fact, here are some of these documents.
[00:02:27.818 --> 00:02:29.939]  This is out of Collin County.
[00:02:29.939 --> 00:02:32.200]  This is from the CDC and NIH right here.
[00:02:33.302 --> 00:02:36.223]  Zoom in a little bit more for me guys, thank you.
[00:02:36.223 --> 00:02:45.066]  And the current case detection system before May 18th, it just came out yesterday, was only one person's counted as it.
[00:02:45.066 --> 00:02:54.910]  Now the new one is up to 36, but the average is 15 additional on top of the one, so 16 or 15 depending on how you look at it.
[00:02:54.910 --> 00:02:56.591]  New probable case
[00:02:58.669 --> 00:03:03.072]  Detection and then they say on video in the documents, they count that as a case.
[00:03:03.072 --> 00:03:06.454]  We have the new definition right here.
[00:03:06.454 --> 00:03:09.436]  New probable case definition means a case.
[00:03:09.436 --> 00:03:13.439]  Chris Hill, the county commissioner judge, just says this is going to be problematic.
[00:03:13.439 --> 00:03:15.120]  This is going to create a hysteria.
[00:03:15.120 --> 00:03:19.843]  And this is back on May 18th, so... This is incredible.
[00:03:19.843 --> 00:03:21.825]  You've got to investigate your counties and your cities.
[00:03:21.825 --> 00:03:23.106]  This is going on everywhere.
[00:03:24.158 --> 00:03:25.438]  This is so important.
[00:03:25.438 --> 00:03:29.140]  I cannot stress to all of you how important it is to get these articles out.
[00:03:29.140 --> 00:03:30.720]  Pandemic bombshell.
[00:03:30.720 --> 00:03:36.463]  CDC inflating COVID infection rates up to 16 times.
[00:03:36.463 --> 00:03:38.523]  And again, we've got to correct that.
[00:03:38.523 --> 00:03:44.445]  It's actually up to 36 times, but it's at least 16 times.
[00:03:44.445 --> 00:03:50.868]  The bottom projection is 15 for every person that has it, but then it gets worse.
[00:03:52.125 --> 00:03:52.905]  This is breathtaking.
[00:03:52.905 --> 00:03:55.087]  I'm actually having an anxiety attack.
[00:03:55.087 --> 00:03:56.928]  This is so huge and I never have anxiety attacks.
[00:03:56.928 --> 00:04:00.150]  I mean, I'm literally having an anxiety attack right now on air.
[00:04:00.150 --> 00:04:01.871]  This is so bombshell.
[00:04:01.871 --> 00:04:03.231]  This is so smoking gun.
[00:04:03.231 --> 00:04:09.675]  They say on the video and show the CDC directive that they don't need a positive test to say you have COVID-19.
[00:04:09.675 --> 00:04:12.157]  And then that's the basis for at least 15 more around you.
[00:04:12.157 --> 00:04:16.119]  It says sniffles, runny nose, sore throat, cough, any of those.
[00:04:17.475 --> 00:04:24.857]  And so he basically says anybody in Texas that has a sore throat, you don't have COVID-19, then that counts 15 more people.
[00:04:24.857 --> 00:04:27.697]  This is unbelievable fraud.
[00:04:27.697 --> 00:04:31.038]  And Joe Biden's running on this saying it's all Trump's fault.
[00:04:31.038 --> 00:04:34.659]  The EU shut US citizens out of the EU.
[00:04:34.659 --> 00:04:36.660]  Half of Americans are out of work.
[00:04:36.660 --> 00:04:37.520]  That's the new headlines.
[00:04:37.520 --> 00:04:37.780]  Half.
[00:04:39.335 --> 00:04:41.637]  Of the people in the country that we're working are not working.
[00:04:41.637 --> 00:04:43.358]  It's right at half, 49%.
[00:04:43.358 --> 00:04:45.999]  I mean we are in a devastating economic war.
[00:04:45.999 --> 00:04:50.322]  This is the globalist siege to punish us for trying to get control of our country.
[00:04:50.322 --> 00:04:52.163]  The special report is on the other side.
[00:04:52.163 --> 00:04:55.666]  Tell everyone you know to tune in now and spread the links if you want to defeat this giant hoax.
[00:04:58.786 --> 00:05:00.828]  What can I say to the viewers and listeners?
[00:05:00.828 --> 00:05:02.230]  Thank you for supporting us.
[00:05:02.230 --> 00:05:03.231]  You've done a great job.
[00:05:03.231 --> 00:05:05.293]  We've done amazing things together.
[00:05:05.293 --> 00:05:07.636]  The war is now out in the open.
[00:05:07.636 --> 00:05:10.098]  You can see that InfoWars World Vision
[00:05:11.161 --> 00:05:11.601]  Of course.
[00:05:31.872 --> 00:05:41.861]  But if we do not support the actual transmission center that's getting the messages out from the guests, the callers, the hosts, we will fail.
[00:05:41.861 --> 00:05:42.942]  I'm stating the obvious here.
[00:05:42.942 --> 00:05:48.907]  I just want to thank you on July 4th, 2020, for your support, no matter what color you are or where you came from.
[00:05:48.907 --> 00:05:53.712]  If you love human liberty and freedom, we're brothers and sisters together, and I salute and thank you all.
[00:05:53.712 --> 00:05:58.196]  Now share those links at ban.video and crush the globalist murderers.
[00:06:11.360 --> 00:06:13.242]  It is Tuesday, June 30th.
[00:06:13.242 --> 00:06:14.243]  The year is 2020.
[00:06:14.243 --> 00:06:17.566]  We are 125 days out from the election.
[00:06:17.566 --> 00:06:31.981]  And the Democrats are openly saying President Trump is to blame for the worst COVID cases on earth and rapid explosion in the number of cases, though the decline in deaths is now the public is on to how they're killing people by intubating them.
[00:06:33.035 --> 00:06:35.277]  But still, they're trying to create total hysteria.
[00:06:35.277 --> 00:06:41.682]  The biggest news ever on COVID-19 has broken exclusively at InfoWars.com.
[00:06:41.682 --> 00:06:43.403]  Rob News stayed up here till 2 a.m.
[00:06:43.403 --> 00:06:44.464]  last night.
[00:06:44.464 --> 00:06:46.646]  I stayed up here till 9 o'clock last night working on this.
[00:06:46.646 --> 00:06:47.927]  It was so important.
[00:06:47.927 --> 00:06:48.928]  And what's shocking is...
[00:06:49.668 --> 00:06:59.355]  It turns out, health departments are calling us, people are calling us, the emails are flooding in, going, we've been telling you this for weeks, but no major news has picked this up.
[00:06:59.355 --> 00:07:13.045]  And it's true, over two weeks ago, state health department official contacted me and said, Alex, they're counting all of the people, this is just amazing, that are around someone that has COVID as having COVID.
[00:07:13.045 --> 00:07:14.626]  Look into it, and I just dropped the ball.
[00:07:16.084 --> 00:07:24.730]  Well, now we have the documents, now we have the County Commissioner meetings, and now we've confirmed it's all over the country, where the NIH and CDC can turn up the cases or turn them down.
[00:07:24.730 --> 00:07:25.851]  Totally criminal!
[00:07:25.851 --> 00:07:28.913]  You think it's bad to say people that died of gunshot wounds died of COVID?
[00:07:28.913 --> 00:07:35.197]  You think it's bad to send old people at nursing homes to their deaths by sending real patients in there?
[00:07:35.197 --> 00:07:37.639]  This is even bigger!
[00:07:37.639 --> 00:07:39.500]  Fauci and all of them are orchestrating it.
[00:07:39.500 --> 00:07:40.561]  He needs to go to prison.
[00:07:40.561 --> 00:07:44.083]  By the way, he's been caught, after he does the hearings, pulling the mask off.
[00:07:44.994 --> 00:07:48.275]  When he's getting in his car, or when he's leaving, or when he's in the meeting rooms.
[00:07:48.275 --> 00:07:49.715]  It's all a hoax.
[00:07:49.715 --> 00:07:53.136]  Democrats in Nevada have been caught doing it as well.
[00:07:53.136 --> 00:07:56.397]  So, these people are savage criminals.
[00:07:56.397 --> 00:07:57.937]  And they know exactly what they're doing.
[00:07:57.937 --> 00:07:59.897]  This is Bill Gates running this whole thing with the U.N.
[00:07:59.897 --> 00:08:00.998]  against America.
[00:08:00.998 --> 00:08:03.098]  So, it's a 14-minute report.
[00:08:03.098 --> 00:08:06.379]  We'll have time to air half of it now for your own future.
[00:08:07.159 --> 00:08:08.440]  Go to BAN.VIDEO.
[00:08:08.440 --> 00:08:11.221]  We had to launch our own system to be able to give you this information.
[00:08:11.221 --> 00:08:13.142]  And get the video that broke at 2 a.m.
[00:08:13.142 --> 00:08:21.466]  last night when Dew posted it, breaking state's order to fraudulently inflate COVID-19 cases 15 times actual rate.
[00:08:21.466 --> 00:08:23.007]  That is conservative, by the way.
[00:08:23.007 --> 00:08:25.368]  This is Kryptonite to the New World Order.
[00:08:25.368 --> 00:08:26.909]  Get it.
[00:08:26.909 --> 00:08:29.871]  Share it by hand, by email, by text.
[00:08:29.871 --> 00:08:35.994]  Print out copies of it with a URL at BAN.VIDEO or InfoWars.com and just get it out there everywhere.
[00:08:38.697 --> 00:08:47.659]  This morning I was at a red light and people started screaming and I looked over, rolled my window down, and a man was flipping me off saying, F you, put your mask on.
[00:08:47.659 --> 00:08:50.760]  Joy Behar says she stalks people in New York not wearing masks.
[00:08:50.760 --> 00:08:53.680]  We have video of police beating the hell out of people not wearing them.
[00:08:53.680 --> 00:08:55.121]  A black man, white cops.
[00:08:55.121 --> 00:08:56.841]  Whoa, but that's okay.
[00:08:56.841 --> 00:08:59.041]  This is a cult, folks, making their move.
[00:08:59.041 --> 00:09:01.162]  So here is the first half of the report.
[00:09:02.588 --> 00:09:05.889]  And if you choose this mission and choose to accept it, this will devastate the enemy.
[00:09:05.889 --> 00:09:07.990]  It's got 80,000 views since 2 a.m.
[00:09:07.990 --> 00:09:08.591]  this morning.
[00:09:08.591 --> 00:09:09.391]  Okay, great.
[00:09:09.391 --> 00:09:11.692]  It needs 5 million views.
[00:09:11.692 --> 00:09:15.774]  Our top video on Bandot Video only has 3 million.
[00:09:15.774 --> 00:09:18.035]  I want 5 million by tomorrow.
[00:09:18.035 --> 00:09:20.716]  We can break their back!
[00:09:20.716 --> 00:09:24.378]  We can expose these murdering criminals and the Great Depression they are already triggered!
[00:09:25.367 --> 00:09:27.409]  This is a war, an info war!
[00:09:27.409 --> 00:09:29.270]  Get the video breaking.
[00:09:29.270 --> 00:09:34.635]  States ordered to fraudulently inflate COVID numbers at least 15 times.
[00:09:34.635 --> 00:09:37.117]  Here is the report.
[00:09:37.117 --> 00:09:50.147]  State of Texas, DSHS has informed public health departments that they are, they have adopted a revised definition for COVID-19 probable cases.
[00:09:50.147 --> 00:09:53.610]  So for confirmed case, it stays the same.
[00:09:53.610 --> 00:09:54.591]  You still just need PCR.
[00:09:55.367 --> 00:09:58.768]  But now they've added a probable case definition.
[00:09:58.768 --> 00:10:02.310]  So that still gets counted towards the case count.
[00:10:02.310 --> 00:10:03.110]  It's different.
[00:10:03.110 --> 00:10:04.071]  It's not confirmed.
[00:10:04.071 --> 00:10:06.232]  It's probable, but it's still a case.
[00:10:06.232 --> 00:10:13.155]  So at the end of this definition, there are 15 different options on how you could be classified as a probable case.
[00:10:13.155 --> 00:10:19.137]  Based on this diagram and what they report, there's a total of 17 cases now.
[00:10:19.137 --> 00:10:23.259]  One is still only confirmed because that was that original index case.
[00:10:23.882 --> 00:10:32.147]  Who then had all these contacts underneath in orange and all the rest of them became probable, but they are still considered a case.
[00:10:32.147 --> 00:10:43.533]  It has the potential to be a very significant event for us here in Texas and here in Collin County as the state now has elected to adopt this new probable definition.
[00:10:43.533 --> 00:10:51.818]  If you have a subjective fever and you have a headache and you live in Collin County, you now meet the qualifications to be a probable COVID patient.
[00:10:52.856 --> 00:10:56.578]  It is remarkable how low the standard is now.
[00:10:56.578 --> 00:11:09.583]  If you have one of the major symptoms, you have a cough or you have shortness of breath and you live in Collin County, then you can satisfy the definition for a probable COVID case.
[00:11:09.583 --> 00:11:20.207]  But I'm very concerned that we absolutely could see the numbers jump very rapidly in a way that actually is not indicative of what we're seeing here in the community in the public health department.
[00:11:20.527 --> 00:11:27.552]  The clips you just saw took place on May 18th of this year, just a few weeks ago.
[00:11:27.552 --> 00:11:35.658]  Now we were contacted by a whistleblower inside the state health department at a high level a few weeks ago about the big changes that were coming.
[00:11:35.658 --> 00:11:42.283]  Separately, another whistleblower contacted us with the video you just saw and more we're about to play.
[00:11:42.283 --> 00:11:44.585]  But this is complete proof
[00:11:45.370 --> 00:11:54.256]  That the COVID-19 testing regime and the definitions they semantically use from the NIH and CDC are frauds.
[00:11:55.168 --> 00:11:56.549]  This has been confirmed.
[00:11:56.549 --> 00:12:04.072]  If one person tests positive for COVID-19, 15 people in the computer model are then said to have it.
[00:12:04.072 --> 00:12:11.035]  So possibles are now defined as of the middle of May as COVID cases.
[00:12:11.035 --> 00:12:12.076]  But it gets worse.
[00:12:12.076 --> 00:12:17.638]  They go on to say that they're going to say it's COVID-19 even if someone's not been tested.
[00:12:17.638 --> 00:12:20.680]  And if someone dies without tests, they're going to say it's COVID-19.
[00:12:21.320 --> 00:12:28.167]  And let's say the virus calls you to go to the ICU and then have a heart or kidney problem.
[00:12:28.167 --> 00:12:35.334]  Some countries are recording that as a heart issue or a kidney issue and not a COVID-19 death.
[00:12:37.175 --> 00:12:58.363]  Right now we're still recording it and we all, I mean the great thing about having forms that come in and a form that has the ability to mark it as COVID-19 infection, the intent is right now that those, if someone dies with COVID-19, we are counting that as a COVID-19 death.
[00:12:58.363 --> 00:13:00.884]  But this is bigger than that.
[00:13:00.884 --> 00:13:05.186]  This is the NIH directing the states
[00:13:06.687 --> 00:13:14.192]  To say that if one person tests positive in a questionable test, that 15 others are positive as well.
[00:13:14.192 --> 00:13:16.054]  So we're going to go through these clips.
[00:13:16.054 --> 00:13:22.238]  We're going to link to where you can see hours of this at the end of the video for yourself, because we don't just have the documents from the state health department.
[00:13:22.238 --> 00:13:31.625]  We actually have a county going over this last month and breaking it down and asking the question, this is going to create a lot of new false cases.
[00:13:31.625 --> 00:13:34.427]  Rob News, the Infowars News Director, he's been following this for weeks.
[00:13:34.427 --> 00:13:35.508]  We're ready to break this right now.
[00:13:35.728 --> 00:13:39.353]  Yeah, that prophetic statement was made by Chris Hill, the county judge.
[00:13:39.353 --> 00:13:48.745]  Basically, he said, wow, with all these new parameters we're using to create COVID cases, they're using the word case very specifically, that we can have these inflated numbers.
[00:13:48.745 --> 00:13:53.231]  So it used to be, if you tested positive for COVID-19, that was one case.
[00:13:53.852 --> 00:14:01.415]  Now, if you have one case, they also look around it and see who you've been in contact with, and they say, OK, these are probable cases.
[00:14:01.415 --> 00:14:03.476]  These go into the caseload.
[00:14:03.476 --> 00:14:07.458]  And they use a lot of different parameters that we're going to go over just in one second.
[00:14:07.458 --> 00:14:12.860]  But one case could equal 17 cases, could equal 10 cases, could equal 20 cases.
[00:14:12.860 --> 00:14:14.020]  It doesn't matter.
[00:14:14.020 --> 00:14:16.181]  All it looks at is the word probable.
[00:14:16.181 --> 00:14:18.242]  And they add probable into the caseload.
[00:14:18.242 --> 00:14:22.564]  And now you've seen, since May 18th, when these were implemented in Texas, the numbers skyrocketing.
[00:14:22.944 --> 00:14:27.389]  And they confirm that if they say probable, that's now called a case.
[00:14:27.389 --> 00:14:29.571]  So this is lawyer semantics.
[00:14:29.571 --> 00:14:37.640]  We've confirmed other states are following this same directive so they can turn the cases up or turn them down, the bureaucrats can, whenever they want.
[00:14:37.640 --> 00:14:38.080]  That's right.
[00:14:38.080 --> 00:14:39.021]  So let's go into these clips.
[00:14:39.021 --> 00:14:40.262]  We have clip one.
[00:14:40.262 --> 00:14:43.926]  This is where they talk about the case definitions being revised.
[00:14:43.926 --> 00:14:44.287]  Here it is.
[00:14:45.248 --> 00:14:57.538]  State of Texas DSHS has informed public health departments that they have adopted a revised definition for COVID-19 probable cases.
[00:14:57.538 --> 00:15:06.445]  The probable case definition was adopted by the Council of State and Territorial Epidemiologists back in early April, April 4th or 5th.
[00:15:06.445 --> 00:15:07.666]  They adopted this.
[00:15:07.666 --> 00:15:11.569]  They sent it to the CDC and the CDC did take that recommendation and adopted
[00:15:11.869 --> 00:15:16.637]  And again, when you hear that, it's John Hopkins run by Bill Gates that runs the entire show.
[00:15:16.637 --> 00:15:17.880]  So it gets into all of it.
[00:15:17.880 --> 00:15:19.322]  They admit all of it.
[00:15:19.322 --> 00:15:20.204]  It's a total fraud.
[00:15:20.204 --> 00:15:22.949]  They admit they don't even test people to say they have COVID.
[00:15:22.949 --> 00:15:24.551]  This is beyond criminal.
[00:15:25.771 --> 00:15:27.611]  And that's how this has been done.
[00:15:27.611 --> 00:15:30.472]  And you've got the governor, who's not a doctor, doesn't know this.
[00:15:30.472 --> 00:15:31.972]  He's just hearing we have record cases.
[00:15:31.972 --> 00:15:32.692]  You better do something.
[00:15:32.692 --> 00:15:34.913]  And it's all a giant fraud.
[00:15:34.913 --> 00:15:37.113]  The governor needs to call for criminal investigation.
[00:15:37.113 --> 00:15:38.574]  The president does.
[00:15:38.574 --> 00:15:40.914]  And Fauci needs to be SWAT teamed now.
[00:15:40.914 --> 00:15:43.295]  This is their criminal fraud to keep America closed.
[00:15:43.295 --> 00:15:44.095]  They admit it.
[00:15:44.095 --> 00:15:46.875]  The full report's on InfoWars.com and NewsWars.com.
[00:15:46.875 --> 00:15:49.076]  But first, Roger Stone breaks his silence.
[00:15:49.716 --> 00:15:54.061]  And it's got so much to say to President Trump, you name it.
[00:15:54.061 --> 00:15:57.845]  Coming up on the other side, exclusive Roger Stone breaks the silence.
[00:15:57.845 --> 00:16:04.773]  2020 is a very special year to the globalists, to the occultists, to those that are into esoteric mysticism.
[00:16:04.773 --> 00:16:08.097]  And they believe this is the year they're going to totally overthrow America and the world.
[00:16:08.097 --> 00:16:09.138]  We're good to go.
[00:16:32.717 --> 00:16:35.099]  This is a turmeric extract, one of the strongest ones out there.
[00:16:35.099 --> 00:16:38.821]  It's so good for your body, so good for your joints, so good for your cells.
[00:16:38.821 --> 00:16:44.205]  It is now back in stock, sold out for over three months, and it is at 50% off.
[00:16:44.205 --> 00:16:46.807]  DNA Force Plus is back in stock.
[00:16:46.807 --> 00:16:48.248]  It's 50% off as well.
[00:16:48.248 --> 00:16:53.151]  Check it all out at InfoWareStore.com, and remember, your funding of our operation makes it all possible.
[00:16:53.151 --> 00:16:56.453]  Plus, these are great things that God designed for you and your family's bodies.
[00:16:56.453 --> 00:16:57.054]  Please take action.
[00:16:57.634 --> 00:17:01.418]  The 4th of July 2020 special has gone into high gear.
[00:17:01.418 --> 00:17:06.703]  We have 50% off BODY's really strong extractive turmeric formula.
[00:17:06.703 --> 00:17:07.764]  It's been sold out for months.
[00:17:07.764 --> 00:17:08.826]  That's back in stock.
[00:17:08.826 --> 00:17:13.130]  DNA Force Plus with the PQQ, the CoQ10, so good for your cells, so amazing.
[00:17:13.130 --> 00:17:14.752]  That's back in stock, 50% off.
[00:17:14.752 --> 00:17:17.134]  Winter Sun's been sold out for over three months.
[00:17:17.134 --> 00:17:17.835]  It's back in stock.
[00:17:18.015 --> 00:17:24.579]  Pure, high-quality vitamin D3, take it under the tongue, greater absorption, so good for your whole body, so essential.
[00:17:24.579 --> 00:17:25.440]  That's back in stock.
[00:17:25.440 --> 00:17:28.882]  Ultra 12, super high-quality B12, again, take it under the tongue.
[00:17:28.882 --> 00:17:30.163]  That is back in stock.
[00:17:30.163 --> 00:17:34.125]  Survival Shield X2, Nacin Iodine Spray, 33% off, and so much more.
[00:17:35.066 --> 00:17:38.309]  So I want to thank you all this July 4th coming up for standing with us.
[00:17:38.309 --> 00:17:46.015]  I want to invite you to take advantage of these great deals and great products that enrich yourself and your family's life and also fund Hardcore Truth.
[00:17:46.015 --> 00:17:47.316]  Again, take action.
[00:17:47.316 --> 00:17:50.499]  Big 4th of July sales right now at InfoWareStore.com.
[00:17:50.499 --> 00:17:52.220]  We could not have done this without you.
[00:17:52.220 --> 00:17:56.163]  I thank you for your continued prayer, your focus and your support.
[00:17:56.163 --> 00:18:01.108]  Again, I salute you all.
[00:18:01.108 --> 00:18:03.770]  You're listening to the Alex Jones Show.
[00:18:11.607 --> 00:18:26.099]  He's been involved in more presidential elections than any other living advisor since the days of Richard Nixon, and he's the guy that got Donald Trump to run for office.
[00:18:26.099 --> 00:18:34.286]  Breaking his silence right now, the next three segments on this Tuesday edition is Roger Stone facing
[00:18:35.435 --> 00:18:36.676]  Alex, it's terrific to be back with you.
[00:18:36.676 --> 00:18:37.856]  It's kind of like old home week.
[00:18:37.856 --> 00:18:39.677]  And first and foremost,
[00:19:01.963 --> 00:19:13.667]  I want to thank you, and I want to thank InfoWars, and I want to thank the InfoWarriors out there in your audience who have stood by me through this entire epic struggle.
[00:19:13.667 --> 00:19:16.668]  I could never have made it this far.
[00:19:16.668 --> 00:19:22.690]  My family could never have survived this long without the support of each and every one of you.
[00:19:22.690 --> 00:19:25.071]  It has been gratifying.
[00:19:25.071 --> 00:19:26.932]  It has been extraordinary.
[00:19:26.932 --> 00:19:29.293]  It is only through the grace of God
[00:19:30.213 --> 00:19:52.662]  And for prayer and for the prayers of millions and millions of Americans, the contributions of thousands, tens of thousands of Americans that I have been able to fight and I am continuing to fight for my vindication and for justice in this extraordinary witch hunt.
[00:19:52.662 --> 00:19:55.503]  It has been nothing short of miraculous.
[00:19:55.503 --> 00:19:59.485]  So I want to thank you and the Infowar audience first and foremost.
[00:20:00.326 --> 00:20:05.128]  And for all of my friends at InfoWars, it is really, really good to be back.
[00:20:05.128 --> 00:20:06.008]  It's good to have you here.
[00:20:06.008 --> 00:20:08.409]  Now, you said no questions off-limits all of a sudden.
[00:20:08.409 --> 00:20:12.950]  This weekend we talked, you said gloves are off, but wait till I go on air.
[00:20:12.950 --> 00:20:15.211]  What does it mean, nothing's off-limits?
[00:20:15.211 --> 00:20:19.493]  I mean, I don't people know what's happened behind the scenes and why you haven't been able to be on?
[00:20:19.493 --> 00:20:20.973]  You say nothing's off-limits.
[00:20:20.973 --> 00:20:25.195]  Should we hit that and then talk about the sequence of events that's all intertwined with Trump in 2020?
[00:20:26.434 --> 00:20:28.495]  Yeah, I think that's a good way to proceed.
[00:20:28.495 --> 00:20:48.102]  I think it's important to recognize that immediately after my Soviet-style show trial in Washington, D.C., in which the judge not only prohibited every powerful line of defense, but I also was faced with what was essentially a stacked jury, a jury that
[00:20:48.766 --> 00:21:03.236]  Included no Republicans, no conservatives, no military veterans, no info warriors, certainly, but could have passed for the Obama-Clinton Administration Alumni Association.
[00:21:03.236 --> 00:21:11.883]  Also included a number of Democratic Party activists, contributors to Donald Trump's 2020 donors.
[00:21:11.883 --> 00:21:14.925]  And then, of course, we had the post
[00:21:15.777 --> 00:21:25.392]  Trial revelations regarding the antics of the jury for a woman who indisputably posted on Twitter and Facebook
[00:21:26.403 --> 00:21:38.075]  During 2019, starting on the day of my arrest, and subsequently, individual posts attacking me and many, many posts attacking President Trump.
[00:21:38.075 --> 00:21:46.364]  So this is not someone who meets the Supreme Court's definition of impartial and indifferent.
[00:21:46.824 --> 00:22:11.410]  This was a Democratic Party activist, a Trump hater, a Stone hater, who essentially hid her bias during jury selection, had her social media platforms on a private setting during jury selection and during the trial, and then after the trial, deleted those email posts.
[00:22:11.410 --> 00:22:15.991]  In fact, deleted her entire page so that the truth could not be known.
[00:22:16.571 --> 00:22:24.376]  Now, as you know, Alex, we filed a motion for a new trial based on the bias of the jury for a woman.
[00:22:24.376 --> 00:22:27.818]  I believe we demonstrated that bias.
[00:22:27.818 --> 00:22:35.783]  We asked specifically, asked Judge Jackson for the ability to subpoena the deleted material from Facebook.
[00:22:35.783 --> 00:22:36.624]  The woman's M.O.
[00:22:36.624 --> 00:22:42.127]  was to place something on Facebook and then take the Facebook link and post it on Twitter.
[00:22:42.127 --> 00:22:45.249]  And of course, that line of inquiry was denied.
[00:22:45.809 --> 00:23:01.432]  So we were somewhat surprised, as were many in the legal community, when I was not given a new trial, when my conviction, which I believe was wrongly decided anyway, was not vacated and I wasn't given a new trial.
[00:23:01.932 --> 00:23:18.965]  Just to be clear to everyone, I have filed an appeal not only of my bogus conviction, but I've also filed an appeal specifically of the decision by Jugs Jackson not to grant me a new trial, and those are pending.
[00:23:18.965 --> 00:23:22.307]  But in this process, an appeal is not immediate.
[00:23:22.307 --> 00:23:24.349]  It can take a year or longer.
[00:23:24.349 --> 00:23:27.991]  It can certainly cost as much as a million dollars.
[00:23:27.991 --> 00:23:30.714]  And in the short term, you're absolutely right.
[00:23:30.714 --> 00:23:31.154]  Even though
[00:23:32.043 --> 00:23:53.576]  Michael Avenatti, the Democrat super-lawyer who was a hyper-critic of the President, who stole $25 million from his clients, and faces additional charges, I believe, even though Michael Cohen, who was convicted of various financial crimes that don't involve Donald Trump... What about Harvey Weinstein, convicted of rape?
[00:23:53.576 --> 00:23:55.458]  He's out, but you've got to go to jail.
[00:23:56.318 --> 00:23:57.639]  Yeah, it's really extraordinary.
[00:23:57.639 --> 00:24:00.581]  So the Department of Justice's directives to the U.S.
[00:24:00.581 --> 00:24:12.988]  Bureau of Prison that non-violent or I should say inmates convicted of non-violent crimes be moved from incarceration to home confinement does not apply to Roger Stone.
[00:24:13.898 --> 00:24:34.837]  Therefore, my attorneys, my new attorneys, appealed that to Judge Jackson, which is the correct avenue, asking that instead of being sent to a prison in Jessup, Georgia, which is a very dicey situation and where the potential for infection of coronavirus I think is very real,
[00:24:35.902 --> 00:24:47.841]  Last Friday, very late on Friday afternoon, the judge essentially ignored the substance of our arguments, ordered me placed under immediate house arrest, which is where I am right now.
[00:24:48.959 --> 00:24:54.784]  And added that I had two weeks to settle my affairs and report to the prison in Georgia.
[00:24:54.784 --> 00:24:56.085]  And that's my quick question.
[00:24:56.085 --> 00:25:00.489]  You weren't going to do interviews until whether clemency, pardon, or whatever was going to happen.
[00:25:00.489 --> 00:25:02.971]  What made you change the last few days and now be here?
[00:25:02.971 --> 00:25:04.712]  You're going to get into 2020, the election.
[00:25:04.712 --> 00:25:07.875]  You're warning Trump coming up in a few segments.
[00:25:07.875 --> 00:25:10.357]  But what made you say the gloves are off?
[00:25:10.357 --> 00:25:11.978]  Any questions you want to ask?
[00:25:11.978 --> 00:25:13.059]  You know, everything's on the table.
[00:25:13.809 --> 00:25:21.431]  Because I am vitally concerned about the direction of this country, and I think it is incredibly important to re-elect the President.
[00:25:21.431 --> 00:25:25.972]  I see the way they have destroyed his whole card, the American economy.
