[00:00:29.155 --> 00:00:29.956]  We the people.
[00:03:15.963 --> 00:03:20.584]  But when President Trump simply says we might have to control some flights into the U.S., he's a horrible person.
[00:03:20.624 --> 00:03:21.885]  So I understand the trap he's in.
[00:03:22.585 --> 00:03:27.827]  But to navigate this and to balance this, we're going to break it down with Norm Pattis with the exclusive.
[00:03:27.847 --> 00:03:28.987]  And I already knew this was going on.
[00:03:29.007 --> 00:03:29.848]  He was set to announce it.
[00:03:29.868 --> 00:03:30.688]  I thought in about a week.
[00:03:31.368 --> 00:03:34.409]  And I was going to come on tonight and already talk about this even though I'm on a short vacation.
[00:03:35.570 --> 00:03:36.590]  Well, I'm not on vacation now.
[00:03:36.630 --> 00:03:38.631]  I'll be back on full time here because this is so serious.
[00:03:38.651 --> 00:03:39.671]  So we're going to go to break here in a moment.
[00:03:40.527 --> 00:03:45.452]  And Norm Patek, constitutional criminal lawyer, is going to be on to give us this exclusive intel.
[00:03:45.472 --> 00:03:46.273]  You're getting this first.
[00:03:46.293 --> 00:03:51.678]  There's a live feed at NewsWars.com with the headline that I suggest you share.
[00:03:51.718 --> 00:03:57.444]  Again, InfoWars is censored on Twitter and Facebook and everywhere else, but not NewsWars as bad.
[00:03:57.464 --> 00:04:00.406]  So share that link at NewsWars.com.
[00:04:01.874 --> 00:04:03.175]  Global exclusive.
[00:04:03.836 --> 00:04:06.839]  Trump to announce the interstate travel ban as early as tonight.
[00:04:07.320 --> 00:04:13.866]  Experts inside federal government have confirmed and enforced exclusively that Trump has already decided to declare martial law.
[00:04:14.467 --> 00:04:15.328]  Tune in now.
[00:04:16.135 --> 00:04:28.420]  Alex Jones exclusively breaks down President Trump's decision to implement an interstate travel ban as early as this evening, according to experts inside the Pentagon and the White House, in the latest escalation against the coronavirus outbreak.
[00:04:28.761 --> 00:04:42.166]  Meanwhile, guest host Tom Papert covers the latest travel ban measures from China to Europe to Israel, in addition to local governments closing schools, sporting events, churches, and large public gatherings until the outbreak is under control.
[00:04:42.266 --> 00:04:45.388]  This isn't a drill concerning martial law.
[00:04:46.511 --> 00:04:59.698]  This is Marshall Law, everything we've ever warned you of, and specifically Millie Weaver sent me a clip from her and I on the show two years ago saying her Pentagon sources, and she has some incredible sources folks, people really like Millie, and she's got sources
[00:05:02.005 --> 00:05:03.406]  That would be amazing.
[00:05:03.446 --> 00:05:06.568]  They told her they're going to launch a bio-attack if everything else fails on Trump.
[00:05:07.129 --> 00:05:09.070]  I've even forgotten to play that clip.
[00:05:09.150 --> 00:05:12.933]  She's got to come on the show tomorrow, early on the show, and play that clip.
[00:05:13.793 --> 00:05:17.596]  Ladies and gentlemen, this is a global emergency exclusive.
[00:05:18.077 --> 00:05:21.239]  This is a global emergency exclusive.
[00:05:22.185 --> 00:05:23.526]  I am Alex Jones, your host.
[00:05:24.067 --> 00:05:29.091]  The article and the live feed that you need to share is posted to NewsWars.com.
[00:05:29.732 --> 00:05:31.053]  NewsWars.com.
[00:05:31.593 --> 00:05:32.674]  Global exclusive.
[00:05:33.255 --> 00:05:36.097]  Trump to announce interstate travel ban as early as tonight.
[00:05:36.858 --> 00:05:45.325]  Experts inside federal government have confirmed to InfoWars exclusively that Trump has already decided to declare the equivalent of martial law.
[00:05:46.646 --> 00:05:49.549]  I started hearing this about a week ago.
[00:05:50.373 --> 00:06:06.631]  When I talk to a source that's in central command that's obviously heavily involved in all this and as Europe sets the precedent in Italy and now in Spain and now in France today of declaring martial law and banning interstate travel basically, that then sets the
[00:06:07.954 --> 00:06:11.937]  Barge, or if Trump doesn't do it, then the media will say when there's death it's his fault.
[00:06:11.997 --> 00:06:19.142]  That's how this trap of the phobia and the panic over this virus that's not been proven, you know, to be that deadly.
[00:06:19.222 --> 00:06:20.343]  Sure, it's killing some people.
[00:06:20.823 --> 00:06:22.144]  Looks like it's designed for old folks.
[00:06:22.184 --> 00:06:23.025]  Yes, it's man-made.
[00:06:23.565 --> 00:06:25.847]  But this thing is how we're going in the global government.
[00:06:25.867 --> 00:06:29.950]  We had the UN testing disease X one year ago.
[00:06:30.822 --> 00:06:31.863]  We're good to go.
[00:06:52.586 --> 00:06:55.707]  This is an unbelievable time to be alive.
[00:06:56.328 --> 00:06:58.649]  And Tom Papert was going to be hosting the show today.
[00:06:58.689 --> 00:06:59.369]  He will be here.
[00:06:59.469 --> 00:07:04.491]  I taped a very powerful interview with the Motor City Madman on the virus yesterday.
[00:07:04.511 --> 00:07:06.792]  That'll be airing in part of the next hour.
[00:07:06.812 --> 00:07:09.273]  That's what Ted News United are taping a whole show yesterday.
[00:07:09.833 --> 00:07:10.274]  We're good to go.
[00:07:28.249 --> 00:07:33.837]  With exactly what CENTCOM told me they were told Trump would announce in a week that we knew this was serious.
[00:07:33.897 --> 00:07:35.780]  So, Norm Patus, thank you for being here.
[00:07:36.060 --> 00:07:41.047]  Please explain to people what a ban on interstate travel is unprecedented in America's history.
[00:07:41.488 --> 00:07:44.072]  Even during the swine flu that killed 50 million people, we didn't do that.
[00:07:44.472 --> 00:07:49.177]  Well, you know, we've never had an interstate travel ban, so I don't really know what that would mean.
[00:08:03.854 --> 00:08:14.023]  But I am told that there's an ongoing debate in the White House as we speak with members of the legal counsel's office urging the President not to attempt to impose a travel ban.
[00:08:14.843 --> 00:08:24.572]  The word is that he's intent on doing so tonight, although I've checked with several journalists I know and nobody seems to be, nobody's been alerted yet of a
[00:08:25.112 --> 00:08:25.692]  I think so.
[00:08:46.039 --> 00:08:53.786]  Um, who may say, um, that any travel, um, interstate travel, that is, travel of citizens or people between the states, is prohibited.
[00:08:54.227 --> 00:09:00.852]  That would be almost impossible to impose, especially in regions of the country like New England, where states are very close to one another.
[00:09:01.313 --> 00:09:03.535]  I live 75 miles out of New York City.
[00:09:03.575 --> 00:09:04.896]  Some of my neighbors work there.
[00:09:04.916 --> 00:09:11.302]  It's easy for me to be back in and out of the city, or even out of New Jersey, or Massachusetts, or Rhode Island, from where I live.
[00:09:12.059 --> 00:09:15.941]  I don't know how such an imposition could be imposed.
[00:09:16.302 --> 00:09:22.966]  We don't have tolls, there aren't border checkpoints, so it's really hard to know what that would mean as a matter of law.
[00:09:23.326 --> 00:09:27.749]  When I heard you say in the run-up to this, Alex, that this was akin to martial law,
[00:09:28.229 --> 00:09:34.891]  At first I thought that was an overstatement, but as I thought about what you were saying, I guess it would take something like martial law to make that work.
[00:09:35.331 --> 00:09:42.253]  Because if there are multiple points of ingress and egress between states, who's going to determine whether somebody is crossed unlawfully?
[00:09:42.333 --> 00:09:46.735]  You have to monitor that to occur, and who can do that better than the military or police?
[00:09:47.215 --> 00:09:48.175]  So it would be chilling.
[00:09:48.715 --> 00:09:54.777]  We are, in my office as we speak, preparing a challenge to this order in the event that it occurs.
[00:09:55.787 --> 00:10:05.837]  If you look at the right to travel, the United States Supreme Court has recognized it as fundamental, but it has never anchored that right in a particular clause of the Constitution.
[00:10:06.638 --> 00:10:13.704]  The 14th Amendment, for example, has a clause that says the citizens of the various states enjoy the privileges and immunities of other states.
[00:10:14.164 --> 00:10:21.011]  That's been taken to mean that when I travel to Texas, I enjoy the rights of a Texas citizen, even though I'm not a Texan.
[00:10:21.832 --> 00:10:30.441]  From time to time, the states have tried to impose durational requirements on a person before that person can enjoy the benefits of social welfare, let's say.
[00:10:30.721 --> 00:10:34.846]  So a Californian couldn't move to Texas and claim welfare straight away.
[00:10:35.547 --> 00:10:40.232]  Those issues have been defeated as a violation of the Privilege and Immunities Clause.
[00:10:40.977 --> 00:11:01.359]  In 1999, a case called Saenz, S-A-E-N-Z versus Roe, struck down an imposition on a right to travel without necessarily, and explicitly saying, for purposes of this case, we need not identify the source of the right to travel in the text of the Constitution.
[00:11:01.419 --> 00:11:02.561]  And Norm, Norm, Norm?
[00:11:03.376 --> 00:11:04.157]  You're doing a great job.
[00:11:04.177 --> 00:11:22.293]  I want you in the next segment to walk through the law and the history of this, but using this hysteria, clearly this global force that's been hyping this, and the media hyping it, and big tech and authoritarian states hyping it, they're pushing for an authoritarian benchmark now of basically worldwide tyranny that we've never before seen.
[00:11:22.353 --> 00:11:25.436]  Communist China as the model, as you and others have been warning.
[00:11:25.856 --> 00:11:29.820]  But pulling back from this, I want you to have the floor here first and explain to people.
[00:11:30.320 --> 00:11:38.068]  You've talked to folks that are directly in contact with those in the White House Legal Council that are involved in the meetings through the Federalist Society.
[00:11:38.428 --> 00:11:40.630]  This is an exclusive that Norm Pattis is giving you.
[00:11:41.011 --> 00:11:42.352]  The press does not know this.
[00:11:42.792 --> 00:11:43.793]  This is not a joke.
[00:11:44.274 --> 00:11:46.336]  This is going on right now.
[00:11:46.416 --> 00:11:51.481]  So please, as we go to break here, recap exactly who's meeting, what's going on, and what you were told.
[00:11:52.526 --> 00:12:05.858]  What I'm told is that in the White House right now, President Trump has an intention, a desire, a plan to announce as early as tonight a 3-0, a 30-day ban on interstate travel.
[00:12:06.400 --> 00:12:13.803]  That members of his legal counsel's office are attempting to persuade the president that such an order is unlawful and would be a mistake.
[00:12:14.963 --> 00:12:18.185]  Whether they succeed or not is an open question.
[00:12:18.245 --> 00:12:19.685]  That's all I know at this point.
[00:12:19.785 --> 00:12:25.308]  But it comes from a source that it's credible enough for me to have people working throughout the night to prepare a legal challenge on this.
[00:12:25.768 --> 00:12:28.429]  The minute he makes the announcement, it's our intention to be in court.
[00:12:31.823 --> 00:12:32.303]  We're good to go.
[00:12:45.279 --> 00:12:47.282]  Well, Alex, I'd actually heard the same as you.
[00:12:48.003 --> 00:13:02.021]  Two of my sources, one's a radio guy, one lives and works in DC, have heard that this is coming as soon as next week and that it would coincide with a blanket quarantine, meaning nobody's allowed to go to work, nobody's allowed to do anything except go to the store.
[00:13:02.461 --> 00:13:03.562]  Or go to the pharmacy.
[00:13:03.602 --> 00:13:07.984]  So I was like you, keeping the powder dry, waiting to see if this did come about next week.
[00:13:08.344 --> 00:13:15.247]  The fact that this exact plan, that I again, just like you, heard, may come as soon as tonight is shocking.
[00:13:15.528 --> 00:13:27.213]  And I wonder exactly how long would this go into place before a potential injunction or a potential court could stop it if Norm Pattis is able to get that pushed forward.
[00:13:27.233 --> 00:13:28.374]  Again, should it come tonight?
[00:13:28.454 --> 00:13:28.774]  I don't know.
[00:13:28.794 --> 00:13:30.375]  What would the turnaround be on that, Norm?
[00:13:31.491 --> 00:13:32.672]  We could be in the court.
[00:13:32.892 --> 00:13:44.897]  I mean, our goal, you can file 24 hours a day, so we would e-file sometime in the course of the night and ask for an emergency hearing and an injunction and declaratory relief from any judge we could get in front of tomorrow.
[00:13:45.544 --> 00:13:47.085]  I want to make a point as we go to break.
[00:13:47.105 --> 00:13:48.106]  I want to make a point.
[00:13:48.766 --> 00:14:03.654]  The same Democrats that said we couldn't ever close the border or even check people for bubonic plague and drug-resistant TB that kills tens of thousands a year and all these deadly strains are the ones saying the President hasn't done enough yet, basically pushing him into this position.
[00:14:03.974 --> 00:14:11.479]  So it's outrageous that we can't have external borders, but now we're not going to be able to leave our houses, folks, and the left thinks it's wonderful
[00:14:12.259 --> 00:14:13.941]  And wants to make us all telecommute.
[00:14:14.221 --> 00:14:17.284]  This is all about turning the whole world into a prison planet.
[00:14:17.545 --> 00:14:18.426]  Where have I heard of that?
[00:14:18.686 --> 00:14:21.369]  Prisonplanet.com and my film, Endgame.
[00:14:21.729 --> 00:14:23.631]  Blueprint for global enslavement.
[00:14:23.651 --> 00:14:24.292]  We're going to go to break.
[00:14:24.872 --> 00:14:25.773]  Tom Papert's here.
[00:14:26.454 --> 00:14:27.395]  We have Norm Pattis here.
[00:14:27.655 --> 00:14:30.017]  Pattis is such an expert on this that this is what I'm going to do.
[00:14:30.037 --> 00:14:32.640]  I'm going to come in next segment and make my final statement on this.
[00:14:33.381 --> 00:14:35.123]  And then I'm going to hand it over to Tom Papert.
[00:14:35.683 --> 00:14:38.864]  And I'm going to hand it over to Norm for the rest of the hour.
[00:14:39.404 --> 00:14:47.527]  And then next hour, we've got important videos and things about the martial law taking place in other parts of the world.
[00:14:47.647 --> 00:14:50.608]  Infowars.com, Newswars.com.
[00:14:50.648 --> 00:14:54.750]  We have a live feed, the article exclusive on this at Newswars.com.
[00:14:54.770 --> 00:14:55.630]  Tell everybody to tune in now.
[00:14:55.690 --> 00:14:56.630]  This is a global exclusive.
[00:14:57.091 --> 00:15:00.352]  Ladies and gentlemen, this is a global worldwide exclusive.
[00:15:00.372 --> 00:15:03.713]  It is with heavy heart that I have to tell you that President Trump
[00:15:04.565 --> 00:15:08.207]  Has already told his advisors he is set to declare what is martial law.
[00:15:08.647 --> 00:15:12.368]  The most basic nature of martial law, the suspension of basic rights, is the right to travel.
[00:15:12.388 --> 00:15:17.791]  Global exclusive, Trump to announce interstate travel ban as early as tonight.
[00:15:18.749 --> 00:15:19.570]  We're good to go.
[00:15:39.218 --> 00:15:50.148]  Or you have family in another city that doesn't have a local TV station or radio station, call them and tell them go to newswars.com or send them that top story at newswars.com now.
[00:15:50.728 --> 00:16:04.080]  That's how we cause a chain reaction on this and get a large debate up front with the top constitutional lawyer who broke you this exclusive information he'll be breaking down next segment, why it's so concerning, what it's going to really do.
[00:16:05.054 --> 00:16:19.995]  How communist China set the precedent for this, and why are we following this un-American precedent for a virus that does not look like it's even as deadly as something like bubonic plague that we were supposed to let in from Mexico and allow to spread, including drug-resistant TB.
[00:16:20.496 --> 00:16:20.977]  So remember,
[00:16:22.408 --> 00:16:30.692]  The very same globalist deep staters that said no borders, no walls, no Europe, no USA at all, that tell people to come from all over the world to get free stuff.
[00:16:31.193 --> 00:16:39.637]  The same ones that rammed down the Guatemalan borders and tore down their fences and attacked our military and the Mexican troops and overwhelmed our border.
[00:16:40.444 --> 00:16:52.269]  And the same ones that have invaded by the coast, with George Soros and the UN funding it, with millions of military-age men bringing in the most deadly diseases and the most deadly culture of sex slavery, you name it.
[00:16:53.109 --> 00:16:53.930]  All of that was good.
[00:16:53.990 --> 00:16:54.790]  All of that was okay.
[00:16:54.870 --> 00:17:06.895]  But now a virus that hasn't even killed as many people worldwide as the flu kills here every year, we're told to capitulate and give up our way of life.
[00:17:07.708 --> 00:17:11.892]  And stick our head in the sand and make the new American symbol an ostrich.
[00:17:12.732 --> 00:17:14.234]  So, this has all been a setup.
[00:17:15.054 --> 00:17:17.396]  I wish Limbaugh and others were right that, hey, just ignore it.
[00:17:17.436 --> 00:17:18.197]  It's not going to be a problem.
[00:17:18.938 --> 00:17:19.518]  It didn't matter.
[00:17:19.598 --> 00:17:22.961]  The hype and the programming was set to blame Trump if he didn't take action.
[00:17:23.662 --> 00:17:35.192]  Then once he does take action, they will always be able to ratchet it up because if he doesn't do exactly what the authoritarian EU does, if he doesn't do exactly what the authoritarian communist Chinese do and others,
[00:17:36.650 --> 00:17:40.652]  They've then set the precedent that, oh, he's a bad guy and the media's already blaming him.
[00:17:40.692 --> 00:17:42.113]  So Trump's been put in this trap.
[00:17:42.914 --> 00:17:57.402]  But this will devastate the economy, and this will set the precedent to make you commute into work whenever they want, and now new designer viruses will be like the weather report, where you've just got to hunker down in your house, and the drones will deliver you from Amazon your food.
[00:17:57.782 --> 00:18:01.905]  You can see it all pre-programmed, the entire thing.
[00:18:02.492 --> 00:18:03.833]  So it's a global exclusive.
[00:18:04.474 --> 00:18:19.746]  I want Norm Pattis, because so many people, constitutional lawyer, at the end of this segment to just recap the group meeting with Trump, what Trump's decided, what this means, and come back with Tom Papert hosting from his TV studios in Wichita, Kansas.
[00:18:20.620 --> 00:18:34.548]  To break down the rest of this, and then we've got Ted Nugent coming on to respond and talk about all this later in the next hour on this live, global, Sunday transmission, exclusive information, Trump set to ban interstate commerce.
[00:18:34.568 --> 00:18:38.991]  Oh, and I'm going to say one more thing, ladies and gentlemen, not just interstate commerce, that was a Freudian slip.
[00:18:39.651 --> 00:18:43.993]  Trump set to ban interstate travel, which means it will cripple commerce.
[00:18:44.013 --> 00:18:48.256]  So everybody wanting toilet paper, and everybody wanting that, know what you want.
[00:18:49.403 --> 00:18:49.964]  Yeah, I think so.
[00:19:03.576 --> 00:19:04.997]  To ban firearms.
[00:19:05.277 --> 00:19:06.418]  Oh, I should have led the show with that.
[00:19:06.458 --> 00:19:06.798]  I was.
[00:19:07.278 --> 00:19:16.463]  To ban firearms and to allow the confiscation and to ban the sale of firearms during this martial law police state drill that we're going into.
[00:19:16.483 --> 00:19:18.364]  This is a martial law police state drill.
[00:19:18.704 --> 00:19:21.046]  It's a real virus, but they're hyping it up.
[00:19:21.546 --> 00:19:23.187]  And the tyranny is the greater threat.
[00:19:23.307 --> 00:19:24.908]  This is the 21st century system.
[00:19:26.320 --> 00:19:31.021]  It's how the globalists plan to take control, and I just can't believe that people don't understand.
[00:19:31.121 --> 00:19:39.083]  It's going to be the liquor stores, and it's going to be the pharmacies, people wanting drugs for being sick or for the panic.
[00:19:39.723 --> 00:19:42.424]  It's not going to be the damn toilet paper, ladies and gentlemen.
[00:19:42.804 --> 00:19:46.745]  So everybody better understand that essential services will start breaking down.
[00:19:47.543 --> 00:19:53.467]  This is going to create a huge panic, and you watch, the globalists are going to launch bigger migrant invasions, I'm predicting.
[00:19:53.747 --> 00:20:02.813]  Notice, to coincide with what happened in Europe, Soros and others launched a bigger migrant invasion, and so did Erdogan, out of Turkey.
[00:20:02.873 --> 00:20:05.055]  So, there's going to be other things pop up.
[00:20:05.295 --> 00:20:06.816]  I predict a war is going to start.
[00:20:07.096 --> 00:20:09.938]  I predict new viruses are going to pop up in the next 60 days.
[00:20:10.539 --> 00:20:12.280]  I predict giant migrant floods.
[00:20:13.243 --> 00:20:24.472]  We already know we're on their way, are going to hammer the United States Southwest border during this and the left will say we can't control that border even when you're locked up in your house and can't go down the street.
[00:20:24.532 --> 00:20:30.377]  So everybody better get their orders into Infowars.com right now for the high quality products, the storable food.
[00:20:30.877 --> 00:20:31.317]  I think so.
[00:20:47.948 --> 00:20:53.150]  The next thing they're going to do is try to restrict non-essential travel within cities and towns.
[00:20:53.390 --> 00:20:56.471]  They're going to pick a few cities that are the epicenter first to set the precedent.
[00:20:56.551 --> 00:20:59.972]  I predict that they start locking Seattle down by the middle of next week.
[00:21:00.292 --> 00:21:03.933]  We'll be covering all this as well during the weekday show that is 11 a.m.
[00:21:04.093 --> 00:21:05.133]  to 3 p.m.
[00:21:05.193 --> 00:21:05.813]  Central.
[00:21:05.853 --> 00:21:08.754]  Mike Adams will have Dr. Francis Boyle that authored the U.S.
[00:21:08.794 --> 00:21:11.115]  Biological Weapons Treaty, whose document is being man-made.
[00:21:11.535 --> 00:21:12.175]  He'll be on.
[00:21:12.695 --> 00:21:14.036]  We'll also have Norm Pattis on.
[00:21:14.896 --> 00:21:15.457]  I'll be on.
[00:21:15.717 --> 00:21:17.438]  We'll have so many other great crew.
[00:21:17.478 --> 00:21:20.600]  Don't forget, David Knight is weekday mornings, 8 a.m.
[00:21:20.980 --> 00:21:21.961]  and 11 a.m.
[00:21:22.481 --> 00:21:24.683]  with excellent analysis as well.
[00:21:24.723 --> 00:21:27.024]  And then, of course, Owen Schroyer with the War Room.
[00:21:27.044 --> 00:21:27.805]  Needs no introduction.
[00:21:27.985 --> 00:21:28.525]  3 to 6 p.m.
[00:21:28.565 --> 00:21:28.906]  Central.
[00:21:29.266 --> 00:21:32.788]  Live coverage from the People's Operation at Infowars.com.
[00:21:32.828 --> 00:21:40.914]  Now, Norm, I'm going to let you... I'm going to get off here so you can talk, and so Pepper can recap what you discovered from the White House today, confirmed by my Pentagon sources.
[00:21:41.920 --> 00:21:46.322]  And how huge this is, and the ongoing, imminent announcement, and may Trump back down?
[00:21:46.602 --> 00:21:47.063]  Who knows?
[00:21:47.103 --> 00:21:48.223]  Norm Patus, please take over.
[00:21:48.243 --> 00:21:59.669]  I was in my office on a Sunday afternoon doing what lawyers do for preparing for a week of litigation when I got a call from somebody with connections to the White House.
[00:21:59.769 --> 00:22:08.073]  This was somebody who had heard through members of the Federalist Society that President Trump has apparently made a decision to announce this evening a 30-day, 3-0 day ban on interstate travel.
[00:22:11.508 --> 00:22:19.810]  And this, of course, has the White House legal counsel's office in an uproar because such a move would be unprecedented and probably unlawful in the United States.
[00:22:20.191 --> 00:22:28.913]  So as we speak, there is a debate going on in the White House about whether the president has the lawful authority to impose an interstate travel ban.
[00:22:29.533 --> 00:22:35.195]  This has sent me and lawyers in my office to the law library to figure out if he does, and it's unclear.
[00:22:35.657 --> 00:22:36.078]  I don't think so.
[00:22:50.737 --> 00:22:52.038]  Norm Patterson, Tom Pappard here.
[00:23:05.968 --> 00:23:06.349]  We're good to go.
[00:23:21.568 --> 00:23:22.209]  We're good to go.
[00:23:45.470 --> 00:23:47.552]  That I think is getting people in trouble.
[00:23:47.872 --> 00:23:52.337]  Norm is breaking down what President Trump is about to do, according to all reports.
[00:23:52.977 --> 00:24:00.444]  According to Norm Patterson's sources, Norm Patterson's sources, we are looking at a total ban on interstate travel.
[00:24:00.905 --> 00:24:07.231]  Norm, you were breaking down the legalities of this, and that it is rather unclear whether or not this is something the President could get away with.
[00:24:07.291 --> 00:24:10.494]  But why do you think President Trump thinks this is a good idea?
[00:24:11.618 --> 00:24:15.601]  Apparently, he's late to the game as to the coronavirus.
[00:24:15.701 --> 00:24:18.703]  I mean, you know, I'm in the Northeast, close to New York City.
[00:24:18.743 --> 00:24:25.949]  I hear a lot the hospitals are terrified, medical professionals are bracing themselves for an inability to care for all the people that will become ill.
[00:24:26.309 --> 00:24:37.998]  And the thinking appears to be that if we can slow down interaction between people, increase social distancing, the virus won't take root quite as deeply, quite as quickly, and we'll be able to deal with the most critically ill.
[00:24:38.379 --> 00:24:41.561]  So I think this is a misplaced gesture on Mr. Trump's part.
[00:24:41.601 --> 00:24:42.261]  I mean, I don't know.
[00:24:42.301 --> 00:24:42.781]  I don't know.
[00:24:42.801 --> 00:24:43.221]  I don't know.
[00:24:43.341 --> 00:24:43.762]  I don't know.
[00:25:07.447 --> 00:25:08.267]  We're good.
[00:25:25.749 --> 00:25:31.013]  But I do think that big tech and the emergence of AI creates an unusual world.
[00:25:31.653 --> 00:25:46.724]  In 1776, Adam Smith wrote The Wealth of Nations, and he talked about the power of markets, and he said there's an invisible hand, and that invisible hand allocates resources efficiently, and if we interfere with it, we create inefficiency.
[00:25:47.045 --> 00:25:50.107]  But here's a question that I think AI raised, and that is,
[00:25:50.583 --> 00:26:00.073]  Can an algorithm sufficiently powerful, armed with a vision of human welfare, more efficiently than a market allocate resources?
[00:26:00.414 --> 00:26:04.078]  My hunch is that there are plenty of people, call them globalists, who think that's so.
[00:26:04.478 --> 00:26:06.240]  However, here's the issue.
[00:26:06.721 --> 00:26:08.723]  Somebody has to create the algorithm.
[00:26:09.130 --> 00:26:27.002]  And if it's the 1% or the people sitting in Silicon Valley or if it's Bill Gates and Mark Zuckerberg and people with enormous wealth who secretly control the algorithm deciding who has access and who doesn't, then it's not so much the AI determining what best promotes human happiness
[00:26:27.418 --> 00:26:31.139]  It's AI imposing a particular version of human happiness.
[00:26:31.499 --> 00:26:38.861]  So I think the history of this country has always been that government is regarded with distrust and that we, the people, retain sovereignty.
[00:26:39.181 --> 00:26:46.183]  That's what distinguishes us from China, which has an organic conception of the state, where individuals are subservient cogs in a larger wheel.
[00:26:46.543 --> 00:26:52.204]  It's what distinguishes us from Europe, which really does not have a Bill of Rights with the teeth that ours does.
[00:26:52.584 --> 00:26:55.025]  So I think we're at a constitutional turning point here.
[00:26:55.545 --> 00:27:05.429]  I think that, you know, that talks about suicide by despair and the sense of disentitlement and flyover country that caught the elite by surprise in the 2016 election.
[00:27:05.469 --> 00:27:07.670]  I think it's time for the people to roar back.
[00:27:08.534 --> 00:27:18.603]  I don't know if you have the means to post the number of the White House switchboard, but in my fantasy life, the White House switchboard gets a million calls within the next hour saying, do not suspend interstate travel.
[00:27:18.923 --> 00:27:23.607]  Because if you do that, I'm not going to be able to get materials from interstate travel or the alternative.
[00:27:23.827 --> 00:27:26.289]  The federal government's going to have to license people at the border.
[00:27:26.709 --> 00:27:30.092]  I may not be able to travel to my job across state lines.
[00:27:30.232 --> 00:27:33.495]  I may not be able to visit my family across state lines without a permit.
[00:27:34.235 --> 00:27:39.020]  If you're going to license travel, if you're going to have permits to travel, what do you need to enforce that?
[00:27:39.300 --> 00:27:42.663]  You need an overwhelming show of force at each and every border.
[00:27:42.964 --> 00:27:44.365]  What institution can do that?
[00:27:44.385 --> 00:27:45.887]  You know, I don't know.
