[00:00:13.725 --> 00:00:15.045]  Oh, I'm sorry.
[00:10:22.251 --> 00:10:25.332]  So I called another friend that's in construction.
[00:10:25.332 --> 00:10:27.893]  He says he has four crews.
[00:10:27.893 --> 00:10:31.714]  One of them showed up at eight o'clock this morning.
[00:10:35.555 --> 00:10:44.161]  It doesn't matter that the city law off the federal law says that's critical infrastructure.
[00:10:44.161 --> 00:10:50.125]  The people see the news and they hear do not leave your homes.
[00:10:50.125 --> 00:10:56.810]  Because the media is exaggerating all of this.
[00:10:56.810 --> 00:10:58.611]  Along with Democrat Party operatives.
[00:11:01.505 --> 00:11:06.550]  So that they can have the greatest hysteria possible.
[00:11:06.550 --> 00:11:21.544]  And so Trump being moderate and reasonable sounds like he's extreme saying we should open the country back up in two weeks.
[00:11:21.544 --> 00:11:25.468]  And now when we return.
[00:11:29.867 --> 00:11:41.295]  I'm going to lay out their master plan that it is as clear as a clear blue sky.
[00:11:41.295 --> 00:11:49.461]  Wearing one of these M95 masks, ladies and gentlemen, is torture.
[00:11:49.461 --> 00:11:50.842]  But I'm going to get serious.
[00:11:50.842 --> 00:11:55.946]  Everything I said is very serious, but I'm going to get serious in my wardrobe when we come back.
[00:11:57.984 --> 00:12:02.905]  I'm gonna lay it out very quickly, very succinctly what's going on.
[00:12:02.905 --> 00:12:05.846]  But let me introduce it to you now and I think you already know this.
[00:12:05.846 --> 00:12:11.967]  This is siege, this is psychological warfare with a kernel of truth at the center of it.
[00:12:11.967 --> 00:12:20.109]  A giant power grab and the Democrats and the deep state and the big corporations are not gonna open things when Trump says open them.
[00:12:20.109 --> 00:12:24.910]  It's a corporate globalist strike against the economy and the infrastructure they control.
[00:12:27.185 --> 00:12:31.989]  And now the Democrat governors are announcing, we're not opening for 18 months.
[00:12:31.989 --> 00:12:35.952]  We'll be road warrior, collapse society by then.
[00:12:35.952 --> 00:12:39.675]  So Trump says 14 days, they say 18 months.
[00:12:39.675 --> 00:12:42.458]  And then of course, two or three months, we're done.
[00:12:42.458 --> 00:12:46.201]  And so their plan, as they've said, is to bring down the economy, bring down the president.
[00:12:46.201 --> 00:12:53.027]  And so you are seeing them hold the nation through the corporations, through the states and local governments hostage.
[00:12:54.036 --> 00:12:55.097]  There is a counter-strike.
[00:12:55.097 --> 00:13:11.466]  Judges in Texas, there was one yesterday, now it's more today, have come out and said they are reopening the businesses and that all businesses are essential.
[00:13:11.466 --> 00:13:13.788]  Because it's essential to the economy.
[00:13:13.788 --> 00:13:15.809]  And that this is incredible fear-mongering.
[00:13:15.809 --> 00:13:17.550]  The truth is, there have been a lot of really deadly
[00:13:18.820 --> 00:13:23.145]  pneumonia type virus is going around for a very very long time.
[00:13:23.145 --> 00:13:37.499]  There are hundreds and hundreds of different variants of the current coronavirus and even mainline governments are now coming out saying they've tested and of the current coronavirus there are 40 mutations of the coronavirus and most of them are drifting off and are harmless.
[00:13:39.341 --> 00:13:45.603]  So, coronaviruses are highly contagious, but most of them are harmless.
[00:13:45.603 --> 00:13:50.465]  And again, the ones that become bad, talk to medical doctors about this, virologists, they drift off.
[00:13:50.465 --> 00:13:56.006]  That's why you've got Nobel Prize winning virologists coming out and saying, this is not cause to panic.
[00:13:56.006 --> 00:14:03.509]  But I predicted the panic and said you should get ready and concerned because of the panic and the depression and the move to cancel the election.
[00:14:03.509 --> 00:14:04.889]  That sounded crazy eight weeks ago.
[00:14:04.889 --> 00:14:07.670]  Now that's what they say is currently on track.
[00:14:09.676 --> 00:14:11.077]  Articles up on Infowars.com.
[00:14:11.077 --> 00:14:11.998]  Finally, sanity.
[00:14:11.998 --> 00:14:13.439]  All businesses are essential.
[00:14:13.439 --> 00:14:17.482]  Texas County's stay-at-home order won't close businesses.
[00:14:17.482 --> 00:14:21.425]  Judge says all businesses are essential.
[00:14:21.425 --> 00:14:27.329]  But recommended that movie theaters and, you know, things that are just purely entertainment shut.
[00:14:27.329 --> 00:14:29.891]  And there's no need to risk yourself for entertainment.
[00:14:29.891 --> 00:14:37.717]  But everything else, whether it's a hardware store, whether it's Academy with camping supplies, I mean, you have a depression.
[00:14:39.189 --> 00:14:40.069]  You got a big problem.
[00:14:40.069 --> 00:14:48.891]  In an extensive economy like this, a big expanded economy with just-in-time delivery, you start shutting it down, it's hard to turn it back on.
[00:14:48.891 --> 00:14:53.772]  And that's why Trump said, people will die en masse if we have a depression.
[00:14:53.772 --> 00:14:59.834]  Notice the media didn't touch that, because they don't want to start arguing with Trump about that, because they know how true that is.
[00:14:59.834 --> 00:15:00.814]  So that clip's important.
[00:15:00.814 --> 00:15:01.874]  We'll play that again when we come back.
[00:15:01.874 --> 00:15:04.955]  We've got so much more to get into, but I'm going to lay this out today.
[00:15:06.940 --> 00:15:09.548]  The Democrats are announcing the plan.
[00:15:10.529 --> 00:15:15.871]  To hold America hostage, and they're going to work with the corporations to do it, but China is open for business.
[00:15:15.871 --> 00:15:37.479]  This is as clear as the nose on somebody's face that they're using a real virus that they hype up and exaggerate the death rates from, to panic everyone and have corporations set the precedent, then governors set the precedent, and Democrat cities set the precedent, in a partisan move to shut things down, have their own political fever, as they've called it, or their own chemotherapy, their own radiation, to get rid of the cancer that's Donald Trump.
[00:15:38.646 --> 00:15:43.549]  And that's what they're doing right now, is showing you by bankrupting you that they're the boss.
[00:15:43.549 --> 00:15:45.531]  And they think they can blame this on Trump.
[00:15:45.531 --> 00:15:48.092]  The key is blaming it on them and the Chi-Coms.
[00:15:48.092 --> 00:15:52.495]  Then it will blow up in their dirty, stinking faces, like everything else they've tried, and they'll back off.
[00:15:52.495 --> 00:15:53.856]  But they'll launch something new!
[00:15:53.856 --> 00:15:57.419]  We should start asking, after this hoax is over, what will the new hoax be?
[00:15:58.971 --> 00:16:00.231]  Maybe not today.
[00:16:00.231 --> 00:16:01.532]  Maybe not tomorrow.
[00:16:01.532 --> 00:16:05.253]  But soon, you'll need a plan and place to survive.
[00:16:05.253 --> 00:16:06.333]  Forget bunkers.
[00:16:06.333 --> 00:16:08.173]  You're not a live underground gopher.
[00:16:08.173 --> 00:16:09.874]  You need Survivalist Camps.
[00:16:09.874 --> 00:16:17.676]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[00:16:17.676 --> 00:16:18.676]  Bold statement?
[00:16:18.676 --> 00:16:19.676]  You bet.
[00:16:19.676 --> 00:16:22.157]  See them now at survivalistcamps.com.
[00:16:22.157 --> 00:16:24.377]  That's survivalistcamps.com.
[00:16:24.377 --> 00:16:27.518]  Trust your family's survival to survivalistcamps.com.
[00:16:28.527 --> 00:16:34.657]  Get healthy, not high with 100% pure CBD, powerful natural pain relief from Veterans Vitality.
[00:16:34.657 --> 00:16:38.443]  GCN listeners, have you ever thought about how CBD may help you?
[00:16:38.443 --> 00:16:41.067]  I'm sure you've heard about the many benefits of CBD.
[00:16:41.067 --> 00:16:43.531]  Well, here's your opportunity to try before you buy.
[00:16:43.851 --> 00:16:44.531]  We're good to go.
[00:16:44.531 --> 00:16:45.372]  We're good to go.
[00:16:45.372 --> 00:16:45.852]  We're good to go.
[00:17:06.121 --> 00:17:08.282]  Our products do not contain THC.
[00:17:08.282 --> 00:17:11.763]  They are safe, non-addictive, effective, and 100% legal.
[00:17:11.763 --> 00:17:19.385]  GCN listeners, get your free trial bottle of premium CBD by simply paying shipping and handling at GCNFreeCBD.com.
[00:17:19.385 --> 00:17:21.866]  That's GCNFreeCBD.com.
[00:17:21.866 --> 00:17:24.487]  Again, GCNFreeCBD.com.
[00:17:24.487 --> 00:17:26.688]  Offered by Veterans Vitality Premium CBD.
[00:17:28.157 --> 00:17:30.038]  Fully cooked, ready to eat bacon.
[00:17:30.038 --> 00:17:33.259]  I'm talking thick, meaty, center cut, presidential bacon.
[00:17:33.259 --> 00:17:34.859]  Savory and delicious.
[00:17:34.859 --> 00:17:37.700]  I buy some, I use some, I store some.
[00:17:37.700 --> 00:17:38.360]  Awesome.
[00:17:38.360 --> 00:17:41.441]  No refrigeration needed with a 10 year shelf life.
[00:17:41.441 --> 00:17:43.002]  NASA PAC Technology.
[00:17:43.002 --> 00:17:43.642]  Bacon.
[00:17:43.642 --> 00:17:47.784]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[00:17:47.784 --> 00:17:49.224]  Or warm and served.
[00:17:49.224 --> 00:17:51.265]  Life saving, ready to eat bacon.
[00:17:51.265 --> 00:17:53.225]  10 year shelf life bacon.
[00:17:53.225 --> 00:17:55.986]  Ships free at fullycookedbacon.com.
[00:17:55.986 --> 00:17:57.227]  Fullycookedbacon.com.
[00:17:59.633 --> 00:18:20.365]  For more than four days, the Democratic Party and their willing accomplices in the establishment media have been fighting to keep President Trump from being able to pass emergency funding through Congress to get money to the American people who've lost their jobs and to get money to the emergency first responders for basic medical equipment, respirators, you name it.
[00:18:20.825 --> 00:18:31.009]  We've seen all these Democrat leaders, governors, mayors come out and say Trump hasn't lifted a finger while they're actually trying to tie him down in a straitjacket of lies.
[00:18:31.009 --> 00:18:32.949]  It is next level.
[00:18:32.949 --> 00:18:37.071]  I never thought they would go this far and be this criminal publicly.
[00:18:37.071 --> 00:18:39.391]  Yes, they hoped the virus would plunge the economy.
[00:18:39.391 --> 00:18:40.992]  Yes, they hyped it all up.
[00:18:40.992 --> 00:18:42.773]  Yes, they're rooting against America.
[00:18:42.773 --> 00:18:44.273]  But now this.
[00:18:44.273 --> 00:18:46.634]  These people have gone completely insane.
[00:18:47.094 --> 00:18:51.957]  You have to look really hard at mainstream television news and print media and mainstream establishment media news sites to find it.
[00:19:10.094 --> 00:19:13.695]  I did extensive searches online with different search engines.
[00:19:13.695 --> 00:19:24.699]  I did a bunch of research looking at different TV archives and I couldn't find hardly anything except a couple local news stories with medical doctors on there talking about zinc.
[00:19:25.339 --> 00:19:26.200]  Zinc.
[00:19:26.200 --> 00:19:27.041]  Zinc.
[00:19:27.041 --> 00:19:31.865]  The element on the periodic table that is essential to life.
[00:19:31.865 --> 00:19:45.638]  And that is the most anti-viral natural compound out there in thousands and thousands of studies by the most prestigious universities, including big studies on the coronavirus family.
[00:19:46.318 --> 00:19:48.019]  So, do yourself a favor.
[00:19:48.019 --> 00:19:52.202]  Search engine, zinc and antiviral.
[00:19:52.202 --> 00:19:52.903]  Three words.
[00:19:52.903 --> 00:19:55.044]  Zinc, antiviral.
[00:19:55.044 --> 00:19:56.485]  Zinc, antiviral.
[00:19:56.485 --> 00:19:57.486]  Do yourself a favor.
[00:19:57.486 --> 00:20:02.670]  Zinc, antiviral.
[00:20:02.670 --> 00:20:05.892]  You're listening to the Alex Jones Show.
[00:20:18.285 --> 00:20:30.175]  Crashing through the lies and disinformation, it's Alex Jones.
[00:20:30.175 --> 00:20:32.797]  We are definitely in the danger zone.
[00:20:32.797 --> 00:20:38.722]  Thank you so much for joining us on this live Wednesday, March 25th, 2020 transmission.
[00:20:38.722 --> 00:20:41.244]  So, I'm your host Alex Jones.
[00:20:42.284 --> 00:20:48.450]  Here is what's going on, and it's the title of the page we posted on Infowars.com today.
[00:20:48.450 --> 00:20:50.492]  I'm going to put that up on screen.
[00:20:50.492 --> 00:21:06.287]  Democrats and the deep state, along with the media, the chi-coms, their willing accomplices, are openly holding the states, the cities, the counties, the businesses, the industries that they control hostage.
[00:21:08.630 --> 00:21:12.551]  And saying, we don't care what Trump says about two weeks.
[00:21:12.551 --> 00:21:14.171]  We're going to look at reopening things.
[00:21:14.171 --> 00:21:20.453]  We don't care what it does to the economy.
[00:21:20.453 --> 00:21:22.293]  I'll show you on my phone the article.
[00:21:22.293 --> 00:21:24.674]  We don't, we don't care.
[00:21:24.674 --> 00:21:26.834]  We don't care.
[00:21:26.834 --> 00:21:34.976]  We're going to keep it all shut down.
[00:21:34.976 --> 00:21:35.776]  Now think about that.
[00:21:37.944 --> 00:21:38.905]  Very important article.
[00:21:38.905 --> 00:21:39.825]  Document cam shot, please.
[00:21:39.825 --> 00:21:41.266]  I'll show you here.
[00:21:41.266 --> 00:21:47.108]  Breaking dim governors to hold states hostage in coronavirus lockdown.
[00:21:47.108 --> 00:21:53.992]  This allows the deep state to hold the people and the economy hostage, triggering a depression and civil unrest, driving Trump from office.
[00:21:53.992 --> 00:21:56.473]  That's their plan.
[00:22:00.581 --> 00:22:04.043]  And you're witnessing it in your face right now.
[00:22:04.043 --> 00:22:11.346]  How they said we want a depression to drive Trump from office and to teach him and other nationalists that if your country pulls out of the New World Order, we will give you a depression.
[00:22:11.346 --> 00:22:13.567]  They tried the same thing with Brexit.
[00:22:13.567 --> 00:22:16.229]  But the Brits only got madder and stood up.
[00:22:16.229 --> 00:22:21.952]  Along with the Irish and the Scots and the rest of them.
[00:22:21.952 --> 00:22:23.993]  And now they're doing it again here.
[00:22:23.993 --> 00:22:26.514]  Saying we love coronavirus, we hope it brings down Trump.
[00:22:27.759 --> 00:22:30.521]  They tried to block the emergency spending package.
[00:22:30.521 --> 00:22:36.444]  They tried to add 60-plus social justice warrior, extra funding to castrate eight-year-old boys.
[00:22:36.444 --> 00:22:40.606]  I mean, just stuff out of a LSD hallucination.
[00:22:40.606 --> 00:22:45.729]  Democrats and Schumer surrender on Senate coronavirus stimulus bill.
[00:22:45.729 --> 00:22:48.611]  It's being reported.
[00:22:48.611 --> 00:22:56.716]  And the Dems go on and announce that Dem governors buck Trump announced plan
[00:22:58.223 --> 00:23:03.327]  To refuse to reopen in two weeks.
[00:23:03.327 --> 00:23:08.692]  That's the Associated Press headline.
[00:23:08.692 --> 00:23:11.915]  So think about that.
[00:23:11.915 --> 00:23:17.880]  They're going to keep things shut and the number that you see everywhere
[00:23:19.753 --> 00:23:29.556]  That you see from the UN, you see from the Council on Foreign Relations, you hear from the Democrats, you hear from insurance companies, that you hear from operatives on national television is 18 months!
[00:23:29.556 --> 00:23:30.897]  Now they'll never do it that long.
[00:23:30.897 --> 00:23:34.998]  Two or three months, the depression is absolutely certain.
[00:23:34.998 --> 00:23:37.399]  And the breakdown of the economy is going to take years to recover from.
[00:23:38.609 --> 00:23:55.237]  But if they can hold the line and make it look like Trump's being reckless, every death that comes from the coronavirus, or that is given complications from the coronavirus, by the elderly or anybody else, will then be attributed by perception management.
[00:23:55.237 --> 00:24:02.581]  Just like we've seen them do over and over again with less than 100 deaths in mass shootings in schools.
[00:24:02.581 --> 00:24:05.923]  But you'd think they're happening every day, and you'd think all gun owners are to blame.
[00:24:07.884 --> 00:24:13.952]  And so we have to ask ourselves now, what are we going to do to get ahead of this?
[00:24:13.952 --> 00:24:17.256]  And to expose this to understand that this is the attack.
[00:24:17.256 --> 00:24:18.558]  This is the operation.
[00:24:18.558 --> 00:24:19.639]  The CHICOM's hyped it.
[00:24:21.035 --> 00:24:24.378]  They made sure with the Democrats that the people could get in from China.
[00:24:24.378 --> 00:24:25.439]  China incubated it.
[00:24:25.439 --> 00:24:27.501]  They came here as a national mission.
[00:24:27.501 --> 00:24:31.144]  Now the Chinese are evacuating the United States.
[00:24:31.144 --> 00:24:35.629]  That is in the French news agency and Reuters today.
[00:24:35.629 --> 00:24:39.012]  Chinese students fleeing virus hit U.S.
[00:24:39.012 --> 00:24:42.095]  Pay $20,000 for seats on private jets.
[00:24:44.707 --> 00:24:49.488]  And right before the breakout happened, three months ago, there were Chinese everywhere.
[00:24:49.488 --> 00:24:53.210]  I haven't said on air, I said, I don't know why there's Chinese suddenly everywhere.
[00:24:53.210 --> 00:24:59.592]  In every part of Austin, very wealthy, getting in very fancy cars, wearing, you know, very expensive watches, carrying $10,000 handbags.
[00:25:01.372 --> 00:25:04.173]  And it was a bioweapon pilgrimage.
[00:25:04.173 --> 00:25:05.894]  They weren't running from it.
[00:25:05.894 --> 00:25:07.635]  It was their mission to bring it here.
[00:25:07.635 --> 00:25:09.976]  And the CDC lied to Trump and said there was no problem.
[00:25:09.976 --> 00:25:11.496]  They brought as many as they could here.
[00:25:11.496 --> 00:25:13.477]  They distributed people with coronavirus out.
[00:25:13.477 --> 00:25:18.319]  When Trump, eight weeks ago, tried to block Chinese flights, the media erupted.
[00:25:18.319 --> 00:25:19.239]  It's xenophobic.
[00:25:19.239 --> 00:25:20.100]  It's evil.
[00:25:20.100 --> 00:25:25.382]  And now, six to eight weeks later, it's all Trump's fault and it's not the Chinese virus.
[00:25:26.638 --> 00:25:28.440]  It's not the Wuhan virus.
[00:25:28.440 --> 00:25:30.381]  It's the Trump problem.
[00:25:30.381 --> 00:25:37.367]  And we've got to stay shut for 18 months, but Communist China is already ramping up production and back to business.
[00:25:37.367 --> 00:25:39.969]  Think about that.
[00:25:39.969 --> 00:25:41.110]  They get to shut things down.
[00:25:41.110 --> 00:25:42.391]  They get to shut the cities down.
[00:25:42.391 --> 00:25:43.552]  They get to shut the counties down.
[00:25:43.552 --> 00:25:45.253]  They get to shut the buildings down.
[00:25:45.253 --> 00:25:47.975]  Oh, and it gets worse.
[00:25:47.975 --> 00:25:48.616]  It gets worse.
[00:25:48.616 --> 00:25:53.560]  Our top story tying into how the Democrats announced plan
[00:25:56.434 --> 00:26:05.357]  To hold the states and cities they control hostage until they are able to drive Trump from office.
[00:26:05.357 --> 00:26:14.160]  Tying into that now, in Michigan, and in California, and in New York, and in Virginia.
[00:26:14.160 --> 00:26:18.322]  Everywhere they control, COVID alert!
[00:26:18.322 --> 00:26:23.183]  Feds abolished Second Amendment by proxy in 2007.
[00:26:23.183 --> 00:26:24.524]  Now it's being put into action
[00:26:26.124 --> 00:26:34.299]  And I have the stacks of articles right here in front of me where Virginia governor announces
[00:26:35.782 --> 00:26:35.942]  That's
[00:27:06.662 --> 00:27:14.407]  That your right to self-defense is not an essential service or business.
[00:27:14.407 --> 00:27:18.309]  That's how the bureaucracy operates.
[00:27:18.309 --> 00:27:22.991]  That's how police state mission creep power grabs happen.
[00:27:22.991 --> 00:27:24.292]  And that's what's unfolding.
[00:27:25.128 --> 00:27:39.825]  When we come back, Chi Com cites CNN, NBC, Hillary Clinton in propaganda claiming term Chinese virus racist and now China is blaming Trump and blaming America and using Hillary and Democrat statements against us.
