[00:00:06.159 --> 00:00:06.820]  She just died?
[00:02:45.940 --> 00:02:47.460]  Aren't you forgetting the ruby slippers?
[00:02:47.960 --> 00:02:48.360]  Slippers?
[00:02:49.040 --> 00:02:49.340]  Yes.
[00:02:50.340 --> 00:02:51.021]  The slippers.
[00:02:51.401 --> 00:02:59.062]  Oh, you don't get that Supreme Court job.
[00:02:59.082 --> 00:02:59.562]  They're gone.
[00:03:00.302 --> 00:03:01.023]  The ruby slippers.
[00:03:01.383 --> 00:03:02.243]  What have you done with them?
[00:03:02.263 --> 00:03:03.983]  Why, they've nominated Michelle Obama.
[00:03:04.483 --> 00:03:05.003]  It's too late.
[00:03:05.303 --> 00:03:07.004]  There they are, and there they'll stay.
[00:03:11.578 --> 00:03:13.143]  Give me back my slippers!
[00:03:13.544 --> 00:03:14.967]  I'm the only one that knows how to use them!
[00:03:15.148 --> 00:03:15.950]  They're no use to you!
[00:03:16.621 --> 00:03:17.441]  Give them back to me!
[00:03:17.821 --> 00:03:18.602]  Give them back!
[00:03:18.722 --> 00:03:20.162]  Give them back to Jeffrey Epstein!
[00:03:20.182 --> 00:03:23.243]  Your magic must be very powerful, or she wouldn't want them so badly.
[00:03:23.343 --> 00:03:25.864]  You stay out of this, Glinda, or I'll fix you as well!
[00:03:26.644 --> 00:03:27.164]  Rubbish!
[00:03:27.184 --> 00:03:28.484]  You have no power here!
[00:03:28.504 --> 00:03:31.245]  Be gone, before somebody drops the house on you, too!
[00:03:31.625 --> 00:03:32.165]  Very well.
[00:03:32.725 --> 00:03:34.126]  I'll bide my time.
[00:03:34.686 --> 00:03:38.687]  And as for you, my fine lady, it's true, I can't attend you here an hour.
[00:03:38.727 --> 00:03:40.788]  You know, Infowars was the house in 2016.
[00:03:41.848 --> 00:03:42.608]  Just try!
[00:03:43.108 --> 00:03:45.969]  I'll get you, my pretty, and your little dog,
[00:03:50.194 --> 00:03:52.461]  We've got your children in schools right now under lockdown.
[00:03:52.883 --> 00:03:54.267]  You'll take our shot soon enough.
[00:03:58.442 --> 00:03:58.882]  The year is 2020.
[00:04:00.683 --> 00:04:19.927]  Following several decades of systematically weakening the social, moral, and financial resilience of the American people, the global cabal has launched a series of unimaginable terrors that have rocked the foundation of Western civilization and has fractured the population of a once united country along increasingly irreconcilable lines.
[00:04:20.467 --> 00:04:31.054]  The nation finds herself on the precipice of all-out civil war, diving headlong towards economic ruin, and already suffocating under the dictatorship of biotechnocratic enslavement.
[00:04:32.234 --> 00:04:34.376]  The final takedown order has been issued.
[00:04:34.676 --> 00:04:35.997]  The direct attack has begun.
[00:04:37.159 --> 00:04:41.203]  America's greatest trial, and the battle for her survival, is underway.
[00:04:41.983 --> 00:04:47.488]  InfoWars Emergency Transmissions are now broadcasting live weeknights 7 to 9 p.m.
[00:04:47.568 --> 00:04:48.749]  Central Standard Time.
[00:04:49.069 --> 00:04:54.474]  Election Countdown, Taking America Back on Band.Video and InfoWars.com.
[00:04:54.714 --> 00:04:57.777]  If you are receiving this transmission, you are the resistance.
[00:05:16.475 --> 00:05:17.315]  We are live!
[00:05:18.276 --> 00:05:22.476]  It is 2.05 Central Standard Time.
[00:05:23.156 --> 00:05:25.277]  This is the 2020 election countdown.
[00:05:26.137 --> 00:05:30.178]  Coming to you from the new capital of the United States, Central Texas.
[00:05:32.684 --> 00:05:33.804]  As I told you many years ago.
[00:05:38.006 --> 00:05:42.607]  We are in control of the republic, not the globalists.
[00:05:42.767 --> 00:05:51.890]  And that's why they're taking their sweet time being pulled like face suckers out of the swamp.
[00:05:53.730 --> 00:05:55.051]  But the globalists will be defeated.
[00:05:55.950 --> 00:05:59.051]  Their authoritarian nightmare anti-human plan has been exposed.
[00:05:59.751 --> 00:06:02.952]  Their plan of race-baiting and social and cultural division has been exposed.
[00:06:03.292 --> 00:06:03.992]  And they're going down.
[00:06:04.012 --> 00:06:04.432]  Okay.
[00:06:05.393 --> 00:06:06.133]  Enough hyperbole.
[00:06:06.153 --> 00:06:07.033]  Let's get right into it.
[00:06:07.093 --> 00:06:07.873]  Why are you tuned in today?
[00:06:09.073 --> 00:06:13.135]  Obviously, 44 days out from the election, you can cut the suspense with a knife.
[00:06:13.475 --> 00:06:13.815]  The year is 2020.
[00:06:15.672 --> 00:06:16.793]  It is not disappointing.
[00:06:16.993 --> 00:06:18.193]  It has been amazing.
[00:06:18.273 --> 00:06:19.174]  It has been horrible.
[00:06:19.574 --> 00:06:20.614]  It has been exhilarating.
[00:06:20.714 --> 00:06:21.835]  It has been infuriating.
[00:06:22.235 --> 00:06:23.475]  It has been nauseating.
[00:06:23.575 --> 00:06:24.776]  It has been painstaking.
[00:06:25.376 --> 00:06:27.377]  It has been piercing.
[00:06:29.538 --> 00:06:32.179]  And let me just give you a little newsflash, and I think you don't need me to tell you this.
[00:06:33.080 --> 00:06:34.400]  You tune in because you already know this.
[00:06:34.420 --> 00:06:35.100]  It's already in your gut.
[00:06:35.120 --> 00:06:35.921]  That's why we resonate.
[00:06:36.401 --> 00:06:39.102]  You just tune in for the validation you already know is real.
[00:06:39.402 --> 00:06:39.942]  The kinship.
[00:06:41.423 --> 00:06:43.224]  It's not going to get any better next year.
[00:06:46.678 --> 00:06:48.619]  It's only going to get crazier from here on out.
[00:06:49.499 --> 00:06:51.560]  So, just get ready for that.
[00:06:52.921 --> 00:06:54.102]  We talk about the hot seat, folks.
[00:06:55.122 --> 00:06:59.664]  I go marching around with a crew in like 100 degree temperature and I'm hardly sweating and they're like, you're not even sweating.
[00:07:00.405 --> 00:07:02.786]  But you're in air conditioning at 69 degrees, you're sweating.
[00:07:03.968 --> 00:07:12.412]  Because as soon as I get on air and there's hundreds of thousands of people tuned into these special shows, millions tuned in on the regular shows, that is a zeitgeist.
[00:07:12.452 --> 00:07:13.593]  That's a spiritual connection.
[00:07:13.653 --> 00:07:17.195]  I start sweating because this is big stuff.
[00:07:18.515 --> 00:07:25.199]  I like sweating when you're in the delivery room and it's 67 degrees in there, but you're sweating because it's big.
[00:07:26.099 --> 00:07:27.260]  A new life's coming into the world.
[00:07:29.258 --> 00:07:40.062]  Well, new lives are coming to the world every day, and these evil globalist forces are trying to stop it, and trying to kill it, and there's an assault on our species, but our species has a sixth sense, a spiritual understanding.
[00:07:41.583 --> 00:07:53.007]  And even if we're consciously diverted by Netflix, or paying our bills, or taking care of the kids, or whatever, our gut, our spirit is on fire saying, danger, danger, danger!
[00:07:54.828 --> 00:07:55.608]  Will Robinson.
[00:07:57.403 --> 00:08:00.425]  And so right as we went live, sweat.
[00:08:03.568 --> 00:08:05.669]  Because this is big medicine.
[00:08:06.330 --> 00:08:07.390]  This is big kahuna.
[00:08:08.211 --> 00:08:16.077]  This is all our ancestors fighting to have resistance right at this point, to have us make it past this point where Satan is trying to exterminate our species.
[00:08:17.217 --> 00:08:23.082]  And our ancestors are counting on us right now, and our very cells are demanding we kick some ass.
[00:08:27.534 --> 00:08:30.637]  As soon as I go on air, all my old aches and pains go away.
[00:08:30.657 --> 00:08:32.939]  All of a sudden, my muscles feel younger.
[00:08:32.979 --> 00:08:33.899]  I feel all loose.
[00:08:34.500 --> 00:08:36.101]  Because it's a war, people.
[00:08:36.682 --> 00:08:37.663]  You're in the fight now.
[00:08:38.403 --> 00:08:40.305]  And if you're not having that feeling, something's wrong with you.
[00:08:41.406 --> 00:08:42.286]  I can feel it, can't you?
[00:08:44.328 --> 00:08:47.170]  And I can feel the enemy's lust to destroy us, and they will not.
[00:08:48.291 --> 00:08:49.412]  Now, let's get into it.
[00:08:50.353 --> 00:08:55.798]  We've got constitutional lawyer Norm Pattis popping in at the bottom of the hour to give his take on what's coming.
[00:08:57.264 --> 00:09:04.266]  Bob Barnes is going to be joining us, constitutional lawyer as well.
[00:09:06.146 --> 00:09:11.728]  And Ali Alexander, really smart political analyst and newspaper publisher.
[00:09:11.768 --> 00:09:15.609]  So he'll be coming on with us as well, coming up.
[00:09:15.689 --> 00:09:17.089]  So let me just tell you what's on the table.
[00:09:17.749 --> 00:09:20.410]  Obviously, please remember, this is not a spectator.
[00:09:21.556 --> 00:09:24.557]  Sport, this is in the field, this is on the ground, in the arena.
[00:09:25.237 --> 00:09:36.541]  As Teddy Roosevelt said, so for my future, for your future, for all our collective futures, and for evil not having its way with us and not breaking our will, take the live feed from Band.Video, InfoWars.com.
[00:09:37.041 --> 00:09:40.143]  Here's the name of the feed today at NewsWars.com.
[00:09:40.183 --> 00:09:42.263]  That's still an easier URL to share and not be blocked.
[00:09:43.064 --> 00:09:44.564]  Emergency Saturday News Briefing.
[00:09:46.125 --> 00:09:46.525]  RBG.
[00:09:49.275 --> 00:09:49.915]  And boy, is that not
[00:10:19.127 --> 00:10:19.487]  The truth.
[00:10:21.949 --> 00:10:25.992]  So let's get into it right now.
[00:10:26.072 --> 00:10:28.394]  Here are the quadrants of news that I'm about to break down.
[00:10:32.016 --> 00:10:43.605]  You have all these different journalists, all these mainline liberals, all the normal Hollywood trash in several articles on InfoWars with their own tweets and statements, threatening to burn the entire effing country down.
[00:10:44.824 --> 00:10:50.547]  Threatening to kill people, you name it, if they don't wait until after the election to nominate someone.
[00:10:52.969 --> 00:10:55.250]  And that ties in to this stack of news.
[00:10:56.211 --> 00:10:57.411]  Operation Overthrow.
[00:10:57.451 --> 00:10:59.012]  That's the San Francisco Chronicles headline.
[00:10:59.032 --> 00:10:59.753]  That's what it's called.
[00:11:00.173 --> 00:11:07.877]  George Soros funded transition integrity project has planned to place to remove Trump from office, whether he wins or not.
[00:11:07.897 --> 00:11:14.121]  And there's a bunch of other
[00:11:15.748 --> 00:11:16.268]  Breakdowns.
[00:11:18.189 --> 00:11:21.670]  That's actually the SGT report, but I saw it in the San Francisco Chronicle somewhere.
[00:11:21.690 --> 00:11:23.251]  I don't know, that's how I mixed the two together.
[00:11:23.691 --> 00:11:24.231]  Now, here's one.
[00:11:24.271 --> 00:11:25.091]  This is out of the New York Times.
[00:11:25.992 --> 00:11:33.615]  George Soros Foundation pours $220 million into racial equity push funding Black Lives Matter.
[00:11:33.955 --> 00:11:42.438]  And the reason all that is important is when Newt Gingrich talked about it this week on a Fox show,
[00:11:44.531 --> 00:11:52.673]  With the McNamara lady, they shut him down and said, you can't talk bad about George Soros, even though he's in the news funding all of this.
[00:11:53.773 --> 00:11:55.013]  Absolutely incredible.
[00:11:57.174 --> 00:11:58.074]  So that's coming up.
[00:11:58.214 --> 00:12:01.595]  And the big question is, what are they going to do?
[00:12:01.655 --> 00:12:12.337]  You know, Mitch McConnell obviously had a duty to not, when Scalia died, let the Democrats get their person in.
[00:12:14.121 --> 00:12:20.066]  They were elected and the Republicans won the Senate to block them replacing any members of the Supreme Court.
[00:12:20.787 --> 00:12:30.696]  So that's apples and oranges from the time, saying we should wait until the election to determine what the people want because the people had just voted to put the Republicans into the Senate.
[00:12:33.146 --> 00:12:36.888]  And the Democrats are a party that wants to end the very existence of the country.
[00:12:37.228 --> 00:12:41.390]  So they're trying to act like it's bad that Mitch McConnell and Trump have done the right thing.
[00:12:41.930 --> 00:12:42.671]  That's a no-brainer.
[00:12:42.731 --> 00:12:44.072]  You know they would do that in a minute.
[00:12:45.352 --> 00:12:46.033]  But here's the key.
[00:12:46.093 --> 00:12:58.759]  What did RBG, Ruth Bader Ginsburg, dying words, if you believe it, in her most fervent wish, quote, my most fervent wish is that I not be replaced until a new president is installed.
[00:13:00.657 --> 00:13:02.118]  Guys, give me the definition of installed.
[00:13:02.439 --> 00:13:04.361]  Installed means put in place.
[00:13:04.381 --> 00:13:05.702]  You install a puppet.
[00:13:06.683 --> 00:13:13.149]  Installed is the term they use of installing a new dictator or installing a viceroy when a king puts in a puppet.
[00:13:14.591 --> 00:13:16.392]  Presidents are not installed.
[00:13:18.514 --> 00:13:20.917]  When Kim Jong Il died,
[00:13:22.591 --> 00:13:25.772]  He installed his son, Kim Jong-un.
[00:13:26.013 --> 00:13:27.813]  And in fact, guys, type that in and click web.
[00:13:28.674 --> 00:13:32.615]  Type in Kim Jong-un installed after death of father.
[00:13:33.696 --> 00:13:34.316]  Install.
[00:13:39.178 --> 00:13:39.558]  Place.
[00:13:42.600 --> 00:13:43.200]  Or fix.
[00:13:43.880 --> 00:13:45.001]  Equivalent of machinery.
[00:13:46.201 --> 00:13:47.682]  In position ready for use.
[00:13:48.302 --> 00:13:50.743]  We're planning to install a new shower.
[00:13:50.823 --> 00:13:51.644]  Means it's a slave.
[00:13:52.608 --> 00:13:56.130]  Place someone in a new position of authority, especially with ceremony.
[00:13:57.031 --> 00:14:00.833]  He was installed as music director at the Cathedral of St.
[00:14:01.533 --> 00:14:03.094]  Barbara in Krakow.
[00:14:04.615 --> 00:14:09.138]  But let's type in Kim Jong-un installed after her father's death.
[00:14:10.058 --> 00:14:11.159]  Because they didn't have an election.
[00:14:12.160 --> 00:14:15.301]  He was installed, whatever it was 12 years ago.
[00:14:18.083 --> 00:14:20.885]  Kim Jong-un installed as North Korean Supreme Leader.
[00:14:22.159 --> 00:14:22.960]  BBC!
[00:14:22.980 --> 00:14:26.582]  Let's see if my memory just off the top of my brain was right.
[00:14:26.602 --> 00:14:27.943]  How many years ago was he installed?
[00:14:35.988 --> 00:14:37.189]  Wow, so that was nine years ago.
[00:14:37.889 --> 00:14:38.590]  Time just flies.
[00:14:38.630 --> 00:14:39.310]  I felt like longer.
[00:14:39.731 --> 00:14:40.951]  So my brain was not correct.
[00:14:42.212 --> 00:14:43.153]  Nine and a half years ago.
[00:14:43.673 --> 00:14:44.274]  Installed!
[00:14:44.494 --> 00:14:45.094]  Installed!
[00:14:45.314 --> 00:14:45.855]  Installed!
[00:14:46.175 --> 00:14:46.755]  Installed!
[00:14:46.935 --> 00:14:47.516]  Installed!
[00:14:47.816 --> 00:14:48.356]  Installed!
[00:14:48.656 --> 00:14:49.177]  Installed!
[00:14:51.411 --> 00:14:52.132]  RBGs.
[00:14:52.492 --> 00:14:53.332]  Dying words.
[00:14:54.633 --> 00:15:00.057]  My most fervent wish is that I not be replaced until a new president is installed.
[00:15:00.077 --> 00:15:06.902]  Can we show the scene where the Emperor Skeksis dies and the new one is installed?
[00:15:06.922 --> 00:15:07.162]  Can we?
[00:15:08.463 --> 00:15:10.925]  So presidents are not installed.
[00:15:11.426 --> 00:15:12.366]  And she's a lawyer.
[00:15:13.007 --> 00:15:14.508]  She's involved at the federal level.
[00:15:14.928 --> 00:15:15.609]  She knows that.
[00:15:15.709 --> 00:15:20.012]  So whoever wrote this is letting you know we're going to install a new president.
[00:15:20.623 --> 00:15:26.270]  Because if Trump gets re-elected, he wouldn't be a new president.
[00:15:27.992 --> 00:15:39.205]  So she's saying, we're not going to concede anything until we install who we want, and then they will nominate who they want, and then they will put them in.
[00:15:41.317 --> 00:15:42.518]  So, this is actual footage.
[00:15:42.558 --> 00:15:43.739]  Let's go to the audio, please.
[00:15:44.440 --> 00:15:46.761]  So, presidents are not installed.
[00:15:47.482 --> 00:15:48.343]  She's a lawyer.
[00:15:48.363 --> 00:15:50.484]  She's involved with the federal government.
[00:15:50.925 --> 00:15:51.545]  She knows that.
[00:15:51.565 --> 00:15:58.030]  So, whoever wrote this is letting you know, we're going to install a new president.
[00:16:00.613 --> 00:16:02.174]  It wouldn't be a new president.
[00:16:03.895 --> 00:16:05.957]  This is actual footage of Ruth Bader Ginsburg.
[00:16:08.416 --> 00:16:11.177]  I don't know how it's looping me back in my ear, but it's kind of cool.
[00:16:12.438 --> 00:16:15.280]  It's like 30 seconds behind me, but kind of interesting.
[00:16:15.300 --> 00:16:21.063]  Oh, there's Ruth Bader Ginsburg on her deathbed, and this is an actual video of her being installed in the Supreme Court.
[00:16:22.923 --> 00:16:27.926]  My most fervent wish is that I not be replaced until a new president is installed.
[00:16:33.529 --> 00:16:36.611]  Now, they're saying they may nominate Michelle, even though she's not a lawyer.
[00:16:36.751 --> 00:16:37.291]  That's Big Mike.
[00:16:41.735 --> 00:16:42.715]  She's a beautiful woman.
[00:16:53.278 --> 00:17:03.120]  Chuckie Schumer's the one that goes... Alright, that was actual footage of her dying yesterday in the afternoon.
[00:17:03.140 --> 00:17:10.122]  And again, I want to be reverent like they are with the babies they keep alive and then sell their organs and their blood and their skin.
[00:17:11.229 --> 00:17:15.151]  That she said that she would rule that you can keep babies alive and sell their organs.
[00:17:15.591 --> 00:17:20.373]  And a bunch of Democrat states have, like Virginia and New York, have passed laws to keep babies alive.
[00:17:20.834 --> 00:17:24.976]  So, you know, we don't want to be irreverent with babies, and we don't want to be irreverent with her.
[00:17:25.256 --> 00:17:38.042]  I mean, oh, there's all these glowing articles about how powerful she is, and how amazing she is, and just how gracious she is, and just what an incredible person she is.
[00:17:42.116 --> 00:17:44.597]  I tell you though, she was a beautiful woman until the day she died.
[00:17:44.617 --> 00:17:46.297]  Alright, let's get serious.
[00:17:46.838 --> 00:18:06.224]  So, you've got the whole Soros crowd that was already freaking out, nationalists and patriots are being elected all over the world, and they're now hoping that they can act like it's illegal or bad for the party in power when a Supreme Court nominee dies, or when a Supreme Court justice dies, to be able to put forward your nominee.
[00:18:07.571 --> 00:18:11.113]  But can you imagine what they're going to do with whoever that nominee is?
[00:18:11.273 --> 00:18:14.636]  I'll bet my bottom dollar it's a woman.
[00:18:15.436 --> 00:18:18.939]  And as long as they're a constitutionalist, I don't care if they appointed all women.
[00:18:20.380 --> 00:18:32.868]  I just don't want a bunch of globalist women like Kagan and Sotomayor and the rest of the people that are up there that vote like they're on the Communist Party Pollet Bureau, not
[00:18:33.959 --> 00:18:38.602]  Supreme Court justices, and we've got some of the other so-called Republican justices are pretty weak.
[00:18:39.302 --> 00:18:41.404]  And so we need to get another person in.
[00:18:41.744 --> 00:18:47.207]  I've not been too impressed by some of the rulings out of Gorsuch, out of Kavanaugh, but it's because they're so intimidated.
[00:18:47.587 --> 00:18:48.808]  They know they'll be attacked again.
[00:18:48.848 --> 00:18:49.709]  They've got their heads down.
[00:18:51.870 --> 00:18:58.074]  But regardless, the rulings are a lot better than we would have got, God forbid, if Hillary Rodham Clinton would have gotten in.
[00:18:58.614 --> 00:19:01.136]  She would have undoubtedly already had Ginsburg step down.
[00:19:02.295 --> 00:19:05.936]  So they'd have three Supreme Court nominees in place.
[00:19:06.557 --> 00:19:09.958]  And if you know, if Hillary ever would have gotten elected, you'd have no more free elections after that.
[00:19:10.418 --> 00:19:14.440]  She'd have four more years if she survived and then Katie barred the door.
[00:19:14.540 --> 00:19:20.442]  So at the top of the list has been Amy Coney Barrett.
[00:19:21.162 --> 00:19:26.044]  We'll be talking about her with several constitutional lawyers, Norm Pattis and Robert Barnes coming up.
[00:19:26.865 --> 00:19:30.006]  We'll also look at some of the others, but this is a big deal because as you've seen,
[00:19:31.223 --> 00:19:32.464]  We're already living under martial law.
[00:19:32.484 --> 00:19:33.484]  We're already living under tyranny.
[00:19:33.524 --> 00:19:36.866]  And the Democrats want permanent lockdowns, forced inoculations.
[00:19:37.226 --> 00:19:39.347]  They want things to be even worse.
[00:19:41.729 --> 00:19:47.512]  Now, in a moment I'll get into some of the threats Democrats are making and what they're promising to do and how they're promising to burn the whole country down.
[00:19:49.261 --> 00:19:59.511]  While simultaneously saying that, well, there have been a bunch of arson arrests on the West Coast, but Facebook and the Southern Poverty Law Center say they consider it fake news to say arson has caused fires.
[00:19:59.832 --> 00:20:05.838]  Seems like there's been a bunch of arrests of people caught setting arson because they're mad about what's happening in the country.
[00:20:07.725 --> 00:20:15.754]  You know, the Antifa got caught setting all those fires of federal courthouses and police stations and shooting people and everything else in Portland and other areas.
[00:20:16.535 --> 00:20:22.962]  Joe Rogan's had to apologize because the fact-checkers over at Facebook, they say no one
[00:20:24.389 --> 00:20:28.312]  No one is allowed to say that it's arson, even though it is.
[00:20:28.393 --> 00:20:32.576]  Because Governor Newsom, with no proof, is saying it's climate change, and that it's all your fault.
[00:20:32.636 --> 00:20:35.899]  So, Joe Rogan dutifully apologized.
[00:20:35.919 --> 00:20:38.661]  He's a good guy, but he apologized for saying it was arson.
[00:20:38.701 --> 00:20:39.482]  He said he was duped.
[00:20:39.502 --> 00:20:51.572]  Even though I can show you a whole stack of news articles of five arrests here, four there, two here, one there, six here, one there, three here, two there, up and down Oregon, up and down Northern California, catching the people lighting the fires.
[00:20:52.899 --> 00:20:53.459]  Catching him.
[00:20:54.020 --> 00:20:56.981]  They caught one guy catching fires and they let him out.
[00:20:57.041 --> 00:20:57.901]  He was doing it a day later.
[00:20:57.921 --> 00:20:58.761]  He got caught twice!
[00:20:58.961 --> 00:21:03.363]  The same guy just running down the highway pouring out gasoline and mile-off cocktails!
[00:21:05.124 --> 00:21:10.846]  But the Democrats are now saying that they're gonna kill Trump, burn down the country, bring the country to a standstill.
[00:21:12.206 --> 00:21:15.187]  And then I guess whenever Mitch McConnell has every right to do it, he better do it.
[00:21:17.088 --> 00:21:19.749]  They've already... Oh, here's how CNN's spinning it.
[00:21:21.578 --> 00:21:47.428]  They're saying, well, I mean, you can't possibly, with 44 days to the election, and you can't possibly then with a few months out of that to the inauguration, with one party still in power until that happens, and Obama did a lot before he left office, the Clintons did a lot, Jimmy Carter did a lot before they left office, whether you're only a one-term president or a two-term president, those few months between November and December and January 20th, those two months roughly,
[00:21:49.923 --> 00:21:50.664]  You can still do a lot.
[00:21:51.225 --> 00:22:00.896]  Obama put his stay-behind networks in power and put his spies in the different agencies and all those billions of dollars to come after the free media and come after Infowars and spy on Trump and put all those people in.
[00:22:01.097 --> 00:22:01.918]  That was all illegal!
[00:22:03.353 --> 00:22:11.475]  And you know, if Trump did that, it wouldn't be illegal, because Obama is a CHICOM agent, an Islamic agent, so is Hillary, so are the globalists.
[00:22:11.635 --> 00:22:13.175]  They're trying to overthrow the country's existence.
[00:22:13.476 --> 00:22:20.857]  They said Trump was a Russian agent, an outside power, and that's how they say they legally did all that to Trump, but it wasn't true, so it's illegal.
[00:22:21.978 --> 00:22:30.860]  But with them, it's 100% true, and it's 100% legal, because they are a foreign power, and there is Chinese and EU and globalist election meddling going on.
[00:22:32.611 --> 00:22:34.352]  At levels never before seen.
[00:22:34.432 --> 00:22:38.853]  So all of the gloves are off and the brass knuckles are on.
[00:22:40.314 --> 00:22:41.434]  As they say.
[00:22:42.394 --> 00:22:45.075]  So the Crypt Keeper has probably been dead for weeks.
[00:22:48.516 --> 00:22:51.017]  But they wanted to wait as long as they could.
[00:22:51.037 --> 00:22:53.918]  My sources said she was dead a month ago.
[00:22:53.938 --> 00:22:54.659]  I haven't seen her in a month.
[00:22:55.319 --> 00:22:58.400]  Remember she was in the hospital for weeks and all these surgeries and word was
[00:22:59.684 --> 00:23:06.828]  But they wanted to push it longer so that it's closer up to the election so that there's not as much time.
[00:23:06.868 --> 00:23:10.790]  But Mitch McConnell has the time because they knew Ginsburg was going to be going.
[00:23:10.830 --> 00:23:14.032]  Most people live about 12 months with pancreatic cancer.
[00:23:14.452 --> 00:23:17.674]  The average is about 10-11 months, depending on the year.
[00:23:18.514 --> 00:23:20.215]  Nobody lives three years like she did.
[00:23:20.375 --> 00:23:22.417]  Very suspicious, very bizarre.
[00:23:23.271 --> 00:23:25.213]  We started saying, looks like Stephen Hawking's dead.
[00:23:25.673 --> 00:23:30.036]  People that have the disease he has, you know, hardly ever lived more than 15 years, he lived 30-something years.
[00:23:30.477 --> 00:23:37.262]  And as soon as we started saying, we think Stephen Hawking's dead, and the guy they roll around doesn't look anything like him, suddenly they announced he was dead.
[00:23:38.303 --> 00:23:39.924]  And it's okay to question known liars.
[00:23:41.085 --> 00:23:43.267]  Because they lie so much, you don't know it's true.
[00:23:43.587 --> 00:23:45.008]  It's okay to question these people.
[00:23:46.909 --> 00:23:51.153]  But she'd not been seen in over a month, but boy, if they'd had an extra month,
[00:23:52.389 --> 00:23:58.631]  It had been a shoo-in, but they wanted to wait till all those mail-in ballots started coming in to say, oh, the election's already started.
[00:23:58.832 --> 00:24:01.833]  But there's no law that blocks Mitch McConnell and Trump from doing this.
[00:24:02.233 --> 00:24:07.835]  They 100% need to charge in now into that goblin's nest that is the Supreme Court.
[00:24:07.875 --> 00:24:10.336]  They need to get somebody in there that's got a good record.
[00:24:11.116 --> 00:24:12.877]  And let me tell you, Kony Barrett,
[00:24:16.158 --> 00:24:23.645]  has an amazing record compared to Kavanaugh and Gorsuch, and she was even more conservative than them, and Trump even said it.
[00:24:24.646 --> 00:24:32.913]  He said, we're gonna have her for Ginsburg, because obviously if it's not a woman replacing a woman, they'll make a big political deal out of it.
[00:24:33.514 --> 00:24:41.281]  I don't care if a woman replaces a man, or a woman replaces a woman, or a man replaces a woman, I don't care as long as they're pro-America, pro-freedom, pro-Constitution.
[00:24:42.523 --> 00:24:54.693]  You know, I said last night, you know, I'd rather see a bunch of Clarence Thomas' on there than a bunch of Ruth Bader Ginsburg's, and I saw comments on InfoWars and Bandai Video rightfully saying, Clarence Thomas wrote an op-ed two years ago in the New York Times saying, get rid of the First Amendment, basically.
[00:24:55.233 --> 00:24:58.576]  Clarence Thomas has some problems, and some of these Republicans have problems as well.
[00:25:00.390 --> 00:25:03.033]  But the Democrats want Democrats in.
[00:25:03.073 --> 00:25:04.075]  They want globalists.
[00:25:04.395 --> 00:25:07.739]  They are purely a party that says America shouldn't exist.
[00:25:08.140 --> 00:25:11.184]  It's not the far left that says death to America.
[00:25:11.464 --> 00:25:13.627]  It's not the far left that says America shouldn't exist.
