[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[00:05:33.721 --> 00:05:45.871]  New phobias on everyone to bring in their planetary regime, directed by the WHO, with vaccines that actually change your DNA and make you owned by Microsoft.
[00:05:45.871 --> 00:05:48.193]  It's a final frontier.
[00:05:48.193 --> 00:05:50.876]  It's the year 2020.
[00:05:50.876 --> 00:05:52.997]  It's not coming.
[00:05:52.997 --> 00:05:54.038]  It's here.
[00:05:54.038 --> 00:05:55.840]  And submission is blood in the water.
[00:06:31.548 --> 00:06:31.688]  Wow.
[00:06:47.248 --> 00:06:53.132]  Right at 1600 Pennsylvania Avenue with their allies in the Congress of the United States.
[00:06:53.132 --> 00:07:02.979]  But again, let's just get out there and mobilize, organize, and not let the president deter anybody from voting.
[00:07:02.979 --> 00:07:08.464]  And again, support the postal system, which is election central.
[00:07:08.464 --> 00:07:10.085]  They're doing everything they can.
[00:07:10.085 --> 00:07:11.346]  Suppress the vote.
[00:07:12.807 --> 00:07:19.570]  With your actions, scare people, intimidate by saying law enforcement will be there.
[00:07:19.570 --> 00:07:23.752]  Diminish the role of the postal system in all of this.
[00:07:23.752 --> 00:07:25.653]  It's really actually shameful.
[00:07:25.653 --> 00:07:28.595]  Enemies of the state.
[00:07:28.595 --> 00:07:30.636]  Enemies of the state.
[00:07:30.636 --> 00:07:37.279]  And she says that they're going to contest the elections coming up?
[00:07:37.279 --> 00:07:38.540]  And she says that
[00:07:41.954 --> 00:07:45.415]  They're going to have the states secede and have their own inauguration.
[00:07:45.415 --> 00:07:49.696]  Remember she said that over a month ago, and now that's the official talking point.
[00:07:49.696 --> 00:07:55.198]  But 69 days out, they are plunging us towards the total collapse of the United States.
[00:07:55.198 --> 00:08:00.839]  All the major financial publications are calling for the end of the dollar.
[00:08:00.839 --> 00:08:03.960]  That will put almost everyone in this country, including rich people,
[00:08:05.771 --> 00:08:09.314]  into a hellish position of total bankruptcy.
[00:08:09.314 --> 00:08:15.259]  It'll make the Great Depression of the 1920s look like, in the 1930s, heaven on earth.
[00:08:15.259 --> 00:08:31.472]  It'll be Zimbabwe-level collapse, Weimar Republic Germany collapse, probably worse with how decadent and evil a lot of the population is, but the globalist billionaires, they're offshore invested in China and in new currencies.
[00:08:31.472 --> 00:08:34.935]  So you're actually seeing the skeletal puppet
[00:08:35.796 --> 00:08:40.259]  That is Pelosi and Schumer and the rest of them.
[00:08:40.259 --> 00:08:42.500]  Mad Maxine.
[00:08:42.500 --> 00:08:46.082]  They're actually trying to carry out the destruction of the country.
[00:08:46.082 --> 00:08:50.585]  The collapse of the industries, the collapse of local government.
[00:08:50.585 --> 00:08:53.627]  Because this is a takeover.
[00:08:53.627 --> 00:08:59.951]  And now Trump has put up what's being censored on Twitter, Facebook, Google, YouTube, Apple.
[00:08:59.951 --> 00:09:01.832]  The President himself.
[00:09:01.832 --> 00:09:04.474]  And so Brian Stelter, who has no viewers and is
[00:09:05.560 --> 00:09:12.708]  Totally unselfaware person came out and said they're going to fact check Trump's lies in live time.
[00:09:12.708 --> 00:09:18.373]  Well, CNN quote did that because they said, oh, Trump's going to be positive, he said, but he's not.
[00:09:18.373 --> 00:09:19.314]  That's a lie.
[00:09:19.314 --> 00:09:23.138]  Trump said overwhelmingly positive, certainly positive compared to Democrats.
[00:09:23.138 --> 00:09:27.984]  Then they go into other things saying everything he's saying is a lie because
[00:09:29.329 --> 00:09:36.433]  President Trump saying Democrats want to keep the economy shut down to kick him out of office.
[00:09:36.433 --> 00:09:38.554]  Democrats have been all over the place admitting that.
[00:09:38.554 --> 00:09:42.836]  Before COVID, they said they wanted a plunging economy to get rid of Trump.
[00:09:42.836 --> 00:09:44.717]  China's open for business.
[00:09:44.717 --> 00:09:47.899]  The EU is now, but we're not.
[00:09:47.899 --> 00:09:56.003]  And they push all the fake numbers and all the hyped up COVID and all the people that died of other things to be able to carry that out.
[00:09:56.003 --> 00:09:58.525]  So here is just part of CNN breaking in
[00:09:59.821 --> 00:10:02.722]  To the president at the RNC.
[00:10:02.722 --> 00:10:04.162]  This has never been done before.
[00:10:04.162 --> 00:10:09.644]  And people asked him, they said, hey, why aren't you doing it to Democrats on Twitter?
[00:10:09.644 --> 00:10:13.185]  And they said, well, the Democrats aren't lying.
[00:10:13.185 --> 00:10:16.427]  Notice they said Trump wants to overthrow the country.
[00:10:16.427 --> 00:10:17.847]  Trump wants to end the nation.
[00:10:17.847 --> 00:10:20.488]  He's an enemy of the state, not of the people.
[00:10:21.817 --> 00:10:29.039]  Because they see themselves as the bureaucracy and as the international order that is supplanting the American people.
[00:10:29.039 --> 00:10:32.160]  Trump says, power goes from Washington back to the people.
[00:10:32.160 --> 00:10:34.561]  We're taking power back from the UN back to the people.
[00:10:34.561 --> 00:10:35.761]  They say, no, no, no.
[00:10:35.761 --> 00:10:37.622]  The UN is in charge of COVID.
[00:10:37.622 --> 00:10:39.703]  The UN is in charge of our police.
[00:10:39.703 --> 00:10:41.563]  The UN is in charge of the global currency.
[00:10:41.563 --> 00:10:42.804]  They're now announcing that.
[00:10:42.804 --> 00:10:43.944]  It's here.
[00:10:43.944 --> 00:10:47.065]  For the new world order to come in, America has to disappear.
[00:10:48.089 --> 00:10:51.630]  And they are attempting to push us under the waves right now.
[00:10:51.630 --> 00:10:54.010]  It's a simple referendum.
[00:10:54.010 --> 00:10:57.071]  Are you for prosperity and freedom and your country?
[00:10:57.071 --> 00:11:00.712]  Or are you for its destruction?
[00:11:00.712 --> 00:11:10.714]  And now you notice all the points we've made about America fighting for its life and America fighting against globalists that are trying to end the country is now mainstream.
[00:11:10.714 --> 00:11:13.055]  And I've said this a thousand times and I'll say it again.
[00:11:13.055 --> 00:11:16.776]  If Trump wants to ever win, you can't have half measures with the New World Order.
[00:11:18.407 --> 00:11:22.990]  You can't have half measures where you, oh, they hate Trump more than they love America.
[00:11:22.990 --> 00:11:25.272]  They don't want the country to exist.
[00:11:25.272 --> 00:11:32.877]  And now Tucker Carlson and Sean Hannity and Rush Limbaugh and the president and the mainline Republicans get this is an existential threat.
[00:11:32.877 --> 00:11:40.021]  The globalists want to break up the country, take it into bankruptcy to make everyone sell off their property for pennies on the dollar.
[00:11:40.021 --> 00:11:42.243]  They want a design collapse.
[00:11:42.243 --> 00:11:44.024]  We are being taken down.
[00:11:44.024 --> 00:11:46.005]  This is the greatest threat in our history.
[00:11:46.005 --> 00:11:46.886]  This is it.
[00:11:46.886 --> 00:11:47.586]  This is war.
[00:11:48.467 --> 00:11:50.208]  Shame!
[00:11:50.208 --> 00:11:52.768]  You better get chills up your spine or we're going to lose.
[00:11:52.768 --> 00:11:53.949]  But guess what?
[00:11:53.949 --> 00:11:57.670]  Two minutes to midnight, 69 days out, America's getting it.
[00:11:57.670 --> 00:12:09.074]  And Trump, in his speeches twice yesterday, blew them away that they don't want the country to exist and that they're the damn enemy and that they are pushing COVID to keep things locked down and it only kills old people and it's hyped up.
[00:12:10.390 --> 00:12:11.311]  And he just hit him!
[00:12:11.311 --> 00:12:11.991]  And hit him!
[00:12:11.991 --> 00:12:12.632]  And hit him!
[00:12:12.632 --> 00:12:13.292]  And hit him!
[00:12:13.292 --> 00:12:13.933]  And hit him!
[00:12:13.933 --> 00:12:14.574]  And hit him!
[00:12:14.574 --> 00:12:15.214]  And hit him!
[00:12:15.214 --> 00:12:16.135]  And hit him!
[00:12:16.135 --> 00:12:17.236]  Hit him in the jaw!
[00:12:17.236 --> 00:12:18.217]  Hit him in the nose!
[00:12:18.217 --> 00:12:19.197]  Hit him in the gut!
[00:12:19.197 --> 00:12:20.198]  Hit him in the ribs!
[00:12:20.198 --> 00:12:21.720]  Hit him in the kidneys!
[00:12:21.720 --> 00:12:22.800]  Knock him down!
[00:12:22.800 --> 00:12:26.384]  Knock him dead politically!
[00:12:26.384 --> 00:12:33.630]  Pussyfootin' around being scared of CNN and scared of MSNBC and scared of... That idiot on Fox!
[00:12:34.977 --> 00:12:36.842]  Being scared of them gives them the power!
[00:12:36.842 --> 00:12:37.964]  They have no power!
[00:12:37.964 --> 00:12:42.556]  They work for a rotten, corrupt, collapsing system!
[00:12:42.556 --> 00:12:43.298]  It's us or them!
[00:12:44.397 --> 00:12:45.537]  They're the enemy.
[00:12:45.537 --> 00:12:53.180]  Yeah, it's radical to say a TRICOM-funded system took over the Democratic Party, international debt, and Hollywood, but they did.
[00:12:53.180 --> 00:13:05.944]  With a bunch of horrible globalist controllers allied with it, all of them are going to take us over, lock us in our houses, take our guns, take our children, run our lives, or we turn the tables against them and take it all back.
[00:13:05.944 --> 00:13:08.724]  There's no this way or halfway.
[00:13:08.724 --> 00:13:10.445]  It's all the way or no way.
[00:13:12.833 --> 00:13:20.643]  And hallelujah, what I'm seeing is the stuff of victory, and I smell globalist death rows.
[00:13:20.643 --> 00:13:24.327]  So here's CNN cutting into the president's main speech live.
[00:13:24.327 --> 00:13:24.748]  Here it is.
[00:13:26.823 --> 00:13:33.929]  You've been listening to the President speak at the Republican Convention, moments after being formally nominated for President by the party.
[00:13:33.929 --> 00:13:38.193]  After vowing to have a positive convention, the President goes negative in its first moments.
[00:13:38.193 --> 00:13:40.655]  He started off falsely attacking mail-in voting.
[00:13:40.655 --> 00:13:46.299]  He's continuing to attack mail-in voting, and as his Postmaster General testifies, that the attacks are, quote, unhelpful.
[00:13:47.130 --> 00:13:48.931]  That's his own postmaster general.
[00:13:48.931 --> 00:13:53.913]  He also criticized the media for airing the postmaster's hearing instead of his roll call.
[00:13:53.913 --> 00:14:01.816]  He falsely accused Democrats of wanting to shut down the country to hurt the economy and somehow help them at the ballot box.
[00:14:01.816 --> 00:14:07.579]  Unclear how angering the entire country by shutting down would help them in the ballot box.
[00:14:07.579 --> 00:14:11.681]  He attacked North Carolina's governor for putting limits on crowds during a convention.
[00:14:12.441 --> 00:14:15.823]  Here now, John King, Dana Bash, Ryan Nobles is in Charlotte.
[00:14:15.823 --> 00:14:17.684]  John King, I mean, this was very similar.
[00:14:17.684 --> 00:14:26.270]  I mean, it is sort of all the most recent greatest hits and false statements by the president.
[00:14:26.270 --> 00:14:32.254]  And I imagine what we're going to hear a lot this week from the president, who clearly wants to be out front every single day.
[00:14:33.595 --> 00:14:35.395]  Ladies and gentlemen, you can feel the energy in the air.
[00:14:35.395 --> 00:14:37.356]  These desperate scumbags have lost control of your minds.
[00:14:37.356 --> 00:14:38.176]  They've lost control.
[00:14:38.176 --> 00:14:39.136]  They're traitors.
[00:14:39.136 --> 00:14:39.817]  They're enemies.
[00:15:03.922 --> 00:15:08.663]  And Anderson Cooper's family's been perched on top of this country for 150 years, sucking it dry.
[00:15:08.663 --> 00:15:13.564]  They were Anglophiles that tried to bring us back to the British Empire.
[00:15:13.564 --> 00:15:17.065]  They are the filth of the earth.
[00:15:17.065 --> 00:15:18.806]  They hate you.
[00:15:18.806 --> 00:15:22.327]  They've always hated this country.
[00:15:22.327 --> 00:15:25.007]  They want to destroy it.
[00:15:25.007 --> 00:15:27.828]  We are in a fight for our lives.
[00:15:27.828 --> 00:15:31.189]  So wake up out of your trances.
[00:15:32.062 --> 00:15:33.303]  Come on!
[00:15:33.303 --> 00:15:34.703]  Wake up and wake others up!
[00:15:34.703 --> 00:15:36.404]  Snap out of it!
[00:15:36.404 --> 00:15:40.207]  The Democratic Party is openly calling for the end of the nation.
[00:15:40.207 --> 00:15:41.727]  They're absolute trash.
[00:15:41.727 --> 00:15:43.909]  Are you gonna let them win?
[00:15:43.909 --> 00:15:45.049]  We have right on our side.
[00:15:45.049 --> 00:15:46.170]  We have the truth.
[00:15:46.170 --> 00:15:47.050]  We have history.
[00:15:47.050 --> 00:15:50.632]  All we have to do is rally the people now.
[00:15:50.632 --> 00:15:53.514]  Tell everyone you know to tune into the live streams and local stations.
[00:15:53.514 --> 00:15:54.575]  Do it!
[00:15:54.575 --> 00:15:55.015]  Stay with us!
[00:15:58.462 --> 00:16:01.286]  Hi, Bill Hyde here for Safe Places USA.
[00:16:01.286 --> 00:16:08.978]  If you're thinking it might be finally time to move out of a dangerous urban area to a safer place before things get worse, pay close attention.
[00:16:08.978 --> 00:16:13.425]  Because the feeling in your gut, the one telling you to get out, could save your life.
[00:16:13.425 --> 00:16:13.905]  Here's why.
[00:16:14.446 --> 00:16:23.431]  You can now find out where the safest places in this country are by going to SafePlacesUSA.com and checking out the Ultimate Relocation Manual.
[00:16:23.431 --> 00:16:30.295]  It's your personal guide to the tips, tricks, and techniques for relocating your family to the safest places in America.
[00:16:30.295 --> 00:16:35.918]  All broken down in 15 strategic, critical categories along with checklists and preparation sources.
[00:16:36.298 --> 00:16:41.120]  So, if you want a clear path to getting out of Dodge, go to SafePlacesUSA.com.
[00:16:41.120 --> 00:16:43.560]  That's SafePlacesUSA.com.
[00:16:43.560 --> 00:16:47.422]  Use coupon code GCN and get half off the manual all this week.
[00:16:47.422 --> 00:16:50.923]  Plus, get the following books free with your Ultimate Relocation Manual.
[00:16:50.923 --> 00:16:52.683]  Pandemic Survival Secrets.
[00:16:52.683 --> 00:16:53.924]  Your Home, Your Fortress.
[00:16:53.924 --> 00:16:56.144]  All free this week at SafePlacesUSA.com.
[00:16:57.885 --> 00:17:03.890]  There's so much hand sanitizer on the market, but beware, not all hand sanitizers are created equal.
[00:17:03.890 --> 00:17:07.113]  That's why you want to use 2020 Safe Hand Sanitizer.
[00:17:07.113 --> 00:17:12.818]  You can trust the hand sanitizer on 2020safe.net to be made with the highest quality ingredients.
[00:17:12.818 --> 00:17:16.541]  American made, with American ingredients, employing Americans.
[00:17:16.861 --> 00:17:21.003]  Log on now to 2020safe.net and order your one liter today.
[00:17:21.003 --> 00:17:24.365]  Normally $29.99, but reduced to $19.99.
[00:17:24.365 --> 00:17:27.787]  So hurry, while supplies last, and receive a bonus.
[00:17:27.787 --> 00:17:28.748]  That's right.
[00:17:28.748 --> 00:17:36.812]  You'll receive a 30-count bottle of Immune Booster, a $39.95 value, free, by using code GCN at checkout, right now.
[00:17:37.032 --> 00:17:38.934]  Click 2020safe.net.
[00:17:38.934 --> 00:17:42.336]  That's 2-0-2-0-S-A-F-E dot net.
[00:17:42.336 --> 00:17:47.160]  To get our 1 liter bottle of high quality hand sanitizer with your free bonus.
[00:17:47.160 --> 00:17:50.963]  A 30 count bottle of Immune Booster valued at $39.95.
[00:17:50.963 --> 00:17:53.165]  Remember to enter GCN at checkout.
[00:17:53.165 --> 00:17:55.167]  And the bonus is yours free!
[00:17:55.167 --> 00:17:55.387]  2020safe.net.
[00:17:59.545 --> 00:18:06.510]  It was in the Telecommunications Act of 1996 that all new cell phones would track your GPS location.
[00:18:06.510 --> 00:18:11.973]  I read from the federal law and listeners couldn't believe me because that was un-American.
[00:18:11.973 --> 00:18:28.705]  Now the media admits that almost every app and every company that are on Apple and on Droids don't just track your location, but your surfing history, where you go, who you talk to, your relationships, and they all share the data with each other of what you're doing on the apps as well,
[00:18:29.445 --> 00:18:30.005]  I think so.
[00:18:59.369 --> 00:19:04.113]  I've talked to the EMS and I've talked to medical doctors, and what makes you nauseated, it's not just the smell of piss.
[00:19:04.113 --> 00:19:07.616]  What we call the smell of bum piss, it has that sweet nauseating smell.
[00:19:07.616 --> 00:19:09.198]  I wouldn't say sweet.
[00:19:09.198 --> 00:19:12.941]  Well it does, it has a sweet, sweet stench that makes me want to throw up like rotten meat.
[00:19:12.941 --> 00:19:14.783]  It is, it is the crap of dust mites.
[00:19:15.123 --> 00:19:19.628]  Have you noticed the stench of bum piss in your leftist-run neighborhoods?
[00:19:19.628 --> 00:19:26.394]  The crap of dust mites in bum piss is a real thing, and InfoWars Store has the solution.
[00:19:26.394 --> 00:19:38.827]  InfoWars has created the most powerful herbal lung cleanse and respiratory support product on the market, with over a thousand types of mold and mildew, toxic chemicals, and yes, dust mites.
[00:19:39.267 --> 00:19:52.933]  Our Lung Cleanse Plus, made with organic and wild cultivated herbs, is just what you need to survive the unprecedented surge of bum piss and other toxic substances in liberal leftist cities everywhere.
[00:19:52.933 --> 00:20:02.397]  Order the Infowars Life Lung Cleanse Plus supplement today at InfowarsStore.com.
[00:20:02.397 --> 00:20:05.018]  You're listening to The Alex Jones Show.
[00:20:31.741 --> 00:20:32.681]  We are back live.
[00:20:32.681 --> 00:20:34.402]  We are broadcasting worldwide.
[00:20:34.402 --> 00:20:36.963]  I am your host, Alex Jones.
[00:20:36.963 --> 00:20:40.705]  We are here Monday through Friday from 11 a.m.
[00:20:40.705 --> 00:20:41.285]  to 3 p.m.
[00:20:41.285 --> 00:20:43.366]  Central.
[00:20:43.366 --> 00:20:48.448]  Now we've launched a new weeknight show from 7 to 9 p.m.
[00:20:48.448 --> 00:20:52.490]  We'll go later when there's bigger news, obviously.
[00:20:52.490 --> 00:20:58.153]  And it is light on commercials, heavy on analysis, guest calls, you name it.
[00:20:58.153 --> 00:20:58.673]  Countdown.
[00:21:00.353 --> 00:21:04.635]  To the election, take America back, 2020.
[00:21:04.635 --> 00:21:17.379]  Now, I'm going to go to special report right now.
[00:21:17.379 --> 00:21:25.062]  And then when we come back, I'm going to get into all the news and the fact that the deep state 100% is making its move on this country.
[00:21:27.426 --> 00:21:33.852]  And that we need to understand that that fact is happening and that only a huge awakening can stop the total collapse.
[00:21:33.852 --> 00:21:38.496]  And we need to let the globalists that are behind this know we're going to hold them responsible.
[00:21:38.496 --> 00:21:42.120]  We're going to hold the traitor media responsible and communist China responsible.
[00:21:42.120 --> 00:21:47.145]  They've been busy trying to intimidate us, trying to threaten us, trying to shut up our free speech.
[00:21:47.145 --> 00:21:50.388]  We just need to let the world know this is a simple takedown of the country.
[00:21:50.388 --> 00:21:52.550]  And that's why they're teaching everyone to hate the nation.
[00:21:53.723 --> 00:22:06.453]  It's not some radicals on the far extreme of the left that are out saying, F Jesus, burning Bibles, burning down churches, shooting police in the back of the head, calling for collapse of civilization.
[00:22:06.453 --> 00:22:10.196]  This is the main line of what the Democrats are.
[00:22:10.196 --> 00:22:12.417]  I have lived in Austin since high school.
[00:22:12.417 --> 00:22:14.299]  I'm from Dallas.
[00:22:14.299 --> 00:22:22.965]  And I've watched the left turn from pro-free speech, anti-war people, to foaming at the mouth, psychotic, devil-worshipping zombies.
[00:22:23.848 --> 00:22:26.109]  I mean, that's their main operating system.
[00:22:26.109 --> 00:22:32.453]  So I'll cover it all in a bunch of the highlights of the RNC and why Pelosi's coming out saying that Trump's an enemy of the state.
[00:22:32.453 --> 00:22:37.656]  Because they legitimately think they're the legitimate state, that it's their country and they own it.
[00:22:37.656 --> 00:22:38.877]  He's trying to take that away from them.
[00:22:38.877 --> 00:22:45.841]  This is a serious tug-of-war over the fate and future of the nation.
[00:22:45.841 --> 00:22:49.023]  And that's why they're fighting like the devil.
[00:22:50.776 --> 00:23:02.101]  But I'm glad that John Bowne put together this report, a boil down of one of my larger rants about Biden's COVID policies would eliminate millions of people.
[00:23:02.101 --> 00:23:08.304]  I want to play that special report here in just a moment.
[00:23:08.304 --> 00:23:19.509]  And then I'm going to come back and talk about how they're going to hit us, what they're going to do, and then what it's going to look like if Trump wins versus what it's going to look like if Trump loses.
[00:23:21.670 --> 00:23:28.632]  So that's all coming up here in just a moment.
[00:23:28.632 --> 00:23:29.913]  First off, I'm just going to say this.
[00:23:29.913 --> 00:23:32.393]  We fund ourselves by selling products I believe in.
[00:23:32.393 --> 00:23:37.455]  And I believe you're completely and totally insane if you don't have high-quality, storable food.
[00:23:38.419 --> 00:23:44.581]  Our great supplier has the highest quality, the lowest prices you're going to find for quality, and great packages that last a long time.
[00:23:44.581 --> 00:23:46.121]  The food lasts 25 years.
[00:23:46.121 --> 00:23:48.682]  It's insurance you can eat with all the inflation that's coming.
[00:23:48.682 --> 00:23:50.703]  I believe you'll end up saving money in the end buying the food.
[00:23:50.703 --> 00:23:55.384]  Now, it's a key thing to have on your checklist to be prepared.
[00:23:55.384 --> 00:24:02.486]  Infowarsstore.com has the full list, the full spectrum, and they're shipping within one to two weeks.
[00:24:02.486 --> 00:24:05.847]  That's when they ship, so on average about three weeks for delivery or so.
[00:24:06.926 --> 00:24:08.507]  And they've got great deals.
[00:24:08.507 --> 00:24:11.169]  And yes, the money we make from that then funds this operation.
[00:24:11.169 --> 00:24:14.631]  So it's a win-win, a serious 360 win, a non-zero-sum game.
[00:24:14.631 --> 00:24:20.794]  But I would get your food in before the election because if Trump wins, it's going to be crazy.
[00:24:20.794 --> 00:24:21.995]  If Trump loses, it's going to be crazy.
[00:24:22.495 --> 00:24:26.197]  And so the fight is just going to get more intense, like I told Roger Stone a few years ago.
[00:24:26.197 --> 00:24:36.561]  So get your storable food orders in, your shortwave radios, your emergency preparedness, your water filtration, your air filtration, all of it at InfoWarsTore.com, and then take care of your self-defense issues other places.
[00:24:36.561 --> 00:24:38.782]  But now is the time to get firearms and ammunition.
[00:24:38.782 --> 00:24:39.863]  They're selling out everywhere.
[00:24:39.863 --> 00:24:42.684]  But get the water filtration, the food at InfoWarsTore.com.
[00:24:42.684 --> 00:24:44.445]  Here is the report.
[00:24:44.445 --> 00:24:46.225]  Breaking it down.
[00:24:46.225 --> 00:24:47.526]  Mandate.
[00:24:47.526 --> 00:24:49.367]  Mandatory mask wearing.
[00:24:49.810 --> 00:24:51.771]  That's what real leadership looks like.
[00:24:51.771 --> 00:24:57.053]  We should all be wearing a mask for the next three months.
[00:24:57.053 --> 00:24:58.274]  Breaking!
[00:24:58.274 --> 00:25:03.296]  Biden says he would kill 10 million people if recommended by scientists.
[00:25:03.296 --> 00:25:12.160]  Now, I've been running headlines like that the last few months, just hoping the New York Times or Media Matters or somebody bites into it, attacks it.
[00:25:12.160 --> 00:25:13.820]  Of course they don't.
[00:25:13.820 --> 00:25:16.862]  Where's USA Today's fact checker on this?
[00:25:16.862 --> 00:25:17.342]  They're nowhere.
[00:25:18.697 --> 00:25:21.838]  And it's not about Alex Jones being right.
[00:25:21.838 --> 00:25:23.619]  It's about simple math.
[00:25:23.619 --> 00:25:34.963]  But now the World Food Programme analysis shows also, due to the coronavirus, that an additional 130 million people could be pushed to the brink of starvation by the end of 2020.
