[00:00:06.487 --> 00:00:07.307]  Thank you.
[00:04:39.583 --> 00:04:51.633]  You are the resistance and I love every white, Hispanic, black, Asian human that loves freedom and we are together with our red blood and our strength and we are stronger than ever!
[00:05:06.893 --> 00:05:07.953]  Come out in the open.
[00:05:09.154 --> 00:05:10.734]  I don't just put a good face on things.
[00:05:10.794 --> 00:05:12.154]  I've been thinking about this deeply.
[00:05:12.614 --> 00:05:14.515]  We have forced the enemy to uncloak.
[00:05:15.015 --> 00:05:16.695]  We have forced the enemy out in the open.
[00:05:17.075 --> 00:05:19.556]  We have forced the enemy to come out on the field.
[00:05:19.816 --> 00:05:26.797]  And now, in the next few years, you're going to see an awakening not just here, but worldwide that is unparalleled.
[00:05:27.037 --> 00:05:30.998]  And you're going to see these authoritarian regimes fall like dominoes!
[00:05:35.947 --> 00:05:37.028]  Humanity is rising!
[00:05:37.348 --> 00:05:38.849]  Humanity is rising!
[00:05:55.233 --> 00:05:56.654]  Death to the new old order!
[00:05:57.175 --> 00:05:59.016]  Death to the post-human future!
[00:05:59.556 --> 00:06:01.498]  Death to the idea of tyranny!
[00:06:02.159 --> 00:06:04.100]  We don't come here with offensive violence.
[00:06:04.641 --> 00:06:16.790]  We come here with truth and justice and our ideas will kill the fraud of corporate, big tech, psycom, authoritarianism!
[00:06:16.810 --> 00:06:16.790]  1776! 1776!
[00:06:21.818 --> 00:06:25.301]  What do you think about this media here?
[00:06:42.219 --> 00:06:46.200]  Media establishment or PR firms for multinational corporations.
[00:06:46.220 --> 00:06:47.020]  They're not even media.
[00:06:47.300 --> 00:06:47.980]  They're repeaters.
[00:06:48.360 --> 00:06:53.401]  They're PR propagandists that are told what to go say and told what to do to keep their job.
[00:06:53.681 --> 00:06:55.281]  And so, they're vestigial.
[00:06:55.742 --> 00:06:56.342]  They're inept.
[00:06:56.662 --> 00:06:57.842]  They don't even exist anymore.
[00:06:58.142 --> 00:06:59.102]  No one watches them.
[00:06:59.362 --> 00:07:00.202]  No one believes them.
[00:07:00.442 --> 00:07:04.003]  Except when they say the sky's blue, nobody believes them.
[00:07:04.623 --> 00:07:09.044]  Everybody looks at what they say as mainstream media, and then they reverse it.
[00:07:09.679 --> 00:07:11.141]  The mainstream media is dead.
[00:07:11.481 --> 00:07:15.685]  The mainstream media are corporate propagandists, corporate PR operatives.
[00:07:16.326 --> 00:07:22.593]  And the attempt to seal this election, and the massive fraud in Communist China and Xi Jinping,
[00:07:25.307 --> 00:07:28.689]  And their currency rallying, saying they own Joe Biden.
[00:07:29.089 --> 00:07:29.769]  Think about this.
[00:07:30.329 --> 00:07:37.092]  The Communist Party China has come out in the last few months and again today and said, we own Joe Biden.
[00:07:37.793 --> 00:07:41.514]  And we own the new American president if he actually gets seated through fraud.
[00:07:42.034 --> 00:07:45.496]  And so even if Joe Biden won the election legitimately, which he didn't,
[00:07:46.112 --> 00:07:47.213]  He would be illegitimate.
[00:07:47.433 --> 00:07:50.035]  Notice they said Trump was a Russian agent with no proof.
[00:07:50.755 --> 00:08:00.162]  But then, but then, but then, we have under Biden's laptop and the audio of him saying, I work for the head of Chinese spy grid.
[00:08:00.723 --> 00:08:03.505]  The Bidens are communist Chinese agents.
[00:08:03.905 --> 00:08:06.507]  The Bidens are communist Chinese agents.
[00:08:07.007 --> 00:08:09.429]  The Bidens are communist Chinese agents.
[00:08:09.889 --> 00:08:12.051]  The Bidens are communist Chinese agents.
[00:08:12.691 --> 00:08:15.013]  The Bidens are communist Chinese agents.
[00:08:15.438 --> 00:08:17.659]  The Bidens are communist Chinese agents!
[00:08:18.099 --> 00:08:20.241]  The Bidens are communist Chinese agents!
[00:08:20.681 --> 00:08:22.862]  The Bidens are communist Chinese agents!
[00:08:23.182 --> 00:08:25.323]  The Bidens are communist Chinese agents!
[00:08:25.624 --> 00:08:27.845]  The Bidens are communist Chinese agents!
[00:08:28.325 --> 00:08:30.146]  And America is awake!
[00:08:30.766 --> 00:08:34.549]  And America is taking action!
[00:08:34.769 --> 00:08:36.930]  Now here's what's going to happen.
[00:08:38.516 --> 00:08:46.702]  We told you months ago in the 79 days of hell, we told you that they would, when Trump started winning, they'd freeze the voting, and they would bring in all the fake ballots.
[00:08:47.083 --> 00:08:54.869]  They did exactly what we told you they would do, because John Podesta war-gamed all this with the New York Times three months ago and said they would do it.
[00:08:56.145 --> 00:09:01.330]  And Pelosi is such an arrogant criminal, it's always the criminals like in a movie.
[00:09:01.350 --> 00:09:04.412]  Why does the super villain always talk monologue while they get it?
[00:09:04.953 --> 00:09:09.336]  Pelosi said last week, we don't care about this thing we're about to have an election.
[00:09:09.797 --> 00:09:12.459]  She said we're going to place Joe Biden
[00:09:12.999 --> 00:09:16.742]  In the presidency on January 20th, we don't care about the election!
[00:09:17.002 --> 00:09:20.304]  And still, their paid mercenaries and minions love it!
[00:09:20.705 --> 00:09:23.987]  Because they think they're on the winning team, and they love selling out humanity.
[00:09:24.527 --> 00:09:26.269]  But that's really what they're doing.
[00:09:27.249 --> 00:09:28.430]  It's where they're coming from.
[00:09:29.011 --> 00:09:33.334]  And it's what these establishment propaganda whores are all about.
[00:09:33.694 --> 00:09:36.336]  But again, they're open steel of this.
[00:09:37.177 --> 00:09:38.918]  If you think we got woken up before,
[00:09:39.554 --> 00:09:50.847]  Get ready for the Great Awakening, because the Great Awakening is here, and it is incredible, and you are the heart of the resistance, and the heart of the Awakening, and I salute you!
[00:09:50.867 --> 00:09:55.954]  Let me hear you roar, let's hear you roar, growl!
[00:10:03.410 --> 00:10:05.571]  We know you're paid mercenaries against our families.
[00:10:05.772 --> 00:10:07.273]  We know you work for the Tricops.
[00:10:07.473 --> 00:10:08.634]  We know you're puppeteers.
[00:10:08.834 --> 00:10:10.075]  We know you follow your orders.
[00:10:10.395 --> 00:10:20.101]  And we are here to let you know that America is taking up the challenge of your attack, and we're going to double down on the ante, and you will be defeated!
[00:10:20.862 --> 00:10:27.386]  And you will be tied, just like the Nuremberg, like the Nazis were, for following your criminal orders.
[00:10:28.187 --> 00:10:32.830]  You work for John Soros, the admitted Nazi collaborator.
[00:10:33.462 --> 00:10:46.170]  May George Soros burn in hell, and may all collaborators to the New World Order burn in the ash heap of history for the political lies and the fraud and the corporate criminality that you have carried out.
[00:10:47.391 --> 00:10:48.812]  The answer to your tyranny is 1776.
[00:10:58.251 --> 00:11:00.032]  1776!
[00:10:58.671 --> 00:11:00.032]  1776!
[00:10:59.071 --> 00:11:00.032]  1776!
[00:10:59.091 --> 00:11:00.032]  1776!
[00:10:59.512 --> 00:11:00.032]  It's treason!
[00:11:00.052 --> 00:11:03.793]  The globalists and their treasonous minions!
[00:11:03.813 --> 00:11:08.834]  The New World Order and their treasonous minions!
[00:11:09.134 --> 00:11:12.495]  The New World Order and their little lapdogs!
[00:11:23.815 --> 00:11:25.156]  You are not killing our republic!
[00:11:25.196 --> 00:11:28.078]  You are only awakening our republic and you will fail!
[00:11:52.575 --> 00:11:57.577]  Because humanity will defeat you!
[00:11:57.637 --> 00:11:58.698]  You will fail!
[00:11:58.818 --> 00:11:59.918]  You will fail!
[00:12:00.279 --> 00:12:01.379]  You will fail!
[00:12:01.699 --> 00:12:02.820]  You will fail!
[00:12:03.120 --> 00:12:04.140]  You will fail!
[00:12:04.501 --> 00:12:05.561]  You will fail!
[00:12:05.841 --> 00:12:06.922]  You will fail!
[00:12:07.202 --> 00:12:08.263]  You will fail!
[00:12:08.603 --> 00:12:09.603]  You will fail!
[00:12:09.963 --> 00:12:10.884]  You will fail!
[00:12:10.904 --> 00:12:12.705]  And not even in trying to steal your election.
[00:12:12.925 --> 00:12:14.566]  We don't know what's going to happen with that.
[00:12:14.586 --> 00:12:15.026]  It's worse than
[00:12:17.890 --> 00:12:18.810]  We're good to go.
[00:12:36.986 --> 00:12:42.552]  And the system's attempt to shut us down is only awakening the sleeping giant.
[00:12:43.013 --> 00:12:51.903]  And the attempt to bring down our republic, and the attempt to absorb us into globalism, and the attempt to use race war to turn America against each other has backfired!
[00:12:52.023 --> 00:12:53.003]  We're good to go!
[00:12:53.023 --> 00:12:53.484]  We're good to go!
[00:13:22.374 --> 00:13:23.955]  They want to get rid of our country!
[00:13:24.395 --> 00:13:28.856]  Our country's not perfect, but it's got values and ideas that threaten their authoritarian globalism.
[00:13:28.896 --> 00:13:30.097]  So that's why I say this.
[00:13:30.117 --> 00:13:30.217]  USA!
[00:13:30.237 --> 00:13:30.357]  USA!
[00:13:30.377 --> 00:13:30.457]  USA!
[00:13:30.497 --> 00:13:30.577]  USA!
[00:13:30.597 --> 00:13:30.677]  USA!
[00:13:30.757 --> 00:13:30.817]  USA!
[00:13:31.517 --> 00:13:31.577]  USA!
[00:13:31.597 --> 00:13:31.717]  USA!
[00:13:31.777 --> 00:13:31.857]  USA!
[00:13:31.877 --> 00:13:31.997]  USA!
[00:13:32.017 --> 00:13:32.157]  USA!
[00:13:32.237 --> 00:13:32.397]  USA!
[00:13:32.938 --> 00:13:33.078]  USA!
[00:13:33.238 --> 00:13:33.378]  USA!
[00:13:33.398 --> 00:13:33.638]  USA!
[00:13:50.592 --> 00:13:55.255]  Not globalism, which is just dolled-up modern authoritarianism and feudalism.
[00:13:55.895 --> 00:13:58.417]  Globalism is going down!
[00:13:58.757 --> 00:14:00.538]  American Renaissance is here!
[00:14:00.558 --> 00:14:02.079]  The Awakening is here!
[00:14:02.339 --> 00:14:07.122]  And I congratulate the CHICOMS and the Democrat operatives for awakening the sleeping giant.
[00:14:07.502 --> 00:14:12.845]  You have sowed the seeds of your total political annihilation.
[00:14:14.627 --> 00:14:16.668]  Again, I salute you all for being here tonight.
[00:14:18.482 --> 00:14:28.393]  Right now, our message to President Trump is, fight, fight, fight, and do not concede, and draw out all the fraud in Pennsylvania.
[00:14:28.413 --> 00:14:33.759]  Draw out the fraud in Michigan, and Georgia, and Arizona, and Nevada.
[00:14:35.011 --> 00:14:38.932]  You will become even greater as an icon of resistance by going through the fire.
[00:14:38.952 --> 00:14:41.092]  This is actually the best thing that could have happened!
[00:14:41.452 --> 00:14:44.853]  I smell pure, long-term victory and I salute humanity and I salute you all!
[00:15:16.298 --> 00:15:18.160]  And you want to demoralize us?
[00:15:18.180 --> 00:15:18.300]  USA!
[00:15:18.320 --> 00:15:18.460]  USA!
[00:15:18.480 --> 00:15:18.560]  USA!
[00:15:18.640 --> 00:15:18.800]  USA!
[00:15:19.160 --> 00:15:21.262]  Now let me give you the bad news though.
[00:15:36.497 --> 00:15:37.958]  Let me tell you the bad news so you can see it.
[00:15:39.218 --> 00:15:46.961]  The enemy launched their Wuhan virus out of China with Fauci and Gates to create fear in the theater of them all wearing masks.
[00:15:47.561 --> 00:15:49.561]  And Gates has got more deadly viruses ready.
[00:15:49.902 --> 00:15:56.284]  And the Democrats have now announced permanent lockdown to bankrupt America and make you all go on welfare.
[00:15:56.304 --> 00:16:01.746]  So this is a process of you totally going under bondage.
[00:16:01.766 --> 00:16:05.587]  So when you submit, look at all of you not wearing the mask, not living in fear.
[00:16:09.255 --> 00:16:10.316]  All these cowards.
[00:16:10.836 --> 00:16:14.978]  It doesn't matter if 94% of the COVID deaths weren't from COVID.
[00:16:15.258 --> 00:16:18.760]  These people are political whores who aren't allowed to tell the truth.
[00:16:18.920 --> 00:16:20.041]  This corporate media right here.
[00:16:20.721 --> 00:16:22.082]  And they're going to wear their masks.
[00:16:22.102 --> 00:16:23.783]  They're going to take their forced inoculations.
[00:16:24.043 --> 00:16:25.704]  They're going to take their social credit score.
[00:16:25.944 --> 00:16:28.366]  They're going to take everything that's rolling in behind this.
[00:16:29.046 --> 00:16:31.087]  But that's okay because they're followers.
[00:16:31.287 --> 00:16:33.249]  They came from families of scum.
[00:16:33.269 --> 00:16:37.451]  They came from people that were nobodies and they're being slaves again, but we're free.
[00:16:37.831 --> 00:16:38.972]  And we're gonna defeat you, and we are awake!
[00:16:39.092 --> 00:16:39.993]  We're not wearing your goddamn mask!
[00:16:40.013 --> 00:16:42.815]  We're gonna freaking arrest Fauci and Bill Gates, and it's all coming out!
[00:16:42.875 --> 00:16:42.975]  USA!
[00:16:42.995 --> 00:16:43.135]  USA!
[00:16:43.215 --> 00:16:43.315]  USA!
[00:16:43.415 --> 00:16:43.535]  USA!
[00:16:43.555 --> 00:16:43.675]  USA!
[00:16:43.696 --> 00:16:43.816]  USA!
[00:16:43.836 --> 00:16:43.956]  USA!
[00:16:44.016 --> 00:16:44.076]  USA!
[00:16:44.136 --> 00:16:44.236]  USA!
[00:16:44.316 --> 00:16:44.436]  USA!
[00:16:44.456 --> 00:16:44.556]  USA!
[00:16:44.576 --> 00:16:44.656]  USA!
[00:16:44.676 --> 00:16:44.756]  USA!
[00:16:44.776 --> 00:16:44.856]  USA!
[00:16:44.876 --> 00:16:44.996]  USA!
[00:16:45.016 --> 00:16:45.097]  USA!
[00:16:45.177 --> 00:16:45.297]  USA!
[00:16:45.317 --> 00:16:45.477]  USA!
[00:16:45.497 --> 00:16:45.597]  USA!
[00:16:45.617 --> 00:16:45.737]  USA!
[00:16:45.757 --> 00:16:45.817]  USA!
[00:16:45.857 --> 00:16:45.917]  USA!
[00:16:45.937 --> 00:16:46.097]  USA!
[00:16:46.117 --> 00:16:46.217]  USA!
[00:16:46.317 --> 00:16:46.478]  USA!
[00:16:46.738 --> 00:16:46.978]  USA!
[00:16:47.018 --> 00:16:47.078]  USA!
[00:16:47.218 --> 00:16:47.378]  USA!
[00:16:47.398 --> 00:16:47.558]  USA!
[00:16:47.578 --> 00:16:47.698]  USA!
[00:16:47.719 --> 00:16:48.119]  USA!
[00:16:48.139 --> 00:16:48.299]  USA!
[00:16:48.459 --> 00:16:48.599]  USA!
[00:16:48.619 --> 00:16:48.999]  USA!
[00:16:49.160 --> 00:16:49.360]  USA!
[00:16:49.380 --> 00:16:49.520]  USA!
[00:16:49.680 --> 00:16:49.820]  USA!
[00:16:49.840 --> 00:16:50.060]  USA!
[00:16:50.080 --> 00:16:50.240]  USA!
[00:16:50.300 --> 00:16:50.581]  USA!
[00:16:50.601 --> 00:16:50.741]  USA!
[00:16:50.881 --> 00:16:51.021]  USA!
[00:16:51.041 --> 00:16:51.221]  USA!
[00:16:51.241 --> 00:16:51.441]  USA!
[00:16:51.661 --> 00:16:51.762]  USA!
[00:16:51.782 --> 00:16:51.922]  USA!
[00:16:52.082 --> 00:16:52.202]  USA!
[00:16:52.222 --> 00:16:52.442]  USA!
[00:16:52.482 --> 00:16:52.622]  USA!
[00:16:52.842 --> 00:16:52.942]  USA!
[00:16:52.962 --> 00:16:53.103]  USA!
[00:16:53.243 --> 00:16:53.383]  USA!
[00:16:53.403 --> 00:16:53.623]  USA!
[00:16:53.643 --> 00:16:53.783]  USA!
[00:16:54.143 --> 00:16:54.283]  USA!
[00:16:54.424 --> 00:16:54.564]  USA!
[00:16:54.584 --> 00:16:54.784]  USA!
[00:16:54.804 --> 00:16:54.924]  USA!
[00:16:54.944 --> 00:16:55.304]  USA!
[00:16:55.324 --> 00:16:55.444]  USA!
[00:16:55.604 --> 00:16:55.745]  USA!
[00:16:55.765 --> 00:16:55.945]  USA!
[00:16:55.965 --> 00:16:56.125]  USA!
[00:16:56.505 --> 00:16:56.625]  USA!
[00:16:56.765 --> 00:16:56.885]  USA!
[00:16:56.905 --> 00:16:57.126]  USA!
[00:16:57.146 --> 00:16:57.286]  USA!
[00:16:57.646 --> 00:16:57.766]  USA!
[00:16:57.946 --> 00:16:58.066]  USA!
[00:16:58.086 --> 00:16:58.427]  USA!
[00:16:58.627 --> 00:16:58.727]  USA!
[00:16:58.747 --> 00:16:58.887]  USA!
[00:16:59.067 --> 00:16:59.207]  USA!
[00:16:59.227 --> 00:16:59.407]  USA!
[00:16:59.427 --> 00:16:59.507]  USA!
[00:16:59.527 --> 00:16:59.687]  USA!
[00:16:59.707 --> 00:16:59.788]  USA!
[00:16:59.808 --> 00:16:59.868]  USA!
[00:16:59.928 --> 00:17:00.048]  USA!
[00:17:00.068 --> 00:17:00.148]  USA!
[00:17:00.168 --> 00:17:00.248]  USA!
[00:17:00.268 --> 00:17:00.368]  USA!
[00:17:00.388 --> 00:17:00.508]  USA!
[00:17:00.528 --> 00:17:00.628]  USA!
[00:17:00.648 --> 00:17:00.748]  USA!
[00:17:00.788 --> 00:17:00.888]  USA!
[00:17:00.908 --> 00:17:01.008]  USA!
[00:17:01.028 --> 00:17:01.089]  USA!
[00:17:01.109 --> 00:17:01.169]  USA!
[00:17:01.189 --> 00:17:01.329]  USA!
[00:17:01.349 --> 00:17:01.489]  USA!
[00:17:01.509 --> 00:17:01.629]  USA!
[00:17:01.649 --> 00:17:01.709]  USA!
[00:17:16.169 --> 00:17:19.871]  Because make no mistake, the Chinese people are great people.
[00:17:20.891 --> 00:17:25.733]  And our own corrupt, evil establishment put Mao in power and Xi Jinping to abuse them.
[00:17:26.074 --> 00:17:27.034]  We're going to free China?
[00:17:27.074 --> 00:17:29.635]  We're going to free Hong Kong?
[00:17:29.655 --> 00:17:32.176]  We're going to free Taiwan?
[00:17:33.097 --> 00:17:34.658]  We're going to free America?
[00:17:35.518 --> 00:17:37.819]  Humanity is united!
[00:17:38.619 --> 00:17:42.161]  And their New World Order, their TICOM operation, is coming down.
[00:17:43.331 --> 00:17:46.654]  M4Wars.com lives with video and audio.
[00:17:47.255 --> 00:17:48.256]  We're still on air.
[00:17:48.676 --> 00:17:49.397]  Bigger than ever.
[00:17:49.657 --> 00:17:50.698]  You gotta come to the site.
[00:17:50.978 --> 00:17:51.959]  You gotta share the links.
[00:17:52.479 --> 00:17:55.722]  M4Wars.com is the heart of the resistance.
[00:17:56.123 --> 00:17:59.386]  Bandock Video is the spear of the resistance.
[00:17:59.746 --> 00:18:01.768]  And you are the Paul Reveres!
[00:18:12.125 --> 00:18:12.685]  Bless you all.
[00:18:19.178 --> 00:18:19.518]  We love you!
[00:18:19.558 --> 00:18:20.098]  We love you!
[00:18:20.138 --> 00:18:20.439]  We love you!
[00:18:20.479 --> 00:18:20.859]  We love you!
[00:18:20.879 --> 00:18:21.299]  We love you!
[00:18:21.339 --> 00:18:21.699]  We love you!
[00:18:21.719 --> 00:18:22.079]  We love you!
[00:18:22.099 --> 00:18:22.440]  We love you!
[00:18:22.480 --> 00:18:22.740]  We love you!
[00:18:22.780 --> 00:18:23.240]  We love you!
[00:18:23.280 --> 00:18:23.560]  We love you!
[00:18:23.580 --> 00:18:24.000]  We love you!
[00:18:24.040 --> 00:18:24.561]  We love you!
[00:18:24.601 --> 00:18:25.081]  We love you!
[00:18:25.121 --> 00:18:25.481]  We love you!
[00:18:25.601 --> 00:18:25.921]  We love you!
[00:18:25.981 --> 00:18:26.502]  We love you!
[00:18:26.522 --> 00:18:26.862]  We love you!
[00:18:26.882 --> 00:18:27.142]  We love you!
[00:18:27.182 --> 00:18:27.782]  We love you!
[00:18:27.802 --> 00:18:28.082]  We love you!
[00:18:28.102 --> 00:18:28.483]  We love you!
[00:18:28.503 --> 00:18:28.863]  We love you!
[00:18:28.903 --> 00:18:29.203]  We love you!
[00:18:29.243 --> 00:18:30.003]  We love you!
[00:18:30.043 --> 00:18:30.584]  We love you!
[00:18:30.624 --> 00:18:31.064]  We love you!
[00:18:31.124 --> 00:18:31.384]  We love you!
[00:18:31.424 --> 00:18:32.044]  We love you!
[00:18:32.084 --> 00:18:32.545]  We love you!
[00:18:32.565 --> 00:18:33.005]  We love you!
[00:18:33.025 --> 00:18:33.365]  We love you!
[00:18:33.405 --> 00:18:33.805]  We love you!
[00:18:33.825 --> 00:18:34.125]  We love you!
[00:18:34.205 --> 00:18:34.726]  We love you!
[00:18:34.746 --> 00:18:35.246]  We love you!
[00:18:35.406 --> 00:18:35.946]  We love you!
[00:18:35.966 --> 00:18:36.386]  We love you!
[00:18:36.407 --> 00:18:36.667]  We love you!
[00:18:36.687 --> 00:18:37.007]  We love you!
[00:18:37.027 --> 00:18:37.427]  We love you!
[00:18:37.447 --> 00:18:37.787]  We love you!
[00:18:37.887 --> 00:18:38.367]  We love you!
[00:18:38.387 --> 00:18:38.948]  We love you!
[00:18:39.008 --> 00:18:39.248]  We love you!
[00:18:39.268 --> 00:18:39.528]  We love you!
[00:18:39.548 --> 00:18:39.888]  We love you!
[00:18:39.908 --> 00:18:40.368]  We love you!
[00:18:40.388 --> 00:18:40.789]  We love you!
[00:18:40.829 --> 00:18:41.069]  We love you!
[00:18:41.109 --> 00:18:41.349]  We love you!
[00:18:41.369 --> 00:18:41.869]  We love you!
[00:18:41.889 --> 00:18:42.229]  We love you!
[00:18:42.249 --> 00:18:42.670]  We love you!
[00:18:42.690 --> 00:18:42.910]  We love you!
[00:18:42.930 --> 00:18:43.410]  We love you!
[00:18:43.630 --> 00:18:47.734]  Alex, have you ever heard about the guy that sit on National Pelosi driveways?
[00:18:47.794 --> 00:18:49.256]  Did you hear about that?
[00:18:49.376 --> 00:18:50.257]  I hope she burns in hell.
[00:18:50.277 --> 00:18:50.437]  Alex!
[00:18:50.457 --> 00:18:50.657]  Yeah!
[00:18:50.677 --> 00:18:51.478]  Alex Jones, baby!
[00:18:51.498 --> 00:18:52.739]  Alex Jones!
[00:19:07.711 --> 00:19:09.172]  Guys, guys, back up!
[00:19:09.312 --> 00:19:10.132]  We love you, Alex!
[00:19:10.172 --> 00:19:11.772]  We love you, brother!
[00:19:12.533 --> 00:19:15.614]  God bless you, man!
[00:19:15.694 --> 00:19:16.314]  Keep up the fight!
[00:19:16.334 --> 00:19:18.115]  1776 is alive and well!
[00:19:18.155 --> 00:19:25.457]  And their attempt to kill the Republic is only awakening the sleeping giant!
[00:19:25.677 --> 00:19:26.978]  I love you all, you're awesome!
[00:19:27.258 --> 00:19:28.398]  Pray for President Trump!
[00:19:28.819 --> 00:19:29.979]  Pray for President Trump!
[00:19:30.339 --> 00:19:31.760]  Pray for President Trump!
[00:19:32.200 --> 00:19:33.540]  Pray for President Trump!
[00:19:34.000 --> 00:19:35.241]  Pray for President Trump!
[00:19:35.765 --> 00:19:38.027]  We love you Alex!
[00:19:38.067 --> 00:19:39.588]  We love you Alex!
[00:19:39.608 --> 00:19:40.648]  We love you Alex!
[00:19:42.710 --> 00:19:44.291]  We love you Alex!
[00:19:44.591 --> 00:19:45.772]  We love you Alex!
[00:20:01.102 --> 00:20:03.262]  Hey Alex, are you hiring?
[00:20:03.463 --> 00:20:07.544]  Hey Alex, are you hiring?
[00:20:07.644 --> 00:20:09.385]  Look at these guns, brother.
[00:20:09.445 --> 00:20:10.585]  I'll protect you all day.
[00:20:10.605 --> 00:20:11.205]  You hiring?
[00:20:11.946 --> 00:20:12.786]  God bless, brother.
