[00:00:00.233 --> 00:00:00.314]  Oh.
[00:08:32.617 --> 00:08:39.820]  He's the guy who got shot and killed by the 17-year-old gentleman who we'll be going over in a moment.
[00:08:39.820 --> 00:08:48.304]  And then we've got the other burglary felony charges right here of the other individuals that were shot.
[00:08:51.061 --> 00:08:54.282]  And they're Antifa and Satanic garb.
[00:08:54.282 --> 00:08:59.525]  Yes, they were wearing pentagrams and bath-o-mats.
[00:08:59.525 --> 00:09:01.105]  And it's their time to shine.
[00:09:01.105 --> 00:09:06.728]  You know, the official DNC logo is a bath-o-mat now.
[00:09:06.728 --> 00:09:15.192]  It doesn't matter, Pitcher Show, Young, Rittenhouse shot at at least two BLM riders in self-defense.
[00:09:15.192 --> 00:09:18.173]  One rider was chasing him with a gun and is a convicted felon.
[00:09:18.173 --> 00:09:20.514]  Well, it turns out they're all
[00:09:22.366 --> 00:09:24.908]  Convicted felons it's being reported on.
[00:09:24.908 --> 00:09:32.354]  Continue to check that, that's the best of our knowledge right off the child molester database from Mr. Rosenbaum.
[00:09:32.354 --> 00:09:48.668]  So what happens when the police are called on a man who's got a gun, it's now confirmed, in Kenosha, Wisconsin, and he starts punching them and they chase him around and then in the exchange he gets shot and is paralyzed.
[00:09:51.510 --> 00:09:53.732]  You call the cops his babysitters.
[00:09:53.732 --> 00:09:55.813]  They show up to a horrible situation.
[00:09:55.813 --> 00:09:57.254]  Things go wrong.
[00:09:57.254 --> 00:09:59.236]  There's a gun waving around.
[00:09:59.236 --> 00:09:59.896]  He turns.
[00:09:59.896 --> 00:10:00.316]  They shoot him.
[00:10:00.316 --> 00:10:04.639]  By the time they pull the gun, he's rotated.
[00:10:04.639 --> 00:10:09.363]  And now, oh, the country needs to burn and all white people are bad.
[00:10:09.363 --> 00:10:16.768]  And the governor says white people are bad and that the police are inherently evil racists.
[00:10:16.768 --> 00:10:20.371]  And now we know he was reaching for a gun and had a gun in his hand.
[00:10:21.701 --> 00:10:26.706]  Why would any cop in his right mind want to shoot somebody and then get in all the trouble and face prison?
[00:10:26.706 --> 00:10:29.208]  They have an incredibly hard job.
[00:10:29.208 --> 00:10:30.249]  And are there some bad cops?
[00:10:30.249 --> 00:10:32.291]  Are there some people out there that pull the trigger too quick?
[00:10:32.291 --> 00:10:33.352]  Absolutely!
[00:10:33.352 --> 00:10:34.313]  We're humans.
[00:10:34.313 --> 00:10:36.835]  We're... Failed.
[00:10:36.835 --> 00:10:37.456]  We're flawed.
[00:10:37.456 --> 00:10:38.437]  But here's what's really happening.
[00:10:39.847 --> 00:10:49.192]  Law and order is being purposely broken down ahead of the election so when they dispute it, they can claim, oh, this is about race.
[00:10:49.192 --> 00:10:50.413]  That's why the country's burning.
[00:10:50.413 --> 00:10:51.494]  That's why this is happening.
[00:10:51.494 --> 00:10:54.976]  And Trump's got to step down to stop the burning and the looting.
[00:10:54.976 --> 00:11:04.021]  And Atlantic Monthly and the Democrats have come out since I saw them set this up months ago and admitted it.
[00:11:04.021 --> 00:11:07.083]  And Trump has come out and said they are setting it up.
[00:11:08.823 --> 00:11:18.133]  So now, when somebody shoots themselves in the head, you burn down and loot Minneapolis again.
[00:11:18.133 --> 00:11:23.519]  Same thing for Kenosha.
[00:11:23.519 --> 00:11:26.563]  And the media is calling, the controlled corporate enemy of the people, media,
[00:11:27.697 --> 00:11:56.831]  is calling for Tucker Carlson to be fired again because he said when the police can't have law and order and the governors stand down and the blue states are run by criminals and they encourage murder and looting and attacks and communist militia checkpoints stop police citizens you name it in many cases shooting people in the head you're going to have a power vacuum filled where people are going to start hitting the streets to protect property and that's exactly
[00:11:57.711 --> 00:12:06.637]  What happened with a man who I think is a hero and who took action.
[00:12:06.637 --> 00:12:12.722]  I'm not glad that people have been shot even though all three of these guys look like they're pretty bad scumbags.
[00:12:12.722 --> 00:12:16.344]  But you're going to see people stand up and say no to the communists.
[00:12:16.344 --> 00:12:26.812]  It doesn't matter how much CNN tells you or how many times they put up a lower third saying fiery but mostly peaceful protesters after police shooting.
[00:12:28.015 --> 00:12:33.777]  With fire behind them and gunshots going off while they're saying it.
[00:12:33.777 --> 00:12:39.559]  Fiery, but mostly peaceful protest after a police shooting.
[00:12:39.559 --> 00:12:46.462]  So again, when somebody comes and burns down your church or your office or your home, it's peaceful.
[00:12:46.462 --> 00:12:50.363]  When we dropped atomic bombs on Hiroshima and Nagasaki, mostly peaceful.
[00:12:50.363 --> 00:12:52.324]  Fiery, but mostly peaceful.
[00:12:52.324 --> 00:12:56.806]  When the Hindenburg blimp caught on fire because it had hydrogen, not helium, as it's
[00:12:58.177 --> 00:13:00.579]  Lift gas.
[00:13:00.579 --> 00:13:04.782]  Fiery, but mostly peaceful.
[00:13:04.782 --> 00:13:07.164]  The sun is fiery, but mostly peaceful.
[00:13:07.164 --> 00:13:15.911]  When they bombed the Bikini Islands, vaporizing them with hydrogen bombs, it was fiery, but mostly peaceful.
[00:13:15.911 --> 00:13:20.234]  This is the doublespeak mind control that they shovel at us.
[00:13:20.234 --> 00:13:24.598]  And here's Tucker Carlson, last night, laying out the facts that he's being demonized for.
[00:13:26.577 --> 00:13:30.402]  The Daily Caller was standing nearby when a man was shot in the head.
[00:13:30.402 --> 00:13:34.668]  McGinnis ripped off his t-shirt and used it to try and staunch the man's bleeding.
[00:13:34.668 --> 00:13:35.209]  Here's the scene.
[00:13:45.040 --> 00:13:47.323]  Keep your eyes open!
[00:13:47.323 --> 00:13:49.005]  Keep your eyes open!
[00:14:05.743 --> 00:14:07.804]  Sorry for the painful video, but it's real.
[00:14:07.804 --> 00:14:09.185]  That man later died.
[00:14:09.185 --> 00:14:13.248]  At one point, the 17-year-old, who has now been charged, tried to run from the mob.
[00:14:13.248 --> 00:14:15.350]  He tripped and fell in the middle of the street.
[00:14:15.350 --> 00:14:18.011]  A man ran up and smashed him in the head with a skateboard.
[00:14:18.011 --> 00:14:19.873]  The 17-year-old then fired his gun.
[00:14:44.747 --> 00:14:46.669]  So what does that amount to?
[00:14:46.669 --> 00:14:47.550]  We're unsure.
[00:14:47.550 --> 00:14:51.214]  A court will decide whether what you just saw qualifies as self-defense.
[00:14:51.214 --> 00:14:54.417]  As of tonight, we really don't have more details.
[00:14:54.417 --> 00:14:56.659]  We do know why it all happened, though.
[00:14:56.659 --> 00:15:01.745]  Kenosha has devolved into anarchy because the authorities in charge of the city abandoned it.
[00:15:03.240 --> 00:15:07.904]  People in charge from the governor of Wisconsin on down refused to enforce the law.
[00:15:07.904 --> 00:15:10.387]  They stood back and they watched Kenosha burn.
[00:15:10.387 --> 00:15:15.091]  So we're really surprised that looting and arson accelerated to murder.
[00:15:15.091 --> 00:15:21.858]  How shocked are we that 17-year-olds with rifles decided they had to maintain order when no one else would?
[00:15:21.858 --> 00:15:22.358]  That's right.
[00:15:22.358 --> 00:15:23.880]  Fiery but mostly peaceful.
[00:15:23.880 --> 00:15:28.044]  So, a convicted pedophile and two other criminals are chasing this guy.
[00:15:29.389 --> 00:15:41.375]  One of them gets shot, the young man runs again, and a man wearing a pentagram bath-o-mat face mask, we have the video, runs up, smacking him over the head with a skateboard.
[00:15:41.375 --> 00:15:43.056]  He gets shot.
[00:15:43.056 --> 00:15:49.420]  Another man with a handgun extends it to shoot him, and the young man basically blows half his arm off.
[00:15:50.376 --> 00:15:52.678]  And they've charged him with murder.
[00:15:52.678 --> 00:15:56.200]  With the highest level of murder he could face.
[00:15:56.200 --> 00:15:56.881]  Life in prison.
[00:15:56.881 --> 00:15:58.702]  This is a maximum alert.
[00:15:58.702 --> 00:16:00.203]  A maximum alert.
[00:16:00.203 --> 00:16:04.146]  As of taping this alert, you're 82 days out from the election.
[00:16:04.146 --> 00:16:13.734]  As many of you know, in the last year, I've pointed out statements out of the Council on Foreign Relations and other globalist organs that they know Trump is going to win in a landslide.
[00:16:13.734 --> 00:16:16.736]  So their strategy will be to contest the election.
[00:16:17.256 --> 00:16:21.818]  If they fail to successfully steal it, then they are openly now war-gaming.
[00:16:21.818 --> 00:16:23.219]  This is in the New York Times.
[00:16:23.219 --> 00:16:31.683]  Having Democrat states and cities secede from the union, just like they've ignored Trump's policies on coronavirus and kept their areas locked down.
[00:16:31.683 --> 00:16:34.144]  That is nothing but a dress rehearsal.
[00:16:34.144 --> 00:16:37.906]  They are saying they're going to have their own separate inauguration, not in D.C.
[00:16:37.906 --> 00:16:39.386]  They said in another city.
[00:16:39.386 --> 00:16:40.507]  Pelosi has said this.
[00:16:41.187 --> 00:16:44.608]  When they crown Biden and Kamala Harris.
[00:16:44.608 --> 00:16:48.290]  Ladies and gentlemen, this is the organized civil war.
[00:16:48.290 --> 00:16:50.571]  This is their public criminal plan.
[00:16:50.571 --> 00:16:51.471]  We should be praying.
[00:16:51.471 --> 00:16:52.651]  We should be spreading the word.
[00:16:52.651 --> 00:16:56.313]  We should be demanding Trump on the offense to expose this criminal activity.
[00:16:57.717 --> 00:16:59.918]  Democrats are just going more and more left.
[00:16:59.918 --> 00:17:03.340]  Many positive about socialism, liking it more than capitalism.
[00:17:03.340 --> 00:17:09.324]  Many of the ideas we fought for that were considered radical are now mainstream.
[00:17:09.324 --> 00:17:16.668]  The radical left has taken over the Democratic Party and Joe Biden is marching in lockstep with them.
[00:17:16.668 --> 00:17:22.692]  Biden and the far left are promising to crush middle class families with trillions in new taxes.
[00:17:22.892 --> 00:17:25.034]  If you elect me, your taxes are going to be raised, not cut.
[00:17:25.034 --> 00:17:27.136]  Citizenship for 11 million undocumented folks.
[00:17:27.136 --> 00:17:27.536]  I guarantee you.
[00:17:41.789 --> 00:17:48.474]  In Joe Biden's America, the radical left get whatever they want and you get to pay for it.
[00:17:48.474 --> 00:17:52.376]  They've already taken over Joe Biden and the Democratic Party.
[00:17:52.376 --> 00:17:59.942]  Don't let them take over America.
[00:17:59.942 --> 00:18:02.603]  You're listening to the Alex Jones Show.
[00:18:22.392 --> 00:18:27.416]  Now, I said today I'm going to get into the secret to victory against the globalists.
[00:18:27.416 --> 00:18:29.138]  What they're planning next, how to stop them and all.
[00:18:29.138 --> 00:18:32.580]  I'll do that at the start of the next segment.
[00:18:32.580 --> 00:18:43.950]  But just getting back to the brainwashing, the gaslighting, the oxymoronic level of CNN, MSNBC, all the usual suspects saying these are mostly peaceful protests.
[00:18:43.950 --> 00:18:47.213]  You know, they called them peaceful the last three or four months, but now they call them mostly peaceful.
[00:18:47.998 --> 00:18:51.759]  With fire shooting up and gunshots going off and all the rest of it.
[00:18:51.759 --> 00:18:57.840]  And any excuse will go now, just, oh, a black guy shot himself in the head.
[00:18:57.840 --> 00:18:59.161]  Okay, well, it's white people's fault.
[00:18:59.161 --> 00:19:04.122]  Because white people are inherently bad.
[00:19:04.122 --> 00:19:07.483]  So look at these articles right here.
[00:19:07.483 --> 00:19:17.405]  GoFundMe promotes fundraiser for Antifa hero, close quote, who gave his life attacking Kyle Rittenhouse on camera.
[00:19:19.380 --> 00:19:31.810]  Fundraising and GoFundMe for the hero after attacking 17-year-old Kyle Rittenhouse on camera.
[00:19:31.810 --> 00:19:41.498]  And then you can see photos and video of the individual attacking him and then being shot, smashing the deadly weapon, the skateboard, over his head.
[00:19:41.498 --> 00:19:44.201]  Meanwhile, GoFundMe nukes Kyle
[00:19:45.529 --> 00:19:53.232]  Written House fundraiser allows BLM rioters to receive over 1.3 million in bail donations.
[00:19:53.232 --> 00:19:56.994]  Then of course there's Joseph D. Rosenbaum.
[00:19:56.994 --> 00:19:58.595]  Here's his record.
[00:19:58.595 --> 00:20:01.376]  Registered sex offender.
[00:20:01.376 --> 00:20:04.998]  Kenosha, Wisconsin 53142.
[00:20:04.998 --> 00:20:08.059]  Raped a 12-year-old girl.
[00:20:08.059 --> 00:20:09.620]  Aggravated.
[00:20:09.620 --> 00:20:12.181]  You can read all about raping a little girl.
[00:20:14.531 --> 00:20:16.992]  Where he lived and what he was doing.
[00:20:16.992 --> 00:20:19.133]  Oh, we've got this fellow, another one of the heroes here.
[00:20:19.133 --> 00:20:23.496]  There he is, shocked when someone fights back.
[00:20:23.496 --> 00:20:27.097]  He's wearing his satanic bandana.
[00:20:27.097 --> 00:20:29.679]  His satanic mask.
[00:20:29.679 --> 00:20:35.061]  His bath-o-mat COVID-19 mask.
[00:20:35.061 --> 00:20:37.623]  Not having a very good day there.
[00:20:37.623 --> 00:20:40.104]  And we've got this other fellow.
[00:20:42.927 --> 00:20:44.048]  Another one of the individuals.
[00:20:44.048 --> 00:20:49.472]  So this is the guy that got his arm partially blown off.
[00:20:49.472 --> 00:20:50.973]  That's a felony burglary.
[00:20:50.973 --> 00:20:53.856]  I mean, there's a lot of stuff here.
[00:20:53.856 --> 00:20:55.317]  It takes a long time to go over it all.
[00:20:55.317 --> 00:20:56.838]  I don't want to mix these guys up.
[00:20:56.838 --> 00:20:59.080]  Just go look at it for yourself.
[00:20:59.080 --> 00:21:02.863]  There's all the video and all the photos of them chasing him and attacking him and pointing a gun in his face.
[00:21:02.863 --> 00:21:05.785]  But, you know, they're heroes, folks.
[00:21:05.785 --> 00:21:07.526]  And the big tech giants are behind them.
[00:21:07.526 --> 00:21:10.508]  Because the woke mob is financed and supported
[00:21:11.607 --> 00:21:15.848]  And run by the establishment.
[00:21:15.848 --> 00:21:33.212]  It's all the big mega banks, all the big mega corporations, all the big corrupt foreign authoritarian governments, the EU, the shy comms, Hollywood, all ganged up with over 800 Soros-financed district and county attorneys and state attorney generals.
[00:21:33.212 --> 00:21:36.433]  And they've got most of them now.
[00:21:36.433 --> 00:21:39.214]  For more than a decade, he's been financing them.
[00:21:39.214 --> 00:21:40.474]  He's getting sheriffs in too.
[00:21:43.063 --> 00:21:45.804]  And then I've got some of the articles here.
[00:21:45.804 --> 00:21:52.646]  They're announcing all over the country that they're not going to prosecute burglars, car thieves.
[00:21:52.646 --> 00:21:54.706]  Your car can be stolen and chopped up and sold.
[00:21:54.706 --> 00:21:56.387]  Your house can be broken into.
[00:21:56.387 --> 00:22:02.529]  In fact, I've got, I see cases every day now in areas run by Soros where people beat and rape women.
[00:22:02.529 --> 00:22:09.951]  Where people stab individuals for no reason and they're released without even paying a fine.
[00:22:13.223 --> 00:22:28.813]  Crime skyrocketing as Portland Police can no longer respond to calls amid fatigue, record retirements, and riot resources, but they want the police to come out and give you fines or arrest you if you're not wearing your mask properly.
[00:22:28.813 --> 00:22:35.457]  Oh, but your church or synagogue or mosque, it can't be open in New York, but Black Lives Matter is a key demonstration.
[00:22:35.457 --> 00:22:38.719]  It is promoted and it's a good thing.
[00:22:38.719 --> 00:22:41.421]  Oh, but if you want a pro-cop rally, de Blasio says you can't have it.
[00:22:44.687 --> 00:22:54.051]  Meanwhile, comes out Kenosha man Jacob Blake had weapon in the car he was going for, of course.
[00:22:54.051 --> 00:22:57.332]  Black Lives Matter rioters burned much of the black business district.
[00:22:57.332 --> 00:23:00.354]  Also very, very smart leftist.
[00:23:00.354 --> 00:23:06.916]  Kenosha rioter allegedly shot in head by call written house was convicted pedophile.
[00:23:06.916 --> 00:23:07.977]  Again, it just goes on and on.
[00:23:07.977 --> 00:23:10.758]  Let me show you some more of these articles.
[00:23:13.860 --> 00:23:17.063]  Seattle rioters tried to barricade police in building to burn them alive.
[00:23:17.063 --> 00:23:21.147]  Brag about it on video.
[00:23:21.147 --> 00:23:24.991]  And it goes on and on and on.
[00:23:24.991 --> 00:23:29.395]  Oregon opens coronavirus relief fund only for black community.
[00:23:29.395 --> 00:23:31.256]  Now they're just using blacks for that.
[00:23:31.256 --> 00:23:34.299]  When government can start giving money to only certain groups.
[00:23:35.253 --> 00:23:40.154]  They can politically control them and they can give it to their aid groups that divvy the money up and skim off the top.
[00:23:40.154 --> 00:23:43.555]  That's called total discrimination and that's what they're trying to set up through this.
[00:23:43.555 --> 00:23:45.875]  They're just using blacks as a pawn.
[00:23:45.875 --> 00:23:46.495]  Here's another one.
[00:23:46.495 --> 00:23:56.477]  Soros DA Deanna Becton requires officers consider whether a looter needed stolen goods before charging.
[00:23:56.477 --> 00:24:00.678]  Oh, I needed these stolen goods.
[00:24:00.678 --> 00:24:01.498]  Well, that's okay then.
[00:24:05.270 --> 00:24:09.252]  Daily Caller reporter robbed at gunpoint during Minneapolis riots.
[00:24:09.252 --> 00:24:12.334]  Folks have a lot of courage.
[00:24:12.334 --> 00:24:13.895]  But that's the type of stuff that's going on.
[00:24:13.895 --> 00:24:25.221]  Meanwhile, Berlin bans protests against pandemic restrictions, deploys thousands of police.
[00:24:25.221 --> 00:24:34.526]  But if you're a communist or other people, you can march all you want, but if you want to march and say, stop the lockdown, oh, marches against the lockdown are illegal, and Big Tech globally follows the UN edict that
[00:24:35.253 --> 00:24:36.693]  You're not allowed to have that speech.
[00:24:36.693 --> 00:24:37.194]  The U.N.
[00:24:37.194 --> 00:24:38.734]  says it violates, what is it, Article 30?
[00:24:38.734 --> 00:24:41.055]  Because the U.N.
[00:24:41.055 --> 00:24:44.356]  says you have all these rights given to you by the U.N., not by God.
[00:24:44.356 --> 00:24:47.897]  And in Article, was it 29, 30, and 31, it explains.
[00:24:47.897 --> 00:24:49.037]  But if the U.N.
[00:24:49.037 --> 00:24:51.818]  says that it's damaging the U.N.
[00:24:51.818 --> 00:24:55.259]  or damaging any of the other rights, they can take it away from you.
[00:24:55.259 --> 00:24:58.940]  And so under Articles 30 and 31, print those for me.
[00:24:58.940 --> 00:24:59.740]  I'm going off memory.
[00:24:59.740 --> 00:25:03.681]  I know, I think it's all three, for sure two of them.
[00:25:03.681 --> 00:25:03.941]  It's key.
[00:25:06.352 --> 00:25:09.795]  Under the Universal Declaration of Human Rights.
[00:25:09.795 --> 00:25:12.257]  They do that hat trick where they say, but actually you have none of these rights.
[00:25:12.257 --> 00:25:19.082]  That's how the UN can go in in Rwanda or wherever, Burma, and just slaughter 800,000 people, 20,000 people, depending on where they are.
[00:25:19.082 --> 00:25:22.785]  And they just come in with machine guns, block off the villages and shoot everybody.
[00:25:22.785 --> 00:25:29.410]  Because if you don't move off land that the UN's taken and sold to an oil company, or to a mineral company, or a diamond company, or a...
[00:25:31.417 --> 00:25:33.857]  Jewel Company or Rare Earth Mineral Company, you're dead!
[00:25:33.857 --> 00:25:35.698]  It'll just be a footnote in the New York Times.
[00:25:35.698 --> 00:25:44.339]  Yeah, the UN got criticized for their peacekeepers, plating 120-something thousand tribal groups, 120,000 people off the land.
[00:25:44.339 --> 00:25:50.560]  There were reportedly a couple, you know, thousand deaths here and there, but no big deal.
[00:25:50.560 --> 00:25:59.242]  But see, it's the United Nations with tanks and helicopters and machine guns, so it's la-la-la-la-liberal, like Apple.
[00:26:00.367 --> 00:26:09.830]  They're getting their main components built in factories, where people live in death camps, and then are sent to work, up to 18 hours a day, and then are killed later for their organs.
[00:26:09.830 --> 00:26:16.373]  And it's all admitted, but Tim Cook said, it's okay, because he's g-g-g-g-gay!
